Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,IMC
0,19,1.8,80,0,1,2,1,1,0,2,0,2,1,1,0,24.69
0,24,1.84,86,1,1,2,1,3,0,2,0,2,1,1,0,25.4
0,24,1.7,68,0,1,3,3,1,0,2,0,0,0,1,0,23.53
0,33,1.72,83,1,1,2,1,1,0,2,0,3,0,1,0,28.06
1,40,1.58,63,0,1,2,3,2,0,2,0,3,1,1,0,25.24
1,37,1.68,83,1,1,2,1,1,0,2,0,0,0,0,0,29.41
0,20,1.58,74,0,0,3,3,2,0,2,0,3,1,1,0,29.64
0,19,1.8,60,0,1,2,3,1,0,1,0,1,1,0,0,18.52
0,17,1.62,69,1,1,3,1,3,0,2,1,1,2,1,0,26.29
1,18,1.62,58,0,1,3,3,1,0,1,0,0,2,0,0,22.1
1,21,1.54,56,0,1,2,1,1,0,2,0,0,2,1,0,23.61
0,18,1.76,70,1,1,2,4,2,0,2,0,2,1,1,0,22.6
0,41,1.8,92,1,1,2,1,2,0,3,0,1,0,1,0,28.4
1,36,1.58,60,1,0,3,3,1,0,1,0,2,0,1,0,24.03
0,18,1.76,68,0,0,2,4,2,0,2,0,1,1,1,0,21.95
0,18,1.73,70,0,1,3,3,2,0,1,0,2,1,1,0,23.39
0,17,1.7,70,1,1,3,3,1,0,2,0,0,2,1,1,24.22
0,25,1.7,83,0,1,3,3,1,0,3,1,3,0,0,0,28.72
0,21,1.8,75,1,1,3,3,2,0,1,0,2,0,1,0,23.15
1,29,1.6,56,1,0,2,3,2,0,1,0,0,1,1,0,21.88
0,17,1.7,98,1,0,2,3,1,0,2,0,0,1,1,0,33.91
1,18,1.6,60,1,1,3,1,1,0,1,1,0,2,0,1,23.44
1,16,1.55,45,0,1,2,3,2,0,2,0,1,1,0,0,18.73
1,18,1.59,53,0,0,1,3,1,0,1,0,1,2,0,0,20.96
1,37,1.5,75,1,1,2,3,2,0,1,0,0,0,1,0,33.33
0,18,1.78,108,1,0,2,3,1,0,3,0,1,0,0,0,34.09
1,16,1.61,65,1,1,1,1,1,0,2,0,0,0,0,0,25.08
0,23,1.71,50,1,1,2,3,3,0,3,0,0,2,0,0,17.1
1,18,1.7,50,0,0,2,3,1,0,2,0,0,1,1,1,17.3
0,18,1.76,69.5,0,0,3,3,2,0,3,0,2,2,0,0,22.44
0,18,1.7,78,0,1,1,3,1,0,2,0,0,1,1,0,26.99
1,17,1.53,55,1,1,2,3,1,0,1,0,0,1,0,0,23.5
1,20,1.54,39,1,1,1,3,1,0,2,0,3,2,1,0,16.44
1,38,1.55,59,1,0,3,3,1,0,1,0,2,1,2,0,24.56
0,20,1.66,60,0,1,2,4,2,0,3,0,0,0,0,0,21.77
0,21,1.85,125,1,1,3,1,3,0,1,0,0,0,1,0,36.52
0,21,1.65,60,0,0,3,1,2,0,1,0,0,0,1,0,22.04
0,18,1.65,70,1,0,2,3,1,0,2,0,0,0,0,0,25.71
0,26,1.83,82,0,1,2,3,3,0,2,0,1,1,1,0,24.49
0,27,1.83,99,1,1,3,1,2,0,2,0,2,1,1,1,29.56
1,26,1.66,112,1,0,3,3,1,0,3,0,0,0,0,0,40.64
0,34,1.78,73,0,1,2,3,1,0,2,0,3,1,1,0,23.04
0,18,1.74,86,0,0,3,3,1,0,2,0,3,0,0,0,28.41
0,33,1.76,66.5,0,0,2,3,1,0,2,0,3,1,1,0,21.47
1,19,1.51,59,1,1,3,3,2,0,1,0,1,2,1,1,25.88
0,20,1.81,79,1,0,3,1,1,0,2,0,0,0,1,0,24.11
1,33,1.55,55,1,1,3,1,1,0,3,0,2,1,1,0,22.89
0,20,1.83,66,0,0,2,3,1,0,2,0,1,1,0,0,19.71
1,20,1.6,65,0,0,3,3,1,0,2,1,0,0,1,0,25.39
0,33,1.85,85,0,1,2,3,2,0,2,0,1,0,1,0,24.84
0,33,1.75,85,0,0,2,3,1,0,2,1,1,0,1,0,27.76
0,33,1.83,113,1,1,2,1,3,0,2,0,1,2,2,0,33.74
0,14,1.71,72,1,1,3,3,1,0,3,0,2,1,0,1,24.62
0,34,1.84,88,0,1,3,3,1,0,1,1,2,0,0,0,25.99
0,18,1.77,87,1,1,3,3,1,0,2,0,1,1,2,0,27.77
0,18,1.7,90,0,1,3,3,1,0,2,0,2,0,1,0,31.14
0,29,1.62,89,1,1,1,3,1,0,1,0,0,0,1,0,33.91
0,18,1.85,60,1,1,3,4,1,0,2,1,2,0,1,0,17.53
0,18,1.84,60,1,1,3,4,1,0,2,1,2,0,1,0,17.72
0,19,1.75,58,0,1,2,3,1,0,2,0,2,0,1,0,18.94
0,33,1.85,93,1,1,2,3,1,0,1,0,1,1,1,1,27.17
0,33,1.74,76,0,0,2,3,1,0,1,0,0,2,1,1,25.1
1,19,1.61,53.8,1,1,2,3,3,0,2,0,2,1,1,0,20.76
0,22,1.75,70,0,0,2,3,1,0,3,0,1,1,0,0,22.86
1,20,1.67,60,0,1,3,3,0,0,2,0,3,0,1,0,21.51
0,23,1.7,69,0,1,3,1,2,0,1,0,2,1,1,0,23.88
0,26,1.9,80,1,1,2,3,2,0,1,1,1,0,1,0,22.16
0,18,1.65,85,0,1,2,3,1,0,1,0,1,0,1,0,31.22
1,18,1.6,55,0,1,2,4,2,0,2,0,2,1,1,0,21.48
0,19,1.8,70,0,1,3,3,2,0,1,0,2,0,0,0,21.6
1,18,1.64,59,1,1,2,3,1,0,1,0,1,1,1,0,21.94
0,19,1.89,87,0,1,2,4,2,0,2,0,3,1,2,0,24.36
1,19,1.76,80,1,1,2,1,1,0,3,0,3,1,0,0,25.83
1,18,1.56,55,0,1,2,3,1,0,1,0,0,0,2,0,22.6
1,18,1.6,56,1,1,2,1,3,0,2,0,1,0,1,1,21.88
1,19,1.67,64,0,1,3,3,1,0,2,0,2,1,1,0,22.95
1,19,1.6,60,0,1,2,3,2,0,2,0,0,1,1,0,23.44
1,18,1.55,56,0,1,2,3,1,0,1,0,0,0,0,0,23.31
1,18,1.55,50,1,1,3,3,2,0,1,0,1,2,0,0,20.81
0,26,1.72,65,1,1,2,3,1,0,2,0,0,1,1,1,21.97
0,18,1.72,53,1,1,2,3,1,0,2,0,0,2,1,0,17.92
0,19,1.7,60,1,1,2,1,1,0,2,0,2,0,1,0,20.76
1,19,1.51,45,0,1,2,4,1,0,1,0,3,0,1,0,19.74
0,19,1.83,82,1,1,3,3,2,0,2,0,2,0,1,0,24.49
0,19,1.8,87,1,1,2,4,1,0,2,0,2,1,1,0,26.85
1,24,1.6,100.5,1,1,3,1,1,0,1,0,0,2,1,0,39.26
1,18,1.63,63,1,1,1,3,1,0,2,0,2,2,1,0,23.71
0,19,1.71,71,0,1,3,3,1,0,2,0,1,1,1,0,24.28
0,19,1.7,65,1,0,2,3,2,0,2,0,1,0,0,0,22.49
0,23,1.75,69,0,0,3,3,0,0,2,0,2,1,1,0,22.53
1,18,1.62,50,0,1,3,3,1,0,1,0,0,0,1,0,19.05
1,20,1.68,68,0,1,3,1,1,0,1,0,1,0,0,0,24.09
0,18,1.85,66,0,1,2,3,2,0,1,0,1,1,1,0,19.28
1,33,1.59,60,0,1,3,1,2,0,2,0,0,0,0,0,23.73
1,19,1.5,45,0,1,2,3,1,0,1,0,0,0,1,0,20
0,19,1.69,60,0,1,2,3,3,0,1,0,1,1,1,0,21.01
0,19,1.76,79,1,1,2,3,2,0,3,0,1,2,2,0,25.5
1,18,1.62,55,1,1,2,3,2,0,1,0,1,1,0,0,20.96
0,21,1.71,100,1,1,2,1,1,0,2,0,0,2,0,0,34.2
0,27,1.72,88,1,1,2,1,3,0,2,0,0,0,1,0,29.75
0,17,1.8,68,1,0,2,3,1,0,1,0,2,1,1,0,20.99
0,18,1.93,86,0,0,3,4,3,0,2,0,2,0,1,1,23.09
1,18,1.6,51,1,1,2,3,2,0,1,0,1,1,1,0,19.92
0,22,1.74,75,1,1,3,3,2,0,1,0,1,0,0,0,24.77
0,22,1.74,75,1,1,3,3,2,0,1,0,1,0,0,0,24.77
1,20,1.62,45,0,1,3,3,2,0,1,0,1,0,1,0,17.15
1,19,1.54,42,0,1,3,1,1,0,2,0,0,1,0,0,17.71
1,20,1.56,51.5,0,1,2,3,2,0,2,0,3,0,1,0,21.16
1,18,1.6,83,1,1,2,3,1,0,2,1,1,0,0,0,32.42
1,18,1.54,71,0,0,3,4,2,0,2,0,1,1,0,0,29.94
1,18,1.63,51,1,1,1,3,2,0,1,0,1,0,1,0,19.2
0,19,1.78,64,0,1,2,3,1,0,1,0,1,0,0,0,20.2
1,18,1.62,68,0,0,2,1,1,0,1,0,0,2,0,0,25.91
1,18,1.71,75,1,1,3,3,1,0,2,0,1,0,0,0,25.65
1,18,1.64,56,1,1,3,3,2,0,1,1,1,1,0,0,20.82
0,19,1.69,65,0,1,2,3,2,0,1,0,1,1,1,0,22.76
1,17,1.58,50,0,1,1,4,2,0,2,0,1,2,1,0,20.03
1,18,1.57,50,0,1,2,3,1,0,1,0,0,1,1,0,20.28
0,18,1.74,64,1,1,3,4,1,0,1,1,2,0,1,0,21.14
1,20,1.58,53.5,1,1,2,1,2,0,2,0,1,1,1,0,21.43
1,18,1.5,58,0,1,2,3,1,0,1,0,0,0,0,0,25.78
