Marca temporal,¿Cuál es tu edad?,¿Cuál es tu peso? (En kilogramos),¿Cuál es tu estatura? (en metros),¿Que tipo de alimentos consumes principalmente?,"¿Con qué frecuencia comes estos tipos de alimentos? [Proteínas (carne, huevos, etc)]",¿Con qué frecuencia comes estos tipos de alimentos? [Vegetales y frutas],"¿Con qué frecuencia comes estos tipos de alimentos? [Grasas y aceites (mantequilla, aceites, etc.)]","¿Con qué frecuencia comes estos tipos de alimentos? [Lácteos (leche, queso, yogurt, etc.)]","¿Con qué frecuencia comes estos tipos de alimentos? [Cereales y Granos (arroz, avena, quinoa, etc.)]",¿Con qué frecuencia comes estos tipos de alimentos? [Azúcares y dulces],¿Realizas actividad física?,¿Qué tipo de actividad física realizas?,¿Con qué frecuencia realizas la/las actividades?,En general ¿cuánto dura tu actividad física?,¿En qué ciclo te encuentras ahora mismo?,¿En cuál de estas secciones te encuentras actualmente? (Puedes verlo en Sistema académico < Currícula < Mi avance académico. Luego vas a la sección Historial académico (ya fuera del menú del costado)). 
5/05/2023 14:07:44,18,86,1.74,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,4 veces por semana,5 veces por semana,2 veces por semana,3 veces por semana,4 veces por semana,No,,,,Tercer Ciclo,5.Ninguno de los anteriores
5/05/2023 14:08:15,18,59,1.55,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,3 veces por semana,2 veces por semana,5 veces por semana,6 veces por semana,1 vez por semana,Sí,"Fútbol, Voley",1 vez por semana,1:30:00,Segundo Ciclo,3.Tercio superior
5/05/2023 14:09:38,20,54,1.57,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,3 veces por semana,6 veces por semana,5 veces por semana,4 veces por semana,No,,,,Séptimo Ciclo,1.Décimo superior
5/05/2023 14:11:42,18,55,1.70,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,6 veces por semana,Sí,Básquet,2/3 veces por semana,2:00:00,Tercer Ciclo,5.Ninguno de los anteriores
5/05/2023 14:12:02,21,80,1.74,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,Sí,"Fútbol, Voley, Natación, Gimnasia, Gimnasio/Calistenia/Crossfit, Artes Marciales, Ciclismo",1 vez por semana,3:00:00,Tercer Ciclo,3.Tercio superior
5/05/2023 14:13:57,19,49,1.53,"No procesados (Comida Casera, Menú, Cafetería, etc.)",2 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,4 veces por semana,3 veces por semana,No,,,,Segundo Ciclo,1.Décimo superior
5/05/2023 14:17:43,19,50,1.60,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,6 veces por semana,3 veces por semana,2 veces por semana,3 veces por semana,3 veces por semana,No,,,,Quinto Ciclo,3.Tercio superior
5/05/2023 14:18:57,18,48,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,2 veces por semana,3 veces por semana,6 veces por semana,5 veces por semana,No,,,,Segundo Ciclo,5.Ninguno de los anteriores
5/05/2023 14:19:03,18,60,1.78,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,3 veces por semana,3 veces por semana,1 vez por semana,4 veces por semana,5 veces por semana,No,,,,Segundo Ciclo,5.Ninguno de los anteriores
5/05/2023 14:23:41,17,56,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,Sí,"Fútbol, Natación, Running",2/3 veces por semana,1:00:00,Primer Ciclo,5.Ninguno de los anteriores
5/05/2023 14:23:44,17,58,1.7,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Segundo Ciclo,4.Medio superior
5/05/2023 14:28:41,17,67,1.70,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,4 veces por semana,2 veces por semana,No,,,,Tercer Ciclo,1.Décimo superior
5/05/2023 14:29:07,20,65,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,5 veces por semana,1 vez por semana,2 veces por semana,2 veces por semana,2 veces por semana,Sí,Natación,1 vez por semana,1:00:00,Cuarto Ciclo,5.Ninguno de los anteriores
5/05/2023 14:29:25,18,82,1.80,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,Sí,Gimnasia,2/3 veces por semana,1:00:00,Tercer Ciclo,3.Tercio superior
5/05/2023 14:33:10,18,68,1.73,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,Sí,"Natación, Gimnasio/Calistenia/Crossfit",4/5 veces por semana,1:30:00,Tercer Ciclo,4.Medio superior
5/05/2023 14:39:30,21,60,1.60,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Noveno Ciclo,1.Décimo superior
5/05/2023 14:48:09,19,57.6,1.71,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,3 veces por semana,4 veces por semana,5 veces por semana,3 veces por semana,Sí,"Fútbol, Voley",1 vez por semana,1:00:00,Séptimo Ciclo,1.Décimo superior
5/05/2023 14:52:58,18,92,1.58,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,1 vez por semana,4 veces por semana,7 veces por semana,7 veces por semana,4 veces por semana,No,,,,Segundo Ciclo,2.Quinto superior
5/05/2023 14:56:29,22,56,1.63,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,5 veces por semana,5 veces por semana,4 veces por semana,5 veces por semana,4 veces por semana,Sí,"Gimnasia, Running",4/5 veces por semana,1:00:00,Cuarto Ciclo,4.Medio superior
5/05/2023 14:57:19,18,49,1.54,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,5 veces por semana,3 veces por semana,Sí,Artes Marciales,2/3 veces por semana,1:00:00,Tercer Ciclo,5.Ninguno de los anteriores
5/05/2023 14:58:12,18,47,1.61,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,4 veces por semana,6 veces por semana,5 veces por semana,6 veces por semana,6 veces por semana,No,,,,Tercer Ciclo,5.Ninguno de los anteriores
5/05/2023 15:00:18,20,70,1.73,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,No,,,,Cuarto Ciclo,5.Ninguno de los anteriores
5/05/2023 15:01:56,19,60,1.55,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,No,,,,Cuarto Ciclo,3.Tercio superior
5/05/2023 15:02:43,19,70,1.68,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,7 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,Sí,"Fútbol, Básquet",6/7 veces por semana,3:00:00,Cuarto Ciclo,3.Tercio superior
5/05/2023 15:03:47,19,67,1.74,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,4 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,Sí,"Fútbol, Natación, Tenis",1 vez por semana,1:30:00,Cuarto Ciclo,3.Tercio superior
5/05/2023 15:04:07,19,50,1.5,"No procesados (Comida Casera, Menú, Cafetería, etc.)",2 veces por semana,1 vez por semana,3 veces por semana,2 veces por semana,3 veces por semana,1 vez por semana,No,,,,Cuarto Ciclo,3.Tercio superior
5/05/2023 15:05:08,21,60,1.60,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,5 veces por semana,3 veces por semana,4 veces por semana,4 veces por semana,3 veces por semana,Sí,Ciclismo,2/3 veces por semana,4:00:00,Tercer Ciclo,4.Medio superior
5/05/2023 15:07:05,20,61,1.70,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,7 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,Sí,"Fútbol, Running",4/5 veces por semana,2:00:00,Sexto Ciclo,3.Tercio superior
5/05/2023 15:07:35,19,74,1.77,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,No,,,,Sexto Ciclo,2.Quinto superior
5/05/2023 15:08:36,22,75,1.71,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,4 veces por semana,1 vez por semana,7 veces por semana,2 veces por semana,Sí,Ciclismo,4/5 veces por semana,1:00:00,Décimo Ciclo,3.Tercio superior
5/05/2023 15:08:46,22,70,1.65,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Décimo Ciclo,1.Décimo superior
5/05/2023 15:09:08,21,68,1.62,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,5 veces por semana,3 veces por semana,5 veces por semana,4 veces por semana,3 veces por semana,Sí,"Fútbol, Voley, Tenis de mesa",4/5 veces por semana,1:00:00,Décimo Ciclo,3.Tercio superior
5/05/2023 15:10:22,20,60,1.61,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,Sí,Fútbol,2/3 veces por semana,2:00:00,Tercer Ciclo,4.Medio superior
5/05/2023 15:10:37,20,65,1.73,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,4 veces por semana,2 veces por semana,2 veces por semana,4 veces por semana,4 veces por semana,No,,,,Segundo Ciclo,4.Medio superior
5/05/2023 15:10:45,24,110,1.81,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,3 veces por semana,7 veces por semana,4 veces por semana,7 veces por semana,5 veces por semana,No,,,,Quinto Ciclo,1.Décimo superior
5/05/2023 15:10:57,21,62,1.66,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,1 vez por semana,2:00:00,Cuarto Ciclo,3.Tercio superior
5/05/2023 15:11:03,20,50,1.62,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,4 veces por semana,4 veces por semana,2 veces por semana,6 veces por semana,5 veces por semana,No,,,,Segundo Ciclo,2.Quinto superior
5/05/2023 15:11:05,19,90,1.70,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,Sí,"Fútbol, Básquet, Voley, Ciclismo",2/3 veces por semana,2:00:00,Quinto Ciclo,4.Medio superior
5/05/2023 15:11:12,21,85,1.75,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,Sí,"Fútbol, Gimnasio/Calistenia/Crossfit",2/3 veces por semana,1:20:00,Tercer Ciclo,5.Ninguno de los anteriores
5/05/2023 15:11:47,19,72,1.66,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,4 veces por semana,4 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,Sí,"Fútbol, Voley, Natación, Gimnasio/Calistenia/Crossfit",2/3 veces por semana,2:00:00,Quinto Ciclo,3.Tercio superior
5/05/2023 15:13:58,22,72,1.67,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,2 veces por semana,5 veces por semana,1 vez por semana,3 veces por semana,4 veces por semana,Sí,Fútbol,2/3 veces por semana,1:00:00,Segundo Ciclo,3.Tercio superior
5/05/2023 15:15:18,19,54,1.54,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Cuarto Ciclo,4.Medio superior
5/05/2023 15:15:29,23,60,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,5 veces por semana,6 veces por semana,7 veces por semana,6 veces por semana,7 veces por semana,No,,,,Octavo Ciclo,1.Décimo superior
5/05/2023 15:15:33,21,56,1.68,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,4 veces por semana,5 veces por semana,5 veces por semana,7 veces por semana,5 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,2/3 veces por semana,0:40:00,Primer Ciclo,3.Tercio superior
5/05/2023 15:15:49,19,68,1.55,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,5 veces por semana,2 veces por semana,5 veces por semana,5 veces por semana,No,,,,Sexto Ciclo,5.Ninguno de los anteriores
5/05/2023 15:16:10,23,70,1.69,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,3 veces por semana,5 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,Sí,"Gimnasio/Calistenia/Crossfit, Ciclismo",2/3 veces por semana,1:00:00,Noveno Ciclo,4.Medio superior
5/05/2023 15:17:04,19,70,1.75,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Cuarto Ciclo,4.Medio superior
5/05/2023 15:17:28,18,58,1.68,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,5 veces por semana,4 veces por semana,4 veces por semana,5 veces por semana,4 veces por semana,No,,,,Cuarto Ciclo,2.Quinto superior
5/05/2023 15:17:42,18,60,1.61,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,6 veces por semana,3 veces por semana,5 veces por semana,6 veces por semana,5 veces por semana,No,,,,Cuarto Ciclo,3.Tercio superior
5/05/2023 15:18:20,20,80,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,1 vez por semana,3 veces por semana,5 veces por semana,7 veces por semana,5 veces por semana,No,,,,Cuarto Ciclo,2.Quinto superior
5/05/2023 15:19:02,23,53,1.54,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Tercer Ciclo,2.Quinto superior
5/05/2023 15:19:35,18,76,1.78,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,Sí,"Fútbol, Básquet, Running",4/5 veces por semana,2:30:00,Quinto Ciclo,1.Décimo superior
5/05/2023 15:19:52,19,58,1.60,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,7 veces por semana,6 veces por semana,No,,,,Quinto Ciclo,5.Ninguno de los anteriores
5/05/2023 15:21:08,22,54,1.60,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,5 veces por semana,2 veces por semana,5 veces por semana,4 veces por semana,No,,,,Quinto Ciclo,4.Medio superior
5/05/2023 15:21:27,19,56,1.54,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Quinto Ciclo,5.Ninguno de los anteriores
5/05/2023 15:30:35,18,58,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,Sí,"Voley, Artes Marciales, Running",2/3 veces por semana,1:30:00,Tercer Ciclo,3.Tercio superior
5/05/2023 15:33:05,18,80,1.8,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,6 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,4/5 veces por semana,2:00:00,Tercer Ciclo,1.Décimo superior
5/05/2023 15:33:34,23,68,1.66,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,6 veces por semana,No,,,,Noveno Ciclo,4.Medio superior
5/05/2023 15:34:40,18,70,1.78,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,4 veces por semana,3 veces por semana,7 veces por semana,4 veces por semana,No,,,,Segundo Ciclo,3.Tercio superior
5/05/2023 15:35:15,18,60.4,1.63,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,3 veces por semana,4 veces por semana,2 veces por semana,7 veces por semana,2 veces por semana,No,,,,Segundo Ciclo,1.Décimo superior
5/05/2023 15:36:04,18,62,1.66,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,Sí,"Fútbol, Gimnasio/Calistenia/Crossfit",2/3 veces por semana,2:50:00,Segundo Ciclo,2.Quinto superior
5/05/2023 15:38:19,21,57,1.61,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,No,,,,Cuarto Ciclo,2.Quinto superior
5/05/2023 15:38:57,20,76,1.7,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,4/5 veces por semana,2:00:00,Quinto Ciclo,3.Tercio superior
5/05/2023 15:42:08,19,55,1.60,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,1 vez por semana,2 veces por semana,2 veces por semana,2 veces por semana,Sí,Gimnasia,4/5 veces por semana,2:00:00,Cuarto Ciclo,4.Medio superior
5/05/2023 15:42:42,17,80,1.80,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,6 veces por semana,3 veces por semana,3 veces por semana,4 veces por semana,3 veces por semana,Sí,"Fútbol, Gimnasio/Calistenia/Crossfit",2/3 veces por semana,2:30:00,Segundo Ciclo,5.Ninguno de los anteriores
5/05/2023 15:42:46,19,50,1.58,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,6 veces por semana,5 veces por semana,6 veces por semana,5 veces por semana,6 veces por semana,Sí,"Natación, Gimnasia",2/3 veces por semana,3:00:00,Quinto Ciclo,5.Ninguno de los anteriores
5/05/2023 15:44:16,19,47,1.50,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,3 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,4/5 veces por semana,2:30:00,Cuarto Ciclo,5.Ninguno de los anteriores
5/05/2023 15:58:18,18,70,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,5 veces por semana,5 veces por semana,6 veces por semana,5 veces por semana,No,,,,Segundo Ciclo,5.Ninguno de los anteriores
5/05/2023 16:26:07,18,76,1.76,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,5 veces por semana,5 veces por semana,3 veces por semana,3 veces por semana,Sí,"Gimnasia, Gimnasio/Calistenia/Crossfit, Artes Marciales",4/5 veces por semana,1:30:00,Tercer Ciclo,4.Medio superior
5/05/2023 16:45:40,20,56,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,2 veces por semana,4 veces por semana,5 veces por semana,4 veces por semana,Sí,Voley,1 vez por semana,4:30:00,Tercer Ciclo,5.Ninguno de los anteriores
5/05/2023 16:56:30,19,70,1.69,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,3 veces por semana,5 veces por semana,1 vez por semana,6 veces por semana,4 veces por semana,Sí,Ciclismo,2/3 veces por semana,1:00:00,Primer Ciclo,4.Medio superior
5/05/2023 17:25:16,17,93,1.80,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,2 veces por semana,7 veces por semana,4 veces por semana,3 veces por semana,Sí,"Fútbol, Natación",2/3 veces por semana,1:30:00,Tercer Ciclo,3.Tercio superior
5/05/2023 17:37:51,24,75,1.80,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",,,,,,,Sí,Fútbol,6/7 veces por semana,2:00:00,Séptimo Ciclo,1.Décimo superior
5/05/2023 18:03:29,18,69,1.74,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,7 veces por semana,Sí,Fútbol,1 vez por semana,1:00:00,Tercer Ciclo,3.Tercio superior
5/05/2023 18:11:05,20,80,1.84,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,6 veces por semana,7 veces por semana,5 veces por semana,6 veces por semana,Sí,Fútbol,1 vez por semana,1:00:00,Cuarto Ciclo,5.Ninguno de los anteriores
5/05/2023 18:21:11,18,58,1.63,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,3 veces por semana,3 veces por semana,2 veces por semana,4 veces por semana,5 veces por semana,No,,,,Tercer Ciclo,1.Décimo superior
5/05/2023 18:51:47,19,60,1.60,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,5 veces por semana,6 veces por semana,5 veces por semana,3 veces por semana,No,,,,Segundo Ciclo,4.Medio superior
5/05/2023 19:46:14,23,89,1.83,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,7 veces por semana,3 veces por semana,5 veces por semana,3 veces por semana,1 vez por semana,Sí,"Fútbol, Running, Gimnasio/Calistenia/Crossfit",4/5 veces por semana,4:00:00,Tercer Ciclo,4.Medio superior
5/05/2023 20:08:38,17,52,1.53,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,5 veces por semana,4 veces por semana,3 veces por semana,7 veces por semana,3 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,4/5 veces por semana,2:00:00,Tercer Ciclo,1.Décimo superior
5/05/2023 22:55:46,18,72,1.60,"No procesados (Comida Casera, Menú, Cafetería, etc.)",5 veces por semana,3 veces por semana,4 veces por semana,2 veces por semana,6 veces por semana,2 veces por semana,Sí,"Voley, Gimnasio/Calistenia/Crossfit",2/3 veces por semana,1:00:00,Tercer Ciclo,4.Medio superior
5/05/2023 23:47:11,18,85,1.78,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,6 veces por semana,5 veces por semana,5 veces por semana,6 veces por semana,6 veces por semana,No,,,,Tercer Ciclo,3.Tercio superior
6/05/2023 10:07:32,18,77,1.74,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,7 veces por semana,4 veces por semana,5 veces por semana,3 veces por semana,Sí,"Natación, Artes Marciales",2/3 veces por semana,2:00:00,Tercer Ciclo,2.Quinto superior
6/05/2023 16:17:18,19,65,1.65,"No procesados (Comida Casera, Menú, Cafetería, etc.)",3 veces por semana,4 veces por semana,2 veces por semana,4 veces por semana,4 veces por semana,2 veces por semana,Sí,Voley,1 vez por semana,1:20:03,Cuarto Ciclo,4.Medio superior
7/05/2023 18:43:39,18,48,1.56,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,5 veces por semana,6 veces por semana,6 veces por semana,3 veces por semana,No,,,,Segundo Ciclo,4.Medio superior
