Marca.temporal,Edad,SitLab,Horas_trabajo,Dias_trabajo,Minutos_trabajo,DistritoR,DistritoV,Estudios,Religion,Dispositivos,ConocimientoIA,ConocimientoRIA,Consciente,ConoceIAs,UsoIA,DivulgaIA,ReemplazoIA1,ReemplazoIA2,ReemplazoIA3,ProblemaIA,GradoInsatisfaccion
24/05/2023 11:06:11,21,Desempleado,0,0,0,Lima Este,No Laburo,Secundaria,Ateo,"Laptop O Computadora, Smartphone",Sí,Sí,No del todo,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,1,1,0,Sí,3
24/05/2023 12:05:24,22,Desempleado,0,0,0,Lima Norte,No Laburo,Secundaria,Agnóstica ,Laptop O Computadora,Sí,Sí,Si,Sí,Realizar alguna tarea,No,1,0,0,No,3
24/05/2023 14:55:55,17,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta",Sí,Tal vez,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",No,1,1,0,No,3
24/05/2023 14:56:09,18,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Organizar horarios, Obtener información, Realizar alguna tarea",Si,1,1,0,Sí,1
24/05/2023 14:57:25,21,Desempleado,0,0,0,Lima Este,No Laburo,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,1,1,0,Sí,2
24/05/2023 14:57:35,21,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Consultar definiciones, Programar",Si,1,1,1,No,1
24/05/2023 14:58:15,21,Desempleado,0,0,0,Lima Sur,No Laburo,Secundaria,Atea,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,No del todo,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones",Si,1,1,1,No,1
24/05/2023 14:58:34,19,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Organizar horarios, Obtener información, Realizar alguna tarea, Consultar definiciones",Si,1,1,0,No,2
24/05/2023 15:00:33,22,Desempleado,0,0,0,Lima Este,No Laburo,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Organizar horarios, Obtener información, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,0,Sí,3
24/05/2023 15:01:09,20,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,Sí,3
24/05/2023 15:05:08,21,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Agnóstico ,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,1,1,1,Sí,1
24/05/2023 15:05:51,24,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Tal vez,No del todo,Sí,Obtener información,Si,0,0,1,Sí,1
24/05/2023 15:09:21,22,Empleado de medio tiempo,5,5,40,Lima Oeste,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Realizar alguna tarea, Consultar definiciones",Si,1,0,1,Sí,3
24/05/2023 15:09:37,21,Desempleado,0,0,0,Lima Este,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,No del todo,Sí,"Obtener información, Consultar definiciones",Si,1,0,0,Sí,2
24/05/2023 15:10:26,23,Empleado de tiempo completo,6,4,50,Lima Oeste,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,No del todo,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,0,Sí,3
24/05/2023 15:11:42,20,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Consultar definiciones",No,0,1,0,Sí,2
24/05/2023 15:12:38,21,Desempleado,0,0,0,Lima Este,No Laburo,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Armar presentaciones, Realizar alguna tarea",Si,1,1,1,Sí,3
24/05/2023 15:14:00,22,Desempleado,0,0,0,Lima Este,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Consultar definiciones",Si,1,1,0,Sí,3
24/05/2023 15:16:36,19,Empleado de medio tiempo,4,4,60,Lima Oeste,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,1,1,1,Sí,1
24/05/2023 15:17:24,17,Desempleado,0,0,0,Lima Norte,No Laburo,Secundaria,Agnóstico ,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,0,1,0,Sí,3
24/05/2023 15:18:13,23,Desempleado,0,0,0,Lima Oeste,No Laburo,Bachiller,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Consultar definiciones, Programar",Si,1,1,0,No,3
24/05/2023 15:18:24,18,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,1,1,0,Sí,3
24/05/2023 15:18:37,0,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,Sí,3
24/05/2023 15:19:05,20,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",No del todo,Sí,Si,Sí,Otros,Si,1,1,1,Sí,1
24/05/2023 15:19:15,19,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,Laptop O Computadora,Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Consultar definiciones",Si,1,1,0,Sí,3
24/05/2023 15:19:29,22,Desempleado,0,0,0,Lima Oeste,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",No del todo,Sí,No del todo,Sí,"Organizar horarios, Obtener información",Si,1,1,1,Sí,2
24/05/2023 15:19:31,18,Desempleado,0,0,0,Lima Este,No Laburo,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea, Programar",Si,1,1,1,Sí,1
24/05/2023 15:21:37,26,Empleado de tiempo completo,6,5,90,Lima Norte,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,No,1
24/05/2023 15:22:13,21,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,Sí,1
24/05/2023 15:24:11,22,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,Ninguna,Si,1,1,1,Sí,1
24/05/2023 15:24:54,22,Desempleado,1.5,7,4,Lima Este,Lima Oeste,Secundaria,Cristiano,Laptop O Computadora,Sí,Sí,Si,Sí,"Organizar horarios, Otros",Si,1,1,1,Sí,4
24/05/2023 15:25:15,18,Desempleado,2,0,30,Lima Este,Lima Este,Bachiller,Cristiano,Laptop O Computadora,Sí,Sí,Si,Sí,"Organizar horarios, Programar",Si,1,1,1,Sí,1
24/05/2023 15:27:20,18,Desempleado,1.5,5,0,Lima Oeste,No Laburo,Secundaria,Cristiano,Laptop O Computadora,Sí,Sí,No del todo,No del todo,"Obtener información, Realizar alguna tarea",No,1,1,1,Sí,1
24/05/2023 15:28:04,23,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Consultar definiciones",No,1,1,0,Sí,3
24/05/2023 15:28:45,21,Desempleado,1,0,12,Lima Oeste,Lima Oeste,Bachiller,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Armar presentaciones, Realizar alguna tarea",Si,1,1,1,Sí,1
24/05/2023 15:30:10,24,Empleado de medio tiempo,4,5,60,Lima Oeste,Lima Este,Secundaria,Cristiano,"Tableta, Smartphone",No del todo,Sí,Si,Sí,"Obtener información, Otros",Si,1,1,1,Sí,1
24/05/2023 15:31:31,18,Desempleado,0,0,0,Lima Norte,No Laburo,Secundaria,Cristiano,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Organizar horarios, Obtener información, Programar, Otros",Si,1,0,0,Sí,3
24/05/2023 15:32:14,19,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Armar presentaciones, Realizar alguna tarea, Consultar definiciones",Si,1,0,1,No,1
24/05/2023 15:34:54,19,Desempleado,0,0,0,Lima Sur,No Laburo,Secundaria,Católico,"Laptop O Computadora, Tableta",No del todo,No,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,0,0,Sí,1
24/05/2023 15:42:53,21,Empleado de medio tiempo,6,5,40,Lima Oeste,Lima Oeste,Secundaria,Ninguna,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,0,Sí,3
24/05/2023 16:16:11,22,Desempleado,0,0,0,Lima Sur,No Laburo,Secundaria,Católico,Laptop O Computadora,No del todo,No,No del todo,No del todo,"Obtener información, Consultar definiciones",Si,1,1,1,Sí,3
24/05/2023 16:32:07,18,Desempleado,0,0,0,Lima Oeste,Lima Oeste,Secundaria,Católico,Laptop O Computadora,Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea",No,1,1,0,Sí,3
24/05/2023 19:06:17,50,Empleado de tiempo completo,12,5,60,Lima Oeste,Lima Oeste,Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Consultar definiciones",Si,1,1,1,Sí,1
24/05/2023 19:16:15,50,Empleado de tiempo completo,9.5,5,15,Lima Oeste,Lima Oeste,Master,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,Programar,Si,1,0,0,Sí,1
24/05/2023 19:31:42,22,Empleado de medio tiempo,5,5,40,Lima Oeste,Lima Oeste,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Realizar alguna tarea, Consultar definiciones",Si,1,0,1,Sí,3
24/05/2023 21:44:39,6,Empleado de medio tiempo,4,5,0,Lima Sur,Lima Sur,Secundaria,Católico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,No,1
24/05/2023 23:08:07,22,Desempleado,0,0,0,Lima Sur,No Laburo,Secundaria,Cristiano,Laptop O Computadora,No del todo,No,No del todo,Sí,Otros,Si,1,1,0,No,4
25/05/2023 9:23:45,18,Desempleado,0,0,0,Lima Oeste,No Laburo,Secundaria,Deísta,"Laptop O Computadora, Tableta, Smartphone",Sí,Sí,No del todo,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,1,0,0,No,2
