Marca temporal,¿Cuál es su edad? (años),¿Cuál es su sexo?,¿En qué universidad estudia? ,¿Qué carrera universitaria estudia?,¿En que ciclo se encuentra actualmente?,¿Cuál fue su promedio ponderado en su ciclo pasado? (colocar 2 decimales),¿Cuántos cursos está llevando actualmente?,¿Qué tanta dificultad encuentras en tus cursos?,¿Cuánto tiempo dedicas al estudio por dia? (en minutos),Indique su grado de satisfacción de acuerdo a las preguntas planteadas. [¿Crees que tus profesores dificultan tu aprendizaje?],Indique su grado de satisfacción de acuerdo a las preguntas planteadas. [¿Crees que la infraestructura de tu universidad favorece tu aprendizaje?],Indique (Si / No) basados en las preguntas planteadas. [¿Crees que tu universidad invierte lo suficiente en sus laboratorios?],Indique (Si / No) basados en las preguntas planteadas. [¿Crees que tu universidad invierte lo suficiente con respecto al apoyo al bienestar de los estudiantes? (Académica y/o psicológica)],Durante los ciclos virtuales. ¿Qué tan buena te pareció la  educación brindada por tu universidad?,¿Con qué dispositivo móvil ( en su mayoría ) accedía a sus clases virtuales?,En una escala de 1 al 10. ¿Cuánto consideras que tu universidad apoya en los intercambios estudiantiles? ,¿Que medios de movilización hay en tu universidad? [Ascensor ],¿Que medios de movilización hay en tu universidad? [Bus],¿Que medios de movilización hay en tu universidad? [Escaleras]
30/04/2022 14:31:53,15,Masculino,UNI,Ingeniería Ambiental,8,18.24,7,5,120 min,Totalmente de acuerdo,De acuerdo,Sí,No,5,Celular,8,No,Si,No
30/04/2022 14:41:49,19,Femenino,UNI,Ingeniería de Sistemas,5,17.2,7,3,180,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,No,2,Laptop,3,No,Si,Si
30/04/2022 14:55:08,19,Masculino,UTEC,Ingeniería Industrial,4,13,4,4,60,De acuerdo,De acuerdo,Sí,Sí,5,Laptop,9,No,No,No
30/04/2022 15:06:21,25,Masculino,UNI,Matemática,5,14.00,4,5,2 h,De acuerdo,De acuerdo,Sí,Sí,2,Computadora,9,No,Si,Si
30/04/2022 15:33:55,23,Masculino,UTEC,Ingeniería Electrónica,2,15,4,4,3 horas,En desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
30/04/2022 16:25:10,22,Masculino,UNI,Ciencia de la Computación,10,13.92,3,3,1h,Totalmente de acuerdo,En desacuerdo,No,No,3,Computadora,3,No,Si,Si
30/04/2022 17:21:52,23,Femenino,UTEC,Ingeniería Industrial,2,18.1,7,4,200,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,4,Laptop,5,Si,No,Si
1/05/2022 12:06:14,25,Masculino,UNI,Arquitectura,7,11.54,7,4,250,Totalmente en desacuerdo,Totalmente en desacuerdo,No,No,2,Laptop,2,No,Si,Si
1/05/2022 12:15:55,22,Femenino,UNI,Ingeniería Industrial,5,11.8,7,3,120,De acuerdo,Totalmente de acuerdo,No,Sí,3,Tablet y/o IPad,3,No,Si,Si
1/05/2022 16:51:31,21,Masculino,UNI,Ingeniería Ambiental,8,14,7,5,180,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,No,5,Computadora,5,No,Si,Si
2/05/2022 12:04:22,19,Femenino,UTEC,Ciencia de la Computación,3,15.00,6,5,30,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,7,Si,No,Si
2/05/2022 21:18:48,19,Femenino,UTEC,Ingeniería Civil,2,18,6,5,140,Totalmente en desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,8,Si,No,Si
2/05/2022 21:35:13,19,Femenino,UTEC,Bioingeniería,2,17.90,6,5,300,En desacuerdo,Totalmente en desacuerdo,Sí,No,4,Laptop,7,Si,No,Si
2/05/2022 21:39:13,19,Masculino,UTEC,Ingeniería Ambiental,2,16,7,2,120,Totalmente en desacuerdo,De acuerdo,Sí,Sí,4,Laptop,9,Si,No,Si
2/05/2022 21:41:00,19,Femenino,UTEC,Ingeniería Electrónica,2,13.6,6,5,60,Totalmente en desacuerdo,En desacuerdo,Sí,No,3,Laptop,10,Si,No,Si
2/05/2022 21:55:52,19,Femenino,UNI,Ingeniería Química,3,17,5,4,250,En desacuerdo,En desacuerdo,No,Sí,3,Celular,9,Si,No,Si
2/05/2022 21:57:52,25,Masculino,UNI,Ingeniería Civil,10,16,4,2,120,En desacuerdo,Totalmente en desacuerdo,Sí,Sí,4,Celular,5,No,No,No
2/05/2022 21:58:22,18,Masculino,UNI,Ingeniería Mecatrónica,3,17.4,4,4,240,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,Sí,3,Laptop,6,No,Si,Si
2/05/2022 22:04:47,19,Masculino,UNI,Ingeniería Mecatrónica,3,14.91,5,4,360,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,No,3,Computadora,7,No,Si,Si
2/05/2022 22:04:53,24,Masculino,UNI,Ingeniería Mecánica,3,16,7,5,240,De acuerdo,Totalmente en desacuerdo,No,No,1,Laptop,3,No,Si,Si
2/05/2022 22:08:12,21,Masculino,UNI,Ingeniería Mecánica,3,17.18,6,4,200,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,Sí,3,Laptop,5,Si,Si,Si
2/05/2022 22:09:53,18,Masculino,UTEC,Ingeniería Industrial,2,18.7,6,3,120,En desacuerdo,De acuerdo,No,Sí,3,Tablet y/o IPad,3,Si,No,Si
2/05/2022 22:10:04,18,Masculino,UNI,Ingeniería Mecatrónica,3,17,6,5,2 horas,En desacuerdo,Totalmente de acuerdo,No,No,4,Laptop,6,No,Si,Si
2/05/2022 22:10:10,25,Prefiero no decirlo,UTEC,Arquitectura,10,10,5,5,180,Totalmente de acuerdo,Totalmente en desacuerdo,No,No,1,Celular,1,No,No,No
2/05/2022 22:12:46,19,Masculino,UNI,Ingeniería Mecatrónica,3,17.9,5,4,240,Totalmente en desacuerdo,Totalmente en desacuerdo,Sí,Sí,4,Laptop,8,Si,Si,Si
2/05/2022 22:13:47,19,Femenino,UNI,Ingeniería de la Energía,5,16.75,7,1,120,Totalmente de acuerdo,Totalmente de acuerdo,Sí,Sí,1,Tablet y/o IPad,10,Si,Si,Si
2/05/2022 22:14:41,19,Masculino,UNI,Ingeniería Mecatrónica,3,16.10,5,4,30,Ni de acuerdo ni en desacuerdo,En desacuerdo,Sí,Sí,3,Computadora,5,No,Si,Si
2/05/2022 22:15:03,18,Masculino,UNI,Ingeniería Mecánica - Eléctrica,3,14,5,5,1 h ,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,No,Sí,4,Laptop,7,Si,Si,Si
2/05/2022 22:15:22,18,Prefiero no decirlo,UNI,Ingeniería de Higiene y Seguridad Industrial,6,17.45,7,1,30 min,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,No,No,4,Tablet y/o IPad,6,Si,Si,Si
2/05/2022 22:23:10,19,Masculino,UNI,Ingeniería Mecatrónica,3,12.10,6,3,120,De acuerdo,Ni de acuerdo ni en desacuerdo,No,No,1,Computadora,5,No,No,Si
2/05/2022 22:27:59,19,Masculino,UNI,Ingeniería Mecánica,3,17,6,4,180,De acuerdo,Ni de acuerdo ni en desacuerdo,No,No,3,Computadora,6,No,Si,Si
2/05/2022 22:34:28,19,Masculino,UNI,Ingeniería Química,2,13.5,7,4,200,Ni de acuerdo ni en desacuerdo,En desacuerdo,Sí,Sí,4,Laptop,8,Si,Si,Si
2/05/2022 22:35:02,19,Masculino,UTEC,Ingeniería Mecánica,2,15,7,5,240,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,No,2,Celular,6,Si,No,Si
2/05/2022 22:39:13,19,Masculino,UNI,Ingeniería Mecatrónica,3,14.9,5,4,100,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,No,3,Laptop,5,No,Si,Si
2/05/2022 22:51:24,19,Femenino,UNI,Arquitectura,5,19.15,7,3,250,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,No,2,Laptop,4,Si,Si,Si
3/05/2022 7:04:35,19,Masculino,UTEC,Ingeniería Civil,2,17,7,5,210,De acuerdo,De acuerdo,Sí,Sí,3,Laptop,8,Si,Si,Si
3/05/2022 14:09:43,19,Masculino,UTEC,Bioingeniería,2,12.5,7,4,30,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
3/05/2022 14:11:59,23,Femenino,UTEC,Ingeniería Civil,7,16.95,6,4,90,En desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Tablet y/o IPad,8,Si,No,Si
3/05/2022 14:18:51,22,Femenino,UNI,Arquitectura,5,11.55,6,5,120,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,No,2,Computadora,5,No,Si,Si
3/05/2022 14:27:36,20,Femenino,UNI,Ciencia de la Computación,5,14.75,6,4,1 hora,Ni de acuerdo ni en desacuerdo,De acuerdo,No,No,3,Laptop,6,No,Si,Si
3/05/2022 14:30:10,19,Femenino,UTEC,Ciencia de la Computación,3,18.10,6,4,2 h ,En desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
3/05/2022 14:35:12,19,Masculino,UTEC,Ingeniería Mecatrónica,3,15,6,3,120,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Computadora,5,Si,No,Si
3/05/2022 14:37:22,21,Prefiero no decirlo,UNI,Matemática,5,9.8,6,4,180,De acuerdo,Totalmente de acuerdo,Sí,Sí,3,Computadora,6,No,Si,Si
3/05/2022 15:03:58,20,Femenino,UTEC,Ingeniería Química,2,11,6,4,60,En desacuerdo,De acuerdo,Sí,Sí,3,Laptop,7,Si,No,Si
3/05/2022 15:06:33,25,Femenino,UNI,Ingeniería de la Energía,8,14.5,5,5,90,En desacuerdo,Totalmente en desacuerdo,No,Sí,5,Computadora,10,Si,No,Si
3/05/2022 15:07:05,22,Prefiero no decirlo,UNI,Bioingeniería,9,11.6,7,5,240,En desacuerdo,De acuerdo,No,Sí,5,Computadora,8,Si,No,Si
3/05/2022 15:07:38,26,Masculino,UNI,Ingeniería de Petróleo,10,10,7,3,210,En desacuerdo,Totalmente de acuerdo,No,No,5,Laptop,7,Si,Si,Si
3/05/2022 15:08:20,28,Masculino,UNI,Ciencia de la Computación,4,11,5,5,120 min,Totalmente de acuerdo,Totalmente de acuerdo,No,No,2,Tablet y/o IPad,8,No,No,No
3/05/2022 15:09:55,31,Masculino,UNI,Ingeniería de Higiene y Seguridad Industrial,5,14.1,7,5,2 h ,De acuerdo,De acuerdo,No,Sí,4,Tablet y/o IPad,10,No,Si,No
3/05/2022 15:10:46,19,Femenino,UNI,Ingeniería de Minas,8,15,6,4,90,En desacuerdo,Totalmente en desacuerdo,Sí,Sí,5,NA,7,No,Si,No
3/05/2022 15:12:37,24,Masculino,UNI,Ingeniería Mecánica,8,15.9,6,5,150,Totalmente en desacuerdo,En desacuerdo,No,Sí,4,Tablet y/o IPad,8,Si,Si,Si
3/05/2022 15:13:24,20,Masculino,UNI,Ingeniería de Minas,4,9.8,8,5,210,En desacuerdo,Totalmente en desacuerdo,No,Sí,5,Tablet y/o IPad,9,No,Si,Si
3/05/2022 15:14:31,21,Masculino,UTEC,Ingeniería Industrial,8,12,6,5,60,De acuerdo,En desacuerdo,Sí,Sí,4,Laptop,10,Si,No,Si
3/05/2022 16:10:03,21,Masculino,UTEC,Ingeniería Mecatrónica,3,13,6,3,30 min,En desacuerdo,De acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
3/05/2022 21:24:14,21,Masculino,UNI,Ingeniería Civil,5,7,6,5,120,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,2,Laptop,5,No,Si,Si
3/05/2022 21:29:19,20,Masculino,UNI,Ingeniería Industrial,3,17,5,2,240,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,No,No,2,Laptop,2,No,Si,Si
3/05/2022 21:40:33,27,Masculino,UNI,Ingeniería de Minas,5,13.5,6,2,150,En desacuerdo,En desacuerdo,No,No,2,Laptop,2,No,Si,Si
3/05/2022 21:49:53,20,Femenino,UNI,Ingeniería de Telecomunicaciones,7,19.5,5,1,60 min,Totalmente en desacuerdo,Totalmente en desacuerdo,No,No,3,Laptop,3,No,Si,Si
3/05/2022 21:53:12,24,Masculino,UNI,Ingeniería Civil,8,18.75,6,1,30,De acuerdo,En desacuerdo,No,Sí,3,Laptop,3,No,Si,Si
3/05/2022 21:55:12,21,Prefiero no decirlo,UNI,Ingeniería Civil,6,10,6,4,50,En desacuerdo,En desacuerdo,No,No,2,Laptop,6,No,Si,Si
3/05/2022 21:55:54,24,Femenino,UTEC,Arquitectura,8,16.1,6,1,240,De acuerdo,Ni de acuerdo ni en desacuerdo,No,No,3,Laptop,2,No,Si,Si
3/05/2022 21:56:24,19,Femenino,UNI,Ingeniería Económica,4,14.4,6,4,120,En desacuerdo,Totalmente de acuerdo,Sí,No,3,Computadora,6,No,Si,Si
3/05/2022 21:57:19,19,Femenino,UNI,Ingeniería Ambiental,4,13,6,3,180,De acuerdo,Ni de acuerdo ni en desacuerdo,No,No,2,Laptop,4,No,Si,Si
3/05/2022 22:04:20,19,Masculino,UNI,Ingeniería de Higiene y Seguridad Industrial,4,8.89,6,5,120,En desacuerdo,De acuerdo,Sí,Sí,3,Celular,6,No,Si,Si
3/05/2022 22:05:48,28,Masculino,UNI,Ingeniería de Telecomunicaciones,9,16.98,6,2,280,Totalmente en desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,7,No,Si,Si
3/05/2022 22:12:07,21,Prefiero no decirlo,UNI,Ingeniería Ambiental,7,13.7,6,4,240,En desacuerdo,De acuerdo,No,Sí,4,Laptop,7,No,Si,Si
3/05/2022 22:13:46,18,Masculino,UNI,Ingeniería de Minas,2,16.5,6,4,180,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,No,4,Celular,6,No,Si,Si
3/05/2022 22:16:01,22,Femenino,UTEC,Ingeniería Civil,3,15,6,4,60,En desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,10,Si,No,Si
3/05/2022 22:17:06,25,Masculino,UNI,Ingeniería Mecánica - Eléctrica,10,14.1,3,3,30,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,No,4,Laptop,8,Si,Si,Si
3/05/2022 22:18:20,21,Femenino,UNI,Ingeniería Geológica,4,16,6,4,240,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,No,3,Laptop,7,No,Si,Si
3/05/2022 22:30:37,19,Femenino,UTEC,Ingeniería Industrial,5,16,5,4,120,Totalmente en desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,10,Si,No,Si
3/05/2022 22:34:47,18,Femenino,UNI,Ingeniería Textil,2,12.43,6,3,210,Totalmente en desacuerdo,De acuerdo,Sí,Sí,4,Computadora,6,No,Si,Si
3/05/2022 22:40:20,21,Masculino,UNI,Ingeniería de Minas,4,12.88,6,5,180,Totalmente en desacuerdo,Totalmente de acuerdo,No,No,4,Computadora,5,No,Si,Si
3/05/2022 22:44:48,18,Femenino,UTEC,Ingeniería de Sistemas,2,16.1,6,1,120,En desacuerdo,De acuerdo,Sí,No,4,Laptop,7,Si,No,Si
3/05/2022 23:01:42,25,Femenino,UNI,Ingeniería Civil,8,17.23,6,2,240,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,Sí,3,Laptop,6,No,Si,Si
3/05/2022 23:02:33,18,Femenino,UNI,Ingeniería de Higiene y Seguridad Industrial,3,12,7,4,120,Totalmente en desacuerdo,Totalmente de acuerdo,Sí,No,3,Computadora,8,No,Si,Si
3/05/2022 23:03:12,25,Prefiero no decirlo,UNI,Ingeniería Económica,10,17.23,3,2,140,Totalmente en desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,9,No,Si,Si
3/05/2022 23:04:00,19,Masculino,UNI,Ingeniería de Telecomunicaciones,6,14,6,5,210,Totalmente en desacuerdo,De acuerdo,Sí,Sí,4,Laptop,8,No,Si,No
5/05/2022 13:20:04,19,Masculino,UNI,Ingeniería Química,5,12.1,6,4,240,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,No,3,Laptop,7,No,Si,Si
5/05/2022 13:21:20,19,Masculino,UNI,Ingeniería Química,5,14,6,5,60,De acuerdo,Ni de acuerdo ni en desacuerdo,No,No,3,Laptop,3,Si,Si,Si
5/05/2022 13:35:21,19,Masculino,UNI,Ingeniería Química,5,15,5,4,240,En desacuerdo,De acuerdo,Sí,Sí,3,Celular,7,No,Si,Si
