"Marca temporal","Edad (años cumplidos) Ej. 19 (solo colocar el número y tener 18 o más)","Género","Nivel de instrucción ","Lugar de residencia","¿Qué mascarilla usas con más frecuencia?","¿En promedio después de cuántos días desechas una mascarilla?","¿En promedio cuánto pagas por una mascarilla? (redondea a una cifra)","¿Prefieres las mascarillas con las tiras que se sostienen en las orejas o las que se sostienen alrededor de la cabeza?","¿De qué color prefieres llevar tu mascarilla? (Si ingresa el color inicie con mayúscula)","¿Qué tan protegido/a te sientes cuando usas la mascarilla KN95?","¿Qué tan protegido/a te sientes cuando usas la mascarilla de tela?","¿Qué tan protegido/a te sientes cuando usas la mascarilla KF94?","¿Qué tan protegido/a te sientes cuando usas la mascarilla Quirúrgica?","¿Qué tan protegido/a te sientes cuando usas la mascarilla FFP3?","¿Qué tan protegido/a te sientes cuando usas la mascarilla N95?","¿Qué tan protegido/a te sientes con tu selección de mascarilla?"
"2022/04/25 12:08:36 a. m. GMT-5","18","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","7","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","4","8","8","10","10","7"
"2022/04/25 12:18:22 a. m. GMT-5","18","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","10","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","5","10","7","9","9","10"
"2022/04/25 12:20:48 a. m. GMT-5","18","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","10","2","Me es indiferente","Me es indiferente","10","10","10","10","10","10","10"
"2022/04/25 12:40:55 a. m. GMT-5","21","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","3","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","6","8","6","9","8","8"
"2022/04/25 12:41:31 a. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","10","3","Me es indiferente","Negra","9","3","9","5","8","9","8"
"2022/04/25 1:39:18 a. m. GMT-5","21","Masculino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","10","3","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","9","10","8","10","10","10"
"2022/04/25 6:28:15 a. m. GMT-5","19","Masculino","Educación Superior Universitaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","Quirúrgica","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","5","8","5","6","9","9"
"2022/04/25 7:48:58 a. m. GMT-5","20","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","6","10","7","9","9","7"
"2022/04/25 8:02:29 a. m. GMT-5","19","Masculino","Educación Secundaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","3","6","5","7","7","8"
"2022/04/25 8:27:21 a. m. GMT-5","19","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Quirúrgica","4","1","Me es indiferente","Me es indiferente","9","8","10","6","10","6","6"
"2022/04/25 8:59:14 a. m. GMT-5","20","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KF94","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","10","2","9","5","8","10","9"
"2022/04/25 9:19:34 a. m. GMT-5","18","Masculino","Educación Secundaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","Quirúrgica","2","3","Mascarillas con las tiras que se sostienen en las orejas.","Celeste","8","6","7","7","10","10","8"
"2022/04/25 9:22:20 a. m. GMT-5","18","Femenino","Educación Superior Universitaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","Quirúrgica","10","1","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","10","7","10","9","10","10","9"
"2022/04/25 9:23:15 a. m. GMT-5","19","Masculino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","Quirúrgica","4","2","Me es indiferente","Me es indiferente","9","4","7","7","8","10","7"
"2022/04/25 9:27:56 a. m. GMT-5","20","Femenino","Educación Superior Universitaria","Balneareos del Sur (Pta. Hermosa, Pucusana, Pta. Negra, San Bartolo, Sta. María)","KF94","4","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","8","2","10","6","2","7","10"
"2022/04/25 9:30:56 a. m. GMT-5","19","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","4","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","4","4","4","4","4","4","5"
"2022/04/25 9:53:18 a. m. GMT-5","19","Masculino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","Quirúrgica","5","2","Me es indiferente","Celeste","7","6","8","7","8","9","7"
"2022/04/25 9:57:03 a. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","N95","3","5","Me es indiferente","Blanca","9","1","8","5","10","10","10"
"2022/04/25 10:42:16 a. m. GMT-5","18","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","4","2","Mascarillas que se sostienen alrededor de la cabeza.","Negra","9","7","7","7","8","10","7"
"2022/04/25 10:43:52 a. m. GMT-5","18","Femenino","Educación Secundaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","KN95","10","4","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","3","10","2","10","10","10"
"2022/04/25 10:50:56 a. m. GMT-5","18","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","4","5","Mascarillas que se sostienen alrededor de la cabeza.","Blanca","7","6","6","4","10","10","7"
"2022/04/25 10:58:34 a. m. GMT-5","19","Femenino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KF94","4","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","3","9","4","7","7","9"
"2022/04/25 11:14:34 a. m. GMT-5","21","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","1","5","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","7","5","8","7","9","9","8"
"2022/04/25 11:18:57 a. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","1","7","5","7","10","8"
"2022/04/25 11:24:13 a. m. GMT-5","22","Masculino","Educación Secundaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","6","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","5","8","5","5","9","8"
"2022/04/25 11:28:40 a. m. GMT-5","22","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","3","4","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","5","8","7","10","10","9"
"2022/04/25 12:10:24 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","3","1","Me es indiferente","Negra","9","1","10","7","10","10","9"
"2022/04/25 12:12:59 p. m. GMT-5","23","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Quirúrgica","8","1","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","8","8","6","10","6","6","8"
"2022/04/25 12:28:20 p. m. GMT-5","19","Femenino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","3","1","Me es indiferente","Blanca","8","7","8","8","7","7","8"
"2022/04/25 12:39:22 p. m. GMT-5","20","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","7","6","7","8","7","8","8"
"2022/04/25 12:51:19 p. m. GMT-5","21","Masculino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","7","5","7","3","5","5","8"
"2022/04/25 1:10:16 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","8","2","7","5","8","6","8"
"2022/04/25 1:57:26 p. m. GMT-5","24","Masculino","Educación Superior Universitaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","Quirúrgica","5","1","Mascarillas que se sostienen alrededor de la cabeza.","Me es indiferente","6","4","5","5","8","9","5"
"2022/04/25 2:49:05 p. m. GMT-5","18","Masculino","Educación Secundaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","10","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","10","10","10","10","10","10"
"2022/04/25 3:13:03 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","3","5","Me es indiferente","Me es indiferente","8","6","8","4","10","10","8"
"2022/04/25 3:15:17 p. m. GMT-5","19","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","5","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","9","4","6","7","7","7","7"
"2022/04/25 3:18:20 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","10","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","4","8","3","9","9","4"
"2022/04/25 3:30:55 p. m. GMT-5","22","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","7","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","7","8","5","5","5","7"
"2022/04/25 3:46:00 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","Quirúrgica","2","1","Me es indiferente","Me es indiferente","7","5","7","6","8","10","7"
"2022/04/25 3:50:34 p. m. GMT-5","19","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","8","8","8","8","8","8","8"
"2022/04/25 5:43:14 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","3","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","7","2","4","5","9","10","10"
"2022/04/25 5:45:26 p. m. GMT-5","18","Masculino","Educación Secundaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","10","2","Mascarillas que se sostienen alrededor de la cabeza.","Negra","9","6","8","4","10","10","9"
"2022/04/25 5:46:31 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","3","1","Mascarillas que se sostienen alrededor de la cabeza.","Negra","6","5","4","3","3","3","5"
"2022/04/25 5:47:23 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","3","1","Mascarillas que se sostienen alrededor de la cabeza.","Celeste","10","8","10","10","10","10","10"
"2022/04/25 5:48:36 p. m. GMT-5","27","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","5","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","10","10","6","10","10","10"
"2022/04/25 5:52:53 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","5","5","Me es indiferente","Blanca","9","4","7","5","5","3","10"
"2022/04/25 5:56:08 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","5","2","Me es indiferente","Blanca","8","5","9","7","9","9","8"
"2022/04/25 6:08:35 p. m. GMT-5","20","Masculino","Educación Secundaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","Quirúrgica","10","2","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","5","3","5","5","5","5","5"
"2022/04/25 6:16:16 p. m. GMT-5","21","Masculino","Educación Secundaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","Quirúrgica","3","1","Me es indiferente","Me es indiferente","7","2","3","6","2","9","6"
"2022/04/25 6:22:05 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KF94","7","5","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","1","10","5","10","10","10"
"2022/04/25 6:31:13 p. m. GMT-5","20","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","10","3","Mascarillas que se sostienen alrededor de la cabeza.","Negra","8","4","8","5","9","8","8"
"2022/04/25 6:31:27 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Quirúrgica","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","5","1","8","3","9","6","7"
"2022/04/25 7:45:38 p. m. GMT-5","19","Masculino","Educación Secundaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","10","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","5","5","7","5","5","10"
"2022/04/25 7:58:46 p. m. GMT-5","20","Femenino","Educación Secundaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","5","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","4","5","4","4","9","8"
"2022/04/25 8:03:22 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","4","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","3","6","5","4","9","7"
"2022/04/25 8:08:17 p. m. GMT-5","19","Femenino","Educación Superior Universitaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","KF94","1","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","6","5","6","4","7","7","4"
"2022/04/25 9:09:00 p. m. GMT-5","22","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","9","6","8","5","9","10","9"
"2022/04/25 9:15:16 p. m. GMT-5","22","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","3","5","Me es indiferente","Me es indiferente","7","4","5","4","8","8","7"
"2022/04/25 9:31:43 p. m. GMT-5","18","Masculino","Educación Superior Técnica","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","10","1","Me es indiferente","Negra","9","4","7","6","9","9","6"
"2022/04/25 9:51:55 p. m. GMT-5","18","Masculino","Educación Secundaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KF94","1","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","5","10","8","10","10","10"
"2022/04/25 10:12:09 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","2","3","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","7","3","6","3","8","9","9"
"2022/04/25 10:44:09 p. m. GMT-5","18","Masculino","Educación Secundaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","5","7","10","10","10","10"
"2022/04/25 10:58:08 p. m. GMT-5","20","Femenino","Educación Superior Universitaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","Quirúrgica","5","2","Mascarillas con las tiras que se sostienen en las orejas.","Morado","7","7","7","7","7","7","7"
"2022/04/25 11:10:52 p. m. GMT-5","21","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","4","1","Me es indiferente","Me es indiferente","6","3","8","7","8","10","7"
"2022/04/25 11:12:06 p. m. GMT-5","18","Masculino","Educación Secundaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KF94","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","8","6","8","5","9","9","8"
"2022/04/26 12:38:29 a. m. GMT-5","52","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Tela","10","5","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","10","10","5","10","10","10"
"2022/04/26 1:17:37 a. m. GMT-5","53","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","8","10","8","10","10","8"
"2022/04/26 2:04:12 a. m. GMT-5","18","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","3","5","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","8","4","1","5","10","10"
"2022/04/26 3:14:36 a. m. GMT-5","44","Femenino","Maestría","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KF94","1","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","1","10","5","5","10","10"
"2022/04/26 3:38:12 a. m. GMT-5","46","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","3","2","Me es indiferente","Blanca","9","3","10","6","10","10","9"
"2022/04/26 5:26:58 a. m. GMT-5","50","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","4","8","9","8","8","9"
"2022/04/26 5:39:22 a. m. GMT-5","58","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","10","3","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","9","3","9","2","7","9","9"
"2022/04/26 5:46:44 a. m. GMT-5","44","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","3","3","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","8","2","8","3","6","7","9"
"2022/04/26 6:00:56 a. m. GMT-5","50","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KF94","7","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","9","6","10","5","7","7","9"
"2022/04/26 6:10:45 a. m. GMT-5","64","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","5","4","Mascarillas con las tiras que se sostienen en las orejas.","Celeste","8","3","10","9","10","10","9"
"2022/04/26 6:30:29 a. m. GMT-5","53","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","2","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","1","3","7","3","9","8"
"2022/04/26 6:41:15 a. m. GMT-5","57","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","6","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","3","5","3","3","9","4"
"2022/04/26 6:43:51 a. m. GMT-5","46","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","4","5","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","2","8","5","6","10","10"
"2022/04/26 6:45:46 a. m. GMT-5","33","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","7","8","8","5","9","9"
"2022/04/26 6:54:54 a. m. GMT-5","52","Femenino","Doctorado","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","4","1","Mascarillas que se sostienen alrededor de la cabeza.","Blanca","9","2","9","6","9","10","7"
"2022/04/26 6:55:32 a. m. GMT-5","50","Femenino","Educación Superior Técnica","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","7","8","6","10","10","6"
"2022/04/26 7:01:36 a. m. GMT-5","47","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","1","7","5","7","7","5"
"2022/04/26 7:03:58 a. m. GMT-5","53","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","10","4","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","8","2","7","4","4","9","7"
"2022/04/26 7:05:50 a. m. GMT-5","59","Femenino","Educación Superior Técnica","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","3","3","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","9","1","8","7","9","9","9"
"2022/04/26 7:42:07 a. m. GMT-5","51","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","1","3","Me es indiferente","Blanca","8","3","8","7","8","8","7"
"2022/04/26 7:47:27 a. m. GMT-5","65","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","3","3","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","8","10","9","6","7","7"
"2022/04/26 7:49:00 a. m. GMT-5","53","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","9","10","9","10","10","10"
"2022/04/26 7:53:36 a. m. GMT-5","45","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","4","1","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","8","5","8","7","10","10","7"
"2022/04/26 7:57:23 a. m. GMT-5","40","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","1","1","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","10","5","5","4","10","10","10"
"2022/04/26 8:01:28 a. m. GMT-5","53","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Celeste","10","3","9","8","10","10","9"
"2022/04/26 8:05:03 a. m. GMT-5","51","Femenino","Educación Superior Técnica","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","10","5","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","4","7","5","6","10","10"
"2022/04/26 8:06:11 a. m. GMT-5","40 ","Femenino","Educación Superior Técnica","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","3","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","2","9","4","8","7","8"
