,Género.,Edad (años cumplidos). ,Ciclo universitario.,Carrera universitaria.,Promedio ponderado del anterior ciclo (dos decimales). Ejemplo: 14.38,¿Cuántas horas estudias al día sin contar las horas de clase? Ejemplo: 2.45 (equivale a 2 horas y 45 minutos),¿Cuántas horas de sueño tienes por la noche en promedio? Ejemplo: 7.2 (equivale a 7 horas y 20 minutos),¿Practicas algún deporte?,¿Cuántos días a la semana prácticas deporte?,¿Consumes bebidas energéticas?,Responde las siguiente preguntas: [¿Consideras qué el consumo de bebidas energizantes mejora tu rendimiento académico?],Responde las siguiente preguntas: [¿Con qué frecuencia tomas este tipo de bebidas?],Responde las siguiente preguntas: [¿Qué tan necesarias consideras que son las bebidas energéticas durante el periodo universitario?],¿Qué marca de bebidas energéticas consumes?,¿Cuál es tu segunda marca favorita de bebidas energéticas?,¿Has tenido algún efecto secundario luego de consumir las bebidas energéticas?,¿En qué momento consumes más las bebidas energéticas?,¿Bajo qué circunstancias consumes bebidas energéticas?
,Femenino,18,3,Ingeniería Ambiental,15.6,6,7.1,Sí,2,Sí,Mucho,Regular,Mucho,Volt,Monster,Cansancio,Mañana,Cuando me apetece.
,Masculino,18,2,Ingeniería Mecatrónica,16,2.3,6,Sí,2,Sí,Mucho,Poco,Mucho,Monster,Red Bull,Insomnio,Noche,Cuando hago tareas y proyectos.
,Masculino,19,2,Ingeniería de la Energía,15.78,5.5,7.4,Sí,2,Sí,Regular,Mucho,Mucho,Volt,Red Bull,Insomnio,Noche,Cuando estudio para un examen.
,Masculino,20,3,Ingeniería Civil,16.73,7,6.3,Sí,2,Sí,Mucho,Mucho,Mucho,Red Bull,Monster,Ansiedad,Noche,Cuando estudio para un examen.
,Femenino,20,4,Ingeniería Industrial,14,4,6,Sí,2,Sí,Mucho,Regular,Mucho,Red Bull,Monster,Cansancio,Mañana,Cuando me apetece.
,Masculino,21,4,Ingeniería de la Energía,15.6,5,7,Sí,2,Sí,Regular,Mucho,Mucho,Monster,Volt,Cansancio,Tarde,Cuando hago ejercicio.
,Masculino,20,4,Ingeniería Civil,12.5,5.4,6,Sí,2,Sí,Mucho,Regular,Mucho,Monster,Volt,Ansiedad,Tarde,Cuando estudio para un examen.
,Femenino,21,4,Ingeniería Ambiental,16.5,7,7,Sí,2,Sí,Regular,Mucho,Mucho,Monster,Volt,Cansancio,Mañana,Cuando estudio para un examen.
,Masculino,18,2,Ciencia de la computación,14,4.2,7.3,Sí,2,Sí,Regular,Regular,Regular,Red Bull,Monster,Otro,Noche,Cuando hago tareas y proyectos.
,Femenino,21,4,Ingeniería Ambiental,17,5,7,Sí,2,Sí,Regular,Regular,Regular,Red Bull,Monster,Insomnio,Tarde,Cuando hago tareas y proyectos.
,Femenino,18,3,Ingeniería Industrial,13.8,7.5,7.1,Sí,2,Sí,Poco,Regular,Poco,Otro,Otro,Ansiedad,Tarde,Cuando hago ejercicio.
,Femenino,18,3,Ingeniería Industrial,13.8,7.5,7.1,Sí,2,Sí,Poco,Regular,Poco,Otro,Otro,Ansiedad,Tarde,Cuando hago ejercicio.
,Femenino,19,3,Bioingeniería,15.5,5.5,6,Sí,2,Sí,Poco,Poco,Poco,Red Bull,Monster,Taquicardia,Tarde,Cuando hago tareas y proyectos.
,Femenino,20,4,Ingeniería Civil,14.65,7,6,Sí,2,Sí,Mucho,Regular,Mucho,Monster,Red Bull,Ansiedad,Mañana,Cuando estudio para un examen.
,Femenino,19,3,Ingeniería Ambiental,16.34,5,6,Sí,2,Sí,Mucho,Regular,Regular,Red Bull,Volt,Ansiedad,Tarde,Cuando me apetece.
,Femenino,20,2,Ingeniería Química,15.52,5,7,Sí,5,Sí,Regular,Mucho,Mucho,Monster,Red Bull,Ansiedad,Noche,Cuando hago tareas y proyectos.
,Masculino,20,3,Ingeniería Química,15.32,5.3,6.4,Sí,5,No,,,,,,,,
,Femenino,21,4,Ingeniería Ambiental,14.5,5.2,6.5,Sí,5,No,,,,,,,,
,Femenino,21,5,Ingeniería de la Energía,14.6,5,7,Sí,5,Sí,Mucho,Regular,Mucho,Red Bull,Volt,Insomnio,Noche,Cuando hago tareas y proyectos.
,Masculino,18,2,Ingeniería Mecánica,15,1,5.4,Sí,1,Sí,Mucho,Regular,Mucho,Otro,Otro,Otro,Tarde,Cuando me apetece.
,Masculino,18,2,Ingeniería Mecánica,15.45,5.1,6.2,Sí,1,No,,,,,,,,
,Masculino,22,6,Ingeniería de la Energía,17,3.45,7,Sí,1,Sí,Nada,Regular,Nada,Monster,Otro,Otro,Noche,Cuando hago ejercicio.
,Masculino,18,2,Ingeniería Mecánica,14,4.1,6.5,Sí,1,Sí,Nada,Regular,Nada,Otro,Otro,Otro,Tarde,Cuando hago ejercicio.
,Masculino,20,4,Ingeniería Electrónica,13.86,2.3,6,Sí,1,Sí,Poco,Poco,Poco,Volt,Red Bull,Cansancio,Noche,Cuando estudio para un examen.
,Masculino,18,3,Ingeniería Mecatrónica,15.5,5.2,4.1,Sí,1,Sí,Regular,Regular,Regular,Monster,Volt,Cansancio,Noche,Cuando me apetece.
,Masculino,20,4,Ingeniería Mecánica,16.3,6,7,Sí,1,No,,,,,,,,
,Masculino,20,4,Ingeniería Civil,14.6,6.3,7,Sí,1,Sí,Mucho,Regular,Mucho,Monster,Monster,Ansiedad,Noche,Cuando hago tareas y proyectos.
,Femenino,20,3,Bioingeniería,15.5,6.5,7.3,Sí,1,No,,,,,,,,
,Femenino,22,8,Ingeniería Ambiental,18.35,4.2,7.1,Sí,1,No,,,,,,,,
,Masculino,22,6,Ingeniería Industrial,16.95,4.2,7.1,Sí,1,No,,,,,,,,
,Femenino,19,3,Ingeniería Química,14.38,6,8,Sí,1,Sí,Regular,Regular,Mucho,Volt,Monster,Cansancio,Noche,Cuando hago tareas y proyectos.
,Masculino,20,5,Ingeniería Mecánica,16.8,2.3,6,Sí,1,Sí,Mucho,Poco,Poco,Red Bull,Monster,Taquicardia,Mañana,Cuando estudio para un examen.
,Masculino,22,10,Ingeniería Mecatrónica,18.6,4,6.2,Sí,1,Sí,Regular,Poco,Poco,Volt,Red Bull,Otro,Noche,Cuando estudio para un examen.
,Masculino,19,5,Ingeniería Industrial,14.5,5.2,6.4,Sí,1,No,,,,,,,,
,Femenino,20,4,Ingeniería de la Energía,16.5,5,7,Sí,1,Sí,Mucho,Regular,Regular,Red Bull,Volt,Cansancio,Mañana,Cuando hago tareas y proyectos.
,Femenino,20,3,Ingeniería Civil,15.7,6.4,8,Sí,1,Sí,Regular,Mucho,Regular,Red Bull,Volt,Ansiedad,Mañana,Cuando hago tareas y proyectos.
,Masculino,19,5,Ingeniería Industrial,16.45,5,6,Sí,1,No,,,,,,,,
,Femenino,20,4,Ingeniería Química,15,7,7,Sí,1,Sí,Regular,Mucho,Mucho,Red Bull,Monster,Ansiedad,Noche,Cuando me apetece.
,Femenino,18,2,Bioingeniería,16.97,4.1,5.3,Sí,1,Sí,Poco,Poco,Poco,Monster,Volt,Ansiedad,Tarde,Cuando me apetece.
,Masculino,21,9,Ingeniería Mecánica,19,3,6.15,Sí,1,Sí,Poco,Regular,Poco,Volt,Otro,Otro,Tarde,Cuando estudio para un examen.
,Femenino,20,3,Ingeniería Civil,15.67,5.3,7,Sí,1,Sí,Regular,Mucho,Mucho,Red Bull,Volt,Insomnio,Noche,Cuando me apetece.
,Femenino,20,7,Ingeniería Civil,16.92,4.1,8,Sí,1,Sí,Mucho,Mucho,Mucho,Monster,Otro,Ansiedad,Mañana,Cuando hago tareas y proyectos.
,Femenino,19,3,Ingeniería Civil,14.35,5,7,Sí,1,Sí,Mucho,Regular,Mucho,Monster,Red Bull,Cansancio,Noche,Cuando me apetece.
,Masculino,18,4,Ingeniería Ambiental,17.17,4.3,5.2,Sí,1,Sí,Regular,Poco,Poco,Red Bull,Otro,Ansiedad,Noche,Cuando estudio para un examen.
,Masculino,20,5,Ingeniería Civil,13.78,6.2,5.45,Sí,1,Sí,Regular,Regular,Regular,Monster,Red Bull,Insomnio,Noche,Cuando hago tareas y proyectos.
,Femenino,20,3,Ingeniería Ambiental,14.5,6,7,Sí,1,Sí,Regular,Regular,Mucho,Red Bull,Monster,Gastritis,Tarde,Cuando hago ejercicio.
,Femenino,20,4,Ingeniería Civil,15.6,5,7,Sí,1,Sí,Mucho,Regular,Mucho,Monster,Red Bull,Gastritis,Mañana,Cuando me apetece.
,Femenino,20,3,Ingeniería Civil,15.66,5.3,7,Sí,1,Sí,Regular,Mucho,Regular,Monster,Volt,Ansiedad,Noche,Cuando hago tareas y proyectos.
,Femenino,18,2,Ingeniería Civil,15,4.3,6.4,Sí,1,No,,,,,,,,
,Femenino,22,6,Ingeniería Ambiental,15.23,5,5,Sí,1,Sí,Mucho,Regular,Mucho,Monster,Volt,Ansiedad,Tarde,Cuando hago ejercicio.
,Femenino,19,5,Ingeniería Química,17.54,4.15,7.2,Sí,1,Sí,Regular,Regular,Regular,Monster,Red Bull,Insomnio,Tarde,Cuando hago tareas y proyectos.
,Femenino,20,4,Ingeniería Química,16.42,5,6,Sí,1,Sí,Mucho,Regular,Poco,Monster,Red Bull,Ansiedad,Tarde,Cuando hago ejercicio.
,Femenino,21,3,Ingeniería Ambiental,13,5.45,8,Sí,1,Sí,Mucho,Regular,Mucho,Monster,Red Bull,Ansiedad,Noche,Cuando me apetece.
,Femenino,19,3,Ingeniería Ambiental,16.5,6,7,Sí,1,Sí,Regular,Regular,Mucho,Monster,Volt,Ansiedad,Mañana,Cuando me apetece.
,Femenino,18,3,Ingeniería Civil,16.5,6.5,7,Sí,1,No,,,,,,,,
,Femenino,21,7,Ingeniería de la Energía,16.73,3.55,7.2,Sí,1,Sí,Poco,Poco,Nada,Volt,Otro,Otro,Tarde,Cuando hago ejercicio.
,Masculino,19,3,Ingeniería Química,15,3.15,6,Sí,1,Sí,Regular,Poco,Regular,Monster,Red Bull,Cansancio,Noche,Cuando estudio para un examen.
