Genero,Edad,Carrera,Ciclo,Promedio1,Promedio2,Peso1,Peso2,Talla1,Talla2,Habitos1,Habitos2,Comida1,Comida2,Frutas1,Frutas2,Carbo1,Carbo2,BA,Ener,Comrapi1,Comrapi2,Actifis1,Actifis2,Sueño1,Sueño2,IMC1,IMC2,Habitosalimenticios,Habitosalimenticios2
Masculino,22,Ingeniería Química,8,15.7,14.8,82,78,1.75,1.75,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,2,4,1 - 2,No consumía,0,1.5,6,6.5,26.78,25.47,Regular,Regular
Femenino,19,Ingeniería Ambiental,4,13.5,14.6,58,59,1.62,1.62,Regular,Regular,3 veces al día,3 veces al día,2 veces al día,2 veces al día,3 veces al día,2 veces al día,1,2,1 - 2,1 - 2,0,0,6,6,22.1,22.48,Bueno,Bueno
Masculino,18,Ingeniería Electrónica,3,13.5,14,60,62,1.65,1.66,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,2,2,3 - 4,1 - 2,0,1.5,5,5,22.04,22.5,Regular,Bueno
Masculino,19,Administración y Negocios Digitales,5,16.2,16,55,58,1.62,1.63,Regular,Regular,3 veces al día,4 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,2 veces al día,1,2,1 - 2,No consumía,0,1,5.5,6,20.96,21.83,Bueno,Bueno
Masculino,18,Ingeniería Mecatrónica,3,14.6,16,64,64,1.63,1.64,Bueno,Bueno,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,1,3,No consumía,No consumía,2,2,5,7,24.09,23.8,Regular,Bueno
Femenino,19,Ingeniería Química,4,15,16.4,58,60,1.64,1.65,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,2 veces al día,1 vez al día,1,2,1 - 2,No consumía,0,0,6,6,21.56,22.04,Bueno,Bueno
Masculino,18,Ingeniería Electrónica,3,15,14.3,65,66,1.6,1.6,Bueno,Regular,3 veces al día,2 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,3,No consumía,1 - 2,0,2,6,5,25.39,25.78,Bueno,Regular
Masculino,20,Ciencia de la computación,5,15.4,15,64,65,1.65,1.67,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,No consumía,2,2,6,5,23.51,23.31,Bueno,Bueno
Masculino,18,Ingeniería Mecatrónica,3,12.5,14,64,60,1.62,1.63,Regular,Regular,3 veces al día,3 veces al día,4 veces al día,1 vez al día,1 vez al día,1 vez al día,1,3,1 - 2,No consumía,1,1,5,6,24.39,22.58,Regular,Regular
Femenino,19,Ciencia de la computación,4,16,14.67,59,62,1.59,1.61,Bueno,Regular,3 veces al día,3 veces al día,2 veces al día,1 vez al día,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,0,6,7,23.34,23.92,Bueno,Bueno
Masculino,18,Ciencia de Datos,3,14.6,15,67,65,1.67,1.67,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,0,5,5,24.02,23.31,Bueno,Bueno
Femenino,20,Bioingeniería,4,16.5,14,60,60,1.59,1.6,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,2 veces al día,1 vez al día,1,1,1 - 2,No consumía,1,1,5.5,7,23.73,23.44,Bueno,Bueno
Masculino,19,Ingeniería Electrónica,4,13.5,12.7,65,67,1.65,1.65,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,0,7,6,23.88,24.61,Bueno,Bueno
Masculino,18,Ingeniería Mecatrónica,3,12.4,13.5,65,66,1.65,1.66,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,2 veces al día,1,3,1 - 2,No consumía,2,2,5,6,23.88,23.95,Bueno,Bueno
Masculino,17,Ingeniería Electrónica,3,14.3,14.6,64,65,1.65,1.66,Regular,Regular,3 veces al día,4 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,2,2,No consumía,No consumía,0,0,7,5,23.51,23.59,Bueno,Bueno
Masculino,19,Ingeniería de la Energía,4,16.4,14.5,64.5,66,1.67,1.69,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,1 - 2,2,1,5,6,23.13,23.11,Bueno,Bueno
Femenino,18,Ingeniería Electrónica,3,15.4,13.7,58.5,60,1.64,1.65,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,2 veces al día,2,2,1 - 2,No consumía,0,0,4,5,21.75,22.04,Bueno,Bueno
Masculino,20,Ciencia de la computación,5,14.5,15,64.5,66,1.64,1.66,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,3,No consumía,1 - 2,0,0,7,5,23.98,23.95,Bueno,Bueno
Masculino,19,Ingeniería Industrial,4,14,15,64,65,1.65,1.66,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,2 veces al día,1 vez al día,1,2,1 - 2,No consumía,1,2,6,5,23.51,23.59,Bueno,Bueno
Masculino,19,Ingeniería Civil,4,15.4,14.3,63,63,1.64,1.65,Bueno,Regular,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,1,2,No consumía,1 - 2,1,1,6,5,23.42,23.14,Bueno,Bueno
Femenino,18,Ingeniería Mecánica,4,12.4,13.6,62.2,63,1.65,1.66,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,No consumía,1,1,5,6,22.85,22.86,Bueno,Bueno
Masculino,18,Ingeniería Electrónica,3,16.3,14,57.6,58.2,1.6,1.61,Bueno,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,3,1 - 2,3 - 4,1,1,6,6,22.5,22.45,Bueno,Malo
Masculino,19,Ciencia de la computación,4,15,14.8,62,63,1.66,1.66,Regular,Regular,3 veces al día,2 veces al día,1 vez al día,1 vez al día,2 veces al día,1 vez al día,2,2,3 - 4,1 - 2,1,1,5,6,22.5,22.86,Regular,Bueno
Masculino,20,Bioingeniería,5,14.5,16,63,65,1.67,1.67,Bueno,Regular,3 veces al día,2 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,2,1,1 - 2,1 - 2,0,0,6,6,22.59,23.31,Bueno,Bueno
Masculino,21,Ingeniería de la Energía,4,13.6,15.2,59,60,1.65,1.65,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,4,No consumía,No consumía,1,1,5,5,21.67,22.04,Regular,Regular
Masculino,18,Administración y Negocios Digitales,3,16.2,15,61,59,1.55,1.56,Regular,Regular,4 veces al día,4 veces al día,2 veces al día,1 vez al día,2 veces al día,1 vez al día,2,2,No consumía,No consumía,0,1.5,6,6,25.39,24.24,Bueno,Bueno
Femenino,19,Ciencia de Datos,3,16.5,15.8,61,60,1.63,1.63,Bueno,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,2,2,No consumía,No consumía,0,0,6,7,22.96,22.58,Bueno,Bueno
Masculino,18,Ingeniería Civil,3,13.5,14.7,65,66,1.63,1.64,Regular,Regular,2 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,2,2,1 - 2,1 - 2,1,1,6,5,24.46,24.54,Bueno,Bueno
Masculino,19,Ingeniería Mecánica,3,14.64,18.04,84.32,85.2,1.72,1.72,Bueno,Bueno,3 veces al día,3 veces al día,4 veces al día,4 veces al día,2 veces al día,2 veces al día,1,2,No consumía,No consumía,2,1.8,7,7.5,28.5,28.8,Bueno,Bueno
Masculino,19,Ingeniería Electrónica,4,14.5,14,68,72,1.65,1.65,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,0,7,7,24.98,26.45,Bueno,Bueno
Femenino,18,Ingeniería Civil,3,16.7,14.7,62,65,1.62,1.62,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,2 veces al día,3 veces al día,2 veces al día,2,2,No consumía,1 - 2,0,0,7.5,7.5,23.62,24.77,Bueno,Bueno
Femenino,22,Bioingeniería,4,16.2,17.2,58,59,1.65,1.65,Regular,Regular,3 veces al día,3 veces al día,2 veces al día,2 veces al día,2 veces al día,2 veces al día,2,2,1 - 2,1 - 2,5,5,6,6,21.3,21.67,Bueno,Bueno
Masculino,18,Ingeniería Mecánica,3,15.4,15,74,70,1.72,1.72,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,3,No consumía,No consumía,1.5,1.5,7.5,7,25.01,23.66,Regular,Bueno
Masculino,24,Ingeniería Mecatrónica,6,14.5,14.8,69,69,1.72,1.72,Bueno,Bueno,4 veces al día,4 veces al día,1 vez al día,2 veces al día,3 veces al día,3 veces al día,1,1,No consumía,1 - 2,2,2,5,5,23.32,23.32,Regular,Regular
Masculino,18,Ingeniería Industrial,3,14.7,15.3,77,72,1.69,1.69,Regular,Bueno,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,3,3 - 4,No consumía,0,1.5,6.5,7,26.96,25.21,Malo,Bueno
Masculino,18,Ingeniería Industrial,3,14.7,16.2,68,75,1.65,1.65,Bueno,Regular,3 veces al día,4 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,1,2,No consumía,1 - 2,2,0,7.5,7,24.98,27.55,Bueno,Bueno
Masculino,19,Ingeniería Química,3,14.7,15.2,65,75,1.67,1.67,Bueno,Regular,2 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,3 veces al día,4 veces al día,2,3,No consumía,1 - 2,0,0,7.5,7.5,23.31,26.89,Regular,Malo
Masculino,19,Ingeniería Civil,4,12.7,13.8,78,75,1.72,1.72,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,2 veces al día,1,3,No consumía,No consumía,0,0,7.5,7,26.37,25.35,Bueno,Bueno
Femenino,18,Ingeniería Electrónica,4,16.4,15.2,68,74,1.65,1.65,Bueno,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,3 veces al día,1 vez al día,1,2,No consumía,1 - 2,0,0,7.5,6.5,24.98,27.18,Bueno,Bueno
Masculino,18,Ingeniería Ambiental,4,14.7,15.8,77,75,1.73,1.73,Bueno,Bueno,3 veces al día,2 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,2,3,1 - 2,No consumía,0,0,7.5,7,25.73,25.06,Bueno,Regular
Femenino,22,Ingeniería de la Energía,7,14.5,15.4,67,69,1.65,1.65,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,1 vez al día,3 veces al día,3 veces al día,1,3,No consumía,1 - 2,1.5,1.5,7,6.5,24.61,25.34,Regular,Regular
Masculino,19,Ingeniería Ambiental,4,15.2,15,63,67,1.65,1.65,Bueno,Bueno,3 veces al día,2 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,2 veces al día,1,3,No consumía,1 - 2,1.5,2,7,7,23.14,24.61,Bueno,Regular
Masculino,18,Ingeniería Industrial,4,13.8,15.7,75,77,1.71,1.71,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,3 veces al día,2 veces al día,1,4,No consumía,No consumía,1.5,1.5,7,7,25.65,26.33,Malo,Regular
Femenino,20,Ingeniería Mecánica,6,17.8,16.4,67,65,1.64,1.64,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,3 veces al día,2 veces al día,2,1,1 - 2,No consumía,1.5,1.5,7.5,7,24.91,24.17,Bueno,Bueno
Masculino,20,Bioingeniería,3,14.8,15.7,62,64,1.6,1.6,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,1,2,No consumía,No consumía,1.5,1.5,7,7.5,24.22,25,Bueno,Bueno
Masculino,18,Ingeniería Mecatrónica,4,17.5,16.4,68,64,1.65,1.65,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,2 veces al día,3 veces al día,1,1,No consumía,No consumía,1.5,1.5,6,7,24.98,23.51,Bueno,Bueno
Masculino,18,Ingeniería Ambiental,4,14.7,13.8,64,67,1.64,1.64,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,2 veces al día,2 veces al día,1,3,No consumía,No consumía,0,0,8,8,23.8,24.91,Bueno,Bueno
Masculino,18,Ingeniería Civil,4,16.5,14.3,79,78,1.75,1.75,Bueno,Bueno,3 veces al día,2 veces al día,2 veces al día,2 veces al día,1 vez al día,1 vez al día,2,3,No consumía,No consumía,1.5,1.5,7.5,7.5,25.8,25.47,Bueno,Regular
Femenino,21,Ingeniería Industrial,6,14.8,15.7,64,67,1.62,1.62,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,3 veces al día,2 veces al día,1,4,No consumía,No consumía,0,0,8,7.5,24.39,25.53,Malo,Regular
Masculino,18,Ingeniería Ambiental,4,16.7,14.2,72,75,1.7,1.7,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,1,1,No consumía,No consumía,0,1.5,7.5,7,24.91,25.95,Bueno,Bueno
Masculino,19,Ingeniería Ambiental,3,14.3,12.5,77,71,1.68,1.68,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,3 veces al día,1 vez al día,2 veces al día,2,1,No consumía,No consumía,1.5,0,8,7,27.28,25.16,Bueno,Bueno
Femenino,20,Ingeniería de la Energía,5,13.5,14,55.5,57,1.55,1.55,Malo,Regular,5 veces al día,4 veces al día,2 veces al día,3 veces al día,4 veces al día,3 veces al día,1,1,3 - 4,3 - 4,3,6.5,6,6,23.1,23.73,Malo,Malo
Femenino,22,Bioingeniería,6,15,16,60,58,1.6,1.6,Regular,Bueno,4 veces al día,4 veces al día,3 veces al día,3 veces al día,2 veces al día,2 veces al día,1,1,3 - 4,1 - 2,2,7,6,7,23.44,22.66,Malo,Bueno
Masculino,18,Ciencia de la computación,3,13.7,14.5,62,63,1.63,1.63,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,1,1,No consumía,No consumía,0,0,5,5,23.34,23.71,Bueno,Bueno
Femenino,19,Ingeniería Industrial,4,15,14,59.5,60,1.57,1.58,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,1 - 2,0,0,5,6,24.14,24.03,Bueno,Bueno
Masculino,19,Ingeniería de la Energía,3,16.3,15.4,59,60,1.6,1.61,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,0,6,6,23.05,23.15,Bueno,Bueno
Masculino,18,Ingeniería Industrial,3,16,13.5,64.6,66.3,1.65,1.65,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,1 - 2,0,0,5,5,23.73,24.35,Bueno,Bueno
Masculino,18,Ingeniería Mecánica,4,14,17,65.7,66,1.67,1.67,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,1 - 2,0,0,5,5,23.56,23.67,Bueno,Bueno
Femenino,18,Bioingeniería,3,15.67,15,62.5,63,1.62,1.63,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,1 - 2,0,0,5,5,23.81,23.71,Bueno,Bueno
Masculino,18,Ingeniería Mecatrónica,3,15.4,13.7,62.5,64,1.64,1.65,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,1 - 2,0,0,6,6,23.24,23.51,Bueno,Bueno
Femenino,18,Ciencia de Datos,3,16.4,14.5,58.8,60,1.59,1.6,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,1,3,1 - 2,No consumía,0,0,6,6,23.26,23.44,Bueno,Bueno
