Distrito,N° de pisos del edificio,N° de unidades,N° de habitaciones,N° de baños,Área del departamento (m2),Precio ,Condición del departamento,Sala de reuniones o eventos (Si/No),Gimnasio (Si/No),Zona de parrillas (Si/No),Juegos infantiles (Si/No),Piscina (Si/No)
Lince,20,5,1,1,45,451669,Entrega Inmediata,Si,No,Si,No,Si
Lince,20,5,1,2,48,437412,Entrega Inmediata,Si,No,Si,No,Si
Lince,20,2,2,2,65,593420,Entrega Inmediata,Si,No,Si,No,Si
Lince,20,2,3,2,75,603420,Entrega Inmediata,Si,No,Si,No,Si
Lince,22,12,1,1,44,331575,En Planos,No,No,No,No,No
Lince,22,12,1,2,59,459311,En Planos,No,No,No,No,No
Lince,22,12,1,2,57,427333,En Planos,No,No,No,No,No
Lince,22,12,2,2,70,517605,En Planos,No,No,No,No,No
Lince,22,12,3,2,92,683259,En Planos,No,No,No,No,No
Lince,14,20,1,1,38,242060,En Planos,Si,Si,Si,No,Si
Lince,14,20,1,1,40,248075,En Planos,Si,Si,Si,No,Si
Lince,14,20,2,1,78,370455,En Planos,Si,Si,Si,No,Si
Lince,14,20,2,2,60,328893,En Planos,Si,Si,Si,No,Si
Lince,14,20,3,2,65,413071,En Planos,Si,Si,Si,No,Si
Lince,20,9,1,1,45,391840,Entrega Inmediata,Si,Si,Si,Si,Si
Lince,20,9,1,1,46,382646,Entrega Inmediata,Si,Si,Si,Si,Si
Lince,20,9,2,3,78,640335,Entrega Inmediata,Si,Si,Si,Si,Si
Lince,20,9,2,1,56,494054,Entrega Inmediata,Si,Si,Si,Si,Si
Lince,20,9,2,3,78,640335,Entrega Inmediata,Si,Si,Si,Si,Si
Lince,20,7,1,1,44,318000,En Construcción,Si,Si,Si,Si,No
Lince,20,7,1,1,44,33864,En Construcción,Si,Si,Si,Si,No
Lince,20,7,2,2,57,472785,En Construcción,Si,Si,Si,Si,No
Lince,20,7,2,2,66,513208,En Construcción,Si,Si,Si,Si,No
Lince,20,7,3,2,65,515646,En Construcción,Si,Si,Si,Si,No
Lince,10,8,1,1,55,320812,En Construcción,Si,No,No,No,No
Lince,10,8,2,2,69,421359,En Construcción,Si,No,No,No,No
Lince,10,8,3,2,76,454090,En Construcción,Si,No,No,No,No
Lince,10,8,3,2,87,503245,En Construcción,Si,No,No,No,No
Lince,10,8,3,2,75,451466,En Construcción,Si,No,No,No,No
Lince,13,5,3,2,72,500000,En Construcción,Si,No,Si,No,No
Lince,13,4,3,2,71,498000,En Construcción,Si,No,Si,No,No
Lince,13,2,3,2,74,576000,En Construcción,Si,No,Si,No,No
Lince,13,6,2,2,57,411000,En Construcción,Si,No,Si,No,No
Lince,13,2,1,1,41,337000,En Construcción,Si,No,Si,No,No
Lince,20,17,1,1,40,329000,En Construcción,No,Si,Si,No,No
Lince,20,17,2,2,64,471900,En Construcción,No,Si,Si,No,No
Lince,20,10,1,1,39,309000,En Construcción,No,Si,Si,No,No
Lince,20,10,2,2,58,469000,En Construcción,No,Si,Si,No,No
Lince,20,6,3,2,82,639900,En Construcción,No,Si,Si,No,No
Breña,13,58,3,2,70,328500,En Planos,Si,Si,Si,No,No
Breña,13,58,2,1,70,311500,En Planos,Si,Si,Si,No,No
Breña,13,58,1,1,49,220500,En Planos,Si,Si,Si,No,No
Breña,13,58,3,2,70,326500,En Planos,Si,Si,Si,No,No
Breña,13,58,3,2,70,325500,En Planos,Si,Si,Si,No,No
Breña,9,35,1,1,55,252000,En Planos,No,No,No,No,No
Breña,9,35,1,1,60,235400,En Planos,No,No,No,No,No
Breña,9,35,2,2,102,418000,En Planos,No,No,No,No,No
Breña,9,35,3,3,82,425000,En Planos,No,No,No,No,No
Breña,9,35,2,1,79,418000,En Planos,No,No,No,No,No
Breña,8,39,2,2,51,280000,Entrega Inmediata,Si,Si,Si,Si,No
Breña,8,39,3,2,60,354000,Entrega Inmediata,Si,Si,Si,Si,No
Breña,8,39,3,2,60,341000,Entrega Inmediata,Si,Si,Si,Si,No
Breña,8,39,3,2,63,329000,Entrega Inmediata,Si,Si,Si,Si,No
Breña,8,39,3,2,63,323000,Entrega Inmediata,Si,Si,Si,Si,No
Breña,15,75,3,3,75,403638,En Construcción,Si,Si,Si,Si,No
Breña,15,75,1,1,42,225751,En Construcción,Si,Si,Si,Si,No
Breña,15,75,3,2,76,391403,En Construcción,Si,Si,Si,Si,No
Breña,15,75,2,2,58,351665,En Construcción,Si,Si,Si,Si,No
Breña,15,75,2,1,60,355069,En Construcción,Si,Si,Si,Si,No
Breña,20,136,3,2,68,345862,En Construcción,Si,Si,Si,Si,No
Breña,20,136,1,1,45,232601,En Construcción,Si,Si,Si,Si,No
Breña,20,136,2,2,68,381237,En Construcción,Si,Si,Si,Si,No
Breña,20,136,3,2,76,403340,En Construcción,Si,Si,Si,Si,No
Breña,20,136,3,2,67,402797,En Construcción,Si,Si,Si,Si,No
Breña,15,51,3,2,66,350170,En Construcción,No,No,No,No,No
Breña,15,51,1,1,43,224070,En Construcción,No,No,No,No,No
Breña,15,51,3,3,150,745930,En Construcción,No,No,No,No,No
Breña,15,51,3,3,160,711495,En Construcción,No,No,No,No,No
Breña,15,51,2,2,51,263840,En Construcción,No,No,No,No,No
Breña,17,85,3,2,72,408836,En Planos,Si,Si,Si,Si,No
Breña,17,85,3,2,71,407728,En Planos,Si,Si,Si,Si,No
Breña,17,85,2,2,58,323524,En Planos,Si,Si,Si,Si,No
Breña,17,85,3,2,69,374490,En Planos,Si,Si,Si,Si,No
Breña,17,85,3,2,69,370058,En Planos,Si,Si,Si,Si,No
Breña,9,1,1,1,60,277000,En Planos,Si,No,Si,Si,No
Breña,9,1,1,1,55,252000,En Planos,Si,No,Si,Si,No
Breña,9,1,1,1,102,418000,En Planos,Si,No,Si,Si,No
Breña,9,4,3,2,72,368000,En Planos,Si,No,Si,Si,No
Breña,9,6,3,2,82,420000,En Planos,Si,No,Si,Si,No
Breña,13,4,3,2,88,465715,Entrega Inmediata,Si,No,Si,Si,No
Breña,13,4,3,2,92,485137,Entrega Inmediata,Si,No,Si,Si,No
Breña,13,4,3,2,77,391712,Entrega Inmediata,Si,No,Si,Si,No
Breña,13,4,3,2,77,391712,Entrega Inmediata,Si,No,Si,Si,No
Breña,13,4,3,2,77,391712,Entrega Inmediata,Si,No,Si,Si,No
Breña,20,2,2,2,58,395583,En Planos,Si,Si,Si,Si,Si
Breña,20,20,3,2,70,388678,En Planos,Si,Si,Si,Si,Si
Breña,20,18,3,2,77,416604,En Planos,Si,Si,Si,Si,Si
Breña,20,19,3,2,67,374472,En Planos,Si,Si,Si,Si,Si
Breña,20,18,2,2,54,304835,En Planos,Si,Si,Si,Si,Si
San Miguel,17,84,3,2,82,492500,En Planos,Si,Si,Si,Si,Si
San Miguel,17,84,2,2,82,360000,En Planos,Si,Si,Si,Si,Si
San Miguel,17,84,3,2,82,492500,En Planos,Si,Si,Si,Si,Si
San Miguel,17,84,3,2,82,492500,En Planos,Si,Si,Si,Si,Si
San Miguel,17,84,3,2,82,492500,En Planos,Si,Si,Si,Si,Si
San Miguel,25,450,1,2,20,171945,En Construcción,No,No,No,No,No
San Miguel,25,450,4,2,172,968335,En Construcción,No,No,No,No,No
San Miguel,25,450,4,2,172,968335,En Construcción,No,No,No,No,No
San Miguel,25,450,2,2,50,379137,En Construcción,No,No,No,No,No
San Miguel,25,450,3,2,80,814615,En Construcción,No,No,No,No,No
San Miguel,20,87,1,1,47,283900,En Construcción,No,No,No,No,No
San Miguel,20,87,3,2,97,444900,En Construcción,No,No,No,No,No
San Miguel,20,87,3,2,97,464900,En Planos,No,No,No,No,No
San Miguel,20,87,3,2,97,484900,En Planos,No,No,No,No,No
San Miguel,20,87,2,1,81,283900,En Planos,No,No,No,No,No
San Miguel,7,47,2,2,68,451800,En Construcción,Si,Si,Si,Si,No
San Miguel,7,47,2,2,68,451800,En Construcción,Si,Si,Si,Si,No
San Miguel,7,47,3,2,72,891600,En Construcción,Si,Si,Si,Si,No
San Miguel,7,47,3,2,72,891600,En Construcción,Si,Si,Si,Si,No
San Miguel,7,47,3,2,72,891600,En Construcción,Si,Si,Si,Si,No
San Miguel,16,60,2,2,67,279000,En Construcción,No,No,No,No,No
San Miguel,16,60,2,2,67,279000,En Construcción,No,No,No,No,No
San Miguel,16,60,3,2,100,335000,En Construcción,No,No,No,No,No
San Miguel,16,60,2,2,67,279000,En Construcción,No,No,No,No,No
San Miguel,16,60,3,2,100,289000,En Construcción,No,No,No,No,No
San Miguel,21,159,1,1,42,264000,En Planos,No,Si,Si,Si,No
San Miguel,21,159,2,2,60,396000,En Planos,No,Si,Si,Si,No
San Miguel,21,159,2,2,60,365000,En Planos,No,Si,Si,Si,No
San Miguel,21,159,3,2,78,484000,En Planos,No,Si,Si,Si,No
San Miguel,21,159,3,2,88,528000,En Planos,No,Si,Si,Si,No
San Miguel,20,95,1,2,78,434800,En Construcción,No,No,No,No,No
San Miguel,20,95,1,1,43,303800,En Construcción,No,No,No,No,No
San Miguel,20,95,2,3,58,454000,En Construcción,No,No,No,No,No
San Miguel,20,95,2,2,70,429600,En Construcción,No,No,No,No,No
San Miguel,20,95,2,2,64,423000,En Construcción,No,No,No,No,No
San Miguel,14,75,1,1,40,274139,En Construcción,No,No,No,No,No
San Miguel,14,75,2,2,53,375717,En Construcción,No,No,No,No,No
San Miguel,14,75,2,2,59,424051,En Construcción,No,No,No,No,No
San Miguel,14,75,2,2,56,389747,En Construcción,No,No,No,No,No
San Miguel,14,75,3,2,70,468815,En Construcción,No,No,No,No,No
San Miguel,10,44,3,2,82,444600,En Planos,Si,No,Si,No,No
San Miguel,10,44,2,2,74,368600,En Planos,Si,No,Si,No,No
San Miguel,10,44,2,2,61,311600,En Planos,Si,No,Si,No,No
San Miguel,10,44,3,2,79,412800,En Planos,Si,No,Si,No,No
San Miguel,10,44,3,2,81,423400,En Planos,Si,No,Si,No,No
San Miguel,18,90,1,1,41,284000,En Planos,Si,No,Si,No,No
San Miguel,18,90,3,2,79,523000,En Planos,Si,No,Si,No,No
San Miguel,18,90,2,2,63,406000,En Planos,Si,No,Si,No,No
San Miguel,18,90,3,2,78,500000,En Planos,Si,No,Si,No,No
San Miguel,18,90,2,2,62,403000,En Planos,Si,No,Si,No,No
