Ciclo,Edad,Carrera,Genero,Cursos,tiempo,anxiety_before_ex,anxiety_after_ex,time_mayor_anxiety,ESF_angustia,ESF_intranquilidad,ESF_palpitaciones,ESF_fatiga,ESF_sueño_alterado,ESF_tension_muscular,ESC_dificil_concentracion,ESC_bloqueo_mental,ESC_acontencimientos_negativos,ESC_falta_memoria,ESC_pensamientos_desagradables,ESC_dificultad_decisiones,ESCCA_comer_beber,ESCCA_escapar,ESCCA_movimientos_repetitivos,ESCCA_moverse_mucho,ESCCA_movimientos_torpe,ESCCA_llanto,cause_ansiedad_U,help_ansiedad,stress_before_ex,stress_after_ex,time_mayor_stress,ESFCE_cansancio,ESFCE_relajarse,ESFCE_dificultad_tomar_decisiones,ESFCE_pensar_claridad,ESFCE_pensar_problemas,ESFCE_comer_demasiado,ESFCE__dificultad_sueño,ESFCE_dolor_cuerpo,ESFCE_caefeina_nicotina,ESFCE_tics_nervous,ESFCE_dolor_estomacal,ESFCE_irritacion,ESFCE_cambios_humor,ESFCE_dificultad_concentrarse,ESFCE_alcohol_droga,ESFCE_disminuye_desempeño_U,ESFCE_sudar_palpitar,ESFCE_levantarse_tarde,FS_no_afrontar_actividades,FS_todo_controlado,FS_enfadado_fueradecontrol,FS_controlar_tiempo,FS_dificultades_acumulan,FS_afectado_imprevistos,FS_manejar_problemas_vida,FS_afrontar_cambios_vida,cause_estres_U,help_estres
3,18,Ingeniería Industrial,Femenino,6,1.5,10,6,Exámenes parciales,En alguna ocasión,A menudo,A menudo,A menudo,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,No tener espacio para estudiar,No,10,10,Exámenes parciales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Época de exámenes,No
3,21,Ingeniería Industrial,Femenino,5,2,6,9,Semana de Entrega de Notas Finales,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Mucho ruido,Sí,7,9,Exámenes parciales,Frecuentemente,Seguido,Frecuentemente,Seguido,Seguido,Seguido,Frecuentemente,Frecuentemente,Nunca,Aveces,Aveces,Aveces,Aveces,Seguido,Nunca,Aveces,Seguido,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,A menudo,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,Sí
4,19,Ingeniería Industrial,Femenino,5,1,10,6,Exámenes parciales,Casi todos los días,A menudo,En alguna ocasión,Casi todos los días,Nunca,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,Nunca,A menudo,Nunca,A menudo,En alguna ocasión,A menudo,Nunca,Casi todos los días,No tener espacio para estudiar,No,9,6,7,Siempre,Siempre,Seguido,Siempre,Siempre,Seguido,Nunca,Siempre,Seguido,Aveces,Frecuentemente,Siempre,Siempre,Siempre,Nunca,Siempre,Seguido,Siempre,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,De vez en cuando,Muy a menudo,Muy a menudo,Muy a menudo,No entender a los profesores,No
7,23,Ingeniería Mecánica,Masculino,5,2.5,8,5,Exámenes finales,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,No tener espacio para estudiar,Sí,8,5,Exámenes parciales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,21,Ciencia de la computación,Masculino,5,1,8,6,Semana de Entrega de Notas Finales,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Nunca,Demasiadas personas,Sí,7,5,Exámenes finales,Seguido,Aveces,Seguido,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Seguido,Aveces,Aveces,Seguido,Seguido,De vez en cuando,A menudo,A menudo,A menudo,De vez en cuando,A menudo,Casi nunca,A menudo,No tener espacio donde comer (comedor lleno),Sí
3,20,Ingeniería Civil,Femenino,6,1.5,10,9,Exámenes finales,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,Nunca,En alguna ocasión,En alguna ocasión,Nunca,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Mucho ruido,Sí,10,10,Semana de Entrega de Notas Finales,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,NA,Muy a menudo,Muy a menudo,Época de exámenes,Sí
3,23,Ingeniería Civil,Masculino,4,2.5,8,9,Exámenes finales,Casi todos los días,A menudo,A menudo,A menudo,Casi todos los días,A menudo,A menudo,Casi todos los días,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,En alguna ocasión,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",Sí,8,7,Exámenes parciales,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Seguido,Frecuentemente,Seguido,Frecuentemente,Frecuentemente,Seguido,Frecuentemente,Frecuentemente,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Demasiado frío,Sí
8,20,Ingeniería Mecánica,Masculino,5,5,3,2,1,En alguna ocasión,Nunca,En alguna ocasión,Nunca,A menudo,Nunca,A menudo,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,En alguna ocasión,Mucho ruido,Sí,4,2,7,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Seguido,Nunca,Nunca,Nunca,Nunca,Aveces,Seguido,Nunca,Nunca,Aveces,Nunca,Aveces,Casi nunca,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,No tener donde descansar,Sí
2,17,Ciencia de Datos,Masculino,6,1.5,7,6,Exámenes finales,En alguna ocasión,A menudo,Nunca,En alguna ocasión,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,Nunca,A menudo,Nunca,Nunca,A menudo,A menudo,En alguna ocasión,Nunca,No tener espacio para estudiar,No,10,4,Entrega de notas parciales,Aveces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Seguido,Siempre,Seguido,Nunca,Seguido,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Seguido,Aveces,Frecuentemente,Casi nunca,De vez en cuando,De vez en cuando,A menudo,Casi nunca,Casi nunca,A menudo,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,No
2,18,Ingeniería Industrial,Masculino,6,6.5,1,1,Entrega de notas parciales,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Mucho ruido,No,1,1,Exámenes parciales,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,No tener donde descansar,No
4,19,Ciencia de la computación,Masculino,5,4.5,6,6,7,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Demasiadas personas,No,6,5,7,Nunca,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Aveces,Nunca,Nunca,Aveces,Nunca,Casi nunca,Nunca,Nunca,Nunca,Casi nunca,Nunca,Nunca,Nunca,Época de exámenes,No
8,20,Ingeniería Mecatrónica,Masculino,6,1.5,9,10,Exámenes parciales,A menudo,A menudo,Nunca,Casi todos los días,En alguna ocasión,En alguna ocasión,Casi todos los días,Casi todos los días,A menudo,Nunca,Nunca,En alguna ocasión,A menudo,A menudo,Casi todos los días,Casi todos los días,En alguna ocasión,A menudo,No tener espacio para estudiar,No,8,9,Semana de Entrega de Notas Finales,Siempre,Frecuentemente,Siempre,Frecuentemente,Frecuentemente,Seguido,Seguido,Aveces,Aveces,Aveces,Aveces,Aveces,Frecuentemente,Frecuentemente,Nunca,Seguido,Aveces,Nunca,Casi nunca,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,No tener donde descansar,No
8,19,Ingeniería Mecatrónica,Masculino,7,2,10,9,Semana de Entrega de Notas Finales,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,En alguna ocasión,Que no respeten tu espacio personal,Sí,10,5,Exámenes parciales,Frecuentemente,Siempre,Seguido,Seguido,Seguido,Frecuentemente,Siempre,Siempre,Siempre,Frecuentemente,Aveces,Aveces,Seguido,Seguido,Aveces,Aveces,Frecuentemente,Siempre,De vez en cuando,De vez en cuando,Muy a menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,No tener espacio donde comer (comedor lleno),Sí
5,19,Ingeniería Mecatrónica,Masculino,6,2,6,3,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,6,4,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Seguido,Nunca,Aveces,Aveces,Seguido,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,Época de exámenes,Sí
3,19,Ingeniería Industrial,Femenino,5,2,7,7,Exámenes parciales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,No,6,6,Semana de Entrega de Notas Finales,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Nunca,Aveces,Aveces,Nunca,Aveces,Aveces,Nunca,Aveces,Nunca,Seguido,Casi nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Mal olor,No
4,20,Ingeniería Mecatrónica,Masculino,6,1.5,7,4,Exámenes parciales,Nunca,A menudo,Nunca,Nunca,En alguna ocasión,Nunca,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Nunca,En alguna ocasión,Nunca,A menudo,En alguna ocasión,Nunca,Nunca,No tener espacio para estudiar,No,4,2,Exámenes parciales,Seguido,Aveces,Aveces,Aveces,Aveces,Seguido,Nunca,Nunca,Nunca,Aveces,Aveces,Aveces,NA,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Casi nunca,De vez en cuando,Casi nunca,Nunca,Casi nunca,A menudo,A menudo,Demasiado frío,No
4,22,Ingeniería Ambiental,Femenino,6,2,8,5,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,A menudo,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,8,8,Exámenes finales,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,Demasiado frío,No
2,17,Ingeniería Mecatrónica,Masculino,6,1.5,8,4,7,En alguna ocasión,Casi todos los días,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,Nunca,Nunca,Demasiadas personas,No,9,8,Exámenes parciales,Aveces,Aveces,Aveces,Aveces,Seguido,Frecuentemente,Frecuentemente,Aveces,Siempre,Frecuentemente,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Frecuentemente,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Casi nunca,A menudo,De vez en cuando,No tener espacio donde comer (comedor lleno),No
3,19,Bioingeniería,Femenino,5,2,9,7,Exámenes parciales,En alguna ocasión,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Demasiadas personas,Sí,9,7,Exámenes finales,Seguido,Seguido,Seguido,Aveces,Seguido,Aveces,Aveces,Seguido,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Seguido,Seguido,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,Sí
4,19,Ciencia de la computación,Masculino,5,2.5,7,5,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,Nunca,A menudo,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,No tener espacio para estudiar,No,6,5,Exámenes parciales,Aveces,Aveces,Nunca,Seguido,Aveces,Nunca,Seguido,Aveces,Nunca,Nunca,Aveces,Aveces,Nunca,Seguido,Aveces,Nunca,Nunca,Nunca,Casi nunca,Nunca,De vez en cuando,Casi nunca,Nunca,Casi nunca,Nunca,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,No
4,18,Ingeniería Industrial,Masculino,7,2.5,8,9,Exámenes parciales,A menudo,A menudo,Casi todos los días,En alguna ocasión,Casi todos los días,En alguna ocasión,Nunca,En alguna ocasión,Casi todos los días,En alguna ocasión,Casi todos los días,Casi todos los días,Nunca,Nunca,Casi todos los días,A menudo,En alguna ocasión,Nunca,Demasiadas personas,No,8,9,Semana de Entrega de Notas Finales,Siempre,Siempre,Frecuentemente,Frecuentemente,Siempre,Aveces,Siempre,Siempre,Nunca,Siempre,Aveces,Frecuentemente,Frecuentemente,Seguido,Nunca,Aveces,Siempre,Nunca,A menudo,De vez en cuando,Muy a menudo,De vez en cuando,Muy a menudo,A menudo,A menudo,De vez en cuando,Época de exámenes,No
8,20,Ingeniería Química,Masculino,6,2.5,5,5,7,En alguna ocasión,A menudo,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Que no respeten tu espacio personal,Sí,6,2,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,Sí
2,18,Administración y Negocios Digitales,Femenino,5,0.5,10,10,Exámenes parciales,A menudo,A menudo,En alguna ocasión,Casi todos los días,A menudo,Casi todos los días,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,Casi todos los días,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,Mucha ventilación,Sí,10,10,Entrega de notas parciales,Frecuentemente,Frecuentemente,Seguido,Seguido,Siempre,Aveces,Seguido,Frecuentemente,Aveces,Aveces,Frecuentemente,Seguido,Seguido,Seguido,Nunca,Frecuentemente,Aveces,Seguido,Muy a menudo,Casi nunca,A menudo,A menudo,A menudo,De vez en cuando,A menudo,Casi nunca,Demasiado frío,Sí
3,20,Ciencia de la computación,Masculino,6,2,8,9,Semana de Entrega de Notas Finales,En alguna ocasión,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,A menudo,A menudo,Nunca,Que no respeten tu espacio personal,No,8,8,Exámenes parciales,Seguido,Seguido,Seguido,Aveces,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Nunca,Aveces,Nunca,Seguido,Nunca,Seguido,Aveces,Aveces,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,Demasiado frío,No
2,18,Ingeniería Ambiental,Masculino,6,1.5,8,6,Exámenes parciales,En alguna ocasión,Casi todos los días,En alguna ocasión,Casi todos los días,Nunca,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,Casi todos los días,En alguna ocasión,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,No tener espacio para estudiar,Sí,9,6,Exámenes finales,Frecuentemente,Aveces,Frecuentemente,Frecuentemente,Siempre,Siempre,Nunca,Siempre,Aveces,Siempre,Frecuentemente,Siempre,Frecuentemente,Siempre,Nunca,Siempre,Frecuentemente,Frecuentemente,Muy a menudo,Casi nunca,Muy a menudo,De vez en cuando,Muy a menudo,Muy a menudo,Casi nunca,Casi nunca,Grabaciones,Sí
3,19,Ingeniería Mecatrónica,Masculino,6,3.5,8,4,Exámenes parciales,En alguna ocasión,En alguna ocasión,A menudo,Nunca,A menudo,A menudo,Nunca,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,Nunca,A menudo,En alguna ocasión,En alguna ocasión,Casi todos los días,En alguna ocasión,Mucha ventilación,No,9,2,Exámenes parciales,Nunca,Seguido,Seguido,Aveces,Seguido,Aveces,Siempre,Siempre,Nunca,Nunca,Nunca,Siempre,Siempre,Nunca,Nunca,Aveces,Frecuentemente,Frecuentemente,A menudo,A menudo,A menudo,Muy a menudo,A menudo,Muy a menudo,Nunca,Nunca,Grabaciones,No
3,18,Ciencia de la computación,Femenino,7,2.5,6,10,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,A menudo,Nunca,Nunca,Casi todos los días,Mucho ruido,No,7,2,7,Frecuentemente,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Siempre,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Seguido,De vez en cuando,Casi nunca,A menudo,Muy a menudo,Casi nunca,De vez en cuando,Muy a menudo,Muy a menudo,Época de exámenes,No
3,18,Ingeniería Civil,Masculino,6,3,5,3,Exámenes parciales,Nunca,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,A menudo,A menudo,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,Nunca,No tener espacio para estudiar,No,5,3,Exámenes parciales,Seguido,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Aveces,Nunca,Nunca,Nunca,Muy a menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Nunca,De vez en cuando,No entender a los profesores,No
3,21,Ingeniería Industrial,Femenino,6,2,10,10,15,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,No tener espacio para estudiar,Sí,10,10,Exámenes finales,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,No tener espacio para estudiar - No alcanzar cubículo,Sí
4,18,Ciencia de la computación,Masculino,6,1.5,7,4,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,No tener espacio para estudiar,No,8,9,Exámenes parciales,Aveces,Aveces,Aveces,Nunca,Seguido,Aveces,Nunca,Aveces,Aveces,Nunca,Nunca,NA,Aveces,Aveces,Nunca,Aveces,Seguido,Aveces,Casi nunca,Nunca,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,Época de exámenes,No
1,18,Ingeniería Industrial,Femenino,7,1.5,9,8,Exámenes finales,Nunca,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Mucha ventilación,No,9,8,Semana de Entrega de Notas Finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,Demasiado frío,No
3,18,Ingeniería Industrial,Masculino,6,2,8,8,Exámenes finales,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Demasiadas personas,No,8,9,Exámenes parciales,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Nunca,Aveces,Aveces,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Muy a menudo,No tener espacio para estudiar - No alcanzar cubículo,No
4,19,Ingeniería Ambiental,Masculino,6,2,7,5,Exámenes finales,A menudo,A menudo,Nunca,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,A menudo,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,7,6,Exámenes finales,Aveces,Frecuentemente,Nunca,Aveces,Seguido,Nunca,Frecuentemente,Aveces,Nunca,Nunca,Nunca,Seguido,Nunca,Seguido,Nunca,Nunca,Nunca,Frecuentemente,Casi nunca,A menudo,Casi nunca,A menudo,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,Demasiado frío,No
1,17,Ingeniería Industrial,Femenino,7,5,3,5,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Nunca,A menudo,Casi todos los días,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,No tener espacio para estudiar,No,5,3,Semana de Entrega de Notas Finales,Seguido,Aveces,Frecuentemente,Frecuentemente,Siempre,Frecuentemente,Aveces,Aveces,Nunca,Nunca,NA,Aveces,Siempre,Frecuentemente,Nunca,Frecuentemente,Aveces,Seguido,De vez en cuando,A menudo,Muy a menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,No
2,17,Ciencia de la computación,Masculino,6,1.5,10,5,Exámenes finales,Nunca,A menudo,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,A menudo,Nunca,Nunca,Nunca,Nunca,Nunca,A menudo,Nunca,Nunca,Nunca,No tener espacio para estudiar,No,6,9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,20,Ingeniería Mecatrónica,Masculino,5,5,4,7,Exámenes finales,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,A menudo,A menudo,Nunca,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,No tener espacio para estudiar,No,4,4,Semana de Entrega de Notas Finales,Seguido,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Seguido,Seguido,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,No tener donde descansar,No
2,17,Ingeniería Mecatrónica,Masculino,6,1.5,9,4,Exámenes parciales,A menudo,A menudo,Nunca,Nunca,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,Nunca,Demasiadas personas,No,9,4,Exámenes finales,Seguido,Aveces,Seguido,Seguido,Seguido,Seguido,Aveces,Seguido,Nunca,Nunca,Seguido,Seguido,Seguido,Seguido,Nunca,Seguido,Seguido,Seguido,A menudo,A menudo,A menudo,De vez en cuando,A menudo,A menudo,A menudo,A menudo,Grabaciones,No
4,18,Bioingeniería,Femenino,4,2,9,3,Exámenes parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,A menudo,Casi todos los días,En alguna ocasión,A menudo,A menudo,Casi todos los días,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,No tener espacio para estudiar,No,9,4,Entrega de notas parciales,Seguido,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Frecuentemente,Frecuentemente,Seguido,Aveces,Frecuentemente,Siempre,Siempre,Nunca,Siempre,Aveces,Siempre,Muy a menudo,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,Grabaciones,No
