Marca temporal,Ciclo cursante,Edad ,¿Qué carrera estudias?,Género,¿Cuántos cursos lleva?,¿Cuanto tiempo en horas estudia al día?,"Cuál considera que ha sido su nivel de ansiedad, en promedio, antes de rendir cualquier evaluación","Cuál considera que ha sido su nivel de ansiedad, en promedio, después de rendir cualquier evaluación",¿Cuáles han sido sus épocas de mayor ansiedad?,Escala de síntomas físicos [Sensación de angustia o aprensión],"Escala de síntomas físicos [Dificultad para estar quieto, intranquilidad]",Escala de síntomas físicos [Aumento de frecuencia cardiaca (palpitaciones) sin enfermedad conocida que lo justifique],"Escala de síntomas físicos [Fatiga, especialmente importante al final del día]","Escala de síntomas físicos [Alteraciones en el sueño; tardas en quedarte dormido, te despiertas varias veces o despiertas antes de lo previsto]","Escala de síntomas físicos [Sensación de tensión muscular que puede ir acompañada de dolor en determinadas partes de tu cuerpo (cuello, espalda, cabeza, etcétera)]",Escala de síntomas cognitivos [Dificultad para concentrarte],Escala de síntomas cognitivos [Sensación de bloqueo mental],Escala de síntomas cognitivos [Anticipación de acontecimientos negativos. Catastrofismo],Escala de síntomas cognitivos [Falta de memoria (dificultad para recordar cosas)],Escala de síntomas cognitivos [Pensamientos o imágenes desagradables],Escala de síntomas cognitivos [Dificultad para tomar decisiones (por ejemplo “das vueltas a la cabeza” sin llegar a decidirte)],"Escala de síntomas comportamentales para combatir la ansiedad [Fumas, comes o bebes para calmar tu ansiedad]",Escala de síntomas comportamentales para combatir la ansiedad [Evitas o escapas de determinadas situaciones],"Escala de síntomas comportamentales para combatir la ansiedad [Haces movimientos repetitivos (tocarte el pelo, temblor de piernas)]",Escala de síntomas comportamentales para combatir la ansiedad [Te mueves más de lo habitual],Escala de síntomas comportamentales para combatir la ansiedad [Movimientos torpes (por ejemplo se te caen las cosas)],Escala de síntomas comportamentales para combatir la ansiedad [Llanto para aliviar tu malestar],¿Algo dentro de la universidad te cause demasiada ansiedad?,Ha buscado algún tipo de ayuda sobre cómo tratar la ansiedad,"Cuál considera que ha sido su nivel de estrés, en promedio, antes de rendir cualquier evaluación","Cuál considera que ha sido su nivel de estrés, en promedio, después de rendir cualquier evaluación",Cuáles han sido sus épocas de mayor estrés,Escala de síntomas físicos y cognitivos  [Te sientes cansado/a],Escala de síntomas físicos y cognitivos  [Se te hace difícil relajarte o sentirte tranquilo/a],Escala de síntomas físicos y cognitivos  [Se te hace difícil tomar decisiones],Escala de síntomas físicos y cognitivos  [Tienes problemas para pensar con claridad],Escala de síntomas físicos y cognitivos  [Piensas en tus problemas una y otra vez durante el día],Escala de síntomas físicos y cognitivos  [Comes demasiado o muy poco],Escala de síntomas físicos y cognitivos  [Dificultad para conciliar el sueño],"Escala de síntomas físicos y cognitivos  [Dolor de espalda,cuello u otro dolor relacionado con la tensión]",Escala de síntomas físicos y cognitivos  [Uso más seguido de cafeína o nicotina de lo habitual],Escala de síntomas físicos y cognitivos  [Tics nerviosos],Escala de síntomas físicos y cognitivos  [Malestar estomacal],Escala de síntomas físicos y cognitivos  [Irritación con facilidad],Escala de síntomas físicos y cognitivos  [Cambios de humor y sensibilidad],Escala de síntomas físicos y cognitivos  [Dificultad al concentrarse],Escala de síntomas físicos y cognitivos  [Uso de alcohol o drogas para afrontar problemas],Escala de síntomas físicos y cognitivos  [Tu desempeño ha disminuido y presentas problemas para completar tus tareas],Escala de síntomas físicos y cognitivos  [Tendencias a sudar o palpitaciones],Escala de síntomas físicos y cognitivos  [Tentaciones fuertes de no levantarse por la mañana],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia se ha sentido al control de todo?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha estado enfadado porque las cosas que le han ocurrido estaban fuera de su control?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha podido controlar la forma de pasar el tiempo?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha estado afectado por algo que ha ocurrido inesperadamente?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha manejado con éxito los pequeños problemas irritantes de la vida?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que ha afrontado efectivamente los cambios importantes que han estado ocurriendo en su vida?],¿Algo dentro de la universidad que te cause estrés?,Ha buscado algún tipo de ayuda sobre cómo tratar el estrés
18/09/2022 23:38:24,4,18,Ingeniería Industrial,Masculino,6,2.5,8,2,Exámenes finales,A menudo,Casi todos los días,A menudo,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,Nunca,A menudo,Nunca,Casi todos los días,En alguna ocasión,Nunca,Casi todos los días,A menudo,Nunca,Nunca,Mucho ruido,No,9,2,Exámenes finales,Aveces,Frecuentemente,Siempre,Frecuentemente,Seguido,Seguido,Nunca,Seguido,Seguido,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Aveces,Aveces,Seguido,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,No
19/09/2022 12:00:45,8,20,Ingeniería de la Energía,Masculino,7,3,8,8,Exámenes finales,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Casi todos los días,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Demasiadas personas,No,8,8,Exámenes finales,Seguido,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Seguido,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Seguido,De vez en cuando,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,No tener espacio donde comer (comedor lleno),No
20/09/2022 15:18:28,6,21,Ingeniería de la Energía,Masculino,5,2,10,3,Exámenes parciales,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,Nunca,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,A menudo,Nunca,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,No tener espacio para estudiar,No,9,9,Semana de Entrega de Notas Finales,Aveces,Aveces,Seguido,Seguido,Seguido,Seguido,Aveces,Aveces,Seguido,Nunca,Aveces,Aveces,Aveces,Aveces,Nunca,Seguido,Nunca,Siempre,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 10:20:44,3,19,Bioingeniería,Masculino,6,5,3,7,Exámenes parciales,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Demasiadas personas,Sí,3,4,Exámenes parciales,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Demasiado frío,No
21/09/2022 13:08:30,6,20,Ingeniería Electrónica,Masculino,8,1.5,7,7,Exámenes parciales,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Mucho ruido,Sí,7,8,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Demasiado frío,Sí
21/09/2022 13:17:29,5,19,Ingeniería Civil,Masculino,8,4.5,6,6,Entrega de notas parciales,En alguna ocasión,A menudo,Nunca,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,Nunca,Nunca,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Mucha ventilación,Sí,5,5,Exámenes parciales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Nunca,Nunca,Nunca,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,Sí
21/09/2022 13:44:10,5,19,Ingeniería Civil,Masculino,7,1.5,7,3,Exámenes parciales,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,A menudo,Nunca,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Nunca,Mucho ruido,No,5,3,Entrega de notas parciales,Aveces,Seguido,Seguido,Aveces,Seguido,Aveces,Aveces,Aveces,Seguido,Seguido,Frecuentemente,Seguido,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,A menudo,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,Sí
21/09/2022 13:50:53,2,17,Ciencia de Datos,Femenino,6,1.5,9,10,Semana de Entrega de Notas Finales,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Nunca,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Demasiadas personas,Sí,10,10,Exámenes parciales,,,,,,,,,,,,,,,,,,,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,No entender a los profesores,Sí
21/09/2022 13:52:50,6,22,Ciencia de la computación,Masculino,5,1.5,9,9,7,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,Nunca,Casi todos los días,En alguna ocasión,A menudo,Nunca,Casi todos los días,No tener espacio para estudiar,Sí,7,4,Exámenes finales,Seguido,Seguido,Seguido,Seguido,Seguido,Nunca,Seguido,Seguido,Nunca,Seguido,Seguido,Seguido,Seguido,Seguido,Nunca,Seguido,Seguido,Seguido,Muy a menudo,Muy a menudo,A menudo,Muy a menudo,A menudo,A menudo,Muy a menudo,A menudo,Demasiado frío,
21/09/2022 13:53:13,2,20,Ciencia de la computación,Masculino,5,1.5,7,6,Entrega de notas parciales,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,A menudo,En alguna ocasión,No tener espacio para estudiar,No,6,7,7,Seguido,Seguido,Seguido,Seguido,Frecuentemente,Frecuentemente,Siempre,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Aveces,Seguido,Nunca,Nunca,Seguido,Seguido,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 13:54:01,3,18,Ingeniería Industrial,Femenino,6,1.5,10,6,Exámenes parciales,En alguna ocasión,A menudo,A menudo,A menudo,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,No tener espacio para estudiar,No,10,10,Exámenes parciales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Época de exámenes,No
21/09/2022 13:54:32,3,21,Ingeniería Industrial,Femenino,5,2,6,9,Semana de Entrega de Notas Finales,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Mucho ruido,Sí,7,9,Exámenes parciales,Frecuentemente,Seguido,Frecuentemente,Seguido,Seguido,Seguido,Frecuentemente,Frecuentemente,Nunca,Aveces,Aveces,Aveces,Aveces,Seguido,Nunca,Aveces,Seguido,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,A menudo,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,Sí
21/09/2022 13:54:54,4,19,Ingeniería Industrial,Femenino,5,1,10,6,Exámenes parciales,Casi todos los días,A menudo,En alguna ocasión,Casi todos los días,Nunca,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,Nunca,A menudo,Nunca,A menudo,En alguna ocasión,A menudo,Nunca,Casi todos los días,No tener espacio para estudiar,No,9,6,7,Siempre,Siempre,Seguido,Siempre,Siempre,Seguido,Nunca,Siempre,Seguido,Aveces,Frecuentemente,Siempre,Siempre,Siempre,Nunca,Siempre,Seguido,Siempre,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,De vez en cuando,Muy a menudo,Muy a menudo,Muy a menudo,No entender a los profesores,No
21/09/2022 13:55:06,7,23,Ingeniería Mecánica,Masculino,5,2.5,8,5,Exámenes finales,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,No tener espacio para estudiar,Sí,8,5,Exámenes parciales,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/09/2022 13:56:43,3,21,Ciencia de la computación,Masculino,5,1,8,6,Semana de Entrega de Notas Finales,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Nunca,Demasiadas personas,Sí,7,5,Exámenes finales,Seguido,Aveces,Seguido,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Seguido,Aveces,Aveces,Seguido,Seguido,De vez en cuando,A menudo,A menudo,A menudo,De vez en cuando,A menudo,Casi nunca,A menudo,No tener espacio donde comer (comedor lleno),Sí
21/09/2022 13:56:55,3,20,Ingeniería Civil,Femenino,6,1.5,10,9,Exámenes finales,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,Nunca,En alguna ocasión,En alguna ocasión,Nunca,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Mucho ruido,Sí,10,10,Semana de Entrega de Notas Finales,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,,Muy a menudo,Muy a menudo,Época de exámenes,Sí
21/09/2022 13:57:36,3,23,Ingeniería Civil,Masculino,4,2.5,8,9,Exámenes finales,Casi todos los días,A menudo,A menudo,A menudo,Casi todos los días,A menudo,A menudo,Casi todos los días,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,En alguna ocasión,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",Sí,8,7,Exámenes parciales,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Seguido,Frecuentemente,Seguido,Frecuentemente,Frecuentemente,Seguido,Frecuentemente,Frecuentemente,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Demasiado frío,Sí
21/09/2022 13:57:42,8,20,Ingeniería Mecánica,Masculino,5,5,3,2,1,En alguna ocasión,Nunca,En alguna ocasión,Nunca,A menudo,Nunca,A menudo,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,En alguna ocasión,Mucho ruido,Sí,4,2,7,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Seguido,Nunca,Nunca,Nunca,Nunca,Aveces,Seguido,Nunca,Nunca,Aveces,Nunca,Aveces,Casi nunca,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,No tener donde descansar,Sí
21/09/2022 13:58:26,2,17,Ciencia de Datos,Masculino,6,1.5,7,6,Exámenes finales,En alguna ocasión,A menudo,Nunca,En alguna ocasión,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,Nunca,A menudo,Nunca,Nunca,A menudo,A menudo,En alguna ocasión,Nunca,No tener espacio para estudiar,No,10,4,Entrega de notas parciales,Aveces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Seguido,Siempre,Seguido,Nunca,Seguido,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Seguido,Aveces,Frecuentemente,Casi nunca,De vez en cuando,De vez en cuando,A menudo,Casi nunca,Casi nunca,A menudo,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 13:58:28,2,18,Ingeniería Industrial,Masculino,6,6.5,1,1,Entrega de notas parciales,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Mucho ruido,No,1,1,Exámenes parciales,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,No tener donde descansar,No
21/09/2022 13:58:52,4,19,Ciencia de la computación,Masculino,5,4.5,6,6,7,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Demasiadas personas,No,6,5,7,Nunca,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Aveces,Nunca,Nunca,Aveces,Nunca,Casi nunca,Nunca,Nunca,Nunca,Casi nunca,Nunca,Nunca,Nunca,Época de exámenes,No
21/09/2022 14:00:29,8,20,Ingeniería Mecatrónica,Masculino,6,1.5,9,10,Exámenes parciales,A menudo,A menudo,Nunca,Casi todos los días,En alguna ocasión,En alguna ocasión,Casi todos los días,Casi todos los días,A menudo,Nunca,Nunca,En alguna ocasión,A menudo,A menudo,Casi todos los días,Casi todos los días,En alguna ocasión,A menudo,No tener espacio para estudiar,No,8,9,Semana de Entrega de Notas Finales,Siempre,Frecuentemente,Siempre,Frecuentemente,Frecuentemente,Seguido,Seguido,Aveces,Aveces,Aveces,Aveces,Aveces,Frecuentemente,Frecuentemente,Nunca,Seguido,Aveces,Nunca,Casi nunca,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,No tener donde descansar,No
21/09/2022 14:00:47,8,19,Ingeniería Mecatrónica,Masculino,7,2,10,9,Semana de Entrega de Notas Finales,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,En alguna ocasión,Que no respeten tu espacio personal,Sí,10,5,Exámenes parciales,Frecuentemente,Siempre,Seguido,Seguido,Seguido,Frecuentemente,Siempre,Siempre,Siempre,Frecuentemente,Aveces,Aveces,Seguido,Seguido,Aveces,Aveces,Frecuentemente,Siempre,De vez en cuando,De vez en cuando,Muy a menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,No tener espacio donde comer (comedor lleno),Sí
21/09/2022 14:00:50,5,19,Ingeniería Mecatrónica,Masculino,6,2,6,3,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,6,4,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Seguido,Nunca,Aveces,Aveces,Seguido,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,Época de exámenes,Sí
21/09/2022 14:01:14,3,19,Ingeniería Industrial,Femenino,5,2,7,7,Exámenes parciales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,No,6,6,Semana de Entrega de Notas Finales,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Nunca,Aveces,Aveces,Nunca,Aveces,Aveces,Nunca,Aveces,Nunca,Seguido,Casi nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Mal olor,No
21/09/2022 14:01:56,4,20,Ingeniería Mecatrónica,Masculino,6,1.5,7,4,Exámenes parciales,Nunca,A menudo,Nunca,Nunca,En alguna ocasión,Nunca,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Nunca,En alguna ocasión,Nunca,A menudo,En alguna ocasión,Nunca,Nunca,No tener espacio para estudiar,No,4,2,Exámenes parciales,Seguido,Aveces,Aveces,Aveces,Aveces,Seguido,Nunca,Nunca,Nunca,Aveces,Aveces,Aveces,,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Casi nunca,De vez en cuando,Casi nunca,Nunca,Casi nunca,A menudo,A menudo,Demasiado frío,No
21/09/2022 14:02:18,4,22,Ingeniería Ambiental,Femenino,6,2,8,5,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,A menudo,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,8,8,Exámenes finales,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,Demasiado frío,No
21/09/2022 14:02:41,2,17,Ingeniería Mecatrónica,Masculino,6,1.5,8,4,7,En alguna ocasión,Casi todos los días,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,Nunca,Nunca,Demasiadas personas,No,9,8,Exámenes parciales,Aveces,Aveces,Aveces,Aveces,Seguido,Frecuentemente,Frecuentemente,Aveces,Siempre,Frecuentemente,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Frecuentemente,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Casi nunca,A menudo,De vez en cuando,No tener espacio donde comer (comedor lleno),No
21/09/2022 14:03:15,3,19,Bioingeniería,Femenino,5,2,9,7,Exámenes parciales,En alguna ocasión,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Demasiadas personas,Sí,9,7,Exámenes finales,Seguido,Seguido,Seguido,Aveces,Seguido,Aveces,Aveces,Seguido,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Seguido,Seguido,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,Sí
21/09/2022 14:03:28,4,19,Ciencia de la computación,Masculino,5,2.5,7,5,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,Nunca,A menudo,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,No tener espacio para estudiar,No,6,5,Exámenes parciales,Aveces,Aveces,Nunca,Seguido,Aveces,Nunca,Seguido,Aveces,Nunca,Nunca,Aveces,Aveces,Nunca,Seguido,Aveces,Nunca,Nunca,Nunca,Casi nunca,Nunca,De vez en cuando,Casi nunca,Nunca,Casi nunca,Nunca,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:04:20,4,18,Ingeniería Industrial,Masculino,7,2.5,8,9,Exámenes parciales,A menudo,A menudo,Casi todos los días,En alguna ocasión,Casi todos los días,En alguna ocasión,Nunca,En alguna ocasión,Casi todos los días,En alguna ocasión,Casi todos los días,Casi todos los días,Nunca,Nunca,Casi todos los días,A menudo,En alguna ocasión,Nunca,Demasiadas personas,No,8,9,Semana de Entrega de Notas Finales,Siempre,Siempre,Frecuentemente,Frecuentemente,Siempre,Aveces,Siempre,Siempre,Nunca,Siempre,Aveces,Frecuentemente,Frecuentemente,Seguido,Nunca,Aveces,Siempre,Nunca,A menudo,De vez en cuando,Muy a menudo,De vez en cuando,Muy a menudo,A menudo,A menudo,De vez en cuando,Época de exámenes,No
21/09/2022 14:04:43,8,20,Ingeniería Química,Masculino,6,2.5,5,5,7,En alguna ocasión,A menudo,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Que no respeten tu espacio personal,Sí,6,2,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,Sí
