work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,SE,FT,Data Engineer,195700,USD,195700,US,0,US,M
2022,SE,FT,Analytics Engineer,122500,USD,122500,US,100,US,M
2022,MI,FT,Data Analyst,124000,USD,124000,US,0,US,M
2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
2022,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Engineer,66822,GBP,82280,GB,100,GB,M
2022,SE,FT,Data Scientist,198440,USD,198440,US,100,US,M
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M
2022,SE,FT,Analytics Engineer,63000,USD,63000,US,0,US,M
2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M
2023,MI,FT,Data Scientist,187500,USD,187500,US,0,US,M
2023,SE,FT,Data Analyst,179975,USD,179975,US,100,US,M
2022,SE,FT,Data Engineer,75000,USD,75000,US,0,US,M
2022,SE,FT,Data Scientist,160000,USD,160000,US,100,US,L
2022,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
2022,MI,FT,Head of Data,30000,EUR,31520,EE,100,EE,S
2022,MI,FT,Analytics Engineer,122500,USD,122500,US,100,US,M
2023,SE,FT,Data Scientist,175000,USD,175000,CA,100,CA,M
2022,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
2023,EX,FT,Analytics Engineer,221000,USD,221000,US,100,US,M
2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L
2022,EN,FT,Business Data Analyst,50000,USD,50000,IN,100,AS,L
2023,SE,FT,Data Scientist,182000,USD,182000,US,0,US,M
2022,SE,FT,Data Engineer,132000,USD,132000,US,100,US,M
2023,SE,FT,Data Analyst,175000,USD,175000,US,0,US,M
2022,MI,FT,Data Scientist,30000,USD,30000,MX,100,MX,L
2023,SE,FT,Data Analyst,45000,GBP,54685,CF,100,CF,M
2022,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
2022,MI,FT,Data Scientist,78000,USD,78000,US,100,US,M
2023,SE,FT,Data Engineer,150000,USD,150000,US,0,US,M
2023,SE,FT,Analytics Engineer,113000,USD,113000,US,100,US,M
2023,MI,FT,MLOps Engineer,124000,USD,124000,US,100,US,M
2023,EN,FT,Research Scientist,220000,USD,220000,US,50,US,L
2022,EN,FT,Machine Learning Developer,40000,USD,40000,PK,100,AU,M
2023,MI,FT,Data Analyst,80000,USD,80000,US,0,US,M
2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M
2023,SE,FT,Data Scientist,199000,USD,199000,US,0,US,M
2023,MI,FT,AI Developer,100000,SGD,75020,FI,0,FI,M
2023,MI,FT,Data Engineer,145000,USD,145000,US,0,US,M
2022,SE,FT,Data Scientist,168000,USD,168000,US,100,US,M
2022,SE,FT,Data Analyst,128875,USD,128875,US,100,US,M
2023,EX,FT,Data Engineer,200000,USD,200000,US,0,US,M
2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M
2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,S
2023,SE,FT,Principal Data Scientist,80000,EUR,85847,ES,100,ES,L
2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M
2022,SE,FT,Data Analyst,105000,USD,105000,US,0,US,M
2022,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M
2023,SE,FT,Data Analytics Manager,138900,USD,138900,US,0,US,M
2023,SE,FT,Research Engineer,102544,USD,102544,US,0,US,M
2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,DE,50,DE,M
2023,MI,FT,Data Analyst,65000,GBP,78990,GB,100,GB,M
2022,SE,FT,Business Data Analyst,100000,USD,100000,US,100,US,L
2023,SE,FT,Data Science Manager,245100,USD,245100,US,0,US,M
2023,SE,FT,Data Scientist,83270,USD,83270,US,100,US,M
2022,SE,FT,Analytics Engineer,190000,USD,190000,US,100,US,M
2023,EN,FT,BI Developer,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Scientist,182750,USD,182750,US,100,US,M
2022,SE,FT,Data Science Manager,137141,USD,137141,US,100,US,M
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M
2023,MI,FT,Research Scientist,151800,USD,151800,US,100,US,M
2022,MI,FT,Applied Machine Learning Scientist,75000,USD,75000,BO,100,US,M
2022,SE,FT,Data Scientist,128000,USD,128000,US,100,US,M
2023,MI,FT,Data Science Manager,220000,USD,220000,US,0,US,M
2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
2023,SE,FT,Analytics Engineer,87000,USD,87000,US,0,US,M
2022,SE,FT,Data Engineer,170000,USD,170000,US,100,US,M
2022,SE,FT,Data Scientist,144000,USD,144000,US,0,US,M
2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
2023,SE,FT,Data Engineer,170000,USD,170000,US,100,US,M
2022,SE,FT,Data Scientist,45000,EUR,47280,ES,0,ES,M
2023,EN,FT,Data Engineer,58000,USD,58000,US,100,US,M
2023,SE,FT,Data Engineer,107900,USD,107900,US,100,US,M
2023,SE,FT,Data Engineer,202000,USD,202000,US,100,US,M
2022,MI,FT,Machine Learning Engineer,90000,USD,90000,US,0,US,M
2021,MI,FT,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M
2023,SE,FT,Data Scientist,162500,USD,162500,US,0,US,M
2022,SE,FT,Data Analyst,110000,USD,110000,US,0,US,M
2023,MI,FT,Data Science Consultant,70000,USD,70000,US,0,US,M
2022,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
2022,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
2022,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
2023,EN,FT,Data Engineer,12000,USD,12000,VN,0,VN,L
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
2022,SE,FT,Lead Data Scientist,164000,EUR,172309,IE,100,IE,L
2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S
2022,MI,FT,Data Analyst,65000,USD,65000,CA,0,CA,M
2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M
2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M
2023,SE,FT,Data Manager,112000,USD,112000,US,0,US,M
2022,MI,FT,Data Engineer,160000,USD,160000,US,100,US,M
2023,EN,FT,Data Analyst,100000,USD,100000,US,50,US,M
2023,SE,FT,Research Scientist,145900,USD,145900,CA,0,CA,M
2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L
2022,MI,FT,Data Engineer,115000,USD,115000,US,0,US,M
2022,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M
2022,SE,FT,Data Engineer,106800,USD,106800,US,0,US,M
2023,MI,FT,Data Engineer,62000,EUR,66531,ES,100,ES,M
2021,MI,FT,Data Engineer,38400,EUR,45391,NL,100,NL,L
2023,SE,FT,Data Scientist,205000,USD,205000,US,100,US,M
2023,SE,FT,Applied Scientist,126100,USD,126100,US,0,US,L
2023,SE,FT,Data Analyst,85500,USD,85500,US,0,US,M
2023,SE,FT,Computer Vision Engineer,200000,USD,200000,US,100,US,S
2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L
2022,SE,FT,Machine Learning Engineer,65000,EUR,68293,IE,100,IE,S
2023,SE,FT,Data DevOps Engineer,50000,EUR,53654,FR,50,FR,S
2023,SE,FT,Data Engineer,176000,USD,176000,US,0,US,M
2022,EN,FT,Data Engineer,50000,GBP,61566,GB,100,GB,M
2022,SE,FT,Data Analyst,149000,USD,149000,US,100,US,M
2023,SE,FT,Data Analyst,240500,USD,240500,US,0,US,M
2023,MI,FT,Data Analyst,90000,USD,90000,US,0,US,M
2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L
2023,SE,FT,Data Engineer,165000,USD,165000,US,100,US,M
2023,SE,FT,Data Engineer,226700,USD,226700,US,0,US,M
2023,SE,FT,Data Manager,86000,USD,86000,US,100,US,M
2023,SE,FT,Data Analyst,110000,USD,110000,US,0,US,M
2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M
2022,SE,FT,Data Scientist,205000,USD,205000,US,100,US,M
2023,SE,FT,Analytics Engineer,120000,USD,120000,US,0,US,M
2023,MI,FT,Data Engineer,120000,USD,120000,US,0,US,M
2023,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
2023,SE,FT,Data Engineer,291500,USD,291500,US,0,US,M
2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
2023,SE,FT,Data Scientist,156000,USD,156000,US,100,US,M
2022,SE,FT,Data Engineer,236000,USD,236000,US,100,US,M
2022,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
2022,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M
2023,EN,FT,Data Engineer,160000,USD,160000,US,0,US,M
2023,SE,FT,Data Engineer,107250,USD,107250,US,100,US,M
2023,EN,FT,Applied Scientist,110680,USD,110680,US,0,US,L
2023,SE,FT,Data Scientist,72000,EUR,77262,LV,0,LV,M
2022,SE,FT,Data Engineer,65000,EUR,68293,ES,0,ES,M
2023,SE,FT,Data Engineer,291500,USD,291500,US,0,US,M
2022,SE,FT,Data Scientist,122600,USD,122600,US,0,US,M
2022,SE,FT,Applied Data Scientist,177000,USD,177000,US,100,US,L
2022,EN,FT,Machine Learning Engineer,189750,USD,189750,US,0,US,M
2022,MI,FT,Research Scientist,80000,EUR,84053,DE,0,DE,S
2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
2023,SE,FT,Data Analyst,110000,USD,110000,US,100,US,S
2022,MI,FT,Data Scientist,155000,USD,155000,US,100,US,L
2022,MI,FT,NLP Engineer,198000,PLN,44365,PL,100,PL,S
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M
2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M
2022,EN,FT,Data Engineer,160000,USD,160000,US,0,US,M
2022,MI,FT,Data Scientist,120000,USD,120000,US,0,US,M
2022,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,170000,USD,170000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,153400,USD,153400,US,0,US,M
2022,MI,FT,Data Scientist,55000,GBP,67723,GB,0,GB,M
2022,SE,FT,Data Analyst,177000,USD,177000,US,0,US,M
2023,SE,FT,Data Scientist,120000,USD,120000,CA,100,CA,M
2022,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,125000,USD,125000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,95000,USD,95000,CA,100,CA,M
2023,EX,FT,Data Engineer,205000,USD,205000,US,0,US,M
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L
2023,MI,FT,Applied Data Scientist,80000,USD,80000,KE,100,KE,S
2023,SE,FT,Data Scientist,90000,USD,90000,US,100,US,M
2023,EN,FT,Research Scientist,150000,USD,150000,US,0,US,M
2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
2022,MI,FT,Data Engineer,40000,GBP,49253,GB,0,GB,M
2022,SE,FT,Data Engineer,178800,USD,178800,US,100,US,L
2022,SE,FT,Data Engineer,198800,USD,198800,US,0,US,M
2022,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
2023,EX,FT,Data Engineer,284000,USD,284000,US,100,US,M
2022,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
2023,MI,FT,Machine Learning Infrastructure Engineer,171600,USD,171600,US,0,US,M
2022,SE,FT,Data Analyst,85700,USD,85700,US,0,US,M
2023,SE,FT,Machine Learning Engineer,147100,USD,147100,US,0,US,M
2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M
2023,SE,FT,BI Developer,110000,USD,110000,US,100,US,M
2023,SE,FT,Data Scientist,84000,USD,84000,US,100,US,M
2022,SE,FT,Data Scientist,104000,USD,104000,US,100,US,M
2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M
2022,SE,FT,Machine Learning Engineer,131300,USD,131300,US,100,US,L
2023,SE,FT,Data Science Manager,297300,USD,297300,US,100,US,M
2023,SE,FT,Data Analyst,206500,USD,206500,US,100,US,M
2022,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M
2022,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M
2023,MI,FT,Data Analyst,130000,USD,130000,US,0,US,M
2023,EN,FT,Research Scientist,150000,USD,150000,US,0,US,M
2023,MI,FT,Data Analyst,105000,USD,105000,US,0,US,M
2023,MI,FT,Data Scientist,170000,USD,170000,US,0,US,M
2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L
2022,MI,FT,Data Scientist,160000,USD,160000,US,100,US,M
2023,SE,FT,Data Engineer,205600,USD,205600,US,100,US,M
2023,SE,FT,Data Manager,120000,USD,120000,US,0,US,M
2023,MI,FT,Data Analyst,95000,USD,95000,US,100,US,M
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
2022,MI,FT,Data Operations Engineer,60000,USD,60000,US,100,US,M
2023,SE,FT,Data Engineer,123700,USD,123700,US,0,US,L
2022,SE,FT,Data Analyst,120600,USD,120600,US,100,US,M
2022,EN,FT,Data Analyst,67000,USD,67000,CA,0,CA,M
2023,SE,FT,Analytics Engineer,275300,USD,275300,US,100,US,M
2022,MI,FT,Data Analyst,50000,GBP,61566,GB,0,GB,M
2023,SE,FT,Data Scientist,149076,USD,149076,US,0,US,M
2022,SE,FT,Data Engineer,129400,USD,129400,US,100,US,M
2022,SE,FT,Data Scientist,123400,USD,123400,US,0,US,M
2022,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
2022,SE,FT,Data Scientist,50000,USD,50000,US,100,US,M
2023,MI,FT,Data Analyst,35000,GBP,42533,GB,0,GB,M
2023,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M
2023,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M
2023,SE,FT,BI Developer,100000,USD,100000,US,100,US,M
2022,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L
2023,SE,FT,Data Analyst,100500,USD,100500,US,0,US,M
2022,SE,FT,Machine Learning Software Engineer,183600,USD,183600,CA,100,CA,M
2023,SE,FT,Machine Learning Engineer,142200,USD,142200,US,0,US,M
2022,SE,FT,Data Scientist,99360,USD,99360,US,100,US,M
2021,EN,FT,Data Scientist,58000,USD,58000,US,50,US,L
2023,SE,FT,Data Analyst,85000,USD,85000,US,0,US,M
2022,MI,FT,Data Analyst,350000,GBP,430967,GB,0,GB,M
2023,MI,FT,Data Analyst,79000,USD,79000,US,0,US,M
2023,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M
2022,MI,FT,Data Engineer,95000,USD,95000,US,0,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2022,SE,FT,Data Scientist,249500,USD,249500,US,0,US,M
2022,SE,FT,ML Engineer,84000,USD,84000,US,100,US,M
2022,SE,FT,Data Engineer,250000,USD,250000,US,100,US,M
2022,SE,FT,Data Engineer,132320,USD,132320,US,0,US,M
2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M
2023,SE,FT,Data Engineer,126000,USD,126000,US,0,US,M
2022,SE,FT,Data Engineer,132100,USD,132100,US,100,US,L
2022,SE,FT,Analytics Engineer,203500,USD,203500,US,0,US,M
2023,SE,FT,Data Analyst,185000,USD,185000,US,100,US,M
2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
2023,SE,FT,Data Engineer,139500,USD,139500,US,0,US,M
2023,SE,FT,Data Scientist,186300,USD,186300,US,100,US,M
2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,M
2023,SE,FT,Data Scientist,115000,USD,115000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,135000,USD,135000,US,0,US,M
2023,SE,FT,Data Analyst,125000,USD,125000,US,0,US,M
2023,SE,FT,Research Scientist,130000,USD,130000,US,100,US,M
2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L
2023,SE,FT,Analytics Engineer,140000,USD,140000,US,0,US,M
2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
2023,MI,FT,Data Engineer,60400,USD,60400,US,100,US,M
2022,SE,FT,Data Architect,192400,USD,192400,CA,100,CA,M
2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,M
2022,MI,FT,Data Scientist,135000,USD,135000,US,100,US,L
2022,SE,FT,Data Scientist,247500,USD,247500,US,0,US,M
2022,SE,FT,Data Scientist,156400,USD,156400,US,0,US,M
2023,EN,FT,Research Engineer,120000,USD,120000,GB,100,GB,M
2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L
2023,MI,FT,Data Engineer,146000,USD,146000,US,0,US,M
2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L
2022,SE,FT,Data Analyst,171000,USD,171000,US,100,AU,L
2023,SE,FT,Data Scientist,156400,USD,156400,US,0,US,M
2023,SE,FT,Data Engineer,83300,GBP,101228,GB,0,GB,M
2022,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M
2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L
2023,SE,FT,Data Analyst,70000,USD,70000,US,0,US,M
2022,SE,FT,Data Engineer,63000,USD,63000,US,100,US,M
2022,MI,FT,Data Analyst,80000,USD,80000,US,100,US,L
2022,SE,FT,Data Engineer,170000,USD,170000,US,0,US,M
2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,134500,USD,134500,US,0,US,L
2022,SE,FT,Data Architect,190000,USD,190000,US,100,US,M
2022,MI,FT,Analytics Engineer,54000,USD,54000,US,0,US,M
2023,SE,FT,Data Science Manager,150000,USD,150000,MX,100,MX,M
2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M
2023,MI,FT,Data Analyst,50000,GBP,60761,GB,0,GB,M
2023,SE,FT,BI Developer,140000,USD,140000,US,100,US,M
2023,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L
2023,SE,FT,Machine Learning Engineer,220000,USD,220000,US,0,US,M
2022,MI,FT,Data Analyst,80000,USD,80000,US,0,US,M
2023,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M
2022,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M
2023,SE,FT,Data Analyst,121700,USD,121700,US,0,US,M
2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
2023,EX,FT,Data Engineer,310000,USD,310000,US,100,US,M
2022,SE,FT,Data Engineer,220000,USD,220000,US,100,US,M
2023,MI,FT,Data Engineer,125000,USD,125000,US,0,US,M
2023,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
2022,SE,FT,Data Analyst,164000,USD,164000,US,0,US,M
2022,SE,FT,Data Architect,90700,USD,90700,CA,100,CA,M
2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
2023,SE,FT,BI Analyst,135000,USD,135000,US,0,US,M
2022,MI,FT,Data Engineer,60000,GBP,73880,GB,0,GB,M
2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M
2022,SE,FT,ETL Developer,63000,USD,63000,US,100,US,M
2023,SE,FT,Data Engineer,90000,USD,90000,US,100,US,M
2023,SE,FT,Data Engineer,171250,USD,171250,US,0,US,M
2022,SE,FT,Machine Learning Engineer,255000,USD,255000,MX,100,MX,M
2023,SE,FT,Data Analyst,180180,USD,180180,US,0,US,M
2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
2022,SE,FT,Applied Scientist,184000,USD,184000,US,100,US,M
2023,MI,FT,Data Analyst,52500,USD,52500,US,100,US,M
2023,SE,FT,Data Engineer,250000,USD,250000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,131300,USD,131300,US,100,US,L
2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,M
2023,EX,FT,Data Engineer,106500,USD,106500,US,0,US,M
2023,SE,FT,Data Scientist,133200,USD,133200,US,100,US,M
2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M
2022,SE,FT,Machine Learning Engineer,80000,EUR,84053,FR,50,FR,L
2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
2022,SE,FT,Analytics Engineer,65004,GBP,80041,GB,100,GB,M
2022,SE,FT,Data Scientist,148000,USD,148000,US,100,US,M
2022,MI,FT,Data Engineer,175000,USD,175000,US,0,US,M
2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2022,SE,FT,Data Engineer,179305,USD,179305,US,100,US,M
2023,SE,FT,Analytics Engineer,175000,USD,175000,US,100,US,M
2023,SE,FT,Analytics Engineer,200000,USD,200000,US,100,US,M
2023,SE,FT,Data Engineer,75000,USD,75000,US,0,US,M
2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M
2022,MI,FT,AI Scientist,200000,USD,200000,IN,100,US,L
2022,EN,FT,BI Data Analyst,32400,BRL,6270,BR,100,BR,L
2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
2022,SE,FT,Data Engineer,60000,EUR,63040,PT,0,PT,M
2023,EN,FT,Data Engineer,92700,USD,92700,US,100,US,M
2022,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
2022,SE,FT,Data Engineer,50000,GBP,61566,GB,0,GB,M
2023,SE,FT,Data Analyst,105200,USD,105200,US,0,US,M
2022,EX,FT,Data Science Manager,182160,USD,182160,US,0,US,M
2022,MI,FT,Machine Learning Engineer,104000,GBP,128058,GB,50,GB,L
2023,SE,FT,Data Analyst,106020,USD,106020,US,0,US,M
2023,SE,FT,Data Science Manager,138750,USD,138750,US,100,US,M
2022,SE,FT,Machine Learning Engineer,120000,USD,120000,US,0,US,M
2022,SE,FT,Machine Learning Engineer,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Architect,210000,USD,210000,US,100,US,M
2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
2023,SE,FT,Data Engineer,146000,USD,146000,US,100,US,M
2022,SE,FT,Data Specialist,221300,USD,221300,US,100,US,L
2022,SE,FT,Research Scientist,149850,USD,149850,US,0,US,M
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M
2022,SE,FT,Data Engineer,100000,USD,100000,US,0,US,L
2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,M
2023,SE,FT,Research Scientist,253750,USD,253750,ES,0,ES,M
2022,SE,FT,Data Architect,66000,USD,66000,US,100,US,M
2023,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
2022,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M
2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S
2022,EN,FT,Data Engineer,135000,USD,135000,US,0,US,M
2022,MI,FT,ETL Developer,50000,EUR,52533,GR,0,GR,M
2023,EX,FT,Data Engineer,210000,USD,210000,US,0,US,M
2022,SE,FT,Data Scientist,177500,USD,177500,US,100,US,M
2023,EX,FT,Head of Data Science,195800,USD,195800,US,0,US,M
2022,MI,FT,Data Scientist,120000,USD,120000,US,100,US,M
2022,MI,FT,Data Engineer,60000,GBP,73880,GB,0,GB,M
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
2023,SE,FT,Data Manager,168400,USD,168400,US,0,US,M
2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L
2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L
2022,SE,FT,Data Analyst,93700,USD,93700,US,100,US,M
2023,EX,FT,Data Scientist,100000,USD,100000,US,0,US,M
2022,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Analyst,166700,USD,166700,US,0,US,M
2023,MI,FT,Data Analyst,103200,USD,103200,US,0,US,M
2023,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2023,SE,FT,Data Analyst,48000,EUR,51508,ES,100,ES,M
2022,SE,FT,Data Analytics Manager,109280,USD,109280,US,100,US,M
2023,MI,FT,Data Scientist,120000,USD,120000,US,0,US,M
2022,SE,FT,Data Engineer,122600,USD,122600,US,0,US,M
2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
2023,SE,FT,Data Analyst,155000,USD,155000,US,100,US,M
2023,SE,FT,Data Analyst,160000,USD,160000,US,100,US,M
2023,SE,FT,Data Architect,113000,USD,113000,US,0,US,M
2023,EX,FT,Data Scientist,300000,USD,300000,US,0,US,M
2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S
2022,SE,FT,Data Scientist,80000,USD,80000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,120000,GBP,145828,GB,0,GB,M
2022,SE,FT,Data Analyst,116000,USD,116000,US,0,US,M
2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M
2021,EN,FT,Data Engineer,80000,USD,80000,US,100,US,L
2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L
2022,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M
2023,SE,FT,Data Scientist,180560,USD,180560,US,0,US,M
2022,SE,FT,Data Analyst,136600,USD,136600,US,100,US,M
2022,EN,PT,Data Scientist,100000,USD,100000,DZ,50,DZ,M
2022,MI,FT,Data Analyst,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
2023,MI,FT,Research Scientist,185000,USD,185000,US,0,US,M
2023,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M
2022,SE,FT,Data Engineer,193750,USD,193750,US,100,US,M
2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S
2023,SE,FT,Data Engineer,133300,USD,133300,US,0,US,M
2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,0,US,M
2022,SE,FT,Machine Learning Engineer,214000,USD,214000,US,100,US,M
2021,SE,FT,Research Scientist,120500,CAD,96113,CA,50,CA,L
2023,SE,FT,Data Architect,170000,USD,170000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,181000,USD,181000,US,0,US,M
2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
2023,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,220000,USD,220000,US,0,US,M
2022,SE,FT,Machine Learning Engineer,220000,USD,220000,US,100,US,M
2023,EX,FT,Data Engineer,175000,USD,175000,US,0,US,M
2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
2022,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
