"","Sexo","Edad","Universidad","Plataformas_2019","Time_service19","Netflix_2019","Youtube_2019","Youtube_p_2019","Movistar_play_2019","Zoom_2019","HBO_2019","Amazon_p_2019","Twitch_2019","Disney_plus_2019","Fb_gaming_2019","Claro_video_2019","Starplus_2019","Discord_2019","Crunchyroll_2019","Spotify_2019","Foxsport_2019","Hulu_2019","DirecTVgo_2019","AmericaTVgo_2019","Contenido","Plataforma19","Precio_2019","Nueva_plat_2020","Device","Netflix_2020","Youtube_2020","Youtube_p_2020","Movistar_play_2020","Zoom_2020","HBO_2020","Amazon_p_2020","Twitch_2020","Disney_plus_2020","Fb_gaming_2020","Claro_video_2020","Starplus_2020","Discord_2020","Crunchyroll_2020","Spotify_2020","Foxsport_2020","Hulu_2020","DirecTVgo_2020","AmericaTVgo_2020","Plataforma2020","Precio_2020","Time_service20","Cine_a_stream","Traslado_plat"
"70","Masculino",18,"UTEC","Netflix, Youtube, Twitch, Discord",120,120,60,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,"Series","Grupal",30,"Netflix, Youtube, Movistar Play, Zoom, Amazon Prime Video, Twitch, Facebook Gaming, Discord, Spotify","Televisión",180,120,NA,120,240,NA,120,120,NA,NA,NA,NA,60,NA,45,NA,NA,NA,NA,"Grupal",50,240,8,8
"71","Masculino",18,"UTEC","Netflix, Youtube, Facebook Gaming, Spotify",300,60,120,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,180,NA,NA,NA,NA,"Series","Personal",50,"Zoom, Amazon Prime Video, Twitch, Disney plus, Discord","Computadora",60,120,NA,NA,180,NA,60,60,NA,20,NA,NA,60,NA,240,NA,NA,NA,NA,"Grupal",95,480,8,7
"72","Femenino",18,NA,"Netflix, Youtube, Youtube premium, Movistar Play, Zoom, HBO, Twitch, Disney plus, Discord, Spotify, Direct tv go",240,45,45,20,20,45,45,20,20,45,45,20,NA,45,NA,45,NA,NA,20,20,"Documentales","Personal",450,"America TV go","Celular",NA,20,20,20,20,20,NA,NA,20,20,20,NA,20,NA,20,NA,NA,20,NA,"Personal",450,300,10,5
"73","Masculino",20,"UL","Netflix, Youtube, Spotify",420,60,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,"Series","Personal",35,"Movistar Play, Zoom, Amazon Prime Video, Twitch, Disney plus, Discord, Crunchyroll","Computadora",60,60,NA,NA,60,NA,45,60,NA,NA,NA,NA,60,60,NA,NA,NA,NA,NA,"Grupal",70,300,10,8
"74","Femenino",19,"UTP","Youtube, Spotify",360,60,300,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,20,NA,NA,NA,20,"Películas","Personal",NA,"Zoom, Discord","Computadora",120,120,NA,NA,300,NA,NA,NA,NA,NA,60,NA,120,NA,NA,NA,NA,NA,NA,"Grupal",10,540,10,10
"75","Femenino",20,"UPN","Netflix, Youtube, Spotify",420,180,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",110,"Zoom, Amazon Prime Video, Disney plus, Discord","Celular",240,360,NA,NA,360,NA,120,NA,120,NA,NA,NA,45,NA,360,NA,NA,NA,NA,"Grupal",50,300,10,10
"76","Masculino",21,"USMP","Netflix",420,120,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Películas","Grupal",14,"Zoom","Computadora",240,240,45,45,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",7,60,2,1
"77","Femenino",21,"UTEC","Netflix, Youtube, Discord, Spotify",180,240,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,180,NA,NA,NA,NA,"Películas","Grupal",30,"Zoom, HBO","Televisión",360,300,NA,NA,300,120,NA,NA,NA,NA,NA,NA,180,NA,180,NA,NA,NA,NA,"Grupal",40,300,8,6
"78","Femenino",18,NA,"Youtube",420,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Películas","Grupal",NA,"Netflix, Youtube, Zoom, Amazon Prime Video, Disney plus","Celular",60,60,NA,NA,60,NA,45,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",30,300,5,5
"79","Femenino",20,"USAC","Youtube, Zoom, Facebook Gaming, Spotify",300,NA,60,NA,NA,45,NA,NA,NA,NA,2,NA,NA,NA,NA,240,NA,NA,NA,NA,"Documentales","Personal",NA,"Netflix, Youtube, Zoom, Disney plus, Facebook Gaming, Spotify","Computadora",120,180,NA,NA,240,NA,NA,NA,60,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,"Personal",200,420,1,10
"80","Femenino",23,NA,"Netflix, Youtube, Zoom",60,60,45,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",12,"NU","Celular",20,60,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",12,540,10,1
"81","Masculino",22,"UTEC","Netflix, Youtube, Twitch, Disney plus, Facebook Gaming, Crunchyroll, Spotify",120,60,60,NA,NA,NA,NA,NA,20,45,45,NA,NA,NA,120,120,NA,NA,NA,NA,"Series","Grupal",60,"Netflix, Youtube, Zoom, HBO, Amazon Prime Video, Twitch, Disney plus, Star Plus, Discord, Crunchyroll, Spotify","Televisión",120,20,NA,NA,300,45,45,60,60,45,NA,NA,300,180,300,NA,NA,NA,NA,"Personal",100,180,8,8
"82","Masculino",19,"UTEC","Netflix, Youtube, Discord",120,60,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,"Películas","Grupal",45,"Zoom","Computadora",120,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,"Grupal",45,180,1,1
"83","Masculino",20,"USIL","Netflix, Youtube, Movistar Play, Zoom, Twitch, Facebook Gaming, Discord, Spotify",120,60,240,NA,45,360,NA,NA,360,NA,5,NA,NA,120,NA,360,NA,NA,NA,NA,"Stream","Personal",75,"Netflix, Youtube, Movistar Play, Zoom, HBO, Amazon Prime Video, Twitch, Disney plus, Facebook Gaming, Discord, Crunchyroll, Spotify","Celular",45,240,NA,45,360,60,60,360,60,5,NA,NA,120,360,360,NA,NA,NA,NA,"Personal",184,540,1,8
"84","Femenino",19,NA,"Netflix, Youtube, Movistar Play, Spotify",240,45,45,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,"Series","Grupal",40,"Netflix, Youtube, Movistar Play, Amazon Prime Video, Spotify","Computadora",45,45,NA,45,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,"Grupal",60,240,9,6
"85","Femenino",19,"URP","Netflix, Youtube, Movistar Play, Spotify",120,300,420,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,"Series","Grupal",31,"Zoom, Discord, Crunchyroll","Celular",NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,"Grupal",20,360,7,6
"86","Femenino",19,"ISIL","Netflix, Youtube, Spotify",240,360,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,"Series","Personal",80,"Netflix, Youtube, Amazon Prime Video, Spotify","Celular",360,420,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,"Personal",80,300,8,8
"87","Femenino",19,"UCV","Netflix, Youtube, Spotify",360,300,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,"Series","Personal",44,"Netflix, Youtube, Zoom, Twitch, Discord, Spotify","Computadora",180,240,NA,NA,240,NA,NA,45,NA,NA,NA,NA,60,NA,120,NA,NA,NA,NA,"Personal",44,300,6,3
"88","Masculino",22,"UTEC","Netflix, Youtube, Youtube premium, Movistar Play, Zoom, HBO, Amazon Prime Video, Disney plus, Star Plus, Discord, Crunchyroll, Spotify, Fox Sport, Direct tv go",180,60,60,60,60,60,60,60,NA,60,NA,NA,60,45,45,60,60,NA,60,NA,"Series","Grupal",80,"NU","Televisión",60,60,60,60,60,60,60,NA,60,NA,NA,60,60,60,60,60,NA,60,NA,"Grupal",80,60,9,9
"89","Femenino",19,"UTEC","Netflix, Youtube, Crunchyroll, Spotify",60,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,NA,NA,NA,NA,"Series","Grupal",34,"Youtube premium, HBO, Amazon Prime Video","Computadora",20,20,20,NA,NA,20,20,NA,NA,NA,NA,NA,NA,45,45,NA,NA,NA,NA,"Grupal",36,180,7,9
"90","Masculino",20,"UP","Netflix, Youtube, Movistar Play, HBO",180,45,60,NA,45,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",NA,"Amazon Prime Video","Computadora",NA,120,NA,60,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",NA,120,1,1
"91","Femenino",50,"UPN","Netflix, Youtube, Zoom",60,60,120,NA,240,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Música","Grupal",290,"NU","Computadora",60,120,NA,120,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",290,360,3,5
"92","Femenino",22,"UP","Netflix, Youtube, Movistar Play, Star Plus, Spotify",300,180,240,NA,60,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,120,NA,NA,NA,NA,"Series","Personal",50,"Zoom","Computadora",240,240,NA,60,180,NA,NA,NA,NA,NA,NA,45,NA,NA,240,NA,NA,NA,NA,"Personal",50,300,10,10
"93","Masculino",17,"SENATI","Youtube, Zoom",360,NA,60,NA,NA,180,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Documentales","Grupal",NA,"Youtube premium, Spotify","Celular",NA,180,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",NA,300,2,3
"94","Masculino",25,"UNFV","Netflix, Youtube, Zoom, Claro Video, Spotify",360,120,60,NA,NA,300,NA,NA,NA,NA,NA,45,NA,NA,NA,45,NA,NA,NA,NA,"Series","Personal",60,"Disney plus","Televisión",240,120,NA,NA,300,NA,NA,NA,60,NA,NA,NA,NA,NA,120,45,45,45,45,"Personal",75,240,4,6
"95","Femenino",26,"UNFV","Netflix, Youtube, Claro Video, Spotify, America TV go",60,60,60,NA,NA,20,NA,NA,NA,NA,NA,20,NA,NA,NA,60,NA,NA,NA,20,"Películas","Grupal",NA,"NU","Celular",120,60,NA,NA,120,NA,NA,NA,NA,NA,45,NA,NA,NA,60,NA,NA,NA,45,"Grupal",NA,300,9,8
"96","Masculino",26,"UNFV","Youtube",480,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",15,"Youtube premium, Zoom, Amazon Prime Video","Celular",45,NA,45,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",20,240,6,4
"97","Femenino",22,"UNT","Netflix, Youtube, Zoom",300,20,45,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",15,"NU","Celular",45,20,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",15,60,2,1
"98","Masculino",20,"CIBERTEC","Youtube, Zoom",480,60,120,60,60,120,60,60,60,60,1,60,60,60,60,60,60,60,60,60,"Documentales","Grupal",15,"Netflix, Discord","Televisión",180,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,"Grupal",15,120,3,2
"99","Masculino",22,"UPC","Netflix, Youtube",180,60,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stream","Personal",30,"Zoom, Twitch, Discord, Crunchyroll","Celular",120,300,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,"Personal",30,240,8,8
"100","Masculino",27,"UPN","Netflix, Youtube, Youtube premium, Movistar Play, Zoom, Amazon Prime Video, Disney plus, Spotify",360,20,20,20,20,20,20,20,NA,20,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,"Series","Personal",12,"Netflix, Amazon Prime Video, Disney plus","Televisión",20,NA,NA,NA,NA,NA,20,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",12,60,1,1
"101","Masculino",19,"UTEC","Netflix, Youtube, Zoom, Discord, Crunchyroll, Spotify",300,120,20,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,120,20,NA,NA,NA,NA,"Series","Grupal",NA,"Youtube, Crunchyroll","Celular",60,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,120,NA,NA,NA,NA,NA,"Grupal",NA,180,10,8
"102","Masculino",19,"UTEC","Netflix, Youtube, Youtube premium, Zoom, Amazon Prime Video, Disney plus, Discord, Direct tv go",420,60,120,180,NA,480,NA,180,NA,180,NA,NA,NA,20,NA,NA,NA,NA,180,NA,"Películas","Grupal",70,"NU","Celular",45,45,45,NA,45,NA,45,NA,45,NA,NA,NA,45,NA,NA,NA,NA,45,NA,"Grupal",50,300,5,6
"103","Masculino",17,"UTEC","Netflix, Youtube, Twitch, Discord, Spotify",420,60,300,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,45,NA,360,NA,NA,NA,20,"Series","Grupal",44,"Youtube premium, Zoom, Amazon Prime Video, Disney plus, Facebook Gaming","Computadora",120,300,300,NA,360,NA,120,60,120,1,NA,NA,420,NA,480,NA,NA,NA,NA,"Grupal",45,540,10,7
"104","Masculino",24,"UTEC","Netflix, Youtube, HBO, Twitch, Discord, Spotify, Direct tv go",120,45,60,NA,NA,NA,20,NA,20,NA,NA,NA,NA,20,NA,300,NA,NA,20,NA,"Series","Grupal",40,"Netflix, Youtube, Zoom, HBO, Amazon Prime Video, Twitch, Disney plus, Discord, Crunchyroll, Spotify","Computadora",20,240,NA,NA,480,45,20,20,45,NA,NA,NA,45,20,240,NA,NA,NA,NA,"Grupal",50,360,10,9
"105","Masculino",19,"UTEC","Netflix, Youtube, Amazon Prime Video, Twitch, Discord, Spotify",240,20,120,NA,NA,NA,45,120,20,NA,NA,NA,NA,240,NA,360,NA,NA,NA,NA,"Series","Grupal",50,"Youtube, Movistar Play, Zoom, HBO, Amazon Prime Video, Twitch, Discord, Spotify","Computadora",45,120,NA,20,540,20,60,20,NA,NA,NA,NA,540,NA,540,NA,NA,NA,NA,"Grupal",100,60,10,9
"106","Masculino",18,"UP","Youtube, Direct tv go",300,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,"Deportes","Personal",70,"Netflix, Zoom, Twitch, Discord, Direct tv go","Celular",45,45,NA,NA,60,NA,NA,45,NA,NA,NA,NA,45,NA,NA,NA,NA,45,NA,"Personal",110,60,4,6
"107","Masculino",19,"UTEC","Youtube",240,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",NA,"NU","Celular",NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",NA,420,3,1
"108","Masculino",19,"UTEC","Netflix, Youtube, Twitch, Discord, Fox Sport",420,120,120,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,45,NA,NA,60,NA,NA,NA,"Series","Grupal",13,"Netflix, Youtube, Zoom, Twitch, Facebook Gaming, Discord, Fox Sport","Computadora",240,180,NA,NA,540,NA,NA,60,NA,1,NA,NA,120,NA,NA,60,NA,NA,NA,"Grupal",17,540,7,8
"109","Femenino",19,"URP","Netflix, Youtube, Spotify",540,480,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,"Series","Grupal",31,"Zoom, Discord, Crunchyroll","Celular",NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,120,240,NA,NA,NA,NA,NA,"Grupal",NA,360,7,6
"110","Masculino",20,"UTEC","Netflix, Youtube, Zoom, Twitch, Discord, Spotify",420,20,240,NA,NA,300,NA,NA,20,NA,NA,NA,NA,120,NA,45,NA,NA,NA,NA,"Películas","Grupal",30,"NU","Celular",20,240,NA,NA,300,NA,NA,20,NA,NA,NA,NA,45,NA,20,NA,NA,NA,NA,"Grupal",30,480,7,8
"111","Femenino",19,"PUCP","Netflix, Youtube",360,120,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Documentales","Grupal",15,"Netflix, Youtube, Zoom, Amazon Prime Video, Disney plus","Computadora",45,60,NA,NA,120,NA,60,20,240,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,"Grupal",55,360,7,8
"112","Masculino",19,"UTEC","Netflix, Youtube, Discord, Crunchyroll, Spotify",360,180,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,120,120,NA,NA,NA,NA,"Series","Grupal",40,"NU","Computadora",120,60,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,180,60,120,NA,NA,NA,NA,"Grupal",45,240,9,6
"113","Masculino",21,"UTEC","Netflix, Youtube, Spotify",480,120,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,"Películas","Personal",10,"Zoom","Celular",60,60,NA,NA,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,"Personal",10,240,7,7
"114","Masculino",18,"UL","Netflix, Youtube, Amazon Prime Video, Disney plus, Spotify, Direct tv go",420,60,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,45,20,"Series","Personal",30,"NU","Celular",60,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,240,NA,"Grupal",20,240,7,7
"115","Masculino",19,"PUCP","Netflix",540,20,20,60,NA,NA,NA,NA,45,NA,1,NA,NA,60,NA,20,NA,NA,NA,NA,"Películas","Personal",100,"Netflix, Youtube, Youtube premium","Celular",60,60,60,NA,NA,NA,NA,60,NA,1,NA,NA,60,NA,20,NA,NA,NA,NA,"Personal",120,540,10,10
"116","Femenino",18,"UTEC","Netflix, Youtube",60,300,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",30,"Zoom, Disney plus, Discord, Spotify","Computadora",420,300,NA,NA,480,NA,NA,NA,360,NA,NA,NA,45,NA,240,NA,NA,NA,NA,"Grupal",60,120,8,7
"117","Femenino",19,"UTEC","Netflix, Youtube, Crunchyroll",420,180,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,"Series","Grupal",50,"HBO","Celular",180,300,NA,NA,360,60,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,"Grupal",70,240,9,7
"118","Femenino",19,"UPN","Youtube",60,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",NA,"Netflix, Movistar Play, Zoom, Disney plus","Televisión",360,360,NA,360,180,NA,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",300,540,10,9
"119","Masculino",19,"UTEC","Netflix, Youtube, Spotify",60,120,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Personal",30,"Netflix, Youtube, Zoom, Twitch, Disney plus, Discord, Crunchyroll","Celular",60,60,NA,NA,300,NA,NA,60,120,NA,NA,NA,60,45,NA,NA,NA,NA,NA,"Grupal",45,360,9,9
"120","Masculino",20,"UTEC","Youtube, Discord, Spotify",180,NA,20,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,20,NA,60,NA,NA,NA,NA,"Series","Personal",20,"Netflix, Youtube, Zoom, Facebook Gaming, Discord, Spotify","Computadora",360,540,NA,NA,540,NA,NA,NA,NA,NA,NA,NA,540,NA,540,NA,NA,NA,NA,"Personal",30,240,4,4
"121","Femenino",22,"UP","Netflix, Youtube, Zoom, Spotify",180,60,20,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,"Series","Grupal",14,"Disney plus","Celular",60,20,NA,NA,60,45,NA,NA,45,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,"Grupal",30,180,1,10
"122","Masculino",20,"URP","Youtube, HBO, Star Plus, Discord, Fox Sport",120,NA,180,NA,NA,240,45,NA,NA,NA,NA,NA,45,45,NA,NA,60,NA,NA,NA,"Series","Personal",400,"NU","Celular",NA,60,NA,NA,NA,20,NA,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,"Personal",250,120,6,7
"123","Masculino",22,NA,"Netflix, Youtube, Facebook Gaming, Spotify",540,60,60,NA,NA,NA,NA,NA,60,NA,1,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,"Personal",10,"Disney plus","Celular",60,60,NA,NA,NA,NA,NA,NA,60,1,NA,NA,NA,NA,60,NA,NA,NA,NA,"Grupal",10,120,5,3
"124","Femenino",20,"UPN","Netflix, Youtube, Twitch, Disney plus, Spotify",60,45,45,NA,NA,20,NA,NA,45,45,NA,NA,NA,20,NA,45,NA,NA,NA,NA,"Series","Personal",45,"NU","Computadora",45,45,NA,NA,20,NA,NA,20,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,"Personal",45,360,10,10
"125","Masculino",20,"UTP","Netflix, Youtube premium, Amazon Prime Video, Twitch, Discord, Spotify",60,120,NA,120,NA,NA,NA,360,60,NA,NA,NA,NA,60,NA,240,NA,NA,NA,NA,"Series","Personal",36,"Youtube, Zoom, Facebook Gaming","Computadora",NA,180,NA,NA,360,NA,NA,120,NA,2,NA,NA,120,NA,240,NA,NA,NA,NA,"Personal",16,120,1,1
"126","Femenino",24,"UP","Netflix, Youtube, Zoom, HBO, Amazon Prime Video, Disney plus, Discord, Spotify, Direct tv go",120,120,120,NA,NA,45,NA,60,NA,20,NA,NA,NA,20,NA,240,NA,NA,20,45,"Series","Personal",50,"Disney plus","Computadora",NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",15,240,10,6
"127","Femenino",20,"UTEC","Netflix, Youtube, HBO",360,180,120,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Personal",40,"Zoom, Disney plus","Celular",180,120,NA,NA,300,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",47,420,9,6
"128","Masculino",24,"UTEC","Netflix, Youtube, HBO, Twitch, Discord, Spotify",60,20,45,NA,NA,NA,20,NA,20,NA,NA,NA,NA,20,NA,120,NA,NA,NA,NA,"Series","Grupal",30,"Netflix, Youtube, Zoom, HBO, Amazon Prime Video, Twitch, Disney plus, Star Plus, Discord, Crunchyroll, Spotify","Computadora",45,240,NA,NA,420,20,20,20,45,NA,NA,NA,20,20,120,NA,NA,NA,NA,"Grupal",50,360,10,10
"129","Masculino",18,"UTEC","Spotify",480,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,"Documentales","Grupal",5,"Netflix, Spotify","Computadora",20,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,"Grupal",5,180,3,1
"130","Masculino",19,"UTEC","Netflix, Youtube",120,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",30,"Zoom, Amazon Prime Video, Disney plus, Discord, Spotify","Celular",20,20,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,"Grupal",60,540,10,10
"131","Femenino",18,"UTEC","Netflix, Youtube, Facebook Gaming, Spotify",420,420,420,NA,420,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,60,NA,NA,NA,NA,"Series","Personal",0,"Netflix, Youtube, Zoom, Discord","Computadora",480,480,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,360,NA,NA,NA,NA,NA,NA,"Personal",NA,240,1,8
"132","Masculino",17,"UTEC","Netflix, Youtube, Zoom, Amazon Prime Video, Twitch, Facebook Gaming",120,60,45,NA,NA,20,NA,60,45,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",20,"Discord","Celular",60,45,NA,NA,NA,NA,60,45,NA,45,NA,NA,20,NA,NA,NA,NA,NA,NA,"Grupal",20,60,3,4
"133","Masculino",20,"UNI","Netflix, Youtube, Movistar Play, America TV go",240,120,120,20,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,60,"Documentales","Grupal",60,"Zoom, HBO","Celular",300,240,NA,120,360,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Grupal",60,540,5,4
"134","Masculino",19,"UTEC","Netflix, Youtube, Zoom, Crunchyroll, Spotify",480,60,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,"Series","Grupal",NA,"Netflix, Youtube, Crunchyroll","Celular",60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,"Grupal",NA,180,8,8
"135","Femenino",21,"PUCP","Netflix, Youtube, Movistar Play, Spotify",360,45,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,"Series","Personal",7,"Movistar Play, Zoom, Twitch, Facebook Gaming, Discord, Crunchyroll, America TV go","Celular",45,45,NA,20,360,NA,NA,120,45,45,NA,NA,120,45,120,NA,NA,NA,45,"Grupal",8,540,10,3
"136","Masculino",19,"UTEC","Netflix, Youtube, Spotify",240,240,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,"Grupal",40,"Zoom","Televisión",20,240,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,"Grupal",44,540,10,1
"137","Masculino",17,"UTEC","Netflix, Youtube, Movistar Play, Zoom, Twitch, Facebook Gaming, Discord",300,20,45,NA,20,45,NA,NA,20,NA,20,NA,NA,45,NA,NA,NA,NA,NA,NA,"Películas","Grupal",10,"Amazon Prime Video","Celular",20,45,NA,20,45,NA,20,20,NA,20,NA,NA,45,NA,NA,NA,NA,NA,NA,"Grupal",20,60,8,7
"138","Masculino",22,"UTEC","Netflix",60,20,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Películas","Grupal",10,"Netflix, Youtube, Zoom, Spotify","Computadora",45,20,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",10,120,3,8
"139","Masculino",18,"UTEC","Netflix, Youtube, Zoom, Discord, Spotify",60,60,60,NA,NA,360,NA,NA,NA,NA,45,NA,NA,45,NA,45,NA,NA,NA,NA,"Series","Personal",50,"NU","Computadora",60,60,NA,NA,360,NA,NA,20,NA,1,NA,NA,60,NA,120,NA,NA,NA,NA,"Grupal",20,180,9,8
