Marca temporal,Edad:,Sexo:,Distrito:,¿Actualmente cuál es su principal ocupación?,¿Conocía las billeteras digitales antes de la pandemia de COVID-19?,¿Utilizaba billeteras digitales antes de la pandemia?,¿Cuál es la principal razón por la que utilizaba las billeteras digitales antes de la pandemia?,¿Cuál es la principal razón por la que NO utilizaba las billeteras digitales antes de la pandemia?,¿Actualmente utiliza billeteras digitales?,¿Qué billetera digital usa con más frecuencia?,¿Cuál es la segunda billetera digital que usa con más frecuencia?,¿Desde hace cuánto utiliza este método de pago?,¿Qué razones llevaron a que empezara a usar las billeteras digitales?,¿Por qué razones sigue utilizando este método de pago?,¿Las billeteras digitales son su método principal de pago?,¿Ha intentado usar billeteras digitales?,¿Cuál es su método principal de pago?,¿Qué factores le impiden utilizar una billetera digital como método principal?,¿Cuál es el gasto promedio diario (en soles) que tenía antes de la pandemia con su método principal de pago?,¿Cuál es el gasto promedio diario actual (en soles) que tiene con su método principal de pago?,"En una escala del 1 al 5, ¿qué tan cómodo se siente con su método principal de pago?","En una escala del 1 al 5, ¿cuán rápido cree que es pagar con billeteras digitales que con otros métodos de pago?",¿Cuántos miembros de su familia utilizan billeteras digitales?
1/05/2023 14:44:47,20,Femenino,La Victoria,Estudiante,No,,,,No,,,,,,,No,Tarjeta (de crédito o de débito),"Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad), Desconocimiento de cómo usar este tipo de método de pago",5,20,3,3,2
1/05/2023 14:55:55,57,Femenino,Surquillo,Trabajo profesional,Sí,Sí,Accesibilidad (ej.: Realizar transferencias desde el teléfono),,Sí,Yape,Plin,5,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Sí,,,,30,80,5,5,4
1/05/2023 15:00:25,46,Femenino,San Borja,Oficio,No,,,,Sí,Yape,Plin,24,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Sí,,,,300,50,5,5,3
1/05/2023 15:00:52,18,Masculino,San Borja,Estudiante,No,,,,Sí,Yape,Ninguno,3,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),No,,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),50,50,5,5,5
1/05/2023 15:07:23,47,Femenino,San Miguel,Trabajo profesional,No,,,,No,,,,,,,No,Tarjeta (de crédito o de débito),Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),50,50,5,2,3
1/05/2023 15:08:59,36,Femenino,Santa Anita,Trabajo profesional,Sí,Sí,Seguridad (ej.: Menos riesgo de robo),,Sí,Yape,Yape,60,"Miedo al contagio por COVID-19, Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)",Sí,,,,50,30,5,5,5
1/05/2023 15:10:09,31,Femenino,Ate,Trabajo profesional,No,,,,Sí,Plin,Ninguno,6,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),No,,Tarjeta (de crédito o de débito),Ninguna de las anteriores,20,50,5,4,1
1/05/2023 15:33:06,29,Femenino,Rímac,Trabajo profesional,Sí,No,,Desconocimiento de la forma en cómo se usa este método de pago,No,,,,,,,Sí,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),40,40,4,3,0
1/05/2023 16:17:52,50,Masculino,Lima,Oficio,Sí,Sí,Necesidad (ej.: Este medio era muy usado en su entorno),,Sí,Yape,Plin,36,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Sí,,,,1000,500,5,5,5
1/05/2023 17:16:12,48,Femenino,Santiago de Surco,Trabajo profesional,No,,,,Sí,Plin,Yape,36,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros),Sí,,,,30,50,4,4,2
1/05/2023 17:30:09,40,Femenino,Santiago de Surco,Trabajo profesional,No,,,,Sí,Yape,Plin,48,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros),Sí,,,,400,400,4,4,4
1/05/2023 17:32:42,44,Femenino,Rímac,Trabajo profesional,No,,,,Sí,Yape,Yape,2,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Sí,,,,1,200,3,3,2
1/05/2023 17:49:49,28,Masculino,Santa Anita,Oficio,Sí,No,,Poca/nula necesidad,No,,,,,,,No,Tarjeta (de crédito o de débito),Falta de necesidad,35,50,2,3,0
1/05/2023 18:18:33,18,Masculino,Barranco,Estudiante,Sí,No,,Desconfianza (ej.: Sentimiento de vulnerabilidad),No,,,,,,,Sí,Efectivo,Falta de necesidad,25,20,5,2,2
1/05/2023 18:18:35,57,Masculino,Surquillo,Trabajo profesional,No,,,,No,,,,,,,No,Tarjeta (de crédito o de débito),Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),70,70,5,5,3
1/05/2023 18:21:10,35,Masculino,Puente Piedra,Trabajo profesional,Sí,No,,Desconocimiento de la forma en cómo se usa este método de pago,Sí,Plin,Ninguno,36,Miedo al contagio por COVID-19,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Sí,,,,30,40,3,3,5
1/05/2023 19:21:23,49,Femenino,La Molina,Trabajo profesional,Sí,No,,Desconfianza (ej.: Sentimiento de vulnerabilidad),Sí,Yape,Ninguno,1,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",No,,Transferencia bancaria,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),200,200,4,5,5
1/05/2023 19:23:15,21,Femenino,El Agustino,Estudiante,Sí,No,,Poca/nula necesidad,Sí,Yape,Ninguno,12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),No,,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),50,10,5,4,3
1/05/2023 19:24:29,18,Femenino,Callao *,Estudiante,Sí,No,,Ninguna de las anteriores,Sí,Yape,Plin,7,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,15,15,5,5,7
1/05/2023 19:29:44,30,Masculino,Chorrillos,Trabajo profesional,No,,,,Sí,Yape,Ninguno,24,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,25,25,5,5,2
1/05/2023 19:33:51,36,Masculino,Callao *,Trabajo profesional,No,,,,Sí,Plin,Yape,18,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,1100,1500,5,5,2
1/05/2023 19:38:26,36,Masculino,Callao *,Trabajo profesional,No,,,,No,,,,,,,No,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),1500,1500,4,5,0
1/05/2023 19:40:23,59,Masculino,La Molina,Trabajo profesional,Sí,Sí,Necesidad (ej.: Este medio era muy usado en su entorno),,Sí,Plin,Ninguno,48,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Sí,,,,150.00,70.00,4,4,3
1/05/2023 19:42:25,38,Masculino,Callao *,Trabajo profesional,Sí,Sí,Accesibilidad (ej.: Realizar transferencias desde el teléfono),,Sí,Plin,Yape,3,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,2000,100,5,5,2
1/05/2023 19:43:17,38,Masculino,Callao *,Trabajo profesional,Sí,Sí,Seguridad (ej.: Menos riesgo de robo),,Sí,Yape,Plin,60,Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros),Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros),Sí,,,,150,150,5,5,6
1/05/2023 20:28:49,37,Masculino,Puente Piedra,Trabajo profesional,No,,,,Sí,Plin,Yape,24,Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,20,40,4,5,6
1/05/2023 20:40:02,20,Femenino,Chorrillos,Estudiante,No,,,,No,,,,,,,No,Efectivo,"Falta de necesidad, Incomodidad, Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",15,10,3,4,0
1/05/2023 20:42:15,37,Femenino,San Juan de Miraflores,Trabajo profesional,Sí,Sí,Accesibilidad (ej.: Realizar transferencias desde el teléfono),,Sí,Yape,Agora PAY,48,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,20,50,5,5,3
1/05/2023 21:11:52,36,Masculino,Callao *,Trabajo profesional,Sí,Sí,Comodidad (ej.: Integridad con otros medios de pago),,Sí,Yape,Plin,72,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),No,,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),3000,3000,5,3,3
1/05/2023 21:21:08,40,Masculino,Callao *,Trabajo profesional,Sí,Sí,Comodidad (ej.: Integridad con otros medios de pago),,Sí,Plin,Yape,36,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,80,80,5,5,4
1/05/2023 21:30:15,36,Femenino,San Martín de Porres,Oficio,No,,,,Sí,Plin,Yape,30,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),No,,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),30,40,4,4,4
1/05/2023 21:55:59,37,Masculino,San Martín de Porres,Trabajo profesional,No,,,,Sí,Yape,Plin,5,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),No,,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),50,50,1,4,5
1/05/2023 21:56:46,18,Masculino,Lima,Estudiante,No,,,,Sí,Plin,Yape,6,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",No,,Tarjeta (de crédito o de débito),Falta de necesidad,5,20,5,5,3
1/05/2023 22:18:43,20,Femenino,Pueblo Libre,Estudiante,No,,,,Sí,Yape,Plin,6,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,80,100,5,4,3
1/05/2023 22:23:26,19,Masculino,Comas,Estudiante,Sí,No,,Ninguna de las anteriores,Sí,Yape,Agora PAY,14,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,15,15,5,3,4
1/05/2023 22:27:32,37,Femenino,Callao *,Trabajo profesional,No,,,,Sí,Yape,Plin,24,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),No,,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),50,50,4,3,3
1/05/2023 22:42:08,44,Femenino,La Molina,Trabajo profesional,No,,,,Sí,Plin,Yape,24,"Miedo al contagio por COVID-19, Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Costumbre",Sí,,,,20,30,5,4,3
1/05/2023 22:57:21,17,Femenino,Carabayllo,Estudiante,No,,,,No,,,,,,,No,Efectivo,"Falta de necesidad, Desconocimiento de cómo usar este tipo de método de pago",10,15,3,4,3
2/05/2023 6:26:06,17,Femenino,Lurigancho,Estudiante,No,,,,Sí,Yape,Plin,24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,20,30,5,3,3
2/05/2023 7:48:52,44,Masculino,La Molina,Trabajo profesional,No,,,,Sí,Plin,Yape,2,"Miedo al contagio por COVID-19, Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,250,550,5,5,2
2/05/2023 8:07:25,51,Femenino,La Molina,Trabajo profesional,Sí,Sí,Accesibilidad (ej.: Realizar transferencias desde el teléfono),,Sí,Yape,Ninguno,40,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Costumbre,No,,Tarjeta (de crédito o de débito),Ninguna de las anteriores,70,100,4,5,3
2/05/2023 8:13:02,51,Masculino,La Molina,Trabajo profesional,Sí,Sí,Comodidad (ej.: Integridad con otros medios de pago),,Sí,Plin,Ninguno,12,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),No,,Tarjeta (de crédito o de débito),Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),100,100,3,4,0
2/05/2023 8:48:07,46,Femenino,La Molina,Trabajo profesional,No,,,,Sí,Plin,Yape,4,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,80,100,5,5,3
2/05/2023 8:53:04,18,Masculino,San Juan de Miraflores,Estudiante,No,,,,No,,,,,,,No,Efectivo,Falta de necesidad,1,1.5,3,3,1
2/05/2023 8:56:35,58,Femenino,Pachacamac,Trabajo profesional,Sí,Sí,Accesibilidad (ej.: Realizar transferencias desde el teléfono),,Sí,Yape,Ninguno,40,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,100,200,4,5,3
2/05/2023 12:12:03,21,Femenino,Puente Piedra,Estudiante,Sí,Sí,Comodidad (ej.: Integridad con otros medios de pago),,Sí,Yape,Ninguno,3,"Miedo al contagio por COVID-19, Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,10,20,4,5,8
2/05/2023 12:20:51,18,Femenino,Barranco,Estudiante,No,,,,Sí,Yape,Plin,3,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,1,5,5,5,3
2/05/2023 14:49:44,19,Masculino,Santiago de Surco,Estudiante,Sí,No,,Ninguna de las anteriores,Sí,Yape,Plin,12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,5,15,4,4,4
2/05/2023 15:57:36,22,Masculino,La Molina,Estudiante,Sí,Sí,Comodidad (ej.: Integridad con otros medios de pago),,Sí,Yape,Plin,58,"Miedo al contagio por COVID-19, Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)",Sí,,,,15,8,4,3,5
2/05/2023 16:02:25,28,Masculino,La Molina,Trabajo profesional,Sí,Sí,Accesibilidad (ej.: Realizar transferencias desde el teléfono),,Sí,Yape,Tunki,62,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Sí,,,,8,12,4,3,2
2/05/2023 16:05:43,35,Femenino,San Borja,Trabajo profesional,Sí,Sí,Comodidad (ej.: Integridad con otros medios de pago),,Sí,Plin,Yape,54,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)",No,,Tarjeta (de crédito o de débito),Falta de necesidad,15,5,5,3,3
2/05/2023 19:20:24,17,Masculino,San Juan de Lurigancho,Estudiante,Sí,No,,Ninguna de las anteriores,No,,,,,,,Sí,Efectivo,Ninguna de las anteriores,30,30,4,5,0
2/05/2023 20:07:27,24,Masculino,Santa Anita,Estudiante,Sí,Sí,Accesibilidad (ej.: Realizar transferencias desde el teléfono),,Sí,Yape,Plin,24,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,200,300,4,4,2
2/05/2023 20:09:44,22,Masculino,San Juan de Lurigancho,Estudiante,No,,,,Sí,Yape,Ninguno,12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,5,20,4,3,4
2/05/2023 20:32:07,23,Masculino,San Juan de Lurigancho,Estudiante,Sí,Sí,Seguridad (ej.: Menos riesgo de robo),,Sí,Yape,Ninguno,24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)",Sí,,,,100,300,4,4,5
2/05/2023 20:44:04,22,Masculino,San Juan de Lurigancho,Trabajo profesional,Sí,Sí,Seguridad (ej.: Menos riesgo de robo),,Sí,APPLE WALLET,Yape,24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre",Sí,,,,20,50,5,4,5
2/05/2023 23:09:01,17,Femenino,Miraflores,Estudiante,No,,,,Sí,Yape,Ninguno,14,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",No,,Tarjeta (de crédito o de débito),Ninguna de las anteriores,2,15,5,5,3
3/05/2023 6:29:56,18,Femenino,Callao *,Estudiante,No,,,,Sí,Yape,Ninguno,16,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",No,,Efectivo,Falta de necesidad,25,30,4,4,4
3/05/2023 6:58:33,29,Femenino,La Victoria,Trabajo profesional,No,,,,No,,,,,,,No,Tarjeta (de crédito o de débito),"Falta de necesidad, Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",400,1800,1,3,0
3/05/2023 7:09:01,42,Masculino,El Agustino,Trabajo profesional,No,,,,Sí,Yape,Ninguno,12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Costumbre,No,,Tarjeta (de crédito o de débito),Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),50,60,4,5,2
3/05/2023 7:15:18,23,Masculino,Santiago de Surco,Estudiante,Sí,No,,Desconocimiento de la forma en cómo se usa este método de pago,No,,,,,,,No,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),20,20,4,4,2
3/05/2023 8:06:54,19,Masculino,Santiago de Surco,Estudiante,Sí,No,,Poca/nula necesidad,No,,,,,,,Sí,Tarjeta (de crédito o de débito),Falta de necesidad,2,20,5,4,0
3/05/2023 8:07:06,20,Femenino,Miraflores,Estudiante,Sí,No,,Desconocimiento de la forma en cómo se usa este método de pago,Sí,Yape,Yape,6,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre",Sí,,,,19,15,5,5,3
3/05/2023 8:08:51,19,Masculino,Santiago de Surco,Estudiante,Sí,Sí,Comodidad (ej.: Integridad con otros medios de pago),,Sí,Yape,Ninguno,2,Ninguna de las anteriores,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),No,,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),20,25,4,5,2
3/05/2023 8:09:00,21,Masculino,Magdalena del Mar,Estudiante,Sí,Sí,Comodidad (ej.: Integridad con otros medios de pago),,Sí,Yape,Plin,48,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),No,,Tarjeta (de crédito o de débito),Ninguna de las anteriores,20,35,5,4,4
3/05/2023 8:10:44,19,Masculino,Chorrillos,Estudiante,No,,,,Sí,Yape,Plin,1,"Miedo al contagio por COVID-19, Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre",Sí,,,,20,50,4,5,2
3/05/2023 8:12:29,20,Masculino,Pachacamac,Estudiante,Sí,No,,Desconocimiento de la forma en cómo se usa este método de pago,Sí,Yape,Plin,10,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros),No,,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),50,100,3,3,2
3/05/2023 8:14:15,21,Masculino,Barranco,Estudiante,Sí,Sí,Seguridad (ej.: Menos riesgo de robo),,Sí,Agora PAY,Plin,5,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre",No,,Tarjeta (de crédito o de débito),Ninguna de las anteriores,20,30,5,4,4
3/05/2023 8:58:43,17,Masculino,Independencia,Estudiante,No,,,,No,,,,,,,No,Efectivo,Falta de necesidad,1,20,3,4,2
3/05/2023 9:33:18,19,Masculino,Barranco,Estudiante,Sí,No,,Poca/nula necesidad,Sí,Yape,Ninguno,8,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)",Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),No,,Efectivo,Falta de necesidad,1,25,5,4,3
