NOMBRE EMPRESA,RUC,SECTOR,TIPO DE ENTIDAD OTORGANTE DEL BCP,NOMBRE ENTIDAD OTORGANTE DEL BCP,MONTO PRESTAMO,MONTO COBERTURA,DEPARTAMENTO,Tipo Empresa,Condición,Fecha Inicio Actividades,Años Actividad,categoria_antiguedad
COOP AGRARIA DE SE RVICIOS MULTIPLES UNION Y FE LA COIPA,20570810236,"AGRICULTUR, GANADERIA, CAZA Y SILVICULT",BANCA MULTIPLE,BCP,758335,682501.5,CAJAMARCA,"Cooperativas, Sais, Caps",Activo,8/1/2014,5,tier2
R & D SERVICIOS GENERALES S.R.L.,20491667291,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",CMAC,CMAC SULLANA,30200,28690,CAJAMARCA,Soc.Com.Respons. Ltda,Activo,10/13/2014,5,tier2
CORPORACION HERMANOS TAPI A D H S.A. CE RRADA,20570887298,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,273461,259787.95,CAJAMARCA,Sociedad Anonima Cerrada,Activo,12/1/2014,5,tier2
GASOMI INGENIEROS E.I.R.L.,20600097726,CONSTRUCCION,CMAC,CMCP LIMA,18000,17640,CAJAMARCA,Empresa Individual de Resp. Ltda,Activo,2/1/2015,5,tier2
EMPRESA DE TRANSPORTES DE PASAJEROS EL CRUCERO DE JAEN S.A. CER,20529682248,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,405236,364712.4,CAJAMARCA,Sociedad Anonima Cerrada,Activo,3/18/2015,5,tier2
CENTRO ESPECIALIZADO EN TRAUMATOLOGIA Y ORTOPERIA,20600189655,SERVICIOS SOCIALES Y DE SALUD,BANCA MULTIPLE,MIBANCO,13600,13328,CAJAMARCA,Soc.Com.Respons. Ltda,Activo,4/1/2015,5,tier2
NOARSI REPRESENTACIONES S AC,20600348117,COMERCIO,BANCA MULTIPLE,BCP,104243,99030.85,CAJAMARCA,Sociedad Anonima Cerrada,Activo,5/5/2015,4,tier3
CELIZ S INGENIERIA Y CONS TRUCCION EIRL,20600574052,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,45667,43383.65,CAJAMARCA,Empresa Individual de Resp. Ltda,Activo,8/1/2015,4,tier3
CATALAN CONSTRUCTORES SRL,20601129834,CONSTRUCCION,BANCA MULTIPLE,BCP,80566,76537.7,CAJAMARCA,Soc.Com.Respons. Ltda,Activo,4/1/2016,4,tier3
ELECTROMECATEC SOCIEDAD A NONIMA CERRADA,20601352355,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,25488,24978.24,CAJAMARCA,Sociedad Anonima Cerrada,Activo,7/8/2016,3,tier3
LUCIPETROL SOCIEDAD ANONI MA CERRADA,20601494176,COMERCIO,BANCA MULTIPLE,BCP,153415,145744.25,CAJAMARCA,Sociedad Anonima Cerrada,Activo,9/1/2016,3,tier3
RYA MANTENIMIENTO ESPECIA LIZADO Y SERVICIOS GENERA LES S.R.L.,20601190410,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,76700,72865,CAJAMARCA,Soc.Com.Respons. Ltda,Activo,9/1/2016,3,tier3
GLOBALTRUCK E.I.R.L.,20601488702,COMERCIO,BANCA MULTIPLE,BCP,8913,8734.74,CAJAMARCA,Empresa Individual de Resp. Ltda,Activo,9/8/2016,3,tier3
INVERSION Y SOLUCIONES CO MERCIALES DEL PERU SAC,20601577128,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,1796664,1616997.6,CAJAMARCA,Sociedad Anonima Cerrada,Activo,10/1/2016,3,tier3
D.L. MOTOPARTES Y LUBRICANTES S.A.C.,20601677688,COMERCIO,BANCA MULTIPLE,BCP,299155,284197.25,CAJAMARCA,Sociedad Anonima Cerrada,Activo,12/1/2016,3,tier3
ALIMENTOS PANIFICADOS EL ARTESANO SAC,20601817382,SERVICIOS SOCIALES Y DE SALUD,CMAC,CMAC TRUJILLO,22500,22050,CAJAMARCA,Sociedad Anonima Cerrada,Activo,1/20/2017,3,tier3
DIRSEL SERVICIOS GENERALE S  SRL,20601927757,COMERCIO,BANCA MULTIPLE,BCP,24719,24224.62,CAJAMARCA,Soc.Com.Respons. Ltda,Activo,3/1/2017,3,tier3
LICORERIA & DISTRIBUCIONES OVAL BLACK E.I.R.L.,20602370802,HOTELES Y RESTAURANTES,BANCA MULTIPLE,BANCO BBVA PERU,190000,180500,CAJAMARCA,Empresa Individual de Resp. Ltda,Activo,8/1/2017,2,tier4
D&MECC SERVICIOS GENERALE S E.I.R.L,20602620027,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,17390,17042.2,CAJAMARCA,Empresa Individual de Resp. Ltda,Activo,11/11/2017,2,tier4
DROGUERIA VANIA MEDIC E.I .R.L.,20602733948,COMERCIO,BANCA MULTIPLE,BCP,114518,108792.1,CAJAMARCA,Empresa Individual de Resp. Ltda,Activo,12/1/2017,2,tier4
AGRICOLA COMERCIAL E INDUSTRIAL,20100244129,CONSTRUCCION,BANCA MULTIPLE,INTERBANK,590000,531000,CALLAO,Sociedad Anonima,Activo,3/1/1951,69,tier1
ZINC INDUSTRIAS NACIONALES,20100015014,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,INTERBANK,8000000,6400000,CALLAO,Sociedad Anonima,Activo,4/30/1974,46,tier1
UNITRADE S.A.C.,20100402727,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,SCOTIABANK,2396363,2156726.7,CALLAO,Sociedad Anonima Cerrada,Activo,3/8/1980,40,tier1
MANUFACTURAS TEXTILES ARL I S.R.L.,20123910134,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,36123,34316.85,CALLAO,Soc.Com.Respons. Ltda,Activo,11/11/1990,29,tier1
TRITON TRANSPORTS S.A.,20138322000,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,3364000,3027600,CALLAO,Sociedad Anonima,Activo,4/13/1993,27,tier1
PONHUA SERVICIOS TURISTIC OS S.R.LTDA.,20167950893,HOTELES Y RESTAURANTES,BANCA MULTIPLE,BCP,58887,55942.65,CALLAO,Soc.Com.Respons. Ltda,Activo,8/1/1993,26,tier1
MACLAUDA SERVICIOS GENERALES EIRL,20209283795,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,SCOTIABANK,453000,407700,CALLAO,Empresa Individual de Resp. Ltda,Activo,2/11/1994,26,tier1
UNION SOUTH INTERNATIONAL S.A.C.,20258116667,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,62649,59516.55,CALLAO,Sociedad Anonima Cerrada,Activo,10/10/1994,25,tier1
RODAMIENTOS SALAS S.R.L.,20338621214,COMERCIO,BANCA MULTIPLE,BCP,264244,251031.8,CALLAO,Soc.Com.Respons. Ltda,Activo,12/27/1996,23,tier1
EDIMOL S A,20342782702,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,1300000,1170000,CALLAO,Sociedad Anonima Cerrada,Activo,3/6/1997,23,tier1
COGORNO SA,20419757331,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,10000000,8000000,CALLAO,Sociedad Anonima Cerrada,Activo,12/22/1998,21,tier1
REPRESENTACIONES LICENCIA DOS S.A.C.,20420181397,COMERCIO,BANCA MULTIPLE,BCP,231260,219697,CALLAO,Sociedad Anonima,Activo,1/7/1999,21,tier1
GOLDEM FREIGHT SERVICES S .A.C.,20467210042,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,111463,105889.85,CALLAO,Sociedad Anonima Cerrada,Activo,4/15/2000,20,tier1
DEAH SECURITY S.A.C.,20501409627,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,479991,431991.9,CALLAO,Sociedad Anonima Cerrada,Activo,1/3/2001,19,tier1
MAQ & TRANS SAC,20501749991,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,INTERAMERICANO,300000,285000,CALLAO,Sociedad Anonima Cerrada,Activo,3/1/2001,19,tier1
GZ AIR TRANSPORT S.A.C.,20502758170,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,108148,102740.6,CALLAO,Sociedad Anonima Cerrada,Activo,9/4/2001,18,tier1
BAGUETERIA PASTELERIA BODEGA EL SIHUASIN O SAC,20504560211,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BANCO BBVA PERU,26500,25970,CALLAO,Sociedad Anonima Cerrada,Activo,6/21/2002,17,tier1
JG3 CONSTRUCCIONES S.A.C,20505212739,CONSTRUCCION,BANCA MULTIPLE,BCP,412786,371507.4,CALLAO,Sociedad Anonima Cerrada,Activo,11/2/2002,17,tier1
HAYRO S SERVICE DIESEL SAC,20507605614,COMERCIO,BANCA MULTIPLE,MIBANCO,37415,35544.25,CALLAO,Sociedad Anonima Cerrada,Activo,11/15/2003,16,tier1
DEPOSITO LAS GEMELAS EIRL,20509449563,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,84500,80275,CALLAO,Empresa Individual de Resp. Ltda,Activo,9/16/2004,15,tier1
PETROCYM SAC,20511110018,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,86264,81950.8,CALLAO,Sociedad Anonima Cerrada,Activo,7/2/2005,14,tier1
MGO S. A. C.,20512035851,OTROS SERVICIOS,BANCA MULTIPLE,BCP,171296,162731.2,CALLAO,Sociedad Anonima Cerrada,Activo,12/1/2005,14,tier1
INVERSIONES PROMATDEN S.A .C,20512992138,SERVICIOS SOCIALES Y DE SALUD,BANCA MULTIPLE,BCP,51151,48593.45,CALLAO,Sociedad Anonima Cerrada,Activo,4/24/2006,14,tier1
LOGISTICA INTERMODAL DEL PERU SAC,20513040718,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BANCO BBVA PERU,820000,738000,CALLAO,Sociedad Anonima Cerrada,Activo,4/27/2006,14,tier1
SR DE LOS MILAGROS CARGOE.I.R.L.,20513913142,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,665361,598824.9,CALLAO,Empresa Individual de Resp. Ltda,Activo,9/1/2006,13,tier1
EL JENGIBRE S.A.C.,20515662201,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,6693,6559.14,CALLAO,Sociedad Anonima Cerrada,Activo,4/4/2007,13,tier1
DISTRIBUIDORA DIESEL CALL AO S.A.C.,20516319608,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,64334,61117.3,CALLAO,Sociedad Anonima Cerrada,Activo,6/25/2007,12,tier1
TRANSCONTS.R.L.,20516224216,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,72962,69313.9,CALLAO,Sociedad Irregular,Activo,7/1/2007,12,tier1
INDETNA S.A.C.,20512229035,OTROS SERVICIOS,BANCA MULTIPLE,BCP,19627,19234.46,CALLAO,Sociedad Anonima Cerrada,Activo,9/4/2007,12,tier1
LLONTOP GERALDINE EIRL,20518248902,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BANCO BBVA PERU,156555,148727.25,CALLAO,Empresa Individual de Resp. Ltda,Activo,2/6/2008,12,tier1
Z & ALFA S.A.C.,20493000854,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,103749,98561.55,CALLAO,Sociedad Anonima Cerrada,Activo,7/1/2008,11,tier1
INVERSIONES SAMANGA EIRL,20477983619,COMERCIO,BANCA MULTIPLE,BCP,38783,36843.85,CALLAO,Empresa Individual de Resp. Ltda,Activo,11/18/2008,11,tier1
MAQUISERVICIOS PERU  SAC,20478171022,OTROS SERVICIOS,BANCA MULTIPLE,BANCO BBVA PERU,71011,67460.45,CALLAO,Sociedad Anonima Cerrada,Activo,12/5/2008,11,tier1
CLI GESTIONES ADUANERAS S.A.,20478175524,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,2687414,2418672.6,CALLAO,Sociedad Anonima,Activo,12/5/2008,11,tier1
DANCAR PERU SAC,20520714376,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BANCO BBVA PERU,21600,21168,CALLAO,Sociedad Anonima Cerrada,Activo,1/19/2009,11,tier1
JOSMOR SYSTEMS INTEGRATOR E.I.RL.,20521173131,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BANCO PICHINCHA,32000,30400,CALLAO,Empresa Individual de Resp. Ltda,Activo,3/8/2009,11,tier1
CORPORACION CADENAS SAC,20521434466,CONSTRUCCION,BANCA MULTIPLE,BANCO BBVA PERU,123914,117718.3,CALLAO,Sociedad Anonima Cerrada,Activo,4/1/2009,11,tier1
CARGO WORLD PERU S.A.C.,20522531872,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BANCO PICHINCHA,1124066,1011659.4,CALLAO,Sociedad Anonima Cerrada,Activo,7/8/2009,10,tier1
R&G SEGURIDAD E HIGIENE INDUSTRIAL SAC,20523717759,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,1880631,1692567.9,CALLAO,Sociedad Anonima Cerrada,Activo,11/1/2009,10,tier1
GRUAS MARA S.A.C.,20525068162,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BANCO PICHINCHA,545000,490500,CALLAO,Sociedad Anonima Cerrada,Activo,3/15/2010,10,tier1
ROYAL CARGO EXPRESS S.A.C .,20536274392,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,20805,20388.9,CALLAO,Sociedad Anonima Cerrada,Activo,5/27/2010,9,tier2
IMPORTACIONES ENSH S.A.C.,20536886088,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,15844,15527.12,CALLAO,Sociedad Anonima Cerrada,Activo,8/1/2010,9,tier2
EGA KAT LOGISTICA S.A.C,20537761599,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,SCOTIABANK,344000,309600,CALLAO,Sociedad Anonima Cerrada,Activo,10/13/2010,9,tier2
CORPORACION ALBANTEX SAC,20392552431,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,80554,76526.3,CALLAO,Sociedad Anonima Cerrada,Activo,3/1/2011,9,tier2
DISTRIBUIDORA FERRETERA 10 SESENTA SAC,20392735781,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,188746,179308.7,CALLAO,Sociedad Anonima Cerrada,Activo,3/15/2011,9,tier2
BOTICAS SIMILARES SA,20543001075,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,505023,454520.7,CALLAO,Sociedad Anonima,Activo,4/8/2011,9,tier2
ABASTECEDORA DE PRODUCTOS METALURGICOS SAC,20548643962,COMERCIO,BANCA MULTIPLE,BCP,715969,644372.1,CALLAO,Sociedad Anonima Cerrada,Activo,7/4/2012,7,tier2
MARNETS S.A.C.,20549187120,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,1523000,1370700,CALLAO,Sociedad Anonima Cerrada,Activo,8/13/2012,7,tier2
JESA ELECTRIC SAC,20549479848,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BANCO BBVA PERU,98413,93492.35,CALLAO,Sociedad Anonima Cerrada,Activo,9/5/2012,7,tier2
NOURRITURE S.A.C.,20534816988,COMERCIO,CMAC,CMAC PIURA,45000,42750,CALLAO,Sociedad Anonima Cerrada,Activo,1/25/2013,7,tier2
OCTAVIO CHIRINOS BARROS EMPRESA DE TRANSPORTES,20551868631,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,377162,339445.8,CALLAO,Sociedad Anonima Cerrada,Activo,3/8/2013,7,tier2
BEST ESTRUCTURAS S.A.C.,20392966162,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,115764,109975.8,CALLAO,Sociedad Anonima Cerrada,Activo,9/11/2013,6,tier2
SERVICIOS GENERALES MATTHIAS GUTIERREZ SAC,20555724021,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,MIBANCO,14119,13836.62,CALLAO,Sociedad Anonima Cerrada,Activo,12/10/2013,6,tier2
EQUIPER SAC,20556614050,COMERCIO,BANCA MULTIPLE,BCP,42579,40450.05,CALLAO,Sociedad Anonima Cerrada,Activo,3/5/2014,6,tier2
IMPORTACIONES INCAPLAST SAC,20557284371,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,144614,137383.3,CALLAO,Sociedad Anonima Cerrada,Activo,4/8/2014,6,tier2
ZM GLOBAL TRADING SOCIEDAD ANONIMA CERRADA,20563578239,OTROS SERVICIOS,BANCA MULTIPLE,BCP,183296,174131.2,CALLAO,Sociedad Anonima Cerrada,Activo,9/1/2014,5,tier2
CONSTRUCTORA SUIZA PERU SAC,20566197121,CONSTRUCCION,BANCA MULTIPLE,MIBANCO,90405.75,858.854.625,CALLAO,Sociedad Anonima Cerrada,Activo,11/11/2014,5,tier2
AIRT CONFORT S.A.C.,20566275962,COMERCIO,BANCA MULTIPLE,BCP,9048,8867.04,CALLAO,Sociedad Anonima Cerrada,Activo,11/18/2014,5,tier2
PERUVIAN JEWELERS LM SAC,20600080955,COMERCIO,BANCA MULTIPLE,INTERBANK,29401.45,28.813.421,CALLAO,Sociedad Anonima Cerrada,Activo,2/1/2015,5,tier2
CREACIONES LUCERO Y JOSEL ITO SAC,20600231341,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,13160,12896.8,CALLAO,Sociedad Anonima Cerrada,Activo,5/4/2015,4,tier3
SERVICIOS GENERALES MELACARP S.A.C. - S.G. MELACARP S.A.C.,20600578660,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BANCO BBVA PERU,33182,31522.9,CALLAO,Sociedad Anonima Cerrada,Activo,8/8/2015,4,tier3
INVERSIONES DAMEC S.A.C.,20600580265,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,217717,206831.15,CALLAO,Sociedad Anonima Cerrada,Activo,8/10/2015,4,tier3
FAMAX SERVICES SAC,20600782216,OTROS SERVICIOS,BANCA MULTIPLE,BCP,137861,130967.95,CALLAO,Sociedad Anonima Cerrada,Activo,11/1/2015,4,tier3
DISTRIBUIDORA SAMAS SAC,20601045134,OTROS SERVICIOS,BANCA MULTIPLE,BCP,197158,187300.1,CALLAO,Sociedad Anonima Cerrada,Activo,3/1/2016,4,tier3
CORPORACION EDUCATIVA THALES DE MILETO S.A.C.,20601011957,ENSENANZA,BANCA MULTIPLE,INTERBANK,46353,44035.35,CALLAO,Sociedad Anonima Cerrada,Activo,3/7/2016,4,tier3
G & D REPUESTOS Y SERVICIOS S.A.C.,20601064953,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,55497,52722.15,CALLAO,Sociedad Anonima Cerrada,Activo,3/28/2016,4,tier3
SERMISOL GV S.A.C.,20566263794,OTROS SERVICIOS,BANCA MULTIPLE,BCP,30343,28825.85,CALLAO,Sociedad Anonima Cerrada,Activo,2/9/2017,3,tier3
FIERROS Y ACEROS SAVI S.A .C,20602202144,COMERCIO,BANCA MULTIPLE,BCP,162373,154254.35,CALLAO,Sociedad Anonima Cerrada,Activo,7/1/2017,2,tier4
COS EFICIENCIA CONTABLE E .I.R.L,20602329489,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,5532,5421.36,CALLAO,Empresa Individual de Resp. Ltda,Activo,7/31/2017,2,tier4
BH & T CORPORATION SOCIED AD ANONIMA CERRADA - BH & T CORPORATION S.A.C,20602266827,COMERCIO,BANCA MULTIPLE,BCP,39845,37852.75,CALLAO,Sociedad Anonima Cerrada,Activo,8/1/2017,2,tier4
M & T CLIMATIZACION SAC,20602333796,CONSTRUCCION,BANCA MULTIPLE,MIBANCO,49146,46688.7,CALLAO,Sociedad Anonima Cerrada,Activo,8/1/2017,2,tier4
INVERSIONES LOGISTICAS MINA E.I.R.L.,20600278194,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BANCO BBVA PERU,206600,196270,CALLAO,Empresa Individual de Resp. Ltda,Activo,9/13/2017,2,tier4
COMPUCHIP S.R.L.,20116722641,COMERCIO,BANCA MULTIPLE,BCP,88450,84027.5,CUSCO,Soc.Com.Respons. Ltda,Activo,1/6/1993,27,tier1
SUPER CAFE LA CHOLITA EIRL,20224310481,OTROS SERVICIOS,CMAC,CMAC CUSCO,545600,491040,CUSCO,Empresa Individual de Resp. Ltda,Activo,8/1/1994,25,tier1
CENTRO  DE FORMACION Y PRODUCCION ARARIWA,20358896805,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",CMAC,CMAC CUSCO,57200,54340,CUSCO,Asociacion,Activo,11/1/1997,22,tier1
INTI KUNTUR EIRL,20442521477,HOTELES Y RESTAURANTES,CMAC,CMAC CUSCO,75160,71402,CUSCO,Empresa Individual de Resp. Ltda,Activo,6/10/1999,20,tier1
CORPORACION AUTOMOTRIZ DEL SUR,20443108131,COMERCIO,BANCA MULTIPLE,INTERBANK,10000000,8000000,CUSCO,Sociedad Anonima,Activo,11/8/1999,20,tier1
GLORY TOURS S.C.R.L. - GLORY TOURS S.R.L,20527106771,OTROS SERVICIOS,CMAC,CMAC CUSCO,25200,24696,CUSCO,Soc.Com.Respons. Ltda,Activo,10/10/2002,17,tier1
TURISMO VASQUEZ EIRL,20527359636,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,2548,2497.04,CUSCO,Empresa Individual de Resp. Ltda,Activo,5/25/2004,15,tier1
MAJHOMI EIRL,20527366098,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BANCO BBVA PERU,300000,285000,CUSCO,Empresa Individual de Resp. Ltda,Activo,6/11/2004,15,tier1
DISTRIBUCIONES LA PROVEED ORA S.A.C,20527558248,COMERCIO,BANCA MULTIPLE,BCP,315620,284058,CUSCO,Sociedad Anonima,Activo,10/1/2005,14,tier1
O & M CONTRATISTAS S.A. CERR,20527686165,COMERCIO,BANCA MULTIPLE,SCOTIABANK,136000,129200,CUSCO,Sociedad Anonima Cerrada,Activo,6/2/2006,13,tier1
MODULAR 505 CARPINTEROS E IRL,20527725594,COMERCIO,BANCA MULTIPLE,BCP,192945,183297.75,CUSCO,Empresa Individual de Resp. Ltda,Activo,8/18/2006,13,tier1
VALEMIL S.A.C,20527735123,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",CMAC,CMAC CUSCO,100000,95000,CUSCO,Sociedad Anonima Cerrada,Activo,9/6/2006,13,tier1
INMOBILIARIA LA CASITA S. A.C.,20527831513,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,204626,194394.7,CUSCO,Sociedad Anonima Cerrada,Activo,3/2/2007,13,tier1
PUMA ASOCIADOS SRL,20527848246,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BANCO BBVA PERU,2200000,1980000,CUSCO,Soc.Com.Respons. Ltda,Activo,6/27/2007,12,tier1
FLOTA B F M TOURS EIRL,20527930503,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",CMAC,CMAC CUSCO,26500,25970,CUSCO,Empresa Individual de Resp. Ltda,Activo,8/1/2007,12,tier1
LOS PEREZ E.I.R.L,20450752658,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,11491,11261.18,CUSCO,Empresa Individual de Resp. Ltda,Activo,2/1/2009,11,tier1
CORPORACION AYAR S.A.C.,20450783456,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BANCO PICHINCHA,421334,379200.6,CUSCO,Sociedad Anonima Cerrada,Activo,4/1/2009,11,tier1
LADRILLOS Y TEJAS SORAMA AUCCAYLLE S.A.C. - LATESA SAC.,20489978726,OTROS SERVICIOS,CMAC,CMAC CUSCO,54800,52060,CUSCO,Sociedad Anonima Cerrada,Activo,5/7/2009,10,tier1
TRANSITA SAC,20490135821,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BANCO BBVA PERU,127809,121418.55,CUSCO,Sociedad Anonima Cerrada,Activo,12/29/2009,10,tier1
MEDICAL HEALTHHOME-CUSCO SRL,20490300881,SERVICIOS SOCIALES Y DE SALUD,BANCA MULTIPLE,BANCO BBVA PERU,35500,33725,CUSCO,Soc.Com.Respons. Ltda,Activo,8/5/2010,9,tier2
CARIBEAN VIAJES S.R.L.,20490433334,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,18835,18458.3,CUSCO,Soc.Com.Respons. Ltda,Activo,2/15/2011,9,tier2
DBL CONTRATISTAS GENERALES S.A.C,20490589776,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",CMAC,CMAC CUSCO,78700,74765,CUSCO,Sociedad Anonima Cerrada,Activo,6/20/2011,8,tier2
INVERSIONES TURISMO AYME EIRL,20490603949,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,14087,13805.26,CUSCO,Empresa Individual de Resp. Ltda,Activo,7/1/2011,8,tier2
M.W FASA S.R.LTDA,20490766490,COMERCIO,BANCA MULTIPLE,BCP,164893,156648.35,CUSCO,Soc.Com.Respons. Ltda,Activo,12/27/2011,8,tier2
TRANSPORTES Y SERVICIOS G UEVARA SCRLTDA,20490821695,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,110127,104620.65,CUSCO,Soc.Com.Respons. Ltda,Activo,2/16/2012,8,tier2
PROEDSA EMPRESA INDIVIDUA L DE RESPONSABILIDAD LIMI TADA,20491122383,COMERCIO,BANCA MULTIPLE,BCP,17102,16759.96,CUSCO,Empresa Individual de Resp. Ltda,Activo,10/1/2012,7,tier2
CHAMPION MOTOR PARTS S.R. L.,20491166674,COMERCIO,BANCA MULTIPLE,BCP,94857,90114.15,CUSCO,Soc.Com.Respons. Ltda,Activo,11/1/2012,7,tier2
SERVICIOS GENERALES SEGEL L & E UMASI S.C.R.L.,20491203545,OTROS SERVICIOS,CMAC,CMAC CUSCO,40000,38000,CUSCO,Soc.Com.Respons. Ltda,Activo,12/3/2012,7,tier2
CENTRO MEDICO DETECTA EIRL,20490110756,SERVICIOS SOCIALES Y DE SALUD,BANCA MULTIPLE,BANCO BBVA PERU,84900,80655,CUSCO,Empresa Individual de Resp. Ltda,Activo,5/8/2013,6,tier2
INVERSIONES FLODAR E.I.R.L.,20564022412,COMERCIO,BANCA MULTIPLE,BCP,20876,20458.48,CUSCO,Empresa Individual de Resp. Ltda,Activo,7/5/2013,6,tier2
AGENCIA DE SERVICIOS TURISTICOS CHALLCOS TOUR SAC,20553748993,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,MIBANCO,16758,16422.84,CUSCO,Sociedad Anonima Cerrada,Activo,7/19/2013,6,tier2
BAEZ & TRIVEnO INVERSIONES TURISTICAS E.I.R.L.,20564042103,HOTELES Y RESTAURANTES,CMAC,CMAC CUSCO,72000,68400,CUSCO,Empresa Individual de Resp. Ltda,Activo,8/1/2013,6,tier2
