"GENERO","EDAD","MERITO","UNIVERSIDAD","UBICACION_U","PRACTICAS","NUMERO_DE_PERSONAS","ETNIA","BECADO","VIVIENDA","P_SUELDO","INGRESO_SECU_IND","INGRESO_SECU_DEP","INGRESO_OCUPACIÓN_IND","INGRESO_OCUPACIÓN_DEP","FINANCIAMIENTO_F","PRESTAMO_BANCO","CARRERA","NOMBRE_U","T_TRABAJO","CAR_TRA","EMPLEO"
"Masculino","Sí","Tercio Superior","Pública","ANCASH",1,1,"Mestizo","No","Independiente",NA,0,1040,0,2500,"Sí","No","INGENIERÍA CIVIL","UNIVERSIDAD NACIONAL DE JULIACA",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","PASCO",5,3,"Mestizo","No","casa_vecinda",NA,0,0,0,300,"Sí","No","EDUCACIÓN SECUNDARIA","UNIVERSIDAD NACIONAL DE BARRANCA",NA,"Sí","Sí"
"Femenino","Sí","Quinto Superior","Pública","CUSCO",1,6,"Mestizo","No","Independiente","Hasta 750",0,0,0,4200,"Sí","No","CONTABILIDAD","PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ","No busco trabajo","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LA LIBERTAD",5,2,"Mestizo","No","Independiente",NA,200,0,0,900,"Sí","No","EDUCACIÓN INICIAL","UNIVERSIDAD NACIONAL DEL CALLAO",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","LIMA",1,2,"Mestizo","No","Independiente",NA,0,0,0,2600,"Sí","No","PERIODISMO","UNIVERSIDAD NACIONAL DE TUMBES",NA,"Sí","Sí"
"Masculino","Sí","NO","Pública","PIURA",1,1,"Quechua","No","Independiente",NA,0,0,0,1500,"Sí","No","INGENIERÍA INFORMÁTICA","UNIVERSIDAD ANDINA DEL CUSCO",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","PUNO",4,1,"Quechua","No","Independiente",NA,0,0,0,0,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL DEL SANTA",NA,NA,"No"
"Masculino","Sí","NO","Pública","LAMBAYEQUE",1,3,"Mestizo","No","Independiente","Hasta 750",0,0,0,1600,"Sí","No","ADMINISTRACIÓN","UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","Entre 3 a 6 meses","Sí","Sí"
"Femenino","Sí","NO","Pública","LAMBAYEQUE",3,5,"Nativo o indigena de la amazonia","No","Independiente","751 a 1000",0,0,0,2300,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Privada","LAMBAYEQUE",3,5,"Mestizo","No","Independiente",NA,200,0,0,600,"Sí","No","DERECHO","UNIVERSIDAD ESAN",NA,"No","Sí"
"Femenino","Sí","Decimo superior","Privada","LIMA",1,1,"Blanco","No","Departamento",NA,0,0,0,2500,"Sí","No","PSICOLOGÍA","UNIVERSIDAD PRIVADA JUAN PABLO II",NA,"Sí","Sí"
"Masculino","Sí","Quinto Superior","Privada","MOQUEGUA",1,5,"Mestizo","No","Independiente","1501 a 2500",0,0,0,2800,"Sí","No","INGENIERÍA CIVIL","UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Privada","CALLAO",1,2,"Mestizo","No","Independiente","751 a 1000",0,0,0,750,"Sí","No","INGENIERÍA MARÍTIMA","UNIVERSIDAD PRIVADA CÉSAR VALLEJO","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","Tercio Superior","Pública","LIMA",NA,NA,"Mestizo","No","Independiente","Hasta 750",0,0,300,0,"Sí","No","ADMINISTRACIÓN EN TURISMO","UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO","Entre 1 a 3 meses","No","No"
"Femenino","Sí","Tercio Superior","Privada","LIMA",2,1,"Mestizo","No","Independiente","751 a 1000",0,0,750,0,"Sí","No","ENFERMERÍA","UNIVERSIDAD PRIVADA DE HUÁNUCO","Meses a menos de un año","Sí","Sí"
"Femenino","Sí","NO","Privada","PIURA",3,5,"Mestizo","No","Independiente","Hasta 750",0,0,0,0,"Sí","No","DERECHO","UNIVERSIDAD ANDINA NESTOR CÁCERES VELÁSQUEZ","No busco trabajo",NA,"No"
"Masculino","Sí","Tercio Superior","Pública","PIURA",1,1,"Mestizo","No","Independiente",NA,0,0,0,1600,"Sí","No","DERECHO","UNIVERSIDAD ANDINA DEL CUSCO",NA,"Sí","Sí"
"Femenino","Sí","NO","Pública","PIURA",5,2,"Mestizo","No","Independiente",NA,0,0,0,400,"Sí","Si","EDUCACIÓN INICIAL","UNIVERSIDAD ANDINA DEL CUSCO",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","PUNO",3,1,"Quechua","No","Independiente",NA,0,0,0,2600,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL DEL SANTA",NA,"Sí","Sí"
"Masculino","Sí","Tercio Superior","Pública","PUNO",2,5,"Aymara","No","Independiente",NA,0,0,0,1200,"Sí","No","ESTADÍSTICA E INFORMÁTICA","UNIVERSIDAD NACIONAL DEL SANTA",NA,"No","Sí"
"Masculino","Sí","NO","Pública","TUMBES",1,1,"Mestizo","No","Independiente","Hasta 750",500,0,0,5000,"Sí","No","DERECHO","UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Pública","AMAZONAS",NA,NA,"Mestizo","No","Independiente",NA,250,0,1500,0,"Sí","No","TURISMO Y ADMINISTRACIÓN","UNIVERSIDAD PRIVADA DEL NORTE",NA,"Sí","Sí"
"Masculino","Sí","Tercio Superior","Privada","APURIMAC",3,4,"Mestizo","No","Independiente","751 a 1000",0,0,0,2800,"Sí","No","DERECHO","UNIVERSIDAD PRIVADA JUAN MEJÍA BACA","Entre 3 a 6 meses","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",2,1,"Mestizo","No","Independiente","1001 a 1500",0,0,1000,0,"Sí","No","DERECHO","UNIVERSIDAD CATÓLICA DE TRUJILLO","Menos de un mes","Sí","No"
"Masculino","Sí","NO","Pública","HUANUCO",1,3,"Mestizo","No","Independiente",NA,0,0,0,2000,"Sí","No","INGENIERÍA CIVIL","FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA",NA,"Sí","Sí"
"Masculino","Sí","Decimo superior","Pública","ICA",4,5,"Mestizo","No","Independiente","1001 a 1500",0,0,0,0,"Sí","No","AGRONOMÍA","UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO","Menos de un mes",NA,"No"
"Masculino","Sí","Tercio Superior","Privada","ICA",2,2,"Mestizo","No","casa_vecinda","1001 a 1500",0,0,1500,0,"Sí","No","PSICOLOGÍA","UNIVERSIDAD PERUANA UNIÓN","Menos de un mes","No","No"
"Femenino","Sí","NO","Privada","ICA",1,2,"Mestizo","No","Independiente",NA,0,0,0,2200,"Sí","No","ADMINISTRACIÓN DE EMPRESAS","UNIVERSIDAD CIENTÍFICA DEL SUR",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","TACNA",1,4,"Mestizo","No","Independiente","Hasta 750",0,0,0,950,"Sí","No","EDUCACIÓN (CIENCIAS DE LA EDUCACION)","UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Privada","LIMA",5,3,"Mestizo","No","Independiente",NA,0,0,0,1600,"Sí","No","VETERINARIA Y ZOOTECNIA","UNIVERSIDAD INCA GARCILASO DE LA VEGA",NA,"Sí","No"
"Masculino","Sí","Tercio Superior","Pública","AREQUIPA",1,5,"Mestizo","No","Independiente","751 a 1000",0,0,0,2800,"Sí","No","INGENIERÍA GEOLÓGICA","UNIVERSIDAD NACIONAL DE FRONTERA","Entre 3 a 6 meses","Sí","No"
"Masculino","Sí","Tercio Superior","Privada","CUSCO",3,4,"Mestizo","No","Independiente","751 a 1000",0,0,0,800,"Sí","No","TURISMO","UNIVERSIDAD CATÓLICA DE TRUJILLO","Entre 3 a 6 meses","Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","LA LIBERTAD",2,1,"Mestizo","No","Independiente","Hasta 750",0,0,0,0,"Sí","No","MICROBIOLOGÍA Y PARASITOLOGÍA","UNIVERSIDAD ALAS PERUANAS","Entre 1 a 3 meses",NA,"No"
"Masculino","Sí","Tercio Superior","Privada","LA LIBERTAD",1,4,"Mestizo","No","Independiente","1001 a 1500",0,500,0,1300,"Sí","No","INGENIERÍA AGRÓNOMA","UNIVERSIDAD NACIONAL DEL CALLAO","Menos de un mes","Sí","Sí"
"Masculino","Sí","Tercio Superior","Pública","LIMA",2,4,"Blanco","No","Independiente",NA,0,0,0,3500,"Sí","No","INGENIERÍA DE SISTEMAS","UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS",NA,"Sí","Sí"
"Femenino","Sí","NO","Privada","HUANUCO",2,4,"Blanco","No","Independiente","751 a 1000",0,0,0,2000,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA","Menos de un mes","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","ANCASH",2,4,"Mestizo","No","Independiente",NA,0,0,300,0,"Sí","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN",NA,"No","No"
"Femenino","Sí","Quinto Superior","Privada","LIMA",1,5,"Mestizo","No","Departamento",NA,0,0,0,1720,"Sí","No","ADMINISTRACIÓN Y GERENCIA","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS",NA,"Sí","No"
"Masculino","Sí","Tercio Superior","Privada","LIMA",3,1,"Mestizo","No","Independiente","1001 a 1500",0,0,0,1400,"Sí","No","INGENIERÍA AUTOMOTRIZ","UNIVERSIDAD PRIVADA CÉSAR VALLEJO","Menos de un mes","Sí","Sí"
"Masculino","Sí","Decimo superior","Pública","LIMA",2,2,"Blanco","No","Independiente","1501 a 2500",0,0,8600,0,"Sí","No","PSICOLOGÍA","UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","Tercio Superior","Privada","LIMA",1,2,"Mestizo","No","Independiente",NA,0,0,0,2000,"Sí","No","ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES   ( ADMINISTRACIÓN Y NEGOCIOS INTERNACIONALES)","UNIVERSIDAD PRIVADA DE TRUJILLO",NA,"Sí","Sí"
"Masculino","Sí","NO","Privada","ANCASH",11,2,"Mestizo","No","Independiente","Hasta 750",0,0,1147.91666666667,0,"Sí","No","TERAPIA FÍSICA Y REHABILITACIÓN","UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN","No busco trabajo","Sí","Sí"
"Femenino","Sí","NO","Pública","LIMA",1,1,"Mestizo","No","Independiente","751 a 1000",0,0,0,0,"Sí","No","ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES   ( ADMINISTRACIÓN Y NEGOCIOS INTERNACIONALES)","UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO","Meses a menos de un año",NA,"No"
"Masculino","Sí","Decimo superior","Privada","LIMA",4,3,"Blanco","No","Independiente",NA,0,0,0,6000,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL DE CAÑETE",NA,"Sí","Sí"
"Masculino","Sí","Decimo superior","Pública","LIMA",1,1,"Mestizo","No","Departamento",NA,350,0,0,2000,"Sí","No","HISTORIA","UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","CALLAO",1,5,"Mestizo","No","Quinta",NA,0,0,0,0,"Sí","No","TURISMO Y HOTELERÍA","UNIVERSIDAD NACIONAL DE TRUJILLO",NA,NA,"No"
"Femenino","Sí","Tercio Superior","Pública","LIMA",4,1,"Mestizo","No","Independiente",NA,0,1400,0,2000,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","LIMA",1,1,"Mestizo","No","Independiente","Hasta 750",0,1500,0,2500,"Sí","No","INGENIERÍA AMBIENTAL","UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC","Menos de un mes","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LAMBAYEQUE",1,5,"Mestizo","No","Independiente","1501 a 2500",0,0,0,4500,"Sí","No","MEDICINA","UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE","Meses a menos de un año","Sí","Sí"
"Masculino","Sí","NO","Privada","HUANCAVELICA",6,4,"Quechua","No","casa_vecinda",NA,0,0,0,1100,"Sí","No","EDUCACIÓN PRIMARIA Y BILINGÜE","UNIVERSIDAD AUTÓNOMA DEL PERÚ",NA,"Sí","Sí"
"Femenino","Sí","NO","Privada","HUANCAVELICA",1,5,"Quechua","No","Independiente","751 a 1000",0,0,0,950,"Sí","No","INGENIERÍA INFORMÁTICA","UNIVERSIDAD AUTÓNOMA DEL PERÚ","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","AREQUIPA",NA,NA,"Mestizo","No","Independiente","1001 a 1500",0,0,0,2000,"Sí","No","INGENIERÍA INDUSTRIAL","UNIVERSIDAD NACIONAL DE FRONTERA","Meses a menos de un año","Sí","Sí"
"Masculino","Sí","Tercio Superior","Privada","LIMA",1,1,"Mestizo","No","Independiente","751 a 1000",0,0,0,0,"Sí","No","PERIODISMO","UNIVERSIDAD NACIONAL DE PIURA","Entre 1 a 3 meses",NA,"No"
"Femenino","Sí","Tercio Superior","Pública","LIMA",2,5,"Mestizo","No","Independiente","751 a 1000",2000,0,2000,0,"Sí","No","INGENIERÍA FORESTAL","UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC","Entre 1 a 3 meses","Sí","No"
"Femenino","Sí","Tercio Superior","Pública","LIMA",1,2,"Mestizo","No","Independiente","751 a 1000",0,0,0,1000,"Sí","No","CONTABILIDAD","UNIVERSIDAD NACIONAL TECNOLÓGICA DEL CONO SUR DE LIMA","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Privada","LIMA",2,4,"Mestizo","No","Independiente",NA,0,0,0,1500,"No","No","FILOSOFÍA","UNIVERSIDAD DE CIENCIAS Y ARTES DE AMERICA LATINA",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",1,2,"Blanco","No","Independiente",NA,0,0,0,0,"Sí","No","PSICOLOGÍA","UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS",NA,NA,"No"
"Masculino","Sí","NO","Privada","LIMA",2,5,"Blanco","No","Independiente",NA,0,0,0,2000,"Sí","No","INGENIERÍA MECÁNICA","UNIVERSIDAD NACIONAL DE CAÑETE",NA,"Sí","Sí"
"Masculino","Sí","NO","Privada","LIMA",1,2,"Otro","No","Independiente","1001 a 1500",5000,0,0,4000,"Sí","No","DERECHO","UNIVERSIDAD PRIVADA DE TRUJILLO","Menos de un mes","Sí","Sí"
"Masculino","Sí","Decimo superior","Privada","LIMA",1,3,"Mestizo","No","Independiente","1001 a 1500",0,0,0,2500,"Sí","No","INGENIERÍA ELECTRÓNICA","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","Entre 3 a 6 meses","Sí","Sí"
"Femenino","Sí","NO","Privada","LA LIBERTAD",4,1,"No sabe","No","Independiente","Hasta 750",0,0,0,500,"Sí","No","EDUCACIÓN PRIMARIA","UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Pública","APURIMAC",1,1,"Mestizo","No","Independiente","751 a 1000",0,0,1500,0,"Sí","No","INGENIERÍA DE SISTEMAS E INFORMÁTICA   ( INGENIERÍA INFORMÁTICA Y  DE SISTEMAS)","UNIVERSIDAD LE CORDON BLEU","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Privada","JUNIN",1,4,"Quechua","No","Independiente","1501 a 2500",0,0,0,3000,"Sí","No","INGENIERÍA CIVIL","UNIVERSIDAD NACIONAL DE SAN AGUSTÍN","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Privada","LAMBAYEQUE",1,1,"No sabe","No","Independiente","1001 a 1500",0,0,0,1940,"Sí","No","ADMINISTRACIÓN DE EMPRESAS","UNIVERSIDAD PRIVADA MARCELINO CHAMPAGNAT","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","MADRE DE DIOS",2,3,"Quechua","No","Independiente","1501 a 2500",0,600,5000,0,"No","No","INGENIERÍA AGROINDUSTRIAL","UNIVERSIDAD LATINOAMERICA DE CIMA","Menos de un mes","No","Sí"
"Masculino","Sí","Quinto Superior","Privada","PIURA",1,5,"Mestizo","No","Independiente","1001 a 1500",0,0,0,0,"Sí","No","INGENIERÍA MECÁNICA ELÉCTRICA (INGENIERÍA MECÁNICA- ELÉCTRICA E INGENIERÍA MECÁNICA Y ELÉCTRICA)","UNIVERSIDAD ANDINA NESTOR CÁCERES VELÁSQUEZ","Menos de un mes",NA,"No"
"Femenino","Sí","Tercio Superior","Pública","CALLAO",2,2,"Mestizo","No","Independiente","751 a 1000",0,0,0,1200,"Sí","No","CONTABILIDAD","UNIVERSIDAD NACIONAL DE TUMBES","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","Tercio Superior","Privada","LAMBAYEQUE",1,5,"Mestizo","No","Departamento",NA,0,0,0,4300,"Sí","No","ADMINISTRACIÓN DE EMPRESAS","UNIVERSIDAD ESAN",NA,"Sí","Sí"
"Femenino","Sí","NO","Privada","AREQUIPA",2,3,"Blanco","No","Independiente",NA,0,0,0,4000,"Sí","No","MULTIMEDIA Y FOTOGRAFÍA PUBLICITARIA","UNIVERSIDAD NACIONAL DEL ALTIPLANO",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LA LIBERTAD",4,3,"Mestizo","No","Independiente",NA,500,0,0,250,"Sí","No","EDUCACIÓN PRIMARIA","UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI",NA,"Sí","Sí"
"Femenino","Sí","NO","Pública","LIMA",3,1,"Quechua","No","Independiente",NA,0,0,1200,0,"Sí","No","ARQUITECTURA","UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS",NA,"Sí","No"
"Masculino","Sí","NO","Privada","LIMA",3,5,"Mestizo","No","Departamento",NA,0,0,0,3000,"Sí","No","INGENIERÍA INDUSTRIAL","UNIVERSIDAD NACIONAL DE CAÑETE",NA,"Sí","Sí"
"Femenino","Sí","Quinto Superior","Privada","LIMA",1,5,"Mestizo","No","Independiente","3501 a 4500",0,0,0,0,"Sí","No","MEDICINA HUMANA","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","Menos de un mes","Sí","No"
"Femenino","Sí","Tercio Superior","Privada","LIMA",3,1,"Mestizo","No","Independiente","1501 a 2500",0,0,0,3900,"Sí","No","INGENIERÍA CIVIL","UNIVERSIDAD CIENTÍFICA DEL SUR","No busco trabajo","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",3,5,"Mestizo","No","Independiente",NA,0,0,0,4500,"Sí","No","MEDICINA HUMANA","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS",NA,"Sí","Sí"
"Masculino","Sí","NO","Pública","LIMA",2,1,"Mestizo","No","Departamento","5501 a 6500",0,0,4800,0,"Sí","No","INGENIERÍA SANITARIA","UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA","No busco trabajo","Sí","No"
"Femenino","Sí","Tercio Superior","Privada","LAMBAYEQUE",1,6,"Mestizo","No","Departamento",NA,0,0,0,3400,"Sí","Si","MEDICINA HUMANA","UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE",NA,"Sí","Sí"
"Femenino","Sí","NO","Pública","AMAZONAS",5,1,"Quechua","No","Independiente",NA,0,0,0,1100,"Sí","No","EDUCACIÓN PRIMARIA","UNIVERSIDAD PRIVADA DEL NORTE",NA,"Sí","Sí"
"Femenino","Sí","NO","Privada","MOQUEGUA",1,5,"Mestizo","No","Independiente","1501 a 2500",0,0,150,0,"No","No","CONTABILIDAD","UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO","Menos de un mes","No","No"
"Masculino","Sí","NO","Pública","APURIMAC",1,3,"Mestizo","No","Independiente","751 a 1000",0,0,0,2500,"Sí","No","INGENIERÍA DE SISTEMAS E INFORMÁTICA   ( INGENIERÍA INFORMÁTICA Y  DE SISTEMAS)","UNIVERSIDAD LE CORDON BLEU","Entre 1 a 3 meses","No","Sí"
"Masculino","Sí","NO","Privada","AREQUIPA",2,3,"Mestizo","No","Independiente","1501 a 2500",0,0,0,2500,"No","No","ADMINISTRACIÓN","UNIVERSIDAD CIENTÍFICA DEL SUR","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Privada","AREQUIPA",3,5,"Mestizo","No","Independiente","Hasta 750",0,0,0,750,"Sí","No","DERECHO","UNIVERSIDAD DE PIURA","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",2,4,"Mestizo","No","Independiente","751 a 1000",0,0,0,2000,"Sí","No","INGENIERÍA DE SISTEMAS","UNIVERSIDAD CIENCIAS DE LA SALUD","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","Quinto Superior","Privada","LIMA",3,2,"Quechua","No","Independiente","Hasta 750",0,0,0,1500,"Sí","No","DERECHO","UNIVERSIDAD PRIVADA CÉSAR VALLEJO","Menos de un mes","Sí","Sí"
"Masculino","Sí","Quinto Superior","Privada","LIMA",2,6,"Quechua","No","Departamento","751 a 1000",6250,0,700,0,"Sí","No","ESTOMATOLOGÍA","UNIVERSIDAD PRIVADA DE TRUJILLO","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",2,1,"Blanco","No","Independiente",NA,0,0,0,2500,"Sí","No","CONTABILIDAD","UNIVERSIDAD PRIVADA CÉSAR VALLEJO",NA,"Sí","Sí"
"Masculino","Sí","NO","Privada","LIMA",NA,NA,"Mestizo","No","Independiente",NA,0,0,0,0,"Sí","No","ADMINISTRACIÓN","UNIVERSIDAD PRIVADA DE TRUJILLO",NA,NA,"No"
"Femenino","Sí","Quinto Superior","Privada","LIMA",2,2,"Mestizo","No","Departamento","1001 a 1500",0,0,0,4000,"Sí","No","CONTABILIDAD","UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN","Menos de un mes","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",2,5,"Mestizo","No","Independiente",NA,0,0,0,1200,"Sí","No","OBSTETRICIA","UNIVERSIDAD PRIVADA DE HUÁNUCO",NA,"Sí","Sí"
"Masculino","Sí","Tercio Superior","Pública","LIMA",2,4,"Mestizo","No","Independiente","1001 a 1500",0,0,0,3000,"Sí","No","INGENIERÍA ELECTRÓNICA","UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO","No busco trabajo","Sí","Sí"
"Masculino","Sí","Tercio Superior","Pública","LIMA",1,3,"Mestizo","No","Independiente","1501 a 2500",0,0,4000,0,"Sí","No","INGENIERÍA CIVIL","UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA","Menos de un mes","Sí","Sí"
"Femenino","Sí","Quinto Superior","Privada","LIMA",1,5,"Mestizo","No","Departamento","Hasta 750",0,0,0,0,"Sí","No","MEDICINA HUMANA","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","Entre 1 a 3 meses",NA,"No"
"Masculino","Sí","Tercio Superior","Pública","AYACUCHO",2,1,"Quechua","No","Independiente","1001 a 1500",0,0,0,3500,"Sí","No","CONTABILIDAD Y AUDITORIA","UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ","Menos de un mes","Sí","Sí"
"Masculino","Sí","Tercio Superior","Pública","SAN MARTIN",1,2,"Mestizo","No","Independiente","1001 a 1500",0,0,0,1500,"Sí","No","ECONOMÍA","ASOCIACIÓN UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Privada","JUNIN",3,4,"Mestizo","No","Independiente",NA,0,0,0,750,"Sí","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD DE LIMA",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",2,2,"Mestizo","No","Independiente","1501 a 2500",0,0,0,2500,"Sí","Si","DERECHO","UNIVERSIDAD NACIONAL DE CAÑETE","Menos de un mes","Sí","Sí"
"Masculino","Sí","Tercio Superior","Privada","LIMA",2,5,"Mestizo","No","Independiente",NA,0,0,0,3000,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS",NA,"Sí","Sí"
"Masculino","Sí","NO","Privada","LIMA",NA,NA,"Mestizo","No","Independiente",NA,0,0,0,2000,"Sí","No","MEDICINA HUMANA","UNIVERSIDAD NACIONAL DE CAJAMARCA",NA,"Sí","Sí"
"Masculino","Sí","Tercio Superior","Privada","LIMA",3,2,"Mestizo","No","Independiente","1001 a 1500",0,1500,0,2500,"Sí","No","ODONTOLOGÍA","UNIVERSIDAD NACIONAL DE CAJAMARCA","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","PIURA",1,4,"Mestizo","No","Independiente","1001 a 1500",0,0,0,1082.5,"Sí","No","OBSTETRICIA","UNIVERSIDAD ANDINA DEL CUSCO","Menos de un mes","Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","PUNO",1,2,"Quechua","No","Independiente","Hasta 750",0,0,0,1200,"Sí","No","INGENIERÍA AGROINDUSTRIAL","UNIVERSIDAD NACIONAL DEL SANTA","Menos de un mes","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","TACNA",1,1,"Quechua","No","Independiente",NA,0,0,2000,0,"No","No","ADMINISTRACIÓN EN TURISMO Y HOTELERÍA    (ADMINISTRACIÓN  DE TURISMO Y HOTELERÍA ;  ADMINISTRACIÓN HOTELERA Y DE TURISMO Y ADMINISTRACIÓN HOTELERA Y TURISMO)","UNIVERSIDAD NACIONAL DE INGENIERÍA",NA,"No","Sí"
"Femenino","Sí","Tercio Superior","Privada","HUANUCO",2,4,"Mestizo","No","Independiente","Hasta 750",0,0,0,1500,"Sí","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Privada","PIURA",2,5,"Mestizo","No","Independiente","751 a 1000",0,0,0,1000,"Sí","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD DE LIMA","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Privada","UCAYALI",1,1,"Mestizo","No","Independiente",NA,650,0,1500,0,"Sí","No","CIENCIAS CONTABLES Y FINANCIERAS","UNIVERSIDAD DEL PACÍFICO",NA,"Sí","Sí"
"Masculino","Sí","NO","Privada","ANCASH",NA,NA,"Mestizo","No","Independiente","1001 a 1500",0,2500,500,0,"Sí","No","ODONTOLOGÍA","UNIVERSIDAD DE LIMA","Entre 1 a 3 meses","Sí","Sí"
