"GENERO","MINEDAD","CAP300P324A","SELECT_UNI_GESTION","NOMBRECCDD","CAP300P351","CAP300P353","CAP400P473","CAP300P319_4","CAP100P101","CAP400P472","CAP400P441_MONE","CAP400P440_MONE","CAP400P437_MONE","CAP400P436_MONE","CAP300P319_2","CAP300P319_5","CAP300P312","SELECT_UNI","CAP400P469","CAP400P406","CAP400P401"
1,1,NA,1,"APURIMAC",1,1,6,2,1,2,0,0,1500,0,1,2,"INGENIERÍA DE SISTEMAS E INFORMÁTICA   ( INGENIERÍA INFORMÁTICA Y  DE SISTEMAS)","U0103",1,1,1
1,1,NA,2,"JUNIN",1,4,1,2,1,4,0,0,0,3000,1,2,"INGENIERÍA CIVIL","U0011",2,1,1
1,1,NA,2,"LAMBAYEQUE",1,1,8,2,1,3,0,0,0,1940,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0079",2,1,1
1,1,NA,1,"MADRE DE DIOS",2,3,1,2,1,4,0,600,5000,0,2,2,"INGENIERÍA AGROINDUSTRIAL","U0102",1,2,1
1,1,2,2,"PIURA",1,5,6,2,1,3,0,0,0,0,1,2,"INGENIERÍA MECÁNICA ELÉCTRICA (INGENIERÍA MECÁNICA- ELÉCTRICA E INGENIERÍA MECÁNICA Y ELÉCTRICA)","U0047",1,NA,2
2,1,1,1,"CALLAO",2,2,6,2,1,2,0,0,0,1200,1,2,"CONTABILIDAD","U0015",2,1,1
1,1,1,2,"LAMBAYEQUE",1,5,6,2,2,NA,0,0,0,4300,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0063",NA,1,1
2,1,NA,2,"AREQUIPA",2,3,5,2,1,NA,0,0,0,4000,1,2,"MULTIMEDIA Y FOTOGRAFÍA PUBLICITARIA","U0017",NA,1,1
2,1,1,2,"LA LIBERTAD",4,3,6,2,1,NA,500,0,0,250,1,2,"EDUCACIÓN PRIMARIA","U0066",NA,1,1
2,1,NA,1,"LIMA",3,1,1,2,1,NA,0,0,1200,0,1,2,"ARQUITECTURA","U0040",NA,1,2
1,1,NA,2,"LIMA",3,5,6,2,2,NA,0,0,0,3000,1,2,"INGENIERÍA INDUSTRIAL","U0033",NA,1,1
2,1,2,2,"LIMA",1,5,6,2,1,6,0,0,0,0,1,2,"MEDICINA HUMANA","U0025",1,1,2
2,1,1,2,"LIMA",3,1,6,2,1,4,0,0,0,3900,1,2,"INGENIERÍA CIVIL","U0056",6,1,1
2,1,1,2,"LIMA",3,5,6,2,1,NA,0,0,0,4500,1,2,"MEDICINA HUMANA","U0025",NA,1,1
1,1,NA,1,"LIMA",2,1,6,2,2,8,0,0,4800,0,1,2,"INGENIERÍA SANITARIA","U0039",6,1,2
2,1,1,2,"LAMBAYEQUE",1,6,6,2,2,NA,0,0,0,3400,1,1,"MEDICINA HUMANA","U0054",NA,1,1
2,1,NA,1,"AMAZONAS",5,1,1,2,1,NA,0,0,0,1100,1,2,"EDUCACIÓN PRIMARIA","U0078",NA,1,1
2,1,NA,2,"MOQUEGUA",1,5,6,2,1,4,0,0,150,0,2,2,"CONTABILIDAD","U0053",1,2,2
1,1,NA,1,"APURIMAC",1,3,6,2,1,2,0,0,0,2500,1,2,"INGENIERÍA DE SISTEMAS E INFORMÁTICA   ( INGENIERÍA INFORMÁTICA Y  DE SISTEMAS)","U0103",2,2,1
1,1,NA,2,"AREQUIPA",2,3,6,2,1,4,0,0,0,2500,2,2,"ADMINISTRACIÓN","U0056",2,1,1
2,1,NA,2,"AREQUIPA",3,5,6,2,1,1,0,0,0,750,1,2,"DERECHO","U0059",2,1,1
2,1,1,2,"LIMA",2,4,6,2,1,2,0,0,0,2000,1,2,"INGENIERÍA DE SISTEMAS","U0093",2,1,1
1,1,2,2,"LIMA",3,2,1,2,1,1,0,0,0,1500,1,2,"DERECHO","U0076",1,1,1
1,1,2,2,"LIMA",2,6,1,2,2,2,6250,0,700,0,1,2,"ESTOMATOLOGÍA","U0124",2,1,1
2,1,1,2,"LIMA",2,1,5,2,1,NA,0,0,0,2500,1,2,"CONTABILIDAD","U0076",NA,1,1
1,1,NA,2,"LIMA",NA,NA,6,2,1,NA,0,0,0,0,1,2,"ADMINISTRACIÓN","U0124",NA,NA,2
2,1,2,2,"LIMA",2,2,6,2,2,3,0,0,0,4000,1,2,"CONTABILIDAD","U0004",1,1,1
2,1,1,2,"LIMA",2,5,6,2,1,NA,0,0,0,1200,1,2,"OBSTETRICIA","U0077",NA,1,1
1,1,1,1,"LIMA",2,4,6,2,1,3,0,0,0,3000,1,2,"INGENIERÍA ELECTRÓNICA","U0027",6,1,1
1,1,1,1,"LIMA",1,3,6,2,1,4,0,0,4000,0,1,2,"INGENIERÍA CIVIL","U0039",1,1,1
2,1,2,2,"LIMA",1,5,6,2,2,1,0,0,0,0,1,2,"MEDICINA HUMANA","U0025",2,NA,2
1,1,1,1,"AYACUCHO",2,1,1,2,1,3,0,0,0,3500,1,2,"CONTABILIDAD Y AUDITORIA","U0019",1,1,1
1,1,1,1,"SAN MARTIN",1,2,6,2,1,3,0,0,0,1500,1,2,"ECONOMÍA","U0042",2,1,1
2,1,NA,2,"JUNIN",3,4,6,2,1,NA,0,0,0,750,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0058",NA,1,1
2,1,1,2,"LIMA",2,2,6,2,1,4,0,0,0,2500,1,1,"DERECHO","U0033",1,1,1
1,1,1,2,"LIMA",2,5,6,2,1,NA,0,0,0,3000,1,2,"DERECHO","U0003",NA,1,1
1,1,NA,2,"LIMA",NA,NA,6,2,1,NA,0,0,0,2000,1,2,"MEDICINA HUMANA","U0005",NA,1,1
1,1,1,2,"LIMA",3,2,6,2,1,3,0,1500,0,2500,1,2,"ODONTOLOGÍA","U0005",2,1,1
1,1,NA,1,"PIURA",1,4,6,2,1,3,0,0,0,1082.5,1,2,"OBSTETRICIA","U0046",1,1,1
2,1,1,1,"PUNO",1,2,1,2,1,1,0,0,0,1200,1,2,"INGENIERÍA AGROINDUSTRIAL","U0020",1,1,1
2,1,1,2,"TACNA",1,1,1,2,1,NA,0,0,2000,0,2,2,"ADMINISTRACIÓN EN TURISMO Y HOTELERÍA    (ADMINISTRACIÓN  DE TURISMO Y HOTELERÍA ;  ADMINISTRACIÓN HOTELERA Y DE TURISMO Y ADMINISTRACIÓN HOTELERA Y TURISMO)","U0008",NA,2,1
2,1,1,2,"HUANUCO",2,4,6,2,1,1,0,0,0,1500,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0009",1,1,1
1,1,NA,2,"PIURA",2,5,6,2,1,2,0,0,0,1000,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0058",2,1,1
1,1,NA,2,"UCAYALI",1,1,6,2,1,NA,650,0,1500,0,1,2,"CIENCIAS CONTABLES Y FINANCIERAS","U0062",NA,1,1
1,1,NA,2,"ANCASH",NA,NA,6,2,1,3,0,2500,500,0,1,2,"ODONTOLOGÍA","U0058",2,1,1
2,1,2,2,"AREQUIPA",3,1,6,2,1,2,1028.57142857143,0,0,1800,1,2,"DERECHO","U0056",1,1,1
2,1,1,2,"CUSCO",NA,NA,1,2,1,NA,0,0,0,500,1,2,"PSICOLOGÍA","U0049",NA,1,1
2,1,2,1,"LIMA",7,5,6,2,2,2,0,0,0,6000,1,2,"PSICOLOGÍA","U0040",2,1,1
1,1,1,1,"PUNO",3,1,2,2,1,3,0,0,0,5500,1,2,"INGENIERÍA AGRÍCOLA","U0020",4,1,1
2,1,NA,1,"AYACUCHO",1,3,1,2,1,NA,0,0,0,0,1,2,"BIOLOGÍA","U0019",NA,NA,2
2,1,NA,2,"AREQUIPA",1,4,1,2,1,2,0,0,0,0,1,2,"INGENIERÍA INDUSTRIAL","U0059",2,NA,2
2,1,1,1,"HUANUCO",1,4,6,2,1,2,0,0,0,3600,1,2,"PSICOLOGÍA","U0043",1,1,1
2,1,NA,2,"LA LIBERTAD",1,3,6,2,1,5,100,0,0,1300,1,2,"MEDICINA HUMANA","U0018",1,1,1
2,1,NA,2,"LAMBAYEQUE",3,1,5,2,1,NA,0,0,0,2200,1,2,"ARQUITECTURA","U0054",NA,1,1
1,1,NA,2,"LIMA",1,1,6,2,1,2,0,0,0,1000,1,2,"DERECHO","U0124",3,1,1
2,1,NA,1,"LIMA",4,1,6,2,1,NA,0,0,0,1000,1,2,"TECNOLOGÍA DEL VESTIDO","U0048",NA,2,1
1,1,1,1,"LIMA",4,1,6,2,1,NA,0,0,0,2850,1,2,"INGENIERÍA CIVIL","U0040",NA,1,1
2,1,NA,1,"SAN MARTIN",1,4,6,2,1,2,0,0,0,1500,1,2,"CONTABILIDAD","U0042",1,1,1
2,1,NA,1,"SAN MARTIN",3,5,6,2,1,NA,0,0,0,0,2,2,"OBSTETRICIA","U0034",NA,NA,2
2,1,NA,2,"LA LIBERTAD",1,1,6,2,1,1,0,0,0,1150,1,2,"INGENIERÍA AGRÓNOMA","U0018",1,1,1
2,1,1,2,"JUNIN",1,5,1,2,1,NA,0,0,0,4500,1,2,"MEDICINA HUMANA","U0011",NA,1,1
1,1,NA,2,"AREQUIPA",1,1,6,2,1,NA,0,0,0,1100,1,2,"ADMINISTRACIÓN Y MARKETING","U0076",NA,1,1
2,1,NA,1,"LIMA",4,4,6,2,1,1,4000,0,0,649.5,2,2,"OBSTETRICIA","U0032",1,2,1
1,1,NA,2,"LIMA",2,3,6,2,2,NA,0,0,0,3500,1,2,"ODONTOLOGÍA","U0014",NA,1,1
1,1,1,2,"LIMA",2,1,6,2,1,2,750,0,0,950,1,2,"INGENIERÍA DE SISTEMAS","U0058",1,2,1
1,1,NA,1,"AYACUCHO",2,5,1,2,1,3,1250,0,0,900,1,2,"FARMACIA Y BIOQUÍMICA","U0019",2,1,1
1,1,NA,1,"HUANCAVELICA",1,5,6,2,1,NA,0,0,0,0,1,2,"ADMINISTRACIÓN","U0038",1,NA,2
1,1,1,1,"SAN MARTIN",NA,NA,6,2,1,1,0,0,0,1400,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0042",1,1,1
1,1,1,2,"APURIMAC",1,1,6,2,1,3,0,0,0,0,2,2,"INGENIERÍA CIVIL","U0125",3,NA,2
2,1,NA,2,"APURIMAC",4,5,1,2,1,3,0,0,0,2100,1,2,"ENFERMERÍA","U0125",3,1,1
2,1,NA,2,"AREQUIPA",2,1,6,2,1,1,0,0,0,1000,1,2,"DERECHO","U0059",1,1,1
1,1,NA,2,"PIURA",1,1,6,2,1,NA,0,0,0,3500,1,2,"INGENIERÍA CIVIL","U0056",NA,1,1
2,1,NA,2,"CUSCO",1,1,6,2,1,2,0,0,0,1550,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0049",1,1,1
2,1,3,2,"LIMA",2,2,1,2,1,NA,0,0,0,5300,1,2,"INGENIERÍA CIVIL","U0033",NA,1,1
1,1,1,1,"CALLAO",1,5,1,2,1,NA,340,0,0,3500,1,2,"ECONOMÍA","U0015",NA,1,1
1,1,NA,1,"LIMA",1,3,6,2,1,2,0,0,0,1800,1,2,"INGENIERÍA PETROQUÍMICA","U0039",3,1,1
2,1,NA,2,"PIURA",2,4,6,2,1,NA,0,0,140,0,1,1,"OBSTETRICIA","U0058",NA,2,2
1,1,NA,2,"ICA",1,2,6,2,1,3,0,0,350,0,1,2,"INGENIERÍA DE SISTEMAS Y COMPUTACIÓN  (INGENIERÍA DE COMPUTACIÓN Y SISTEMAS E INGENIERÍA DE SISTEMAS Y CÓMPUTO)","U0093",2,2,2
2,1,NA,2,"MOQUEGUA",1,4,6,2,1,4,0,0,0,2000,1,2,"CIENCIAS CONTABLES Y FINANCIERAS","U0008",5,2,1
2,1,NA,1,"AMAZONAS",5,1,6,2,1,NA,0,0,0,900,1,2,"EDUCACIÓN PRIMARIA","U0078",NA,1,1
2,1,NA,1,"APURIMAC",2,2,6,2,1,NA,0,0,0,0,1,2,"MEDICINA VETERINARIA Y ZOOTECNIA","U0103",NA,NA,2
1,1,NA,1,"APURIMAC",1,2,8,2,3,4,0,0,0,0,1,2,"INGENIERÍA DE SISTEMAS E INFORMÁTICA   ( INGENIERÍA INFORMÁTICA Y  DE SISTEMAS)","U0103",1,NA,2
1,1,NA,2,"LIMA",1,1,6,2,1,3,0,0,0,1700,1,2,"ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES   ( ADMINISTRACIÓN Y NEGOCIOS INTERNACIONALES)","U0077",3,1,1
1,1,NA,2,"MOQUEGUA",2,4,6,2,1,NA,0,0,0,1800,1,2,"CONTABILIDAD","U0053",NA,1,1
2,1,NA,2,"JUNIN",2,1,6,2,1,NA,0,0,0,2000,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0011",NA,1,1
1,1,3,2,"LAMBAYEQUE",4,4,6,2,1,3,5400,0,5000,0,1,2,"ARQUITECTURA","U0127",1,1,1
1,1,NA,2,"LAMBAYEQUE",2,2,5,2,2,2,0,0,0,1290,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0127",3,1,1
1,1,NA,1,"LIMA",NA,NA,6,2,1,NA,0,0,0,1300,1,2,"INGENIERÍA AMBIENTAL","U0015",NA,1,1
1,1,NA,1,"PUNO",1,5,1,2,1,4,2500,0,0,2700,1,2,"ARQUITECTURA Y URBANISMO","U0020",1,1,1
2,1,1,1,"PUNO",1,1,2,2,1,2,0,0,0,1742,1,2,"INGENIERÍA ESTADÍSTICA E INFORMÁTICA","U0020",2,1,1
1,1,NA,1,"APURIMAC",2,1,1,2,1,2,600,0,0,1900,1,2,"INGENIERÍA AGROINDUSTRIAL","U0105",2,2,1
1,1,NA,1,"SAN MARTIN",1,5,6,2,1,NA,0,0,0,4500,1,2,"ZOOTECNIA","U0042",NA,2,1
2,1,NA,1,"CAJAMARCA",NA,NA,6,2,1,NA,0,0,0,0,1,2,"SOCIOLOGÍA","U0028",NA,NA,2
2,1,NA,1,"LA LIBERTAD",3,1,6,2,1,1,60,0,0,600,1,2,"EDUCACIÓN SECUNDARIA - HISTORIA Y GEOGRAFÍA","U0045",1,2,1
2,1,NA,2,"LAMBAYEQUE",2,1,6,2,1,NA,0,0,800,0,1,2,"DERECHO","U0079",NA,1,1
1,1,1,1,"LAMBAYEQUE",2,5,6,2,1,2,200,0,0,3000,1,2,"INGENIERÍA ELECTRÓNICA","U0002",4,1,1
2,1,NA,2,"LIMA",4,1,6,2,2,2,0,0,5000,0,1,2,"EDUCACIÓN (CIENCIAS DE LA EDUCACION)","U0016",2,2,1
2,1,NA,2,"LIMA",2,3,5,2,2,3,0,0,0,2000,1,2,"DERECHO","U0003",3,1,1
2,1,NA,1,"LIMA",2,2,6,2,1,NA,0,0,0,1000,1,2,"EDUCACIÓN BÁSICA, INICIAL Y PRIMARIA","U0041",NA,2,1
1,1,NA,1,"PUNO",1,2,6,2,1,2,0,500,0,1400,1,2,"INGENIERÍA ESTADÍSTICA E INFORMÁTICA","U0020",2,1,1
1,1,NA,1,"SAN MARTIN",1,1,6,2,1,1,0,0,0,1400,1,2,"INGENIERÍA DE SISTEMAS E INFORMÁTICA   ( INGENIERÍA INFORMÁTICA Y  DE SISTEMAS)","U0034",3,2,1
2,1,NA,1,"CALLAO",3,5,6,2,2,NA,0,0,0,3000,1,2,"DERECHO","U0027",NA,1,1
2,1,3,1,"LIMA",5,2,6,2,1,3,0,0,0,1200,1,2,"MATEMÁTICA E INFORMÁTICA","U0048",2,1,1
1,1,1,1,"CALLAO",3,3,6,2,1,NA,0,0,0,1500,1,2,"CONTABILIDAD","U0015",NA,1,1
2,1,3,2,"LIMA",1,1,6,2,2,3,1500,0,0,2400,1,2,"PSICOLOGÍA","U0033",2,1,1
1,1,NA,1,"PUNO",1,2,1,2,1,NA,0,0,0,1500,1,2,"INGENIERÍA DE MINAS","U0020",NA,1,1
1,1,1,2,"AMAZONAS",3,4,6,2,1,2,0,0,2200,0,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0036",6,1,1
2,1,NA,1,"AYACUCHO",2,2,1,2,1,NA,0,0,0,0,1,2,"ECONOMÍA","U0019",NA,NA,2
1,1,NA,2,"LIMA",1,1,6,2,1,NA,0,0,0,0,1,2,"INGENIERÍA INDUSTRIAL","U0056",NA,NA,2
1,1,2,1,"TACNA",1,2,6,2,1,NA,0,0,0,2000,1,2,"INGENIERÍA DE SISTEMAS","U0024",NA,1,1
2,1,NA,2,"LIMA",NA,NA,6,2,2,NA,0,0,0,2075,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0056",NA,1,1
2,1,1,2,"LIMA",2,4,6,2,2,1,0,0,0,3500,1,2,"BIOLOGÍA","U0025",6,1,1
2,1,2,1,"LIMA",1,5,6,2,1,3,0,0,0,2500,1,2,"ENFERMERÍA","U0015",6,1,1
1,1,NA,1,"LIMA",3,2,1,2,1,1,0,0,1500,0,1,2,"INGENIERÍA AGROINDUSTRIAL","U0040",1,1,1
1,1,NA,1,"CALLAO",2,3,6,2,1,3,0,0,0,0,1,2,"INGENIERÍA INDUSTRIAL","U0015",3,NA,2
2,1,1,1,"MADRE DE DIOS",2,5,6,2,1,NA,0,0,0,1000,1,2,"INGENIERÍA AGROINDUSTRIAL","U0102",NA,2,2
2,1,2,2,"JUNIN",1,2,8,2,1,1,0,0,0,200,1,2,"ARQUITECTURA","U0011",6,2,2
2,1,1,1,"JUNIN",1,3,6,2,1,3,0,0,0,1850,1,2,"ECONOMÍA","U0021",1,1,1
2,1,1,1,"LIMA",2,3,6,2,1,NA,0,0,0,2200,1,2,"INGENIERÍA INDUSTRIAL","U0039",NA,1,1
2,1,1,2,"LIMA",3,3,6,2,1,NA,0,0,0,2000,1,2,"ENFERMERÍA","U0060",NA,1,1
2,1,NA,2,"ANCASH",3,1,6,2,1,1,200,0,0,770,1,2,"EDUCACIÓN SECUNDARIA - IDIOMA EXTRANJERO/ORIGINARIO","U0023",1,1,1
2,1,NA,1,"PASCO",1,1,6,2,1,NA,0,0,200,0,1,2,"EDUCACIÓN SECUNDARIA - COMPUTACIÓN E INFORMÁTICA","U0032",NA,2,1
2,1,NA,2,"UCAYALI",2,1,6,2,1,2,0,0,800,0,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0062",3,1,1
2,1,2,1,"AYACUCHO",2,4,6,2,1,NA,0,0,0,1300,1,2,"FARMACIA Y BIOQUÍMICA","U0019",NA,1,1
2,1,1,2,"LIMA",NA,NA,6,2,1,NA,0,0,0,2600,1,2,"CONTABILIDAD","U0092",NA,1,2
1,1,3,1,"LIMA",1,1,6,2,1,3,0,0,0,2500,1,2,"INGENIERÍA QUÍMICA","U0027",1,1,1
2,1,NA,1,"LIMA",NA,NA,6,2,1,2,0,0,0,1800,2,2,"CIENCIAS ECONÓMICAS","U0027",1,1,1
2,1,NA,2,"LIMA",2,5,6,2,1,5,0,0,0,2500,1,2,"MEDICINA HUMANA","U0005",1,1,1
1,1,2,2,"CALLAO",1,2,6,2,1,NA,0,0,0,0,1,2,"INGENIERÍA MECATRÓNICA","U0025",NA,NA,2
1,1,2,1,"LORETO",1,5,6,1,1,1,0,0,0,2562,1,1,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0051",6,1,1
1,1,2,2,"LAMBAYEQUE",2,5,4,2,1,1,0,0,0,692.8,1,2,"PSICOLOGÍA","U0063",2,2,1
2,1,1,2,"AREQUIPA",2,4,6,2,1,2,0,0,0,0,1,2,"DERECHO","U0059",1,NA,2
2,1,NA,1,"AREQUIPA",2,1,6,2,1,1,600,0,0,1000,1,2,"TURISMO Y HOTELERÍA","U0035",2,1,1
1,1,1,2,"ICA",1,5,6,2,1,NA,0,0,0,3200,1,1,"INGENIERÍA DE SISTEMAS","U0073",NA,1,1
1,1,1,2,"JUNIN",1,1,6,2,1,NA,0,0,55,0,1,2,"INGENIERÍA INDUSTRIAL","U0057",NA,2,2
1,1,NA,2,"LAMBAYEQUE",2,5,6,2,1,NA,250,0,0,900,1,2,"ADMINISTRACIÓN","U0079",NA,2,1
1,1,NA,2,"LAMBAYEQUE",4,4,6,2,1,2,0,0,500,0,1,2,"INGENIERÍA AGROINDUSTRIAL","U0079",3,2,1
2,1,NA,1,"LIMA",2,1,6,2,2,3,0,0,0,600,1,2,"PSICOLOGÍA","U0040",2,2,1
1,1,NA,1,"LIMA",2,2,6,2,1,NA,0,0,0,1600,1,2,"INGENIERÍA MECÁNICA ELÉCTRICA (INGENIERÍA MECÁNICA- ELÉCTRICA E INGENIERÍA MECÁNICA Y ELÉCTRICA)","U0123",NA,2,1
1,1,1,1,"PIURA",2,2,6,2,1,1,0,0,0,2300,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0046",2,1,1
2,1,NA,2,"PIURA",2,1,1,2,1,NA,0,0,0,0,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0058",NA,NA,2
2,1,NA,1,"ICA",NA,NA,6,2,1,1,0,0,0,800,1,2,"INGENIERÍA METALÚRGICA (INGENIERÍA DE METALÚRGIA)","U0030",2,1,1
2,1,NA,2,"JUNIN",2,5,5,2,1,NA,0,0,0,510,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0011",NA,1,1
2,1,1,2,"JUNIN",1,1,6,2,1,NA,0,0,0,480,1,2,"ARQUITECTURA","U0057",NA,2,1
2,1,NA,1,"LIMA",2,3,6,2,1,NA,0,0,0,1200,1,2,"EDUCACIÓN (CIENCIAS DE LA EDUCACION)","U0041",NA,1,1
2,1,NA,1,"LIMA",2,3,6,2,1,NA,1500,0,0,3200,1,2,"MEDICINA HUMANA","U0027",NA,1,1
2,1,NA,1,"LIMA",5,1,6,2,1,3,0,0,0,1300,1,2,"EDUCACIÓN INICIAL","U0048",2,1,1
2,1,NA,2,"LIMA",2,1,6,2,1,3,0,0,0,0,1,2,"TRADUCCIÓN E INTERPRETACIÓN","U0025",4,NA,2
1,1,1,1,"PUNO",2,1,2,2,1,NA,3125,0,0,1820,1,2,"INGENIERÍA AGRONÓMICA","U0020",NA,1,1
2,1,NA,1,"TACNA",1,1,5,2,1,1,0,0,0,0,1,2,"INGENIERÍA DE INDUSTRIAS ALIMENTARIAS (INGENIERÍA DE INDUSTRIA ALIMENTARIA E INGENIERÍA INDUSTRIAS ALIMENTARIAS)","U0024",1,NA,2
2,1,3,2,"LIMA",2,4,6,2,1,4,0,0,0,9000,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0003",6,1,1
2,1,1,2,"LORETO",3,1,6,2,1,NA,240,0,0,1750,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0001",NA,1,1
1,1,2,1,"LIMA",1,1,1,2,1,NA,0,0,0,3800,2,2,"CONTABILIDAD","U0040",NA,1,1
2,1,NA,2,"ANCASH",1,1,8,2,1,3,0,0,0,1500,1,2,"OBSTETRICIA","U0058",6,1,1
1,1,NA,2,"TACNA",1,5,6,2,1,NA,0,0,0,1500,1,2,"INGENIERÍA COMERCIAL","U0008",NA,1,1
1,1,NA,2,"ANCASH",2,5,6,2,1,1,200,0,1200,0,1,2,"CONTABILIDAD","U0058",6,1,1
1,1,1,1,"APURIMAC",2,5,1,2,1,1,0,0,0,1820,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0105",2,1,1
1,1,NA,2,"CAJAMARCA",3,1,6,2,1,NA,1500,0,0,2500,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0064",NA,1,1
1,1,1,2,"CAJAMARCA",2,5,1,2,1,4,0,0,0,3300,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0064",1,1,1
2,1,2,1,"LIMA",2,5,6,2,1,4,0,0,0,3500,1,2,"ADMINISTRACIÓN","U0027",6,1,1
2,1,NA,2,"LIMA",4,2,6,2,2,NA,0,0,0,1900,2,2,"EDUCACIÓN INICIAL","U0016",NA,1,1
2,1,1,2,"LIMA",2,4,6,2,1,2,0,0,0,4100,1,2,"FARMACIA Y BIOQUÍMICA","U0077",5,1,1
1,1,1,1,"LIMA",2,3,6,2,1,NA,0,0,0,1800,1,2,"QUÍMICA","U0039",NA,1,1
2,1,1,2,"LIMA",3,5,6,2,2,NA,0,0,0,3200,1,2,"INGENIERÍA DE SISTEMAS","U0003",NA,1,1
2,1,NA,2,"PIURA",9,5,6,2,1,1,0,0,0,0,1,2,"ENFERMERÍA","U0058",2,NA,2
1,1,1,2,"ANCASH",NA,NA,6,2,1,NA,1275,0,1800,0,2,2,"EDUCACIÓN SECUNDARIA - MATEMÁTICA, COMPUTACIÓN Y FÍSICA","U0058",NA,2,1
1,1,NA,2,"UCAYALI",1,2,6,2,1,1,0,0,0,4500,1,2,"CIENCIAS CONTABLES Y FINANCIERAS","U0056",1,1,1
2,1,NA,2,"LIMA",3,1,6,2,2,2,0,0,0,1200,1,2,"INGENIERÍA DE SISTEMAS","U0013",3,2,1
1,1,2,1,"HUANCAVELICA",3,5,6,2,1,NA,2760,0,1050,0,1,2,"INGENIERÍA ZOOTECNIA   ( INGENIERÍA DE ZOOTECNIA, INGENIERÍA ZOOTÉCNICA E INGENIERÍA DE ZOOTECNISTA )","U0038",NA,2,1
1,1,NA,2,"LA LIBERTAD",1,1,6,2,1,NA,0,0,0,2000,1,2,"INGENIERÍA INDUSTRIAL","U0127",NA,1,1
1,1,1,1,"SAN MARTIN",1,5,6,2,1,NA,0,0,0,1300,1,2,"OBSTETRICIA","U0034",NA,1,1
2,1,NA,2,"LIMA",2,1,6,2,1,3,1000,0,0,2600,2,2,"CONTABILIDAD","U0076",6,1,1
1,1,NA,2,"LIMA",4,1,6,2,3,NA,0,0,0,2000,1,2,"TRADUCCIÓN E INTERPRETACIÓN","U0025",NA,1,1
2,1,1,2,"LIMA",2,5,6,2,1,NA,0,0,0,4000,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0047",NA,1,1
2,1,2,2,"CALLAO",4,1,6,2,1,1,0,0,0,0,2,2,"EDUCACIÓN PRIMARIA","U0092",1,NA,2
1,1,1,2,"LIMA",7,1,6,2,2,2,200,0,0,900,1,2,"MEDICINA HUMANA","U0005",6,1,1
1,1,NA,1,"LIMA",1,1,6,2,1,NA,0,0,0,0,1,2,"INGENIERÍA DE MINAS","U0039",NA,NA,2
1,1,NA,2,"LIMA",1,2,6,2,2,NA,0,0,0,500,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0014",NA,1,2
2,1,1,2,"HUANCAVELICA",1,5,1,2,1,2,0,0,0,0,1,2,"INGENIERÍA AGRÓNOMA","U0091",3,NA,2
2,1,NA,2,"PUNO",1,5,1,2,1,NA,0,0,0,1000,1,2,"CONTABILIDAD","U0053",NA,1,1
1,1,NA,2,"AREQUIPA",1,1,1,2,1,3,0,300,750,0,1,2,"DERECHO","U0052",1,2,1
1,1,NA,1,"LIMA",1,1,6,2,2,2,0,0,0,2000,1,2,"ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES   ( ADMINISTRACIÓN Y NEGOCIOS INTERNACIONALES)","U0027",2,1,1
1,1,NA,2,"LIMA",2,3,5,2,1,2,0,0,3000,0,1,2,"ADMINISTRACIÓN","U0055",1,1,1
2,1,NA,2,"LIMA",1,5,5,2,2,NA,0,0,0,4587,1,2,"MEDICINA HUMANA","U0025",NA,1,1
1,1,NA,1,"CUSCO",2,1,6,2,1,5,0,1400,0,3400,2,2,"ZOOTECNIA","U0044",2,1,1
