"","Edad","Genero","Carrera","Ciclo","Participacion","Cantidad","Tipo","Actividades","Horas_Actividades","Satisfaccion","Horas_Estudios","Orden_de_merito","Reprobado","Relación_rendimiento","Nivel_habilidades","Relacion_habilidades","Amistades","Test_Social","Test_Liderazgo"
"132",23,"Masculino","Ingeniería Industrial","10","Sí",1,"Tecnológica","Idioma",8,"Medianamente satisfecho",12,"Medio superior","Sí","No afectan.","Medianamente Alto","Si, afectan positivamente.",10,5.75,7.5
"133",19,"Masculino","Ciencia de la Computación","5","Sí",4,"Deportiva, Académicas","Fútbol, Música, PingPong, Programación Competitiva",10,"Muy satisfecho",20,"Décimo superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",25,9,6.88
"134",17,"Femenino","Ingeniería Industrial","3","Sí",1,"Artística","Dibujo",10,"Muy satisfecho",30,"Ninguno","Sí","No afectan.","Medianamente Bajo","No afectan.",4,2.75,2.88
"135",19,"Masculino","Ingeniería Mecatrónica","5","Sí",2,"Académicas, Voluntariado, Idiomas, Trabajo","Enseñando cursos STEM a niños de habla inglesa, participando en las actividades de IEEE",4,"Muy satisfecho",27,"Medio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",13,7,6.5
"136",18,"Femenino","Ingeniería Mecánica","2","Sí",1,"Idiomas","Inglés",5,"Medianamente satisfecho",15,"Medio superior","No","No afectan.","Regular","No afectan.",1,5,6.38
"137",20,"Masculino","Ciencia de la Computación","7","Sí",2,"Deportiva, Tecnológica","Artes Marciales",8,"Medianamente satisfecho",21,"Décimo superior","No","No afectan.","Medianamente Alto","Si, afectan positivamente.",3,8.5,7.13
"138",18,"Masculino","Ingeniería Mecatrónica","3","Sí",3,"Deportiva, Idiomas","Fútbol, Inglés, PingPong",7,"Extremadamente satisfecho",7,"Medio superior","Sí","Si, afectan positivamente","Alto","Si, afectan positivamente.",10,5,10
"139",18,"Masculino","Ingeniería Electrónica","2","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",6,"Ingresé el 2023-1","Sí","Si, afectan positivamente","Alto","Si, afectan positivamente.",0,2,3
"140",21,"Masculino","Ingeniería Mecatrónica","7","Sí",1,"Académicas","Proyecto universitario",4,"Muy satisfecho",20,"Ninguno","Sí","Si, afectan positivamente","Medianamente Bajo","Si, afectan positivamente.",4,6,3.5
"141",22,"Masculino","Ingeniería Mecánica","9","No",0,"Ninguna","Ninguna",0,"Muy satisfecho",20,"Quinto superior","Sí","No afectan.","Medianamente Alto","Si, afectan positivamente.",0,6,6.75
"142",18,"Masculino","Ingeniería Electrónica","3","Sí",1,"Deportiva","PingPong",1,"Medianamente satisfecho",10,"Tercio superior","Sí","No afectan.","Regular","Si, afectan positivamente.",5,5,5
"143",18,"Masculino","Administración y Negocios Digitales","7","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",20,"Décimo superior","No","No afectan.","Alto","No afectan.",0,5.75,7.5
"144",20,"Masculino","Ingeniería Mecánica","7","Sí",1,"Idiomas","Inglés",10,"Medianamente satisfecho",20,"Medio superior","Sí","No afectan.","Bajo","No afectan.",0,4.5,5.13
"145",19,"Masculino","Ciencia de la Computación","3","Sí",2,"Deportiva, Artística","Música, Entrenamiento",14,"Muy satisfecho",14,"Décimo superior","No","Si, afectan positivamente","Alto","Si, afectan positivamente.",2,9,9
"146",18,"Otro","Administración y Negocios Digitales","3","Sí",1,"Deportiva","Fútbol",12,"Muy satisfecho",12,"10 primeros puestos","No","No afectan.","Medianamente Alto","No afectan.",3,4.75,6.88
"147",19,"Masculino","Bioingeniería","6","Sí",1,"Artística","Dibujo",5,"Muy satisfecho",20,"Décimo superior","No","No afectan.","Regular","Si, afectan positivamente.",5,8,7
"148",22,"Femenino","Ingeniería Civil","4","Sí",1,"Idiomas","Ninguna",5,"Muy satisfecho",12,"Medio superior","Sí","No afectan.","Regular","Si, afectan positivamente.",5,3,4
"149",21,"Masculino","Ingeniería Industrial","4","Sí",1,"Deportiva","Fútbol",5,"Muy satisfecho",10,"Tercio superior","No","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",3,5.37,7.3
"150",19,"Femenino","Ingeniería Industrial","4","Sí",1,"Idiomas","Inglés",10,"Medianamente satisfecho",30,"Quinto superior","No","No afectan.","Medianamente Alto","Si, afectan positivamente.",10,6.5,6.7
"151",22,"Femenino","Ingeniería Industrial","4","Sí",2,"Artística","Danza",2,"Muy satisfecho",5,"Tercio superior","No","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",5,9.25,8
"152",21,"Femenino","Ingeniería Química","7","No",0,"Ninguna","Ninguna",0,"Muy satisfecho",9,"Ninguno","Sí","No afectan.","Regular","Si, afectan positivamente.",3,1,1
"153",22,"Masculino","Ingeniería Mecánica","9","Sí",1,"Deportiva","Videojuegos",7,"Muy satisfecho",24,"Quinto superior","Sí","No afectan.","Medianamente Alto","Si, afectan positivamente.",3,7.25,6.63
"154",17,"Masculino","Ingeniería Mecánica","1","Sí",1,"Académicas","Mentorias académicas",2,"Muy satisfecho",40,"Ingresé el 2023-1","No","Si, afectan positivamente","Medianamente Alto","No afectan.",2,5.75,5.5
"155",18,"Femenino","Ciencia de la Computación","2","Sí",1,"Idiomas","Inglés",3,"Medianamente satisfecho",8,"Décimo superior","No","Si, afectan positivamente","Regular","Si, afectan positivamente.",1,5,7
"156",23,"Masculino","Ingeniería Industrial","10","No",0,"Ninguna","Ninguna",0,"Extremadamente satisfecho",5,"Décimo superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",3,5.25,6.63
"157",18,"Femenino","Ciencia de Datos","5","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",30,"Ninguno","Sí","Si, afectan positivamente","Regular","Si, afectan positivamente.",3,6,6.25
"158",19,"Femenino","Ciencia de la Computación","5","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",45,"Ingresé el 2023-1","Sí","No afectan.","Medianamente Alto","Si, afectan positivamente.",2,6.75,6.65
"159",18,"Masculino","Ingeniería Mecatrónica","3","No",0,"Ninguna","Ninguna",0,"Extremadamente satisfecho",8,"Tercio superior","Sí","No afectan.","Medianamente Alto","Si, afectan positivamente.",0,8,6
"160",17,"Masculino","Ingeniería Mecatrónica","1","No",0,"Ninguna","Ninguna",0,"Extremadamente satisfecho",18,"Ingresé el 2023-1","No","No afectan.","Regular","No afectan.",0,9.5,6.5
"161",21,"Masculino","Ingeniería Mecatrónica","2","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",36,"Ninguno","Sí","No afectan.","Regular","No afectan.",5,5.25,6.38
"162",18,"Femenino","Ingeniería Mecatrónica","3","Sí",2,"Deportiva, Voluntariado","Equitación",9,"Muy satisfecho",27,"Quinto superior","No","Si, afectan positivamente","Regular","Si, afectan positivamente.",15,6,5.38
"163",18,"Masculino","Ciencia de la Computación","3","No",0,"Ninguna","Ninguna",0,"Extremadamente satisfecho",20,"Medio superior","Sí","No afectan.","Medianamente Alto","Si, afectan positivamente.",0,8.75,8.25
"164",17,"Masculino","Ciencia de la Computación","3","Sí",1,"Trabajo","Trabajo",6,"Poco satisfecho",36,"Décimo superior","No","Si, afectan negativamente","Medianamente Alto","Si, afectan negativamente",1,6.25,6.75
"165",17,"Masculino","Ciencia de la Computación","3","Sí",2,"Académicas, Idiomas","Inglés, Curso de Programación",4,"Muy satisfecho",28,"Tercio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",10,8,6.75
"166",20,"Masculino","Bioingeniería","4","Sí",2,"Deportiva, Artística","Danza, Fútbol",4,"Muy satisfecho",30,"Ninguno","Sí","Si, afectan positivamente","Regular","Si, afectan positivamente.",4,3.5,4.63
"167",19,"Masculino","Ingeniería Civil","4","No",0,"Ninguna","Ninguna",0,"Extremadamente satisfecho",10,"Tercio superior","Sí","No afectan.","Alto","No afectan.",0,6,7
"168",19,"Masculino","Ingeniería Civil","4","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",6,"Medio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",7,6.75,8.13
"169",19,"Masculino","Ingeniería Civil","4","Sí",2,"Deportiva, Idiomas","Fútbol, Inglés",8,"Muy satisfecho",20,"Ninguno","Sí","Si, afectan negativamente","Medianamente Alto","No afectan.",5,7.75,5.63
"170",18,"Masculino","Bioingeniería","4","Sí",3,"Artística, Voluntariado, Idiomas","Dibujo, Música",4,"Extremadamente satisfecho",6,"Tercio superior","Sí","Si, afectan positivamente","Alto","Si, afectan positivamente.",6,9.5,9.5
"171",21,"Masculino","Ingeniería Civil","4","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",20,"Tercio superior","Sí","No afectan.","Medianamente Alto","No afectan.",0,5.5,6.25
"172",20,"Masculino","Ingeniería Civil","4","Sí",2,"Artística, Académicas","Danza, Música",6,"Muy satisfecho",70,"Tercio superior","No","No afectan.","Regular","Si, afectan positivamente.",10,6,7
"173",18,"Femenino","Bioingeniería","4","Sí",1,"Deportiva","Vóley",5,"Medianamente satisfecho",42,"Ninguno","No","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",5,8.25,9
"174",20,"Femenino","Bioingeniería","4","Sí",1,"Académicas","Inglés",9,"Muy satisfecho",10,"Ninguno","No","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",20,8.5,6.25
"175",19,"Masculino","Ingeniería Civil","5","Sí",2,"Deportiva, Artística, Idiomas","Basquet, Inglés",7,"Medianamente satisfecho",7,"Medio superior","Sí","No afectan.","Alto","No afectan.",2,7,9
"176",19,"Femenino","Bioingeniería","4","Sí",4,"Deportiva, Artística, Voluntariado, Idiomas","Danza, Fútbol, Inglés, Música, Teatro",25,"Muy satisfecho",36,"Medio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",100,7.5,7.13
"177",17,"Masculino","Ciencia de la Computación","3","Sí",3,"Deportiva, Voluntariado, Trabajo","Basquet, PingPong",10,"Muy satisfecho",6,"Medio superior","Sí","Si, afectan negativamente","Alto","Si, afectan positivamente.",30,8,9.13
"178",20,"Masculino","Ingeniería Mecánica","2","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",10,"Tercio superior","No","No afectan.","Regular","No afectan.",0,6,7.13
"179",20,"Otro","Ingeniería Química","5","Sí",1,"Artística","Dibujo",5,"Muy satisfecho",15,"Quinto superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",5,3,7
"180",18,"Masculino","Ciencia de Datos","3","Sí",1,"Idiomas","Japonés",14,"Muy satisfecho",6,"Medio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",5,5,7
"181",21,"Masculino","Ciencia de la Computación","3","Sí",1,"Trabajo","Profesor particular de C20A",4,"Extremadamente satisfecho",40,"Medio superior","Sí","Si, afectan positivamente","Alto","Si, afectan positivamente.",10,8.5,8.5
"182",20,"Masculino","Ingeniería Civil","4","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",14,"Tercio superior","No","No afectan.","Regular","No afectan.",0,7.5,6.5
"183",21,"Masculino","Ingeniería Química","5","Sí",1,"Deportiva","Fútbol",6,"Muy satisfecho",20,"Medio superior","Sí","No afectan.","Medianamente Alto","No afectan.",7,8.5,8.5
"184",17,"Masculino","Ingeniería Química","1","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",5,"Quinto superior","No","No afectan.","Regular","No afectan.",0,5,5.5
"185",23,"Masculino","Ingeniería Mecatrónica","8","Sí",2,"Deportiva, Voluntariado","Fútbol, Voluntariado",8,"Extremadamente satisfecho",20,"Tercio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",10,8.5,7.5
"186",18,"Masculino","Ingeniería Mecatrónica","5","Sí",3,"Deportiva, Académicas, Voluntariado","PingPong, IEEE RAS, UTTC",12,"Extremadamente satisfecho",10,"Medio superior","Sí","No afectan.","Alto","No afectan.",40,8.75,7
