Marca temporal,¿En qué departamento te encuentras? (Ejemplo: Loreto),¿Qué tipo de conexión a internet usas? ,¿Qué empresa es tu distribuidor de internet? ,¿Qué monto en soles pagas por este servicio? (Ejemplo: 50),¿Cuánto es tu ping? (Ejemplo: 2),"¿Cuál es tu velocidad de carga? (En Mbps, ejemplo: 100)","¿Cuál es tu velocidad de descarga? (En Mbps, ejemplo: 20)",¿Cuántas horas utilizas el internet al día? ,¿Cuántas personas utilizan el internet? ,¿Para qué usas el internet? ,¿Qué tan conforme está con su servicio de internet? ,¿Qué problemas ha tenido con su internet? ,"¿Qué velocidad de descarga máxima te ofrece tu plan de Internet? (En Mbps, ejemplo: 100)","¿Qué velocidad de carga máxima te ofrece tu plan de Internet? (En Mbps, ejemplo: 30)"
5/11/2021 2:08:56,La Libertad,Wifi,Claro,70,15,5.14,8.15,Más de 8 horas,3,"Clases en línea, Ver videos, Escuchar música",2,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",50,15
5/11/2021 2:12:14,Lima,Wifi,Movistar,95,35,12.14,26.18,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea",3,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom., Otros",100,30
5/11/2021 2:14:37,Lima,Wifi,Movistar,60,24,2.16,3.18,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales",1,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",30,10
5/11/2021 2:17:31,Lima,Wifi,Claro,60,32,4.51,6.14,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",2,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",30,10
5/11/2021 2:39:00,Lima,Wifi,Movistar,60,21,2.87,3.14,Más de 8 horas,1,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",1,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom., Otros",30,10
5/11/2021 2:44:57,Lima,Wifi,Claro,90,6,14.15,18.46,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Escuchar música",3,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos",100,30
5/11/2021 2:47:27,La Libertad,Cable,Movistar,95,15,16.15,25.19,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",4,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Otros",100,30
5/11/2021 2:50:56,Cajamarca,Wifi,Claro,70,27,3.14,4.15,Más de 8 horas,2,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",1,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom., Otros",50,15
5/11/2021 2:58:38,Amazonas,Cable,Claro,90,23,9.15,15.48,Más de 8 horas,6,"Clases en línea, Ver videos, Escuchar música",3,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos, Otros",100,30
5/11/2021 3:08:15,Lima,Wifi,Movistar,80,16,18,40,De 5 a 8 horas,2,"Clases en línea, Ver videos, Otros",4,Otros,60,20
5/11/2021 3:14:02,Ancash,Wifi,Red Andina,70,23,97,21,Más de 8 horas,4,"Clases en línea, Escuchar música",4,La conexión se pierde por algunos segundos,117,24
5/11/2021 6:48:19,Lima,Datos,Entel,160,322,4.10,10.98,De 5 a 8 horas,1,"Clases en línea, Escuchar música",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos",10.98,4.1
5/11/2021 7:54:39,Arequipa,Cable,Cablemas,60,30,8,20,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",2,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Otros",30,10
5/11/2021 9:06:39,Lima,Cable,Win,150,7,100,100,Más de 8 horas,2,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",5,La conexión se pierde por algunos segundos,100,100
5/11/2021 9:25:47,Lima,Cable,Movistar,100,9,33.33,123.89,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",200,50
5/11/2021 9:33:28,Lima,Cable,Win,450,1,550,550,De 5 a 8 horas,2,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",5,Otros,550,550
5/11/2021 10:22:29,Lima,Wifi,Claro,70,2,110,30,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Escuchar música",3,"La conexión se pierde por algunos segundos, Otros",130,60
5/11/2021 10:25:36,Lima,Wifi,Movistar,120,15,16.71,36.83,De 2 a 5 horas,7,"Clases en línea, Ver videos, Escuchar música",4,La conexión se pierde por algunos minutos,100,30
5/11/2021 11:14:21,Lima,Wifi,Win,100,13,174,200,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",4,"Problemas de audio y video en zoom., Otros",200,175
5/11/2021 13:18:51,Lima,Wifi,Movistar,90,200,10,20,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,La conexión se pierde por algunos minutos,20,20
5/11/2021 16:34:29,Lima,Wifi,Movistar,170,10,32,90,Más de 8 horas,6,"Clases en línea, Ver videos, Redes sociales, Escuchar música, Otros",4,"La conexión se pierde por algunos segundos, Otros",150,30
5/11/2021 17:21:20,Cajamarca,Cable,Movistar,80,21,20,41,De 5 a 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",4,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos",40,20
5/11/2021 18:16:37,Lima,Cable,Claro,100,9,11,50,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",5,Otros,50,11
6/11/2021 9:15:46,Callao,Cable,WIN,129,1,200,200,Más de 8 horas,4,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",5,Otros,200,200
6/11/2021 12:45:41,Lima,Wifi,Claro,70,25,30,50,De 2 a 5 horas,8,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música",3,"La conexión se pierde por algunos segundos, Problemas de audio y video en zoom.",90,50
6/11/2021 17:36:13,Lima,Wifi,Entel,50,3,20,70,Más de 8 horas,2,"Clases en línea, Ver videos, Redes sociales, Escuchar música",4,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom.",70,40
7/11/2021 0:25:45,Lima,Wifi,Bitel,50,2,20,100,De 5 a 8 horas,2,"Clases en línea, Ver videos, Redes sociales, Juegos en línea",4,Demora excesiva de carga o descarga de archivos,100,30
7/11/2021 1:14:12,Lima,Wifi,Movistar,100,80,1.2,38.67,Más de 8 horas,8,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",2,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom., Otros",100,30
7/11/2021 1:16:58,La libertad ,Wifi,Claro,80,10,56,15,Más de 8 horas,5,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos",70,15
7/11/2021 1:25:47,Lima ,Cable,Claro,60,3,46.7,47.8,De 5 a 8 horas,3,"Clases en línea, Redes sociales, Escuchar música",3,Demora excesiva de carga o descarga de archivos,47,49
7/11/2021 4:05:38,Ancash,Wifi,Movistar,110,35,20,80,Menos de 2 horas,2,"Clases en línea, Ver videos, Redes sociales, Escuchar música",5,Otros,130,50
7/11/2021 5:20:44,Lima,Cable,Claro,70,10,10.4,23,De 5 a 8 horas,4,"Clases en línea, Redes sociales, Escuchar música",3,La conexión se pierde por algunos minutos,50,15
7/11/2021 5:40:34,Puno,Datos,Claro,50,40,5.2,7.3,Menos de 2 horas,1,"Clases en línea, Redes sociales",2,La conexión se pierde por algunos minutos,30,10
7/11/2021 9:40:01,Lima,Cable,Claro,90,16,15.4,20.6,Más de 8 horas,3,"Clases en línea, Ver videos, Redes sociales, Juegos en línea, Escuchar música, Otros",3,"La conexión se pierde por algunos segundos, Demora excesiva de carga o descarga de archivos",100,30
7/11/2021 9:52:27,Cuzco,Wifi,Movistar ,60,32,1.56,2.94,Más de 8 horas,4,"Clases en línea, Ver videos, Escuchar música",1,"La conexión se pierde por algunos minutos, Demora excesiva de carga o descarga de archivos, Problemas de audio y video en zoom., Otros",20,10
7/11/2021 9:59:11,Callao,Cable,Claro,50,15,7.5,20,De 5 a 8 horas,5,"Clases en línea, Juegos en línea",4,La conexión se pierde por algunos segundos,30,25
7/11/2021 10:04:20,Amazonas,Wifi,Movistar,120,30,25.76,27.71,Menos de 2 horas,1,Clases en línea,3,"La conexión se pierde por algunos segundos, La conexión se pierde por algunos minutos",50,40
7/11/2021 10:10:21,Arequipa,Cable,Claro,100,15,12.34,50.7,Más de 8 horas,6,"Clases en línea, Ver videos, Redes sociales, Escuchar música",4,Otros,120,40
