"Genero","Edad","Carrera","Ciclo_actual","Promedio_primer_ciclo","Creditos_ciclo_pasado","Promedio_ciclo_pasado","Numero_de_cursos","Rendimiento_academico","Considera_predominancia_masculino","Considera_predominancia_femenino","Factores_eleccion_de_carrera","considero_cambiar_de_carrera","carrera_considero_cambiarse","considero_retirarse_universdad","razones_considero_retirarse_universdad"
"Masculino",19,"2. Ingeniería Industrial",4,14,12,15,6,"3. Regular","2. Ingenieria Industrial, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social, 4. Vocación, 5. Otros","1. Sí","Ingenieria Mecatrónica","2. No","7. No lo he considerado"
"Femenino",20,"7. Ingenieria Civil",4,13,21,13.45,7,"3. Regular","7. Ingenieria Civil","2. Ingenieria Industrial","1. Entorno Familiar, 3. Entorno Social","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",20,"1. Ingeniería Ambiental",3,14,17,14,5,"2. Bueno","2. Ingenieria Industrial, 3. Ingenieria de la Energía, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 4. Ingenieria Mecatrónica, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar","1. Sí","Ingenieria Industrial","2. No","7. No lo he considerado"
"Femenino",20,"7. Ingenieria Civil",5,14,24,13,7,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 3. Entorno Social, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",20,"7. Ingenieria Civil",6,15.71,19,14.16,6,"2. Bueno","3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","3. Entorno Social, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",18,"7. Ingenieria Civil",2,13.85,20,13.85,5,"3. Regular","7. Ingenieria Civil","2. Ingenieria Industrial","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",19,"2. Ingeniería Industrial",4,17,21,16,5,"3. Regular","3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales","4. Vocación, 5. Otros","1. Sí","Ingenieria Química","2. No","7. No lo he considerado"
"Masculino",23,"7. Ingenieria Civil",6,12,24,13,6,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil","8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",22,"5. Ingenieria Mecánica",7,12,12,12,7,"2. Bueno","5. Ingenieria Mecánica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 7. Ingenieria Civil, 9. Bioingeniería, 10. Administración y Negocios Digitales","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",19,"1. Ingeniería Ambiental",3,13.87,21,13.78,6,"3. Regular","2. Ingenieria Industrial, 3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 10. Administración y Negocios Digitales, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 3. Entorno Social, 4. Vocación","2. No","No lo he considerado","3. Tal vez","1. Problemas Financieros"
"Masculino",21,"7. Ingenieria Civil",4,14.33,22,12.33,6,"2. Bueno","7. Ingenieria Civil","1. Ingenieria Ambiental, 9. Bioingeniería","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",18,"12. Ciencia de la Computación",3,14.5,20,15,6,"2. Bueno","4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","1. Entorno Familiar, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",20,"7. Ingenieria Civil",4,14.31,26,13.41,7,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química","2. Amigos, 3. Entorno Social","1. Sí","Ingenieria Industrial","2. No","7. No lo he considerado"
"Masculino",22,"3. Ingeniería de la Energía",7,16,22,15,6,"2. Bueno","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",19,"7. Ingenieria Civil",4,16.15,24,16.63,6,"2. Bueno","11. Ciencia de Datos, 12. Ciencia de la Computación","2. Ingenieria Industrial, 9. Bioingeniería","5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",25,"7. Ingenieria Civil",6,14,16,13,4,"3. Regular","4. Ingenieria Mecatrónica, 7. Ingenieria Civil","2. Ingenieria Industrial, 10. Administración y Negocios Digitales","1. Entorno Familiar","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",24,"2. Ingeniería Industrial",4,13,12,13,2,"3. Regular","2. Ingenieria Industrial, 3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 8. Ingenieria Química, 11. Ciencia de Datos, 12. Ciencia de la Computación","2. Ingenieria Industrial","3. Entorno Social, 5. Otros","1. Sí","Administración y Negocios Digitales","2. No","7. No lo he considerado"
"Femenino",18,"9. Bioingeniería",3,14.6,19,15.85,6,"3. Regular","2. Ingenieria Industrial, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","3. Entorno Social","1. Sí","Ingenieria Industrial","2. No","7. No lo he considerado"
"Femenino",20,"1. Ingeniería Ambiental",3,14.35,21,13.76,6,"2. Bueno","3. Ingenieria de la Energía","1. Ingenieria Ambiental, 9. Bioingeniería","4. Vocación","1. Sí","Bioingeniería","1. Sí","3. La carrera no convence al estudiante"
"Masculino",17,"9. Bioingeniería",3,13.78,20,13,6,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 3. Entorno Social, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",19,"7. Ingenieria Civil",4,16.25,22,14.98,6,"3. Regular","7. Ingenieria Civil","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 2. Amigos","3. Tal vez","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",19,"2. Ingeniería Industrial",4,14.3,21,15.35,6,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social, 4. Vocación","1. Sí","Ciencia de la computación","2. No","7. No lo he considerado"
"Femenino",21,"1. Ingeniería Ambiental",4,15.68,21,12.57,6,"3. Regular","2. Ingenieria Industrial, 4. Ingenieria Mecatrónica","1. Ingenieria Ambiental","1. Entorno Familiar, 3. Entorno Social","1. Sí","Bioingeniería","3. Tal vez","3. La carrera no convence al estudiante"
"Masculino",19,"4. Ingenieria Mecatrónica",4,14,20,14,6,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 12. Ciencia de la Computación","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",22,"4. Ingenieria Mecatrónica",6,15.48,19,14.79,5,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica","2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",20,"2. Ingeniería Industrial",4,17.25,21,16.95,6,"2. Bueno","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","4. Vocación","1. Sí","Ingenieria Civil","2. No","7. No lo he considerado"
"Masculino",20,"7. Ingenieria Civil",5,18.7,24,15.67,6,"2. Bueno","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","2. Amigos, 3. Entorno Social","1. Sí","Ciencia de la computación","3. Tal vez","3. La carrera no convence al estudiante"
"Femenino",18,"2. Ingeniería Industrial",2,13.28,20,13,6,"2. Bueno","4. Ingenieria Mecatrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 10. Administración y Negocios Digitales","1. Entorno Familiar","1. Sí","Ingenieria Mecatrónica","3. Tal vez","3. La carrera no convence al estudiante"
"Masculino",20,"3. Ingeniería de la Energía",3,13,21,13,6,"3. Regular","5. Ingenieria Mecánica","1. Ingenieria Ambiental","5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",20,"7. Ingenieria Civil",4,16.78,22,15.4,6,"2. Bueno","4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 2. Amigos, 3. Entorno Social, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",18,"7. Ingenieria Civil",4,16,22,15,6,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química","1. Entorno Familiar, 3. Entorno Social","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",18,"2. Ingeniería Industrial",2,15.5,20,15.6,6,"3. Regular","2. Ingenieria Industrial","2. Ingenieria Industrial","3. Entorno Social","1. Sí","Ingenieria Mecatrónica","2. No","7. No lo he considerado"
"Masculino",18,"7. Ingenieria Civil",2,14,20,14,6,"2. Bueno","3. Ingenieria de la Energía, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","3. Entorno Social, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",20,"2. Ingeniería Industrial",2,15.68,20,15,6,"2. Bueno","2. Ingenieria Industrial","2. Ingenieria Industrial","4. Vocación","1. Sí","Ingenieria Ambiental","3. Tal vez","4. Conflicto entre el estudio, la familia y el trabajo, 7. No lo he considerado"
"Femenino",18,"2. Ingeniería Industrial",2,17,20,17,6,"3. Regular","7. Ingenieria Civil","2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","3. Entorno Social","3. Tal vez","Bioingeniería","2. No","7. No lo he considerado"
"Masculino",22,"7. Ingenieria Civil",4,15.5,21,14.8,7,"3. Regular","7. Ingenieria Civil","8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 3. Entorno Social","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",19,"1. Ingeniería Ambiental",4,12,16,14,6,"3. Regular","3. Ingenieria de la Energía, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","4. Vocación","2. No","No lo he considerado","3. Tal vez","2. Pobre preparación escolar, 5. Cuando reprueban las asignaturas constantemente, 6. Falta de interacción de calidad con profesores y orientadores"
"Masculino",19,"5. Ingenieria Mecánica",2,12.95,22,12.95,6,"2. Bueno","5. Ingenieria Mecánica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 9. Bioingeniería","4. Vocación","1. Sí","Ingenieria Mecatrónica","2. No","7. No lo he considerado"
"Masculino",18,"9. Bioingeniería",3,17.1,21,16.9,5,"1. Muy Bueno","3. Ingenieria de la Energía, 12. Ciencia de la Computación","2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",17,"8. Ingenieria Química",3,17.1,17,15.59,5,"2. Bueno","2. Ingenieria Industrial, 4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","4. Vocación, 5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",17,"9. Bioingeniería",2,15,20,15,7,"3. Regular","7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",19,"4. Ingenieria Mecatrónica",4,15,12,12,7,"3. Regular","7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","5. Otros","3. Tal vez","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",19,"7. Ingenieria Civil",4,16.75,21,14.32,6,"4. Mal","12. Ciencia de la Computación","9. Bioingeniería","5. Otros","2. No","No lo he considerado","3. Tal vez","3. La carrera no convence al estudiante, 4. Conflicto entre el estudio, la familia y el trabajo, 5. Cuando reprueban las asignaturas constantemente"
"Masculino",18,"9. Bioingeniería",2,14.29,20,14.29,7,"1. Muy Bueno","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 10. Administración y Negocios Digitales","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 11. Ciencia de Datos, 12. Ciencia de la Computación","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",20,"7. Ingenieria Civil",4,13.55,21,14.32,7,"3. Regular","7. Ingenieria Civil","2. Ingenieria Industrial","1. Entorno Familiar, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",19,"3. Ingeniería de la Energía",2,16.85,20,16.85,7,"2. Bueno","5. Ingenieria Mecánica","10. Administración y Negocios Digitales","4. Vocación, 5. Otros","1. Sí","Ciencia de la computación","2. No","7. No lo he considerado"
"Femenino",20,"9. Bioingeniería",2,14,21,14.7,7,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","5. Otros","1. Sí","Ingenieria Industrial","3. Tal vez","2. Pobre preparación escolar, 4. Conflicto entre el estudio, la familia y el trabajo, 5. Cuando reprueban las asignaturas constantemente"
"Masculino",19,"2. Ingeniería Industrial",2,17.1,20,17.1,7,"2. Bueno","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 10. Administración y Negocios Digitales","1. Entorno Familiar, 5. Otros","1. Sí","Ingenieria de la Energía","2. No","7. No lo he considerado"
"Femenino",19,"9. Bioingeniería",2,16,20,16,7,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica","1. Ingenieria Ambiental, 9. Bioingeniería","5. Otros","1. Sí","Ingenieria Industrial","1. Sí","3. La carrera no convence al estudiante"
"Femenino",21,"2. Ingeniería Industrial",5,16.6,21,15.4,6,"3. Regular","7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","3. Entorno Social, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",19,"7. Ingenieria Civil",5,15,14.8,16,6,"2. Bueno","7. Ingenieria Civil","9. Bioingeniería","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",19,"7. Ingenieria Civil",4,15,22,13,6,"2. Bueno","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","4. Vocación","3. Tal vez","Ciencia de Datos","2. No","7. No lo he considerado"
"Masculino",20,"9. Bioingeniería",2,13.125,20,13.125,8,"3. Regular","7. Ingenieria Civil","9. Bioingeniería","5. Otros","3. Tal vez","Ingenieria Ambiental","2. No","7. No lo he considerado"
"Masculino",21,"7. Ingenieria Civil",4,18,22,16,6,"2. Bueno","7. Ingenieria Civil","2. Ingenieria Industrial, 12. Ciencia de la Computación","1. Entorno Familiar","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",22,"7. Ingenieria Civil",5,14,26,13,8,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería","5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",19,"4. Ingenieria Mecatrónica",5,14,18,13,5,"2. Bueno","2. Ingenieria Industrial, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 8. Ingenieria Química","1. Ingenieria Ambiental, 3. Ingenieria de la Energía, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Entorno Familiar, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",20,"5. Ingenieria Mecánica",7,12.52,14,13.64,5,"3. Regular","5. Ingenieria Mecánica","9. Bioingeniería","4. Vocación","1. Sí","Ingenieria Ambiental","2. No","7. No lo he considerado"
"Femenino",19,"9. Bioingeniería",5,16,18,14.43,5,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",20,"3. Ingeniería de la Energía",8,17.4,23,15.7,6,"2. Bueno","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 6. Ingenieria Electrónica, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 4. Vocación, 5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",18,"7. Ingenieria Civil",4,14.5,21,12.6,6,"3. Regular","4. Ingenieria Mecatrónica","1. Ingenieria Ambiental","1. Entorno Familiar","1. Sí","Ingenieria Mecatrónica","2. No","7. No lo he considerado"
"Femenino",21,"9. Bioingeniería",6,13.14,18,16.78,5,"2. Bueno","5. Ingenieria Mecánica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","4. Vocación, 5. Otros","1. Sí","Ingenieria Mecánica","2. No","7. No lo he considerado"
"Masculino",20,"4. Ingenieria Mecatrónica",7,15,17,14,5,"3. Regular","2. Ingenieria Industrial, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 3. Ingenieria de la Energía, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","2. Amigos, 3. Entorno Social, 5. Otros","1. Sí","Ingenieria Mecánica","2. No","7. No lo he considerado"
"Masculino",18,"4. Ingenieria Mecatrónica",5,9.89,12,11.82,5,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 3. Ingenieria de la Energía, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","2. Amigos, 3. Entorno Social","1. Sí","Ciencia de la computación","2. No","7. No lo he considerado"
"Masculino",20,"7. Ingenieria Civil",4,17.67,22,15.67,6,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 3. Ingenieria de la Energía, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",19,"2. Ingeniería Industrial",5,16.5,21,17,6,"2. Bueno","4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica","2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar","1. Sí","Administración y Negocios Digitales","1. Sí","1. Problemas Financieros"
"Masculino",20,"12. Ciencia de la Computación",5,18.24,21,16.71,5,"1. Muy Bueno","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","3. Entorno Social, 4. Vocación, 5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",20,"12. Ciencia de la Computación",5,15,16,14,5,"2. Bueno","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 7. Ingenieria Civil, 8. Ingenieria Química, 9. Bioingeniería","2. Amigos, 3. Entorno Social","2. No","No lo he considerado","1. Sí","1. Problemas Financieros, 2. Pobre preparación escolar, 4. Conflicto entre el estudio, la familia y el trabajo, 5. Cuando reprueban las asignaturas constantemente, 6. Falta de interacción de calidad con profesores y orientadores"
"Femenino",18,"9. Bioingeniería",2,16.4,21,16.4,7,"3. Regular","4. Ingenieria Mecatrónica, 7. Ingenieria Civil","9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social, 4. Vocación","1. Sí","Ingenieria Química","2. No","7. No lo he considerado"
"Masculino",20,"5. Ingenieria Mecánica",6,14,22,13.8,3,"3. Regular","3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","4. Vocación","3. Tal vez","Ingenieria Mecánica","3. Tal vez","3. La carrera no convence al estudiante, 4. Conflicto entre el estudio, la familia y el trabajo, 6. Falta de interacción de calidad con profesores y orientadores"
"Masculino",21,"2. Ingeniería Industrial",5,15,21,16,6,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 4. Vocación","1. Sí","Bioingeniería","2. No","7. No lo he considerado"
"Femenino",21,"9. Bioingeniería",7,14,15,12.33,4,"4. Mal","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 4. Vocación","1. Sí","Ingenieria Industrial","1. Sí","3. La carrera no convence al estudiante, 5. Cuando reprueban las asignaturas constantemente, 6. Falta de interacción de calidad con profesores y orientadores"
"Masculino",20,"3. Ingeniería de la Energía",7,12.25,12,12.11,4,"3. Regular","3. Ingenieria de la Energía, 5. Ingenieria Mecánica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería","3. Entorno Social, 4. Vocación","1. Sí","Ingenieria de la Energía","2. No","7. No lo he considerado"
"Masculino",21,"3. Ingeniería de la Energía",3,14,12,14,5,"3. Regular","1. Ingenieria Ambiental, 5. Ingenieria Mecánica, 7. Ingenieria Civil","2. Ingenieria Industrial, 8. Ingenieria Química, 10. Administración y Negocios Digitales","4. Vocación, 5. Otros","3. Tal vez","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",21,"3. Ingeniería de la Energía",8,12,15,11,5,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","2. Ingenieria Industrial, 7. Ingenieria Civil, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",21,"4. Ingenieria Mecatrónica",5,11,15,13,4,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 9. Bioingeniería","5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",19,"4. Ingenieria Mecatrónica",5,17.45,22,15.32,6,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 4. Vocación","3. Tal vez","Ingenieria Electrónica","2. No","7. No lo he considerado"
"Femenino",20,"9. Bioingeniería",2,11,21,11,7,"4. Mal","4. Ingenieria Mecatrónica","1. Ingenieria Ambiental, 9. Bioingeniería","3. Entorno Social","1. Sí","Ingenieria Ambiental","1. Sí","3. La carrera no convence al estudiante"
