Marca temporal,"                              
Género :
",Edad en años,"
Carrera :
","
Ciclo Académico: 
",Promedio ponderado del primer ciclo (ver sistema académico - notas).,¿Cuántos créditos has llevado el ciclo pasado?  ,Promedio ponderado del ciclo 2022-2 (ver sistema academico - notas),¿Cantidad de cursos que estas llevando?,"
¿Cómo es tu rendimiento académico?
","¿En que carreras de la universidad UTEC, consideras que hay más predominancia de género masculino?","¿En que carreras de la universidad UTEC, consideras que hay más predominancia de género (Femenino)?","
Factores que influyeron en tu elección de carrera:
",¿Has considerado cambiarte de carrera alguna ves?,¿A que carrera consideraste en cambiarte?,"
¿Consideras retirarte de la universidad? 
","
Razones por las que piensas retirarte de la universidad :"
26/04/2023 15:10:16,Femenino,19,1. Ingeniería Ambiental,2,14.65,20,14.65,6,3. Regular,"4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería",5. Otros,1. Sí,Bioingeniería,2. No,3. La carrera no convence al estudiante
26/04/2023 17:40:57,Masculino,20,7. Ingenieria Civil,4,15.07,21,14.85,7,3. Regular,"1. Ingenieria Ambiental, 2. Ingenieria Industrial, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 8. Ingenieria Química, 11. Ciencia de Datos","1. Entorno Familiar, 4. Vocación",1. Sí,Administración y Negocios Digitales,2. No,7. No lo he considerado
26/04/2023 17:47:27,Masculino,19,5. Ingenieria Mecánica,3,12.6,15,11.6,4,3. Regular,5. Ingenieria Mecánica,"2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería",5. Otros,2. No,No lo he considerado,2. No,7. No lo he considerado
26/04/2023 17:52:29,Masculino,19,2. Ingeniería Industrial,5,17.1,24,15.3,6,3. Regular,7. Ingenieria Civil,9. Bioingeniería,"1. Entorno Familiar, 4. Vocación",1. Sí,Ciencia de Datos,2. No,7. No lo he considerado
26/04/2023 17:56:09,Masculino,18,11. Ciencia de datos,2,14,20,12.83,6,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social",1. Sí,Administración y Negocios Digitales,2. No,7. No lo he considerado
26/04/2023 18:03:49,Femenino,19,7. Ingenieria Civil,4,15.52,15,14.2,5,3. Regular,4. Ingenieria Mecatrónica,"1. Ingenieria Ambiental, 8. Ingenieria Química","1. Entorno Familiar, 3. Entorno Social",2. No,No lo he considerado,2. No,7. No lo he considerado
26/04/2023 18:12:52,Masculino,20,7. Ingenieria Civil,3,14,21,14,4,2. Bueno,"2. Ingenieria Industrial, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos",4. Vocación,2. No,Ingenieria Civil,2. No,7. No lo he considerado
26/04/2023 18:30:38,Masculino,20,7. Ingenieria Civil,3,14,21,20,5,3. Regular,7. Ingenieria Civil,9. Bioingeniería,1. Entorno Familiar,1. Sí,Ingenieria Mecatrónica,2. No,"4. Conflicto entre el estudio, la familia y el trabajo"
26/04/2023 18:39:03,Masculino,19,2. Ingeniería Industrial,3,12.80,16,12.8,5,2. Bueno,"2. Ingenieria Industrial, 3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 2. Amigos, 3. Entorno Social, 4. Vocación",3. Tal vez,Ingenieria Civil,2. No,7. No lo he considerado
26/04/2023 18:52:18,Masculino,19,2. Ingeniería Industrial,4,14,12,15,6,3. Regular,"2. Ingenieria Industrial, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social, 4. Vocación, 5. Otros",1. Sí,Ingenieria Mecatrónica,2. No,
26/04/2023 20:31:23,Femenino,20,7. Ingenieria Civil,4,13,21,13.45,7,3. Regular,7. Ingenieria Civil,2. Ingenieria Industrial,"1. Entorno Familiar, 3. Entorno Social",2. No,No lo he considerado,2. No,7. No lo he considerado
26/04/2023 21:13:08,Femenino,20,1. Ingeniería Ambiental,3,14,17,14,5,2. Bueno,"2. Ingenieria Industrial, 3. Ingenieria de la Energía, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 4. Ingenieria Mecatrónica, 8. Ingenieria Química, 9. Bioingeniería",1. Entorno Familiar,1. Sí,Ingenieria Industrial,2. No,7. No lo he considerado
26/04/2023 22:29:48,Femenino,20,7. Ingenieria Civil,5,14,24,13,7,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 3. Entorno Social, 4. Vocación",2. No,No lo he considerado,2. No,7. No lo he considerado
26/04/2023 22:50:24,Femenino,20,7. Ingenieria Civil,6,15.71,19,14.16,6,2. Bueno,"3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","3. Entorno Social, 4. Vocación",2. No,No lo he considerado,2. No,7. No lo he considerado
27/04/2023 0:31:48,Masculino,18,7. Ingenieria Civil,2,13.85,20,13.85,5,3. Regular,7. Ingenieria Civil,2. Ingenieria Industrial,4. Vocación,2. No,No lo he considerado,2. No,7. No lo he considerado
27/04/2023 8:10:17,Femenino,19,2. Ingeniería Industrial,4,17,21,16,5,3. Regular,"3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales","4. Vocación, 5. Otros",1. Sí,Ingenieria Química,2. No,7. No lo he considerado
27/04/2023 9:06:26,Masculino,23,7. Ingenieria Civil,6,12,24,13,6,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil","8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales",4. Vocación,2. No,,2. No,
27/04/2023 9:16:49,Masculino,22,5. Ingenieria Mecánica,7,12,12,12,7,2. Bueno,5. Ingenieria Mecánica,"1. Ingenieria Ambiental, 2. Ingenieria Industrial, 7. Ingenieria Civil, 9. Bioingeniería, 10. Administración y Negocios Digitales",4. Vocación,2. No,No lo he considerado,2. No,7. No lo he considerado
27/04/2023 9:24:08,Masculino,19,1. Ingeniería Ambiental,3,13.87,21,13.78,6,3. Regular,"2. Ingenieria Industrial, 3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 10. Administración y Negocios Digitales, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 3. Entorno Social, 4. Vocación",2. No,No lo he considerado,3. Tal vez,1. Problemas Financieros
27/04/2023 11:35:37,Masculino,21,7. Ingenieria Civil,4,14.33,22,12.33,6,2. Bueno,7. Ingenieria Civil,"1. Ingenieria Ambiental, 9. Bioingeniería",4. Vocación,2. No,No lo he considerado,2. No,7. No lo he considerado
27/04/2023 11:51:50,Masculino,18,12. Ciencia de la Computación,3,14.5,20,15,6,2. Bueno,"4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","1. Entorno Familiar, 4. Vocación",2. No,No lo he considerado,2. No,7. No lo he considerado
27/04/2023 12:20:33,Masculino,17,7. Ingenieria Civil,1,18,20,18,7,2. Bueno,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 4. Vocación",1. Sí,Ingenieria Mecánica,3. Tal vez,3. La carrera no convence al estudiante
27/04/2023 14:44:02,Femenino,20,7. Ingenieria Civil,4,14.31,26,13.41,7,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química","2. Amigos, 3. Entorno Social",1. Sí,Ingenieria Industrial,2. No,7. No lo he considerado
27/04/2023 15:18:40,Masculino,22,3. Ingeniería de la Energía,7,16,22,15,6,2. Bueno,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales",1. Entorno Familiar,2. No,No lo he considerado,2. No,7. No lo he considerado
27/04/2023 15:34:00,Masculino,19,7. Ingenieria Civil,4,16.15,24,16.63,6,2. Bueno,"11. Ciencia de Datos, 12. Ciencia de la Computación","2. Ingenieria Industrial, 9. Bioingeniería",5. Otros,2. No,No lo he considerado,2. No,7. No lo he considerado
27/04/2023 17:18:58,Masculino,25,7. Ingenieria Civil,6,14,16,13,4,3. Regular,"4. Ingenieria Mecatrónica, 7. Ingenieria Civil","2. Ingenieria Industrial, 10. Administración y Negocios Digitales",1. Entorno Familiar,2. No,No lo he considerado,2. No,7. No lo he considerado
27/04/2023 19:22:27,Femenino,24,2. Ingeniería Industrial,4,13,12,13,2,3. Regular,"2. Ingenieria Industrial, 3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 8. Ingenieria Química, 11. Ciencia de Datos, 12. Ciencia de la Computación",2. Ingenieria Industrial,"3. Entorno Social, 5. Otros",1. Sí,Administración y Negocios Digitales,2. No,"1. Problemas Financieros, 4. Conflicto entre el estudio, la familia y el trabajo"
27/04/2023 21:18:32,Femenino,18,9. Bioingeniería,3,14.6,19,15.85,6,3. Regular,"2. Ingenieria Industrial, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería",3. Entorno Social,1. Sí,Ingenieria Industrial,2. No,7. No lo he considerado
27/04/2023 21:25:25,Femenino,20,1. Ingeniería Ambiental,3,14.35,21,13.76,6,2. Bueno,3. Ingenieria de la Energía,"1. Ingenieria Ambiental, 9. Bioingeniería",4. Vocación,1. Sí,Bioingeniería,1. Sí,3. La carrera no convence al estudiante
27/04/2023 21:26:01,Masculino,17,9. Bioingeniería,3,13.78,20,13,6,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 3. Entorno Social, 4. Vocación",2. No,,2. No,
28/04/2023 10:37:35,Masculino,19,7. Ingenieria Civil,4,16.25,22,14.98,6,3. Regular,7. Ingenieria Civil,"1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 2. Amigos",3. Tal vez,No lo he considerado,2. No,7. No lo he considerado
28/04/2023 17:45:53,Femenino,19,2. Ingeniería Industrial,4,14.3,21,15.35,6,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social, 4. Vocación",1. Sí,Ciencia de la computación,2. No,7. No lo he considerado
28/04/2023 22:39:02,Masculino,17,2. Ingeniería Industrial,2,18.75,20,18.75,7,1. Muy Bueno,"2. Ingenieria Industrial, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","1. Entorno Familiar, 3. Entorno Social, 4. Vocación",1. Sí,,1. Sí,3. La carrera no convence al estudiante
29/04/2023 0:05:26,Femenino,21,1. Ingeniería Ambiental,4,15.68,21,12.57,6,3. Regular,"2. Ingenieria Industrial, 4. Ingenieria Mecatrónica",1. Ingenieria Ambiental,"1. Entorno Familiar, 3. Entorno Social",1. Sí,Bioingeniería,3. Tal vez,3. La carrera no convence al estudiante
29/04/2023 9:33:45,Masculino,19,4. Ingenieria Mecatrónica,4,14,20,14,6,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 12. Ciencia de la computación",4. Vocación,2. No,No lo he considerado,2. No,7. No lo he considerado
29/04/2023 15:22:01,Femenino,22,4. Ingenieria Mecatrónica,6,15.48,19,14.79,5,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica","2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales",4. Vocación,2. No,No lo he considerado,2. No,7. No lo he considerado
29/04/2023 16:04:45,Masculino,20,2. Ingeniería Industrial,4,17.25,21,16.95,6,2. Bueno,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería",4. Vocación,1. Sí,Ingenieria Civil,2. No,7. No lo he considerado
29/04/2023 19:34:59,Masculino,20,7. Ingenieria Civil,5,18.70,24,15.67,6,2. Bueno,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","2. Amigos, 3. Entorno Social",1. Sí,Ciencia de la computación,3. Tal vez,3. La carrera no convence al estudiante
29/04/2023 21:45:46,Femenino,18,2. Ingeniería Industrial,2,13.28,20,13,6,2. Bueno,"4. Ingenieria Mecatrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 10. Administración y Negocios Digitales",1. Entorno Familiar,1. Sí,Ingenieria Mecatrónica,3. Tal vez,3. La carrera no convence al estudiante
30/04/2023 23:09:52,Masculino,20,3. Ingeniería de la Energía,3,13,21,13,6,3. Regular,5. Ingenieria Mecánica,1. Ingenieria Ambiental,5. Otros,2. No,No lo he considerado,2. No,7. No lo he considerado
1/05/2023 10:36:19,Femenino,20,7. Ingenieria Civil,4,16.78,22,15.4,6,2. Bueno,"4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 2. Amigos, 3. Entorno Social, 4. Vocación",2. No,No lo he considerado,2. No,7. No lo he considerado
2/05/2023 0:30:54,Masculino,18,7. Ingenieria Civil,4,16,22,15,6,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química","1. Entorno Familiar, 3. Entorno Social",2. No,No lo he considerado,2. No,7. No lo he considerado
2/05/2023 9:16:04,Femenino,18,2. Ingeniería Industrial,2,15.5,20,15.6,6,3. Regular,2. Ingenieria Industrial,2. Ingenieria Industrial,3. Entorno Social,1. Sí,Ingenieria Mecatrónica,2. No,5. Cuando reprueban las asignaturas constantemente
2/05/2023 19:09:07,Masculino,18,7. Ingenieria Civil,2,14,20,14,6,2. Bueno,"3. Ingenieria de la Energía, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","3. Entorno Social, 4. Vocación",2. No,No lo he considerado,2. No,7. No lo he considerado
2/05/2023 19:13:08,Femenino,20,2. Ingeniería Industrial,2,15.68,20,15,6,2. Bueno,2. Ingenieria Industrial,2. Ingenieria Industrial,4. Vocación,1. Sí,Ingenieria Ambiental,3. Tal vez,"4. Conflicto entre el estudio, la familia y el trabajo, 7. No lo he considerado"
2/05/2023 19:14:59,Femenino,18,2. Ingeniería Industrial,2,17,20,17,6,3. Regular,7. Ingenieria Civil,"2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería",3. Entorno Social,3. Tal vez,Bioingeniería,2. No,7. No lo he considerado
2/05/2023 20:26:44,Masculino,22,7. Ingenieria Civil,4,15.5,21,14.8,7,3. Regular,7. Ingenieria Civil,"8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 3. Entorno Social",2. No,Ciencia de la computación,2. No,7. No lo he considerado
3/05/2023 8:32:52,Prefiero no decirlo,18,9. Bioingeniería,3,12.3,24,11.5,5,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 7. Ingenieria Civil, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 2. Amigos, 3. Entorno Social, 4. Vocación",1. Sí,Ciencia de la computación,2. No,
3/05/2023 8:57:57,Masculino,17,12. Ciencia de la Computación,1,15,20,15,6,2. Bueno,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 10. Administración y Negocios Digitales, 11. Ciencia de Datos","1. Entorno Familiar, 3. Entorno Social, 4. Vocación",2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 10:36:51,Femenino,19,1. Ingeniería Ambiental,4,12,16,14,6,3. Regular,"3. Ingenieria de la Energía, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales",4. Vocación,2. No,No lo he considerado,3. Tal vez,"2. Pobre preparación escolar, 5. Cuando reprueban las asignaturas constantemente, 6. Falta de interacción de calidad con profesores y orientadores"
3/05/2023 11:15:32,Masculino,19,5. Ingenieria Mecánica,2,12.95,22,12.95,6,2. Bueno,"5. Ingenieria Mecánica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 9. Bioingeniería",4. Vocación,1. Sí,Ingenieria Mecatrónica,2. No,7. No lo he considerado
3/05/2023 12:04:43,Masculino,18,9. Bioingeniería,3,17.1,21,16.9,5,1. Muy Bueno,"3. Ingenieria de la Energía, 12. Ciencia de la Computación","2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 4. Vocación",2. No,,2. No,
3/05/2023 16:40:59,Femenino,17,8. Ingenieria Química,3,17.1,17,15.59,5,2. Bueno,"2. Ingenieria Industrial, 4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","4. Vocación, 5. Otros",2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 16:42:08,Masculino,17,9. Bioingeniería,2,15,20,15,7,3. Regular,"7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química",4. Vocación,2. No,,2. No,
3/05/2023 18:09:05,Masculino,19,4. Ingenieria Mecatrónica,4,15,12,12,7,3. Regular,7. Ingenieria Civil,"1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería",5. Otros,3. Tal vez,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 18:12:40,Femenino,19,7. Ingenieria Civil,4,16.75,21,14.32,6,4. Mal,12. Ciencia de la Computación,9. Bioingeniería,5. Otros,2. No,No lo he considerado,3. Tal vez,"3. La carrera no convence al estudiante, 4. Conflicto entre el estudio, la familia y el trabajo, 5. Cuando reprueban las asignaturas constantemente"
3/05/2023 18:12:50,Masculino,18,9. Bioingeniería,2,14.29,20,14.29,7,1. Muy Bueno,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 10. Administración y Negocios Digitales","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 11. Ciencia de Datos, 12. Ciencia de la computación",4. Vocación,2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 18:16:01,Femenino,20,7. Ingenieria Civil,4,13.55,21,14.32,7,3. Regular,7. Ingenieria Civil,2. Ingenieria Industrial,"1. Entorno Familiar, 4. Vocación",2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 18:16:04,Masculino,19,3. Ingeniería de la Energía,2,16.85,20,16.85,7,2. Bueno,5. Ingenieria Mecánica,10. Administración y Negocios Digitales,"4. Vocación, 5. Otros",1. Sí,Ciencia de la computación,2. No,7. No lo he considerado
3/05/2023 18:17:16,Femenino,20,9. Bioingeniería,2,14,21,14.7,7,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos",5. Otros,1. Sí,Ingenieria Industrial,3. Tal vez,"2. Pobre preparación escolar, 4. Conflicto entre el estudio, la familia y el trabajo, 5. Cuando reprueban las asignaturas constantemente"
3/05/2023 18:17:47,Masculino,19,2. Ingeniería Industrial,2,17.1,20,17.1,7,2. Bueno,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 10. Administración y Negocios Digitales","1. Entorno Familiar, 5. Otros",1. Sí,Ingenieria de la Energía,2. No,7. No lo he considerado
3/05/2023 18:19:32,Femenino,19,9. Bioingeniería,2,16,20,16,7,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica","1. Ingenieria Ambiental, 9. Bioingeniería",5. Otros,1. Sí,Ingenieria Industrial,1. Sí,3. La carrera no convence al estudiante
3/05/2023 18:21:18,Femenino,21,2. Ingeniería Industrial,5,16.6,21,15.4,6,3. Regular,7. Ingenieria Civil,"1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","3. Entorno Social, 4. Vocación",2. No,,2. No,
3/05/2023 18:24:17,Masculino,19,7. Ingenieria Civil,5,15,14.8,16,6,2. Bueno,7. Ingenieria Civil,9. Bioingeniería,4. Vocación,2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 18:27:31,Masculino,19,7. Ingenieria Civil,4,15,22,13,6,2. Bueno,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales",4. Vocación,3. Tal vez,Ciencia de Datos,2. No,7. No lo he considerado
3/05/2023 18:34:18,Masculino,20,9. Bioingeniería,2,13.125,20,13.125,8,3. Regular,7. Ingenieria Civil,9. Bioingeniería,5. Otros,3. Tal vez,Ingenieria Ambiental,2. No,7. No lo he considerado
3/05/2023 18:36:09,Masculino,21,7. Ingenieria Civil,4,18,22,16,6,2. Bueno,7. Ingenieria Civil,"2. Ingenieria Industrial, 12. Ciencia de la computación",1. Entorno Familiar,2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 18:37:57,Masculino,22,7. Ingenieria Civil,5,14,26,13,8,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería",5. Otros,2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 18:39:40,Masculino,19,4. Ingenieria Mecatrónica,5,14,18,13,5,2. Bueno,"2. Ingenieria Industrial, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 8. Ingenieria Química","1. Ingenieria Ambiental, 3. Ingenieria de la Energía, 9. Bioingeniería, 10. Administración y Negocios Digitales, 11. Ciencia de Datos, 12. Ciencia de la computación","1. Entorno Familiar, 4. Vocación",2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 18:40:21,Masculino,20,5. Ingenieria Mecánica,7,12.52,14,13.64,5,3. Regular,5. Ingenieria Mecánica,9. Bioingeniería,4. Vocación,1. Sí,Ingenieria Ambiental,2. No,7. No lo he considerado
3/05/2023 18:45:28,Femenino,19,9. Bioingeniería,5,16,18,14.43,5,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería",4. Vocación,2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 18:48:27,Masculino,20,3. Ingeniería de la Energía,8,17.4,23,15.7,6,2. Bueno,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 6. Ingenieria Electrónica, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 4. Vocación, 5. Otros",2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 18:49:48,Femenino,18,7. Ingenieria Civil,4,14.5,21,12.6,6,3. Regular,4. Ingenieria Mecatrónica,1. Ingenieria Ambiental,1. Entorno Familiar,1. Sí,Ingenieria Mecatrónica,2. No,7. No lo he considerado
3/05/2023 18:51:26,Femenino,21,9. Bioingeniería,6,13.14,18,16.78,5,2. Bueno,"5. Ingenieria Mecánica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","4. Vocación, 5. Otros",1. Sí,Ingenieria Mecánica,2. No,7. No lo he considerado
