Marca temporal,Dirección de correo electrónico,¿Qué ciclo estás cursando este 2023-1?,Edad (años),Peso (Kg),Sexo,Carrera,"Si te encuentras en la universidad. ¿Cuánto tiempo en minutos te demoras en comprar un almuerzo dentro de UTEC? 
Desde que tomas la decisión de almorzar hasta obtener tu almuerzo.","Si te encuentras en la universidad. ¿Cuánto tiempo en minutos te demoras en comprar un almuerzo fuera de UTEC? 
Desde que tomas la decisión de almorzar hasta obtener tu almuerzo.",¿Cuántas veces a la semana compras almuerzos en UTEC? ,¿Cuán satisfecho estas con los almuerzos que compras en UTEC? En caso no consumas coloca la última opción,"¿ Cuánto es lo mínimo de dinero, en soles, que gastas en un almuerzo?
Ejemplo: 10.5","¿ Cuánto es lo máximo de dinero, en soles, que gastas en un almuerzo?
Ejemplo: 15.5",¿Cuál es tu nivel de conocimiento sobre el vegetarianismo? [Nivel],¿Eres vegano o vegetariano?,"¿Cuál es el motivo para adoptar o por el que adoptaste el vegetarianismo a tu vida? 
Si no adoptarías ninguno coloca la última opción ","¿Cuál es la razón principal por la cual no adoptarías una dieta vegetariana? (salud, gusto personal, costo, entre otros)",En caso seas vegano o vegetariano. ¿Hace cuánto tiempo lo eres?,¿Qué tan preocupado estás por la crueldad animal en la producción de alimentos? [Nivel],¿Qué tan importante es para ti la sostenibilidad y el medio ambiente en la elección de alimentos?,"¿Qué tanto conocimiento tienes acerca de las implicaciones ambientales y éticas de la producción de alimentos? (del 1 al 5, donde 1 es muy bajo y 5 es muy alto)","¿Qué tan interesado estarías en aprender más acerca de la dieta vegetariana? 
","¿Qué tan interesado estarías en adoptar una dieta vegetariana en el futuro? (del 1 al 5, donde 1 es nada interesado y 5 es muy interesado)",¿Qué tan fácil es para ti encontrar opciones vegetarianas en UTEC?,"¿Cuánto es lo mínimo de dinero, en soles, que estarías dispuesto a pagar por un almuerzo vegetariano en UTEC?","¿Cuánto es lo máximo de dinero, en soles, que estarías dispuesto a pagar por un almuerzo vegetariano en UTEC?",¿Qué tan fácil es para ti encontrar opciones vegetarianas en UTEC?
2/05/2023 11:09:05,,5,18,72,Masculino,Ingeniería Mecatrónica,0,25,1,Medianamente satisfecho,10,13,Básico,No,Sostenibilidad y medio ambiente,Gusto personal,0,Regular,Importante,3,Muy poco interesado,1,Fácil,10,13,
2/05/2023 11:09:59,,5,20,62,Masculino,Bioingenieria,5,10,1,Medianamente satisfecho,11,15,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,4,Interesado,2,No me importa conseguir alimentos vegetarianos,10,15,
2/05/2023 11:34:46,,4,19,58,Femenino,Ingenieria Civil,0,30,0,No compro alimentos en UTEC,11,18,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Nada,Importante,2,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 12:04:00,,5,22,54,Femenino,Bioingenieria,10,30,3,Nada satisfecho,10,25,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Nada importante,2,Nada interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 12:05:53,,4,17,60,Femenino,Ingenieria Quimica,0,0,0,No compro alimentos en UTEC,12,17,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,3,Interesado,2,No me importa conseguir alimentos vegetarianos,14,18,
2/05/2023 12:06:51,,4,18,70,Masculino,Ingenieria Quimica,0,20,0,No compro alimentos en UTEC,10,20,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Muy importante,2,Interesado,1,No tengo conocimiento sobre alimentos vegetarianos,0,0,
2/05/2023 12:08:33,,4,19,73,Masculino,Ingenieria Civil,15,30,3,No compro alimentos en UTEC,10,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Muy importante,5,Interesado,4,No tengo conocimiento sobre alimentos vegetarianos,10,13,
2/05/2023 12:10:50,,4,22,65,Masculino,Ingenieria Civil,10,40,1,Satisfecho,10,17,Intermedio,No,Salud,Gusto personal,0,Regular,Muy importante,4,Interesado,3,No me importa conseguir alimentos vegetarianos,12,20,
2/05/2023 12:16:27,,4,19,63,Femenino,Ingenieria Civil,30,15,1,Medianamente satisfecho,10,15,Básico,"No, pero desearía serlo",Salud,Salud,2 años,Bastante,Importante,3,Interesado,4,Regular,13,15,
2/05/2023 12:22:54,,4,19,64,Masculino,Ingenieria Civil,30,30,4,Medianamente satisfecho,11,11,Intermedio,No,Salud,Sí adoptaría una dieta vegetariana,0,Nada,Muy importante,1,Interesado,5,Regular,11,11,
2/05/2023 12:22:59,,4,20,70.3,Masculino,Ingenieria Civil,0,20,0,No compro alimentos en UTEC,12,25,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Bastante,Importante,1,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,13,17,
2/05/2023 12:26:53,,5,20,77,Masculino,Ingeniería Mecatrónica,5,15,0,No compro alimentos en UTEC,12,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,3,Muy poco interesado,1,No me importa conseguir alimentos vegetarianos,10,15,
2/05/2023 12:45:06,,4,19,54,Femenino,Ingeniería Mecatrónica,15,20,1,Medianamente satisfecho,11,15,Intermedio,No,Salud,Costo,0,Mucho,Muy importante,4,Muy interesado,4,Difícil,10,12,
2/05/2023 12:49:10,,5,19,58,Femenino,Ingenieria Quimica,15,25,5,Medianamente satisfecho,10,24,Básico,No,Sostenibilidad y medio ambiente,Sí adoptaría una dieta vegetariana,0,Bastante,Muy importante,4,Muy interesado,4,Difícil,14,24,
2/05/2023 13:45:38,,4,20,79,Masculino,Ingenieria Civil,0,0,0,No compro alimentos en UTEC,10,20,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,0,Mucho,Muy importante,5,Interesado,5,No tengo conocimiento sobre alimentos vegetarianos,0,0,
2/05/2023 13:47:25,,5,20,60,Masculino,Ciencias de la computación,0,10,2,No compro alimentos en UTEC,10,14,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,3,Muy interesado,4,Difícil,10,18,
2/05/2023 13:49:55,,4,19,62,Masculino,Ingenieria Industrial,6,20,3,Medianamente satisfecho,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,3,Interesado,2,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 13:56:55,,4,21,72,Masculino,Ingenieria Civil,5,30,4,Satisfecho,10,14,Intermedio,"No, pero desearía serlo",Sostenibilidad y medio ambiente,Gusto personal,0,Poco,Muy importante,4,Interesado,4,Regular,15,25,
2/05/2023 14:29:08,,5,19,49,Femenino,Ingenieria Ambiental,15,20,1,Medianamente satisfecho,10,40,Básico,"No, pero desearía serlo",Sostenibilidad y medio ambiente,Gusto personal,0,Mucho,Muy importante,3,Muy interesado,1,Regular,10,30,
2/05/2023 15:16:57,,5,18,59,Femenino,Ingenieria Civil,14,16,7,Medianamente satisfecho,16,16,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Sí adoptaría una dieta vegetariana,0,Regular,Muy poco importante,3,Muy poco interesado,3,No tengo conocimiento sobre alimentos vegetarianos,17,25,
2/05/2023 15:20:09,,4,22,68,Masculino,Ingenieria Civil,30,60,4,Medianamente satisfecho,13,16,Intermedio,No,Salud,Sí adoptaría una dieta vegetariana,0,Regular,Importante,3,Muy interesado,2,Regular,15,25,
2/05/2023 15:20:26,,4,20,82,Masculino,Ingenieria Civil,15,15,1,Medianamente satisfecho,11,20,Nada,Sí,Creencias,Gusto personal,0,Bastante,Muy poco importante,3,Muy poco interesado,4,Difícil,18,14,
2/05/2023 15:20:37,,5,22,80,Masculino,Ingeniería Mecatrónica,5,10,3,Medianamente satisfecho,12,15,Básico,Sí,Interés por los derechos de los animales,Costo,0,Regular,Nada importante,3,Interesado,3,Regular,15,20,
2/05/2023 15:21:54,,5,21,87,Masculino,Bioingenieria,10,25,3,Satisfecho,12,15,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Importante,4,Interesado,3,Difícil,12,16,
2/05/2023 15:22:00,,4,21,75,Masculino,Bioingenieria,12,10,3,Medianamente satisfecho,10,15,Intermedio,No,Salud,Gusto personal,0,Regular,Importante,2,Interesado,3,Difícil,10,15,
2/05/2023 15:23:14,,5,20,50,Femenino,Bioingenieria,15,10,6,Medianamente satisfecho,10,12,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Bastante,Importante,4,Muy poco interesado,1,Regular,13,15,
2/05/2023 15:23:35,,5,20,46.5,Femenino,Ingenieria de la Energia,7,10,0,Medianamente satisfecho,10,12,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,3,Interesado,3,Difícil,14,15,
2/05/2023 15:41:49,,4,21,70,Femenino,Bioingenieria,10,15,2,Satisfecho,10,15,Básico,No,Salud,Costo,0,Regular,Muy poco importante,3,Interesado,3,No me importa conseguir alimentos vegetarianos,13,15,
2/05/2023 15:44:49,,4,18,45,Femenino,Ingenieria Quimica,0,0,0,No compro alimentos en UTEC,12,15,Básico,No,Salud,Sí adoptaría una dieta vegetariana,0,Regular,Importante,4,Interesado,3,Difícil,15,20,
2/05/2023 15:44:51,,5,21,48,Masculino,Ingenieria Civil,25,0,7,Completamente satisfecho,18,17,Básico,No,Salud,Salud,0,Poco,Importante,4,Muy interesado,3,Regular,17,28,
2/05/2023 15:45:48,,4,22,60.2,Masculino,Ingeniería Mecatrónica,0,15,0,No compro alimentos en UTEC,11,21,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,4,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,12,14,
2/05/2023 15:46:35,,4,20,67,Masculino,Ingeniería Mecatrónica,0,10,0,No compro alimentos en UTEC,11,11,Avanzado,Sí,Salud,Costo,1 año,Mucho,Muy importante,5,Muy interesado,1,Difícil,18,21,
2/05/2023 15:47:08,,5,17,62,Femenino,Ciencias de la computación,0,0,0,No compro alimentos en UTEC,6,15,Intermedio,"No, pero desearía serlo",Salud,Costo,0,Nada,No tengo conocimiento sobre su implicancia,2,Interesado,5,Fácil,0,0,
2/05/2023 15:48:19,,4,21,86,Masculino,Ingenieria Civil,5,20,3,Medianamente satisfecho,12,15,Básico,No,Salud,Gusto personal,0,Bastante,Importante,4,Muy poco interesado,3,Difícil,13,15,
2/05/2023 15:48:55,,5,22,56,Masculino,Ingenieria Mecánica,5,23,4,Medianamente satisfecho,12,16,Intermedio,Sí,Entorno familiar y/o social,Salud,7 meses,Bastante,Muy poco importante,3,Interesado,4,Regular,16,19,
2/05/2023 15:49:45,,5,22,53,Masculino,Ingenieria Quimica,10,12,6,Satisfecho,10,13,Básico,"No, pero desearía serlo",Salud,Costo,0,Regular,Importante,3,Interesado,4,Difícil,13,15,
2/05/2023 15:52:43,,4,19,58.5,Femenino,Ingenieria Civil,0,15,0,No compro alimentos en UTEC,11,17,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,3,Muy poco interesado,3,No tengo conocimiento sobre alimentos vegetarianos,13,20,
2/05/2023 15:53:26,,4,21,57,Masculino,Ciencias de la computación,5,30,1,Medianamente satisfecho,15,17,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,3,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 15:53:53,,5,19,67,Masculino,Ingenieria Industrial,0,20,2,No compro alimentos en UTEC,22,40,Avanzado,No,No adoptaría el veganismo o el vegetarianismo,Salud,0,Regular,Importante,1,Nada interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 16:05:21,,4,18,70,Masculino,Bioingenieria,5,15,3,Medianamente satisfecho,10,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,4,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 16:05:52,,4,20,63,Masculino,Ingenieria Civil,10,30,0,Medianamente satisfecho,12,18,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Mucho,Importante,1,Muy interesado,1,Regular,15,20,
2/05/2023 16:06:51,,4,20,55,Masculino,Ingenieria Industrial,0,20,0,No compro alimentos en UTEC,11,13,Intermedio,"No, pero desearía serlo",Obligación,Sí adoptaría una dieta vegetariana,0,Regular,Muy poco importante,3,Interesado,3,Difícil,18,10,
2/05/2023 16:08:24,,4,19,56,Masculino,Bioingenieria,12,15,0,Medianamente satisfecho,8,12,Avanzado,No,Salud,Sí adoptaría una dieta vegetariana,1 mes,Regular,Muy poco importante,5,Interesado,4,Difícil,12,15,
2/05/2023 16:11:00,,4,20,73,Femenino,Ingenieria Mecánica,15,40,3,Medianamente satisfecho,13,16,Avanzado,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,4,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 16:12:29,,4,18,74,Masculino,Ciencias de la computación,10,20,4,Satisfecho,10,20,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Importante,3,Nada interesado,5,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 16:12:46,,5,20,80,Masculino,Ingenieria Industrial,0,27,0,Medianamente satisfecho,12,20,Básico,No,Salud,Costo,0,Regular,Importante,3,Interesado,2,Difícil,13,18,
2/05/2023 16:12:56,,4,18,70.4,Masculino,Ciencias de la computación,15,20,2,Medianamente satisfecho,10,13.9,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Nada,No tengo conocimiento sobre su implicancia,1,Nada interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 16:13:17,,4,18,78,Masculino,Ingenieria Mecánica,5,0,5,Satisfecho,10,16,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,4,Interesado,2,No tengo conocimiento sobre alimentos vegetarianos,0,0,
2/05/2023 16:13:39,,4,18,57.2,Masculino,Ciencias de la computación,5,15,5,Satisfecho,10,20,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Nada,Importante,4,Nada interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 16:14:07,,4,19,60,Femenino,Ciencias de la computación,30,75,4,No compro alimentos en UTEC,13,30,Intermedio,No,Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,0,Bastante,Muy importante,4,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,12,25,
2/05/2023 16:14:37,,4,118,55.3,Masculino,Ciencias de la computación,10,15,5,Satisfecho,10,19.50,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Mucho,Importante,3,Nada interesado,1,Difícil,10,13,
2/05/2023 16:14:58,,4,18,70,Masculino,Ciencias de la computación,10,0,3,Medianamente satisfecho,10,14.8,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Nada,Muy poco importante,3,Nada interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 16:14:59,,4,18,69,Masculino,Ciencias de la computación,30,60,1,Medianamente satisfecho,10,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,4,Nada interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 16:17:55,,5,20,49.67,Femenino,Mecatrónica,0,0,0,Nada satisfecho,No gasto,No gasto,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Mucho,Muy importante,3,Muy poco interesado,1,No tengo conocimiento sobre alimentos vegetarianos,0,0,
2/05/2023 16:29:57,,5,21,80,Femenino,Ingenieria Ambiental,10,35,6,Medianamente satisfecho,15,20,Intermedio,"No, pero desearía serlo",Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,0,Bastante,Importante,4,Interesado,4,Difícil,10,16,
2/05/2023 16:31:24,,5,21,82,Femenino,Ingenieria Industrial,5,30,3,Medianamente satisfecho,10,15,Básico,"No, pero desearía serlo",Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,0,Regular,Muy importante,5,Interesado,3,Difícil,13,15,
2/05/2023 16:31:33,,4,18,55,Femenino,Bioingenieria,15,10,3,Medianamente satisfecho,15,20,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Importante,2,Muy poco interesado,2,Regular,15,16,
2/05/2023 16:31:46,,5,20,94,Masculino,Ingeniería Mecatrónica,20,40,2,Medianamente satisfecho,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Bastante,Muy importante,4,Muy interesado,3,No tengo conocimiento sobre alimentos vegetarianos,15,20,
2/05/2023 16:32:03,,4,18,78,Masculino,Ingenieria Civil,5,10,2,Medianamente satisfecho,12,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Mucho,Muy importante,3,Muy poco interesado,1,Fácil,10,10,
2/05/2023 16:32:14,,4,22,65,Masculino,Ingenieria Civil,30,30,3,Medianamente satisfecho,11,25,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Mucho,Muy poco importante,3,Muy poco interesado,3,Difícil,16,18,
2/05/2023 16:33:38,,5,21,58.9,Masculino,Ingenieria Civil,0,30,0,No compro alimentos en UTEC,0,0,Básico,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,No tengo conocimiento sobre su implicancia,1,Muy interesado,4,Difícil,15,16,
2/05/2023 16:34:07,,4,21,60,Femenino,Ingenieria Ambiental,15,20,0,Completamente satisfecho,11,15,Intermedio,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Sí adoptaría una dieta vegetariana,0,Bastante,Muy importante,5,Muy interesado,5,Regular,20,25,
2/05/2023 16:34:29,,4,16,70,Femenino,Ingeniería Mecatrónica,5,10,2,Satisfecho,10,16,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Costo,0,Regular,Importante,4,Muy interesado,4,Regular,15,20,
2/05/2023 16:34:30,,4,21,65.5,Masculino,Ingeniería Mecatrónica,30,60,3,Satisfecho,14,15,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Salud,0,Poco,Importante,1,Muy poco interesado,1,Regular,15,15,
2/05/2023 16:34:58,,4,19,45,Femenino,Ingenieria Ambiental,20,20,2,Medianamente satisfecho,13,15,Intermedio,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Sí adoptaría una dieta vegetariana,0,Bastante,Muy importante,5,Muy interesado,5,Regular,15,20,
2/05/2023 16:36:48,,4,20,52.40,Masculino,Ciencias de la computación,10,0,2,Satisfecho,10,15.5,Nada,"No, pero desearía serlo",Salud,Costo,0,Regular,Muy importante,4,Muy poco interesado,3,Difícil,12.5,15,
2/05/2023 16:39:07,,4,18,60,Femenino,Ingenieria Ambiental,5,10,4,Medianamente satisfecho,10,13,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Costo,0,Bastante,Muy importante,4,Muy interesado,3,Difícil,14,20,
2/05/2023 16:40:23,,4,20,58,Femenino,Ingenieria Ambiental,0,10,0,No compro alimentos en UTEC,10,11,Básico,"No, pero desearía serlo",Sostenibilidad y medio ambiente,Costo,0,Bastante,Muy importante,5,Interesado,5,No tengo conocimiento sobre alimentos vegetarianos,10,10,
2/05/2023 16:45:23,,4,19,65,Masculino,Ingenieria Mecánica,20,30,2,Medianamente satisfecho,14,25,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,3,Interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 16:46:50,,4,18,66.5,Masculino,Ingeniería Mecatrónica,10,20,3,Satisfecho,9,20,Básico,No,Salud,Sí adoptaría una dieta vegetariana,0,Regular,Importante,3,Interesado,4,Regular,10,14,
2/05/2023 16:47:07,,4,18,48,Femenino,Bioingenieria,20,30,3,Satisfecho,10,20,Avanzado,"No, pero desearía serlo",Salud,Gusto personal,0,Bastante,Muy importante,4,Muy interesado,4,Regular,19,15,
2/05/2023 16:47:25,,4,17,87,Femenino,Bioingenieria,40,15,0,Medianamente satisfecho,10,40,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,0,Regular,Muy importante,3,Interesado,2,Difícil,10,30,
2/05/2023 16:49:10,,4,19,50,Femenino,Ingenieria Civil,5,10,1,Satisfecho,11,16,Básico,No,Salud,Sí adoptaría una dieta vegetariana,0,Nada,Muy importante,3,Interesado,3,Regular,10,15,
2/05/2023 16:50:21,,4,19,65,Otro,Bioingenieria,20,57,2,Satisfecho,10,14,Intermedio,No,Sostenibilidad y medio ambiente,Costo,0,Bastante,Importante,4,Muy interesado,4,No tengo conocimiento sobre alimentos vegetarianos,12,16,
2/05/2023 16:51:18,,5,18,48,Femenino,Ciencias de la computación,0,0,0,No compro alimentos en UTEC,12,14,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,2,Interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 16:51:27,,4,18,58,Masculino,Ingenieria Industrial,0,25,0,No compro alimentos en UTEC,12,14,Nada,No,No adoptaría el veganismo o el vegetarianismo,Salud,0,Nada,Nada importante,1,Nada interesado,1,No me importa conseguir alimentos vegetarianos,0,0,
2/05/2023 16:58:42,,4,18,69,Masculino,Ingenieria Civil,10,15,0,Satisfecho,11,13,Intermedio,No,Salud,Gusto personal,0,Nada,Muy poco importante,3,Muy poco interesado,2,Regular,10,15,
2/05/2023 16:59:33,,4,19,60.4,Masculino,Ingenieria Civil,0,0,0,No compro alimentos en UTEC,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,3,Interesado,1,Regular,0,0,
2/05/2023 16:59:52,,4,21,64,Femenino,Bioingenieria,20,30,2,Satisfecho,10,15,Intermedio,No,Interés por los derechos de los animales,Salud,0,Regular,Importante,4,Interesado,3,Regular,13,18,
2/05/2023 17:17:16,,4,19,68,Masculino,Ingenieria Industrial,13,20,3,Satisfecho,12,20,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,3,Interesado,3,Regular,17,25,
2/05/2023 17:30:02,,4,18,58,Femenino,Bioingenieria,45,60,2,Satisfecho,13,16,Avanzado,"No, pero desearía serlo",Sostenibilidad y medio ambiente,Costo,0,Bastante,Muy importante,5,Muy interesado,5,Difícil,14,16,
2/05/2023 17:45:38,,4,20,63,Masculino,Ingenieria Civil,25,25,4,Medianamente satisfecho,12,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,0,Regular,Importante,4,Interesado,3,Difícil,0,15,
2/05/2023 18:14:58,,4,19,56.0,Femenino,Bioingenieria,5,20,2,Medianamente satisfecho,13,20,Intermedio,No,Salud,Sí adoptaría una dieta vegetariana,0,Regular,Importante,3,Interesado,4,Regular,13,15,
2/05/2023 18:43:52,,4,19,68.7,Masculino,Bioingenieria,28,20,2,Medianamente satisfecho,12,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,2,Nada interesado,1,No me importa conseguir alimentos vegetarianos,13.5,18.5,
2/05/2023 19:18:50,,4,21,51,Femenino,Ingenieria Industrial,7,15,2,Satisfecho,10,15,Básico,Sí,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Mucho,Muy importante,3,Interesado,1,No tengo conocimiento sobre alimentos vegetarianos,13,20,
2/05/2023 19:33:24,,4,19,60,Masculino,Bioingenieria,5,15,1,Medianamente satisfecho,11,14.8,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,4,Interesado,2,No me importa conseguir alimentos vegetarianos,0,0,
3/05/2023 0:20:37,,4,18,60,Femenino,Ingenieria Industrial,15,30,0,Medianamente satisfecho,13,15,Intermedio,"No, pero desearía serlo",Entorno familiar y/o social,Soy vegetariano o vegano,1 mes,Regular,Muy poco importante,3,Muy poco interesado,3,Difícil,13,26,
3/05/2023 8:54:22,,4,29,52,Femenino,Ingenieria Civil,20,25,1,Medianamente satisfecho,10,13,Avanzado,"No, pero desearía serlo",Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,0,Regular,Importante,4,Interesado,4,Difícil,12,15,
3/05/2023 9:15:40,,5,20,52,Femenino,Ingenieria Ambiental,10,20,1,Medianamente satisfecho,11,40,Básico,"No, pero desearía serlo",Sostenibilidad y medio ambiente,Sí adoptaría una dieta vegetariana,0,Mucho,Muy importante,4,Muy interesado,5,Regular,15,18,
3/05/2023 9:37:50,,4,20,62,Masculino,Ingenieria Civil,0,25,4,Satisfecho,20,30,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,3,Muy interesado,4,No me importa conseguir alimentos vegetarianos,14,20,
3/05/2023 10:14:20,,5,18,85,Masculino,Ingenieria Quimica,5,15,3,Medianamente satisfecho,12,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,3,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,0,0,
3/05/2023 10:14:59,,4,20,68,Masculino,Ingenieria Civil,10,25,4,Completamente satisfecho,15,15,Intermedio,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Soy vegetariano o vegano,23 meses,Regular,Nada importante,5,Nada interesado,4,Difícil,16,30,
3/05/2023 10:16:17,,4,20,58,Femenino,Ingenieria Industrial,15,20,1,Medianamente satisfecho,14,25,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,4,Interesado,2,No tengo conocimiento sobre alimentos vegetarianos,12,15,
3/05/2023 10:30:28,,4,19,65,Masculino,Ingenieria Civil,10,20,5,Medianamente satisfecho,12,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,2,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,0,0,
3/05/2023 10:35:06,,4,19,76.1,Masculino,Ciencias de la computación,5,10,2,Medianamente satisfecho,11,20,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Muy poco importante,3,Muy poco interesado,2,No tengo conocimiento sobre alimentos vegetarianos,17,20,
3/05/2023 10:35:36,,4,19,45,Femenino,Ingenieria Industrial,10,10,0,No compro alimentos en UTEC,10,18,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Bastante,Muy importante,4,Muy poco interesado,4,No me importa conseguir alimentos vegetarianos,15,18,
3/05/2023 11:32:59,,4,18,63,Masculino,Ciencias de la computación,0,0,0,No compro alimentos en UTEC,10,20,Básico,No,Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,0,Mucho,Nada importante,3,Interesado,4,Difícil,13,14,
3/05/2023 11:33:32,,4,19,60,Masculino,Ingenieria Civil,0,20,0,No compro alimentos en UTEC,10,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,4,Muy poco interesado,3,Regular,10,14,
3/05/2023 12:28:49,,4,20,57,Femenino,Ingenieria Industrial,0,15,0,No compro alimentos en UTEC,11,14,Básico,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Importante,3,Muy poco interesado,3,No tengo conocimiento sobre alimentos vegetarianos,10,12,
3/05/2023 16:16:04,,4,21,56,Masculino,Ingeniería Mecatrónica,30,1 hora,7,No compro alimentos en UTEC,11,20,Intermedio,"No, pero desearía serlo",Salud,Sí adoptaría una dieta vegetariana,0,Nada,Nada importante,3,Interesado,4,Difícil,12,20,
