AÑO DE CAMPEONATO,NOMBRE DE EQUIPO,EDAD PROMEDIO DE JUGADORES,PAIS AL QUE PERTENECEN EL CLUB,ETAPA EN EL QUE FUE ELIMINADO,TOTAL DE GOLES POR TORNEO,CANTIDAD DE TARJETAS ROJAS,CANTIDAD DE TARJETAS AMARILLAS,POSESION PROMEDIO DE BALON % POR CAMPEONATO,PROMEDIO DE FALTAS POR CAMPEONATO,CANTIDAD DE PARTIDOS JUGADOS,Prescición de goles a de ocaciones claras,ocaciones claras falladas,ocaciones claras,rendimiento de ocaciones claras
2022,Deportivo Táchira,25.1,Venezuela,cuartos,7,0,15,45,11,4,medio,7,8,12.5
2022,Colo-Colo,29.7,Chile,octavos,4,0,5,46,12.5,2,bueno,1,4,75
2022,The Strongest,26.5,Bolivia,octavos,5,0,4,49,13,2,bueno,1,2,50
2022,Deportivo Cali,24,Colombia,octavos,2,2,4,45.5,8,2,bueno,1,2,50
2022,Sol de América,29.6,Paraguay,previa,5,0,7,59,17,2,bueno,0,1,100
2022,Mushuc Runa,27,Ecuador,previa,3,0,6,41,14.5,2,medio,2,3,33.33333333
2022,Oriente Petrolero,25.4,Bolivia,previa,25,1,22,43.4,16.3,6,bueno,3,7,57.14285714
2022,Royal Pari Sion,26.2,Bolivia,previa,6,0,5,59,13.5,2,medio,4,5,20
2022,Estudiantes de Mérida,24.1,Venezuela,previa,6,2,4,54.5,10,2,medio,4,4,0
2022,Universidad Católica,26.6,Chile,octavos,8,0,4,60,9.5,2,bueno,2,5,60
