,,Edad,Sexo,Ciclo ,Carrera,¿Su familia posee alguna empresa en la que usted pueda trabajar en un futuro?,¿Tiene pensado trabajar en una empresa o formar su propia empresa?,¿Planeas trabajar en el país o ir al extranjero?,¿En qué sector laboral esperas trabajar ? ,¿Estás interesado en llevar una especialización en empresas?,¿Cuál es su expectativa salarial teniendo como mínimo S/.1025 y como máximo S/.6500 soles? (coloque su respuesta solo números ejemplo: 2500)
,,20,Femenino,7,Administración & Negocios Digitales,"No, no tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),Sí,6500
,,21,Masculino,7,Ingeniería Ambiental,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,4900
,,21,Masculino,7,Ingeniería Civil,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,4600
,,20,Masculino,4,Administración & Negocios Digitales,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,4900
,,20,Femenino,4,Ingeniería Electrónica,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,6400
,,22,Masculino,7,Ingeniería Ambiental,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,4500
,,19,Masculino,3,Ingeniería Ambiental,"Sí, tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),No,4800
,,18,Masculino,1,Ingeniería Ambiental,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,6500
,,17,Femenino,2,Ingeniería de la Energía,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,6200
,,18,Femenino,4,Bioingeniería,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,4800
,,21,Masculino,4,Ciencia de la Computación,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),No,6500
,,18,Masculino,2,Ingeniería de la Energía,"No, no tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),Sí,3500
,,25,Masculino,6,Ingeniería Mecatrónica,"Sí, tenemos una empresa",Trabajar para una empresa,Perú,Sector Privado (Empresas Privadas),No,3600
,,18,Masculino,3,Ciencia de la Computación,"Sí, tenemos una empresa",Formar empresa,Perú,Sector Privado (Empresas Privadas),No,4200
,,26,Masculino,5,Bioingeniería,"No, no tenemos una empresa",Formar empresa,Extranjero,Sector Privado (Empresas Privadas),No,4900
