Nombre del proyecto,Universidad,Área de aplicación,Número de carreras involucradas,Año de inicio,En desarrollo o culminado,Financiado por CONCYTEC/FONDYTEC,Cantidad financiada por parte de CONCYTEC/FONDYTEC,Financiado por privados,Cantidad de financiacion por privados,Financiado por universidad,Cantidad financiada por universidad,Autofinanciamiento,Total financiado,Objetivo cumplido,1-4 qué tanto se cumplieron los objetivos,AREA DE APLICACION 1,AREA DE APLICACION 2,AREA DE APLICACION 3,AREA DE APLICACION 4,AREA DE APLICACION 5,CANTIDAD DE AREAS RELACIONADAS
"Exploración de metales estratégicos (In, Ge y Ga) en los Andes Centrales: abastecimiento sostenible de materias primas para la fabricación de tecnologías verdes",PUCP,Ingeniería,,2019,,SI,349932.9,NO,0,NO,0,NO,349932.9,,,,,,,,
"Diseño, Desarrollo e Implementación de Prótesis Mioeléctricas personalizadas de mano con retroalimentación háptica empleando tecnologías de fabricación digital en filamentos de plástico reciclado PET de bajo costo",PUCP,Ingeniería,2,2019,Culminado,SI,200000,NO,0,NO,0,NO,200000,SI,4,ING. MECÁNICA,ING. QUÍMICA,,,,2
Framework usando un componente de preprocesamiento y MARS para la predicción de ventas en las pymes del Perú,UNMSM,Ingeniería,2,2018,Culminado,SI,645800,NO,0,SI,25400,NO,671200,,,,,,,,
Caracterizacion Arqueometrica de la policromia mural y de las ceramicas del sitio pampa la cruz por tecnica de rayos x y refinamiento RIETVELD: contribuyendo a su preservacion,UNMSM,Ciencias,2,2020,En desarrollo,NO,0,NO,0,SI,30000,NO,30000,,,,,,,,
Desarrollo de materiales para almacenamiento de energía a partir de exopolisacáridos obtenidos de la cianobacteria Nostoc commune,PUCP,Ingeniería,1,2019,,NO,0,NO,0,SI,150000,NO,150000,,,,,,,,
Heritage Assessment - Desarrollo de herramientas de ingeniería inversa para el diagnóstico estructural de edificaciones históricas localizadas en áreas sísmicas: El caso de la Iglesia de la Compañía de Jesús en la Plaza de Armas del Cusco,PUCP,Ingeniería,1,2019,Culminado,NO,0,NO,0,SI,180000,NO,180000,SI,3,CS,,,,,1
Evaluación de la integridad de injertos renales empleando coeficientes de retro-dispersión ultrasónicos,PUCP,Ingeniería,2,2019,Culminado,NO,0,NO,0,SI,48600,NO,48600,SI,4,ING. ELECTRÓNICA,INGENIERÍA SONIDO,,,,2
Peruvian Bioinformatics Symposium on Repeat Proteins,PUCP,Ingeniería,2,2019,Culminado,NO,0,SI,74270.5,NO,0,NO,74270.5,SI,3,BIOINGENIERÍA,,,,,1
Mejora de la productividad en la unidad de desarrollo de producto en una empresa de confecciones mediante herramientas Lean Manufacturing,UNMSM,Ingeniería,1,2018,Culminado,NO,0,SI,341500,SI,68710,NO,410210,,,,,,,,
Utilizacion de Cholorella Peruviana como alimento funcional en dietas excluidas de inicio para PIARACTUS BRACHIPOMUS en condiciones de laboratorio y seminatural,UNMSM,Ciencias,1,2018,Culminado,NO,0,NO,0,SI,28700,NO,28700,,,,,,,,
Sistema web de control de asistencia basado en web services y la biometría de huella dactilar para las instituciones educativas,UNMSM,Ingeniería,1,2018,Culminado,SI,642500,SI,247100,NO,0,NO,889600,SI,3,CS,,,,,1
Especies introducidas en cultivos de ARGOPECTEN PURPURATUS: potencial peligro para el desarrollo sostenible de los centros de cultivo,UNMSM,Ciencias,1,2018,Culminado,NO,0,NO,0,SI,28200,NO,28200,SI,3,BIOLOGÍA,,,,,1
Implementación de Lean Manufacturing para mejorar el sistema de producción en una empresa de metalmecánica,UNMSM,Ingeniería,1,2018,Culminado,SI,754600,NO,0,NO,0,NO,754600,,,,,,,,
Impacto de el niño costero 2017 sobre la biodiversidad de la costa del norte del Perú: Evaluación de la respuesta Post.Evento,UNMSM,Ciencias,4,2018,Culminado,NO,0,NO,0,SI,28200,NO,28200,,,,,,,,
Diseño e implementación de un clúster usando JBoss EAP para aumentar la disponibilidad de los servidores de aplicaciones en una entidad del Estado,UNMSM,Ingeniería,2,2018,Culminado,NO,0,SI,345180,SI,76200,NO,421380,,,,,,,,
"Tolerabilidad, seguridad y eficacia del extracto de la raiz de VALERIANA RADICATA GRAEBN, en pacientes con enfermedad de Parkinson temprana",UNMSM,Medicina,3,2017,Culminado,NO,0,NO,0,SI,27550,NO,27550,,,,,,,,
Optimización del proceso de indicadores de gestión a distribuidoras por intermedio de una propuesta metodológica de BPI y el uso de la notación BPMN para una empresa de consumo masivo,UNMSM,Ingeniería,2,2018,Culminado,SI,589200,SI,87520,NO,0,NO,676720,,,,,,,,
Efecto de la estandarización de los silabos con enfoque de competencias en la facultad de medicina de la U.N.M.S.M,UNMSM,Medicina,6,2017,Culminado,NO,0,NO,0,SI,30000,NO,30000,SI,4,MEDICINA,,,,,1
Implementación de plataforma web de participación ciudadana para evaluación de proyectos mineros mediante sistema experto y análisis de sentimientos,UNMSM,Ingeniería,2,2018,Culminado,NO,0,SI,67020,SI,50000,NO,117020,,,,,,,,
"Epidemiologia Mólecular de la enfermedad de chacas en el Peru, estudio del vector y del reservorio humano y animal",UNMSM,Medicina,3,2017,Culminado,NO,0,NO,0,SI,30000,NO,30000,SI,4,MEDICINA,,,,,1
Implementación de una interfaz hardware-software y sus módulos de supervisión y análisis de datos para un sistema de pesaje electrónico,UNMSM,Ingeniería,2,2018,Culminado,NO,0,NO,0,NO,0,SI,0,,,,,,,,
Diseño y evaluación de un convertidor electrónico de potencia bidireccional con técnicas de control avanzado aplicable a sistemas con energías con sistemas renovables,UNMSM,Ingeniería,2,2017,Culminado,NO,0,NO,0,SI,7600,NO,7600,SI,4,"Matemáticas aplicada a ingeniería, ENERGETICA ",,,,,2
Implementación del Framework de automatización de proceso de QA en un proyecto de diseño de software en una consultora,UNMSM,Ingeniería,2,2018,Culminado,NO,0,NO,0,SI,27500,NO,27500,,,,,,,,
Caracterización del SAR y de la variación de la temperatura en el cuerpo de trabajadores que realizan sus actividades cerca de antenas de estaciones base de telefonía móvil,UNMSM,Ingeniería,2,2017,Culminado,NO,0,NO,0,SI,30000,NO,30000,,,,,,,,
"Valorización de la biomasa residual agrícola en el Perú para
su aprovechamiento como bio-combustibles en procesos
térmicos y bio-materiales para las industrias de producción
de cemento y acero.",PUCP,Ingeniería,,2019,,NO,0,NO,0,SI,49990,NO,49990,,,,,,,,
Eficiencia del Amaranthus caudatus como fitoextractor del plomo en suelos contaminados de los grandes parques de Lima Metropolitana,UNMSM,Ingeniería,4,2018,Culminado,SI,647210,NO,0,SI,6500,NO,653710,,,,,,,,
"Caracterización de de la microbiota bacteriana autóctona y alóctona de los humedales de Villa, departamento de Lima, Perú",UNMSM,Ciencias,1,2018,Culminado,NO,0,NO,0,SI,30000,NO,30000,,,,,,,,
"Fortalecimiento de los profesores de educación primaria en ejercicio en la competencia resuelve problemas de gestión de datos e incertidumbre, de los Estándares de Aprendizaje Nacionales.",PUCP,Ciencias,3,2019,,NO,0,NO,0,SI,25000,NO,25000,SI,4,ESTADISTICA,,,,,1
"Automatización del proceso de inscripción y gestión de alumnos en el Centro Preuniversitario de la Universidad Nacional Mayor de San Marcos usando la metodología rup, adecuandolo al uso de software libre",UNMSM,Ingeniería,2,2018,Culminado,SI,587500,NO,0,NO,0,NO,587500,,,,,,,,
Diversidad y ecología de moluscos poliplacóforos de la costa norte tropical del Perú,UNMSM,Ciencias,1,2018,Culminado,NO,0,NO,0,SI,30000,NO,30000,,,,,,,,
Foliaciones algebraicas generadas por una acción holomorfa del grupo afín,PUCP,Ciencias,,2019,,NO,0,NO,0,SI,50000,NO,50000,,,,,,,,
"Reducción de los accidentes incapacitantes por caída de rocas en minería subterránea, teniendo en cuenta la planificación, la negligencia del personal y su cambio de cultura",UNMSM,Ingeniería,4,2018,Culminado,SI,674300,NO,0,SI,3100,NO,677400,,,,,,,,
Identificación molecular de helmintos parásitos en peces de consumo humano de la Amazonía peruana,UNMSM,Ciencias,3,2018,Culminado,NO,0,NO,0,SI,30000,NO,30000,SI,3,BIOLOGÍA,,,,,1
Evaluación de la actividad antimicrobiana de nanopartículas de cobre y de plata obtenidas por método físico y químico,UNMSM,Ciencias,1,2018,Culminado,SI,0,NO,0,SI,30000,NO,30000,,,,,,,,
Optimización de la producción de RAMNOLÍPIDOS con aceite de frituras como fuente de carbono,UNMSM,Ciencias,2,2018,Culminado,NO,0,NO,0,SI,30000,NO,30000,,,,,,,,
Essboard: una herramienta colaborativa para el uso de esencia en el monitoreo de desarrollo de software,UNMSM,Ingeniería,2,2018,Culminado,SI,356150,NO,0,SI,45000,NO,401150,,,,,,,,
Métodos de cálculo de la magnitud de momento sísmico,UNMSM,Ciencias,,2021,En desarrollo,,,,,,,,0,,,,,,,,
Validación de técnicas de construcción de pircas mediante estudios numérico-experimentales con tecnología desarrollada en Perú,PUCP,Ingeniería,,2018,Culminado,SI,297387.4,NO,0,SI,11400,NO,308787.4,,,,,,,,
"Modelo de decisiones racionales y metracionales para la gestion de organizaciones, enfoque exploratorio transdisiplinario de la direccion cientifica",UNMSM,Ingeniería,1,2018,Culminado,NO,0,NO,0,SI,16000,NO,16000,,,,,,,,
Metodología para el análisis prospectivo y de exploración por minerales económicos,UNMSM,Ingeniería,1,2017,Culminado,SI,347650,NO,0,SI,12300,NO,359950,,,,,,,,
Modulación Metabólica del procesamiento postcosecha de la maca para su enriquecimiento en amidas y otros compuestos de interés nutracéutico,PUCP,Ciencias,,2017,Culminado,NO,0,SI,799702,SI,131554,NO,931256,,,,,,,,
