"Marca temporal","Género","Edad","¿En qué universidad estudias?","¿Qué carrera estudias?","¿Cuánto es tu promedio ponderado general? (Utilice el punto decimal)","¿Te consideras un 'GAMER'?","¿A qué edad dirías que empezaste a jugar videojuegos?","¿En qué plataformas juegas videojuegos regularmente?","¿Cuál es tu género de videojuego favorito?","¿Cuánto dinero has invertido en videojuegos? ","¿Cuántas horas semanales dirías que jugabas videojuegos al inicio de la pandemia?","¿Cuántas horas semanales dirías que juegas videojuegos actualmente?","¿Cuántas horas le dedicas al estudio semanalmente?","En la escala del 1 al 5, ¿cuánto crees que jugar videojuegos ha afectado a tus estudios?"
"2022/06/21 12:54:05 a. m. GMT-5","Masculino","21","UTEC","Energia","14.32","No","7","Dispositivo móvil","Ritmo","S/.0","2","2","20","1"
"2022/06/21 12:54:09 a. m. GMT-5","Femenino","16","UP","Negocios Internacionales","16.1","No","11","Nintendo","Estrategia","Entre S/.0 y S/.100","10","4","20","1"
"2022/06/21 12:54:14 a. m. GMT-5","Masculino","19","UTEC","Ingeneiria quimica","16.46","Sí","10","Playstation","MOBA","Entre S/.5000 y S/.10000","76","20","50","3"
"2022/06/21 12:56:33 a. m. GMT-5","Masculino","20","UP","Finanzas","13.5","Sí","7","Playstation","Deportivo","Entre S/.2000 y S/.5000","40","15","30","4"
"2022/06/21 12:58:43 a. m. GMT-5","Masculino","20","UTEC","Ingeniería de la energía ","14.45 ","Sí","8","PC","MOBA","Más de S/.10000","15","3","19","3"
"2022/06/21 12:59:08 a. m. GMT-5","Masculino","19","ULima","Ingeniería Industrial","14","No","15","Playstation","Deportivo","Entre S/.1000 y S/.2000","16","10","8","4"
"2022/06/21 1:01:16 a. m. GMT-5","Masculino","18","UPCH","Derecho","15.6","Sí","14","Playstation","MMO RPG","Entre S/.5000 y S/.10000","60","15","68","4"
"2022/06/21 1:01:32 a. m. GMT-5","Masculino","16","UTEC","Ingeniería Informática","14.3","Sí","8","PC","Casino","Más de S/.10000","30","20","23","4"
"2022/06/21 1:02:30 a. m. GMT-5","Masculino","20","UTEC","Ingeniería Industrial","12","Sí","10","PC","Platformer","Entre S/.5000 y S/.10000","12","12","15","3"
"2022/06/21 1:02:38 a. m. GMT-5","Femenino","18","UTEC","Ciencias de la Computación","16","Sí","10","Dispositivo móvil","Casino","Más de S/.10000","30","27","25","3"
"2022/06/21 1:04:52 a. m. GMT-5","Masculino","22","UTEC","Ingeniería ambiental ","14.45 ","Sí","6","PC","Estrategia","Más de S/.10000","14","13","30","2"
"2022/06/21 1:06:05 a. m. GMT-5","Masculino","21","ULima","Ingeniería Industrial","12","Sí","14","Playstation","Carreras","Entre S/.5000 y S/.10000","15","15","16","3"
"2022/06/21 1:06:22 a. m. GMT-5","Masculino","22","ULima","Biologia ","13.69","Sí","10","Xbox","Survival","Entre S/.2000 y S/.5000","56","32","80","4"
"2022/06/21 1:06:34 a. m. GMT-5","Masculino","22","UTEC","Ingenieria civil","14.7 ","Sí","9","PC","MOBA","Más de S/.10000","18","12","19","1"
"2022/06/21 1:07:13 a. m. GMT-5","Femenino","19","ULima","Comunicaciones","14.7","Sí","13","PC","Casino","Entre S/.5000 y S/.10000","38","25","12","5"
"2022/06/21 1:07:34 a. m. GMT-5","Masculino","22","UTEC","Ingeniería civil","14.7 ","Sí","7","PC","Estrategia","Más de S/.10000","15","7","19","1"
"2022/06/21 1:07:36 a. m. GMT-5","Otro","18","ULima","mecatrónica","12","Sí","7","PC","MOBA","Entre S/.1000 y S/.2000","22","20","14","5"
"2022/06/21 1:11:44 a. m. GMT-5","Masculino","22","UTEC","Ingeniería ambiental","16.8 ","Sí","8","PC","Carreras","Más de S/.10000","17","12","18","2"
"2022/06/21 1:13:57 a. m. GMT-5","Femenino","19","ULima","Economia","18.75","Sí","09","Playstation","MMO RPG","Entre S/.2000 y S/.5000","32","65","43","5"
"2022/06/21 1:14:50 a. m. GMT-5","Masculino","22","UTEC","Ciencias de la Computación","16.4","Sí","17","Nintendo","Platformer","Más de S/.10000","50","25","17","4"
"2022/06/21 1:15:33 a. m. GMT-5","Femenino","17","ULima","Administración","16.09","Sí","10","PC","Shooters","Entre S/.5000 y S/.10000","85","56","87","3"
"2022/06/21 1:16:45 a. m. GMT-5","Femenino","24","UPC","Medicina ","14.57","No","14","PC","Estrategia","Entre S/.1000 y S/.2000","45","10","80","2"
"2022/06/21 1:17:00 a. m. GMT-5","Masculino","23","UTEC","Ingeniería ambiental ","14.45 ","Sí","12","PC","Carreras","Entre S/.5000 y S/.10000","12","4","17","1"
"2022/06/21 1:18:11 a. m. GMT-5","Masculino","22","UTEC","Ingenieria mecatronica ","15.28","Sí","15","Playstation","Carreras","Más de S/.10000","70","35","40","3"
"2022/06/21 1:18:14 a. m. GMT-5","Masculino","20","ULima","Ingeniería Industrial","15.9","Sí","10","PC","MOBA","Entre S/.5000 y S/.10000","35","28","25","4"
"2022/06/21 1:19:57 a. m. GMT-5","Masculino","19","UTEC","Ingeniería Industrial","14","Sí","5","PC","Estrategia","Entre S/.100 y S/.1000","12","6","3","2"
"2022/06/21 1:21:18 a. m. GMT-5","Femenino","18","ULima","Ingeniería Mecatrónica","15.5","Sí","7","Playstation","Shooters","Entre S/.2000 y S/.5000","29","10","14","3"
"2022/06/21 1:21:37 a. m. GMT-5","Masculino","17","ULima","Ingenieria civil","16.56","Sí","13","PC","Platformer","Entre S/.5000 y S/.10000","65","25","40","3"
"2022/06/21 1:21:49 a. m. GMT-5","Masculino","18","UTEC","Ingeniería industrial ","16.8 ","Sí","13","PC","Estrategia","Más de S/.10000","13","11","18","2"
"2022/06/21 1:21:56 a. m. GMT-5","Masculino","21","UTEC","Ciencias de la computación","13.07","Sí","10","PC","MMO RPG","Entre S/.5000 y S/.10000","12","13","12","3"
"2022/06/21 1:23:00 a. m. GMT-5","Masculino","22","UPC","Ingeniería civil","13.4 ","Sí","13","PC","Carreras","Entre S/.5000 y S/.10000","18","3","20","1"
"2022/06/21 1:23:00 a. m. GMT-5","Masculino","21","UTEC","Ambiental","13.89","Sí","12","Playstation","Carreras","Más de S/.10000","35","32","10","4"
"2022/06/21 1:23:35 a. m. GMT-5","Femenino","22","UTEC","Ingenieria civil","12.76","Sí","10","PC","MMO RPG","Más de S/.10000","75","35","20","5"
"2022/06/21 1:24:09 a. m. GMT-5","Femenino","18","UTP","Marketing Digital","13.2","Sí","9","Dispositivo móvil","Estrategia","Entre S/.1000 y S/.2000","55","35","8","5"
"2022/06/21 1:24:32 a. m. GMT-5","Masculino","21","UTEC","Ingeniería ambiental ","17.04 ","Sí","11","PC","Estrategia","Entre S/.5000 y S/.10000","18","3","20","2"
"2022/06/21 1:25:53 a. m. GMT-5","Masculino","22","UTEC","Ingeniería mecánica ","16.8 ","Sí","9","Playstation","Estrategia","Entre S/.5000 y S/.10000","16","3","19","2"
"2022/06/21 1:26:58 a. m. GMT-5","Masculino","17","ULima","Comunicaciones","12.1","Sí","8","Playstation","Shooters","Más de S/.10000","42","28","15","4"
"2022/06/21 1:28:27 a. m. GMT-5","Masculino","22","UTEC","Ingeniería ambiental ","17.04 ","Sí","12","Playstation","MOBA","Entre S/.5000 y S/.10000","17","12","20","1"
"2022/06/21 1:29:05 a. m. GMT-5","Masculino","19","Otra","Producción Musical","17.2","Sí","10","PC","Shooters","Entre S/.100 y S/.1000","35","25","20","2"
"2022/06/21 1:30:11 a. m. GMT-5","Otro","17","UPC","gastronomia","15.46","Sí","15","PC","Deportivo","Entre S/.2000 y S/.5000","40","30","40","3"
"2022/06/21 1:30:49 a. m. GMT-5","Masculino","20","UTEC","Ciencias de la Computación","16.5","Sí","7","Playstation","Shooters","Entre S/.5000 y S/.10000","40","29","26","4"
"2022/06/21 1:30:50 a. m. GMT-5","Masculino","23","UTEC","Ingeniería mecatrónica ","16.8","Sí","11","PC","Carreras","Más de S/.10000","20","2","24","2"
"2022/06/21 1:31:03 a. m. GMT-5","Masculino","24","UTEC","Ingenieria industrial","13.46","Sí","6","PC","Shooters","Más de S/.10000","48","40","5","3"
"2022/06/21 1:31:48 a. m. GMT-5","Masculino","17","ULima","Ingeniería Industrial","14.8","Sí","11","Dispositivo móvil","Estrategia","Entre S/.1000 y S/.2000","45","30","22","4"
"2022/06/21 1:32:53 a. m. GMT-5","Femenino","21","UPC","Arquitectura","18.1","No","14","Dispositivo móvil","Estrategia","Entre S/.0 y S/.100","20","5","25","1"
"2022/06/21 1:33:51 a. m. GMT-5","Masculino","17","ULima","arquitectura","16.54","Sí","13","Playstation","Shooters","Entre S/.2000 y S/.5000","68","25","35","5"
"2022/06/21 1:34:20 a. m. GMT-5","Masculino","16","UTEC","Ingeniería Mecatrónica","16.6","Sí","9","PC","Roguelike","Más de S/.10000","50","35","30","5"
"2022/06/21 1:35:15 a. m. GMT-5","Femenino","23","UTEC","Ingeneiria industrial ","16.67","Sí","14","Playstation","Survival","Entre S/.2000 y S/.5000","69","25","60","3"
"2022/06/21 1:35:20 a. m. GMT-5","Masculino","19","UTEC","Ingenieria Quimica","15.29","Sí","5","Playstation","Shooters","Más de S/.10000","28","4","20","2"
"2022/06/21 1:35:26 a. m. GMT-5","Masculino","16","ULima","Ingeniería de Sistemas","15","Sí","9","PC","Shooters","Entre S/.2000 y S/.5000","45","25","16","3"
"2022/06/21 1:36:16 a. m. GMT-5","Masculino","21","ULima","Ingeniería civil ","12","Sí","16","Playstation","Carreras","Entre S/.1000 y S/.2000","18","14","7","5"
"2022/06/21 1:36:16 a. m. GMT-5","Masculino","21","UTEC","Ingeniería industrial ","14.6","Sí","14","PC","Platformer","Más de S/.10000","17","13","19","1"
