"","HORA","DEPARTAMENTO","CODE_VIA","KILOMETRO","MODALIDAD","FALLECIDOS","HERIDOS","LATITUD","LONGITUD","ANNO","MES","DIA"
"627",6.67,"APURIMAC","PE-30A",308,"DESPISTE",0,0,-13.95,NA,"2020","FEBRERO","08"
"628",5.5,"ANCASH","PE-1N",374,"CHOQUE",0,0,-92.75,-76.44,"2020","FEBRERO","08"
"629",6.67,"HUANUCO","PE-1S",516,"CHOQUE",1,0,-98.8,-75.76,"2020","FEBRERO","08"
"630",4.75,"AREQUIPA","PE-1S",668,"DESPISTE",0,0,-15.6,-70.47,"2020","FEBRERO","08"
"631",13.33,"AREQUIPA","PE-1S",716,"CHOQUE",0,3,-15.6,-70.47,"2020","FEBRERO","08"
"632",22.13,"LAMBAYEQUE","PE-1N",819,"CHOQUE",0,1,-66.81,-78.1,"2020","FEBRERO","08"
"633",17.17,"CUSCO","PE-3S",879,"DESPISTE",0,3,-12.47,-70.04,"2020","FEBRERO","08"
"634",20,"AREQUIPA","PE-1S",931,"DESPISTE",0,1,-15.6,-70.47,"2020","FEBRERO","08"
"635",5.33,"PIURA","PE-02A",3,"DESPISTE",0,2,-50.22,-79.35,"2020","FEBRERO","09"
"636",18.67,"CUSCO","PE-30",3,"CHOQUE",0,2,-12.47,-70.04,"2020","FEBRERO","09"
"637",17.5,"LORETO","LO-103",5,"CHOQUE",0,1,-41.68,-73.79,"2020","FEBRERO","09"
"638",17.17,"LORETO","LO-103",12,"DESPISTE",0,1,-41.68,-73.79,"2020","FEBRERO","09"
"639",16,"TACNA","MO-108",14,"DESPISTE",0,6,-18,-69.76,"2020","FEBRERO","09"
"640",17.5,"LIMA","PE-1S",24,"CHOQUE",0,1,-11.96,-76.96,"2020","FEBRERO","09"
"641",12,"LIMA","PE-20A",27,"DESPISTE",0,2,-11.96,-76.96,"2020","FEBRERO","09"
"642",1.5,"LIMA","PE-1N",47,"ATROPELLO",0,1,-11.96,-76.96,"2020","FEBRERO","09"
"643",22.5,"LIMA","PE-1S",56,"ATROPELLO",1,NA,-11.96,-76.96,"2020","FEBRERO","09"
"644",23,"LIMA","PE-22",65,"CHOQUE",0,3,-11.96,-76.96,"2020","FEBRERO","09"
"645",2,"CAJAMARCA","PE-06B",67,"DESPISTE",0,0,-70.39,-77.49,"2020","FEBRERO","09"
"646",16.5,"CUSCO","PE-28B",68,"CHOQUE",0,0,-12.47,-70.04,"2020","FEBRERO","09"
"647",14,"CUSCO","PE-28B",68,"CHOQUE",0,0,-12.47,-70.04,"2020","FEBRERO","09"
"648",17.83,"CAJAMARCA","PE-3N",77,"DESPISTE",0,1,-70.39,-77.49,"2020","FEBRERO","09"
"649",18.33,"AREQUIPA","PE-34A",88,"CHOQUE",0,1,-15.6,-70.47,"2020","FEBRERO","09"
"650",10.5,"LIMA","PE-22",92,"DESPISTE",0,1,-11.96,-76.96,"2020","FEBRERO","09"
"651",9.67,"LIMA","PE-1S",113,"CHOQUE",1,0,-11.96,-76.96,"2020","FEBRERO","09"
"652",22.25,"AREQUIPA","PE-34A",120,"CHOQUE",0,4,-15.6,-70.47,"2020","FEBRERO","09"
"653",15.58,"MOQUEGUA","PE-36A",123,"DESPISTE",0,2,-16.81,-69.07,"2020","FEBRERO","09"
"654",16.5,"CAJAMARCA","PE-08B",132,"CHOQUE",0,2,-70.39,-77.49,"2020","FEBRERO","09"
"655",8.17,"AYACUCHO","PE-28A",228,"DESPISTE",0,0,-12.84,-73.78,"2020","FEBRERO","09"
"656",7.5,"LIMA","PE-1N",236,"CHOQUE",0,2,-11.96,-76.96,"2020","FEBRERO","09"
"657",16.33,"ICA","PE-1S",269,"ESPECIAL",0,0,-13.93,-74.27,"2020","FEBRERO","09"
"658",2.17,"AMAZONAS","PE-5N",280,"DESPISTE",0,8,-50.85,-77.89,"2020","FEBRERO","09"
"659",0.5,"AMAZONAS","PE-08B",321,"DESPISTE",0,1,-50.85,-77.89,"2020","FEBRERO","09"
"660",14.25,"MADRE DE DIOS","PE-30C",386,"CHOQUE",0,1,-10.24,-69.19,"2020","FEBRERO","09"
"661",3.17,"HUANUCO","PE-5N",453,"CHOQUE",0,1,-98.8,-75.76,"2020","FEBRERO","09"
"662",14.92,"ANCASH","PE-3N",638,"DESPISTE",1,1,-92.75,-76.44,"2020","FEBRERO","09"
"663",23.13,"LAMBAYEQUE","PE-1S",815,"CHOQUE",0,0,-66.81,-78.1,"2020","FEBRERO","09"
"664",4.67,"CUSCO","PE-3S",NA,"VOLCADURA",0,1,-12.47,-70.04,"2020","FEBRERO","09"
"665",15.75,"CAJAMARCA","PE-08",9,"DESPISTE",0,0,-70.39,-77.49,"2020","FEBRERO","10"
"666",15.25,"AREQUIPA","PE-34E",36,"CHOQUE",0,0,-15.6,-70.47,"2020","FEBRERO","10"
"667",20.17,"LIMA","PE-1N",43,"CHOQUE",1,16,-11.96,-76.96,"2020","FEBRERO","10"
"668",13.17,"LIMA","PE-22",46,"ATROPELLO",0,1,-11.96,-76.96,"2020","FEBRERO","10"
"669",17.5,"LIMA","PE-22",50,"DESPISTE",0,1,-11.96,-76.96,"2020","FEBRERO","10"
"670",8.25,"LIMA","PE-22",69,"DESPISTE",0,3,-11.96,-76.96,"2020","FEBRERO","10"
"671",10.5,"LIMA","PE-1N",82,"CHOQUE",0,3,-11.96,-76.96,"2020","FEBRERO","10"
"672",7,"HUANCAVELICA","PE-28A",114,"DESPISTE",1,3,-11.22,-73.03,"2020","FEBRERO","10"
"673",7,"HUANCAVELICA","PE-28A",114,"DESPISTE",1,3,-11.22,-73.03,"2020","FEBRERO","10"
"674",21.5,"AREQUIPA","PE-34A",156,"DESPISTE",0,3,-15.6,-70.47,"2020","FEBRERO","10"
"675",0.5,"PUNO","PE-34A",206,"DESPISTE",1,2,-14.16,-69.98,"2020","FEBRERO","10"
"676",10.17,"SAN MARTIN","PE-5N",515,"DESPISTE",0,3,-71.56,-75.18,"2020","FEBRERO","10"
"677",13,"CAJAMARCA","PE-08",693,"DESPISTE",1,2,-70.39,-77.49,"2020","FEBRERO","10"
"678",19.5,"AREQUIPA","PE-1S",791,"CHOQUE",0,2,-15.6,-70.47,"2020","FEBRERO","10"
"679",16.33,"APURIMAC","PE-3S",833,"DESPISTE",0,2,-13.95,NA,"2020","FEBRERO","10"
"680",19.5,"APURIMAC","PE-3S",833,"CHOQUE",0,0,-13.95,NA,"2020","FEBRERO","10"
"681",5.33,"LIMA","PE-22",29,"CHOQUE",0,0,-11.96,-76.96,"2020","FEBRERO","11"
"682",16.5,"AREQUIPA","PE-34E",31,"DESPISTE",0,0,-15.6,-70.47,"2020","FEBRERO","11"
"683",0.17,"LIMA","PE-1S",53,"CHOQUE",0,1,-11.96,-76.96,"2020","FEBRERO","11"
"684",16.83,"AREQUIPA","PE-34A",147,"CHOQUE",0,2,-15.6,-70.47,"2020","FEBRERO","11"
"685",11.33,"LIMA","PE-1N",186,"CHOQUE",0,3,-11.96,-76.96,"2020","FEBRERO","11"
"686",23.67,"ICA","PE-1S",187,"CHOQUE",0,4,-13.93,-74.27,"2020","FEBRERO","11"
"687",13.25,"ANCASH","PE-1N",392,"DESPISTE",0,0,-92.75,-76.44,"2020","FEBRERO","11"
"688",19.42,"SAN MARTIN","PE-5N",512,"CHOQUE",0,2,-71.56,-75.18,"2020","FEBRERO","11"
"689",10.5,"LAMBAYEQUE","PE-1N",779,"CHOQUE",0,1,-66.81,-78.1,"2020","FEBRERO","11"
"690",20,"PUNO","PE-3S",1227,"CHOQUE",0,1,-14.16,-69.98,"2020","FEBRERO","11"
"691",7.75,"CAJAMARCA","PE-06B",47,"DESPISTE",0,2,-70.39,-77.49,"2020","FEBRERO","12"
"692",4.5,"TACNA","PE-36A",75,"DESPISTE",0,0,-18,-69.76,"2020","FEBRERO","12"
"693",0.33,"AREQUIPA","PE-34A",100,"DESPISTE",0,NA,-15.6,-70.47,"2020","FEBRERO","12"
"694",13.67,"JUNIN","PE-22",137,"DESPISTE",0,3,-10.85,-74.01,"2020","FEBRERO","12"
"695",12.58,"ICA","PE-1S",187,"DESPISTE",0,1,-13.93,-74.27,"2020","FEBRERO","12"
"696",5,"PUNO","PE-34A",205,"DESPISTE",0,0,-14.16,-69.98,"2020","FEBRERO","12"
"697",6.33,"ICA","PE-1S",226,"DESPISTE",0,2,-13.93,-74.27,"2020","FEBRERO","12"
"698",10.67,"PUNO","PE-34A",246,"DESPISTE",0,0,-14.16,-69.98,"2020","FEBRERO","12"
"699",7.75,"AREQUIPA","PE-1S",811,"DESPISTE",0,0,-15.6,-70.47,"2020","FEBRERO","12"
"700",18.5,"CUSCO","PE-3S",1007,"CHOQUE",0,0,-12.47,-70.04,"2020","FEBRERO","12"
"701",22.33,"CUSCO","PE-3S",1026,"DESPISTE",0,1,-12.47,-70.04,"2020","FEBRERO","12"
"702",2.67,"CUSCO","PE-3S",1045,"VOLCADURA",0,3,-12.47,-70.04,"2020","FEBRERO","12"
"703",23.5,"CUSCO","PE-28G",18,"ATROPELLO",1,0,-12.47,-70.04,"2020","FEBRERO","13"
"704",17.5,"JUNIN","PE-3SA",20,"DESPISTE",0,1,-10.85,-74.01,"2020","FEBRERO","13"
"705",9.33,"UCAYALI","PE-18C",24,"CHOQUE",0,0,-97.75,NA,"2020","FEBRERO","13"
"706",15.5,"CAJAMARCA","PE-06B",35,"CHOQUE",0,10,-70.39,-77.49,"2020","FEBRERO","13"
"707",0.5,"PIURA","PE-36A",65,"DESPISTE",0,0,-50.22,-79.35,"2020","FEBRERO","13"
"708",17.5,"ANCASH","PE-3N",93,"CHOQUE",0,2,-92.75,-76.44,"2020","FEBRERO","13"
"709",21,"LIMA","PE-1S",96,"CHOQUE",0,0,-11.96,-76.96,"2020","FEBRERO","13"
"710",21.58,"LIMA","PE-1S",131,"ATROPELLO",1,0,-11.96,-76.96,"2020","FEBRERO","13"
"711",17.83,"JUNIN","PE-22",136,"CHOQUE",3,3,-10.85,-74.01,"2020","FEBRERO","13"
"712",4.75,"MOQUEGUA","PE-1SD",226,"DESPISTE",0,1,-16.81,-69.07,"2020","FEBRERO","13"
"713",17.5,"APURIMAC","PE-3S",251,"CHOQUE",0,1,-13.95,NA,"2020","FEBRERO","13"
"714",12.5,"ICA","PE-1S",328,"CHOQUE",0,1,-13.93,-74.27,"2020","FEBRERO","13"
"715",7,"ANCASH","PE-1N",345,"DESPISTE",0,1,-92.75,-76.44,"2020","FEBRERO","13"
"716",10.5,"ICA","PE-1S",362,"DESPISTE",1,3,-13.93,-74.27,"2020","FEBRERO","13"
"717",19.67,"LAMBAYEQUE","PE-1N",761,"CHOQUE",0,1,-66.81,-78.1,"2020","FEBRERO","13"
"718",17.5,"PIURA","PE-1N",1027,"CHOQUE",0,1,-50.22,-79.35,"2020","FEBRERO","13"
"719",19.5,"ICA","PE-28A",37,"DESPISTE",0,NA,-13.93,-74.27,"2020","FEBRERO","14"
"720",2.42,"LIMA","PE-1N",38,"DESPISTE",0,0,-11.96,-76.96,"2020","FEBRERO","14"
"721",8.33,"CAJAMARCA","PE-08B",42,"DESPISTE",0,0,-70.39,-77.49,"2020","FEBRERO","14"
"722",15,"ANCASH","AN-107",46,"CHOQUE",0,9,-92.75,-76.44,"2020","FEBRERO","14"
"723",15.5,"LIMA","PE-1S",59,"CHOQUE",0,4,-11.96,-76.96,"2020","FEBRERO","14"
"724",6.75,"ANCASH","PE-12A",64,"DESPISTE",0,1,-92.75,-76.44,"2020","FEBRERO","14"
"725",18,"LIMA","PE-1S",86,"ATROPELLO",1,0,-11.96,-76.96,"2020","FEBRERO","14"
"726",23.03,"LIMA","PE-1S",88,"DESPISTE",0,0,-11.96,-76.96,"2020","FEBRERO","14"
"727",19,"AMAZONAS","PE-5N",94,"ATROPELLO",0,1,-50.85,-77.89,"2020","FEBRERO","14"
"728",15.33,"LIMA","PE-22",114,"CHOQUE",0,3,-11.96,-76.96,"2020","FEBRERO","14"
"729",19.17,"ANCASH","PE-16",117,"DESPISTE",0,0,-92.75,-76.44,"2020","FEBRERO","14"
"730",13.67,"LIMA","PE-1S",126,"CHOQUE",0,0,-11.96,-76.96,"2020","FEBRERO","14"
"731",3.83,"JUNIN","PE-22",143,"CHOQUE",0,0,-10.85,-74.01,"2020","FEBRERO","14"
"732",12.5,"HUANCAVELICA","PE-28A",160,"DESPISTE",0,1,-11.22,-73.03,"2020","FEBRERO","14"
"733",NA,"JUNIN","PE-22",165,"ATROPELLO",0,1,-10.85,-74.01,"2020","FEBRERO","14"
"734",5.33,"ICA","PE-1S",410,"CHOQUE",0,0,-13.93,-74.27,"2020","FEBRERO","14"
"735",17,"ANCASH","PE-3N",603,"CHOQUE",0,2,-92.75,-76.44,"2020","FEBRERO","14"
"736",14.83,"APURIMAC","PE-3S",755,"ATROPELLO",0,1,-13.95,NA,"2020","FEBRERO","14"
"737",9.5,"AREQUIPA","PE-1S",926,"CHOQUE",0,0,-15.6,-70.47,"2020","FEBRERO","14"
"738",12.5,"AREQUIPA","PE-1S",975,"CHOQUE",0,1,-15.6,-70.47,"2020","FEBRERO","14"
"739",20,"PIURA","PE-1N",1029,"CHOQUE",0,1,-50.22,-79.35,"2020","FEBRERO","14"
"740",4.5,"CUSCO","PE-3S",1096,"CHOQUE",0,6,-12.47,-70.04,"2020","FEBRERO","14"
"741",9,"MOQUEGUA","PE-1S",1147,"CHOQUE",0,0,-16.81,-69.07,"2020","FEBRERO","14"
"742",17.67,"MOQUEGUA","PE-36A",0,"DESPISTE",0,0,-16.81,-69.07,"2020","FEBRERO","15"
"743",18,"LIMA","PE-1S",58,"ATROPELLO",0,1,-11.96,-76.96,"2020","FEBRERO","15"
"744",18,"LIMA","PE-1S",62,"DESPISTE",1,1,-11.96,-76.96,"2020","FEBRERO","15"
"745",10.33,"LIMA","PE-22",67,"CHOQUE",0,0,-11.96,-76.96,"2020","FEBRERO","15"
"746",19.17,"CAJAMARCA","PE-08B",89,"DESPISTE",0,1,-70.39,-77.49,"2020","FEBRERO","15"
"747",16.5,"LIMA","PE-1S",101,"CHOQUE",0,NA,-11.96,-76.96,"2020","FEBRERO","15"
"748",5.5,"PIURA","PE-1N",125,"DESPISTE",6,42,-50.22,-79.35,"2020","FEBRERO","15"
"749",23.83,"ANCASH","PE-16",128,"DESPISTE",0,4,-92.75,-76.44,"2020","FEBRERO","15"
"750",2.83,"ICA","PE-1S",184,"DESPISTE",0,15,-13.93,-74.27,"2020","FEBRERO","15"
"751",13,"CUSCO","PE-28B",212,"DESPISTE",0,1,-12.47,-70.04,"2020","FEBRERO","15"
"752",22.67,"ANCASH","PE-1N",263,"DESPISTE",0,1,-92.75,-76.44,"2020","FEBRERO","15"
"753",7.67,"AYACUCHO","PE-28A",307,"DESPISTE",0,1,-12.84,-73.78,"2020","FEBRERO","15"
"754",10,"AYACUCHO","PE-3S",411,"CHOQUE",0,2,-12.84,-73.78,"2020","FEBRERO","15"
"755",7,"LA LIBERTAD","PE-1N",702,"CHOQUE",1,9,-80.57,-77.53,"2020","FEBRERO","15"
"756",0.83,"LA LIBERTAD","PE-1N",727,"ESPECIAL",0,1,-80.57,-77.53,"2020","FEBRERO","15"
"757",15.25,"LIMA","PE-1S",4,"CHOQUE",1,0,-11.96,-76.96,"2020","FEBRERO","16"
"758",5,"LORETO","LO-103",4,"DESPISTE",0,2,-41.68,-73.79,"2020","FEBRERO","16"
"759",12.5,"AREQUIPA","PE-34E",11,"DESPISTE",0,0,-15.6,-70.47,"2020","FEBRERO","16"
"760",14.03,"LAMBAYEQUE","PE-5N",22,"DESPISTE",2,3,-66.81,-78.1,"2020","FEBRERO","16"
"761",12.83,"LIMA","PE-1S",27,"CHOQUE",0,1,-11.96,-76.96,"2020","FEBRERO","16"
"762",18,"AREQUIPA","PE-1SD",37,"DESPISTE",0,1,-15.6,-70.47,"2020","FEBRERO","16"
"763",14,"HUANCAVELICA","PE-28A",60,"DESPISTE",0,1,-11.22,-73.03,"2020","FEBRERO","16"
"764",6.38,"LIMA","PE-22",67,"DESPISTE",0,0,-11.96,-76.96,"2020","FEBRERO","16"
"765",17,"HUANCAVELICA","PE-28A",71,"CHOQUE",0,2,-11.22,-73.03,"2020","FEBRERO","16"
"766",18.5,"LIMA","PE-1N",92,"DESPISTE",0,8,-11.96,-76.96,"2020","FEBRERO","16"
"767",8.67,"LIMA","PE-1S",103,"CHOQUE",0,2,-11.96,-76.96,"2020","FEBRERO","16"
"768",20.25,"LIMA","PE-1S",104,"ATROPELLO",0,1,-11.96,-76.96,"2020","FEBRERO","16"
"769",8,"HUANUCO","PE-18A",111,"DESPISTE",0,2,-98.8,-75.76,"2020","FEBRERO","16"
"770",4.33,"HUANCAVELICA","PE-28A",121,"CHOQUE",0,0,-11.22,-73.03,"2020","FEBRERO","16"
"771",17.83,"ICA","PE-1S",192,"CHOQUE",0,1,-13.93,-74.27,"2020","FEBRERO","16"
"772",4,"MADRE DE DIOS","PE-30C",291,"DESPISTE",0,0,-10.24,-69.19,"2020","FEBRERO","16"
"773",23.5,"ICA","PE-1S",379,"DESPISTE",0,1,-13.93,-74.27,"2020","FEBRERO","16"
"774",7.5,"ICA","PE-1S",423,"CHOQUE",0,1,-13.93,-74.27,"2020","FEBRERO","16"
"775",5.75,"ANCASH","PE-1N",446,"ATROPELLO",1,0,-92.75,-76.44,"2020","FEBRERO","16"
"776",14.4,"ANCASH","PE-16",563,"CHOQUE",0,1,-92.75,-76.44,"2020","FEBRERO","16"
"777",11,"LA LIBERTAD","PE-1N",640,"DESPISTE",0,4,-80.57,-77.53,"2020","FEBRERO","16"
"778",22.5,"SAN MARTIN","PE-5N",648,"ATROPELLO",1,0,-71.56,-75.18,"2020","FEBRERO","16"
"779",19,"LAMBAYEQUE","PE-1N",805,"CHOQUE",0,6,-66.81,-78.1,"2020","FEBRERO","16"
"780",15.42,"PUNO","PE-1S",1347,"CHOQUE",0,1,-14.16,-69.98,"2020","FEBRERO","16"
"781",17,"PUNO","PE-1S",1375,"DESPISTE",0,2,-14.16,-69.98,"2020","FEBRERO","16"
"782",23.5,"AMAZONAS","AM-108",4,"CHOQUE",0,9,-50.85,-77.89,"2020","FEBRERO","17"
"783",21.75,"TACNA","PE-1SD",6,"ATROPELLO",1,0,-18,-69.76,"2020","FEBRERO","17"
"784",18.33,"LIMA","PE-1N",8,"CHOQUE",0,0,-11.96,-76.96,"2020","FEBRERO","17"
"785",0.33,"AREQUIPA","PE-34E",8,"CHOQUE",0,0,-15.6,-70.47,"2020","FEBRERO","17"
"786",6.5,"LIMA","PE-22",61,"DESPISTE",0,0,-11.96,-76.96,"2020","FEBRERO","17"
"787",8.92,"JUNIN","PE-3S",64,"DESPISTE",0,0,-10.85,-74.01,"2020","FEBRERO","17"
"788",15.67,"PUNO","PE-34H",68,"CHOQUE",0,0,-14.16,-69.98,"2020","FEBRERO","17"
"789",5.67,"JUNIN","PE-3S",94,"DESPISTE",0,5,-10.85,-74.01,"2020","FEBRERO","17"
"790",15.5,"ANCASH","AN-107",110,"CHOQUE",0,2,-92.75,-76.44,"2020","FEBRERO","17"
"791",7.08,"MOQUEGUA","PE-1SD",114,"CHOQUE",0,6,-16.81,-69.07,"2020","FEBRERO","17"
"792",6.5,"JUNIN","PE-22",156,"DESPISTE",0,0,-10.85,-74.01,"2020","FEBRERO","17"
"793",20.67,"PUNO","PE-30A",279,"DESPISTE",0,4,-14.16,-69.98,"2020","FEBRERO","17"
"794",16.75,"ANCASH","PE-1N",315,"DESPISTE",0,0,-92.75,-76.44,"2020","FEBRERO","17"
"795",9,"AREQUIPA","PE-1S",599,"DESPISTE",0,1,-15.6,-70.47,"2020","FEBRERO","17"
"796",19,"AREQUIPA","PE-1S",747,"CHOQUE",1,4,-15.6,-70.47,"2020","FEBRERO","17"
"797",16.5,"PUNO","PE-3S",1149,"CHOQUE",0,4,-14.16,-69.98,"2020","FEBRERO","17"
"798",12.67,"ANCASH","PE-14",3,"CHOQUE",0,0,-92.75,-76.44,"2020","FEBRERO","18"
"799",11,"LIMA","PE-1N",63,"DESPISTE",0,1,-11.96,-76.96,"2020","FEBRERO","18"
"800",10.67,"CUSCO","PE-28B",93,"DESPISTE",0,4,-12.47,-70.04,"2020","FEBRERO","18"
"801",11.5,"LIMA","PE-1S",126,"CHOQUE",0,0,-11.96,-76.96,"2020","FEBRERO","18"
"802",6,"AREQUIPA","PE-1S",633,"DESPISTE",0,1,-15.6,-70.47,"2020","FEBRERO","18"
"803",10.5,"AREQUIPA","PE-1S",706,"CHOQUE",0,3,-15.6,-70.47,"2020","FEBRERO","18"
"804",18.67,"AYACUCHO","PE-30A",41,"CHOQUE",0,0,-12.84,-73.78,"2020","FEBRERO","19"
"805",11.83,"TACNA","PE-1SD",44,"DESPISTE",0,1,-18,-69.76,"2020","FEBRERO","19"
"806",3.5,"LAMBAYEQUE","PE-1N",73,"DESPISTE",0,4,-66.81,-78.1,"2020","FEBRERO","19"
"807",19.17,"ANCASH","PE-3N",74,"DESPISTE",0,0,-92.75,-76.44,"2020","FEBRERO","19"
"808",10,"LIMA","PE-1N",78,"CHOQUE",0,2,-11.96,-76.96,"2020","FEBRERO","19"
"809",6.25,"HUANCAVELICA","PE-28A",114,"DESPISTE",0,3,-11.22,-73.03,"2020","FEBRERO","19"
"810",21.67,"AMAZONAS","PE-5N",233,"CHOQUE",0,4,-50.85,-77.89,"2020","FEBRERO","19"
"811",14.5,"JUNIN","PE-24",251,"CHOQUE",0,11,-10.85,-74.01,"2020","FEBRERO","19"
"812",20.5,"MADRE DE DIOS","PE-30C",329,"DESPISTE",1,1,-10.24,-69.19,"2020","FEBRERO","19"
"813",18.17,"ANCASH","AN-111",401,"DESPISTE",0,1,-92.75,-76.44,"2020","FEBRERO","19"
"814",22.17,"ANCASH","PE-16",553,"CHOQUE",0,2,-92.75,-76.44,"2020","FEBRERO","19"
"815",3.67,"AREQUIPA","PE-1S",560,"CHOQUE",0,2,-15.6,-70.47,"2020","FEBRERO","19"
"816",22.17,"AREQUIPA","PE-1S",605,"CHOQUE",0,1,-15.6,-70.47,"2020","FEBRERO","19"
"817",12.5,"AREQUIPA","PE-34F",0,"DESPISTE",0,0,-15.6,-70.47,"2020","FEBRERO","20"
"818",12.5,"AREQUIPA","PE-1SD",5,"DESPISTE",0,3,-15.6,-70.47,"2020","FEBRERO","20"
"819",16.08,"AREQUIPA","PE-1SE",7,"DESPISTE",0,0,-15.6,-70.47,"2020","FEBRERO","20"
"820",18.97,"CAJAMARCA","PE-08B",22,"CHOQUE",0,5,-70.39,-77.49,"2020","FEBRERO","20"
"821",21.25,"CUSCO","PE-34F",60,"DESPISTE",0,0,-12.47,-70.04,"2020","FEBRERO","20"
"822",20.58,"LIMA","PE-1S",86,"CHOQUE",0,1,-11.96,-76.96,"2020","FEBRERO","20"
"823",0.17,"CAJAMARCA","PE-08",101,"DESPISTE",0,2,-70.39,-77.49,"2020","FEBRERO","20"
"824",15,"LIMA","PE-22",119,"CHOQUE",0,0,-11.96,-76.96,"2020","FEBRERO","20"
"825",5.17,"LIMA","PE-1S",152,"ATROPELLO",1,0,-11.96,-76.96,"2020","FEBRERO","20"
"826",17.5,"ANCASH","PE-1N",418,"DESPISTE",0,4,-92.75,-76.44,"2020","FEBRERO","20"
"827",7,"SAN MARTIN","PE-5N",504,"DESPISTE",0,0,-71.56,-75.18,"2020","FEBRERO","20"
"828",6.5,"AREQUIPA","PE-1S",602,"DESPISTE",0,0,-15.6,-70.47,"2020","FEBRERO","20"
"829",13.25,"AREQUIPA","PE-1S",746,"DESPISTE",0,0,-15.6,-70.47,"2020","FEBRERO","20"
"830",22.17,"CUSCO","PE-3S",1048,"CHOQUE",0,3,-12.47,-70.04,"2020","FEBRERO","20"
"831",5.08,"AREQUIPA","PE-1SE",23,"CHOQUE",0,0,-15.6,-70.47,"2020","FEBRERO","21"
"832",13.25,"LIMA","PE-1S",36,"DESPISTE",0,0,-11.96,-76.96,"2020","FEBRERO","21"
"833",12.75,"LAMBAYEQUE","PE-08",37,"DESPISTE",0,1,-66.81,-78.1,"2020","FEBRERO","21"
"834",5.92,"JUNIN","PE-3N",54,"CHOQUE",0,0,-10.85,-74.01,"2020","FEBRERO","21"
"835",15,"AREQUIPA","PE-34E",63,"CHOQUE",0,0,-15.6,-70.47,"2020","FEBRERO","21"
"836",18.5,"JUNIN","PE-22B",67,"CHOQUE",0,1,-10.85,-74.01,"2020","FEBRERO","21"
"837",14,"ICA","PE-30A",74,"DESPISTE",2,1,-13.93,-74.27,"2020","FEBRERO","21"
"838",7.5,"CAJAMARCA","PE-3N",79,"CHOQUE",0,4,-70.39,-77.49,"2020","FEBRERO","21"
"839",20.83,"AREQUIPA","PE-34A",87,"CHOQUE",0,1,-15.6,-70.47,"2020","FEBRERO","21"
"840",14.5,"CAJAMARCA","PE-08",99,"CHOQUE",0,7,-70.39,-77.49,"2020","FEBRERO","21"
"841",7.25,"CAJAMARCA","PE-08",167,"DESPISTE",0,2,-70.39,-77.49,"2020","FEBRERO","21"
"842",6.75,"ANCASH","PE-1N",286,"DESPISTE",1,2,-92.75,-76.44,"2020","FEBRERO","21"
"843",21.5,"SAN MARTIN","PE-5N",403,"DESPISTE",0,2,-71.56,-75.18,"2020","FEBRERO","21"
"844",21,"AREQUIPA","PE-1S",602,"DESPISTE",0,0,-15.6,-70.47,"2020","FEBRERO","21"
"845",6.5,"PIURA","PE-1N",1014,"DESPISTE",0,0,-50.22,-79.35,"2020","FEBRERO","21"
"846",21.33,"PUNO","PE-34H",14,"DESPISTE",0,1,-14.16,-69.98,"2020","FEBRERO","22"
"847",6.33,"LIMA","PE-1S",23,"DESPISTE",0,0,-11.96,-76.96,"2020","FEBRERO","22"
"848",20.5,"CAJAMARCA","PE-08B",25,"CHOQUE",0,3,-70.39,-77.49,"2020","FEBRERO","22"
"849",23.75,"ANCASH","AN-110",29,"DESPISTE",0,1,-92.75,-76.44,"2020","FEBRERO","22"
"850",NA,"JUNIN","PE-22B",57,"CHOQUE",0,8,-10.85,-74.01,"2020","FEBRERO","22"
"851",8.42,"CAJAMARCA","PE-08",61,"CHOQUE",0,9,-70.39,-77.49,"2020","FEBRERO","22"
"852",23.83,"LAMBAYEQUE","PE-1N",62,"CHOQUE",1,3,-66.81,-78.1,"2020","FEBRERO","22"
"853",13.5,"CAJAMARCA","PE-08",75,"DESPISTE",0,4,-70.39,-77.49,"2020","FEBRERO","22"
"854",NA,"JUNIN","PE-5S",78,"ATROPELLO",1,1,-10.85,-74.01,"2020","FEBRERO","22"
"855",16.5,"JUNIN","PE-22B",84,"CHOQUE",0,0,-10.85,-74.01,"2020","FEBRERO","22"
"856",8,"CUSCO","PE-28B",89,"DESPISTE",0,2,-12.47,-70.04,"2020","FEBRERO","22"
"857",15.92,"JUNIN","PE-22B",91,"CHOQUE",0,1,-10.85,-74.01,"2020","FEBRERO","22"
"858",4.67,"AREQUIPA","PE-34A",106,"CHOQUE",0,2,-15.6,-70.47,"2020","FEBRERO","22"
"859",11.33,"LIMA","PE-22",111,"CHOQUE",0,0,-11.96,-76.96,"2020","FEBRERO","22"
"860",19.67,"LIMA","PE-22",121,"ESPECIAL",0,0,-11.96,-76.96,"2020","FEBRERO","22"
"861",17,"PUNO","PE-36A",139,"DESPISTE",0,0,-14.16,-69.98,"2020","FEBRERO","22"
"862",13.5,"JUNIN","PE-22",152,"CHOQUE",2,9,-10.85,-74.01,"2020","FEBRERO","22"
"863",6.58,"JUNIN","PE-22",154,"DESPISTE",0,0,-10.85,-74.01,"2020","FEBRERO","22"
"864",11.83,"ANCASH","PE-16",182,"DESPISTE",0,3,-92.75,-76.44,"2020","FEBRERO","22"
