"Edad","Sexo","Ciclo","Frecuencia_de_uso","Tiempo_tareas_sin_ChatGPT","Rendimiento_academico_SIN_ChatGPT","Nota_promedio_TAREAS_SIN_ChatGPT","Notas_CON_ChatGPT","Nota_promedio_CON_ChatGPT","Aprendizaje_CON_ChatGPT","Carrera_cor","Conocimiento_ChatGPT_cor","Obtencion_respuestas_cor","Tiempo_tareas_CON_ChatGPT_cor","Horas_uso_diario_cor"
18,"Hombre","1er ciclo","A veces","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","1","No","2 horas","1"
21,"Hombre","3er ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecánica","2","A veces","No uso","1"
20,"Mujer","7mo ciclo","A veces","2 horas","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","2","A veces","2 horas","1"
30,"Hombre","1er ciclo","Regular","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","2","A veces","Más de 3 horas","1"
18,"Mujer","3er ciclo","Nunca","1 hora","Mis notas estaban un poco bajas, a veces no me alcanzaba tiempo.",12,"Me va casi igual de antes que existiera, no hay mucha diferencia.",14,"Sinceramente solo le pido que haga algo y ya esta, copio y pego. Casi nunca veo mis tareas por mi cuenta.","Administración y Negocios Digitales","1","No","1 hora","0"
18,"Hombre","1er ciclo","Nunca","3 horas","Mis notas eran regulares, hacia lo que podia.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería electrónica","1","No","No uso","0"
20,"Mujer","4to ciclo","A veces","Más de 3 horas","Mis notas eran muy malas, no entrega tareas a tiempo.",10,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","1","Sí","1 hora","1"
22,"Mujer","10mo ciclo","Siempre","Más de 3 horas","Tenia muy buenas notas, estaba muy bien.",18,"Me va muy bien, hago mis tareas rápida y eficazmente.",20,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","3","A veces","1 hora","4"
18,"Hombre","4to ciclo","Regular","1 hora","Mis notas eran regulares, hacia lo que podia.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería ambiental","2","A veces","1 hora","1"
23,"Hombre","7mo ciclo","Regular","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","2","A veces","1 hora","1"
20,"Hombre","3er ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",13,"Me va casi igual de antes que existiera, no hay mucha diferencia.",14,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecánica","2","Sí","1 hora","1"
20,"Hombre","5to ciclo","Regular","3 horas","Mis notas eran regulares, hacia lo que podia.",14,"Me va muy bien, hago mis tareas rápida y eficazmente.",16,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ciencia de Datos (CS)","2","A veces","1 hora","1"
18,"Mujer","2do ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",20,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Civil","1","A veces","2 horas","1"
18,"Hombre","2do ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Civil","1","A veces","1 hora","1"
17,"Mujer","1er ciclo","A veces","1 hora","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"Nunca intento mis tareas por mi cuenta, ChatGPT lo hace todo. Al final, la cosa es aprobar los cursos.","Ingeniería Mecatrónica","1","A veces","1 hora","1"
19,"Hombre","3er ciclo","Nunca","2 horas","Tenia muy buenas notas, estaba muy bien.",16,"Me va mal a pesar de la existencia de ""ChatGPT"".",0,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","2","No","No uso","0"
18,"Mujer","2do ciclo","A veces","2 horas","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Industrial","2","A veces","1 hora","1"
20,"Hombre","4to ciclo","Nunca","Menos de 1 hora","Mis notas eran regulares, hacia lo que podia.",13,"Me va casi igual de antes que existiera, no hay mucha diferencia.",13,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Civil","1","No","1 hora","0"
18,"Hombre","2do ciclo","A veces","1 hora","Tenia muy buenas notas, estaba muy bien.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Civil","1","A veces","1 hora","1"
18,"Hombre","2do ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecatrónica","2","A veces","Más de 3 horas","1"
18,"Mujer","2do ciclo","A veces","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",14,"Me va casi igual de antes que existiera, no hay mucha diferencia.",14,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Química","2","No","Más de 3 horas","1"
18,"Hombre","3er ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecatrónica","2","A veces","1 hora","1"
20,"Hombre","2do ciclo","Regular","2 horas","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecatrónica","2","A veces","1 hora","1"
19,"Mujer","4to ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",12,"Me va casi igual de antes que existiera, no hay mucha diferencia.",12,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","1","A veces","1 hora","1"
21,"Hombre","3er ciclo","A veces","Menos de 1 hora","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Civil","2","A veces","1 hora","1"
17,"Mujer","3er ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","2","No","1 hora","1"
19,"Mujer","4to ciclo","A veces","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",14,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","2","A veces","Más de 3 horas","1"
19,"Hombre","4to ciclo","Siempre","2 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ciencia de Datos (CS)","3","Sí","1 hora","3"
17,"Mujer","3er ciclo","Nunca","2 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","1","No","No uso","0"
24,"Otro","1er ciclo","Siempre","Más de 3 horas","Tenia muy buenas notas, estaba muy bien.",18,"Me va muy bien, hago mis tareas rápida y eficazmente.",11,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Química","3","Sí","1 hora","5"
19,"Hombre","3er ciclo","Regular","3 horas","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","3","A veces","2 horas","3"
20,"Hombre","3er ciclo","A veces","1 hora","Mis notas eran regulares, hacia lo que podia.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",20,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","2","Sí","1 hora","1"
18,"Hombre","4to ciclo","A veces","3 horas","Mis notas estaban un poco bajas, a veces no me alcanzaba tiempo.",1,"Me va mal a pesar de la existencia de ""ChatGPT"".",1,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ciencia de Datos (CS)","2","Sí","2 horas","3"
20,"Hombre","4to ciclo","Regular","1 hora","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","2","A veces","1 hora","1"
19,"Mujer","4to ciclo","A veces","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecatrónica","2","Sí","1 hora","1"
18,"Mujer","3er ciclo","A veces","2 horas","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Bioingeniería","2","No","2 horas","1"
18,"Hombre","2do ciclo","A veces","3 horas","Mis notas estaban un poco bajas, a veces no me alcanzaba tiempo.",12,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ciencia de Datos (CS)","3","A veces","1 hora","0"
19,"Mujer","4to ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Civil","2","A veces","1 hora","1"
20,"Otro","3er ciclo","A veces","1 hora","Mis notas eran regulares, hacia lo que podia.",14,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Bioingeniería","1","A veces","1 hora","1"
19,"Hombre","5to ciclo","A veces","Más de 3 horas","Tenia muy buenas notas, estaba muy bien.",14,"Me va casi igual de antes que existiera, no hay mucha diferencia.",20,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","3","No","1 hora","1"
18,"Mujer","5to ciclo","A veces","2 horas","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",19,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecatrónica","2","A veces","1 hora","1"
19,"Hombre","5to ciclo","Regular","Menos de 1 hora","Mis notas eran regulares, hacia lo que podia.",14,"Me va casi igual de antes que existiera, no hay mucha diferencia.",14,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecánica","2","A veces","1 hora","1"
23,"Hombre","5to ciclo","A veces","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"Nunca intento mis tareas por mi cuenta, ChatGPT lo hace todo. Al final, la cosa es aprobar los cursos.","Ingeniería Mecánica","2","No","1 hora","1"
22,"Hombre","4to ciclo","Nunca","1 hora","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","2","A veces","No uso","0"
20,"Hombre","4to ciclo","Nunca","1 hora","Tenia muy buenas notas, estaba muy bien.",18,"Me va igual de mal.",20,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Civil","1","No","No uso","0"
18,"Hombre","3er ciclo","Regular","1 hora","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecatrónica","2","A veces","1 hora","1"
21,"Hombre","3er ciclo","Regular","1 hora","Mis notas eran regulares, hacia lo que podia.",10,"Me va casi igual de antes que existiera, no hay mucha diferencia.",10,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Civil","2","Sí","1 hora","1"
19,"Hombre","5to ciclo","Siempre","2 horas","Tenia muy buenas notas, estaba muy bien.",16,"Me va muy bien, hago mis tareas rápida y eficazmente.",16,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ciencia de Datos (CS)","3","A veces","1 hora","2"
19,"Hombre","4to ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",18,"Me va mal a pesar de la existencia de ""ChatGPT"".",18,"Sinceramente solo le pido que haga algo y ya esta, copio y pego. Casi nunca veo mis tareas por mi cuenta.","Ingeniería Civil","2","A veces","2 horas","3"
20,"Mujer","5to ciclo","Siempre","2 horas","Tenia muy buenas notas, estaba muy bien.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",19,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería ambiental","3","A veces","1 hora","1"
20,"Hombre","5to ciclo","Siempre","3 horas","Mis notas eran regulares, hacia lo que podia.",16,"Me va muy bien, hago mis tareas rápida y eficazmente.",17,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ciencia de Datos (CS)","3","Sí","2 horas","4"
19,"Hombre","3er ciclo","A veces","1 hora","Mis notas eran regulares, hacia lo que podia.",16,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecánica","2","A veces","1 hora","1"
18,"Mujer","4to ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Bioingeniería","1","A veces","1 hora","1"
19,"Hombre","2do ciclo","Regular","3 horas","Mis notas eran regulares, hacia lo que podia.",18,"Me va muy bien, hago mis tareas rápida y eficazmente.",19,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Civil","2","Sí","1 hora","3"
23,"Hombre","3er ciclo","Nunca","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",14,"Me va casi igual de antes que existiera, no hay mucha diferencia.",14,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería electrónica","1","No","No uso","0"
26,"Hombre","8vo ciclo","Regular","1 hora","Tenia muy buenas notas, estaba muy bien.",20,"Me va muy bien, hago mis tareas rápida y eficazmente.",20,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecánica","3","A veces","1 hora","5"
19,"Mujer","4to ciclo","Nunca","2 horas","Mis notas eran regulares, hacia lo que podia.",16,"Me va igual de mal.",15,"Sinceramente solo le pido que haga algo y ya esta, copio y pego. Casi nunca veo mis tareas por mi cuenta.","Ingeniería Industrial","1","Sí","1 hora","4"
18,"Mujer","2do ciclo","A veces","2 horas","Tenia muy buenas notas, estaba muy bien.",17,"Me va muy bien, hago mis tareas rápida y eficazmente.",17,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","2","A veces","2 horas","1"
17,"Mujer","1er ciclo","A veces","Menos de 1 hora","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","2","A veces","1 hora","1"
17,"Hombre","1er ciclo","Nunca","1 hora","Mis notas eran regulares, hacia lo que podia.",20,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecatrónica","1","No","No uso","0"
17,"Hombre","1er ciclo","Regular","Menos de 1 hora","Tenia muy buenas notas, estaba muy bien.",18.5,"Me va casi igual de antes que existiera, no hay mucha diferencia.",19,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","3","Sí","1 hora","5"
19,"Hombre","3er ciclo","A veces","Menos de 1 hora","Tenia muy buenas notas, estaba muy bien.",20,"Me va muy bien, hago mis tareas rápida y eficazmente.",20,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Civil","2","A veces","1 hora","0"
17,"Mujer","1er ciclo","A veces","1 hora","Tenia muy buenas notas, estaba muy bien.",19,"Me va muy bien, hago mis tareas rápida y eficazmente.",19,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","3","A veces","1 hora","1"
18,"Hombre","3er ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",14,"Me va igual de mal.",14,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería electrónica","2","No","1 hora","1"
17,"Hombre","1er ciclo","Regular","2 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",15,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecatrónica","2","A veces","2 horas","1"
18,"Hombre","1er ciclo","Nunca","Más de 3 horas","Tenia muy buenas notas, estaba muy bien.",20,"Me va igual de mal.",0,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ciencia de Datos (CS)","1","No","No uso","0"
20,"Mujer","5to ciclo","Regular","3 horas","Mis notas eran regulares, hacia lo que podia.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Civil","2","A veces","1 hora","2"
19,"Mujer","4to ciclo","Nunca","Más de 3 horas","Tenia muy buenas notas, estaba muy bien.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",0,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería ambiental","1","No","No uso","0"
17,"Hombre","1er ciclo","A veces","Menos de 1 hora","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","1","A veces","No uso","1"
17,"Hombre","1er ciclo","A veces","1 hora","Tenia muy buenas notas, estaba muy bien.",18,"Me va casi igual de antes que existiera, no hay mucha diferencia.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecánica","3","A veces","1 hora","1"
17,"Mujer","3er ciclo","Regular","2 horas","Tenia muy buenas notas, estaba muy bien.",16,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Química","3","A veces","1 hora","1"
20,"Mujer","2do ciclo","A veces","2 horas","Mis notas eran regulares, hacia lo que podia.",16,"Me va muy bien, hago mis tareas rápida y eficazmente.",16,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Química","2","A veces","1 hora","1"
19,"Hombre","3er ciclo","Regular","3 horas","Mis notas estaban un poco bajas, a veces no me alcanzaba tiempo.",12,"Me va muy bien, hago mis tareas rápida y eficazmente.",15,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Bioingeniería","2","Sí","1 hora","2"
22,"Mujer","6to ciclo","A veces","3 horas","Mis notas eran regulares, hacia lo que podia.",12,"Me va igual de mal.",12,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecatrónica","2","A veces","1 hora","1"
20,"Mujer","7mo ciclo","Nunca","1 hora","Tenia muy buenas notas, estaba muy bien.",15,"Me va casi igual de antes que existiera, no hay mucha diferencia.",16,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Bioingeniería","1","No","1 hora","1"
21,"Hombre","6to ciclo","Nunca","2 horas","Tenia muy buenas notas, estaba muy bien.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecatrónica","1","No","No uso","0"
17,"Mujer","3er ciclo","Regular","2 horas","Tenia muy buenas notas, estaba muy bien.",17.3,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17.3,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecánica","2","A veces","2 horas","1"
23,"Hombre","6to ciclo","A veces","1 hora","Mis notas eran regulares, hacia lo que podia.",18,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Química","1","A veces","1 hora","1"
18,"Mujer","3er ciclo","Regular","1 hora","Mis notas eran regulares, hacia lo que podia.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Industrial","3","Sí","1 hora","1"
20,"Hombre","4to ciclo","Regular","Menos de 1 hora","Tenia muy buenas notas, estaba muy bien.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",15,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ingeniería Mecánica","2","No","1 hora","1"
18,"Hombre","5to ciclo","A veces","2 horas","Tenia muy buenas notas, estaba muy bien.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ciencia de Datos (CS)","3","A veces","1 hora","1"
17,"Mujer","3er ciclo","Regular","3 horas","Tenia muy buenas notas, estaba muy bien.",17,"Me va muy bien, hago mis tareas rápida y eficazmente.",18,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ciencia de Datos (CS)","3","A veces","1 hora","1"
19,"Hombre","3er ciclo","Siempre","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",15,"Me va muy bien, hago mis tareas rápida y eficazmente.",17,"Aprendo bastante con ChatPGT, realmente lo aprovecho. Nunca dejo que haga mis tareas, yo lo hago solo, pero ChatGPT sirve de ayuda.","Ciencia de Datos (CS)","3","A veces","Más de 3 horas","2"
19,"Mujer","4to ciclo","Regular","Más de 3 horas","Mis notas eran regulares, hacia lo que podia.",17,"Me va casi igual de antes que existiera, no hay mucha diferencia.",17,"A veces me tomo el tiempo de analizar lo que responde ChatGPT, ademas de intentar mis propias tareas por mi cuenta.","Ingeniería Mecánica","2","Sí","2 horas","3"
