Código modular,Código de local,Nombre de IE,Nivel / Modalidad,Forma,Gestión / Dependencia,Dirección de IE,Departamento,Provincia,Distrito,Alumnos (2015),Docentes (2015),Secciones (2015)
1151109,391824,CEBE SAN FRANCISCO,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE BUENAVENTURA MARQUEZ S/N,Loreto,Ucayali,Contamana,117,14,8
1527357,527766,PRITE PUNCHANA,Educación Especial,No escolarizado,Pública - Sector Educación,CALLE CAHUIDE 1776,Loreto,Maynas,Punchana,47,7,4
1537430,582079,DIGNIDAD,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE SAN MARTIN DE PORRAS,Loreto,Loreto,Nauta,38,5,9
1527779,741064,PRITE IQUITOS,Educación Especial,No escolarizado,Pública - Sector Educación,CALLE FANNIG 129,Loreto,Maynas,Iquitos,39,6,5
0521195,441758,PUNO,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA EJERCITO 670,Puno,Puno,Puno,36,13,10
1024595,441763,NUESTRA SEÑORA DE COPACABANA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON SIDERAL S/N,Puno,Puno,Puno,23,6,6
1024637,441999,URPI NUEVA ESPERANZA,Educación Especial,Escolarizado,Privada - Particular,AZIRUNI III ETAPA MZ P LOTE 1,Puno,Puno,Puno,23,4,6
1025881,510619,PRITE PUNO,Educación Especial,No escolarizado,Pública - Sector Educación,AVENIDA EL SOL 1121,Puno,Puno,Puno,35,4,4
0702522,449033,MACUSANI,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA JORGE CHAVEZ S/N,Puno,Carabaya,Macusani,13,2,7
1153659,453831,ILAVE,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON 28 DE JULIO 350,Puno,El Collao,Ilave,17,5,9
1025675,455571,CEBE VIRGEN DE FATIMA,Educación Especial,Escolarizado,Pública - Sector Educación,,Puno,Huancane,Huancane,18,4,8
0651463,459381,SAGRADO CORAZON DE JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON PUMACAHUA S/N,Puno,Melgar,Ayaviri,14,2,7
0521914,464052,SEÑOR DE LOS MILAGROS,Educación Especial,Escolarizado,Pública - Sector Educación,PIURA 710,Puno,San Roman,Juliaca,25,10,8
1027796,510049,DIVINO NIÑO JESUS,Educación Especial,No escolarizado,Pública - Sector Educación,SANTA ASUNCION,Puno,San Roman,Juliaca,34,4,4
1028224,465669,CEBE 385 SEÑOR DE PACAYPAMPA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON GARCILAZO DE LA VEGA S/N,Puno,Sandia,Sandia,7,1,4
1027606,797536,JESUS NAZARENO,Educación Especial,Escolarizado,Pública - Sector Educación,KASANI,Puno,Yunguyo,Yunguyo,14,3,7
0603654,469064,00002,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON PEDRO PASCASIO NORIEGA 198,San Martin,Moyobamba,Moyobamba,39,6,11
1585827,799045,PRITE UNA LUZ EN MI CAMINO,Educación Especial,No escolarizado,Pública - Sector Educación,JIRON LOS CEDROS MZ A LOTE 15,San Martin,Moyobamba,Moyobamba,23,3,3
1593227,806220,0001- EDUCACION ESPECIAL,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON PROLONGACION AUGUSTO B LEGUIA S/N,San Martin,Bellavista,Bellavista,11,2,3
0847459,474046,001 EDUCACION ESPECIAL,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON SAN MARTIN 271,San Martin,Huallaga,Saposoa,17,2,8
1096841,802726,0004,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON REYNALDO BARTRA DIAZ S/N,San Martin,Lamas,Lamas,15,3,5
1019272,538576,0001 SEÑOR DE LOS MILAGROS,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON LA MERCED CUADRA 8,San Martin,Mariscal Caceres,Juanjui,25,6,8
0761916,479789,00003,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON ALMIRANTE GRAU S/N,San Martin,Rioja,Rioja,40,6,11
0501296,481914,0001,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON MICAELA BASTIDAS 400,San Martin,San Martin,Tarapoto,50,10,11
0640003,481928,0002 REHABILITACION Y EDUCACION DEL CIEGO,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON LOS PINOS 400,San Martin,San Martin,Tarapoto,32,5,7
1588730,801840,PRITE DIVINO NIÑO JESUS,Educación Especial,No escolarizado,Pública - Sector Educación,CAMINO A LA MOLINA,San Martin,San Martin,La Banda de Shilcayo,18,6,4
1079722,483994,FREDY ALIAGA CARDENAS,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA PROLONGACION GERMAN RENGIFO S/N,San Martin,Tocache,Tocache,17,4,9
1594407,807432,JAVIER DIEZ CANSECO CISNEROS,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON MIGUEL GRAU 244,San Martin,Tocache,Uchiza,9,3,4
0576199,042670,01 PIERRE FRANCOIS JAMET,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA CENTENARIO,Apurimac,Abancay,Abancay,52,11,13
0787366,043556,07 CURAHUASI,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA MARTINELLY,Apurimac,Abancay,Curahuasi,32,3,11
0930206,048144,ANTABAMBA,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE ANTABAMBA S/N,Apurimac,Antabamba,Antabamba,14,2,7
0621839,049030,03,Educación Especial,Escolarizado,Pública - Sector Educación,CHALHUANCA,Apurimac,Aymaraes,Chalhuanca,16,2,7
1331362,516193,URIPA,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA RICARDO PALMA S/N,Apurimac,Chincheros,Anco_huallo,19,2,9
0668004,234768,SAN MANUELITO,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON UCAYALI 134,Junin,Chanchamayo,San Ramon,46,8,13
0696930,227584,CONCEPCION,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA PROLONGACION GRAU 210,Junin,Concepcion,Concepcion,7,4,4
0696922,220040,SEÑOR DE LOS MILAGROS,Educación Especial,Escolarizado,Pública - Sector Educación,PASAJE LOS ARRAYANES 110,Junin,Huancayo,Huancayo,23,7,8
1036458,509847,PRITE HUANCAYO,Educación Especial,No escolarizado,Pública - Sector Educación,COLISEO CERRADO,Junin,Huancayo,Huancayo,37,5,6
1036417,509852,PRITE CHILCA,Educación Especial,No escolarizado,Pública - Sector Educación,JIRON 2 DE MAYO S/N,Junin,Huancayo,Chilca,42,5,6
0921239,509866,PRITE SAN JOSE,Educación Especial,No escolarizado,Pública - Sector Educación,AVENIDA INDEPENDENCIA 140,Junin,Huancayo,El Tambo,38,6,7
0520684,509885,POLIVALENTE,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON JULIO C. TELLO 450,Junin,Huancayo,El Tambo,71,13,10
0693010,564693,VIRGEN DEL ROSARIO,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON SUCRE,Junin,Jauja,Jauja,10,6,5
0937003,238375,MARIA AUXILIADORA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON ISIDORO SUAREZ 185,Junin,Junin,Junin,11,3,6
1438597,238460,VIRGEN DE LAS NIEVES,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON MARAVILLAS 361,Junin,Junin,Carhuamayo,8,1,6
0937680,241797,SEÑOR DE LOS MILAGROS,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE ARGENTINA,Junin,Satipo,Pangoa,6,1,2
0713545,239983,NIÑO JESUCITO,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE SATIPO,Junin,Satipo,Satipo,10,2,4
0922021,245205,SEÑOR DE MURUHUAY,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON LEONCIO PRADO 214,Junin,Tarma,Tarma,35,6,11
1101989,247520,DOMINGO SAVIO,Educación Especial,Escolarizado,Pública - Sector Educación,ZONA MARCAVALLE S/N,Junin,Yauli,Santa Rosa de Sacco,9,8,6
1430404,642318,SAN LUIS,Educación Especial,Escolarizado,Privada - Particular,CALLE SAUL MUÑOZ MENACHO 1129,Junin,Huancayo,El Tambo,14,3,6
0503946,490386,001 SAN JUAN DE DIOS,Educación Especial,Escolarizado,Pública - Sector Educación,PASAJE LIMA S/N,Tumbes,Tumbes,Tumbes,38,16,9
0570671,490466,002 SAN NICOLAS DE TOLENTINO,Educación Especial,Escolarizado,Pública - Sector Educación,PROLONGACION LOS MANGLARES S/N,Tumbes,Tumbes,Tumbes,28,13,9
1137157,490471,003 SAN FRANCISCO DE ASIS,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA LAS DELICIAS 209,Tumbes,Tumbes,Tumbes,13,3,5
1143585,590668,PRITE 01,Educación Especial,No escolarizado,Pública - Sector Educación,CALLE CONSUELO DE VELASCO S/N,Tumbes,Tumbes,Tumbes,25,5,4
1137272,491041,005 NUESTRO SEÑOR CAUTIVO,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE INCA YUPANQUI S/N,Tumbes,Tumbes,Corrales,17,5,8
0781799,491791,052 ISMAEL LUEY PEÑA,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE FRANCISCO IBAÑEZ 102,Tumbes,Tumbes,San Juan de La Virgen,7,1,5
0781765,491319,034 NATALIA RAMIREZ GRANDA,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA ALIPIO ROSALES S/N,Tumbes,Tumbes,Pampas de Hospital,1,1,1
1598085,590673,PRITE 03,Educación Especial,No escolarizado,Pública - Sector Educación,CALLE ANDRES ARAUJO MORAN S/N MZ H LOTE 28,Tumbes,Tumbes,Tumbes,21,2,4
1599083,812075,PRITE 04,Educación Especial,No escolarizado,Pública - Sector Educación,CALLE MARIANO SANTOS 100,Tumbes,Tumbes,San Jacinto,31,3,3
1143668,509927,PRITE 02 SEÑOR CAUTIVO,Educación Especial,No escolarizado,Pública - Sector Educación,INCA YUPANQUI S/N,Tumbes,Tumbes,Corrales,25,4,3
1137470,491178,OO6 NIÑO JESUS DE PRAGA,Educación Especial,Escolarizado,Pública - Sector Educación,PARQUE PLAZA DEARMAS LA CRUZ 112,Tumbes,Tumbes,La Cruz,14,7,5
1599448,812443,008 DIVINO NIÑO JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA GRAU S/N,Tumbes,Contralmirante Villar,Zorritos,28,9,9
1138239,812891,SAGRADO CORAZON DE JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON TARAPACA 111,Tumbes,Zarumilla,Zarumilla,21,9,9
0706713,099987,CEBE CAJABAMBA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON SUAREZ S/N,Cajamarca,Cajabamba,Cajabamba,10,2,7
0653519,573904,ESPECIAL CELENDIN,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON JUNIN CUADRA 1,Cajamarca,Celendin,Celendin,5,5,4
0855130,105525,ESPECIAL,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON ADRIANO NOVOA 863,Cajamarca,Chota,Chota,17,5,7
1113505,510054,PRITE 001,Educación Especial,No escolarizado,Pública - Sector Educación,GREGORIO MALCA,Cajamarca,Chota,Chota,40,4,4
1109651,110659,CONTUMAZA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON DAVID LEON 581,Cajamarca,Contumaza,Contumaza,17,5,9
0702019,111890,TEMBLADERA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON SAN MARTIN S/N,Cajamarca,Contumaza,Yonan,7,2,4
0691667,113498,SAN ANTONIO DE PADUA,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE SAN JUAN,Cajamarca,Cutervo,Cutervo,16,4,7
0678268,118815,BAMBAMARCA,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA 28 DE JULIO 509,Cajamarca,Hualgayoc,Bambamarca,11,2,3
0491746,587326,CORAZON DE JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE UNION 103,Cajamarca,Jaen,Jaen,33,10,8
0591917,127122,SEÑOR DE LOS MILAGROS,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON SAN JOSE 111,Cajamarca,San Ignacio,San Ignacio,29,2,10
1210798,575837,ESPECIAL SAN MARCOS,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON PROLONGACIÓN LEONCIO PRADO S/N,Cajamarca,San Marcos,Pedro Galvez,18,3,9
1210632,578275,CENTRO DE EDUCACION BASICA ESPECIAL,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON MIGUEL IGLESIAS 678,Cajamarca,San Pablo,San Pablo,5,3,5
0759209,526578,JUAN TOMIS STACK,Educación Especial,Escolarizado,Pública - Sector Educación,CHAMBAC,Cajamarca,Santa Cruz,Santa Cruz,4,1,1
0787929,133665,ESPECIAL SAN MIGUEL,Educación Especial,Escolarizado,Pública - Sector Educación,SAN MIGUEL,Cajamarca,San Miguel,San Miguel,14,2,9
0696021,098370,PRITE DIVINA MISERICORDIA,Educación Especial,No escolarizado,Pública - Sector Educación,PROLONGACION PACHACUTEC 226,Cajamarca,Cajamarca,Los Baños Del Inca,25,4,3
0503474,094975,CEBE CAJAMARCA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON CUMBEMAYO 380,Cajamarca,Cajamarca,Cajamarca,81,33,10
1061563,748174,ANTA,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA LOS ANDES S/N,Cusco,Anta,Anta,15,2,6
0791673,151824,SEÑOR DE LA VARA,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE 19 DE SETIEMBRE S/N,Cusco,Calca,Calca,17,3,7
0931915,153743,FRAY MARTIN DE PORRES,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA TUPAC AMARU S/N,Cusco,Canas,Yanaoca,26,3,4
0783779,157411,NIÑO JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE PATACANCHA S/N,Cusco,Chumbivilcas,Santo Tomas,50,5,10
0783258,159189,ESPINAR,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE SAN PEDRO S/N,Cusco,Espinar,Espinar,65,7,11
0718577,160512,ROSA DE AMERICA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON FRATERNIDAD MZ-E-L-7 S/N,Cusco,La Convencion,Santa Ana,35,4,8
1174747,786156,MANUEL VILLAVICENCIO GARGATE,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON SINCHI ROCA 325,Huanuco,Huanuco,Amarilis,34,5,10
0517185,190340,NIÑO JESUS DE PRAGA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON SAN MARTIN 1219,Huanuco,Huanuco,Huanuco,62,12,10
1410414,542272,PRITE,Educación Especial,No escolarizado,Pública - Sector Educación,JIRON BOLIVAR 480,Huanuco,Huanuco,Huanuco,11,2,4
1220565,203309,SAGRADO CORAZON DE JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,PRIMERO DE MAYO,Huanuco,Leoncio Prado,Jose Crespo Y Castillo,8,1,3
0625145,201904,SANTA TERESITA DEL NIÑO JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA AGRICULTURA S/N,Huanuco,Leoncio Prado,Rupa-rupa,87,9,10
1190479,542390,EDUCACION ESPECIAL,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON TACNA 321,Huanuco,Pachitea,Panao,12,2,7
0496711,344390,EFATA,Educación Especial,Escolarizado,Privada - Instituciones Benéficas,AVENIDA REVOLUCION GR 11 S/N,Lima,Lima,Villa El Salvador,41,7,8
0469007,329870,NUESTRA SEÑORA DE GUADALUPEEX SAN JUAN,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA TOMAS GUZMAN 600,Lima,Lima,San Juan de Miraflores,107,18,11
0563874,321770,08,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA SAN JOSE S/N,Lima,Lima,San Bartolo,22,3,9
0742148,318541,10 SAGRADO CORAZON DE JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,PASAJE LA OROYA S/N,Lima,Lima,Pucusana,37,5,9
0497230,315057,LURIN,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON SAN PEDRO S/N MZ V LOTE 08,Lima,Lima,Lurin,82,14,11
0872788,348406,NUESTRO SALVADOR,Educación Especial,Escolarizado,Privada - Parroquial,AVENIDA MARIAM QUIMPER 1300,Lima,Lima,Villa Maria Del Triunfo,39,4,8
0325357,329479,CEBE 54 CIUDAD DE DIOS,Educación Especial,Escolarizado,Pública - Sector Educación,PASAJE ALEJANDRO TIRADO MZ 10 LOTE 09,Lima,Lima,San Juan de Miraflores,59,8,14
0325308,329605,CEBE RVDA. MADRE MARIANA CARRIGAN,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA CENTRAL ALFONSO UGARTE S/N,Lima,Lima,San Juan de Miraflores,133,26,13
0325332,344074,DIVINA MISERICORDIA,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA REVOLUCION S/N,Lima,Lima,Villa El Salvador,155,34,15
0325324,346916,CEBE MEDALLA MILAGROSA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON LAS BEGONIAS 135,Lima,Lima,Villa Maria Del Triunfo,98,15,11
1034727,348086,EL DIVINO MAESTRO DE TABLADA,Educación Especial,Escolarizado,Privada - Particular,AVENIDA SANTA ROSA GR 25 LT 4 ZONA ANTIGUA 466,Lima,Lima,Villa Maria Del Triunfo,7,1,3
1197110,686538,CEBE DIVINO NIÑO JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,PASAJE 13 DE AGOSTO S/N,Lima,Lima,Villa Maria Del Triunfo,51,7,10
1240969,332071,CERRITO AZUL,Educación Especial,Escolarizado,Privada - Particular,JIRON ENRIQUE OPPENHEIMER 733,Lima,Lima,San Juan de Miraflores,37,5,5
1217728,509814,PRITE NIÑO JESUS - NUEVA ESPERANZA,Educación Especial,No escolarizado,Pública - Sector Educación,AVENIDA 26 DE NOVIEMBRE 101,Lima,Lima,Villa Maria Del Triunfo,103,8,7
1197151,509951,PRITE LURIN,Educación Especial,No escolarizado,Pública - Sector Educación,JIRON BOLIVAR S/N,Lima,Lima,Lurin,35,3,3
1088608,312964,SEÑOR DE LOS MILAGROS,Educación Especial,Escolarizado,Privada - Particular,AVENIDA LAS PALMERAS 5614,Lima,Lima,Los Olivos,27,5,7
0495655,313096,MANUEL DUATO,Educación Especial,Escolarizado,Privada - Parroquial,JIRON SANTA CRUZ PACHACUTEC 510,Lima,Lima,Los Olivos,310,52,25
0436915,306034,TAHUANTINSUYO,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA OLLANTAYTAMBO 3ERA ETAPA TAHUANTINSUYO S/N,Lima,Lima,Independencia,129,20,12
0596999,333508,CENTRO DE EDUCACION BASICA ESPECIAL SAN MARTIN DE PORRES,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA JOSE GRANDA 2929,Lima,Lima,San Martin de Porres,203,37,18
0565051,320474,RICARDO BENTIN,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA LA CAPILLA CUADRA 3,Lima,Lima,Rimac,83,26,11
1088442,626894,SAN MARTIN DE PORRES,Educación Especial,No escolarizado,Pública - Sector Educación,AVENIDA CAQUETA 805,Lima,Lima,San Martin de Porres,60,5,5
0780874,510068,PRITE LUIS AQUILES GUERRA,Educación Especial,No escolarizado,Pública - Sector Educación,JIRON JERUSALEN S/N,Lima,Lima,Independencia,97,8,7
1088566,604076,PRITE SANTA ANA,Educación Especial,No escolarizado,Pública - Sector Educación,MZ I LOTE 01,Lima,Lima,Los Olivos,68,5,6
1088483,510596,PRITE ANTARES,Educación Especial,No escolarizado,Pública - Sector Educación,CALLE GERMAN STIGLICH MZ A LOTE 4,Lima,Lima,San Martin de Porres,62,5,5
1088525,333626,PRITE FRAY PEDRO URRACA,Educación Especial,No escolarizado,Pública - Sector Educación,JIRON HUARAZ 481-483,Lima,Lima,San Martin de Porres,56,4,5
0245274,315364,01 CORAZON DE MARIA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON ESTHER FESTINI 109,Lima,Lima,Magdalena Del Mar,95,25,11
0340158,704486,09 SANTA LUCIA,Educación Especial,Escolarizado,Pública - Sector Educación,BLOCK 46,Lima,Lima,Lima,73,14,8
0689794,315359,014 LA SAGRADA FAMILIA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON SAN MARTIN (FRANCISCO GONZALES PAVON 385,Lima,Lima,Magdalena Del Mar,118,31,13
0334623,288558,06 REPUBLICA DOMINICANA,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE CLAVERO Y MUGA 103,Lima,Lima,Lima,107,28,14
0334631,288563,SAN BARTOLOME,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON HUANTA 1044,Lima,Lima,Lima,99,27,12
0466250,288657,707 LAS PALOMITAS,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON SANTA MARIANA DE PAREDES S/N,Lima,Lima,Lima,95,23,12
0663906,338129,MARIA GORETTI,Educación Especial,Escolarizado,Privada - Particular,CALLE MERCEDES DE PARKS 377,Lima,Lima,San Miguel,41,9,7
0666180,338087,ANN SULLIVAN DEL PERU-CASP,Educación Especial,Escolarizado,Privada - Particular,CALLE PETRONILA ALVAREZ 180,Lima,Lima,San Miguel,108,48,15
0601146,295691,BEATRIZ CISNEROS,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA ARICA 1221 1221,Lima,Lima,Breña,60,18,9
0340166,306699,08 PERU HOLANDA,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA MELLO FRANCO 850,Lima,Lima,Jesus Maria,112,27,13
1168889,316537,MILAGROSO NIÑO JESUS,Educación Especial,Escolarizado,Privada - Particular,JIRON JUAN VALER SANDOVAL 250,Lima,Lima,Pueblo Libre,95,27,13
0601344,308617,010 SOLIDARIDAD,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA SAN LUIS 520,Lima,Lima,La Victoria,124,27,13
0915868,510916,PRITE MARIA MONTESSORI,Educación Especial,No escolarizado,Pública - Sector Educación,PASAJE EL CARMEN S/N MZ B LOTE 05,Lima,Lima,Lima,80,13,17
0437202,301951,LUIS BRAILLE,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA EL MAESTRO PERUANO Y 340-380,Lima,Lima,Comas,91,23,13
0599183,297020,SANTA ROSA DE LIMA,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON SAN LUIS GONZAGA MZ R-1,Lima,Lima,Carabayllo,83,21,10
0599332,319201,HELLEN KELLER,Educación Especial,Escolarizado,Pública - Sector Educación,MZ D LOTE 1-2,Lima,Lima,Puente Piedra,85,16,8
0629188,301946,LOS VIÑEDOS,Educación Especial,Escolarizado,Pública - Sector Educación,MZ U LOTE 2,Lima,Lima,Comas,86,24,11
0662924,291339,HOGAR INMACULADA,Educación Especial,Escolarizado,Privada - Parroquial,PLAYA LAS CONCHITAS S/N,Lima,Lima,Ancon,30,3,6
0725846,297015,EL PROGRESO,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA MANUEL PRADO CDRA 7 S/N,Lima,Lima,Carabayllo,28,6,7
1054550,319437,JERUSALEN,Educación Especial,Escolarizado,Pública - Sector Educación,CARRETERA PANAMERICANA NORTE S/N,Lima,Lima,Puente Piedra,31,6,6
1054592,319098,2081 PERU SUIZA,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA LAS ACASIAS S/N,Lima,Lima,Puente Piedra,24,3,7
1054634,708936,MADRE TERESA DE CALCULTA,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE 24 Y 15 DE JUNIO S/N,Lima,Lima,Puente Piedra,24,5,10
1495373,709846,PRITE MANUEL GONZALES PRADA,Educación Especial,No escolarizado,Pública - Sector Educación,JIRON 8 DE NOVIEMBRE 101,Lima,Lima,Comas,65,7,7
0478438,325099,SAN MATIAS DE JESUS,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA GRAN CHIMU S/N,Lima,Lima,San Juan de Lurigancho,124,22,14
0664763,326819,FE Y ALEGRIA 25,Educación Especial,Escolarizado,Pública - En convenio,HUASCAR S/N,Lima,Lima,San Juan de Lurigancho,81,10,9
1072297,326843,FE Y ALEGRIA 37,Educación Especial,Escolarizado,Pública - En convenio,MONTENEGRO MZ LMNÑOP-1,Lima,Lima,San Juan de Lurigancho,39,4,11
0664755,325080,LOS PINOS,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA REPUBLICA DE POLONIA S/N,Lima,Lima,San Juan de Lurigancho,234,36,25
0605493,305138,HIPOLITO UNANUE,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA CESAR VALLEJO 1390,Lima,Lima,El Agustino,116,14,11
0901835,510006,PRITE CANTO GRANDE,Educación Especial,No escolarizado,Pública - Sector Educación,JIRON DELTA S/N,Lima,Lima,San Juan de Lurigancho,30,3,3
0901777,510011,PRITE CRUZ DE MOTUPE,Educación Especial,No escolarizado,Pública - Sector Educación,CRUZ DE MOTUPE GRUPO 5,Lima,Lima,San Juan de Lurigancho,45,4,4
0901801,616055,PRITE LOS ANGELITOS,Educación Especial,No escolarizado,Pública - Sector Educación,JIRON LOS URUBUES MZ I LOTE 11,Lima,Lima,San Juan de Lurigancho,42,4,3
1230994,510935,PRITE AYUDAME,Educación Especial,No escolarizado,Pública - Sector Educación,MARIANO BALDERRAGO MZ M LOTE 25,Lima,Lima,El Agustino,30,3,3
1501212,325103,PRITE HERMANO ANDRES,Educación Especial,No escolarizado,Pública - Sector Educación,AVENIDA 12 S/N,Lima,Lima,San Juan de Lurigancho,30,3,3
0664771,325103,SEÑOR DE LA ESPERANZA,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA 12 S/N,Lima,Lima,San Juan de Lurigancho,118,19,14
0692491,307665,SANTA MAGDALENA SOFIA BARAT,Educación Especial,Escolarizado,Privada - Parroquial,AVENIDA LOS GUAYABOS 165,Lima,Lima,La Molina,100,17,13
0692517,307608,JUAN PABLO II,Educación Especial,Escolarizado,Privada - Instituciones Benéficas,CALLE LAS AMAPOLAS 190,Lima,Lima,La Molina,43,8,8
0778308,307444,14 ROTARY CLUB LA MOLINA,Educación Especial,Escolarizado,Pública - Sector Educación,MZ V-1 LOTE 2,Lima,Lima,La Molina,89,18,11
0643809,291966,13 JESUS AMIGO,Educación Especial,Escolarizado,Pública - Sector Educación,CALLE COPHENAGE LOS PORTALES 104,Lima,Lima,Ate,146,25,19
0546309,314133,11 REPUBLICA DEL URUGUAY,Educación Especial,Escolarizado,Pública - Sector Educación,JIRON IQUITOS 348,Lima,Lima,Lurigancho,64,14,14
1045830,291773,15 MADRE TERESA DE CALCUTA,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA 15 DE JULIO MZ A,Lima,Lima,Ate,91,11,13
0603662,298251,EDUCACION ESPECIAL 12,Educación Especial,Escolarizado,Pública - Sector Educación,AVENIDA UNION S/N,Lima,Lima,Chaclacayo,101,22,15
1506617,720127,SOLIDARIDAD,Educación Especial,Escolarizado,Pública - En convenio,AVENIDA LOS CANARIOS MZ 02 LOTE 5,Lima,Lima,Lurigancho,73,12,10
1086180,340368,CERCIL,Educación Especial,Escolarizado,Privada - Instituciones Benéficas,AVENIDA LAS NAZARENAS 845,Lima,Lima,Santiago de Surco,141,11,5
0774174,317546,SAN JUAN BOSCO,Educación Especial,Escolarizado,Privada - Particular,AVENIDA PASEO DE LA REPUBLICA 5677,Lima,Lima,Miraflores,23,5,7
0643270,340071,09 SAN FRANCISCO DE ASIS,Educación Especial,Escolarizado,Pública - En convenio,CALLE MARQUEZ DE GUARDALCAZAR 161,Lima,Lima,Santiago de Surco,120,26,14
