Marca temporal,Código de alumno:,Carrera:,Ciclo:,Edad:,¿Usas lentes?,¿Juegas videojuegos?,¿Perteneces o perteneciste a algún club de programación?,¿Programas exclusivamente dentro de tu ciclo universitario o lo haces de manera recreativa incluso en vacaciones/tiempo libre?,¿Puedes tipear correctamente sin mirar tu teclado? ,"Por favor, entra a este link y realiza el test de tipeo para luego colocar tu resultado en palabras por minuto(WPM). (Ej. -> 76.8)              ",¿Cuántos años llevas programando? Ingrese su respuesta en años.,¿Cuál sistema operativo usas?,¿Cuál ambiente de programación usas?,¿Cuántos lenguajes de programación dominas?,¿En qué lenguaje te gusta programar más? ,¿Programas en PC o Laptop?,¿Cuánta RAM tiene tu PC/Laptop?,¿Has participado en algo relacionado a programación competitiva?,¿En cuántos proyectos de programación has participado?,¿Te gusta programar en equipo o prefieres en solitario?,¿Cuántas librerías conoces?,¿Cuántas horas al día pasas delante del monitor programando? ,"Por favor, entra al link. Es un test de velocidad de reacción. Solo ingresa el numero que te aparece."
8/06/2021 15:07:57,202110365,Ciencia de la Computación,1,17,Si,Si,No,Unicamente en mis ciclos universitarios,No,31,0,Windows,Visual Studio,0,C++,Laptop,16 GB,No,0,En equipo,0-5,2,223
9/06/2021 13:04:36,202010168,Ingeniería Mecánica,3,18,No,Si,No,Unicamente en mis ciclos universitarios,No,32,1,Windows,JetBrains,2,Python,Laptop,8 GB,No,0,Solitario,0-5,1,272
9/06/2021 20:43:31,201620054,Bioingeniería,7,24,Si,Si,No,En cualquier momento,Si,80,5,Windows,Notepad++,4,C,PC,32 GB,No,0,En equipo,25-30,1,250
9/06/2021 20:49:59,201910061,Ingeniería Industrial,5,19,No,No,No,Unicamente en mis ciclos universitarios,No,76.8,2,Windows,Visual Studio,2,Python,Laptop,8 GB,No,0,En equipo,0-5,1,399
9/06/2021 21:13:11,201910310,Ingeniería Industrial,5,19,Si,Si,No,En cualquier momento,Si,43,2,Windows,Visual Studio,2,C++,Laptop,32 GB,No,1,Solitario,0-5,1,280
9/06/2021 21:33:39,201920012,Ingeniería Mecatrónica,4,18,Si,No,No,Unicamente en mis ciclos universitarios,No,52,1,Windows,JetBrains,2,Python,Laptop,8 GB,No,2,Solitario,16-20,1,234
9/06/2021 22:33:17,201810381,Ingeniería Civl,5,19,No,Si,No,Unicamente en mis ciclos universitarios,Si,177,2,Windows,JetBrains,2,C++,PC,8 GB,No,2,Solitario,6-10,2,242
9/06/2021 22:50:02,201910353,Ingeniería Civl,5,19,No,Si,No,Unicamente en mis ciclos universitarios,Si,55,2,Windows,JetBrains,3,C++,PC,8 GB,No,0,Solitario,6-10,1,206
10/06/2021 0:10:14,201910208,Ingeniería Civl,5,19,Si,Si,No,Unicamente en mis ciclos universitarios,Si,51,3,Windows,Visual Studio,2,Java,Laptop,16 GB,No,2,Solitario,0-5,1,285
10/06/2021 14:10:03,201820017,Ingeniería Mecánica,4,23,No,Si,No,En cualquier momento,Si,30,1,Windows,JetBrains,2,Python,PC,16 GB,No,0,Solitario,6-10,1,270
10/06/2021 14:32:35,201810179,Ingeniería Industrial,7,21,Si,Si,No,Unicamente en mis ciclos universitarios,No,37,3,Windows,Visual Studio,3,C++,Laptop,64 GB,No,0,Solitario,6-10,1,327
10/06/2021 14:40:27,201910191,Ingeniería Civl,5,19,Si,Si,No,Unicamente en mis ciclos universitarios,No,47,2,Windows,Gedit,2,C++,Laptop,8 GB,No,2,En equipo,0-5,1,254
10/06/2021 14:58:21,201620001,Ingeniería Electrónica,6,22,Si,No,No,Unicamente en mis ciclos universitarios,Si,33,0,Windows,Notepad++,0,C++,Laptop,8 GB,No,0,Solitario,0-5,1,275
26/06/2021 12:37:23,201820043,Ingeniería Industrial,6,20,No,Si,No,Unicamente en mis ciclos universitarios,Si,42,2,Windows,JetBrains,2,C++,Laptop,8 GB,No,2,En equipo,6-10,2,288
3/07/2021 19:02:29,202010209,Bioingeniería,3,18,Si,Si,No,Unicamente en mis ciclos universitarios,Si,78.9,1,Windows,Visual Studio,2,C++,Laptop,8 GB,No,0,Solitario,0-5,1,200
12/07/2021 18:51:10,201910190,Bioingeniería,5,19,No,Si,Si,Unicamente en mis ciclos universitarios,Si,69,2,Windows,Visual Studio,2,Python,Laptop,16 GB,No,2,Solitario,0-5,1,182
14/07/2021 17:01:12,202110775,Ingeniería Mecatrónica,1,17,Si,No,Si,En cualquier momento,Si,94,1,Windows,Visual Studio,1,Python,Laptop,32 GB,No,1,Solitario,0-5,4,2515
14/07/2021 17:01:14,202110773,Ingeniería Mecatrónica,1,17,Si,Si,No,En cualquier momento,Si,76.8,2,Windows,Netbeans,2,Java,Laptop,8 GB,No,1,En equipo,6-10,2,404
14/07/2021 17:01:20,202110570,Ingeniería Mecánica,1,17,Si,No,No,Unicamente en mis ciclos universitarios,No,10,0,Windows,Visual Studio,1,Python,Laptop,64 GB,No,1,Solitario,0-5,2,4
14/07/2021 17:04:05,202110557,Ingeniería Electrónica,1,18,Si,Si,No,Unicamente en mis ciclos universitarios,Si,01,0,Windows,Visual Studio,0,Python,Laptop,8 GB,No,1,En equipo,0-5,2,346
14/07/2021 17:09:22,202110374,Ingeniería Mecatrónica,1,17,No,Si,No,Unicamente en mis ciclos universitarios,Si,34,0,Windows,Visual Studio,0,Python,PC,8 GB,No,0,En equipo,0-5,1,255
14/07/2021 17:11:54,202010116,Ingeniería Civl,3,18,No,No,No,Unicamente en mis ciclos universitarios,No,33,2,Windows,Visual Studio,2,C++,Laptop,8 GB,No,0,Solitario,0-5,2,348
14/07/2021 17:12:09,202110535,Ingeniería Civl,1,17,No,No,No,Unicamente en mis ciclos universitarios,No,30,0,Windows,Visual Studio,0,Python,Laptop,4 GB,No,0,En equipo,0-5,1,273
14/07/2021 17:12:40,202110445,Bioingeniería,1,17,Si,No,No,Unicamente en mis ciclos universitarios,No,42,0,Windows,Visual Studio,0,Python,Laptop,8 GB,No,0,En equipo,0-5,2,446
14/07/2021 17:14:15,202110624,Ingeniería Mecatrónica,1,18,No,Si,No,Unicamente en mis ciclos universitarios,No,27,0,Windows,JetBrains,0,Python,Laptop,8 GB,No,0,En equipo,0-5,1,237
14/07/2021 17:14:32,202110524,Ingeniería Civl,1,17,Si,Si,No,Unicamente en mis ciclos universitarios,No,139,0,Windows,JetBrains,1,Python,Laptop,16 GB,No,0,Solitario,0-5,1,253
14/07/2021 17:14:47,202110349,Ingeniería Química,1,17,No,Si,No,Unicamente en mis ciclos universitarios,Si,43,0,Windows,JetBrains,0,Python,Laptop,8 GB,No,0,Solitario,0-5,1,411
14/07/2021 17:14:52,202110561,Ingeniería Civl,1,18,No,No,No,Unicamente en mis ciclos universitarios,No,76.8,0,Windows,Visual Studio,0,Python,Laptop,8 GB,No,0,En equipo,0-5,1,76.8
14/07/2021 17:15:41,202110533,Ingeniería Química,1,21,Si,No,No,Unicamente en mis ciclos universitarios,No,31,0,Windows,Visual Studio,0,Python,Laptop,4 GB,No,0,Solitario,0-5,1,1342
14/07/2021 17:16:18,202110528,Bioingeniería,1,17,No,No,No,Unicamente en mis ciclos universitarios,No,68,0,Windows,Visual Studio,1,Python,Laptop,4 GB,No,0,En equipo,6-10,2,68
14/07/2021 17:17:27,202110042,Bioingeniería,1,17,Si,Si,No,Unicamente en mis ciclos universitarios,Si,48,0,Windows,Visual Studio,1,Python,Laptop,8 GB,No,0,En equipo,0-5,1,280
14/07/2021 17:17:50,202110778,Ingeniería Mecatrónica,1,16,Si,Si,No,Unicamente en mis ciclos universitarios,No,24,0,Windows,JetBrains,0,Python,Laptop,16 GB,No,2,Solitario,0-5,1,284
14/07/2021 17:19:17,202110314,Ingeniería Civl,1,17,Si,Si,No,Unicamente en mis ciclos universitarios,No,25,0,Windows,JetBrains,1,Python,Laptop,8 GB,No,1,En equipo,11-15,1,290
14/07/2021 17:19:36,202110122,Ciencia de la Computación,0,18,Si,Si,No,En cualquier momento,Si,38,1,Windows,Visual Studio,7,Python,PC,8 GB,No,3,En equipo,0-5,3,264
14/07/2021 17:21:02,202110241,Ingeniería Mecatrónica,1,16,No,Si,No,En cualquier momento,Si,33,2,"Windows, MAC OS",JetBrains,2,Python,Laptop,8 GB,No,0,En equipo,0-5,2,357
14/07/2021 17:21:11,202020091,Ingeniería Industrial,1,18,Si,Si,No,Unicamente en mis ciclos universitarios,Si,60,0,Windows,Visual Studio,0,Python,PC,8 GB,No,0,En equipo,0-5,1,296
14/07/2021 17:21:45,202110712,Ingeniería Química,1,17,Si,No,No,Unicamente en mis ciclos universitarios,No,35.1 ,0,Windows,Visual Studio,1,Python,Laptop,16 GB,No,0,En equipo,0-5,4,501
14/07/2021 17:22:19,202110488,Ingeniería Civl,1,18,No,No,No,Unicamente en mis ciclos universitarios,No,20,0,Windows,Visual Studio,0,Python,Laptop,16 GB,No,0,En equipo,0-5,1,262
14/07/2021 17:23:17,202110564,Bioingeniería,1,19,Si,Si,No,Unicamente en mis ciclos universitarios,No,30,0,Windows,JetBrains,0,Python,Laptop,4 GB,No,0,En equipo,0-5,4,280
14/07/2021 17:25:38,202110346,Ciencia de la Computación,1,18,Si,Si,No,En cualquier momento,No,39,0,Windows,Visual Studio,0,Python,PC,16 GB,No,0,Solitario,0-5,2,309
14/07/2021 17:26:08,202110397,Ciencia de la Computación,1,17,No,Si,Si,En cualquier momento,Si,70,2,Windows,Visual Studio,1,PHP,PC,8 GB,No,0,En equipo,6-10,2,246
14/07/2021 17:33:55,202110601,Ingeniería Civl,1,19,No,No,No,En cualquier momento,No,1,0,Windows,Visual Studio,0,Python,Laptop,8 GB,No,0,Solitario,0-5,3,273
14/07/2021 17:34:27,202110277,Bioingeniería,1,17,Si,Si,No,Unicamente en mis ciclos universitarios,No,56,0,Windows,Visual Studio,1,Python,Laptop,8 GB,No,0,Solitario,0-5,1,236
14/07/2021 17:38:04,202110635,Ingeniería Mecatrónica,1,18,No,Si,No,Unicamente en mis ciclos universitarios,No,38,0,MAC OS,JetBrains,1,Python,Laptop,16 GB,No,1,Solitario,6-10,2,229
14/07/2021 17:40:22,202110282,Ingeniería Civl,1,18,Si,Si,No,Unicamente en mis ciclos universitarios,No,43,0,Windows,Visual Studio,1,Python,PC,8 GB,No,1,En equipo,0-5,2,148
14/07/2021 17:41:53,202110568,Ciencia de la Computación,1,18,No,Si,No,En cualquier momento,Si,28,5,Windows,Visual Studio,2,Python,PC,16 GB,No,9,Solitario,11-15,6,230
14/07/2021 17:43:13,202110249,Ingeniería Mecatrónica,1,18,No,No,Si,Unicamente en mis ciclos universitarios,No,34,0,"Windows, MAC OS",Visual Studio,1,Python,Laptop,8 GB,No,0,En equipo,0-5,1,980
14/07/2021 17:45:19,202110530,Bioingeniería,1,17,No,Si,No,Unicamente en mis ciclos universitarios,No,86.9,0,Windows,Visual Studio,0,C++,Laptop,16 GB,No,0,En equipo,0-5,1,332
14/07/2021 17:51:56,202110112,Ingeniería Industrial,1,17,No,Si,No,Unicamente en mis ciclos universitarios,Si,87,0,Windows,JetBrains,0,Python,Laptop,8 GB,No,0,Solitario,0-5,1,351
14/07/2021 17:51:57,202110555,Ingeniería Ambiental,1,18,No,No,No,Unicamente en mis ciclos universitarios,No,4,0,Windows,Visual Studio,0,Python,Laptop,8 GB,No,0,En equipo,0-5,1,1888
14/07/2021 17:52:29,202110135,Ingeniería Industrial,1,17,No,Si,No,Unicamente en mis ciclos universitarios,No,33,0,Windows,JetBrains,0,Python,PC,4 GB,No,0,En equipo,0-5,6,341
14/07/2021 17:55:19,202110609,Ingeniería Mecatrónica,1,17,Si,Si,No,En cualquier momento,Si,33,0,Windows,JetBrains,1,Python,Laptop,32 GB,No,1,Solitario,0-5,5,615
14/07/2021 17:57:48,202110440,Bioingeniería,1,17,Si,No,No,Unicamente en mis ciclos universitarios,No,20,0,Windows,Visual Studio,0,Python,Laptop,16 GB,No,0,En equipo,0-5,1,421
14/07/2021 18:10:58,201810669,Ciencia de la Computación,6,20,Si,Si,No,En cualquier momento,Si,34,2,Windows,Visual Studio,4,C++,Laptop,4 GB,No,0,En equipo,6-10,6,455
14/07/2021 18:17:28,202110543,Ingeniería Mecánica,1,18,No,No,No,Unicamente en mis ciclos universitarios,Si,70,0,Windows,JetBrains,1,Python,PC,8 GB,No,1,Solitario,0-5,1,224
14/07/2021 18:18:54,202110738,Ingeniería Industrial,3,23,Si,No,No,En cualquier momento,Si,84,0,Windows,LiveCode,0,Python,Laptop,8 GB,No,0,En equipo,0-5,4,229
14/07/2021 18:19:34,20211583,Ingeniería Civl,1,18,Si,Si,No,Unicamente en mis ciclos universitarios,No,32,0,Windows,Visual Studio,1,Python,Laptop,16 GB,No,1,En equipo,6-10,3,216
14/07/2021 18:30:40,202110232,Ingeniería Industrial,1,18,Si,Si,No,Unicamente en mis ciclos universitarios,Si,61,0,Windows,JetBrains,1,Python,Laptop,8 GB,No,0,Solitario,0-5,2,299
14/07/2021 19:13:46,202110240,Ingeniería Mecatrónica,1,17,No,Si,No,Unicamente en mis ciclos universitarios,Si,37,0,Windows,JetBrains,1,Python,Laptop,4 GB,No,1,Solitario,0-5,3,269
14/07/2021 19:17:42,202010461,Ciencia de la Computación,3,19,Si,Si,No,En cualquier momento,Si,66,1,Windows,Visual Studio,4,Python,Laptop,16 GB,No,0,Solitario,0-5,1,177
14/07/2021 19:47:18,202110582,Ingeniería Industrial,1,20,Si,No,No,Unicamente en mis ciclos universitarios,No,28,0,Windows,Visual Studio,0,Python,PC,8 GB,No,1,Solitario,0-5,1,1224
14/07/2021 19:49:32,202110064,Ingeniería Industrial,1,17,Si,No,No,Unicamente en mis ciclos universitarios,No,27,0,Windows,JetBrains,1,Python,Laptop,8 GB,No,0,Solitario,0-5,2,352
14/07/2021 19:55:15,202110623,Ingeniería Industrial,1,20,Si,Si,No,Unicamente en mis ciclos universitarios,No,10,0,Windows,JetBrains,0,Python,Laptop,8 GB,No,0,Solitario,0-5,1,28
14/07/2021 20:12:39,202110243,Bioingeniería,1,17,Si,No,No,Unicamente en mis ciclos universitarios,Si,43,1,Windows,Visual Studio,1,Python,Laptop,32 GB,No,0,Solitario,0-5,3,1623
14/07/2021 21:03:04,202110628,Ingeniería Industrial,1,18,No,No,No,Unicamente en mis ciclos universitarios,No,10,0,Windows,Visual Studio,1,Python,Laptop,8 GB,No,0,En equipo,0-5,1,286
14/07/2021 22:31:06,202110565,Ingeniería Ambiental,1,16,Si,No,No,Unicamente en mis ciclos universitarios,No,16,0,Windows,Visual Studio,0,Python,Laptop,4 GB,No,1,Solitario,0-5,1,16
14/07/2021 22:34:08,202110785,Ciencia de la Computación,1,20,Si,Si,No,En cualquier momento,Si,90,1,Linux,Notepad++,1,C,Laptop,8 GB,No,5,En equipo,0-5,2,182
14/07/2021 23:59:24,202020204,Ingeniería Ambiental,1,18,Si,No,No,En cualquier momento,No,4,2,Windows,LiveCode,1,JavaScript,Laptop,16 GB,No,0,Solitario,0-5,3,3
15/07/2021 0:07:13,202110638,Ciencia de la Computación,1,17,Si,No,No,Unicamente en mis ciclos universitarios,No,40,0,Windows,Visual Studio,0,Python,Laptop,8 GB,No,0,Solitario,0-5,2,682
15/07/2021 12:10:33,202110454,Ingeniería Mecatrónica,1,17,No,Si,No,Unicamente en mis ciclos universitarios,Si,51,0,Windows,Visual Studio,1,Python,Laptop,8 GB,No,0,En equipo,0-5,4,247
15/07/2021 15:33:29,202110114,Bioingeniería,1,17,Si,No,No,Unicamente en mis ciclos universitarios,No,30,0,Windows,Visual Studio,1,Python,Laptop,16 GB,No,1,Solitario,0-5,1,327
