"Marca temporal","Edad (años)","Sexo","Carrera","¿Qué tipo de dispositivo usas con mayor  frecuencia?","¿Cuánto tiempo, en promedio, usas tu celular al día? En minutos (Recordar: 1 hora = 60 minutos)","¿Cuánto dura, en promedio, la batería de tu celular?  En minutos (Recordar: 1 hora = 60 minutos)","¿A qué edad usaste tu primer celular? En años (Ejemplo: 18)","Después de que se descarga tu celular, ¿por cuánto tiempo, en promedio, lo dejas cargando? En minutos (Recordar: 1 hora = 60 minutos)","¿Cuánto tiempo, en promedio, le dedicas a las redes sociales al día? En minutos  (Recordar: 1 hora = 60 minutos)","¿Por cuánto tiempo, en promedio, dejas de usar tu celular al día? En minutos.  ","Nivel de angustia sin celular: 1 nada angustiado y 5 muy angustiado.","¿Qué tan angustiado te sientes al ver tu celular con baja bateria?  1 Nada angustiado y 5 Muy angustiado.","¿Qué nivel de importancia tiene usar tu celular para tus estudios?  1 Nada importante y 5 Muy importante.","¿Con qué frecuencia juegas videojuegos? 1 Nada frecuente y 5 Muy frecuente.","¿En qué lugar usas mayormente tu celular?","¿Cuántos minutos esperas para volver a usar tu celular luego de dejarlo cargando? (en minutos)","¿Cuánto tiempo usaste tu celular desde la última carga, segun tu celular? (en minutos)","¿Cuánto tiempo de duración tiene tu batería desde tu ultima carga, segun tu celular?  En minutos (Recordar: 1 hora = 60 minutos)","¿Cuánto tiempo no usas tu celular en el día, segun tu celular? (en minutos)",""
"2022/11/15 12:24:47 a. m. GMT-5","19","Femenino","Ingeniería Industrial","Celular","500","900","13","100","100","200","3","4","3","2","Cubículo","50","80","200","300",""
"2022/11/15 12:26:11 a. m. GMT-5","19","Masculino","Ingeniería Industrial","Tablet","245","1052","15","352","72","502","4","5","4","5","Salón de clase","47","132","222","132",""
"2022/11/15 12:27:26 a. m. GMT-5","18","Masculino","Ingeniería Electrónica","Celular","240","1000","17","200","200","600","4","4","3","4","Cubículo","50","40","200","300",""
"2022/11/15 12:29:51 a. m. GMT-5","19","Femenino","Ingeniería Química","Celular","450","930","13","180","180","330","4","2","4","3","En los medios de transporte","25","116","258","179",""
"2022/11/15 12:30:33 a. m. GMT-5","23","Masculino","Ingeniería Civil","Celular","500","1000","12","200","40","200","5","4","3","3","Laboratorios","50","40","200","300",""
"2022/11/15 12:34:38 a. m. GMT-5","25","Femenino","Ingeniería Electrónica","Celular","400","900","10","200","80","500","4","3","3","3","Cubículo","50","100","300","200",""
"2022/11/15 12:41:44 a. m. GMT-5","21","Femenino","Ingeniería Industrial","Tablet","246","1053","16","353","73","503","4","5","4","5","Salón de clase","48","133","223","133",""
"2022/11/15 12:42:12 a. m. GMT-5","18","Masculino","Ingeniería Industrial","Celular","240","900","10","200","180","500","3","4","3","3","Cubículo","30","40","300","270",""
"2022/11/15 12:42:51 a. m. GMT-5","20","Femenino","Ingeniería Industrial","Tablet","247","1054","17","354","74","504","4","5","4","5","Salón de clase","49","134","224","134",""
"2022/11/15 12:44:25 a. m. GMT-5","21","Masculino","Ingeniería Industrial","Celular","250","900","10","200","40","300","3","2","3","3","Cubículo","40","180","480","180",""
"2022/11/15 12:44:56 a. m. GMT-5","20","Masculino","Ingeniería de la Energía","Laptop","248","1030","11","355","75","505","4","5","4","5","Salón de clase","50","135","225","135",""
"2022/11/15 12:45:40 a. m. GMT-5","20","Femenino","Ingeniería Química","Laptop","330","1020","15","240","120","450","2","1","2","3","Casa","20","92","364","196",""
"2022/11/15 12:45:56 a. m. GMT-5","18","Femenino","Ciencia de Datos","Laptop","249","1030","12","351","71","501","4","5","4","5","Salón de clase","51","131","221","131",""
"2022/11/15 12:46:20 a. m. GMT-5","24","Femenino","Ingeniería Ambiental","Celular","500","1080","11","200","190","380","3","3","4","3","Cubículo","20","300","200","190",""
"2022/11/15 12:49:22 a. m. GMT-5","21","Femenino","Bioingeniería","Celular","300","900","10","280","50","500","4","3","3","4","Cubículo","40","190","400","290",""
"2022/11/15 12:50:12 a. m. GMT-5","20","Masculino","Ingeniería Civil","Pc","235","1031","13","352","61","502","4","5","4","5","Salón de clase","53","132","224","133",""
"2022/11/15 12:51:10 a. m. GMT-5","24","Masculino","Ciencia de la Computación","Celular","370","1000","10","230","190","500","4","3","3","4","Pasillos de UTEC","50","150","300","290",""
"2022/11/15 12:52:59 a. m. GMT-5","21","Masculino","Ingeniería Mecatrónica","Celular","300","1000","9","100","20","480","4","4","3","4","Cubículo","40","150","380","280",""
"2022/11/15 12:53:59 a. m. GMT-5","19","Masculino","Ingeniería Civil","Pc","227","1032","12","344","62","503","4","5","4","5","Salón de clase","54","133","224","134",""
"2022/11/15 12:54:30 a. m. GMT-5","21","Masculino","Ciencia de Datos","Celular","400","1080","14","200","40","280","2","3","2","3","Salón de clase","20","200","300","190",""
"2022/11/15 12:55:47 a. m. GMT-5","21","Femenino","Ciencia de Datos","Laptop","228","1033","13","345","63","504","4","5","4","5","Salón de clase","55","134","225","135",""
"2022/11/15 12:56:52 a. m. GMT-5","24","Masculino","Ingeniería Electrónica","Tablet","229","1034","15","341","62","501","4","5","4","5","Salón de clase","52","135","228","139",""
"2022/11/15 12:59:42 a. m. GMT-5","23","Femenino","Ciencia de Datos","Laptop","330","1050","17","300","30","490","1","1","1","5","Casa","55","43","418","271",""
"2022/11/15 1:10:42 a. m. GMT-5","20","Femenino","Ingeniería Mecánica","Pc","360","990","14","210","90","330","3","2","2","3","Sala de estudios","41","121","237","194",""
"2022/11/15 1:26:34 a. m. GMT-5","19","Femenino","Administración y Negocios Digitales","Celular","450","930","12","270","180","180","5","4","5","1","Pasillos de UTEC","31","185","294","162",""
"2022/11/15 1:36:07 p. m. GMT-5","19","Femenino","Ingeniería de la Energía","Celular","330","960","13","240","80","360","2","1","2","3","En los medios de transporte","45","124","311","258",""
"2022/11/15 1:49:01 p. m. GMT-5","22","Femenino","Ingeniería Electrónica","Celular","360","300","14","180","60","150","4","3","4","1","Laboratorios","20","139","225","147",""
"2022/11/15 2:17:05 p. m. GMT-5","20","Masculino","Ciencia de la Computación","Laptop","240","1080","14","120","180","480","1","1","2","4","Casa","60","177","360","210",""
"2022/11/15 2:28:06 p. m. GMT-5","19","Femenino","Bioingeniería","Celular","420","930","16","180","150","300","5","5","5","1","Laboratorios","10","181","206","166",""
"2022/11/15 2:34:53 p. m. GMT-5","20","Masculino","Ingeniería Industrial","Celular","300","1200","10","80","200","500","2","4","4","3","Ambientes del piso 6","10","40","200","280",""
"2022/11/15 2:38:03 p. m. GMT-5","20","Masculino","Ingeniería Industrial","Celular","600","900","9","20","250","160","3","4","5","5","Salón de clase","10","240","480","300",""
"2022/11/15 2:40:26 p. m. GMT-5","20","Masculino","Ingeniería Civil","Celular","240","900","7","200","300","100","4","4","3","4","Cubículo","30","180","200","200",""
"2022/11/15 2:42:25 p. m. GMT-5","18","Femenino","Ingeniería Química","Celular","390","1010","12","220","170","460","4","2","4","1","Cubículo","31","102","193","144",""
"2022/11/15 2:43:13 p. m. GMT-5","21","Femenino","Bioingeniería","Celular","200","1100","10","90","50","500","4","5","5","4","Cubículo","20","200","200","300",""
"2022/11/15 2:45:22 p. m. GMT-5","19","Masculino","Bioingeniería","Celular","300","900","9","100","20","200","4","4","4","3","Cubículo","50","100","200","200",""
"2022/11/15 2:48:13 p. m. GMT-5","18","Masculino","Ingeniería Industrial","Laptop","300","1200","7","370","200","500","5","4","4","3","Ambientes del piso 6","50","200","450","300",""
"2022/11/15 2:51:45 p. m. GMT-5","19","Femenino","Bioingeniería","Laptop","240","900","11","200","40","300","4","2","4","4","Pasillos de UTEC","50","400","390","800",""
"2022/11/15 2:59:20 p. m. GMT-5","20","Masculino","Ingeniería Electrónica","Laptop","300","1000","11","360","240","600","4","4","3","5","Ambientes del piso 6","20","150","380","280",""
"2022/11/15 3:03:26 p. m. GMT-5","20","Masculino","Ingeniería Electrónica","Laptop","400","1000","10","300","400","480","4","3","3","3","Pasillos de UTEC","20","200","400","380",""
"2022/11/15 3:04:12 p. m. GMT-5","17","Femenino","Ingeniería Mecatrónica","Celular","430","970","12","200","190","265","3","2","2","2","Casa","15","148","248","196",""
"2022/11/15 3:06:07 p. m. GMT-5","19","Femenino","Ingeniería Civil","Laptop","290","1000","10","200","200","600","4","4","5","4","Ambientes del piso 6","20","200","470","190",""
"2022/11/15 3:08:33 p. m. GMT-5","20","Femenino","Bioingeniería","Laptop","400","800","25","200","180","500","4","4","5","5","Cubículo","60","140","390","150",""
"2022/11/15 3:11:30 p. m. GMT-5","20","Masculino","Ingeniería Industrial","Laptop","300","1000","8","200","240","500","5","5","4","3","Ambientes del piso 6","50","200","400","300",""
"2022/11/15 3:17:06 p. m. GMT-5","19","Masculino","Ingeniería Electrónica","Laptop","400","1200","9","200","250","500","4","5","5","4","Ambientes del piso 6","50","200","380","140",""
"2022/11/15 3:18:42 p. m. GMT-5","22","Masculino","Ingeniería Industrial","Laptop","490","1000","12","290","210","480","4","3","4","5","Salón de clase","40","140","500","400",""
"2022/11/15 3:21:39 p. m. GMT-5","23","Masculino","Ingeniería Civil","Laptop","400","910","15","300","100","200","4","4","4","5","Ambientes del piso 6","30","140","340","210",""
"2022/11/15 3:22:44 p. m. GMT-5","23","Femenino","Ingeniería Mecatrónica","Celular","400","980","15","235","170","327","4","1","4","2","Casa","38","84","377","182",""
"2022/11/15 3:25:08 p. m. GMT-5","20","Masculino","Ingeniería Civil","Laptop","240","1020","11","200","200","400","5","5","4","4","Ambientes del piso 6","30","190","390","290",""
"2022/11/15 3:27:12 p. m. GMT-5","19","Femenino","Ciencia de la Computación","Laptop","400","1030","16","410","310","120","5","5","4","5","Ambientes del piso 6","20","180","390","280",""
"2022/11/15 3:29:27 p. m. GMT-5","19","Femenino","Ingeniería Industrial","Laptop","350","990","15","220","50","490","3","5","5","3","Sala de estudios","40","270","410","220",""
"2022/11/15 3:32:01 p. m. GMT-5","20","Femenino","Ciencia de la Computación","Laptop","390","1020","15","200","170","430","5","4","5","5","Ambientes del piso 6","10","180","320","270",""
"2022/11/15 3:34:15 p. m. GMT-5","24","Femenino","Ingeniería Civil","Laptop","300","1020","13","140","160","480","5","5","4","5","Ambientes del piso 6","10","40","410","280",""
"2022/11/15 3:35:58 p. m. GMT-5","24","Femenino","Ingeniería Civil","Celular","372","1031","17","175","139","453","1","1","2","2","Casa","33","57","202","255",""
"2022/11/15 3:37:41 p. m. GMT-5","22","Masculino","Ciencia de la Computación","Laptop","320","1010","15","200","210","440","4","4","4","5","Cubículo","40","40","350","600",""
