"","Universidad","Genero","Edad","Num_dispositivos","Horas","Vcalificaion","Plataforma","Medios","Concentracion","Acceso","Aplicaciones","Resultados","Frecuencia","Curso_linea","Efectividad","Ponderado","Cursos_avanzados","Participacion","Reconocimiento","Presentaciones","Practicas","Actividades","Mejoramiento","Motivacion","Ciclo","Nota_max","Nota_min"
"122","UNMSM","Femenino",19,2,4,6,"Aula virtual, Biblioteca virtual","Casi siempre","Si","Si","A veces","De acuerdo","Nunca","Si","No",13.92,"No","Nunca","No","No","No","No",7,8,4,20,0
"123","UNMSM","Femenino",21,3,5,8,"Aula virtual, Biblioteca virtual","Siempre","Si","Si","Casi siempre","De acuerdo","Nunca","Si","Si",14.49,"No","Nunca","No","No","No","No",8,8,4,20,0
"124","UNMSM","Femenino",19,2,5,6,"Aula virtual, Biblioteca virtual, Canvas","Siempre","Si","Si","Siempre","De acuerdo","Casi nunca","Si","No",14.54,"No","Nunca","No","No","No","Si",9,9,3,20,0
"125","UNMSM","Femenino",22,3,5,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Casi siempre","Totalmente de acuerdo","A veces","Si","No",16.27,"Si","Aveces","Si","Si","Si","Si",8,9,7,20,0
"126","UNMSM","Femenino",20,3,5,6,"Aula virtual, Biblioteca virtual","Casi siempre","Si","Si","Casi siempre","De acuerdo","A veces","Si","No",14.29,"No","Nunca","No","No","No","No",8,10,3,20,0
"127","UNMSM","Masculino",21,2,5,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","No","Si","Casi siempre","De acuerdo","Casi nunca","Si","No",14.32,"No","Nunca","No","No","No","Si",7,8,3,20,0
"128","UNMSM","Femenino",19,3,4,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","Si","Si","Siempre","Totalmente de acuerdo","Casi nunca","Si","No",14.12,"No","Nunca","No","No","No","Si",9,9,3,20,0
"129","UNMSM","Masculino",22,3,4,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","No","Si","Casi siempre","De acuerdo","Casi nunca","Si","No",13.56,"No","Nunca","No","No","No","No",7,7,4,20,0
"130","UNMSM","Femenino",24,4,5,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","No","Si","Casi siempre","De acuerdo","A veces","Si","Si",16.78,"Si","Aveces","Si","Si","Si","Si",8,9,9,20,0
"131","UNMSM","Masculino",19,3,5,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","No","Si","Siempre","De acuerdo","Casi nunca","No","Si",14.87,"No","Nunca","No","No","No","Si",7,7,3,20,0
"132","UNMSM","Femenino",20,3,5,7,"Aula virtual, Biblioteca virtual","Casi siempre","No","Si","Casi siempre","De acuerdo","Casi nunca","Si","No",13.98,"No","Nunca","No","No","No","No",8,7,4,20,0
"133","UNMSM","Masculino",21,3,5,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Siempre","De acuerdo","Nunca","Si","No",15.77,"No","Nunca","No","No","No","Si",7,7,4,20,0
"134","UNMSM","Femenino",19,3,4,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","A veces","De acuerdo","Nunca","Si","No",15.21,"No","Nunca","No","No","No","No",8,8,3,20,0
"135","UTEC","Masculino",23,2,4,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","Casi siempre","De acuerdo","A veces","Si","Si",13.67,"No","Nunca","No","No","No","No",9,9,4,18,7
"136","UTEC","Femenino",19,2,7,7,"Aula virtual, Biblioteca virtual","Casi siempre","No","Si","A veces","De acuerdo","Siempre","Si","Si",14.45,"No","Aveces","No","No","No","Si",8,10,4,20,8
"137","UTEC","Femenino",19,2,4,5,"Aula virtual, Canvas","Casi siempre","Si","Si","A veces","De acuerdo","A veces","Si","Si",17.35,"No","Aveces","No","No","No","No",8,9,3,20,14
"138","UTEC","Masculino",19,2,4,3,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Aveces","Si","Si","Casi siempre","De acuerdo","A veces","Si","Si",12,"Si","Nunca","No","No","No","No",8,3,3,16,0
"139","UTEC","Femenino",19,4,6,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","Si","Si","A veces","Ni de acuerdo ni en desacuerdo","A veces","Si","Si",15.68,"Si","Aveces","Si","Si","Si","Si",8,8,3,20,5
"140","UTEC","Masculino",19,2,1,7,"Repositorios virtuales, Canvas","Siempre","Si","Si","Muy poco","De acuerdo","Casi nunca","Si","No",13.81,"No","Casi nunca","Si","No","No","No",7,7,5,20,0
"141","UTEC","Masculino",22,2,5,8,"Aula virtual, Repositorios virtuales, Canvas","Casi siempre","Si","Si","Casi siempre","Totalmente de acuerdo","Casi nunca","No","Si",13.4,"No","Nunca","No","No","Si","No",8,7,9,14.5,11.2
"142","UTEC","Masculino",21,3,2,6,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","A veces","Ni de acuerdo ni en desacuerdo","Casi nunca","Si","Si",18,"No","Casi nunca","Si","Si","No","No",6,7,1,20,13
"143","UNMSM","Masculino",24,4,5,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","No","Si","A veces","De acuerdo","A veces","Si","No",15.31,"Si","Nunca","No","Si","No","Si",8,7,5,20,5.6
"144","UNMSM","Femenino",23,3,4,7,"Aula virtual, Biblioteca virtual","Siempre","Si","Si","Siempre","De acuerdo","A veces","No","Si",14.91,"No","Nunca","No","No","No","No",8,8,3,20,4.5
"145","UNMSM","Femenino",20,2,4,6,"Aula virtual, Biblioteca virtual","Aveces","Si","Si","A veces","De acuerdo","Casi nunca","No","No",12.35,"No","Nunca","No","No","No","No",7,9,3,18,4
"146","UNMSM","Femenino",20,3,5,8,"Aula virtual, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","Totalmente de acuerdo","A veces","Si","Si",15.37,"No","Casi nunca","No","Si","No","Si",9,9,3,20,0
"147","UNMSM","Femenino",19,4,6,9,"Aula virtual, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","Totalmente de acuerdo","A veces","Si","Si",17.08,"No","Nunca","No","Si","No","Si",8,10,3,20,9.2
"148","UNMSM","Masculino",20,3,5,8,"Aula virtual, Biblioteca virtual, Canvas","Siempre","No","Si","Casi siempre","De acuerdo","A veces","No","Si",15.98,"No","Nunca","No","No","No","Si",8,8,3,20,7.6
"149","UNMSM","Masculino",22,2,4,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","A veces","De acuerdo","Nunca","Si","No",13.22,"No","Nunca","No","No","No","No",6,8,3,18,8
"150","UNMSM","Femenino",19,2,6,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","Si","Si","Siempre","Totalmente de acuerdo","A veces","Si","Si",16.21,"No","Casi nunca","No","No","No","Si",7,10,4,18,7.5
"151","UNMSM","Femenino",25,2,5,9,"Aula virtual, Biblioteca virtual, Canvas","Siempre","No","Si","A veces","De acuerdo","A veces","Si","Si",15.21,"Si","Aveces","Si","Si","Si","Si",8,8,7,19,5.5
"152","UNMSM","Masculino",21,2,5,5,"Aula virtual, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Casi siempre","De acuerdo","Casi nunca","Si","Si",15.15,"No","Nunca","No","No","No","Si",7,7,3,19,4.5
"153","UNMSM","Masculino",20,2,3,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual","Aveces","Si","Si","A veces","Ni de acuerdo ni en desacuerdo","Casi siempre","Si","Si",17,"No","Casi nunca","Si","Si","Si","Si",5,9,4,18,3
"154","UTEC","Femenino",20,4,5,6,"Aula virtual","Aveces","No","Si","Poco","En desacuerdo","A veces","No","Si",14.33,"No","Aveces","No","No","No","No",5,7,2,17,12
"155","UTEC","Masculino",19,2,3,10,"Aula virtual, Biblioteca virtual, Canvas","Casi siempre","No","Si","Casi siempre","De acuerdo","Casi siempre","Si","Si",14,"No","Nunca","No","No","No","No",8,8,4,18,12
"156","UTEC","Femenino",20,3,10,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","Si","Casi siempre","De acuerdo","Casi siempre","Si","Si",15.68,"No","Casi nunca","Si","No","No","No",7,7,2,20,8
"157","UNMSM","Femenino",23,3,5,9,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","No","Si","Casi siempre","De acuerdo","Casi nunca","No","Si",15.46,"No","Nunca","No","No","No","Si",8,9,5,20,0
"158","UNMSM","Masculino",23,2,4,3,"Aula virtual, Biblioteca virtual","A veces","No","Si","A veces","De acuerdo","Casi nunca","No","Si",15,"No","Nunca","No","No","No","No",7,6,4,19,5
"159","UNMSM","Masculino",22,2,6,6,"Aula virtual, Biblioteca virtual","Casi Siempre","Si","Si","Siempre","Ni de acuerdo ni en desacuerdo","A veces","No","No",13.4,"No","Nunca","No","No","No","Si",6,9,2,18,2
"160","UNMSM","Femenino",22,2,5,4,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","A veces","Si","Si","Casi siempre","De acuerdo","Casi siempre","Si","Si",17.3,"No","Nunca","Si","Si","Si","No",5,7,6,20,0
"161","UNMSM","Masculino",26,3,5,5,"Aula virtual, Biblioteca virtual","Casi Siempre","So","Si","A veces","Totalmente de acuerdo","A veces","Si","No",15.9,"No","Casi nunca","Si","Si","No","Si",7,8,2,18,5
"162","UNMSM","Masculino",23,3,3,6,"Aula virtual, Biblioteca virtual, Canvas","Casi siempre","Si","SI","Casi siempre","De acuerdo","A veces","No","Si",14.5,"No","Aveces","No","Si","No","No",6,7,6,17,0
"163","UNMSM","Femenino",20,4,7,8,"Aula virtual, virtuales, Biblioteca virtual, Canvas","Aveces","Si","SI","Casi siempre","Totalmente de acuerdo","Casi siempre","Si","Si",15.45,"No","Aveces","No","No","No","Si",5,8,5,14,6
"164","UNMSM","Masculino",24,3,5,5,"Aula virtual, Repositorios virtuales","Casi siempre","No","SI","Poco","Totalmente de acuerdo","Casi nunca","Si","No",18.25,"Si","Nunca","Si","Si","No","Si",8,6,7,16,3
"165","UNMSM","Masculino",21,4,6,5,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","Si","SI","Casi siempre","De acuerdo","Casi siempre","Si","Si",16.34,"No","Nunca","No","Si","No","No",7,5,4,15,4
"166","UNMSM","Femenino",23,2,4,7,"Aula virtual, Biblioteca virtual, Canvas","Siempre","Si","SI","A veces","En desacuerdo","A veces","Si","No",15.65,"No","Aveces","Si","No","No","No",7,7,3,18,8
"167","UNMSM","Masculino",22,3,3,6,"Aula virtual, Biblioteca virtual, Canvas","Aveces","No","SI","Casi siempre","Totalmente de acuerdo","Casi siempre","Si","Si",16.87,"No","Casi nunca","No","Si","No","Si",9,10,4,20,2
"168","UNMSM","Femenino",21,2,4,8,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","Si","SI","A veces","De acuerdo","A veces","No","Si",16.23,"No","Casi nunca","Si","Si","No","No",8,8,4,19,0
"169","UNMSM","Masculino",23,3,7,8,"Aula virtual, Biblioteca virtual, ","Siempre","No","Si","Siempre","Totalmente de acuerdo","Casi siempre","Si","Si",16.7,"No","Aveces","No","Si","No","Si",6,5,5,20,0
"170","UNMSM","Masculino",23,3,4,7,"Aula virtual, Biblioteca virtual, ","Casi siempre","Si","Si","Siempre","Totalmente de acuerdo","Casi siempre","No","No",15.43,"No","Casi nunca","Si","Si","No","No",7,7,3,18,0
"171","UNMSM","Femenino",21,4,5,10,"Aula virtual, Biblioteca virtual, ","Siempre","Si","Si","Siempre","De acuerdo","A veces","Si","Si",16.74,"No","Aveces","No","Si","No","No",9,8,4,19,2
"172","UNMSM","Femenino",23,3,4,8,"Aula virtual","Siempre","No","Si","Siempre","De acuerdo","Casi nunca","No","No",15.34,"No","Aveces","Si","No","No","No",8,9,4,20,3
"173","UNMSM","Femenino",19,3,5,7,"Aula virtual, Biblioteca virtual, ","Siempre","Si","Si","A veces","De acuerdo","A veces","Si","No",14.23,"No","Nunca","No","Si","No","No",7,6,2,20,5
"174","UNMSM","Femenino",20,2,4,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","Si","Si","A veces","De acuerdo","A veces","No","Si",13.28,"No","Nunca","No","No","No","Si",9,9,4,20,0
"175","UNMSM","Masculino",21,2,3,8,"Aula virtual, Biblioteca virtual, Canvas","Siempre","Si","Si","A veces","De acuerdo","Casi nunca","Si","Si",15.34,"No","Aveces","No","No","No","Si",8,9,5,18,0
"176","UNMSM","Masculino",19,4,4,7,"Aula virtual, Biblioteca virtual, ","Casi siempre","Si","Si","Casi siempre","De acuerdo","Casi nunca","Si","No",14.13,"No","Nunca","No","No","No","Si",8,8,2,19,0
"177","UNMSM","Masculino",21,4,5,5,"Aula virtual, Biblioteca virtual, Canvas","Casi siempre","Si","Si","A veces","De acuerdo","Casi nunca","No","Si",14.3,"No","Aveces","No","No","No","No",6,7,5,18,0
"178","UNMSM","Masculino",23,3,5,7,"Aula virtual, Biblioteca virtual, ","Siempre","No","Si","Casi siempre","Totalmente de acuerdo","A veces","Si","Si",17.45,"Si","Aveces","Si","Si","No","No",9,8,7,20,0
