genero,edad,universidad,carrera,Ciclo,plataforma,idioma,horas_libres,horas_al_curso,gasto,utilidad,tema_interes,tema_desinteres,promedio,llamativo,cantidad,sincronia,trimestre,dispositivo
Mujer,20,Universidad de Ingenieria y Tecnologia,Ingenieria,6,Platzi,Español,4,2,0,Si,Ciencia,Marketing Digital,14.53,Contenido,Personalizado,Sincronas,1er,Laptop
Mujer,23,Universidad de Ingenieria y Tecnologia,Ingenieria,6,Youtube,Español,3,1,0,Si,Ciencia,Desarrollo personal,15.360000000000001,Apreciación de los usuarios,Personalizado,Sincronas,1er,Laptop
Mujer,20,Pontificia Universidad Catolica del Peru,Ciencia,8,Platzi,Español,4,2,100,Si,Marketing Digital,Ciencia,17,Acreditación(Peso del curso online),Personalizado,Sincronas,4to,PC
Hombre,20,Universidad de Lima,Social,4,Domestika,Español,8,2,19.99,Si,Programacion,Idiomas,14.54,Acreditación(Peso del curso online),Personalizado,Sincronas,1er,Laptop
Mujer,20,Universidad de Ingenieria y Tecnologia,Ingenieria,4,Udemy,Ingles,2,1,70,Si,Programacion,Desarrollo personal,15.8,Precio,Personalizado,Asincronas,3er,Laptop
Hombre,20,Universidad Peruana de Ciencias A Aplicadas,Ciencia,7,Coursera,Ingles,7,4,0,Si,Ciencia,Programacion,15,Contenido,Grupal,Asincronas,2do,PC
Hombre,21,Instituto Superior Orson Welles,Ingenieria,3,Youtube,Español,4,NA,600,Si,Idiomas,Idiomas,18,Contenido,Personalizado,Asincronas,4to,PC
Mujer,18,Universidad de Lima,Ciencia,3,Domestika,Español,6,2,40,Si,Marketing Digital,Programacion,15,Contenido,Personalizado,Asincronas,1er,PC
Hombre,20,Universidad de Ingenieria y Tecnologia,Ingenieria,8,EdX,Ingles,5,1,180,Si,Ciencia,Cocina,18,Contenido,Personalizado,Sincronas,3er,PC
Hombre,19,Universidad de Ingenieria y Tecnologia,Ingenieria,4,Udemy,Español,4,NA,30,Si,Programacion,Marketing Digital,16,Contenido,Personalizado,Asincronas,1er,Laptop
Mujer,17,Universidad de Ingenieria y Tecnologia,Ingenieria,1,Udemy,Español,2,1,25,Si,Ciencia,Marketing Digital,16,Número de estudiantes,Personalizado,Asincronas,1er,Laptop
