ciclo,n_cursos,carrera,sexo,promedio,horas_sueno_dia,horas_deporte_dia,horas_videojuegos_dia,dias_desayuna,dias_almuerza,dias_cena,toma_apuntes_ciencias,toma_apuntes_humanidades,tecnica_preferida_ciencias,horas_tecnica_preferida_ciencias,tecnica_preferida_humanidades,horas_tecnica_preferida_humanidades,horas_estudio_dia,utiliza_repeticion_espaciada,utiliza_recuperacion_activa,considera_curso_ayuda
3,4,Ciencia de la Computación,M,15.2,8,0,0,7,7,7,TRUE,FALSE,Problemas,8,Reescribir,1,5,TRUE,TRUE,TRUE
4,7,Ingeniería Mecatrónica,M,15.65,6,2,2,7,7,0,TRUE,FALSE,Problemas,4,Ninguna,0,2,FALSE,FALSE,TRUE
6,5,Ingeniería Industrial,M,0,8,0,4,7,7,5,FALSE,TRUE,Resaltar,2,Resaltar,3,3,FALSE,FALSE,TRUE
4,7,Ingeniería Civil,M,15,6,0,0.9,5,6,6,TRUE,FALSE,Problemas,1,Leer,2,3,FALSE,FALSE,TRUE
2,7,Ingeniería Ambiental,F,14,6,0,0,5,7,5,TRUE,FALSE,Reescribir,6,Flashcards,3,4,FALSE,FALSE,TRUE
3,6,Ingeniería Mecatrónica,M,17.15,7,2,0,4,7,7,TRUE,TRUE,Reescribir,2,Grupo,1,5,FALSE,TRUE,TRUE
4,5,Ingeniería Mecatrónica,M,15.9,7,0,1,3,7,7,TRUE,FALSE,Problemas,2,Leer,1,5,TRUE,FALSE,TRUE
5,5,Bioingeniería,M,16.02,6,1,2,7,7,7,TRUE,FALSE,Problemas,3,Resaltar,1,3,FALSE,TRUE,TRUE
4,7,Ingeniería Electrónica,M,17,6,0,0,7,7,7,TRUE,FALSE,Problemas,4,Resaltar,2,8,TRUE,FALSE,TRUE
4,9,Ingeniería Civil,M,16.8,8,0,1,7,7,7,TRUE,FALSE,Problemas,3,Leer,1,6,FALSE,FALSE,TRUE
3,7,Bioingeniería,F,15.5,6,1,1,5,5,4,TRUE,TRUE,Problemas,2,Leer,1,3,FALSE,FALSE,TRUE
4,8,Bioingeniería,F,15.5,7,1,3,7,7,7,TRUE,FALSE,Reescribir,3,Leer,2,5,TRUE,FALSE,TRUE
7,5,Ciencia de la Computación,M,15.63,7,0.3,1.5,0,7,7,FALSE,FALSE,Problemas,1,Leer,1,2,FALSE,TRUE,TRUE
1,8,Ciencia de la Computación,M,15.6,7,1,1,7,7,7,TRUE,TRUE,Grupo,5,NA,1,7,FALSE,TRUE,TRUE
5,4,Ingeniería Mecatrónica,M,13.7,6,1,1,6,7,6,TRUE,FALSE,Problemas,3,Resaltar,2,4,FALSE,FALSE,TRUE
2,7,Ingeniería Ambiental,F,14,5,0,0,6,7,5,TRUE,TRUE,Problemas,3,Reescribir,4,9,FALSE,FALSE,TRUE
3,2,Ingeniería Química,M,16,6,1,4,0,7,6,TRUE,FALSE,Problemas,2,Flashcards,1,2,FALSE,TRUE,TRUE
1,6,Ciencia de la Computación,M,16,7,1,4,4,7,7,TRUE,FALSE,Problemas,4,Leer,1,5,FALSE,FALSE,TRUE
1,7,Ingeniería Mecánica,M,17,7,2,2,7,7,7,TRUE,TRUE,Reescribir,5,Resaltar,1,6,FALSE,FALSE,TRUE
8,5,Ingeniería Ambiental,F,16.66,7,1,0,6,7,7,TRUE,TRUE,Problemas,2,Flashcards,1,3,FALSE,FALSE,TRUE
2,6,Ingeniería Mecánica,M,11,5,1,2,5,7,5,TRUE,TRUE,Grupo,2,Grupo,2,2,TRUE,TRUE,TRUE
2,5,Ingeniería Mecánica,M,14,7,2,0,7,7,7,TRUE,FALSE,Ninguna,0,Ninguna,0,3,FALSE,FALSE,TRUE
2,6,Ingeniería Electrónica,M,12.1,5,1,1,4,7,0,TRUE,FALSE,Grupo,2,Reescribir,1,2,TRUE,TRUE,TRUE
8,6,Ingeniería Ambiental,M,16.95,7,1,0,7,7,4,TRUE,FALSE,Problemas,4,Leer,2,5.5,FALSE,FALSE,TRUE
2,7,Ingeniería de la Energía,M,16.8,5,2,0,7,7,6,TRUE,FALSE,Grupo,3,Resaltar,2,5,FALSE,TRUE,TRUE
5,8,Ingeniería Electrónica,M,15,7,0,2,3,7,7,TRUE,TRUE,Reescribir,5,Leer,2,2,FALSE,TRUE,TRUE
1,5,Ciencia de la Computación,M,17,8,0,8,7,7,7,TRUE,FALSE,Problemas,2,Reescribir,1,1,FALSE,FALSE,TRUE
2,4,Ciencia de la Computación,M,14.5,8,0,3,4,7,7,FALSE,FALSE,Problemas,3,Leer,4,2,FALSE,FALSE,FALSE
2,7,Ingeniería Civil,F,15,5,1,0,7,7,7,TRUE,TRUE,Grupo,3,Resaltar,2,8,TRUE,FALSE,TRUE
3,7,Administración & Negocios Digitales,F,12.27,8,0,1,7,7,5,TRUE,TRUE,Grupo,1,Flashcards,1,3,FALSE,TRUE,TRUE
3,6,Ciencia de la Computación,F,17.3,8,0,1,7,7,5,FALSE,FALSE,Problemas,4,Leer,2,6,TRUE,FALSE,TRUE
2,6,Ingeniería Ambiental,F,14,6,1.3,0,5,7,7,TRUE,FALSE,Problemas,2,Resaltar,1,4,TRUE,TRUE,TRUE
2,7,Ingeniería Química,F,11.67,5,0,0,5,6,1,TRUE,TRUE,Problemas,4,Reescribir,2,6,TRUE,FALSE,TRUE
