Marca temporal,Ciclo académico,Carrera,Indícanos tu sexo y si haces algún deporte u actividad física,¿Qué actividad o deporte realizas?,Motivo por el que realizas actividad física,¿Cuántos días de la semana entrena?,Días en los que generalmente entrena,¿Cuántas horas a la semana entrenas? (Fuera de clases),¿Cuántos días de la semana estudias?(Clases virtuales o presenciales de la universidad),¿Cuántas horas a la semana estudias? (Fuera de clases),¿Entrenas los mismos días que tienes clases?,¿Entrenas antes o después de clases?,¿Te sientes cansado después de entrenar y haber tenido clases el mismo día?,¿Te sientes satisfecho con tus resultados físicos y académicos?,¿Cuál es la nota más alta de todos los cursos?(Nota global del curso),¿Cuál es la nota más baja de todos los cursos? (Nota global del curso),¿Te gustaría realizar algún tipo de actividad física?,¿Por qué?,¿Cuál es tu promedio ponderado del ciclo anterior?,¿Cuál es la nota más baja de todos los cursos? (Nota global del curso)
27/05/2023 14:52:03,2,Ingeniería Industrial,Masculino - Sí hago,Fútbol,Hobby,1,"Sábado, Domingo",2,4,De 4 a 6,Sí,Después,Si,Si,15,02,Sí,Por qué es bueno para el salud ,15,
27/05/2023 14:56:21,2,Ingeniería Industrial,Masculino - Sí hago,Fútbol,Hobby,1,Domingo,2,6,De 10 a más,No,,,No,18,6,Sí,Mejorar mi actividad física ,15,
27/05/2023 15:12:57,2,Ingeniería Industrial,Masculino - Sí hago,"Deporte de contacto(Ej: Judo, Karate, Taekwondo, etc)",Hobby,3,"Miércoles, Jueves, Viernes",4,4,De 7 a 9,Sí,Antes y después,Si,Si,17,11,No,,15,
27/05/2023 15:15:05,1,Ingeniería Civil,Masculino - Sí hago,Fútbol,Hobby,1,Sábado,1,6,15 horas ,No,,,Solo académicos,16,12,No,Falta de tiempo ,14,
27/05/2023 15:16:41,2,Ingeniería Industrial,Masculino - Sí hago,Gimnasio,Hobby,4,"Lunes, Miércoles, Viernes, Sábado",4,5,De 4 a 6,Sí,Antes y después,Si,Solo académicos,17,11,Sí,Porque de esa manera me relajo del estrés de la universidad.,15,
27/05/2023 15:17:25,3,Ingeniería Mecatrónica,Masculino - Sí hago,Natación,Pasión,1,Domingo,3,6,De 4 a 6,No,,,Solo académicos,18,10,Sí,Me quita el estrés,13.07,
27/05/2023 15:20:34,2,Ingeniería Industrial,Femenino - No hago,,,,,,,,,,,,,,Sí,,15,
27/05/2023 15:28:37,5,Bioingeniería,Masculino - Sí hago,Fútbol,Hobby,3,Martes,3,2,De 7 a 9,Sí,Después,Si,No,19,15,Sí,Es saludable ,16,
27/05/2023 15:34:47,3,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,Sí,Hace bien a la salud,17.21,
27/05/2023 15:37:41,3,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,No,Porque no,14.32 ,
27/05/2023 15:38:36,3,Ingeniería Mecatrónica,Masculino - Sí hago,Fútbol,Hobby,4,"Lunes, Miércoles, Viernes, Sábado",6,6,De 4 a 6,Sí,Antes y después,Si,Si,16,11,Sí,Me desestresa ,15.57,
27/05/2023 15:39:07,3,Ingeniería Mecatrónica,Masculino - Sí hago,Natación,Hobby,4,"Martes, Jueves, Sábado, Domingo",2,5,De 1 a 3,Sí,Después,No,Solo fisicos,17,12,Sí,Porque me gusta,14.67,
27/05/2023 15:40:15,3,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,Sí,Porque es bueno para la salud,18.6,
27/05/2023 15:40:20,4,Ciencias de la computación,Masculino - Sí hago,Calistenia,Hobby,3,"Jueves, Sábado, Domingo",4,5,De 1 a 3,Sí,Después,Si,Si,16,12,Sí,Porque me gusta,15.45,
27/05/2023 15:40:54,4,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,Sí,Mejorar físico,16.54,
27/05/2023 15:47:27,3,Ingeniería Mecatrónica,Masculino - No hago,,,,,,,,,,,,,,Sí,Para mejorar mi salud,12,
27/05/2023 15:57:34,5,Bioingeniería,Femenino  - Sí hago,Gimnasio,Hobby,5,"Lunes, Martes, Miércoles, Jueves, Viernes",3,7,De 7 a 9,Sí,Después,No,Si,19,16,Sí,Porque ayuda a regular el estrés ,19,
