,,Edad,Ponderado del anterior ciclo,Sexo,Becado,Tipo de beca,Ciclo,Carrera,Estado socieconómico,Cantidad de cursos que llevas en el actual ciclo,Cursos desaprobados,Metodo de movilización,estudias (camino),Minutos de estudio en el trayecto,Alimentos,Horas de descanso/diario,Horas de estudio (fuera de clases),deporte (si/no),Deporte favorito,Horas de ejercicio,Horas de ocio,Nivel de estres,Nivel de vida saludable,Ponderado,.
,,22,15,Femenino,No,,7,Ing. de la energía,No pobre,6,2,Corredor,no,,Un poco de ambos,7,5,No,,,2,5,2,15,
,,22,11,Masculino,No,,5,Ing.Industrial,No pobre,6,3,Metropolitano,si,30,Alimentos no saludables,6,2,No,,,4,8,4,11,
,,18,14.5,Femenino,No,,4,Bioingeniería,No pobre,5,4,Metropolitano,si,30,Un poco de ambos,7,3,No,,,4,5,3,14.5,
,,18,13,Femenino,No,,3,Ing.Industrial,No pobre,5,1,Carro,no,,Un poco de ambos,7,2,No,,,3,8,4,13,
,,19,15.72,Femenino,No,,3,Bioingeniería,No pobre,5,1,Carro,no,,Un poco de ambos,8,5,No,,,4,5,2,15.72,
,,20,17,Femenino,Sí,Beca 18: todas sus modalidades,5,Ing.Industrial,Pobre,7,0,Metropolitano,si,30,Alimentos no saludables,9,6,No,,,3,3,5,17,
,,19,15,Femenino,Sí,Beca Mujeres de Ciencia,3,Ing.Ambiental,Pobre,6,0,Caminando,no,,Un poco de ambos,6,5,No,,,1,5,5,15,
,,19,14,Masculino,Sí,Beca 18: todas sus modalidades,4,Ing. de la energía,Pobre,6,1,Bicicleta,no,,Un poco de ambos,6,3,Si,Fútbol,1,1,5,4,14,
,,17,0,Femenino,Sí,Beca 18: todas sus modalidades,1,Ing. Civil,Extrema Pobreza,6,0,Microbus,si,15,Un poco de ambos,7,3,No,,,2,5,4,14,
,,19,12,Femenino,Sí,Beca 18: todas sus modalidades,5,Ing.Industrial,Pobre,6,1,Metropolitano,si,15,Alimentos no saludables,5,2,No,,,3,8,3,12,
,,19,14.02,Femenino,No,,4,Ing.Industrial,No pobre,6,2,Carro,si,30,Alimentos saludables,7,6,No,,,3,5,3,14.02,
,,20,13,Masculino,No,,4,Bioingeniería,No pobre,5,1,Scooter,no,,Un poco de ambos,5,4,Si,Básquet,2,3,7,4,13,
,,18,11,Masculino,Sí,Beca Hijo de Docentes,2,Ing. de la energía,Pobre,7,1,Tren,no,,Un poco de ambos,6,4,No,,,2,8,3,11,
,,21,16,Masculino,Sí,Beca BCP,4,Administración y negocios digitales,No pobre,7,0,Carro,no,,Alimentos saludables,6,5,Si,Fútbol,2,4,4,4,16,
,,23,13.4,Masculino,No,,5,Ing.Industrial,Pobre,5,6,Carro,no,,Alimentos saludables,2,5,No,,,3,7,3,13.4,
,,22,15,Masculino,No,,8,Ing.Mecatrónica,No pobre,6,2,Bicicleta,si,44,Un poco de ambos,6,5,Si,Natación,3,3,5,4,15,
,,18,14.61,Femenino,Sí,Beca 18: todas sus modalidades,3,Ing.Ambiental,Pobre,7,1,Bus,no,,Alimentos no saludables,4,5,No,,,2,5,2,14.61,
,,18,14.9,Femenino,Sí,Beca 18: todas sus modalidades,3,Ing.Industrial,Pobre,6,0,Microbus,si,30,Un poco de ambos,7,5,No,,,3,5,4,14.9,
,,19,14.73,Masculino,Sí,Beca 18: todas sus modalidades,3,Ciencias de la Computación,No pobre,6,0,Metropolitano,si,0,Un poco de ambos,8,6,Si,Fútbol,1,3,5,1,14.73,
,,19,17.03,Masculino,Sí,Beca 18: todas sus modalidades,3,Ciencias de la Computación,Pobre,6,0,Metropolitano,si,30,Alimentos saludables,8,5,Si,Fútbol,1,2,2,4,17.03,
,,20,15.22,Femenino,Sí,Beca 18: todas sus modalidades,3,Bioingeniería,Extrema Pobreza,6,0,Metropolitano,si,30,Alimentos saludables,4,6,No,,,1,5,4,15.22,
,,19,14,Masculino,No,,4,Ing. Civil,No pobre,5,2,Caminando,no,,Un poco de ambos,3,5,Si,Básquet,2,2,5,4,14,
,,20,12,Femenino,No,,4,Ing. Civil,Pobre,6,2,Tren,si,30,Un poco de ambos,3,4,No,,,2,8,4,12,
,,19,14,Femenino,Sí,Beca 18: todas sus modalidades,3,Bioingeniería,Pobre,5,1,Metropolitano,si,15,Un poco de ambos,3,5,No,,,2,5,4,14,
,,18,15,Masculino,No,,3,Ing. Civil,Pobre,6,1,Caminando,no,,Un poco de ambos,6,5,Si,Fútbol,1,4,5,2,15,
,,19,15.6,Masculino,Sí,Beca 18: todas sus modalidades,3,Ing. Civil,Extrema Pobreza,6,0,Metropolitano,si,60,Alimentos saludables,8,4,Si,Fútbol,1,2,5,3,15.6,
