Marca temporal,Género,Edad,Ciclo,Carrera,Promedio ponderado,Veces que tomaste un mismo curso en 2 oportunidades,Veces que tomaste un mismo curso en 3 oportunidades,Cantidad de cursos matriculados este ciclo,Grado de dificultad promedio de los cursos de este ciclo,¿En qué escala de pago te encuentras?,¿Te parece alto el valor por crédito en tu escala?,¿Cuentas con algún tipo de Beca?,¿Cuánto has gastado en asesorías adicionales para tus cursos este ciclo?,¿Cuántas son tus horas de sueño promedio?,Cantidad de veces que comes al día,¿Qué tan satisfecho(a) te encuentras con tu rutina diaria actual?,Selecciona las frases que te identifican esta semana,"¿Con qué sentimientos te identificas antes de dar un examen, PC, o test semanal?",¿Con qué sentimientos te identificas en la época de parciales?,Frecuencia de sentimientos positivos la última semana [¿Cuánto te reíste?],Frecuencia de sentimientos positivos la última semana [¿Qué tanto disfrutaste?],Frecuencia de sentimientos positivos la última semana [¿Qué tan feliz te sentiste?],Frecuencia de sentimientos negativos la última semana [¿Qué tan enojado?],Frecuencia de sentimientos negativos la última semana [¿Qué tan triste?],Frecuencia de sentimientos negativos la última semana [¿Qué tan preocupado?],¿Considerarías dejar la universidad?,"Si la respuesta anterior es sí, ¿Por qué motivos?"
5/05/2022 09:26,Hombre,19,3,Ingeniería Industrial,14.9,2,0,6,7,C,Si,No,0,6,3,3,2,2,3,4,4,4,1,3,4,Tal vez,Desgaste emocional
5/05/2022 09:27,Mujer,17,1,Bioingeniería,16,0,0,7,7,D,Si,Si,150,7,5,3,4,3,4,4,3,5,1,4,5,Sí,Desgaste emocional
5/05/2022 09:31,Mujer,19,6,Ingeniería Ambiental,15.95,1,0,5,7,E,Si,Si,0,6,4,3,3,2,4,3,3,3,3,4,4,Tal vez,Altos costos
5/05/2022 09:45,Mujer,18,3,Ingeniería Civil,15.25,1,0,6,7,D,Si,No,0,7,4,3,3,3,4,5,3,4,2,3,5,Tal vez,Desgaste emocional
5/05/2022 09:47,Hombre,20,5,Ingeniería Mecánica,15.5,0,0,5,6,C,Si,No,0,6,3,2,3,4,4,4,4,5,1,3,4,Tal vez,Altos costos
5/05/2022 09:48,Hombre,19,4,Ingeniería Mecatrónica,16.1,0,0,6,8,C,Si,No,0,7,5,3,3,2,3,4,4,4,1,2,4,No,No
5/05/2022 10:11,Mujer,29,6,Ingeniería de la Energía,13,4,6,3,6,C,No,No,0,2,3,2,1,1,0,2,2,2,4,3,3,Sí,Desgaste emocional
5/05/2022 10:22,Hombre,18,3,Ingeniería Mecatrónica,14.9,0,0,3,7,D,Si,No,0,6,3,3,3,2,3,3,3,3,1,4,4,Sí,Altos costos
5/05/2022 10:29,Mujer,17,2,Administración y Negocios Digitales,16,0,0,6,6,C,No,No,0,6,3,3,1,2,1,3,3,3,2,2,2,No,"La respuesta anterior fue ""No"""
5/05/2022 10:33,Mujer,18,5,Ingeniería Civil,15,0,0,6,8,B,Si,No,100,5,3,3,2,2,3,3,3,3,3,3,3,No,Seguir luchando por mis sueños 
5/05/2022 10:36,Mujer,20,7,Ingeniería Industrial,15,0,0,6,8,B,Si,No,200,5,3,3,1,3,1,3,3,3,2,2,2,No,"Ya voy a terminar la carrera, falta poco "
5/05/2022 10:44,Mujer,19,4,Ingeniería Industrial,15.6,0,0,5,9,D,Si,No,0,6,3,3,3,4,4,3,2,3,3,5,5,Tal vez,Desgaste emocional
5/05/2022 10:47,Hombre,19,4,Ingeniería Civil,15.4,1,0,6,7,D,Si,Si,0,6,3,2,5,3,4,3,2,3,1,3,3,Sí,Altos costos
5/05/2022 10:48,Hombre,18,3,Bioingeniería,16,0,0,6,8,C,Si,No,100,6,3,4,3,2,4,4,3,4,2,3,5,Tal vez,Desgaste emocional
5/05/2022 10:50,Mujer,18,3,Ciencia de la Computación,15.9,0,0,6,7,C,Si,No,0,6,3,3,2,2,2,4,4,4,1,3,5,Tal vez,Desgaste emocional
5/05/2022 10:52,Mujer,18,3,Bioingeniería,15.5,0,0,6,7,D,Si,No,50,5,3,3,4,2,4,5,3,4,1,4,5,Tal vez,Desgaste emocional
5/05/2022 10:54,Mujer,18,3,Ingeniería Civil,16,0,0,6,7,C,Si,No,0,5,3,4,2,2,4,5,3,4,1,1,5,Sí,Desgaste emocional
5/05/2022 11:04,Mujer,18,3,Bioingeniería,17.2,0,0,4,7,C,Si,No,0,7,4,3,3,3,4,5,4,5,2,3,5,Tal vez,Desgaste emocional
5/05/2022 11:06,Hombre,18,3,Bioingeniería,15,1,0,5,8,D,Si,Si,0,7,5,3,2,3,2,5,4,4,1,1,4,Tal vez,Altos costos
5/05/2022 11:08,Hombre,20,3,Bioingeniería,17.3,0,0,5,6,D,Si,Si,0,6,5,5,3,2,2,5,5,5,1,3,5,Tal vez,Altos costos
5/05/2022 11:12,Hombre,19,3,Bioingeniería,15.55,0,0,5,8,E,Si,No,75,6,3,3,3,2,4,5,3,5,1,2,4,Tal vez,Altos costos
5/05/2022 11:25,Hombre,26,9,Bioingeniería,15,4,1,3,3,C,Si,No,1000,12,4,2,5,4,4,2,3,3,2,2,5,No,No
5/05/2022 11:27,Mujer,24,7,Bioingeniería,14.32,6,0,6,7,E,Si,Si,360,8,5,2,5,3,3,3,3,3,2,1,4,Tal vez,Desgaste emocional
5/05/2022 11:27,Hombre,19,4,Ingeniería Industrial,15,0,0,6,8,E,Si,No,0,8,5,4,2,2,3,4,4,4,4,4,4,Tal vez,Altos costos
5/05/2022 11:28,Mujer,20,7,Ingeniería Mecatrónica,13,2,1,6,10,E,Si,Si,0,5,3,1,2,2,1,3,2,1,1,1,2,Sí,Desgaste emocional
5/05/2022 11:29,Hombre,21,4,Ciencia de Datos,12.52,3,1,4,4,D,Si,No,150,6,5,3,5,3,3,3,2,3,1,3,5,Sí,Desgaste emocional
5/05/2022 11:30,Hombre,17,2,Ingeniería Ambiental,16,0,0,7,10,C,Si,No,100,5,5,1,2,1,3,4,3,4,4,2,3,Sí,Altos costos
5/05/2022 11:35,Mujer,18,3,Bioingeniería,17.22,0,0,5,8,C,Si,No,0,0,5,4,3,3,4,5,4,4,3,5,5,Tal vez,Altos costos
5/05/2022 11:39,Mujer,17,3,Bioingeniería,14.55,1,0,6,8,D,Si,No,0,6,3,3,4,3,4,3,3,4,2,3,5,No,No
5/05/2022 11:40,Hombre,18,3,Bioingeniería,15.4,0,0,5,7,D,Si,No,0,6,5,2,3,2,3,5,4,4,2,3,4,Tal vez,Altos costos
5/05/2022 11:46,Mujer,18,3,Bioingeniería,14.1,2,0,6,8,E,Si,No,0,6,3,2,4,2,3,3,4,3,4,5,5,Tal vez,Desgaste emocional
5/05/2022 12:11,Mujer,19,4,Bioingeniería,14,0,0,4,6,D,Si,No,0,5,3,3,1,1,2,1,2,1,4,4,4,Tal vez,Alto nivel de dificultad
5/05/2022 12:16,Hombre,19,3,Ingeniería Química,17.55,0,0,5,8,E,Si,Si,0,4.3,4,1,5,3,3,3,2,2,3,4,5,Sí,Desgaste emocional
5/05/2022 12:16,Hombre,17,3,Bioingeniería,15.75,0,0,5,5,E,Si,Si,50,5,3,2,2,2,2,4,3,3,1,1,2,Tal vez,Desgaste emocional
5/05/2022 12:26,Mujer,19,5,Ingeniería Industrial,14.31,2,0,5,10,E,No,Si,120,5,3,1,4,0,4,5,5,4,1,1,4,No,Desgaste emocional
5/05/2022 12:26,Hombre,21,2,Ingeniería Civil,13,1,0,7,8,C,Si,Si,0,5,3,1,4,3,3,1,1,1,3,3,5,No,Desgaste emocional
5/05/2022 12:29,Hombre,18,2,Bioingeniería,15.15,0,0,6,7,C,Si,No,0,7,5,1,2,2,2,4,2,3,1,4,3,Sí,Desgaste emocional
5/05/2022 12:33,Hombre,18,2,Ingeniería Civil,12.4,2,1,5,9,C,Si,No,100,6,5,2,3,4,4,3,2,2,3,5,4,Sí,Altos costos
5/05/2022 12:37,Hombre,22,2,Ingeniería Mecánica,15.72,0,0,6,8,B,Si,No,0,7,5,4,2,2,2,4,4,4,3,1,3,Tal vez,Altos costos
5/05/2022 12:43,Hombre,21,3,Ingeniería Electrónica,16,0,0,5,6,D,Si,No,20,5,3,4,3,2,2,4,3,5,3,2,4,Tal vez,Altos costos
5/05/2022 14:27,Hombre,19,3,Ingeniería Mecatrónica,15.6,1,0,5,9,D,Si,No,320,10,2,3,1,1,1,4,2,2,1,2,3,No,a
5/05/2022 14:37,Mujer,18,3,Ingeniería Industrial,15,0,0,5,9,A,Si,Si,0,7,4,3,3,3,3,4,4,3,4,4,5,No,.
5/05/2022 14:40,Hombre,19,5,Ingeniería Mecatrónica,16.55,1,0,6,9,E,Si,No,0,4,3,2,5,4,3,1,2,1,4,4,4,Tal vez,No
5/05/2022 14:49,Hombre,24,9,Ingeniería Industrial,15,2,0,5,9,C,No,Si,0,5,3,4,0,0,0,5,5,5,3,1,3,No,No
5/05/2022 14:52,Mujer,17,2,Ciencia de la Computación,16,0,0,6,7,E,Si,Si,0,6,3,4,1,2,1,3,3,3,3,3,3,Tal vez,Desgaste emocional
5/05/2022 14:55,Hombre,19,2,Ingeniería Civil,12,2,0,7,8,E,No,Si,0,7,3,3,2,1,1,2,2,2,1,2,2,No,"No, porque me gusta la universidad"
5/05/2022 14:56,Mujer,18,3,Ingeniería Ambiental,15.8,0,0,5,6,C,Si,No,2,6.5,3,1,1,0,1,2,2,1,2,1,2,No,Alto nivel de dificultad
5/05/2022 14:59,Mujer,18,3,Ingeniería Ambiental,15,0,0,6,7,D,Si,No,40,5,2,3,5,4,4,3,5,2,2,4,5,Tal vez,Desgaste emocional
5/05/2022 15:01,Hombre,20,2,Ingeniería de la Energía,14,1,0,6,7,C,No,No,0,7,5,3,1,0,2,3,3,3,1,3,1,Tal vez,Desgaste emocional
5/05/2022 15:01,Hombre,18,3,Ingeniería Mecatrónica,15,3,3,5,6,B,Si,No,0,6,3,4,0,0,1,3,3,2,1,1,2,No,Alto nivel de dificultad
5/05/2022 15:06,Hombre,21,7,Ingeniería Química,15,2,0,6,7,E,Si,No,0,5,4,3,3,3,1,4,3,4,2,2,2,No,no
5/05/2022 15:06,Mujer,18,3,Ciencia de la Computación,15,1,2,6,7,D,Si,No,50,6,3,4,2,1,2,2,2,2,2,2,2,No,No planeo dejar la 
5/05/2022 15:14,Hombre,20,7,Ciencia de la Computación,15,3,0,7,10,E,Si,No,0,5,3,3,5,4,4,4,1,3,5,5,5,No,No
5/05/2022 15:14,Hombre,17,1,Ingeniería Mecatrónica,15,0,0,7,8,C,No,No,0,6,5,3,2,3,3,2,2,2,2,1,3,No,.
