Marca temporal,¿Qué edad tienes hasta la fecha?,¿Género?,Selecciona tu carrera,¿En que ciclo te encuentras actualmente?,¿Cuántas relaciones amorosas tuviste hasta el 2022-2?,¿Actualmente tienes una relación amorosa?,¿Tu pareja y tú estudian o estudiaban en la misma universidad?,¿Consideras que tu vida amorosa afectaría tu rendimiento académico? (En caso de no estar en una relación responder si crees que podría afectarte),¿Tu vida amorosa ha tenido un impacto negativo en tu motivación y actitud hacia tus estudios? (En caso de no estar en una relación responder si crees que podría afectarte),¿Cuáles crees que serían los principales desafíos que enfrenta tu vida amorosa y como esto repercute en lo académico? (En caso de no estar en una relación responder que crees que podría afectarte),¿Cuáles son las principales formas en que te gustaría recibir apoyo de la universidad para manejar problemas de tu vida amorosa en relación con tus estudios? Selecciona todas las opciones que apliquen.,"En la escala de 0 al 10, donde 0 es ""Extremadamente mal"" y 10 es ""Extremadamente bien"", ¿Cómo crees que te va en tu vida amorosa?","En la escala de 0 al 10, donde 0 es ""Extremadamente mal"" y 10 es ""Extremadamente bien"", ¿Cómo crees que te va académicamente?","En una escala del 0 al 10, donde 0 es “Extremadamente mal” y 10 es “Extremadamente bien”, ¿Cómo definirías la relación entre tu vida amorosa y académica en este momento?","¿Administras tu tiempo entre tus estudios y tu relación?  (En caso de no estar en una relación, ¿Crees que podrías administrar tu tiempo)",¿Cuántas horas dedicas al estudio al día?,"¿Cuántas horas pasas tiempo con tu pareja al día?  (En caso de no estar en una relación ,¿cuanto tiempo le dedicarías?)","¿Has faltado alguna vez a clases por salir con tu pareja? (En caso de no estar en una relación, ¿crees que de estarlo lo harías?)",¿Consideras que es un problema para ti manejar una relación a la par de la universidad?  (En caso de no estar en una relación crees que sería un problema para ti),¿Las discusiones o conflictos con tu pareja afectan tu capacidad para concentrarte en tus estudios?  (En caso de no estar en una relación crees que te afectaría),¿Sueles desconcentrarte en el móvil o en algún otro dispositivo esperando o respondiendo un mensaje de tu pareja mientras estás en clase? (En caso de no estar en una relación consideras que te desconcentrarías),¿Una ruptura con tu pareja afecta cuando tienes que dar un examen?  (En caso de no estar en una relación crees que te afectaría),¿Cúal fue tu promedio en el último ciclo cursado en la universidad UTEC?,¿Cuáles son las principales formas en que tu relación amorosa ha afectado tu rendimiento académico?,¿Cuáles son las principales sugerencias que tendrías para la universidad para mejorar el apoyo que brinda a los estudiantes que enfrentan problemas en su vida amorosa y académica?
4/26/2023 14:07:07,18,Masculino,Ciencia de la Computación,3,5,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Distracción y desconcentración,"Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",5,7,6,No,4.5,3.1,No,Sí considero,No afecta,No,No,16.64,Falta de concentración en clases,Ninguna
4/26/2023 14:23:15,18,Femenino,Ingeniería Indusrial,2,1,Sí,No,Sí,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Consejería o terapia de pareja,5,8,5,Sí,3.4,1.1,Sí,Sí considero,Sí afecta,Sí,Sí,17.65,Falta de concentración en clases,Charlas
4/26/2023 15:00:22,20,Femenino,Ingeniería Indusrial,8,2,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Problemas de confianza o celos en la relación, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,8,7,7,Sí,6,1.1,Sí,No considero,No afecta,Sí,No,14,Menor tiempo de preparación para las evaluaciones,"Que hubiera charlas seguidas y no cada cierto tiempo, ya que, hay  estudiantes que quisieran ir pero por tema de clases no asisten. "
4/26/2023 15:35:31,18,Masculino,Ingeniería Indusrial,2,2,Sí,Sí,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",8,6,7,No,2.3,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,15.15,"Menor tiempo de preparación para las evaluaciones, Inasistencia a clases, Baja participación en trabajos grupales",Dar terapias para parejas
4/26/2023 15:35:32,19,Femenino,Ingeniería Indusrial,2,3,Sí,Sí,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,"Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",10,10,10,Sí,3.4,1.1,Sí,No considero,No afecta,Sí,No,18,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases",Psicología
4/26/2023 16:25:54,18,Femenino,Ingeniería Indusrial,4,5,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",10,6,6,No,3.4,1.1,Sí,Sí considero,No afecta,Sí,Sí,15,Inasistencia a clases,Charlass
4/26/2023 16:26:23,19,Femenino,Ingeniería Indusrial,4,1,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,Consejería o terapia de pareja,5,5,2,Sí,1.2,1.1,Sí,Sí considero,Sí afecta,Sí,Sí,14,Falta de concentración en clases,Todo bien
4/26/2023 16:27:34,19,Masculino,Ingeniería Indusrial,3,5,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",5,3,4,No,6.1,1.1,No,Sí considero,Sí afecta,Sí,Sí,12.8,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Disminución del promedio de notas o obtención de notas desaprobatorias",Ayuda de un psicólogo universitario
4/26/2023 16:30:47,18,Masculino,Ingeniería Química,2,7,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja",Talleres o grupos de discusión sobre relaciones saludables,4,7,5,Sí,2.3,3.1,Sí,Sí considero,No afecta,Sí,Sí,17.2,Falta de concentración en clases,Taller de como llevar una relación sana
4/26/2023 16:40:11,19,Masculino,Ingeniería Indusrial,8,1,Sí,No,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,"Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",8,7,7,No,4.5,3.1,No,Sí considero,No afecta,Sí,Sí,15.5,Menor tiempo de preparación para las evaluaciones,Un taller sobre como equilibrar tiempo de estudios y relación amorosa
4/26/2023 16:42:25,18,Masculino,Ingeniería Indusrial,2,2,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de confianza o celos en la relación","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",3,4,8,No,3.4,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.75,Menor tiempo de preparación para las evaluaciones,Realizar actividades para que las parejas puedan compartir mas tiempo
4/26/2023 16:51:20,21,Masculino,Ingeniería Civil,6,2,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,Consejería o terapia de pareja,5,6,8,No,3.4,2.1,Sí,Sí considero,No afecta,Sí,Sí,14.6,Menor tiempo de preparación para las evaluaciones,Ninguna sugerencia
4/26/2023 16:52:19,20,Masculino,Ciencia de la Computación,2,1,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Consejería o terapia de pareja,6,7,6,No,1.2,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,17.55,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases",Ayuda psicológica tal vez
4/26/2023 16:53:52,19,Masculino,Ingeniería Mecatrónica,2,2,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,"Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",8,4,8,No,5.3,3.1,No,Sí considero,No afecta,Sí,No,12,Falta de concentración en clases,No tengo sugerencias
4/26/2023 17:10:06,19,Femenino,Ingeniería Civil,4,5,Sí,No,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",3,5,0,No,5.3,3.1,No,Sí considero,Sí afecta,Sí,Sí,14.5,Menor tiempo de preparación para las evaluaciones,No tengan relaciones
4/26/2023 17:10:35,20,Femenino,Ingeniería Civil,4,1,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja","Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",4,0,3,No,4.4,3.1,No,Sí considero,Sí afecta,Sí,Sí,11.9,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Baja participación en trabajos grupales",No tengan Relaciones
4/26/2023 17:22:00,21,Femenino,Bioingeniería,4,3,Sí,Sí,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",7,7,7,Sí,1.3,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,15.6,"Menor tiempo de preparación para las evaluaciones, Inasistencia a clases",Charlas
4/26/2023 17:28:44,18,Masculino,Ingeniería Mecatrónica,2,5,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,5,8,5,No,1.3,2.1,No,Sí considero,Sí afecta,Sí,Sí,15.86,Falta de concentración en clases,Si opinión
4/26/2023 17:48:46,18,Femenino,Ingeniería Indusrial,2,3,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,Consejería o terapia de pareja,3,6,2,No,5.3,2.1,No,Sí considero,Sí afecta,Sí,No,18.15,"Falta de concentración en clases, Inasistencia a clases, Baja participación en trabajos grupales",a
4/26/2023 17:57:04,18,Masculino,Ingeniería Civil,8,9,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",10,4,8,No,2.3,1.1,No,Sí considero,No afecta,Sí,Sí,13.4,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos",Que puensen bien
4/26/2023 18:10:25,19,Masculino,Ingeniería Civil,2,6,Sí,Sí,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Consejería o terapia de pareja,8,5,7,No,1.2,3.1,No,Sí considero,No afecta,Sí,No,14,Menor tiempo de preparación para las evaluaciones,Terapias
4/26/2023 19:14:07,19,Femenino,Ingeniería Indusrial,2,1,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Distracción y desconcentración,Talleres o grupos de discusión sobre relaciones saludables,5,6,5,No,4.5,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,16.88,Falta de concentración en clases,Charlas
4/26/2023 19:15:10,19,Masculino,Ciencia de la Computación,5,1,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",3,7,4,No,4.4,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,15.4,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases",Nada
4/26/2023 19:15:24,18,Femenino,Ingeniería Química,8,2,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",4,7,4,No,6.7,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,15.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos",Ajgsgshs
4/26/2023 19:56:39,19,Masculino,Ingeniería Civil,3,2,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",Consejería o terapia de pareja,8,8,6,No,2.3,1.1,Sí,Sí considero,Sí afecta,Sí,Sí,14.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias","Recomendaciones, tutorías, etc"
4/26/2023 20:10:29,20,Femenino,Ingeniería Ambiental,2,1,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,9,9,9,Sí,4.5,2.1,No,Sí considero,Sí afecta,Sí,Sí,16.8,Falta de concentración en clases,Charlas
4/26/2023 20:28:09,18,Femenino,Ingeniería Química,4,1,Sí,Sí,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja",Talleres o grupos de discusión sobre relaciones saludables,10,4,8,Sí,1.2,1.1,No,Sí considero,No afecta,Sí,Sí,13.52,Menor tiempo de preparación para las evaluaciones,"Talleres participativos para parejas, visitas o eventos similares "
4/26/2023 20:40:32,20,Femenino,Ingeniería Indusrial,4,1,Sí,No,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,0,8,5,Sí,5.6,3.1,Sí,Sí considero,No afecta,Sí,No,15.5,Menor tiempo de preparación para las evaluaciones,Que brinden talleres
4/26/2023 21:06:53,20,Masculino,Ingeniería Indusrial,2,1,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",10,7,9,Sí,2.3,3.1,No,Sí considero,Sí afecta,Sí,Sí,14,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos",Facil no enamorarse durante la vida universitaria. Menos  que estés y te sientas estupendamente 100 %contigo mismo y las emociones
4/26/2023 21:16:11,18,Femenino,Ingeniería Indusrial,2,3,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,Consejería o terapia de pareja,7,7,7,Sí,1.2,3.1,No,Sí considero,No afecta,Sí,No,14,Falta de concentración en clases,Que se implemente algún soporte o ayuda en beneficio de los estudiantes
4/26/2023 21:17:29,20,Masculino,Bioingeniería,4,3,Sí,Sí,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación","Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",3,1,4,No,3.4,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,14,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Desaprobando cursos",Charlas
4/26/2023 22:17:28,19,Masculino,Ingeniería Mecatrónica,3,1,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",9,7,9,Sí,3.4,1.1,No,Sí considero,No afecta,Sí,No,14.78,Menor tiempo de preparación para las evaluaciones,"Brindar sesiones virtuales o presenciales sobre una relación amorosa sana, donde cada uno respete el tiempo del otro. "
4/26/2023 22:19:58,18,Masculino,Ingeniería Mecatrónica,3,1,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,"Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",4,6,0,No,3.4,1.1,Sí,Sí considero,No afecta,Sí,No,17.5,Falta de concentración en clases,estoy solo wn
4/26/2023 22:22:51,18,Masculino,Ingeniería Mecatrónica,3,1,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,Consejería o terapia de pareja,4,4,0,No,1.2,2.1,Sí,Sí considero,No afecta,Sí,No,12.5,Menor tiempo de preparación para las evaluaciones,no se
4/26/2023 22:25:07,17,Masculino,Ingeniería Mecatrónica,3,1,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",6,7,3,No,1.2,2.3,Sí,Sí considero,Sí afecta,Sí,Sí,17.16,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases",Terapia en pareja sin prejuicios
4/26/2023 22:25:34,18,Masculino,Ingeniería Mecatrónica,3,3,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",5,8,5,No,3.4,1.1,No,Sí considero,Sí afecta,Sí,Sí,18.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases",Hacer clases virtuales
4/26/2023 22:29:21,17,Femenino,Ingeniería Indusrial,2,1,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Distracción y desconcentración,Consejería o terapia de pareja,5,8,8,Sí,2.3,0,Sí,Sí considero,No afecta,Sí,No,15,Falta de concentración en clases,Charlas
4/26/2023 23:01:19,18,Femenino,Ingeniería Indusrial,2,3,Sí,No,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",5,5,5,No,6.7,4.1,Sí,No considero,Sí afecta,Sí,Sí,13.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases",Que puedan darnos taller de consejería
4/27/2023 0:56:31,22,Masculino,Ingeniería Civil,4,3,Sí,No,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",10,6,0,No,3.4,3.1,Sí,No considero,Sí afecta,Sí,Sí,14.2,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos",No enamorarse que eso solo es ilusión temporal xd
4/27/2023 4:45:32,19,Masculino,Ingeniería Indusrial,2,2,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Problemas de confianza o celos en la relación, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,4,7,4,Sí,3.4,2.1,No,No considero,Sí afecta,Sí,Sí,16.7,Falta de concentración en clases,Charlas orientadas a consejería de bienestar académico y sentimental.
4/27/2023 10:36:08,18,Masculino,Ingeniería Indusrial,2,3,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,4,7,0,No,7.8,2.1,Sí,No considero,Sí afecta,Sí,No,16.25,Menor tiempo de preparación para las evaluaciones,Foros de atención al estudiante.
4/27/2023 10:51:18,20,Femenino,Ingeniería Indusrial,4,5,Sí,Sí,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",3,4,0,No,5.6,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,"14,55","Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos",me voy de la utec
4/27/2023 10:59:04,18,Femenino,Ingeniería Indusrial,2,3,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración","Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",4,6,5,Sí,4.5,1.1,No,Sí considero,Sí afecta,No,Sí,16.8,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias","No tengo pareja, sin embargo sería bueno que brinden charlas sobre el manejo de las emociones, de esa forma sobrellevar la vida académica y amorosa correctamente. "
4/27/2023 11:13:50,19,Masculino,Ingeniería Indusrial,6,2,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",5,6,6,Sí,1.2,3.3,No,Sí considero,Sí afecta,No,No,13.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias",Charlas para saber conllevar una buena vida amorosa y tené un buen rendimiento académico
4/27/2023 12:44:10,19,Femenino,Ingeniería Indusrial,2,1,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Distracción y desconcentración,"Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",3,3,1,No,2.4,2.1,No,No considero,No afecta,Sí,No,"13,55",Disminución del promedio de notas o obtención de notas desaprobatorias,Charlas y más actividades interdisciplinarias
4/27/2023 16:07:33,19,Femenino,Ingeniería Química,5,3,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",6,7,4,Sí,4.5,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,13,"Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias","Primero una charla psicológica de como mejorar sin necesidad de una pareja sino de fijarse en si mismo, y luego con ambos porque si quieres mejorar deben hacerlo juntos :3, pero sino a solo terminarlo es mejor antes que seguir haciéndose daño si "
4/27/2023 18:11:12,19,Masculino,Ingeniería Indusrial,2,3,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,Talleres o grupos de discusión sobre relaciones saludables,9,8,8,Sí,2.3,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,14,Menor tiempo de preparación para las evaluaciones,Qué aprendan a administarar su tiempo
4/27/2023 19:25:23,18,Femenino,Bioingeniería,2,2,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",5,7,6,Sí,2.3,2.1,No,No considero,Sí afecta,Sí,Sí,16.4,Falta de concentración en clases,Inteligencia emocional
4/27/2023 20:43:51,19,Femenino,Ingeniería Indusrial,2,3,Sí,No,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,Talleres o grupos de discusión sobre relaciones saludables,2,5,4,No,5.1,3.1,Sí,Sí considero,No afecta,Sí,No,14.7,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases",Charlas
4/27/2023 21:25:23,19,Masculino,Ingeniería Civil,4,1,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",Talleres o grupos de discusión sobre relaciones saludables,2,8,7,Sí,6.7,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,12.34,"Menor tiempo de preparación para las evaluaciones, Inasistencia a clases, Disminución del promedio de notas o obtención de notas desaprobatorias",Creo que la universidad cuenta con espacios donde se puede acudir y tratar esos temas.
4/27/2023 21:31:17,20,Masculino,Ingeniería Civil,4,3,Sí,Sí,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja","Consejería o terapia de pareja, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",8,8,8,Sí,3.4,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,16.87,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases",Podrían programar reuniones como los que realiza bienestar estudiantil.
4/27/2023 21:33:52,19,Femenino,Ingeniería Ambiental,4,8,Sí,Sí,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",9,9,9,Sí,2.3,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,16.57,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases",Crear espacios donde se puedan hablar de estos temas
