Year,Make,Model,Kilometres,Body_Type,Engine,Transmission,Drivetrain,Exterior_Colour,Interior_Colour,Passengers,Doors,Fuel_Type,City,Highway,Price
2019,Mercedes-Benz,A-Class,53000,Hatchback,4,Automatic,AWD,White,Black,5,4,Gas,"9,4","6,8",34750
2019,Mercedes-Benz,CLA,47000,Sedan,4,7 Speed Automatic,AWD,Polar White,Black,5,4,Gas,"9,9","7,3",34888
2019,Mercedes-Benz,G-Class,86872,SUV,8,Automatic,AWD,Black,Black,5,4,Gas,"18,1","15,6",199800
2018,Mercedes-Benz,GLA45,78606,SUV,4,7 Speed Automatic with auto-shift,AWD,White,Black,5,4,Gas,"10,7","8,3",39999
2021,Mercedes-Benz,A-Class,25500,Hatchback,4,Automatic,AWD,Polar White,Black,5,4,Gas,"10,6","8,2",56395
2016,Mercedes-Benz,G-Class,107118,SUV,8,Automatic,AWD,Polar White,Black,5,4,Gas,20,"16,6",109800
2017,Mercedes-Benz,GLE,71000,SUV,6,9 Speed Automatic,AWD,Black,Black,5,4,Gas,"13,6","10,2",65777
2019,Mercedes-Benz,G-Class,89759,SUV,8,Automatic,AWD,Black,Black,5,4,Gas,"18,1","15,6",196800
2018,Mercedes-Benz,GLC,104000,SUV,4,Automatic,AWD,Black,White,5,4,Gas,"11,1","8,6",34950
2018,Mercedes-Benz,GLC-Class,129000,SUV,4,Automatic,AWD,Black,Black,5,4,Gasoline Hybrid,"11,61176471","9,135294118",34995
2016,Mercedes-Benz,GLE-Class,119000,SUV,6,Automatic,AWD,Tenorite Grey Metallic,Black,5,4,Diesel,"10,1",8,34995
2018,Mercedes-Benz,C-Class,67000,Wagon,4,Automatic,AWD,Black,Black,5,4,Gas,"10,7",8,35450
2018,Mercedes-Benz,GLC300,99000,SUV,4,Automatic,AWD,Selenite Grey Metallic,Black,5,4,Gas,"11,1","8,6",35450
2022,Mercedes-Benz,GLC,4024,SUV,4,Automatic,AWD,Black,Beige,5,4,Gas,"11,5","9,1",69282
2019,Mercedes-Benz,CLA-Class,34548,Sedan,4,Automatic,AWD,Cosmos Black Metallic,Black,5,4,Gas,"9,9","7,3",35800
2018,Mercedes-Benz,GLC,98000,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,"11,1","8,6",35950
2018,Mercedes-Benz,GLC300,89000,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,"11,1","8,6",35950
2019,Mercedes-Benz,CLA250,68371,Sedan,4,Automatic,AWD,Polar White,Grey,5,4,Gas,"9,9","7,3",35988
2020,Mercedes-Benz,GLA,50742,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,"10,2","7,6",37988
2018,Mercedes-Benz,GLC300,82000,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,"11,1","8,6",36450
2018,Mercedes-Benz,GLC-Class,59750,SUV,4,Automatic,AWD,designo Diamond White Metallic,Black,5,4,Gas,"11,1","8,6",36800
2016,Mercedes-Benz,CLA,84485,Sedan,4,7 Speed Automatic with auto-shift,AWD,Calcite White,Black,5,4,Gas,"9,955555556","7,177777778",23582
2018,Mercedes-Benz,AMG,178620,SUV,6,9 Speed Automatic,AWD,White,White,5,4,Gas,"13,1","10,1",36888
2019,Mercedes-Benz,GLC,113000,SUV,4,Automatic,AWD,Black,Tan,5,4,Gas,11,"8,7",36950
2018,Mercedes-Benz,GLC,76000,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,"11,1","8,6",36950
2018,Mercedes-Benz,GLC,72000,SUV,4,Automatic,AWD,Selenite Grey Metallic,Black,5,4,Gas,"11,1","8,6",37450
2019,Mercedes-Benz,GLC300,83000,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,11,"8,7",37450
2018,Mercedes-Benz,GLE,119000,SUV,6,Automatic,AWD,Polar White,Black,5,4,Gas,"13,5","10,3",38450
2019,Mercedes-Benz,GLC,62000,SUV,4,Automatic,AWD,White,Black,5,4,Gas,11,"8,7",38777
2016,Mercedes-Benz,GLE-Class,60287,SUV,6,Automatic,AWD,White,Black,5,4,Diesel,"10,1",8,38800
2018,Mercedes-Benz,E-Class,140500,Sedan,6,Automatic,AWD,Selenite Grey Metallic,Black,5,4,Gas,"11,8","8,7",38800
2018,Mercedes-Benz,GLC-Class,50252,SUV,4,Automatic,AWD,Lunar Blue Metallic,Black,5,4,Gas,"11,1","8,6",38800
2017,Mercedes-Benz,C-Class,108000,Sedan,6,Automatic,AWD,Black,Red,5,4,Gas,"11,61529412","8,414117647",38800
2021,Mercedes-Benz,AMG,34322,Hatchback,6,9 Speed Automatic,AWD,Grey,Red,5,4,Gasoline Hybrid,"13,6875","10,15",119999
2019,Mercedes-Benz,GLC,75000,SUV,4,Automatic,AWD,Gray,Black,5,4,Gas,11,"8,7",38950
2018,Mercedes-Benz,GLE,92000,SUV,3,Automatic,AWD,Black,Black,5,4,Gas,"13,5","10,3",39480
2018,Mercedes-Benz,GLE-Class,92099,SUV,6,Automatic,AWD,Black,Black,5,4,Gas,"13,5","10,3",39800
2018,Mercedes-Benz,GLE-Class,88956,SUV,6,Automatic,AWD,Polar White,Black,5,4,Gas,"13,5","10,3",39800
2019,Mercedes-Benz,C-Class,74881,Sedan,4,Automatic,AWD,Black,Black,5,4,Gas,11,"7,3",39800
2022,Mercedes-Benz,A-Class,23448,Sedan,4,Automatic,AWD,Black,Black,5,4,Gas,"10,8","7,9",57399
2018,Mercedes-Benz,GLE-Class,90738,SUV,6,Automatic,AWD,Polar White,Black,5,4,Gas,"13,5","10,3",39800
2019,Mercedes-Benz,GLC-Class,40958,SUV,4,Automatic,AWD,designo Cardinal Red Metallic,Black,5,4,Gas,11,"8,7",39800
2017,Mercedes-Benz,GLE-Class,61334,SUV,6,Automatic,AWD,designo Diamond White Metallic,Black,5,4,Gas,"13,1","10,1",39800
2014,Mercedes-Benz,S-Class,108737,Sedan,8,Automatic,AWD,Gray,Black,5,4,Gas,"14,440625","9,25",39800
2020,Mercedes-Benz,GLC,106000,SUV,4,9 Speed Automatic,AWD,White,Black,5,4,Gas,"11,2","8,5",39888
2016,Mercedes-Benz,GLE350D,107998,SUV,6,9 Speed Automatic,AWD,Black,Black,5,4,Diesel,"10,1",8,39888
2017,Mercedes-Benz,GLC,86000,SUV,6,Automatic,AWD,White,Black,5,4,Gas,"17,4","11,1",39950
2021,Mercedes-Benz,GLC,14492,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,"11,3","8,5",58749
2019,Mercedes-Benz,GLC,79514,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,11,"8,7",39995
2018,Mercedes-Benz,GLA45,78606,SUV,4,7 Speed Automatic with auto-shift,AWD,White,Black,5,4,Gas,"10,7","8,3",39999
2019,Mercedes-Benz,GLC300,51551,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,11,"8,7",40588
2018,Mercedes-Benz,GLE-Class,84521,SUV,6,Automatic,AWD,Gray,Black,5,4,Gas,"13,5","10,3",40800
2018,Mercedes-Benz,GLE-Class,73928,SUV,6,Automatic,AWD,Black,Tan,5,4,Gas,"13,5","10,3",40800
2019,Mercedes-Benz,GLC-Class,52666,SUV,4,Automatic,AWD,Lunar Blue Metallic,Black,5,4,Gas,11,"8,7",40800
2018,Mercedes-Benz,GLE-Class,69525,SUV,6,Automatic,AWD,Gray,Black,5,4,Gas,"13,5","10,3",40800
2018,Mercedes-Benz,GLC-Class,28368,SUV,4,Automatic,AWD,designo Diamond White Metallic,Black,5,4,Gas,"11,1","8,6",40800
2017,Mercedes-Benz,GLC,86158,SUV,6,9 Speed Automatic,AWD,White,Black,5,4,Gas,"17,4","11,1",40888
2018,Mercedes-Benz,C-Class,94000,Sedan,6,Automatic,AWD,Black,Black,5,4,Gas,"11,8","8,8",40950
2018,Mercedes-Benz,GLA45,77581,SUV,4,Automatic,AWD,White,Black,5,4,Gas,"10,7","8,3",40998
2019,Mercedes-Benz,GLC-Class,100500,SUV,6,Automatic,AWD,Gray,Brown,5,4,Gas,"12,5","9,6",40999
2018,Mercedes-Benz,GLE,77000,SUV,6,Automatic,AWD,Polar White,Black,5,4,Gas,"13,5","10,3",41450
2017,Mercedes-Benz,CLA,49821,Sedan,4,Automatic,AWD,Calcite White,Black,5,4,Gas,"9,6","6,4",28888
2018,Mercedes-Benz,GLC300,36987,SUV,4,Automatic,AWD,Blue,Black,5,4,Gas,"11,1","8,6",41500
2017,Mercedes-Benz,C-Class,75884,Sedan,6,Automatic,AWD,designo Diamond White Metallic,Red,5,4,Gas,"11,61529412","8,414117647",41800
2018,Mercedes-Benz,C-Class,83000,Sedan,6,Automatic,AWD,Black,Black,5,4,Gas,"11,8","8,8",41950
2018,Mercedes-Benz,GLE,70428,SUV,6,Automatic,AWD,Black,Black,5,4,Gas,"13,5","10,3",41950
2023,Mercedes-Benz,CLA,90,Sedan,4,Automatic,AWD,Iridium Silver Metallic,Black,5,4,Gas,"9,8",7,55353
2021,Mercedes-Benz,A250,14150,Hatchback,4,Automatic,AWD,Polar White,Black,5,4,Gas,"9,4","6,8",41955
2018,Mercedes-Benz,GLC,33373,SUV,4,Automatic,AWD,Blue,Black,5,4,Gas,11,"8,7",42138
2020,Mercedes-Benz,GLC,87000,SUV,4,Automatic,AWD,Gray,Black,5,4,Gas,"11,2","8,5",42150
2018,Mercedes-Benz,GLC300,36816,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,"11,1","8,6",42500
2017,Mercedes-Benz,C-Class,71841,Sedan,6,Automatic,AWD,designo Diamond White Metallic,Red,5,4,Gas,"11,61529412","8,414117647",42800
2016,Mercedes-Benz,GLE-Class,108149,SUV,6,Automatic,AWD,Jet Black,Black,5,4,Gas,"13,3","10,4",33800
2018,Mercedes-Benz,GLC,67000,SUV,6,9 Speed Automatic,AWD,Dark Grey,Black,5,4,Gas,"13,1","10,1",48799
2016,Mercedes-Benz,S-Class,36677,Sedan,8,Automatic,AWD,White,Black,5,4,Gas,"14,440625","9,25",62800
2017,Mercedes-Benz,C43,120155,Sedan,6,9 Speed Automatic,AWD,Black,Black,5,4,Gas,"12,36111111","8,938888889",38399
2017,Mercedes-Benz,E-Class,61900,Sedan,4,Automatic,AWD,Iridium Silver Metallic,Black,5,4,Gas,"10,8","8,1",41350
2018,Mercedes-Benz,GLE-Class,59362,SUV,6,Automatic,AWD,Gray,Black,5,4,Gas,"13,5","10,3",42800
2020,Mercedes-Benz,GLC-Class,80549,SUV,4,Automatic,AWD,White,Black,5,4,Gas,"11,61176471","9,135294118",42800
2022,Mercedes-Benz,A220,4995,Sedan,4,Automatic,AWD,Grey,Black,5,4,Gas,"9,5","6,8",52896
2018,Mercedes-Benz,GLE,131000,SUV,6,Automatic,AWD,Black,Black,5,4,Gas,"13,5","10,3",42950
2020,Mercedes-Benz,C300,38369,Sedan,4,Automatic,AWD,Blue,Black,5,4,Gas,11,"7,3",42989
2022,Mercedes-Benz,GLC,9756,SUV,4,Automatic,AWD,Silver,Black,5,4,Gas,"11,5","9,1",72097
2019,Mercedes-Benz,GLC300,42618,SUV,4,Automatic,AWD,Polar White,Beige,5,4,Gas,11,"8,7",43988
2018,Mercedes-Benz,GLC,92000,SUV,4,Automatic,AWD,designo Hyacinth Red,Black,5,4,Gas,11,"8,7",44777
2018,Mercedes-Benz,C-Class,67898,Sedan,6,Automatic,AWD,designo Diamond White Metallic,Black,5,4,Gas,"11,8","8,8",44800
2018,Mercedes-Benz,C-Class,70784,Sedan,6,Automatic,AWD,designo Diamond White Metallic,Black,5,4,Gas,"11,8","8,8",44800
2020,Mercedes-Benz,GLC,67738,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,"11,2","8,5",44887
2014,Mercedes-Benz,CLA,136200,Sedan,4,Automatic,AWD,Calcite White,Black,5,4,Gas,9,"6,5",28950
2020,Mercedes-Benz,GLC,77000,SUV,4,9 Speed Automatic,AWD,Black,Red,5,4,Gas,"11,2","8,5",44888
2017,Mercedes-Benz,GLS-Class,139030,SUV,3,Automatic,AWD,Black,Black,7,4,Gas,"14,4","11,4",44888
2017,Mercedes-Benz,GLE,99000,SUV,6,9 Speed Automatic,AWD,Polar White,Black,5,4,Gas,"13,6","10,1",44950
2021,Mercedes-Benz,A250,13410,Hatchback,4,Automatic,AWD,Polar White,Black,5,4,Gas,"9,4","6,8",44955
2022,Mercedes-Benz,GLB,3717,SUV,4,Automatic,AWD,Iridium Silver Metallic,Dark Grey,5,4,Gas,"10,9","7,9",60812
2018,Mercedes-Benz,GLE,56000,SUV,6,Automatic,AWD,Dark Grey,Black,5,4,Gas,"13,5","10,3",45777
2018,Mercedes-Benz,C-Class,41000,Sedan,6,9 Speed Automatic,AWD,Black,Black,5,4,Gas,"11,8","8,8",45888
2017,Mercedes-Benz,GLE43,99620,SUV,6,9 Speed Automatic,AWD,Dark Grey,Black,5,4,Gas,"13,6","10,1",45888
2015,Mercedes-Benz,S-Class,138448,Sedan,8,7 Speed Automatic,AWD,Maroon,Beige,5,4,Gas,"14,440625","9,25",45900
2022,Mercedes-Benz,GLC300,7700,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,"11,5","9,1",62661
2021,Mercedes-Benz,A250,13472,Hatchback,4,Automatic,AWD,Polar White,Black,5,4,Gas,"9,4","6,8",46655
2018,Mercedes-Benz,E-Class,64837,Sedan,6,Automatic,AWD,Black,Black,5,4,Gas,"11,8","8,7",46699
2018,Mercedes-Benz,GLE,54000,SUV,6,9 Speed Automatic,AWD,Black,Black,5,4,Gas,"13,5","10,3",46750
2018,Mercedes-Benz,E-Class,50700,Sedan,3,Automatic,AWD,Silver,Black,5,4,Gas,"11,8","8,7",46799
2017,Mercedes-Benz,GLC-Class,78800,SUV,6,Automatic,AWD,designo Diamond White Metallic,Black,5,4,Gas,"11,61176471","9,135294118",46800
2018,Mercedes-Benz,GLE-Class,69556,SUV,6,Automatic,AWD,designo Hyacinth Red,Cream,5,4,Gas,"13,5","10,3",46910
2018,Mercedes-Benz,GLE-Class,70827,SUV,6,Automatic,AWD,Polar White,Black,5,4,Gas,"13,5","10,3",46910
2016,Mercedes-Benz,CLS,53000,Sedan,8,9 Speed Automatic,AWD,White,Cream,4,4,Gas,"13,65","9,8",46985
2020,Mercedes-Benz,GLC300,57026,SUV,4,Automatic,AWD,Polar White,Black,5,4,Gas,"11,2","8,5",46988
2021,Mercedes-Benz,GLA,22190,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,"9,8","7,2",46998
2019,Mercedes-Benz,GLC-Class,82356,SUV,6,Automatic,AWD,Iridium Silver Metallic,Black,5,4,Gas,"12,5","9,6",47800
2018,Mercedes-Benz,GLE-Class,86230,SUV,6,Automatic,AWD,Selenite Grey Metallic,Black,5,4,Gas,"13,5","10,3",47800
2020,Mercedes-Benz,CLA,38000,Sedan,4,7 Speed Automatic,AWD,Black,Black,5,4,Gas,"10,1","7,2",47888
2018,Mercedes-Benz,GLE,32000,SUV,6,Automatic,AWD,Selenite Grey Metallic,Black,5,4,Gas,"13,5","10,3",47888
2020,Mercedes-Benz,GLE350,72269,SUV,4,Automatic,AWD,Selenite Grey Metallic,Tan,5,4,Gas,"12,1","8,8",63795
2017,Mercedes-Benz,GLS,101000,SUV,6,9 Speed Automatic,AWD,Black,Brown,7,4,Gas,"14,4","11,4",47950
2019,Mercedes-Benz,CLA,54000,Sedan,4,7 Speed Automatic,AWD,Mountain Grey Metallic,Black,5,4,Gas,"10,3","7,9",47997
2018,Mercedes-Benz,GLC,67000,SUV,6,9 Speed Automatic,AWD,Dark Grey,Black,5,4,Gas,"13,1","10,1",48799
2018,Mercedes-Benz,GLC-Class,50059,SUV,6,Automatic,AWD,designo Diamond White Metallic,Black,5,4,Gas,"13,1","10,1",48800
2018,Mercedes-Benz,GLE,67000,SUV,6,Automatic,AWD,Obsidian Black Metallic,Brown,5,4,Gas,"13,5","10,3",48888
2019,Mercedes-Benz,E-Class,79000,Sedan,6,9 Speed Automatic,AWD,Grey,Black,5,4,Gas,"11,8","8,5",48888
2018,Mercedes-Benz,GLS-Class,127166,SUV,3,Automatic,AWD,Polar White,Beige,7,4,Gas,"14,3","11,4",48888
2020,Mercedes-Benz,GLC300,71752,SUV,4,9 Speed Automatic,AWD,Obsidian Black Metallic,Black,5,4,Gas,"11,2","8,5",48888
2020,Mercedes-Benz,GLC300,53191,SUV,4,Automatic,AWD,Grey,Cream,5,4,Gas,"11,2","8,5",48993
2017,Mercedes-Benz,GLS,114111,SUV,8,Automatic,AWD,Polar White,Black,7,4,Gas,"16,7","12,9",48995
2020,Mercedes-Benz,GLC,95000,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,"11,2","8,7",49450
2017,Mercedes-Benz,GLS-Class,102537,SUV,8,Automatic,AWD,designo Diamond White Metallic,Black,7,4,Gas,"16,7","12,9",49800
2022,Mercedes-Benz,A250,9176,Compact,4,Automatic,AWD,Night Black,Black,5,4,Gas,"9,4","6,8",47175
2019,Mercedes-Benz,GLC-Class,32044,SUV,4,Automatic,AWD,designo Cardinal Red Metallic,Tan,5,4,Gas,"10,8",9,49800
2019,Mercedes-Benz,GLC-Class,61779,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,"10,8",9,49800
2016,Mercedes-Benz,S-Class,96119,Sedan,8,Automatic,AWD,Jet Black,Black,5,4,Gas,"14,440625","9,25",49800
2022,Mercedes-Benz,A-Class,7000,Sedan,4,7 Speed Automatic,AWD,White,Black,5,4,Gas,"9,5","6,8",49885
2018,Mercedes-Benz,GLS450,100498,SUV,6,9 Speed Automatic,AWD,Black,Black,7,4,Gas,"14,3","11,4",49888
2019,Mercedes-Benz,GLE400,74600,SUV,6,9 Speed Automatic,AWD,Polar White,Black,5,4,Gas,"13,5","10,3",49888
2016,Mercedes-Benz,S-Class,101221,Sedan,8,Automatic,AWD,Silver,Black,4,4,Gas,"14,440625","9,25",49895
2016,Mercedes-Benz,S-Class,89755,Sedan,8,Automatic,AWD,Black,Black,5,4,Gas,"14,440625","9,25",49950
2017,Mercedes-Benz,GLE43,63450,SUV,6,Automatic,AWD,Polar White,Black,5,4,Gas,"13,6","10,1",49955
2017,Mercedes-Benz,CLS,54000,Sedan,8,9 Speed Automatic,AWD,Grey,Cream,4,4,Gas,"13,65","9,8",49985
2021,Mercedes-Benz,GLB250,58896,SUV,4,Automatic,AWD,Polar White,Black,7,4,Gas,"10,3","7,8",49988
2019,Mercedes-Benz,AMG,59640,SUV,6,9 Speed Automatic,AWD,BLACK,Black,5,4,Gas,"12,5","9,6",49999
2019,Mercedes-Benz,GLC-Class,68006,SUV,4,Automatic,AWD,Black,Tan,5,4,Gas,"10,8",9,50800
2018,Mercedes-Benz,CLA-Class,52741,Sedan,4,Automatic,AWD,Night Black,Black,5,4,Gas,"9,9","7,3",31800
2018,Mercedes-Benz,GLA45,78606,SUV,4,7 Speed Automatic with auto-shift,AWD,White,Black,5,4,Gas,"10,7","8,3",39999
2021,Mercedes-Benz,A-Class,25500,Hatchback,4,Automatic,AWD,Polar White,Black,5,4,Gas,"10,6","8,2",56395
2020,Mercedes-Benz,C-Class,27500,Sedan,6,Automatic,AWD,Brilliant Blue Metallic,Black,5,4,Gas,"12,4","8,7",58500
2018,Mercedes-Benz,E-Class,49500,Sedan,8,Automatic,AWD,designo Diamond White Metallic,Black,5,4,Gas,"15,5","10,6",94800
2021,Mercedes-Benz,AMG,34322,Hatchback,6,9 Speed Automatic,AWD,Grey,Red,5,4,Gasoline Hybrid,"13,6875","10,15",119999
2019,Mercedes-Benz,GLC,46209,SUV,6,Automatic,AWD,White,Black,5,4,Gas,"12,5","9,6",50495
2019,Mercedes-Benz,GLC-Class,68006,SUV,4,Automatic,AWD,Black,Tan,5,4,Gas,"10,8",9,50800
2018,Mercedes-Benz,GLE,50454,SUV,6,Automatic,AWD,Black,White,5,4,Gas,"13,5","10,3",50910
2022,Mercedes-Benz,GLE350,21942,SUV,4,Automatic,AWD,Black,Black,5,4,Gas,"12,1","8,9",82444
2022,Mercedes-Benz,GLC,53153,SUV,4,Automatic,AWD,White,Black,5,4,Gas,"11,5","9,1",51413
2019,Mercedes-Benz,GLC,52000,SUV,4,9 Speed Automatic,AWD,White,Black,5,4,Gas,"10,8",9,51888
2021,Mercedes-Benz,GLC300,37440,SUV,4,Automatic,AWD,Polar White,Black,5,4,Gas,"11,3","8,5",51899
2017,Mercedes-Benz,S-Class,91400,Sedan,6,7 Speed Automatic,AWD,White,Black,5,4,Gas,"12,6","8,6",51995
2017,Mercedes-Benz,S-Class,104000,Sedan,8,9 Speed Automatic,AWD,White,Beige,4,4,Gas,"14,440625","9,25",52888
2019,Mercedes-Benz,CLS,87955,Sedan,6,Automatic,AWD,Black,Black,5,4,Gas,"13,65","9,8",53800
2019,Mercedes-Benz,GLS,91000,SUV,6,9 Speed Automatic,AWD,Black,Black,7,4,Gas,"14,9","11,2",53800
2019,Mercedes-Benz,C-Class,57772,Sedan,6,Automatic,AWD,Polar White,Black,5,4,Gas,"12,4","8,7",53800
2022,Mercedes-Benz,AMG,10850,SUV,6,Automatic,AWD,Selenite Grey Met,Black,5,4,Gas,"12,9","9,3",82830
2020,Mercedes-Benz,E-Class,55500,Sedan,4,Automatic,AWD,Lunar Blue Metallic,Black,5,4,Gas,"10,8","7,8",53800
2019,Mercedes-Benz,GLC-Class,27930,SUV,4,Automatic,AWD,designo Cardinal Red Metallic,Red,5,4,Gas,"10,8",9,53800
2019,Mercedes-Benz,C-Class,62000,Sedan,6,9 Speed Automatic,AWD,White,Red,5,4,Gas,"12,4","8,7",54888
2017,Mercedes-Benz,S-Class,99578,Sedan,8,Automatic,AWD,designo Diamond White Metallic,Black,5,4,Gas,"14,440625","9,25",55800
2020,Mercedes-Benz,GLC,49881,SUV,4,Automatic,AWD,White,Black,5,4,Gas,"11,2","8,5",48988
2019,Mercedes-Benz,E-Class,63382,Wagon,6,Automatic,AWD,Black,Black,7,4,Gas,"12,3","8,9",55910
2021,Mercedes-Benz,A-Class,25500,Hatchback,4,Automatic,AWD,Polar White,Black,5,4,Gas,"10,6","8,2",56395
2021,Mercedes-Benz,GLA,40000,SUV,4,Automatic,AWD,Night Black,Black,5,4,Gas,"10,01666667","7,333333333",56888
2020,Mercedes-Benz,E350,56202,Sedan,4,9 Speed Automatic,AWD,Black,Black,5,4,Gas,"10,8","7,8",57888
2021,Mercedes-Benz,GLC,14388,SUV,4,Automatic,AWD,Blue,Black,5,4,Gas,"11,3","8,5",57988
2020,Mercedes-Benz,C-Class,27500,Sedan,6,Automatic,AWD,Brilliant Blue Metallic,Black,5,4,Gas,"12,4","8,7",58500
2022,Mercedes-Benz,GLC,20000,SUV,4,9 Speed Automatic,AWD,Black,Black,5,4,Gas,"11,5","9,1",58582
2019,Mercedes-Benz,E450,27550,Sedan,6,9 Speed Automatic,AWD,Iridium Silver Metallic,Black,5,4,Gas,"11,8","8,5",58888
2019,Mercedes-Benz,A-Class,61973,Hatchback,4,Automatic,AWD,Grey,Black,5,4,Gas,"9,4","6,8",35188
2020,Mercedes-Benz,E-Class,42873,Sedan,6,Automatic,AWD,Iridium Silver Metallic,Black,5,4,Gas,"11,8","8,5",59998
2020,Mercedes-Benz,GLC,56602,SUV,6,Automatic,AWD,Gray,Black,5,4,Gas,13,"9,8",59998
2020,Mercedes-Benz,C-Class,54000,Sedan,6,9 Speed Automatic,AWD,White,Red,5,4,Gas,"12,4","8,7",60888
2022,Mercedes-Benz,A-Class,5973,Sedan,4,7 Speed Automatic,AWD,Night Black,Black,5,4,Gas,"10,8","7,9",60995
2017,Mercedes-Benz,GLE-Class,86510,SUV,8,Automatic,AWD,designo Diamond White Metallic,Tan,5,4,Gas,"17,3","13,5",62800
2016,Mercedes-Benz,S-Class,36677,Sedan,8,Automatic,AWD,White,Black,5,4,Gas,"14,440625","9,25",62800
2017,Mercedes-Benz,GLS-Class,62230,SUV,8,Automatic,AWD,designo Diamond White Metallic,Brown,7,4,Gas,"16,7","12,9",63800
2019,Mercedes-Benz,GLE43,79000,SUV,3,Automatic,AWD,Black,Black,5,4,Gas,"14,1","10,9",63990
2020,Mercedes-Benz,GLE,35000,SUV,4,9 Speed Automatic,AWD,White,Black,5,4,Gas,"12,1","8,8",64888
2022,Mercedes-Benz,GLC300,15000,SUV,4,Automatic,AWD,Obsidian Black Metallic,Black,5,4,Gas,"11,5","9,1",64888
2019,Mercedes-Benz,GLE,71000,SUV,6,Automatic,AWD,Obsidian Black Metallic,Black,5,4,Gas,"14,1","10,9",64899
2020,Mercedes-Benz,GLE350,58182,SUV,4,9 Speed Automatic,AWD,Silver,Tan,5,4,Gas,"11,9","8,785",65399
2021,Mercedes-Benz,C-Class,660,Wagon,4,Automatic,AWD,Black,Black,5,4,Gas,"10,5","7,5",65800
2019,Mercedes-Benz,C-Class,69919,Sedan,8,Automatic,RWD,Black,Black,5,4,Gas,"13,2","8,7",75800
2020,Mercedes-Benz,GLC,30060,SUV,6,Automatic,AWD,White,Brown,5,4,Gas,13,"9,8",65887
2020,Mercedes-Benz,GLC,62000,SUV,6,Automatic,AWD,Obsidian Black Metallic,Black,5,4,Gas,13,"9,8",65888
2018,Mercedes-Benz,GLS,107000,SUV,8,Automatic,AWD,Selenite Metallic,Black,7,4,Gas,"16,5","12,6",65888
2019,Mercedes-Benz,GLE-Class,86650,SUV,3,Automatic,AWD,designo Hyacinth Red,Black,5,4,Gas,"14,1","10,9",65888
2022,Mercedes-Benz,A-Class,7612,Sedan,4,Automatic,AWD,Black,Black,5,4,Gas,"9,5","6,8",51388
2019,Mercedes-Benz,GLS-Class,75245,SUV,6,Automatic,AWD,Polar White,Tan,7,4,Gas,"14,9","11,2",66800
2020,Mercedes-Benz,GLE-Class,82144,SUV,6,Automatic,AWD,Black,Black,5,4,Gas,"13,31","10,23333333",66800
2018,Mercedes-Benz,GLE-Class,33622,SUV,6,Automatic,AWD,designo Diamond White Metallic,Black,5,4,Gas,"13,5","10,6",66800
2020,Mercedes-Benz,GLE-Class,70500,SUV,6,Automatic,AWD,Black,Black,5,4,Gas,"13,31","10,23333333",66800
2019,Mercedes-Benz,E-Class,67000,Sedan,6,9 Speed Automatic,AWD,Iridium Silver Metallic,Black,5,4,Gasoline Hybrid,"12,33584906","8,8",66888
2017,Mercedes-Benz,C-Class,41587,Sedan,8,Automatic,RWD,Lunar Blue Metallic,Black,5,4,Gas,"13,4","9,6",67800
2019,Mercedes-Benz,E-Class,67000,Sedan,6,9 Speed Automatic,AWD,designo Hyacinth Red Metallic,Black,5,4,Gasoline Hybrid,"12,33584906","8,8",67888
2020,Mercedes-Benz,GLE,45000,SUV,4,Automatic,AWD,Polar White,Black,5,4,Gas,"12,1","8,8",68888
2018,Mercedes-Benz,C-Class,124600,Sedan,4,9 Speed Automatic,AWD,Black,Black,5,4,Gas,"10,5","7,5",28888
2020,Mercedes-Benz,C-Class,27500,Sedan,6,Automatic,AWD,Brilliant Blue Metallic,Black,5,4,Gas,"12,4","8,7",58500
2017,Mercedes-Benz,C-Class,115351,Sedan,6,Automatic,AWD,Black,Red,5,4,Gas,"11,61529412","8,414117647",39800
2017,Mercedes-Benz,E-Class,61900,Sedan,4,Automatic,AWD,Iridium Silver Metallic,Black,5,4,Gas,"10,8","8,1",41350
2022,Mercedes-Benz,GLC,110,SUV,6,9 Speed Automatic,AWD,Black,Black,5,4,Gas,"12,9","9,3",79888
2021,Mercedes-Benz,AMG,34322,Hatchback,6,9 Speed Automatic,AWD,Grey,Red,5,4,Gasoline Hybrid,"13,6875","10,15",119999
2019,Mercedes-Benz,GLE43,53900,SUV,3,Automatic,AWD,Black,Black,5,4,Gas,"14,1","10,9",68999
2022,Mercedes-Benz,A-Class,23448,Sedan,4,Automatic,AWD,Black,Black,5,4,Gas,"10,8","7,9",57399
