"","Edad","Género","Carrera","Cantidad_cursos","Promedio_ponderado","Orden_mérito","Desempeño_clases","Participaste_actividad_extracurricular","Criterio_act_desempeño","Trabajo","Deportes","Org_estudiantil","Voluntariados","Talleres","Act_religiosas","Tiempo_trabajo","Tiempo_deporte","Tiempo_organización_estudiantil","Tiempo_voluntariado","Tiempo_talleres","Tiempo_actividad_religiosa","Tiempo_otras_actividades","Tiempo_estudio","Tiempo_descanso","Tiempo_actividades_ocio","Cursos_extraacadémico","Tiempo_curso_extraacadémico","Block_notas","Google_Calendar","Apps_mates","Notion","Horarios_agendas","Ninguna_herramienta","Tiempo_total_act_extra"
"140",21,"Hombre","Ingeniería Civil",7,13,"Décimo superior","Regular","SI","NO","No","No","No","Si","No","No",0,6,1,0.5,0,0,3,30,36,30,"NO",0,"No","Si","No","No","No","No",7.5
"141",19,"Hombre","Ingeniería Industrial",6,13.4,"Décimo superior","Bueno","SI","NO","No","Si","No","No","No","No",0,3,0,0,0,0,0.5,12,30,3,"NO",0,"No","Si","No","No","No","No",3
"142",19,"Mujer","Ingeniería Industrial",6,15,"Medio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,24,18,"NO",0,"No","Si","No","No","Si","No",NA
"143",19,"Hombre","Ciencia de la Computación",6,16.5,"Tercio superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6,48,12,"SI",4,"No","No","No","No","Si","No",NA
"144",19,"Mujer","Ingeniería Mecánica",6,16.75,"Quinto superior","Bueno","SI","NO","No","No","Si","Si","No","No",0,0,2,1,0,0,0,36,42,0,"SI",2,"Si","Si","No","No","No","No",3
"146",18,"Hombre","Ingeniería Electrónica",5,15.55,"Medio superior","Regular","SI","NO","No","Si","No","Si","No","No",0,12,0,5,0,0,0,12,42,18,"NO",0,"Si","Si","No","No","Si","No",17
"147",18,"Mujer","Ingeniería Civil",6,14.25,"Medio superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,24,"NO",0,"No","No","No","Si","No","No",NA
"148",26,"Mujer","Bioingeniería",6,15.5,"Tercio superior","Bueno","SI","NO","No","No","Si","Si","No","No",0,0,0.5,0,0.1,0.1,0,48,30,3,"NO",0,"Si","Si","No","No","Si","No",0.7
"149",18,"Mujer","Ciencia de la Computación",6,16.4,"Quinto superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,30,18,"SI",6.5,"Si","Si","No","No","No","No",NA
"150",19,"Hombre","Ingeniería Industrial",7,13.5,"Medio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,36,12,"NO",0,"Si","Si","No","No","No","No",NA
"152",18,"Hombre","Ciencia de la Computación",6,14.64,"Tercio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,33,6,"NO",0,"Si","Si","No","Si","No","No",NA
"153",19,"Mujer","Ingeniería Civil",5,13.65,"Tercio superior","Regular","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,48,30,"SI",8,"Si","No","No","No","No","No",NA
"154",19,"Mujer","Ingeniería Industrial",6,17.75,"Décimo superior","Excelente","SI","NO","No","No","No","Si","No","No",0,0,0,4.8,0,0,0,36,30,0,"SI",4,"No","Si","No","No","No","No",4.8
"155",19,"Mujer","Ingeniería Ambiental",5,14.86,"Medio superior","Regular","SI","SI","Si","No","No","No","No","Si",6,0,0,0,0,1.5,0,18,39,21,"NO",0,"Si","Si","No","No","Si","No",7.5
"156",18,"Mujer","Ingeniería Ambiental",7,15.5,"Tercio superior","Bueno","SI","SI","No","Si","No","No","No","No",30,6,1,1,1,1,0,30,42,12,"SI",1,"No","No","Si","No","No","No",40
"157",21,"Hombre","Ingeniería Civil",6,14,"Tercio superior","Regular","SI","NO","No","No","No","No","No","No",12,12,2,2,1,3,1,12,12,6,"SI",4,"No","Si","Si","No","No","No",32
"158",21,"Mujer","Bioingeniería",5,12.33,"Medio superior","Malo","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,48,24,"NO",0,"No","No","No","No","No","Si",NA
"159",19,"Mujer","Ingeniería Civil",5,14,"Tercio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,30,18,"NO",0,"No","Si","No","Si","No","No",NA
"160",19,"Hombre","Ciencia de la Computación",6,15.5,"Décimo superior","Excelente","SI","SI","No","No","No","Si","No","No",0,0,0,1,0,0,0,6,48,18,"NO",0,"No","Si","No","No","No","No",1
"161",22,"Hombre","Ciencia de la Computación",7,15.5,"Medio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,36,30,"SI",6,"No","No","No","No","Si","No",NA
"163",18,"Hombre","Ingeniería Industrial",7,12.5,"Décimo superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,24,18,"NO",0,"No","No","No","No","No","Si",NA
"164",21,"Hombre","Ingeniería de la Energía",3,15,"Décimo superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,24,24,"NO",2,"No","Si","No","Si","No","No",NA
"165",18,"Hombre","Ingeniería Mecánica",6,13,"Medio superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,36,24,"NO",0,"Si","No","Si","No","Si","No",NA
"166",21,"Mujer","Ingeniería Industrial",4,17.83,"Décimo superior","Bueno","SI","SI","No","No","Si","Si","No","No",18,6,1,1,0,0,0,12,36,6,"NO",0,"No","Si","No","No","No","No",26
"167",20,"Hombre","Ingeniería Ambiental",5,13.56,"Décimo superior","Regular","SI","SI","No","No","No","Si","No","No",0,0,2,2,1,0,1,24,30,6,"NO",0,"No","Si","No","Si","Si","No",5
"169",19,"Mujer","Ingeniería Civil",6,15,"Décimo superior","Regular","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,48,12,"NO",0,"Si","Si","No","Si","No","No",NA
"170",18,"Hombre","Ingeniería Mecánica",4,15.7,"Tercio superior","Excelente","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,36,30,"NO",0,"No","Si","Si","No","No","No",NA
"171",18,"Hombre","Ingeniería Ambiental",8,11,"Décimo superior","Bueno","SI","SI","No","Si","No","Si","No","No",6,6,2,2,3,2,2,24,24,6,"NO",0,"Si","No","No","Si","Si","No",21
"172",19,"Hombre","Ingeniería Civil",5,12.36,"Tercio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,12,"NO",3,"Si","Si","No","No","No","No",NA
"173",20,"Hombre","Administración y Negocios Digitales",5,14.5,"Medio superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,39,18,"SI",2.5,"No","Si","No","Si","Si","No",NA
"174",18,"Hombre","Ingeniería Industrial",6,14.25,"Tercio superior","Regular","SI","SI","No","No","Si","No","No","No",0,0,1,0,0,0,2,42,30,18,"NO",0,"No","Si","No","No","Si","No",1
"175",18,"Hombre","Administración y Negocios Digitales",6,13.5,"Medio superior","Malo","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,12,24,"SI",3.5,"Si","No","No","Si","Si","No",NA
"176",20,"Mujer","Ingeniería Civil",7,14,"Décimo superior","Bueno","SI","SI","No","Si","No","No","No","No",0,12,0,2,0,0,0,60,36,1.8,"NO",0,"No","No","No","No","Si","Si",14
"177",19,"Hombre","Ingeniería Civil",7,16.5,"Tercio superior","Excelente","SI","NO","No","Si","No","Si","No","No",0,6,0,0.5,0,0,0,33,36,0,"SI",2,"No","No","No","No","Si","No",6.5
"178",19,"Hombre","Ingeniería Mecánica",5,12.15,"Quinto superior","Excelente","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,36,24,"NO",0,"No","No","No","No","No","Si",NA
"179",20,"Mujer","Ingeniería Civil",6,11.9,"Medio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,18,"NO",0,"Si","Si","No","Si","No","No",NA
