"Game","ReleaseDate","Genre","TotalEarnings","OnlineEarnings","TotalPlayers","TotalTournaments"
"Pro Evolution Soccer 2014","2013",NA,29410.25,29410.25,4,1
"Pro Evolution Soccer 2015","2014",NA,26544.76,26544.76,3,1
"Pro Evolution Soccer 2016","2015",NA,27243.84,27243.84,17,6
"Pro Evolution Soccer 2017","2016",NA,514697.71,514697.71,39,16
"Pro Evolution Soccer 2018","2017",NA,250000,250000,20,3
"Pro Evolution Soccer 2019","2019",NA,216000,216000,25,2
"Pro Evolution Soccer 3","2003",NA,25000,25000,8,2
"Pro Evolution Soccer 4","2004",NA,40550.64,40550.64,11,2
"Pro Evolution Soccer 5","2005",NA,32000,32000,4,1
"Pro Evolution Soccer 6","2006",NA,20216.82,20216.82,5,2
"Rocket League","2015",NA,14782998.5,4119062.01,1663,1573
"Soccer Stars","2018",NA,0,0,0,0
"Zwift","2015",NA,33827.08,0,6,2
"Artifact Classic","2018",NA,119178.54,11635.81,276,167
"Artifact Foundry","2020",NA,852,0,21,8
"Faeria","2017",NA,4100,0,12,5
"Gwent","2016",NA,956277.17,755391.17,324,112
"Hand of the Gods","2017",NA,94434.2,72500,48,36
"Hearthstone","2014",NA,25394830.98,18482179.57,2529,937
"Hearthstone Battlegrounds","2019",NA,203630,0,40,4
"KARDS, The World War II Card Game","2019",NA,0,0,0,0
"Legends of Runeterra","2020",NA,118481.03,0,30,5
"Magic: The Gathering Arena","2018",NA,6012000,5354000,241,38
"Magic: The Gathering Online","2002",NA,1218000,1218000,130,10
"Mythgard","2019",NA,3000,0,9,3
"Pok<U+00E9>mon TCG","1996",NA,0,0,0,0
"Shadowverse","2016",NA,3211177.09,3080377.09,239,42
"Shardbound","2017",NA,0,0,0,0
"The Elder Scrolls: Legends","2017",NA,5000,5000,3,1
"Yu-Gi-Oh! Duel Links","2016",NA,48746.72,0,328,219
"Catherine","2011",NA,1545,1470,11,7
"Catherine: Full Body","2019",NA,185,185,3,1
"Cultris II","2011",NA,190.95,0,3,1
"Jstris","2014",NA,275,0,12,2
"Magical Drop III","1997",NA,130,130,3,1
"Pac-man","1981",NA,0,0,0,0
"Panel Attack","2020",NA,140,0,5,2
"Puyo Puyo Champions","2019",NA,2482.3,2071.8,14,5
"Puyo Puyo Tetris","2014",NA,3422.84,1617.75,31,16
"Tetr.io","2020",NA,2992.61,0,19,11
"Tetris","1989",NA,27006.02,15500,43,15
"Tetris Effect: Connected","2020",NA,117.52,0,3,1
"Tetris Ultimate","2014",NA,221,221,3,1
"Twinkle Star Sprites","1996",NA,150,0,4,2
"Wise Star 2","2008",NA,12000,12000,3,1
"Apex Legends","2019",NA,8085185.69,2014420.75,1427,364
"Ark: Survival Of The Fittest","2017",NA,0,0,0,0
"Fall Guys","2020",NA,284273.83,0,240,5
"Fortnite","2017",NA,107676945.7,42203537.61,4848,738
"Free Fire","2017",NA,3316392.23,2936242.23,403,16
"H1Z1","2016",NA,2067122,2067122,119,13
"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","2017",NA,15961180.02,13499811.67,1375,56
"PLAYERUNKNOWN’S BATTLEGROUNDS","2017",NA,33622921.92,27095368.4,3001,335
"Radical Heights","2018",NA,120000,0,12,2
"Ring of Elysium","2018",NA,70000,0,9,4
"Rocket Arena","2020",NA,1e+05,0,24,3
"Rules Of Survival","2017",NA,0,0,0,0
"Spellbreak","2020",NA,50000,0,42,1
"Gears 5","2019",NA,1783000,680000,160,22
"Gears of War","2006",NA,252195.57,252195.57,33,18
"Gears of War 2","2008",NA,135000,135000,0,5
"Gears of War 3","2011",NA,7255.81,4555.81,13,4
"Gears of War 4","2016",NA,3087285,3055000,135,41
"Gears of War: Ultimate Edition","2015",NA,170000,170000,39,3
"Knockout City","2021",NA,0,0,0,0
"Mobile Suit Gundam: Extreme Vs Maxi Boost ON","2016",NA,100,0,6,1
"Rogue Company","2020",NA,50000,0,48,2
"The Division 2","2019",NA,27250,0,40,2
