Game,Total Money Earned,Total Money Earned Percentage,Team
Rocket League,"$1,153,181.72",19.96%,NRG Esports
SMITE,"$684,000.00",11.84%,NRG Esports
Super Smash Bros,"$59,644.12",1.03%,NRG Esports
Teamfight Tactics,$0.00,0.00%,NRG Esports
Vainglory,$0.00,0.00%,NRG Esports
VALORANT,"$16,000.00",0.28%,NRG Esports
Apex Legends,"$15,000.00",0.26%,MVP
Arena of Valor,"$41,363.97",0.72%,MVP
CS:GO (MVP Academy),$0.00,0.00%,MVP
CS:GO (MVP PK),"$306,863.16",5.36%,MVP
CS:GO (MVP Project),"$74,806.96",1.31%,MVP
Dota 2 (MVP Aegis),"$7,337.22",0.13%,MVP
Dota 2 (MVP HOT6ix),"$153,302.72",2.68%,MVP
Dota 2 (MVP Phoenix),"$2,869,970.01",50.10%,MVP
Dota 2 (MVP Revolution),"$4,514.00",0.08%,MVP
Heroes of the Storm (MVP Black),"$953,953.93",16.65%,MVP
Heroes of the Storm (MVP Miracle),"$198,203.00",3.46%,MVP
Heroes of the Storm (MVP Sky),"$4,683.00",0.08%,MVP
League of Legends (MVP Blue),"$37,381.55",0.65%,MVP
League of Legends (MVP White/Ozone),"$137,104.79",2.39%,MVP
League of Legends (MVP),"$103,566.86",1.81%,MVP
Overwatch (MVP Infinity),"$3,803.24",0.07%,MVP
Overwatch (MVP Space),"$69,141.18",1.21%,MVP
PUBG,"$26,866.00",0.47%,MVP
StarCraft II,"$717,672.07",12.53%,MVP
Tekken,"$3,456.14",0.06%,MVP
Counter-Strike,"$684,670.88",12.10%,mousesports
Counter-Strike (mouz Ladies),"$8,000.00",0.14%,mousesports
CS: Source,"$26,014.29",0.46%,mousesports
CS:GO,"$3,126,509.90",55.24%,mousesports
CS:GO (NXT),$0.00,0.00%,mousesports
DotA,$616.68,0.01%,mousesports
Dota 2,"$250,648.85",4.43%,mousesports
FIFA,"$1,901.84",0.03%,mousesports
Fortnite,"$8,000.00",0.14%,mousesports
FPS Duel,"$98,294.69",1.74%,mousesports
League of Legends,"$343,410.94",6.07%,mousesports
Overwatch,$225.95,0.00%,mousesports
Paladins,$0.00,0.00%,mousesports
Pro Evo Soccer,$0.00,0.00%,mousesports
Rainbow Six,"$24,250.00",0.43%,mousesports
Rocket League,"$133,733.21",2.36%,mousesports
StarCraft / StarCraft 2,"$571,777.80",10.10%,mousesports
Street Fighter,"$97,470.85",1.72%,mousesports
TrackMania,"$6,418.07",0.11%,mousesports
Vainglory,"$3,500.00",0.06%,mousesports
WarCraft III,"$261,991.66",4.63%,mousesports
World of WarCraft,"$10,000.00",0.18%,mousesports
World of WarCraft (mouz.Cake),"$2,700.00",0.05%,mousesports
League of Legends (Samsung Blue),"$292,834.12",5.51%,Samsung
League of Legends (Samsung Galaxy),"$2,820,101.66",53.09%,Samsung
League of Legends (Samsung Ozone/White),"$1,139,112.96",21.45%,Samsung
Overwatch (Morning Stars),"$48,347.95",0.91%,Samsung
StarCraft II (Samsung Galaxy),"$445,432.31",8.39%,Samsung
StarCraft: Brood War (Samsung KHAN),"$565,848.80",10.65%,Samsung
Apex Legends,"$113,464.00",2.20%,Counter Logic Gaming
Call of Duty,"$9,250.00",0.18%,Counter Logic Gaming
CS:GO,"$445,563.50",8.63%,Counter Logic Gaming
CS:GO (Academy),"$4,996.42",0.10%,Counter Logic Gaming
CS:GO (CLG Red),"$220,726.22",4.28%,Counter Logic Gaming
Dota 2,"$16,292.84",0.32%,Counter Logic Gaming
Fortnite,"$1,860,985.00",36.06%,Counter Logic Gaming
H1Z1,"$108,000.00",2.09%,Counter Logic Gaming
Halo,"$1,199,350.00",23.24%,Counter Logic Gaming
Hearthstone,"$22,668.38",0.44%,Counter Logic Gaming
League of Legends (CLG Academy),"$21,000.00",0.41%,Counter Logic Gaming
League of Legends (CLG Black),"$29,328.08",0.57%,Counter Logic Gaming
League of Legends (CLG EU),"$262,612.50",5.09%,Counter Logic Gaming
League of Legends (CLG Prime),"$648,917.64",12.57%,Counter Logic Gaming
Overwatch,"$5,690.00",0.11%,Counter Logic Gaming
Rainbow Six,"$8,000.00",0.15%,Counter Logic Gaming
Rocket League,"$10,500.00",0.20%,Counter Logic Gaming
Smash Bros.,"$154,014.70",2.98%,Counter Logic Gaming
Smite,$0.00,0.00%,Counter Logic Gaming
VALORANT female,"$20,000.00",0.39%,Counter Logic Gaming
Apex Legends,"$11,300.00",0.22%,Lazarus
Arms,"$3,790.01",0.08%,Lazarus
Brawlhalla,"$52,826.90",1.05%,Lazarus
Call of Duty (CA),"$25,820.61",0.51%,Lazarus
Call of Duty (SetToDestroyX),$797.16,0.02%,Lazarus
Call of Duty (US),$0.00,0.00%,Lazarus
Critical Ops,$0.00,0.00%,Lazarus
Crossfire (SetToDestroyX),"$88,213.30",1.75%,Lazarus
CS:GO,"$24,002.58",0.48%,Lazarus
CS:GO (StdX .ca),"$26,528.06",0.53%,Lazarus
CS:GO Female,"$30,000.00",0.60%,Lazarus
DragonBall FighterZ,$166.50,0.00%,Lazarus
Fortnite (PC),"$3,690,125.00",73.26%,Lazarus
Fortnite (XBox),"$7,500.00",0.15%,Lazarus
Forza,"$87,450.00",1.74%,Lazarus
Gears of War (N arena),$0.00,0.00%,Lazarus
GT Sport,$200.00,0.00%,Lazarus
Guns Of Boom,"$105,550.00",2.10%,Lazarus
H1Z1,"$41,700.00",0.83%,Lazarus
HALO 5,$0.00,0.00%,Lazarus
Hand of the Gods,"$2,350.00",0.05%,Lazarus
Hearthstone,"$366,039.00",7.27%,Lazarus
IoN,$0.00,0.00%,Lazarus
Ironsight,$0.00,0.00%,Lazarus
Killer Instinct,$567.92,0.01%,Lazarus
League of Legends (Female),$0.00,0.00%,Lazarus
Madden,"$253,067.66",5.02%,Lazarus
Mortal Kombat,"$1,422.42",0.03%,Lazarus
NHL,"$40,550.00",0.81%,Lazarus
Overwatch,$0.00,0.00%,Lazarus
Paladins,$0.00,0.00%,Lazarus
Paladins (HRX),$0.00,0.00%,Lazarus
PLAYERUNKNOWN'S BATTLEGROUNDS,"$95,950.00",1.90%,Lazarus
Pokken,"$1,961.26",0.04%,Lazarus
Project Cars 2,$0.00,0.00%,Lazarus
Project Cars 2,$0.00,0.00%,Lazarus
Rainbow 6 Siege,"$9,242.86",0.18%,Lazarus
Rocket League,"$4,100.00",0.08%,Lazarus
RoS,$0.00,0.00%,Lazarus
SFV (2),$0.00,0.00%,Lazarus
Smash,"$4,737.05",0.09%,Lazarus
Splatoon 2,"$18,110.00",0.36%,Lazarus
Street Fighter V,"$2,132.02",0.04%,Lazarus
Trackmania,"$2,063.02",0.04%,Lazarus
Uncharted 4,"$38,210.80",0.76%,Lazarus
Uncharted 4 (Ontario Team),$382.11,0.01%,Lazarus
VALORANT,$300.00,0.01%,Lazarus
WoW,$0.00,0.00%,Lazarus
Apex Legends,$0.00,0.00%,Chaos Esports Club
CS:GO,"$277,650.00",5.62%,Chaos Esports Club
Dota 2,"$4,588,813.00",92.89%,Chaos Esports Club
Dota 2 (.SA),$0.00,0.00%,Chaos Esports Club
PUBG,$0.00,0.00%,Chaos Esports Club
Rainbow Six,"$56,843.06",1.15%,Chaos Esports Club
Rocket League,"$16,700.00",0.34%,Chaos Esports Club
Apex Legends,"$105,950.00",2.24%,compLexity Gaming
Artifact,"$6,346.14",0.13%,compLexity Gaming
Call of Duty (Console),"$766,075.67",16.21%,compLexity Gaming
Call of Duty (PC),"$7,000.00",0.15%,compLexity Gaming
Clash Royale,"$55,000.00",1.16%,compLexity Gaming
Counter-Strike,"$313,571.58",6.64%,compLexity Gaming
CS:GO,"$1,287,798.52",27.25%,compLexity Gaming
CS:Source (LA Complexity),"$61,000.00",1.29%,compLexity Gaming
Day of Defeat,"$6,900.00",0.15%,compLexity Gaming
Dota 2,"$904,666.99",19.15%,compLexity Gaming
FIFA,"$62,470.70",1.32%,compLexity Gaming
Fighting Games,"$5,732.90",0.12%,compLexity Gaming
Fortnite,"$157,900.00",3.34%,compLexity Gaming
Gwent,"$52,851.05",1.12%,compLexity Gaming
Hearthstone,"$377,339.46",7.99%,compLexity Gaming
Heroes of Newerth,"$129,648.10",2.74%,compLexity Gaming
Heroes of the Storm,"$28,100.00",0.59%,compLexity Gaming
League of Legends (coL Academy),$0.00,0.00%,compLexity Gaming
League of Legends (coL Black),"$14,750.00",0.31%,compLexity Gaming
League of Legends (coL Red),"$6,200.00",0.13%,compLexity Gaming
League of Legends (coL White),$0.00,0.00%,compLexity Gaming
League of Legends (coL),"$28,150.00",0.60%,compLexity Gaming
Overwatch,"$34,000.00",0.72%,compLexity Gaming
Quake,"$7,600.00",0.16%,compLexity Gaming
Rocket League,"$116,567.18",2.47%,compLexity Gaming
Shootmania,"$4,000.00",0.08%,compLexity Gaming
StarCraft II,"$123,940.64",2.62%,compLexity Gaming
Team Fortress 2,$0.00,0.00%,compLexity Gaming
Teamfight Tactics,"$9,075.00",0.19%,compLexity Gaming
VALORANT,"$4,000.00",0.08%,compLexity Gaming
World of WarCraft (coL Black),"$1,000.00",0.02%,compLexity Gaming
World of WarCraft (coL Red),"$47,450.00",1.00%,compLexity Gaming
CS:GO,"$4,500.00",0.10%,TnC Gaming
Dota 2 (TNC Predator),"$4,513,404.22",99.53%,TnC Gaming
Dota 2 (TNC Tigers),"$12,811.20",0.28%,TnC Gaming
League of Legends,"$3,834.90",0.08%,TnC Gaming
Apex Legends,"$88,270.00",1.96%,Gambit Esports
CS:GO,"$2,470,776.58",54.94%,Gambit Esports
CS:GO (GMB Youngsters),"$269,110.00",5.98%,Gambit Esports
Dota 2,"$747,779.84",16.63%,Gambit Esports
Dota 2 (Gambit-2),"$11,000.00",0.24%,Gambit Esports
Fortnite,"$295,684.31",6.58%,Gambit Esports
League of Legends,"$266,637.69",5.93%,Gambit Esports
League of Legends (Gambit.CIS),"$234,708.04",5.22%,Gambit Esports
League of Legends (GMB Academy),$0.00,0.00%,Gambit Esports
VALORANT,"$113,011.34",2.51%,Gambit Esports
Battlefield,"$23,479.46",0.56%,Team Dignitas
Bloodline Champions,$0.00,0.00%,Team Dignitas
Brink,$0.00,0.00%,Team Dignitas
Call of Duty,"$33,735.50",0.81%,Team Dignitas
Clash Royale,$0.00,0.00%,Team Dignitas
Command and Conquer,"$20,579.80",0.49%,Team Dignitas
Counter-Strike,$958.85,0.02%,Team Dignitas
Counter-Strike: Source,"$4,421.36",0.11%,Team Dignitas
CS:GO,"$966,119.77",23.10%,Team Dignitas
CS:GO female,"$145,354.61",3.48%,Team Dignitas
Dota 2,"$53,105.89",1.27%,Team Dignitas
Enemy Territory: Quake Wars,"$27,828.30",0.67%,Team Dignitas
FIFA,"$1,250.00",0.03%,Team Dignitas
Halo,"$9,114.16",0.22%,Team Dignitas
Hearthstone,"$81,520.49",1.95%,Team Dignitas
Heroes of the Storm,"$1,178,555.54",28.18%,Team Dignitas
League of Legends,"$186,738.26",4.46%,Team Dignitas
League of Legends (Dignitas B / Academy),"$6,500.00",0.16%,Team Dignitas
League of Legends (Dignitas EU),"$52,121.95",1.25%,Team Dignitas
League of Legends (Dignitas OCE),"$4,642.00",0.11%,Team Dignitas
League of Legends (Dignitas UK),"$7,559.99",0.18%,Team Dignitas
League of Legends (Mirage),"$3,000.00",0.07%,Team Dignitas
Overwatch,"$13,305.59",0.32%,Team Dignitas
PUBG,"$55,960.00",1.34%,Team Dignitas
Quake,$650.00,0.02%,Team Dignitas
Rocket League,"$655,766.86",15.68%,Team Dignitas
SMITE,"$243,048.00",5.81%,Team Dignitas
StarCraft II,"$192,653.77",4.61%,Team Dignitas
Super Smash Bros,"$6,050.27",0.14%,Team Dignitas
Team Fortress 2,"$14,751.73",0.35%,Team Dignitas
Trackmania,"$51,821.81",1.24%,Team Dignitas
VALORANT,"$8,000.00",0.19%,Team Dignitas
VALORANT (Female),"$17,500.00",0.42%,Team Dignitas
Wolfenstein: Enemy Territory,"$4,168.22",0.10%,Team Dignitas
World in Conflict,"$60,000.00",1.43%,Team Dignitas
World of Tanks,"$39,000.00",0.93%,Team Dignitas
World of Warcraft,"$13,500.00",0.32%,Team Dignitas
CS:GO,"$56,228.80",1.36%,EHOME
Defense of the Ancients,"$65,735.82",1.59%,EHOME
Dota 2,"$3,929,204.84",95.12%,EHOME
Dota 2 (EHOME.Immortal),"$6,721.30",0.16%,EHOME
Dota 2 (EHOME.Keen),"$18,813.94",0.46%,EHOME
Dota 2 (EHOME.King),$0.00,0.00%,EHOME
Dota 2 (EHOME.Legend),$0.00,0.00%,EHOME
Dota 2 (EHOME.Malaysia),"$4,000.00",0.10%,EHOME
League of Legends,"$37,178.80",0.90%,EHOME
Overwatch (EHOME.CN),$0.00,0.00%,EHOME
Overwatch (EHOME.KR),$0.00,0.00%,EHOME
PUBG,$792.00,0.02%,EHOME
WarCraft 3,"$12,059.25",0.29%,EHOME
Arena of Valor,"$10,000.00",0.24%,Vitality
Call of Duty,"$93,064.66",2.27%,Vitality
Call of Duty (Vitality.Rises),$0.00,0.00%,Vitality
CS:GO,"$1,754,454.50",42.74%,Vitality
FIFA,"$252,250.00",6.15%,Vitality
Fighting Games,"$33,242.15",0.81%,Vitality
Fortnite,"$253,054.10",6.16%,Vitality
Gears of War,"$6,000.00",0.15%,Vitality
H1Z1,"$17,000.00",0.41%,Vitality
Halo,"$6,478.78",0.16%,Vitality
Hearthstone,"$83,143.33",2.03%,Vitality
League of Legends,"$231,422.03",5.64%,Vitality
League of Legends (VIT Academy / Bee),"$69,529.57",1.69%,Vitality
Overwatch,$0.00,0.00%,Vitality
PUBG,"$38,000.00",0.93%,Vitality
Racing,"$65,000.00",1.58%,Vitality
Rainbow Six,"$208,717.02",5.08%,Vitality
Rocket League,"$975,822.57",23.77%,Vitality
Teamfight Tactics,$900.00,0.02%,Vitality
VALORANT,"$6,612.32",0.16%,Vitality
Apex Legends,"$219,484.00",5.54%,Sentinels
Fortnite,"$3,204,591.68",80.91%,Sentinels
Hearthstone,"$29,900.00",0.75%,Sentinels
Legends of Runeterra,$0.00,0.00%,Sentinels
VALORANT,"$506,500.00",12.79%,Sentinels
Apex,"$1,500.00",0.04%,100 Thieves
Call of Duty,"$666,875.00",17.59%,100 Thieves
Call of Duty: Warzone,"$290,229.96",7.66%,100 Thieves
CS:GO,"$190,500.00",5.03%,100 Thieves
Fortnite,"$2,231,563.68",58.87%,100 Thieves
League of Legends,"$240,125.00",6.34%,100 Thieves
League of Legends (100T Academy),"$32,350.00",0.85%,100 Thieves
Streamers,"$19,725.00",0.52%,100 Thieves
VALORANT,"$117,500.00",3.10%,100 Thieves
Apex Legends,"$34,260.00",0.91%,Luminosity Gaming
Battle Royal (H1Z1 / PUBG),"$157,000.00",4.17%,Luminosity Gaming
Call of Duty,"$1,199,875.00",31.84%,Luminosity Gaming
Call of Duty (Female),$0.00,0.00%,Luminosity Gaming
Call of Duty: Warzone,"$92,851.87",2.46%,Luminosity Gaming
CS:GO,"$1,472,759.47",39.08%,Luminosity Gaming
Fortnite,"$180,283.35",4.78%,Luminosity Gaming
Halo,"$80,500.00",2.14%,Luminosity Gaming
Hearthstone,"$129,200.35",3.43%,Luminosity Gaming
Heroes of the Storm,"$1,300.00",0.03%,Luminosity Gaming
Madden NFL,"$140,000.00",3.72%,Luminosity Gaming
Overwatch,"$29,963.18",0.80%,Luminosity Gaming
Overwatch (Evil),"$10,250.00",0.27%,Luminosity Gaming
Overwatch (Loyal),"$3,000.00",0.08%,Luminosity Gaming
Rainbow Six,"$48,000.00",1.27%,Luminosity Gaming
Smite,"$112,500.00",2.99%,Luminosity Gaming
Streamers,"$2,000.00",0.05%,Luminosity Gaming
Super Smash Bros,"$15,712.92",0.42%,Luminosity Gaming
VALORANT,"$51,000.00",1.35%,Luminosity Gaming
World of WarCraft,"$8,000.00",0.21%,Luminosity Gaming
Dota 2,"$3,633,019.01",97.29%,CDEC Gaming
Dota 2 (CDEC Avenger),"$22,042.38",0.59%,CDEC Gaming
Dota 2 (CDEC Youth),"$79,201.48",2.12%,CDEC Gaming
Arena of Valor,"$2,864,390.30",80.66%,eStar Gaming
Crossfire,"$21,141.53",0.60%,eStar Gaming
Hearthstone,$0.00,0.00%,eStar Gaming
Heroes of the Storm,"$638,445.71",17.98%,eStar Gaming
Overwatch,"$14,198.61",0.40%,eStar Gaming
PUBG,"$13,047.80",0.37%,eStar Gaming
Arena of Valor,"$345,192.47",9.90%,EDward Gaming
Clash Royale,"$43,165.20",1.24%,EDward Gaming
Crossfire,"$21,141.53",0.61%,EDward Gaming
CS:GO,"$12,516.50",0.36%,EDward Gaming
FIFA Online,"$7,000.00",0.20%,EDward Gaming
Hearthstone,"$20,445.27",0.59%,EDward Gaming
Heroes of the Storm,"$273,241.96",7.83%,EDward Gaming
League of Legends (AD Gaming),"$29,207.34",0.84%,EDward Gaming
League of Legends (EDG Youth Team),"$36,549.60",1.05%,EDward Gaming
League of Legends (EDward Esports),"$46,379.70",1.33%,EDward Gaming
League of Legends (EDward Gaming),"$2,631,010.06",75.44%,EDward Gaming
PUBG,"$21,908.92",0.63%,EDward Gaming
Apex Legends,"$8,400.00",0.25%,eUnited
Battlerite,$0.00,0.00%,eUnited
Call of Duty,"$2,115,468.72",62.37%,eUnited
Counter-Strike: Global Offensive,"$250,275.00",7.38%,eUnited
Fortnite,"$5,000.00",0.15%,eUnited
Gear of War,"$145,625.00",4.29%,eUnited
League of Legends,"$14,000.00",0.41%,eUnited
Overwatch,"$45,750.00",1.35%,eUnited
PUBG,"$37,690.00",1.11%,eUnited
Rocket League,"$91,653.61",2.70%,eUnited
Siege,"$16,000.00",0.47%,eUnited
Smash,"$42,726.36",1.26%,eUnited
SMITE,"$619,000.00",18.25%,eUnited
VALORANT,$0.00,0.00%,eUnited
Call of Duty,$0.00,0.00%,Team Empire
CS:GO,"$17,873.97",0.53%,Team Empire
Dota 2,"$2,086,557.30",61.95%,Team Empire
Dota 2 (Empire Hope),"$21,750.00",0.65%,Team Empire
FIFA,$0.00,0.00%,Team Empire
FPS Duel,$0.00,0.00%,Team Empire
Hearthstone,"$4,732.25",0.14%,Team Empire
Heroes of Newerth,$0.00,0.00%,Team Empire
League of Legends,"$17,336.53",0.51%,Team Empire
PUBG,"$6,200.00",0.18%,Team Empire
Rainbow Six,"$1,057,938.98",31.41%,Team Empire
StarCraft II,"$155,786.05",4.63%,Team Empire
WarCraft III,$128.21,0.00%,Team Empire
Apex Legends,"$9,570.00",0.29%,Cooler Esport
Fortnite,"$3,316,514.26",99.71%,Cooler Esport
Rocket League,$0.00,0.00%,Cooler Esport
Call of Duty,"$1,079,175.00",32.64%,Splyce
CS:GO,"$116,657.30",3.53%,Splyce
Fighting Games,"$6,500.00",0.20%,Splyce
Gears of War,"$43,000.00",1.30%,Splyce
Halo,"$846,500.00",25.60%,Splyce
Hearthstone,"$7,675.00",0.23%,Splyce
League of Legends,"$302,414.30",9.15%,Splyce
League of Legends (Splyce Vipers),"$9,019.20",0.27%,Splyce
Overwatch,"$8,301.00",0.25%,Splyce
Rocket League,"$38,431.25",1.16%,Splyce
StarCraft 2,"$672,400.74",20.34%,Splyce
Super Smash Bros.,"$16,768.72",0.51%,Splyce
World of WarCraft,"$159,500.00",4.82%,Splyce
Call of Duty (AF),"$3,102,500.00",99.03%,Atlanta Faze
Call of Duty (AF Academy),"$30,500.00",0.97%,Atlanta Faze
Overwatch,"$3,115,000.00",100.00%,San Francisco Shock
Arena of Valor (Nova Asia),"$118,317.81",3.97%,Nova eSports
Arena of Valor (Nova EU),"$40,000.00",1.34%,Nova eSports
Arena of Valor (Nova LatAm),"$20,000.00",0.67%,Nova eSports
Brawl Stars (Nova Gold),$750.00,0.03%,Nova eSports
Brawl Stars (Nova Purple),$750.00,0.03%,Nova eSports
Brawl Stars (Nova White),"$3,000.00",0.10%,Nova eSports
Clash of Clans,"$305,000.00",10.24%,Nova eSports
Clash Royale,"$366,822.62",12.32%,Nova eSports
FIFA ONLINE,$0.00,0.00%,Nova eSports
League of Legends,"$4,500.00",0.15%,Nova eSports
Overwatch,"$50,278.00",1.69%,Nova eSports
PUBG,"$45,176.00",1.52%,Nova eSports
PUBG Mobile,"$2,022,959.35",67.94%,Nova eSports
League of Legends (KT Academy),"$1,800.00",0.06%,KT Rolster
League of Legends (KT Arrows),"$125,891.79",4.29%,KT Rolster
League of Legends (KT Bullets),"$184,187.07",6.28%,KT Rolster
League of Legends (KT Rolster),"$841,421.81",28.68%,KT Rolster
Special Force,"$44,190.00",1.51%,KT Rolster
StarCraft 2,"$869,432.12",29.64%,KT Rolster
StarCraft: Brood War,"$866,457.76",29.54%,KT Rolster
League of Legends (JAG Falcons),"$29,186.40",1.05%,Jin Air Green Wings
League of Legends (JAG Stealths),"$32,472.10",1.17%,Jin Air Green Wings
League of Legends (JAG),"$156,895.38",5.67%,Jin Air Green Wings
StarCraft 2,"$2,550,260.20",92.11%,Jin Air Green Wings
Arena of Valor,"$97,907.85",3.80%,World Elite
Crossfire,"$28,188.71",1.10%,World Elite
DotA,"$6,586.34",0.26%,World Elite
Fortnite,"$101,500.00",3.94%,World Elite
Hearthstone,"$97,445.00",3.79%,World Elite
Heroes of Newerth,"$10,681.22",0.42%,World Elite
League of Legends (ME / WE.Future),"$42,988.31",1.67%,World Elite
League of Legends (WE Academy),"$112,483.06",4.37%,World Elite
League of Legends (WE),"$1,622,102.05",63.03%,World Elite
League of Legends (WE.i-Rocks),"$6,000.00",0.23%,World Elite
Overwatch (Team WE),$0.00,0.00%,World Elite
Overwatch (WE.Red),$749.50,0.03%,World Elite
Overwatch (WE.White),"$27,482.28",1.07%,World Elite
Rainbow Six,$473.15,0.02%,World Elite
StarCraft 2,"$33,964.24",1.32%,World Elite
WarCraft 3,"$384,881.65",14.96%,World Elite
CS:GO,"$1,204,659.22",48.55%,ENCE eSports
Hearthstone,"$8,045.50",0.32%,ENCE eSports
League of Legends,"$1,147.60",0.05%,ENCE eSports
Overwatch,"$15,253.80",0.61%,ENCE eSports
PUBG,"$217,049.56",8.75%,ENCE eSports
Rainbow Six,"$128,466.79",5.18%,ENCE eSports
StarCraft 2,"$906,413.92",36.53%,ENCE eSports
Apex Legends,"$1,000.00",0.04%,Ghost Gaming
Call of Duty,"$80,500.00",3.25%,Ghost Gaming
CS:GO,"$163,829.00",6.62%,Ghost Gaming
CS:GO (Ghost Academy),"$5,000.00",0.20%,Ghost Gaming
Fighting Games,"$9,905.98",0.40%,Ghost Gaming
Fortnite,"$1,216,323.61",49.12%,Ghost Gaming
Gears of War,"$410,000.00",16.56%,Ghost Gaming
Overwatch,"$20,000.00",0.81%,Ghost Gaming
PUBG,"$263,910.00",10.66%,Ghost Gaming
Rocket League,"$204,261.11",8.25%,Ghost Gaming
Smite,"$100,000.00",4.04%,Ghost Gaming
VALORANT,"$1,250.00",0.05%,Ghost Gaming
Apex Legends,"$40,784.00",1.66%,Spacestation Gaming
Battlerite,"$10,000.00",0.41%,Spacestation Gaming
Brawl Stars,"$25,000.00",1.02%,Spacestation Gaming
Brawlhalla,"$28,965.00",1.18%,Spacestation Gaming
Clash of Clans,"$18,301.00",0.75%,Spacestation Gaming
Clash Royale,"$30,000.00",1.22%,Spacestation Gaming
CS:GO,"$9,750.00",0.40%,Spacestation Gaming
Fortnite,$0.00,0.00%,Spacestation Gaming
Gears of War 4,"$53,000.00",2.16%,Spacestation Gaming
Heartstone,"$33,900.00",1.38%,Spacestation Gaming
Heroes of the Storm,$0.00,0.00%,Spacestation Gaming
Paladins,"$77,000.00",3.14%,Spacestation Gaming
PLAYERUKNOWN'S BATTLEGROUNDS,"$32,985.00",1.34%,Spacestation Gaming
PUBG Mobile,"$45,180.00",1.84%,Spacestation Gaming
Rainbow Six Siege,"$1,493,500.00",60.83%,Spacestation Gaming
Rocket League,"$505,811.86",20.60%,Spacestation Gaming
Shadowverse,$0.00,0.00%,Spacestation Gaming
SMITE,"$27,500.00",1.12%,Spacestation Gaming
Super Smash Bros. Ultimate,"$23,534.06",0.96%,Spacestation Gaming
Trackmania,$30.06,0.00%,Spacestation Gaming
VALORANT,$0.00,0.00%,Spacestation Gaming
Arena of Valor,"$233,712.85",9.58%,Flash Wolves
Hearthstone,"$427,881.20",17.54%,Flash Wolves
League of Legends,"$1,302,176.88",53.37%,Flash Wolves
LoL: Wild Rift,"$8,500.00",0.35%,Flash Wolves
Overwatch,"$157,081.66",6.44%,Flash Wolves
PUBG,"$29,571.51",1.21%,Flash Wolves
Special Force II,$0.00,0.00%,Flash Wolves
StarCraft II,"$281,169.44",11.52%,Flash Wolves
World of Warcraft,$0.00,0.00%,Flash Wolves
CS:GO,"$8,157.42",0.34%,Mineski
DotA,"$10,819.18",0.44%,Mineski
Dota 2,"$2,234,647.17",91.78%,Mineski
FIFA,"$100,000.00",4.11%,Mineski
League of Legends,"$80,627.22",3.31%,Mineski
Overwatch,$0.00,0.00%,Mineski
StarCraft 2,$500.00,0.02%,Mineski
Arena of Valor,"$2,424,828.63",100.00%,Turnso Gaming
Call of Duty,"$2,419,250.00",100.00%,Dallas Empire
Dota 2 (Elephant.4AM),"$22,450.50",0.93%,Four Angry Men
PUBG,"$1,169,708.23",48.38%,Four Angry Men
PUBG Mobile,"$1,225,461.60",50.69%,Four Angry Men
Age of Empires 2,"$87,020.00",3.60%,Tempo Storm
Apex Legends,"$20,000.00",0.83%,Tempo Storm
CS:GO,"$157,310.00",6.51%,Tempo Storm
CS:GO (Sweden),"$3,324.60",0.14%,Tempo Storm
FIFA,$0.00,0.00%,Tempo Storm
Fighting Games,"$25,546.00",1.06%,Tempo Storm
Fortnite,"$110,000.00",4.55%,Tempo Storm
Hearthstone / Artifact,"$322,458.14",13.34%,Tempo Storm
Heroes of the Storm,"$505,121.00",20.90%,Tempo Storm
League of Legends,"$8,000.00",0.33%,Tempo Storm
Overwatch,$0.00,0.00%,Tempo Storm
Overwatch (Australia),"$2,559.37",0.11%,Tempo Storm
Overwatch (North America),"$1,225.00",0.05%,Tempo Storm
PUBG,"$550,625.00",22.78%,Tempo Storm
PUBG Mobile,"$178,647.00",7.39%,Tempo Storm
Shadowverse,"$201,000.00",8.31%,Tempo Storm
Siege,"$21,000.00",0.87%,Tempo Storm
Super Smash Bros.,"$122,681.17",5.08%,Tempo Storm
Teamfight Tactics,$825.00,0.03%,Tempo Storm
Vainglory,"$3,800.00",0.16%,Tempo Storm
World of Warcraft,"$96,200.00",3.98%,Tempo Storm
Counter-Strike,"$249,370.91",11.23%,MIBR
CS:GO,"$1,543,987.64",69.56%,MIBR
CS:GO female,"$11,412.51",0.51%,MIBR
Rainbow Six,"$415,000.00",18.70%,MIBR
Apex Legends,"$177,787.00",8.15%,Rogue
Call of Duty,"$17,500.00",0.80%,Rogue
Counter-Strike: Global Offensive,"$181,924.65",8.33%,Rogue
Counter-Strike: Global Offensive (Academy),"$2,384.10",0.11%,Rogue
FIFA,"$542,500.00",24.85%,Rogue
Fortnite,"$7,525.00",0.34%,Rogue
League of Legends,"$164,492.00",7.54%,Rogue
League of Legends (Rogue EC),"$31,466.23",1.44%,Rogue
Overwatch,"$233,873.47",10.71%,Rogue
PUBG,"$5,000.00",0.23%,Rogue
Rainbow Six,"$414,761.27",19.00%,Rogue
Rocket League,"$389,810.11",17.86%,Rogue
Super Smash Bros.,"$12,228.38",0.56%,Rogue
Vainglory,"$1,500.00",0.07%,Rogue
Heroes of the Storm,"$50,100.00",2.47%,COGnitive Gaming
League of Legends,"$11,000.00",0.54%,COGnitive Gaming
Smite,"$1,407,623.59",69.47%,COGnitive Gaming
Smite (COG Red),"$441,839.00",21.81%,COGnitive Gaming
Smite (Xbox),"$47,500.00",2.34%,COGnitive Gaming
Super Smash Bros.,"$68,061.92",3.36%,COGnitive Gaming
