"Marca temporal","Edad (años) ","Ingreso mensual (en soles) OPCIONAL","Sexo","Grado de instrucción","¿Cree usted que hay más ventajas de ser hombre, o más ventajas de ser mujer, o no hay diferencia?","¿Piensa usted que las mujeres jóvenes en Perú viven mejor, igual o peor que la generación de sus padres? 1. Mejor 2. Igual 3. Peor","Un hombre que se queda en casa para cuidar a los niños es menos hombre","Me sentiría incómodo si mi jefe fuera mujer","Las mujeres no lograrán la igualdad en Perú a menos que los hombres también tomen acciones para apoyar los derechos de la mujer","Cuidado de los niños y del hogar","“En los negocios“","En el deporte","En los medios de comunicación, incluso la televisión","En las ciencias","En la educación"
"2022/10/30 9:26:11 p. m. GMT-5","25","1000","Masculino","Superior universitaria incompleta","Más ventajas siendo mujer","Igual","Ni de acuerdo ni en desacuerdo","Desacuerdo","Desacuerdo","Poco","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/30 9:26:41 p. m. GMT-5","23","1200","Masculino","Superior técnico completo","No hay diferencia","Igual","Ni de acuerdo ni en desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Poco","Poco","Lo necesario","Lo necesario","Lo necesario"
"2022/10/30 9:29:29 p. m. GMT-5","23","1401.361","Femenino","Superior técnico incompleta","Más ventajas siendo mujer","Mejor","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Desacuerdo","Lo necesario","Demasiado","Lo necesario","Poco","Poco","Poco"
"2022/10/30 9:30:08 p. m. GMT-5","22","1300","Masculino","Superior universitaria completa","Más ventajas siendo mujer","Igual","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Poco","Lo necesario","Poco","Lo necesario","Lo necesario","Lo necesario"
"2022/10/30 9:32:39 p. m. GMT-5","21","1000","Masculino","Superior universitaria completa","Más ventajas siendo mujer","Igual","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Desacuerdo","Poco","Lo necesario","Poco","Lo necesario","Poco","Poco"
"2022/10/30 9:33:18 p. m. GMT-5","18","1200","Masculino","Superior universitaria incompleta","Más ventajas siendo mujer","Igual","Desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Poco","Poco","Poco","No se apoya","No se apoya","Lo necesario"
"2022/10/30 9:41:33 p. m. GMT-5","19","1401.361","Femenino","Superior universitaria incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Demasiado","Poco","Lo necesario","Lo necesario","Lo necesario"
"2022/10/31 7:54:13 a. m. GMT-5","35","1401.361","Masculino","Superior universitaria completa","Más ventajas siendo mujer","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Demasiado","Lo necesario","Lo necesario","Demasiado","Poco","Demasiado"
"2022/10/31 7:55:23 a. m. GMT-5","51","1401.361","Masculino","Superior técnico completo","Más ventajas siendo hombre","Mejor","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Demasiado","Poco","Poco","Demasiado","Lo necesario","Lo necesario"
"2022/10/31 7:57:22 a. m. GMT-5","26","3500","Femenino","Superior universitaria completa","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Demasiado","Demasiado","Lo necesario","Demasiado","Lo necesario","Lo necesario"
"2022/10/31 7:59:11 a. m. GMT-5","20","1401.361","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","Ni de acuerdo ni en desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Demasiado","Demasiado","Lo necesario","Demasiado","Demasiado","Demasiado"
"2022/10/31 8:00:43 a. m. GMT-5","23","1401.361","Masculino","Superior técnico incompleta","Más ventajas siendo mujer","Igual","Desacuerdo","Desacuerdo","De acuerdo","Lo necesario","Lo necesario","Lo necesario","Demasiado","Lo necesario","Lo necesario"
"2022/11/02 7:23:52 a. m. GMT-5","21","1401.361","Masculino","Superior universitaria incompleta","No hay diferencia","Igual","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Demasiado","Lo necesario","Poco","Demasiado","Lo necesario","Lo necesario"
"2022/11/02 8:16:11 a. m. GMT-5","19","400","Femenino","Secundaria completa","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","Poco","Poco","Poco","Poco"
"2022/11/02 5:32:08 p. m. GMT-5","43","1401.361","Femenino","Superior universitaria completa","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","No se apoya","Poco","Poco","No se apoya","Poco"
"2022/11/02 5:32:20 p. m. GMT-5","56","1401.361","Femenino","Superior universitaria completa","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Lo necesario","Poco","Poco","Lo necesario","Lo necesario"
"2022/11/02 5:36:23 p. m. GMT-5","42","2300","Femenino","Superior universitaria completa","No hay diferencia","Igual","Desacuerdo","Desacuerdo","Desacuerdo","Lo necesario","Poco","Lo necesario","Demasiado","Poco","Poco"
"2022/11/02 5:38:16 p. m. GMT-5","50","1500","Masculino","Superior universitaria completa","No hay diferencia","Igual","Desacuerdo","Desacuerdo","Desacuerdo","Demasiado","Lo necesario","Lo necesario","No se apoya","Lo necesario","Demasiado"
"2022/11/02 5:56:55 p. m. GMT-5","39","2500","Masculino","Superior universitaria completa","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","De acuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/11/02 8:07:07 p. m. GMT-5","48","2000","Femenino","Superior universitaria completa","Más ventajas siendo hombre","Mejor","De acuerdo","Desacuerdo","De acuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/11/02 8:54:06 p. m. GMT-5","30","1500","Femenino","Superior universitaria completa","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Poco","Poco","Poco","Poco","Lo necesario"
"2022/11/03 6:59:26 a. m. GMT-5","58","658","Femenino","Superior universitaria completa","No hay diferencia","Igual","De acuerdo","De acuerdo","Desacuerdo","Lo necesario","Lo necesario","Poco","No se apoya","Poco","Demasiado"
"2022/11/03 7:18:51 a. m. GMT-5","50","2700","Femenino","Superior universitaria completa","No hay diferencia","Peor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Poco","Poco","Poco","Poco","Poco"
"2022/11/03 7:43:48 a. m. GMT-5","39","1401.361","Femenino","Superior universitaria completa","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Poco","Poco","Poco","Poco","Poco"
"2022/11/04 11:50:18 a. m. GMT-5","23","1100","Masculino","Superior universitaria incompleta","Más ventajas siendo hombre","Igual","De acuerdo","Desacuerdo","Desacuerdo","Poco","Demasiado","Demasiado","Poco","Poco","Demasiado"
"2022/11/04 12:52:51 p. m. GMT-5","22","920","Masculino","Superior técnico incompleta","Más ventajas siendo hombre","Igual","Desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Poco","Demasiado","Poco","Lo necesario","No se apoya","Poco"
"2022/11/04 12:53:33 p. m. GMT-5","21","930","Femenino","Superior universitaria incompleta","Más ventajas siendo mujer","Igual","De acuerdo","Ni de acuerdo ni en desacuerdo","Desacuerdo","Lo necesario","Lo necesario","Poco","Poco","Poco","Lo necesario"
"2022/11/04 12:54:26 p. m. GMT-5","27","1300","Femenino","Superior técnico completo","Más ventajas siendo hombre","Mejor","De acuerdo","Ni de acuerdo ni en desacuerdo","Desacuerdo","Poco","Poco","Lo necesario","Poco","Lo necesario","Lo necesario"
"2022/11/09 7:44:16 a. m. GMT-5","39","1401.361","Masculino","Superior universitaria completa","No hay diferencia","Igual","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Demasiado","Poco","Poco","Demasiado","Poco","Poco"
"2022/11/09 7:45:39 a. m. GMT-5","18","1401.361","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Demasiado","Lo necesario","Lo necesario","Demasiado","Lo necesario","Lo necesario"
"2022/11/09 7:48:22 a. m. GMT-5","56","1401.361","Masculino","Superior técnico completo","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Demasiado","Poco","Poco"
"2022/11/09 7:50:18 a. m. GMT-5","24","1401.361","Masculino","Superior universitaria completa","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Lo necesario","Lo necesario","Demasiado","Lo necesario","Lo necesario"
"2022/11/09 7:52:11 a. m. GMT-5","20","1401.361","Masculino","Superior técnico completo","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Demasiado","Demasiado","Poco","Demasiado","Poco","Lo necesario"
"2022/11/09 7:53:26 a. m. GMT-5","47","5000","Femenino","Superior técnico completo","No hay diferencia","Mejor","Desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Demasiado","Lo necesario","Lo necesario","Demasiado","Lo necesario","Lo necesario"
"2022/11/09 7:59:06 a. m. GMT-5","28","2500","Femenino","Superior universitaria incompleta","No hay diferencia","Igual","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Demasiado","Poco","Poco","Demasiado","Poco","Poco"
"2022/11/09 8:02:30 a. m. GMT-5","19","1401.361","Femenino","Superior universitaria incompleta","No hay diferencia","Igual","Desacuerdo","Desacuerdo","Desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/11/09 8:31:47 a. m. GMT-5","37","400","Masculino","Superior universitaria completa","No hay diferencia","Peor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Lo necesario","Lo necesario","Demasiado","Demasiado","Demasiado"
"2022/11/09 8:33:27 a. m. GMT-5","27","3000","Femenino","Superior técnico completo","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Lo necesario","Lo necesario","Demasiado","Lo necesario","Lo necesario"
"2022/11/09 8:41:08 a. m. GMT-5","36","3500","Masculino","Superior universitaria completa","No hay diferencia","Peor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Poco","Poco","Demasiado","Poco","Poco"
"2022/11/09 8:44:41 a. m. GMT-5","20","1401.361","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Demasiado","Poco","Demasiado","Lo necesario","Lo necesario"
"2022/11/09 8:45:25 a. m. GMT-5","20","1401.361","Masculino","Superior universitaria incompleta","Más ventajas siendo hombre","Peor","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/11/09 8:46:42 a. m. GMT-5","42","4500","Masculino","Superior universitaria completa","No hay diferencia","Peor","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Poco","Poco","Lo necesario","Poco","Poco"
"2022/11/09 8:47:40 a. m. GMT-5","23","1401.361","Masculino","Superior universitaria incompleta","Más ventajas siendo hombre","Igual","Desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/11/09 8:48:26 a. m. GMT-5","34","2500","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","No se apoya","Demasiado","Poco","Poco"
"2022/11/09 8:49:22 a. m. GMT-5","19","1401.361","Femenino","Superior técnico incompleta","No hay diferencia","Peor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Demasiado","Poco","No se apoya","Poco","Lo necesario","Lo necesario"
