Género,¿Cuántos años tienes?,¿Cuál es tu nivel socioeconómico?,¿Cuántos productos en cosméticos compras al mes?,¿Cuántos productos de cuidado personal compras al mes?,Gasto promedio mensual en productos de cuidado personal,Gasto promedio mensual en productos cosméticos,"Entre las marcas de cuidado personal mencionadas a continuación, ¿cuál usas más?","Entre las marcas de cosmética mencionadas a continuación, ¿cuál usas más?",¿En qué provincia te encuentras? ,¿En que distrito resides?,¿En que distrito resides?,¿En que distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿La calidad influye en tu elección de compra de productos de higiene personal y cosméticos?,¿La popularidad influye en tu elección de compra de productos de higiene personal y cosméticos?,¿La recomendación influye en tu elección de compra de productos de higiene personal y cosméticos?,¿La cantidad del producto influye en tu elección de compra de productos de higiene personal y cosméticos?,¿El precio influye en tu elección de compra de productos de higiene personal y cosméticos?,¿ Qué sea cruelty free  influye en tu elección de compra de productos de higiene personal y cosméticos?,¿Cuanto te cuidas del 1 al 10? ( siendo 1 nada y 10 bastante),"Al mes, ¿cuántas veces has visto alguna publicidad sobre el maltrato animal que implique a una marca de  productos de cuidado personal o cosméticos?","En base a la pregunta anterior, a partir de la publicidad contra el maltrato animal, ¿dejaste de comprar productos que testean en animales o continuaste usándolos?","Si en la pregunta anterior mascaste que Sí,  ¿cuántos productos, aproximadamente, que aún testean en animales dejaste de comprar (mensualmente)?",¿ Cuantas marcas cruelty free que aparecen en la imagen conoces?        ,¿ Cuantas marcas que aún hacen pruebas con animales que aparecen en la imagen conoces?         
Femenino,19,E - Ingreso mensual promedio de S/. 1 977,2,3,10,30,Dove,AVON,Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,Sí,Sí,Sí,Sí,Sí,8,6,"Sí, deje de comprar productos que aún testean en animales",3,6,2
Masculino,22,E - Ingreso mensual promedio de S/. 1 977,1,4,30,14,Dove,Uso otras marcas,Lima,Santiago de Surco,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,8,8,"Sí, deje de comprar productos que aún testean en animales",1,1,5
Masculino,18,C - Ingreso mensual promedio de S/. 4 160,0,2,30,0,Gillette,Ninguna (No uso cosméticos),Lima,,,,,,,,,,Sí,No,Sí,No,Sí,Sí,7,0,"Sí, deje de comprar productos que aún testean en animales",,1,2
Femenino,19,E - Ingreso mensual promedio de S/. 1 977,0,2,70,0,Dove,Ninguna (No uso cosméticos),Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,No,Sí,No,Sí,Sí,7,8,"Sí, deje de comprar productos que aún testean en animales",,3,5
Masculino,18,A - Ingreso mensual promedio de S/.13 000,0,4,100,0,Asepsia,Ninguna (No uso cosméticos),Trujillo,Trujillo,,,,,,Trujillo,,,Sí,No,Sí,No,No,Sí,8,7,"Sí, deje de comprar productos que aún testean en animales",1,1,5
Femenino,19,A - Ingreso mensual promedio de S/.13 000,2,8,250,200,Garnier,Uso otras marcas,Lima,Los olivos,,,,,,,,,Sí,Sí,Sí,No,No,Sí,9,2,"Sí, deje de comprar productos que aún testean en animales",1,8,10
Femenino,19,B - Ingreso mensual promedio de S/. 7 230,0,4,200,0,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Huancayo,Huancayo,,Huancayo,,,,,,,Sí,No,Sí,Sí,Sí,Sí,10,5,"Sí, deje de comprar productos que aún testean en animales",,7,3
Femenino,19,B - Ingreso mensual promedio de S/. 7 230,0,6,70,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,San borja,,,,,,,,,Sí,No,Sí,No,No,Sí,9,10,"Sí, deje de comprar productos que aún testean en animales",6,13,8
Femenino,19,A - Ingreso mensual promedio de S/.13 000,0,1,10,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,Magdalena del mar,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,5,2,"Sí, deje de comprar productos que aún testean en animales",1,3,8
Masculino,21,A - Ingreso mensual promedio de S/.13 000,0,2,300,0,Asepsia,Ninguna (No uso cosméticos),Huancayo,Huancayo,,Huancayo,,,,,,,Sí,Sí,Sí,No,No,Sí,5,7,"Sí, deje de comprar productos que aún testean en animales",1,4,8
Masculino,20,B - Ingreso mensual promedio de S/. 7 230,0,4,20,0,Gillette,Ninguna (No uso cosméticos),Lima,La molina,,,,,,,,,Sí,No,Sí,Sí,Sí,No,5,1,"No, continué usándolos",,4,5
Femenino,19,C - Ingreso mensual promedio de S/. 4 160,3,10,100,50,Dove,Ninguna (No uso cosméticos),Lima,Santiago de Surco,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,7,5,"Sí, deje de comprar productos que aún testean en animales",3,2,3
Masculino,19,C - Ingreso mensual promedio de S/. 4 160,0,1,40,0,Gillette,Ninguna (No uso cosméticos),Lima,Chorrillos,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,5,2,,,5,9
Femenino,18,B - Ingreso mensual promedio de S/. 7 230,1,2,150,70,Dove,Natura,Lima,Santiago de Surco,,,,,,,,,Sí,No,Sí,Sí,No,Sí,6,3,"Sí, deje de comprar productos que aún testean en animales",1,5,8
Masculino,27,E - Ingreso mensual promedio de S/. 1 977,0,5,50,0,Gillette,Ninguna (No uso cosméticos),Lima,Independencia,,,,,,,,,Sí,No,Sí,No,No,Sí,8,0,"No, continué usándolos",,2,0
Femenino,19,C - Ingreso mensual promedio de S/. 4 160,2,5,100,150,Pantene,AVON,Lima,Chorrillos,,,,,,,,,Sí,No,No,Sí,Sí,No,8,6,"No, continué usándolos",,2,5
Femenino,19,B - Ingreso mensual promedio de S/. 7 230,4,4,50,59,Dove,Cyzone,Chiclayo,Chiclayo,Chiclayo,,,,,,,,Sí,No,Sí,Sí,Sí,No,6,5,"No, continué usándolos",,6,9
Masculino,22,B - Ingreso mensual promedio de S/. 7 230,0,3,100,0,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,Lima,,,,,,,,,Sí,No,Sí,Sí,Sí,No,7,4,"Sí, deje de comprar productos que aún testean en animales",2,3,4
Masculino,19,B - Ingreso mensual promedio de S/. 7 230,0,4,80,0,Gillette,Ninguna (No uso cosméticos),Lima,Surquillo,,,,,,,,,Sí,No,Sí,No,No,No,5,1,"No, continué usándolos",2,11,8
Masculino,20,B - Ingreso mensual promedio de S/. 7 230,0,6,100,0,Pantene,Ninguna (No uso cosméticos),Lima,San borja,,,,,,,,,Sí,No,Sí,Sí,No,No,6,1,"No, continué usándolos",,1,8
Masculino,19,A - Ingreso mensual promedio de S/.13 000,1,1,100,30,Gillette,Uso otras marcas,Lima,Santiago de Surco,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,8,1,"No, continué usándolos",,0,7
Prefiero no decirlo,19,C - Ingreso mensual promedio de S/. 4 160,11,11,99,1010,Ninguna (No uso estas marcas de cuidado personal),Cyzone,Oxapampa,Palcazú,,,,,,,Palcazú,,Sí,Sí,Sí,No,No,Sí,7,10,"Sí, deje de comprar productos que aún testean en animales",,1,5
Femenino,19,B - Ingreso mensual promedio de S/. 7 230,2,2,300,200,L'Oréal Paris,Uso otras marcas,Chiclayo,Chiclayo,Chiclayo,,,,,,,,No,Sí,Sí,Sí,Sí,No,5,3,"No, continué usándolos",,9,13
Femenino,33,E - Ingreso mensual promedio de S/. 1 977,1,3,100,50,Garnier,Natura,Lima,Santiago de Surco,,,,,,,,,Sí,No,No,No,Sí,No,9,0,"Sí, deje de comprar productos que aún testean en animales",1,15,13
Masculino,43,C - Ingreso mensual promedio de S/. 4 160,0,1,100,0,L'Oréal Paris,Ninguna (No uso cosméticos),Lima,Miraflores,,,,,,,,,Sí,No,Sí,No,No,No,8,1,"No, continué usándolos",,2,12
Femenino,31,C - Ingreso mensual promedio de S/. 4 160,3,2,100,200,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,La molina,,,,,,,,,Sí,No,Sí,No,No,Sí,7,1,"Sí, deje de comprar productos que aún testean en animales",,10,11
Femenino,20,D - Ingreso mensual promedio de S/. 2 760,0,3,50,0,Dove,ésika,Chiclayo,Chiclayo,Chiclayo,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,6,6,"No, continué usándolos",,4,7
Masculino,33,D - Ingreso mensual promedio de S/. 2 760,0,6,70,0,Dove,Ninguna (No uso cosméticos),Lima,Lima,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,5,0,"No, continué usándolos",,0,0
Masculino,35,E - Ingreso mensual promedio de S/. 1 977,1,3,100,100,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,Chorrillos,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,6,3,"Sí, deje de comprar productos que aún testean en animales",1,3,4
Masculino,22,A - Ingreso mensual promedio de S/.13 000,10,10,100,100,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,Santiago de Surco,,,,,,,,,Sí,Sí,Sí,Sí,No,Sí,3,0,"Sí, deje de comprar productos que aún testean en animales",1,1,7
Femenino,31,E - Ingreso mensual promedio de S/. 1 977,0,1,0,0,Dove,Ninguna (No uso cosméticos),Lima,San Juan de Miraflores,,,,,,,,,Sí,No,No,No,No,No,2,1,"No, continué usándolos",,0,4
Masculino,19,D - Ingreso mensual promedio de S/. 2 760,1,3,20,15,Gillette,Ninguna (No uso cosméticos),Lima,Santiago de Surco,,,,,,,,,Sí,No,Sí,Sí,Sí,No,6,1,"Sí, deje de comprar productos que aún testean en animales",1,2,5
Femenino,34,D - Ingreso mensual promedio de S/. 2 760,4,4,100,100,Pantene,Uso otras marcas,Lima,Chorrillos,,,,,,,,,Sí,Sí,Sí,Sí,No,No,8,2,"No, continué usándolos",,10,13
Masculino,20,C - Ingreso mensual promedio de S/. 4 160,0,3,70,0,Gillette,Ninguna (No uso cosméticos),Arequipa,Cerro Colorado,,,,,Cerro Colorado,,,,Sí,Sí,Sí,No,Sí,No,8,0,"No, continué usándolos",,2,0
Femenino,52,D - Ingreso mensual promedio de S/. 2 760,1,4,80.00 ,0,Dove,Natura,Lima,Chorrillos,,,,,,,,,No,No,Sí,No,Sí,Sí,8,1,"Sí, deje de comprar productos que aún testean en animales",2,5,8
Femenino,33,D - Ingreso mensual promedio de S/. 2 760,2,2,150,100,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,Ate,,,,,,,,,Sí,Sí,Sí,No,No,Sí,8,5,"Sí, deje de comprar productos que aún testean en animales",2,17,12
Femenino,19,B - Ingreso mensual promedio de S/. 7 230,1,1,50,50,Dove,Uso otras marcas,Lima,Santiago de Surco,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,4,5,"Sí, deje de comprar productos que aún testean en animales",2,10,6
Masculino,48,C - Ingreso mensual promedio de S/. 4 160,0,2,10,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,San borja,,,,,,,,,Sí,No,No,No,No,No,3,0,"No, continué usándolos",,0,3
Femenino,19,E - Ingreso mensual promedio de S/. 1 977,1,3,200,200,Garnier,Cyzone,Lima,Los olivos,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,10,5,"Sí, deje de comprar productos que aún testean en animales",,2,1
Femenino,42,D - Ingreso mensual promedio de S/. 2 760,2,8,250,100,L'Oréal Paris,Natura,Lima,Santiago de Surco,,,,,,,,,Sí,No,No,No,No,Sí,9,1,"Sí, deje de comprar productos que aún testean en animales",2,4,11
Masculino,19,A - Ingreso mensual promedio de S/.13 000,0,1,20,0,Gillette,Ninguna (No uso cosméticos),Lima,Chorrillos,,,,,,,,,Sí,No,Sí,Sí,Sí,No,8,0,"No, continué usándolos",,0,0
Femenino,46,D - Ingreso mensual promedio de S/. 2 760,1,5,50,50,Dove,Uso otras marcas,Lima,Rímac,,,,,,,,,Sí,No,No,Sí,Sí,Sí,7,0,,,0,10
Femenino,36,E - Ingreso mensual promedio de S/. 1 977,0,3,30,0,Pantene,Uso otras marcas,Lima,Villa el Salvador,,,,,,,,,Sí,No,Sí,No,No,No,5,2,"No, continué usándolos",,3,4
Masculino,32,D - Ingreso mensual promedio de S/. 2 760,2,3,200,50,Dove,ésika,Lima,Villa el Salvador,,,,,,,,,Sí,No,Sí,Sí,Sí,No,6,2,"No, continué usándolos",,0,1
Femenino,44,A - Ingreso mensual promedio de S/.13 000,01,03,100,120,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,Santiago de Surco,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,8,7,"No, continué usándolos",02,4,12
Femenino,18,E - Ingreso mensual promedio de S/. 1 977,0,5,250,0,Dove,Ninguna (No uso cosméticos),Lima,Pueblo libre,,,,,,,,,Sí,No,Sí,No,No,No,9,7,"No, continué usándolos",,5,10
Femenino,36,D - Ingreso mensual promedio de S/. 2 760,1,3,100,30,Pantene,Natura,Lima,Chorrillos,,,,,,,,,Sí,Sí,Sí,No,Sí,No,3,1,"No, continué usándolos",,1,5
Femenino,19,B - Ingreso mensual promedio de S/. 7 230,3,5,30,50,Pantene,ésika,Lima,La victoria,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,7,5,"Sí, deje de comprar productos que aún testean en animales",,4,10
Femenino,19,D - Ingreso mensual promedio de S/. 2 760,2,6,45,60,L'Oréal Paris,Cyzone,Arequipa,Cerro Colorado,,,,,Cerro Colorado,,,,Sí,Sí,Sí,No,Sí,Sí,9,10,"Sí, deje de comprar productos que aún testean en animales",2,3,7
Masculino,19,E - Ingreso mensual promedio de S/. 1 977,2,2,2,5,Asepsia,L'BEL,Lima,Lima,,,,,,,,,Sí,Sí,Sí,No,Sí,Sí,7,4,"Sí, deje de comprar productos que aún testean en animales",2,5,8
Femenino,18,B - Ingreso mensual promedio de S/. 7 230,3,7,300,120,Dove,Natura,Lima,Miraflores,,,,,,,,,Sí,No,No,No,No,Sí,9,6,"Sí, deje de comprar productos que aún testean en animales",4,7,11
Masculino,22,E - Ingreso mensual promedio de S/. 1 977,1,1,100,100,Gillette,Uso otras marcas,Arequipa,Arequipa,,,,,Arequipa,,,,Sí,Sí,Sí,Sí,Sí,Sí,5,2,"Sí, deje de comprar productos que aún testean en animales",1,2,5
Masculino,18,D - Ingreso mensual promedio de S/. 2 760,0,5,25,0,Gillette,Ninguna (No uso cosméticos),Arequipa,Mariano Melgar,,,,,Mariano Melgar,,,,Sí,Sí,Sí,Sí,No,Sí,4,2,"Sí, deje de comprar productos que aún testean en animales",1,2,2
Femenino,25,A - Ingreso mensual promedio de S/.13 000,0,0,40,30,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,La molina,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,10,0,"Sí, deje de comprar productos que aún testean en animales",5,5,11
Masculino,28,A - Ingreso mensual promedio de S/.13 000,1,3,200,100,Gillette,Uso otras marcas,Lima,San Juan de Lurigancho,,,,,,,,,Sí,Sí,No,Sí,No,No,8,0,"No, continué usándolos",,9,0
Masculino,18,E - Ingreso mensual promedio de S/. 1 977,0,4,40,0,Pantene,Ninguna (No uso cosméticos),Lima,Lima,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,8,1,"Sí, deje de comprar productos que aún testean en animales",1,2,1
Femenino,19,A - Ingreso mensual promedio de S/.13 000,0,1,25,0,Dove,Uso otras marcas,Chiclayo,Chiclayo,Chiclayo,,,,,,,,Sí,Sí,No,Sí,No,Sí,4,1,"No, continué usándolos",,5,10
Masculino,19,C - Ingreso mensual promedio de S/. 4 160,1,3,50,60,Pantene,Uso otras marcas,Callao,Ventanilla,,,Ventanilla,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,7,0,"No, continué usándolos",,2,1
Masculino,19,B - Ingreso mensual promedio de S/. 7 230,4,3,100,50,Dove,Uso otras marcas,Lima,Santiago de Surco,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,8,1,"Sí, deje de comprar productos que aún testean en animales",2,2,11
Femenino,22,C - Ingreso mensual promedio de S/. 4 160,3,2,50,80,Dove,Natura,Huancayo,,,Huancayo,,,,,,,Sí,Sí,Sí,No,Sí,Sí,10,2,"Sí, deje de comprar productos que aún testean en animales",1,10,10
Femenino,33,A - Ingreso mensual promedio de S/.13 000,1,3,21,42,Dove,Uso otras marcas,Lima,San Martin de Porres,,,,,,,,,Sí,No,Sí,No,Sí,Sí,8,3,"Sí, deje de comprar productos que aún testean en animales",1,2,1
Femenino,39,E - Ingreso mensual promedio de S/. 1 977,0,0,0000,0000,Ninguna (No uso estas marcas de cuidado personal),ésika,Lima,Lima,,,,,,,,,Sí,No,No,No,Sí,No,5,1,"No, continué usándolos",,4,0
Masculino,24,E - Ingreso mensual promedio de S/. 1 977,0,1,20,20,Asepsia,ésika,Lima,Barranco,,,,,,,,,Sí,Sí,Sí,No,Sí,No,5,0,"Sí, deje de comprar productos que aún testean en animales",2,3,4
Femenino,19,B - Ingreso mensual promedio de S/. 7 230,4,7,350,200,Dove,L'BEL,Lima,Chorrillos,,,,,,,,,Sí,No,No,No,No,No,7,3,"Sí, deje de comprar productos que aún testean en animales",2,10,9
Femenino,19,C - Ingreso mensual promedio de S/. 4 160,0,1,60,60,Garnier,Uso otras marcas,Lima,Santiago de Surco,,,,,,,,,Sí,Sí,Sí,No,Sí,Sí,8,2,"Sí, deje de comprar productos que aún testean en animales",1,6,11
Otro,21,C - Ingreso mensual promedio de S/. 4 160,1,5,1000,500,Pantene,Uso otras marcas,Lima,San Juan de Lurigancho,,,,,,,,,Sí,Sí,Sí,Sí,Sí,No,6,5,"No, continué usándolos",,7,5
Masculino,28,E - Ingreso mensual promedio de S/. 1 977,2,3,40,40,Ninguna (No uso estas marcas de cuidado personal),ésika,Lima,Comas,,,,,,,,,No,No,No,No,Sí,No,7,5,"No, continué usándolos",,2,4
Otro,22,D - Ingreso mensual promedio de S/. 2 760,0,0,0,0,Dove,Uso otras marcas,Lima,San Juan de Lurigancho,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,8,1,"No, continué usándolos",,1,4
Femenino,19,E - Ingreso mensual promedio de S/. 1 977,0,4,200,0,Pantene,Uso otras marcas,Lima,Santiago de Surco,,,,,,,,,Sí,No,Sí,No,Sí,Sí,8,2,"Sí, deje de comprar productos que aún testean en animales",,3,7
Femenino,19,B - Ingreso mensual promedio de S/. 7 230,2,3,300,200,Garnier,Uso otras marcas,Lima,San isidro,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,5,1,"No, continué usándolos",,3,11
Femenino,19,C - Ingreso mensual promedio de S/. 4 160,1,1,100,100,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,Barranco,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,8,1,"Sí, deje de comprar productos que aún testean en animales",1,3,3
Femenino,16,A - Ingreso mensual promedio de S/.13 000,1,3,100,20,Ninguna (No uso estas marcas de cuidado personal),Cyzone,Lima,Chorrillos,,,,,,,,,Sí,No,Sí,No,Sí,Sí,9,1,"Sí, deje de comprar productos que aún testean en animales",2,7,8
Femenino,19,B - Ingreso mensual promedio de S/. 7 230,4,1,100,30,Dove,Natura,Lima,Santiago de Surco,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,7,2,"Sí, deje de comprar productos que aún testean en animales",3,1,4
Femenino,20,E - Ingreso mensual promedio de S/. 1 977,2,4,30,15,L'Oréal Paris,Uso otras marcas,Lima,San Juan de Lurigancho,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,5,2,"Sí, deje de comprar productos que aún testean en animales",4,6,3
Femenino,19,C - Ingreso mensual promedio de S/. 4 160,1,3,40,15,Ninguna (No uso estas marcas de cuidado personal),Natura,Lima,Santiago de Surco,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,10,2,"Sí, deje de comprar productos que aún testean en animales",1,2,7
Femenino,19,D - Ingreso mensual promedio de S/. 2 760,1,4,60,20,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,La molina,,,,,,,,,Sí,No,Sí,Sí,Sí,No,7,0,"No, continué usándolos",,4,9
Femenino,16,D - Ingreso mensual promedio de S/. 2 760,2,3,35,100,Pantene,Uso otras marcas,Lima,Chorrillos,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,8,1,"No, continué usándolos",,7,6
Femenino,18,B - Ingreso mensual promedio de S/. 7 230,3,4,40,40,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,Santiago de Surco,,,,,,,,,Sí,No,Sí,No,Sí,No,7,8,"No, continué usándolos",,13,0
Masculino,42,B - Ingreso mensual promedio de S/. 7 230,0,4,400,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,Chorrillos,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,8,0,"Sí, deje de comprar productos que aún testean en animales",2,2,7
Masculino,54,B - Ingreso mensual promedio de S/. 7 230,1,3,150,80,Ninguna (No uso estas marcas de cuidado personal),Natura,Lima,Pueblo libre,,,,,,,,,Sí,No,Sí,Sí,Sí,No,8,4,"Sí, deje de comprar productos que aún testean en animales",1,1,9
Masculino,56,C - Ingreso mensual promedio de S/. 4 160,0,14,60,0,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,Punta negra,,,,,,,,,No,No,Sí,Sí,Sí,Sí,7,3,"Sí, deje de comprar productos que aún testean en animales",5,12,10
Masculino,41,C - Ingreso mensual promedio de S/. 4 160,0,3,200,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,Santiago de Surco,,,,,,,,,Sí,No,Sí,No,No,No,8,0,"No, continué usándolos",,0,2
Femenino,55,B - Ingreso mensual promedio de S/. 7 230,0,2,1,200,Pantene,Natura,Lima,Miraflores,,,,,,,,,Sí,No,No,Sí,Sí,Sí,8,2,"Sí, deje de comprar productos que aún testean en animales",,6,10
Masculino,52,A - Ingreso mensual promedio de S/.13 000,0,2,80,0,Dove,Ninguna (No uso cosméticos),Lima,Jesús maría,,,,,,,,,Sí,No,Sí,Sí,Sí,No,5,1,"No, continué usándolos",,3,9
Masculino,41,C - Ingreso mensual promedio de S/. 4 160,0,1,60,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,Comas,,,,,,,,,Sí,Sí,Sí,No,Sí,Sí,5,2,"No, continué usándolos",,3,7
Femenino,37,D - Ingreso mensual promedio de S/. 2 760,3,6,100,30,Gillette,Natura,Lima,San Juan de Lurigancho,,,,,,,,,Sí,No,Sí,Sí,Sí,No,6,0,,,3,4
Femenino,55,B - Ingreso mensual promedio de S/. 7 230,0,4,50,0,Dove,Natura,Lima,Magdalena del mar,,,,,,,,,Sí,No,Sí,No,No,Sí,10,0,"No, continué usándolos",2,4,4
Femenino,18,C - Ingreso mensual promedio de S/. 4 160,2,3,50,30,Dove,AVON,Lima,Miraflores,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,8,3,"Sí, deje de comprar productos que aún testean en animales",3,3,9
