Género,AFísica,FrecuenciaA,Dieta,TAgua,Emocional,Episodios,Capacidad,Habilidades,Vivir,Matemáticas,Ciencias,Letras,Hora_Estudio,Asesorias,Servicios,Estudia,Productivo,Motivación,Economía,Financia,TEducación
Masculino,4,aeróbico (cardio),si,si,Sí,2,No,Sí,Sí,12,12,12,9,2.5,3,En grupo,Tarde,Medio,media,ayuda financiera,Privada
Femenino,3,aeróbico (cardio),si,si,Sí,2,No,Sí,Sí,15,16,18,9,1.5,3,Solo,Tarde,Alto,media,beca,Estatal
Masculino,0,no realizo,si,si,Sí,2,Sí,Sí,Sí,16,14,18,4.5,1.5,4,Solo,Noche,Medio,baja,beca,Privada
Masculino,0,no realizo,si,si,No,2,Sí,No,Solo con 1 de ellos,14,18,17,1.5,1.5,3,Solo,Tarde,Medio,baja,beca,Estatal
Femenino,6,aeróbico (cardio),no,si,No,5,No,No,Sí,14.5,16.7,16.8,4.5,0.5,2,Solo,Tarde,Bajo,baja,beca,Ambas
Masculino,3,aeróbico (cardio),no,si,No,2,Sí,Sí,Solo con 1 de ellos,14,17,19,1.5,1.5,3,Solo,Tarde,Medio,media,beca,Privada
Femenino,4,anaeróbico (de fuerza),si,si,Sí,3,Sí,Sí,Sí,15,16,17,9,2.5,4,En grupo,Tarde,Medio,media,beca,Privada
Masculino,0,no realizo,no,si,No,5,Sí,No,Sí,12,14,16,9,2.5,3,Solo,Noche,Medio,baja,mis padres me apoyan,Estatal
Masculino,2,aeróbico (cardio),no,si,No,2,No,Sí,Solo con 1 de ellos,13,19,20,9,4,4,En grupo,Tarde,Alto,baja,mis padres me apoyan,Privada
Femenino,2,aeróbico (cardio),no,si,No,2,No,No,Sí,13,13,15,9,0.5,1,Solo,Tarde,Medio,media,mis padres me apoyan,Privada
Masculino,6,ambos,si,si,Sí,3,No,Sí,Sí,15.45,15.75,14.23,9,1.5,4,Solo,Noche,Alto,media,mis padres me apoyan,Privada
Masculino,6,ambos,si,si,Sí,0,Sí,Sí,Sí,17,17,18,9,0.5,5,Solo,Madrugada/día,Alto,baja,mis padres me apoyan,Ambas
Masculino,0,no realizo,si,si,Sí,2,Sí,Sí,Solo con 1 de ellos,19,0,16,4.5,0.5,0,Solo,Noche,Alto,media,mis padres me apoyan,Privada
Masculino,2,no realizo,si,si,No,3,No,Sí,Solo con 1 de ellos,18.7,16.907,10.7,9,2.5,3,Solo,Tarde,Medio,media,ayuda financiera,Estatal
Femenino,4,no realizo,si,si,Sí,3,Sí,Sí,Sí,14,18,17,4.5,2.5,4,En grupo,Noche,Alto,media,beca,Estatal
Masculino,0,anaeróbico (de fuerza),no,si,Sí,1,Sí,Sí,Con ninguno,16,14,18,9,0.5,5,En grupo,Madrugada/día,Alto,media,beca,Ambas
Masculino,2,no realizo,si,si,Sí,2,Sí,Sí,Sí,15,15,16,24,0.5,2,En grupo,Noche,Alto,baja,beca,Estatal
Masculino,1,aeróbico (cardio),no,si,Sí,2,Sí,Sí,Sí,13,12,16,9,2.5,3,Solo,Noche,Alto,baja,beca,Estatal
Femenino,6,ambos,si,si,No,5,No,Sí,Solo con 1 de ellos,14,13,18,9,3.5,4,Solo,Noche,Medio,media,trabajo,Ambas
Masculino,0,no realizo,si,no,No,1,No,Sí,Sí,14,12,17,1.5,1.5,5,Solo,Noche,Medio,baja,mis padres me apoyan,Privada
Masculino,2,aeróbico (cardio),no,si,Sí,3,Sí,Sí,Solo con 1 de ellos,17,14,12,1.5,0.5,4,Solo,Madrugada/día,Medio,media,mis padres me apoyan,Ambas
Masculino,0,no realizo,si,si,No,0,Sí,No,Sí,17,16,18,9,0.5,2,En grupo,Madrugada/día,Medio,media,mis padres me apoyan,Estatal
Femenino,0,ambos,si,si,No,4,Sí,No,Sí,13,13,13,1.5,1.5,3,En grupo,Noche,Alto,media,ayuda financiera,Estatal
Femenino,2,aeróbico (cardio),no,si,No,5,No,Sí,Sí,13,11,16,24,1.5,3,Solo,Madrugada/día,Medio,media,mis padres me apoyan,Privada
Masculino,6,ambos,si,si,Sí,1,Sí,Sí,Solo con 1 de ellos,15.4,15,14,4.5,2.5,3,En grupo,Madrugada/día,Alto,baja,beca,Privada
Masculino,0,no realizo,no,no,No,2,No,No,Sí,15,16,15,4.5,1.5,4,Solo,Tarde,Medio,baja,beca,Estatal
Femenino,1,aeróbico (cardio),no,si,No,5,No,Sí,Sí,11.5,11.6,17,9,3.5,3,Solo,Noche,Medio,media,beca,Estatal
Masculino,4,anaeróbico (de fuerza),si,si,Sí,0,Sí,Sí,Solo con 1 de ellos,16,16,15,24,0.5,0,Solo,Madrugada/día,Alto,baja,beca,Privada
Masculino,1,anaeróbico (de fuerza),no,si,Sí,2,Sí,Sí,Sí,17,14,15,1.5,2.5,3,Solo,Noche,Medio,media,mis padres me apoyan,Ambas
