Marca temporal,¿Cuál es su edad?,Género,¿En qué ciclo te encuentras actualmente? (Escriba un número del 2 al 10),Carrera que estudias,¿Cuántas horas solías dormir?,¿Usted organizaba su tiempo cada semana?,¿Usted trabajó en el 2022-2?,¿Qué días solías trabajar durante la semana? (Seleccione ninguno si usted no trabajó durante el periodo 2022-2),¿Cuántas horas tuvo su jornada laboral al día? (ingrese 0 si no trabajo),"¿Ha llevado satisfactoriamente sus cursos de la universidad, teniendo un horario de trabajo?",Seleccione el nivel de estrés que le generó el trabajo que había desempeñado,¿Con qué frecuencia has faltado a clases por trabajar?,¿Alguna vez has faltado a algún examen o presentación de proyectos por motivos de trabajo?,"¿A cuántos cursos se ha matriculado en el 2022-2? 
",¿A cuántos cursos usualmente se matricula por ciclo?,¿Cuántas horas al día te dedicaste a estudiar? (Número entero entre 0-12),"¿Con qué frecuencia realizabas las tareas semanales de los diferentes cursos (quizzes, lecturas, informes, etc.)?",¿Con qué frecuencia asistías a las asesorías de los cursos?,¿Cuánto fue su promedio ponderado en el ciclo 2022-2? (Número con dos decimales)
28/04/2023 17:25:40,18,Masculino,3,Ingeniería Industrial,6 - 8 horas,Sí,No,Ninguno,0,Sí,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,7,Frecuentemente,A menudo,16.58
28/04/2023 17:33:17,19,Femenino,3,Ingeniería Industrial,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,6,6,Frecuentemente,A menudo,16.35
28/04/2023 17:36:27,24,Masculino,7,Ingeniería Mecatrónica,4 - 6 horas,Sí,Sí,"Lunes, Miércoles, Viernes, Sábado",6,No,Alto,Casi nunca,No,6,6,4,A menudo,Casi nunca,14.65
28/04/2023 17:39:23,20,Femenino,6,Ingeniería Ambiental,4 - 6 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,6,Frecuentemente,A menudo,15.68
28/04/2023 17:41:27,19,Masculino,5,Ingeniería Industrial,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,6,7,Frecuentemente,A menudo,16.39
28/04/2023 17:43:49,19,Masculino,3,Ciencia de la Computación,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,6,Frecuentemente,A menudo,15.96
28/04/2023 17:47:32,18,Masculino,3,Ingeniería Mecánica,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,5,Frecuentemente,A veces,14.48
28/04/2023 17:50:02,18,Masculino,3,Ingeniería Civil,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,6,6,Frecuentemente,Frecuentemente,16.86
28/04/2023 17:55:45,20,Femenino,4,Ingeniería Mecatrónica,4 - 6 horas,Sí,Sí,"Sábado, Domingo",5,Sí,Bajo,Nunca,No,6,6,5,Frecuentemente,Frecuentemente,15.75
28/04/2023 17:58:05,24,Femenino,6,Ingeniería Civil,4 - 6 horas,Sí,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes",4,Sí,Moderado,Casi nunca,No,5,6,3,A menudo,A veces,15.22
28/04/2023 17:59:44,20,Femenino,4,Ingeniería Química,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,4,A menudo,Frecuentemente,13.95
28/04/2023 18:09:32,18,Masculino,2,Ingeniería Ambiental,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,5,Frecuentemente,Frecuentemente,15.56
28/04/2023 18:10:15,19,Femenino,4,Ingeniería Civil,4 - 6 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,5,5,8,Frecuentemente,Frecuentemente,13.35
28/04/2023 18:21:56,20,Femenino,5,Ingeniería Industrial,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,6,6,Frecuentemente,A menudo,15.98
28/04/2023 18:24:32,19,Masculino,4,Ingeniería Mecánica,4 - 6 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,5,A menudo,Frecuentemente,16.27
28/04/2023 18:26:40,20,Masculino,5,Ingeniería Mecatrónica,4 - 6 horas,No,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes",4,No,Alto,A veces,No,6,6,3,A menudo,Nunca,12.67
28/04/2023 18:27:59,21,Femenino,4,Ingeniería Mecánica,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,7,4,Frecuentemente,Frecuentemente,15.68
28/04/2023 21:55:45,20,Femenino,4,Ingeniería Ambiental,8 - 10 horas,No,Sí,"Lunes, Miércoles, Viernes",4,No,Moderado,Casi nunca,No,4,7,4,A menudo,Casi nunca,14
28/04/2023 21:58:02,19,Masculino,3,Ingeniería Industrial,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,6,5,Frecuentemente,A menudo,16
28/04/2023 22:05:55,18,Masculino,5,Ingeniería Química,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,5,5,4,Frecuentemente,A veces,15.63
28/04/2023 22:13:47,22,Femenino,5,Ingeniería de la Energía,8 - 10 horas,No,Sí,"Lunes, Miércoles, Viernes, Sábado, Domingo",6,No,Alto,A veces,Sí,3,5,4,A veces,Nunca,13.72
28/04/2023 22:16:37,18,Femenino,7,Ciencia de la Computación,4 - 6 horas,No,Sí,"Sábado, Domingo",4,Sí,Moderado,Nunca,No,5,4,1,A menudo,A veces,14.67
28/04/2023 22:17:56,24,Femenino,7,Ingeniería Ambiental,4 - 6 horas,Sí,Sí,"Viernes, Sábado, Domingo",8,No,Moderado,Casi nunca,No,6,7,5,A menudo,A veces,14.24
28/04/2023 22:19:26,19,Masculino,5,Ingeniería Eléctronica,8 - 10 horas,Sí,Sí,"Jueves, Viernes, Sábado",1,Sí,No me generó estrés,Nunca,No,6,4,2,Frecuentemente,A veces,15.20
28/04/2023 22:20:41,21,Masculino,6,Ingeniería Civil,6 - 8 horas,No,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",8,No,Alto,Casi nunca,Sí,5,5,3,A menudo,Casi nunca,14.82
28/04/2023 22:21:04,21,Femenino,6,Ingeniería Industrial,6 - 8 horas,Sí,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes",2,No,Alto,A veces,No,4,6,0,A menudo,Nunca,14.75
28/04/2023 22:23:22,18,Masculino,8,Ingeniería Industrial,4 - 6 horas,Sí,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes",8,Sí,Alto,Casi nunca,Sí,3,5,4,A menudo,Nunca,15.83
28/04/2023 22:23:23,16,Femenino,2,Ingeniería Química,6 - 8 horas,No,Sí,Sábado,6,Sí,Moderado,Nunca,No,6,6,1,Frecuentemente,Frecuentemente,14.35
28/04/2023 22:26:01,20,Masculino,6,Ingeniería Ambiental,10 - 12 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,8,5,Frecuentemente,A veces,16.62
28/04/2023 22:28:08,20,Masculino,4,Ciencia de la Computación,8 - 10 horas,No,Sí,"Miércoles, Jueves, Viernes",1,Sí,Bajo,Nunca,No,4,5,4,A menudo,A veces,12.45
28/04/2023 22:29:09,18,Masculino,2,Administración y negocios digitales,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,6,5,Frecuentemente,A veces,13.52
28/04/2023 22:30:03,19,Masculino,3,Ingeniería Ambiental,4 - 6 horas,No,Sí,Domingo,4,Sí,No me generó estrés,Nunca,No,6,4,1,A veces,A veces,16.50
28/04/2023 22:32:03,25,Masculino,5,Ingeniería Mecánica,4 - 6 horas,Sí,Sí,"Lunes, Martes, Miércoles, Viernes, Sábado, Domingo",5,No,Moderado,Casi nunca,No,4,7,2,Frecuentemente,Nunca,15.63
28/04/2023 22:35:58,22,Masculino,6,Bioingeniería,4 - 6 horas,Sí,Sí,"Lunes, Miércoles, Jueves, Viernes",6,No,Bajo,Casi nunca,No,4,6,2,Frecuentemente,Nunca,14.73
28/04/2023 22:36:40,22,Masculino,7,Ingeniería Mecatrónica,4 - 6 horas,No,Sí,"Miércoles, Viernes",2,Sí,Moderado,Nunca,No,4,4,0,Frecuentemente,Casi nunca,12.25
28/04/2023 22:40:35,18,Femenino,2,Ingeniería Industrial,8 - 10 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,8,7,5,Frecuentemente,A menudo,14.52
28/04/2023 22:42:06,22,Femenino,5,Ingeniería Eléctronica,4 - 6 horas,Sí,Sí,"Lunes, Martes, Miércoles",1,Sí,Bajo,Nunca,No,6,4,2,A menudo,Casi nunca,14.85
28/04/2023 22:42:58,20,Masculino,4,Ingeniería Ambiental,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,8,6,2,Frecuentemente,A veces,15.32
28/04/2023 22:43:59,18,Femenino,3,Ciencia de la Computación,4 - 6 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,5,4,Frecuentemente,Frecuentemente,13.25
28/04/2023 22:44:54,20,Masculino,8,Ingeniería Mecánica,4 - 6 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,4,4,3,Frecuentemente,A menudo,15.60
28/04/2023 22:45:43,20,Masculino,4,Ingeniería Mecatrónica,6 - 8 horas,No,Sí,"Viernes, Sábado, Domingo",6,No,No me generó estrés,Casi nunca,No,4,7,4,Frecuentemente,A veces,12.83
28/04/2023 22:47:55,21,Femenino,6,Ingeniería de la Energía,6 - 8 horas,Sí,Sí,"Lunes, Jueves, Viernes, Sábado, Domingo",6,No,Alto,Casi nunca,Sí,4,5,4,A menudo,Nunca,13.64
28/04/2023 23:01:26,20,Masculino,3,Ingeniería Química,6 - 8 horas,Sí,Sí,"Sábado, Domingo",6,No,Alto,A veces,Sí,7,5,2,A veces,Nunca,12
