¿Cuántos años tienes?,Carrera Universitaria.  Escoja su carrera,Seleccione su sexo.,¿En qué zona de lima reside usted?,"Personalidad. Respecto a estas 2 opciones,   
¿ cuál consideras que es tu personalidad ?",Numero de cursos. ¿ Cuántos cursos estas llevando ?,Ciclo académico. ¿En que ciclo te encuentras ahora?,"De la escala del 1 al 5, ¿ qué tan dificiles consideras los cursos que te encuentras llevando  durante este ciclo ?","Escala de la matricula. ¿ Cual es tu escala asignada ?

Nota:
-  Recuerda que esta encuesta es 100% anónima, por lo que no deberías de preocuparte en brindarnos estos tipos de datos.
","Horas de sueño. ¿ Cuántas horas sueles dormir al día en una semana de clases ?

Nota:  
-  2.5 horas  =  2 hora y 30 minutos
-  3.5 horas  =  3 horas y 30 minutos
                      ...
-  8.5 horas  =  8 horas y 30 minutos.","Horas de ocio.  ¿ Cuántas  horas al día  realizas otras cosas externas al estudio y relacionadas al entretenimiento ?

Nota:  
-  1.5 horas  =  1 hora y 30 minutos
-  2.5 horas  =  2 horas y 30 minutos
                      ...
-  8.5 horas  =  8 horas y 30 minutos.","Horas de estudio fuera de clases.  ¿ Cuanto tiempo le dedicas a las tareas, repasos e investigación ?

Nota:  
-  1.5 horas  =  1 hora y 30 minutos
-  2.5 horas  =  2 horas y 30 minutos
                      ...
-  8.5 horas  =  8 horas y 30 minutos.",Tipo de trasporte. ¿ Qué medio de transporte usas a menudo o como te movilizas hacia la universidad ?,"Tiempo de traslado entre su domicilio y UTEC.  ¿ Cuánto tiempo (en minutos) te demoras en trasladarte de tu domicilio a la universidad ?

Nota: 

- 60 minutos = 1 hora

- 90 minutos = 1 hora y 30 minutos

- 120  minutos = 2 horas

- 150 minutos = 2 horas y 30 minutos

- 160 minutos = 3 horas",Horas dentro de la universidad. ¿ Cuántas horas pasas dentro de las instalaciones de la universidad  regularmente ?,"Distancia entre tu casa y la universidad. ¿  A cuántos kilómetros aproximadamente se encuentra tu casa a la universidad ?

Nota: 
- Ingrese su respuesta en decimales, empleando el  punto ""."" ","De la escala del 1 al 5, ¿ qué tan a gusto te sientes realizando trabajos grupales ?","De la escala del 1 al 5, ¿ qué tan a gusto te sientes realizando exposiciones en el aula ?",¿A que grupo perteneces?,Hobbie principal. ¿ De qué tipo de actividad disfrutas más a menudo ?,¿ Qué tan exhausto te sientes al día ?,Nivel de estrés. De la escala del 1 al 10 ¿ Cuál consideras que es tu nivel de estrés promedio durante un ciclo universitario  ?,Calidad de educación previa. ¿ Qué tipo de educación previa consideras tener ?
17,Ingeniería Industrial,Masculino,Zona Norte,Extrovertido,6,1,2,D,6.5,4.5,3.5,Bus-Micro,75,5,13.3,5,3,Estudiante,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Exhausto,7,Secundaria Completa en Colegio Particular
17,Ingeniería Mecánica,Masculino,Zona Sur,Introvertido,6,2,5,B,6.5,2.5,3.5,Taxi,25,6,8.6,4,3,Estudiante,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Ligeramente exhausto,6,Secundaria Completa en Colegio Particular
20,Administración y Negocios Digitales,Femenina,Zona Centro,Extrovertido,5,5,4,E,5.5,4.5,4,Bus-Micro,40,7,5.6,5,5,Estudiante,"Humanidades - voluntariado, activismo, etc.",Muy exhausto,9,Secundaria Completa en Colegio Estatal
18,Ingeniería Química,Masculino,Zona Sur,Introvertido,3,4,3,D,7.5,5,2.5,Bus-Micro,35,5,5.4,4,4,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,4,Secundaria Completa en Colegio Particular
18,Ingeniería Mecatrónica,Masculino,Zona Centro,Extrovertido,6,9,2,A,8,4.5,3.5,Automovil Propio,25,8,2.7,5,5,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,3,Secundaria Completa en Colegio Particular
18,Bioingeniería,Masculino,Zona Sur,Extrovertido,8,3,5,B,6.5,2.5,7,Bus-Micro,40,9,6.8,5,4,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Muy exhausto,6,Secundaria Completa en Colegio Particular
19,Ciencias de la Computación,Femenina,Zona Norte,Introvertido,5,4,4,C,7,5,4.5,Bicicleta,35,6,5.7,2,3,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Ligeramente exhausto,5,Secundaria Completa en Colegio Particular
21,Ingeniería Industrial,Masculino,Zona Sur,Extrovertido,5,6,3,C,6.5,4.5,5,Automovil Propio,30,7,5.3,3,3,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Ligeramente exhausto,5,Secundaria Completa en Colegio Particular
18,Ingeniería Mecánica,Femenina,Zona Centro,Introvertido,7,3,5,D,6.5,4,6.5,Bus-Micro,55,9,7.3,4,2,Estudiante,"Gastronomicos. - Degustacion de comida, preparacion, etc.",Exhausto,7,Secundaria Completa en Colegio Particular
18,Ingeniería Química,Masculino,Zona Norte,Introvertido,5,4,4,E,5.5,3,5.5,Bicicleta,30,6,20,1,1,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Muy exhausto,10,Secundaria Completa en Colegio Estatal
17,Ingeniería Industrial,Femenina,Zona Sur,Extrovertido,5,4,5,C,5.5,3,6.5,Bus-Micro,40,6,26,2,2,Estudiante,"Humanidades - voluntariado, activismo, etc.",Muy exhausto,7,Secundaria Completa en Colegio Estatal
19,Ingeniería Industrial,Femenina,Zona Sur,Extrovertido,5,5,4,E,6,3,6,Bus-Micro,25,8,7.5,4,4,Estudiante Empleado,"Humanidades - voluntariado, activismo, etc.",Ligeramente exhausto,6,Secundaria Completa en Colegio Particular
23,Ciencia de datos,Masculino,Zona Centro,Introvertido,5,5,4,D,6.5,3.5,4.5,Metropolitano,65,4,33,4,5,Estudiante Empleado,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,9,Secundaria Completa en Colegio Estatal
19,Ciencias de la Computación,Masculino,Zona Centro,Introvertido,5,3,3,D,8,4.5,3,Bus-Micro,40,6,5.7,3,5,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,3,Secundaria Completa en Colegio Particular
18,Bioingeniería,Femenina,Zona Norte,Extrovertido,6,2,3,E,7,7.5,1.5,Metropolitano,30,8,5.8,5,2,Estudiante,"Gastronomicos. - Degustacion de comida, preparacion, etc.",Nada exhausto,2,Secundaria Completa en Colegio Estatal
16,Ingeniería Civil,Femenina,Zona Norte,Introvertido,7,3,1,E,7,3.5,3.5,Bus-Micro,50,5,20,3,3,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Muy exhausto,10,Secundaria Completa en Colegio Estatal
19,Ingeniería Civil,Masculino,Zona Sur,Introvertido,6,5,4,E,5,2,8,Ebike / Scooter electrico,20,6,6.4,4,5,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,5,Secundaria Completa en Colegio Particular
17,Ciencia de datos,Masculino,Zona Norte,Extrovertido,6,1,2,D,6,5.5,3,Automovil Propio,20,7,7.7,5,5,Estudiante,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Ligeramente exhausto,4,Secundaria Completa en Colegio Particular
20,Ingeniería Ambiental,Femenina,Zona Sur,Introvertido,2,5,4,E,7,7,5.5,Metropolitano,55,4,40,1,1,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Muy exhausto,10,Secundaria Completa en Colegio Estatal
20,Ingeniería Industrial,Femenina,Zona Norte,Extrovertido,5,7,4,E,6,4,7,Automovil Propio,35,6,10,4,4,Estudiante Empleado,"Humanidades - voluntariado, activismo, etc.",Ligeramente exhausto,6,Secundaria Completa en Colegio Particular
15,Ingeniería Civil,Masculino,Zona Norte,Introvertido,7,5,5,D,6.5,2,8,A pie,10,6,5,2,2,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Muy exhausto,9,Secundaria Completa en Colegio Estatal
17,Ingeniería Química,Masculino,Zona Centro,Introvertido,6,1,2,D,7.5,6.5,3,Bus-Micro,40,7,7.3,2,2,Estudiante,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Exhausto,5,Secundaria Completa en Colegio Particular
27,Ingeniería de la Energía,Masculino,Zona Norte,Introvertido,7,3,2,E,5,3,7,Automovil Propio,30,8,12,3,2,Estudiante con emprendimiento,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,4,Secundaria Completa en Colegio Particular
18,Administración y Negocios Digitales,Femenina,Zona Sur,Extrovertido,4,4,1,B,8.5,7.5,3,Automovil Propio,15,6,3.4,3,4,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Ligeramente exhausto,1,Secundaria Completa en Colegio Particular
18,Ingeniería Industrial,Masculino,Zona Norte,Extrovertido,6,5,4,D,8,3,6.5,Bicicleta,20,7,21.5,3,3,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Muy exhausto,9,Secundaria Completa en Colegio Particular
17,Ingeniería Ambiental,Masculino,Zona Centro,Extrovertido,5,2,2,B,9,6,1,Taxi,25,5,4.9,5,5,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Nada exhausto,3,Secundaria Completa en Colegio Particular
22,Ingeniería Mecatrónica,Masculino,Zona Norte,Introvertido,6,6,4,C,7,6,4,Automovil Propio,40,7,8.3,3,3,Estudiante,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Ligeramente exhausto,4,Secundaria Completa en Colegio Particular
18,Ingeniería Industrial,Femenina,Zona Sur,Introvertido,6,3,4,D,7.5,5.5,1.5,Bus-Micro,135,7,15.1,3,3,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Exhausto,7,Secundaria Completa en Colegio Estatal
18,Ingeniería Industrial,Femenina,Zona Sur,Introvertido,7,3,4,D,6,2.5,2.5,Bus-Micro,130,9,15.1,2,1,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Muy exhausto,8,Secundaria Completa en Colegio Estatal
18,Ingeniería Industrial,Femenina,Zona Sur,Introvertido,6,3,4,D,6.5,2,4.5,Bus-Micro,110,9,15.2,2,1,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Muy exhausto,9,Secundaria Completa en Colegio Estatal
19,Ingeniería Química,Masculino,Zona Centro,Extrovertido,5,6,5,E,6,3,3.5,Metropolitano,45,5,20,1,1,Estudiante,"Humanidades - voluntariado, activismo, etc.",Muy exhausto,8,Secundaria Completa en Colegio Estatal
18,Ingeniería Industrial,Femenina,Zona Sur,Introvertido,7,3,5,D,7,1.5,4.5,Bus-Micro,110,9,15.1,1,1,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Muy exhausto,9,Secundaria Completa en Colegio Estatal
18,Ingeniería Industrial,Femenina,Zona Sur,Introvertido,7,3,5,D,6,1,4.5,Bus-Micro,110,9,15.1,1,1,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Muy exhausto,9,Secundaria Completa en Colegio Estatal
18,Ingeniería Eléctrica,Masculino,Zona Norte,Introvertido,5,3,5,E,5,3,5,Metropolitano,90,6,25.2,4,3,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Muy exhausto,7,Secundaria Completa en Colegio Particular
18,Ingeniería Mecánica,Masculino,Zona Norte,Introvertido,6,3,3,E,7,4,5.5,Metropolitano,40,6,39,1,1,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Muy exhausto,9,Secundaria Completa en Colegio Particular
17,Ingeniería Mecánica,Masculino,Zona Centro,Extrovertido,6,5,5,D,7.5,5.5,7.5,Bus-Micro,30,6,29.8,1,1,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Muy exhausto,10,Secundaria Completa en Colegio Particular
18,Ingeniería Eléctrica,Masculino,Zona Norte,Introvertido,6,4,4,D,6.5,4.5,6,Metropolitano,160,6,40,2,2,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Muy exhausto,9,Secundaria Completa en Colegio Estatal
20,Ingeniería Mecatrónica,Masculino,Zona Norte,Extrovertido,5,6,4,D,5,3,6.5,Metropolitano,160,5,40,2,2,Estudiante,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Muy exhausto,8,Secundaria Completa en Colegio Estatal
20,Ciencia de datos,Masculino,Zona Sur,Extrovertido,6,5,4,B,6,4,6,A pie,10,6,3,4,4,Estudiante con emprendimiento,"Humanidades - voluntariado, activismo, etc.",Ligeramente exhausto,4,Secundaria Completa en Colegio Particular
18,Ingeniería Industrial,Masculino,Zona Norte,Introvertido,6,3,2,E,7.5,3.5,6,Bicicleta,60,5,37.5,2,3,Estudiante,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Muy exhausto,8,Secundaria Completa en Colegio Estatal
18,Ingeniería Química,Masculino,Zona Sur,Introvertido,6,5,3,D,7,4.5,4.5,Bus-Micro,25,7,16,2,2,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,7,Secundaria Completa en Colegio Particular
20,Ciencia de datos,Masculino,Zona Sur,Introvertido,6,2,4,D,6,3.5,5.5,Metropolitano,30,6,29,2,2,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Muy exhausto,7,Secundaria Completa en Colegio Particular
19,Ingeniería Mecatrónica,Masculino,Zona Norte,Extrovertido,6,2,3,E,7.5,4,6,Bicicleta,30,6,39,1,1,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Muy exhausto,8,Secundaria Completa en Colegio Particular
21,Administración y Negocios Digitales,Masculino,Zona Centro,Extrovertido,6,7,3,D,7.5,4,5,Metropolitano,55,6,40,2,2,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,8,Secundaria Completa en Colegio Estatal
18,Ingeniería Industrial,Masculino,Zona Sur,Extrovertido,6,3,3,C,6,3,8,Tren,20,5,6.3,4,4,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,6,Secundaria Completa en Colegio Particular
18,Ingeniería Eléctrica,Masculino,Zona Norte,Extrovertido,5,3,5,D,6,4,6,Bus-Micro,95,5,40,1,1,Estudiante con emprendimiento,"Humanidades - voluntariado, activismo, etc.",Exhausto,8,Secundaria Completa en Colegio Particular
18,Ingeniería Mecánica,Masculino,Zona Norte,Extrovertido,5,3,4,E,6,3,6,Automovil Propio,50,8,38,1,1,Estudiante con emprendimiento,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,9,Secundaria Completa en Colegio Estatal
17,Bioingeniería,Masculino,Zona Norte,Introvertido,7,1,5,D,5,2,8,Metropolitano,40,9,21.5,3,3,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Muy exhausto,8,Secundaria Completa en Colegio Particular
20,Ingeniería Industrial,Femenina,Zona Centro,Extrovertido,5,3,5,C,8,3,4.5,Automovil Propio,35,7,31,2,2,Estudiante,"Humanidades - voluntariado, activismo, etc.",Exhausto,8,Secundaria Completa en Colegio Particular
17,Ingeniería de la Energía,Femenina,Zona Centro,Introvertido,5,1,3,C,7,4.5,6.5,Bus-Micro,85,7,13.4,4,3,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Muy exhausto,7,Secundaria Completa en Colegio Particular
18,Ingeniería Mecánica,Masculino,Zona Centro,Extrovertido,5,6,4,D,5,2.5,7,Automovil Propio,25,8,13,3,2,Estudiante,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Muy exhausto,8,Secundaria Completa en Colegio Particular
17,Ingeniería Eléctrica,Masculino,Zona Sur,Introvertido,6,5,4,D,5.5,4.5,5.5,Ebike / Scooter electrico,25,7,21,2,2,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,7,Secundaria Completa en Colegio Estatal
19,Ingeniería Química,Masculino,Zona Centro,Introvertido,5,3,3,D,7.5,3.5,2.5,Bus-Micro,35,6,5.7,5,5,Estudiante,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Ligeramente exhausto,4,Secundaria Completa en Colegio Particular
15,Ingeniería Civil,Masculino,Zona Centro,Extrovertido,6,1,3,A,7,4,3,Automovil Propio,35,7,4.7,4,4,Estudiante,"Gastronomicos. - Degustacion de comida, preparacion, etc.",Nada exhausto,2,Secundaria Completa en Colegio Particular
19,Ingeniería Mecatrónica,Masculino,Zona Norte,Introvertido,5,3,5,E,7,4.5,8.5,Metropolitano,30,7,15.8,2,2,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Muy exhausto,10,Secundaria Completa en Colegio Estatal
22,Ingeniería Eléctrica,Masculino,Zona Norte,Introvertido,6,7,4,B,3,2,7,Automovil Propio,30,6,15,4,3,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Ligeramente exhausto,7,Secundaria Completa en Colegio Particular
19,Ingeniería Química,Femenina,Zona Norte,Introvertido,4,5,3,C,8,3.5,3,Bus-Micro,60,6,7.8,5,5,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,3,Secundaria Completa en Colegio Particular
17,Ingeniería Ambiental,Femenina,Zona Centro,Introvertido,7,4,4,D,5,3.5,6.5,Bicicleta,40,7,32,1,1,Estudiante,"Humanidades - voluntariado, activismo, etc.",Exhausto,7,Secundaria Completa en Colegio Estatal
17,Ingeniería Mecatrónica,Masculino,Zona Sur,Introvertido,6,1,2,C,8,4.5,1,Bus-Micro,35,6,5.8,5,5,Estudiante,"Humanidades - voluntariado, activismo, etc.",Ligeramente exhausto,1,Secundaria Completa en Colegio Particular
18,Ingeniería Eléctrica,Femenina,Zona Norte,Extrovertido,6,3,4,E,6.5,3,8,Bicicleta,50,6,30,2,3,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,9,Secundaria Completa en Colegio Estatal
18,Ingeniería Eléctrica,Femenina,Zona Centro,Extrovertido,5,2,3,D,8.5,3,4.5,Bicicleta,25,8,3.2,4,4,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Ligeramente exhausto,4,Secundaria Completa en Colegio Particular
17,Ingeniería Química,Masculino,Zona Norte,Introvertido,8,5,4,D,7,4,7.5,Metropolitano,50,7,25,4,1,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,7,Secundaria Completa en Colegio Estatal
20,Ingeniería Mecánica,Masculino,Zona Sur,Introvertido,5,6,4,D,4,2,7,Metropolitano,40,8,15.7,2,4,Estudiante,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Muy exhausto,9,Secundaria Completa en Colegio Particular
19,Ingeniería Mecatrónica,Femenina,Zona Norte,Introvertido,5,4,4,E,7,3.5,7.5,Metropolitano,55,7,28,2,2,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,8,Secundaria Completa en Colegio Estatal
