Edad,Genero,Carrera,Ciclo,Nrelaciones,Relacion,MismaUniversidad,RAcademicoAfectado,INegativoMotivacion,Desafios,FormasDeApoyo,VidaAmorosa,VidaAcademica,RelacionVidaAmorosaYAcadémica,AdministarTiempo,HEstudio,HPareja,FaltaClases,RelacionYUniversidad,DiscusionesAfectaConcentracion,Desconcentracion,RupturaAfectaExamenes,Promedio,FormasAfectaRendimientoAcademico
19,Masculino,Ingeniería Civil,4,1,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",T,2,8,7,Sí,6.7,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,12.3,"Menor tiempo de preparación para las evaluaciones, Inasistencia a clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
20,Masculino,Ingeniería Civil,4,3,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja",C-R,8,8,8,Sí,3.4,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,16.9,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
19,Femenino,Ingeniería Ambiental,4,8,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T,9,9,9,Sí,2.3,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,16.6,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
20,Masculino,Ingeniería Civil,5,5,Sí,Sí,Sí,Sí,"Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",C,8,8,5,Sí,7.8,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,"Menor tiempo de preparación para las evaluaciones, Baja participación en trabajos grupales, Desaprobando cursos"
20,Femenino,Ingeniería Indusrial,5,6,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",C-T-R,7,6,6,Sí,2.3,5.1,Sí,Sí considero,Sí afecta,Sí,Sí,11.4,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Desaprobando cursos"
20,Masculino,Ingeniería Indusrial,2,2,Sí,No,Sí,Sí,"Falta de tiempo, Distracción y desconcentración",C-T,4,5,3,No,4.5,2.1,Sí,No considero,Sí afecta,Sí,Sí,14,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
18,Femenino,Ingeniería Ambiental,2,3,Sí,No,No,No,"Falta de tiempo, Distracción y desconcentración",C-T-R,2,7,3,No,1.2,2.1,Sí,No considero,Sí afecta,Sí,Sí,15.7,"Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
19,Femenino,Ingeniería Civil,7,2,Sí,No,No,Sí,"Falta de tiempo, Distracción y desconcentración",T,4,7,5,Sí,4.5,2.1,No,No considero,No afecta,Sí,Sí,17.8,"Menor tiempo de preparación para las evaluaciones, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos"
18,Femenino,Bioingeniería,3,1,Sí,No,Sí,No,"Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración",R,7,8,5,Sí,3.4,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,16.3,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
20,Masculino,Ingeniería Civil,2,3,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",C-T,4,9,5,No,2.3,2.1,No,Sí considero,No afecta,Sí,No,16.5,Baja participación en trabajos grupales
18,Masculino,Ingeniería Indusrial,2,2,Sí,No,Sí,No,Falta de tiempo,C,3,0,4,No,2.3,1.1,Sí,No considero,No afecta,Sí,No,13.8,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases"
19,Femenino,Ingeniería Indusrial,2,1,Sí,No,Sí,No,Distracción y desconcentración,T,7,5,7,Sí,4.5,2.1,No,No considero,No afecta,Sí,No,15.7,No tengo una relación amorosa
19,Femenino,Ingeniería Civil,4,5,Sí,No,Sí,No,Distracción y desconcentración,C,4,7,3,No,5.6,2.1,No,Sí considero,Sí afecta,Sí,Sí,12.5,No tengo una relación amorosa
17,Masculino,Ingeniería Indusrial,2,6,Sí,No,No,No,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",T,6,8,7,Sí,4.5,1.1,Sí,Sí considero,Sí afecta,Sí,Sí,18.8,No tengo una relación amorosa
19,Femenino,Ingeniería Indusrial,2,2,Sí,No,Sí,No,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",C-T,5,8,5,No,3.4,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,15.8,"Falta de concentración en clases, Inasistencia a clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
17,Masculino,Ingeniería Civil,3,1,Sí,No,No,No,"Falta de tiempo, Distracción y desconcentración",R,9,6,3,Sí,6.7,3.1,No,No considero,Sí afecta,Sí,Sí,12.6,Falta de concentración en clases
17,Masculino,Ingeniería Civil,2,1,Sí,No,No,No,Problemas de confianza o celos en la relación,T,6,5,5,Sí,4.5,3.1,Sí,No considero,No afecta,Sí,Sí,15,No tengo una relación amorosa
19,Femenino,Ingeniería Mecánica,4,2,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",C-T,7,8,8,No,7.2,2.1,No,Sí considero,Sí afecta,Sí,No,16.8,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
19,Masculino,Ingeniería Electrónica,4,4,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",C-T-R,3,5,2,Sí,7.1,3.9,No,Sí considero,Sí afecta,Sí,Sí,13.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias, No tengo una relación amorosa"
22,Masculino,Bioingeniería,4,1,Sí,No,No,No,Problemas de comunicación con la pareja,C,5,3,5,Sí,2.3,1.3,No,No considero,No afecta,Sí,Sí,11.5,No tengo una relación amorosa
19,Femenino,Ingeniería Civil,3,2,Sí,No,No,No,Falta de tiempo,T-R,7,3,7,Sí,2.3,4.1,Sí,No considero,No afecta,Sí,Sí,12.5,Menor tiempo de preparación para las evaluaciones
19,Femenino,Ingeniería Indusrial,4,3,Sí,No,No,No,"Falta de tiempo, Distracción y desconcentración",C-T,5,8,5,No,1.2,1.1,No,No considero,Sí afecta,Sí,Sí,15.4,No tengo una relación amorosa
18,Femenino,Ingeniería Civil,2,1,Sí,Sí,Sí,Sí,Distracción y desconcentración,C,5,7,5,No,6.7,4.1,No,Sí considero,Sí afecta,Sí,Sí,15,No tengo una relación amorosa
18,Femenino,Ingeniería Indusrial,2,3,Sí,No,No,No,Falta de tiempo,T,7,6,7,Sí,4.5,1.1,Sí,No considero,Sí afecta,Sí,Sí,16.8,No tengo una relación amorosa
18,Femenino,Ciencia de la Computación,2,1,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",R,5,4,10,No,1.2,3.1,No,Sí considero,Sí afecta,Sí,Sí,12.7,No tengo una relación amorosa
21,Femenino,Ingeniería Química,4,1,Sí,No,Sí,Sí,Problemas de comunicación con la pareja,C,8,7,8,No,4.5,1.1,Sí,No considero,No afecta,Sí,No,15.8,Menor tiempo de preparación para las evaluaciones
23,Femenino,Ingeniería Mecánica,5,2,Sí,No,No,No,Falta de tiempo,T-R,8,5,7,No,4.1,1.3,Sí,No considero,No afecta,Sí,No,14.5,"Menor tiempo de preparación para las evaluaciones, No tengo una relación amorosa"
23,Femenino,Administración y Negocios Digitales,2,1,Sí,No,Sí,No,Falta de tiempo,C-T,7,8,8,Sí,6.7,2.1,Sí,No considero,Sí afecta,Sí,Sí,15,Falta de concentración en clases
22,Femenino,Administración y Negocios Digitales,2,1,Sí,Sí,Sí,No,Distracción y desconcentración,C,10,10,10,Sí,4.5,5.1,Sí,No considero,No afecta,Sí,Sí,16,Falta de concentración en clases
22,Masculino,Ingeniería Electrónica,8,3,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",C,8,5,7,No,3.4,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,14.7,Menor tiempo de preparación para las evaluaciones
18,Masculino,Ingeniería Mecatrónica,3,2,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",T,5,6,3,No,3.4,2.1,Sí,Sí considero,Sí afecta,Sí,No,14,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, No tengo una relación amorosa"
18,Masculino,Ciencia de Datos,3,2,Sí,No,Sí,No,Falta de tiempo,C,9,7,8,Sí,4.5,3.1,No,No considero,No afecta,Sí,Sí,14.3,Menor tiempo de preparación para las evaluaciones
18,Femenino,Ingeniería Química,3,3,Sí,No,Sí,Sí,Distracción y desconcentración,T,4,6,3,No,6.7,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,15.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Desaprobando cursos"
21,Masculino,Ingeniería Mecatrónica,7,1,Sí,Sí,Sí,No,Problemas de comunicación con la pareja,R,10,3,9,No,3.4,3.1,No,No considero,No afecta,Sí,No,12.4,No tengo una relación amorosa
19,Femenino,Ingeniería Mecatrónica,4,4,Sí,Sí,No,No,Problemas de comunicación con la pareja,R,10,3,9,Sí,2.3,3.1,No,No considero,No afecta,Sí,No,12.3,No tengo una relación amorosa
18,Femenino,Bioingeniería,2,1,Sí,Sí,Sí,Sí,Distracción y desconcentración,C,10,6,5,No,2.3,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,13,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos"
20,Masculino,Ciencia de la Computación,2,3,Sí,Sí,Sí,Sí,Falta de tiempo,T,8,7,4,No,6.7,1.3,Sí,Sí considero,No afecta,Sí,Sí,13.6,Baja participación en trabajos grupales
20,Femenino,Ingeniería Civil,2,3,Sí,No,No,No,Distracción y desconcentración,C,4,7,5,Sí,2.3,2.3,No,Sí considero,Sí afecta,Sí,No,13.9,"Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
18,Femenino,Bioingeniería,3,2,Sí,No,Sí,Sí,Falta de tiempo,T,8,6,5,No,2.3,1.5,No,Sí considero,Sí afecta,Sí,Sí,17,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
19,Masculino,Ingeniería Civil,4,1,Sí,Sí,Sí,Sí,Falta de tiempo,T,2,2,5,No,2.3,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,15,"Falta de concentración en clases, Inasistencia a clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias"
17,Masculino,Ingeniería Civil,2,5,Sí,No,No,No,Falta de tiempo,C,5,5,5,No,2.3,2.1,No,No considero,No afecta,Sí,No,18,No tengo una relación amorosa
18,Femenino,Ingeniería Civil,4,1,Sí,No,Sí,No,"Problemas de confianza o celos en la relación, Distracción y desconcentración",C,8,9,10,No,3.4,1.5,Sí,Sí considero,Sí afecta,Sí,Sí,16.8,Falta de concentración en clases
18,Masculino,Ingeniería Civil,2,1,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración",C,3,0,5,No,3.4,5.3,No,Sí considero,Sí afecta,Sí,Sí,15.5,No tengo una relación amorosa
17,Femenino,Ingeniería Mecatrónica,2,1,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",T,4,5,6,No,3.4,2.1,Sí,Sí considero,Sí afecta,Sí,No,16,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
17,Femenino,Ingeniería Indusrial,2,2,Sí,Sí,No,No,Problemas de comunicación con la pareja,C-T,8,8,8,No,2.3,1.1,No,No considero,No afecta,Sí,Sí,16,No tengo una relación amorosa
17,Femenino,Ingeniería Indusrial,2,3,Sí,No,No,No,"Problemas de confianza o celos en la relación, Distracción y desconcentración",C,5,6,6,No,3.4,3.1,Sí,No considero,No afecta,Sí,No,15.5,No tengo una relación amorosa
17,Femenino,Ingeniería Indusrial,2,4,Sí,Sí,Sí,No,"Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",C-T,10,6,8,No,4.5,4.1,No,No considero,Sí afecta,Sí,Sí,16,Menor tiempo de preparación para las evaluaciones
20,Masculino,Ingeniería Civil,4,1,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja",T,7,8,8,No,2.3,1.1,Sí,No considero,Sí afecta,Sí,Sí,16.8,No tengo una relación amorosa
21,No binario,Ingeniería Civil,5,4,Sí,No,Sí,Sí,"Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",T,5,5,3,No,4.5,3.3,No,Sí considero,Sí afecta,Sí,No,11,"Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias"
20,Femenino,Ingeniería Civil,5,1,Sí,No,Sí,No,Falta de tiempo,C,4,6,3,Sí,4.5,2.1,Sí,No considero,Sí afecta,Sí,No,13,Menor tiempo de preparación para las evaluaciones
20,Masculino,Ingeniería Civil,5,1,Sí,No,Sí,No,Falta de tiempo,C,10,7,5,No,4.5,3.2,No,No considero,Sí afecta,Sí,No,14,Desaprobando cursos
20,Femenino,Ingeniería Civil,7,3,Sí,No,Sí,No,Falta de tiempo,T,5,8,5,Sí,6.1,2.3,Sí,No considero,No afecta,Sí,No,17.5,No tengo una relación amorosa
20,Masculino,Ingeniería Indusrial,2,1,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",C,3,7,7,No,6.7,1.2,Sí,No considero,Sí afecta,Sí,Sí,18,"Menor tiempo de preparación para las evaluaciones, Inasistencia a clases, Baja participación en trabajos grupales, Desaprobando cursos"
19,Femenino,Bioingeniería,5,1,Sí,No,Sí,No,"Falta de tiempo, Problemas de comunicación con la pareja",T,8,7,7,Sí,4.5,2.2,Sí,No considero,Sí afecta,Sí,Sí,14.4,No tengo una relación amorosa
18,Femenino,Ciencia de la Computación,2,2,Sí,Sí,Sí,No,Falta de tiempo,T,10,10,5,No,6.8,3.1,Sí,No considero,Sí afecta,Sí,Sí,14.7,Falta de concentración en clases
17,Femenino,Ciencia de la Computación,4,6,Sí,No,No,No,Problemas de comunicación con la pareja,C,9,9,9,No,4.5,4.6,Sí,No considero,No afecta,Sí,No,14,Falta de concentración en clases
18,Femenino,Ingeniería Civil,2,4,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",R,4,7,7,No,1.3,1.3,No,Sí considero,Sí afecta,Sí,Sí,15.9,No tengo una relación amorosa
22,Masculino,Ingeniería Química,6,4,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja",T,3,3,5,No,1.3,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,14.5,"Falta de concentración en clases, Inasistencia a clases"
18,Masculino,Administración y Negocios Digitales,2,1,Sí,No,Sí,Sí,"Falta de tiempo, Distracción y desconcentración",T-R,3,7,5,No,1.3,4.3,Sí,Sí considero,Sí afecta,Sí,Sí,14,"Menor tiempo de preparación para las evaluaciones, Inasistencia a clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
21,Masculino,Ciencia de la Computación,5,4,Sí,Sí,Sí,Sí,"Falta de tiempo, Distracción y desconcentración",R,3,4,5,No,1.3,4.3,Sí,Sí considero,Sí afecta,Sí,Sí,15.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases"
24,Femenino,Bioingeniería,4,3,Sí,Sí,Sí,Sí,"Problemas de comunicación con la pareja, Distracción y desconcentración",T,3,4,5,No,4.5,3.4,Sí,Sí considero,Sí afecta,Sí,Sí,15.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
22,Masculino,Ingeniería Mecatrónica,5,3,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,4,No,2.3,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,16.5,"Menor tiempo de preparación para las evaluaciones, Baja participación en trabajos grupales"
22,Femenino,Ingeniería de la Energía,8,4,Sí,Sí,Sí,Sí,"Falta de tiempo, Distracción y desconcentración",T,3,3,5,No,3.35,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,16,"Falta de concentración en clases, Inasistencia a clases"
21,Femenino,Ingeniería Química,5,3,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja",T,3,3,3,No,2.3,2.5,Sí,Sí considero,Sí afecta,Sí,Sí,13.5,"Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos"
23,Masculino,Ciencia de la Computación,6,5,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de confianza o celos en la relación",T,2,5,4,No,5.3,3.4,Sí,Sí considero,Sí afecta,Sí,Sí,17,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
22,Masculino,Ciencia de la Computación,7,4,Sí,Sí,Sí,Sí,Problemas de confianza o celos en la relación,R,3,3,3,Sí,4.5,2.6,Sí,Sí considero,Sí afecta,Sí,Sí,10.5,"Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias"
23,Masculino,Ingeniería Ambiental,6,5,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de confianza o celos en la relación",R,3,4,3,No,3.5,2.3,Sí,Sí considero,Sí afecta,Sí,Sí,17.5,"Menor tiempo de preparación para las evaluaciones, Inasistencia a clases"
22,Masculino,Ingeniería Ambiental,6,5,Sí,Sí,Sí,Sí,Problemas de confianza o celos en la relación,T,3,3,3,Sí,3.5,1.3,Sí,Sí considero,Sí afecta,Sí,Sí,11,Falta de concentración en clases
23,Masculino,Ciencia de la Computación,6,6,Sí,Sí,Sí,Sí,Problemas de confianza o celos en la relación,R,2,4,3,Sí,4.1,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,11.5,Disminución del promedio de notas o obtención de notas desaprobatorias
23,Masculino,Ciencia de la Computación,5,4,Sí,Sí,Sí,Sí,Distracción y desconcentración,C,3,3,3,No,3.5,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,13,"Menor tiempo de preparación para las evaluaciones, Baja participación en trabajos grupales"
22,Masculino,Bioingeniería,7,4,Sí,Sí,Sí,Sí,"Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",T,2,3,3,No,2.2,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,11.5,Inasistencia a clases
23,Masculino,Ciencia de la Computación,6,6,Sí,Sí,Sí,Sí,Falta de tiempo,C,3,3,3,No,5.2,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,11.5,Baja participación en trabajos grupales
22,Masculino,Ciencia de la Computación,4,3,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,No,6.2,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,11.6,Inasistencia a clases
23,Masculino,Ciencia de la Computación,6,3,Sí,Sí,Sí,Sí,Falta de tiempo,T,1,5,2,No,3.5,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,14.5,Falta de concentración en clases
23,Masculino,Ciencia de la Computación,5,4,Sí,Sí,Sí,Sí,Problemas de confianza o celos en la relación,R,3,4,3,No,6.2,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,12.5,Baja participación en trabajos grupales
22,Masculino,Ciencia de la Computación,5,3,Sí,Sí,Sí,Sí,Falta de tiempo,C,3,4,3,No,5.2,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.5,Disminución del promedio de notas o obtención de notas desaprobatorias
23,Masculino,Ciencia de la Computación,5,3,Sí,Sí,Sí,Sí,Problemas de comunicación con la pareja,R,3,4,3,No,6,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.5,Menor tiempo de preparación para las evaluaciones
23,Masculino,Ingeniería Mecatrónica,6,4,Sí,Sí,Sí,Sí,Falta de tiempo,C,3,4,3,No,3,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,13,Disminución del promedio de notas o obtención de notas desaprobatorias
22,Masculino,Ingeniería de la Energía,7,5,Sí,Sí,Sí,Sí,Falta de tiempo,T,3,4,3,No,6,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,Baja participación en trabajos grupales
23,Femenino,Ingeniería de la Energía,6,4,Sí,Sí,Sí,Sí,Problemas de comunicación con la pareja,C,3,4,3,No,3.4,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,Falta de concentración en clases
23,Masculino,Ingeniería Mecatrónica,6,4,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,No,2,3.3,Sí,Sí considero,Sí afecta,Sí,Sí,13.5,Falta de concentración en clases
23,Masculino,Ciencia de la Computación,6,4,Sí,Sí,Sí,Sí,Falta de tiempo,C,3,4,3,No,1.2,3.3,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,"Inasistencia a clases, No tengo una relación amorosa"
22,Masculino,Ingeniería Mecatrónica,6,4,Sí,Sí,Sí,Sí,Problemas de confianza o celos en la relación,C-R,3,4,3,Sí,1.2,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,Disminución del promedio de notas o obtención de notas desaprobatorias
23,Masculino,Ingeniería Mecatrónica,6,4,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,No,1.2,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,14,No tengo una relación amorosa
23,Masculino,Ciencia de la Computación,6,4,Sí,Sí,Sí,Sí,Distracción y desconcentración,T,3,4,3,No,1.2,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.5,Menor tiempo de preparación para las evaluaciones
23,Masculino,Ingeniería de la Energía,7,4,Sí,Sí,Sí,Sí,Falta de tiempo,C,3,4,3,No,1.2,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,14,Falta de concentración en clases
22,Masculino,Ingeniería Ambiental,6,4,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,No,6.2,2.3,Sí,Sí considero,Sí afecta,Sí,Sí,13.5,Falta de concentración en clases
23,Masculino,Ciencia de la Computación,6,4,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,No,6.35,2.3,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,Falta de concentración en clases
23,Masculino,Ciencia de la Computación,6,4,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,No,6.35,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.5,Falta de concentración en clases
23,Masculino,Ciencia de la Computación,6,4,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,No,6.35,2.3,Sí,Sí considero,Sí afecta,Sí,Sí,13.5,Falta de concentración en clases
23,Masculino,Ingeniería Mecatrónica,7,4,Sí,Sí,Sí,Sí,"Falta de tiempo, Distracción y desconcentración",R,3,4,3,No,6.25,2.5,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,Falta de concentración en clases
22,Masculino,Ciencia de la Computación,6,4,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,No,6.25,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,Falta de concentración en clases
22,Masculino,Ingeniería Mecatrónica,6,4,Sí,Sí,Sí,Sí,Problemas de confianza o celos en la relación,R,3,4,3,No,6.3,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,Falta de concentración en clases
22,Masculino,Ingeniería Mecatrónica,6,4,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,No,6.3,1.3,Sí,Sí considero,Sí afecta,Sí,Sí,13.8,Falta de concentración en clases
22,Masculino,Ciencia de la Computación,6,4,Sí,Sí,Sí,Sí,Problemas de confianza o celos en la relación,R,3,4,3,No,6.3,3.3,Sí,Sí considero,Sí afecta,Sí,Sí,13.8,Falta de concentración en clases
22,Masculino,Ciencia de la Computación,6,4,Sí,Sí,Sí,Sí,Distracción y desconcentración,R,3,4,3,No,4.4,2.2,Sí,Sí considero,Sí afecta,Sí,Sí,13.9,"Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
17,Masculino,Ingeniería Civil,2,3,Sí,Sí,Sí,Sí,Falta de tiempo,C,9,8,5,Sí,2.35,1.3,No,Sí considero,Sí afecta,Sí,Sí,16.7,Inasistencia a clases
22,Masculino,Ciencia de la Computación,6,4,Sí,Sí,Sí,Sí,Distracción y desconcentración,R,3,4,3,No,3.4,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.5,Falta de concentración en clases
22,Femenino,Ciencia de la Computación,6,4,Sí,Sí,Sí,Sí,Distracción y desconcentración,R,3,4,3,No,1.3,2.3,Sí,Sí considero,Sí afecta,Sí,Sí,14.6,Falta de concentración en clases
22,Masculino,Ingeniería Mecatrónica,6,4,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,No,2.3,2.3,Sí,Sí considero,Sí afecta,Sí,Sí,14,Falta de concentración en clases
22,Masculino,Ingeniería Mecatrónica,6,3,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,No,1.2,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,Falta de concentración en clases
22,Femenino,Ciencia de la Computación,5,5,Sí,Sí,Sí,Sí,Problemas de confianza o celos en la relación,R,3,4,3,No,5.2,2.2,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,Falta de concentración en clases
22,Masculino,Ingeniería Mecatrónica,5,5,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,Sí,5.3,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,Falta de concentración en clases
22,Masculino,Ciencia de Datos,5,3,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,Sí,3.34,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,Falta de concentración en clases
22,Masculino,Ingeniería de la Energía,7,3,Sí,Sí,Sí,Sí,Falta de tiempo,R,3,4,3,No,3.35,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,14,Falta de concentración en clases
20,Femenino,Ingeniería Química,4,3,Sí,Sí,Sí,No,"Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",C-T,8,6,7,No,4.5,1.1,Sí,No considero,Sí afecta,Sí,Sí,15.8,"Falta de concentración en clases, Inasistencia a clases, Baja participación en trabajos grupales"
18,Femenino,Ingeniería Civil,6,4,Sí,No,Sí,No,"Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración",C-T,7,8,4,Sí,3.4,2.1,No,No considero,Sí afecta,Sí,No,13.6,"Menor tiempo de preparación para las evaluaciones, Baja participación en trabajos grupales"
