Edad,Sexo,Carrera,Ciclo,Cant.Cursos,CursosR,Promedio,H.Sueño,H.Nocturno,T.T.Dormir,Cant.D.U,Somnolencia,Noches.sin.dormir,Horas.de.estudio,Calidad.de.sueño,Espacios_de_descanso,Satisfacción,Piso11,Piso6,NoEspacio,Biblioteca,Comedor,SalonVacio,Piso1,Total_espacio
23,Masculino,Ciencia de la computación,6,5,No,15.6,7.45,sí,20,2,No,3,9,4,Piso 11;Piso 6;Piso 1,1,1,1,0,0,0,0,1,3
19,Femenino,Ingeniería ambiental,7,5,Sí,13.5,7.3,no,30,1,No,4,8,3,No hay,1,0,0,1,0,0,0,0,0
22,Femenino,Ciencia de datos,6,3,Sí,12.56,8,sí,7,5,Sí,6,5,4,Piso 11,4,1,0,0,0,0,0,0,1
22,Masculino,Ingeniería mecánica,3,6,No,17.35,6.5,no,40,4,Sí,5,6,3,Piso 11;Salones vacíos,3,1,0,0,0,0,1,0,2
23,Femenino,Ciencia de datos,8,3,Sí,12.4,6,no,10,3,Sí,4,6.3,4,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
21,Masculino,Ingeniería civil,6,5,No,14.64,8,sí,10,0,No,2,8,5,Piso 11;Piso 6,2,1,1,0,0,0,0,0,2
18,Femenino,Ingeniería electrónica,5,6,No,17.35,7,sí,50,4,No,1,8.3,3,Piso 11;Piso 1,3,1,0,0,0,0,0,1,2
22,Femenino,Ciencia de datos,6,3,Sí,18.26,9,sí,30,1,No,2,6,1,Piso 6,4,0,1,0,0,0,0,0,1
24,Femenino,Ingeniería química,8,3,No,17.2,8.3,sí,15,0,No,0,10,5,No hay,2,0,0,1,0,0,0,0,0
23,Femenino,Ciencia de la computación,6,5,No,17.78,8.3,no,10,3,No,4,4.4,2,Biblioteca,2,0,0,0,1,0,0,0,1
19,Masculino,Ingeniería Industrial,6,7,No,17.85,8,sí,10,0,No,2,12,4,Piso 11;Piso 6;Salones vacíos;Piso 1,4,1,1,0,0,0,1,1,4
23,Femenino,Administración y negocios digitales,6,4,No,17.25,7.3,no,15,4,No,6,6.3,2,Comedor,3,0,0,0,0,1,0,0,1
20,Femenino,Ingeniería civil,5,5,No,15.4,8,no,25,1,Sí,3,5,3,Piso 11;Piso 6;Biblioteca,2,1,1,0,1,0,0,0,3
23,Femenino,Ingeniería de la energía,5,5,Sí,15.45,7,sí,15,4,Sí,4,7,2,Salones vacíos,3,0,0,0,0,0,1,0,1
23,Masculino,Ingeniería de la energía,6,5,Sí,15.67,7.3,no,15,5,Sí,4,4.3,4,Salones vacíos,4,0,0,0,0,0,1,0,1
21,Masculino,Ingeniería mecatrónica,3,5,Sí,12.4,7,no,40,2,Sí,3,7,4,No hay,4,0,0,1,0,0,0,0,0
17,Masculino,Ingeniería Industrial,1,6,No,NA,NA,sí,19,NA,Sí,3,11.2,5,No hay,2,0,0,1,0,0,0,0,0
22,Masculino,Ingeniería Industrial,3,6,No,16.3,7.4,no,45,0,No,1,10,3,Piso 11;Salones vacíos;Piso 1,3,1,0,0,0,0,1,1,3
23,Femenino,Ingeniería de la energía,3,4,Sí,17.45,6.3,no,15,4,Sí,4,5.3,2,Biblioteca,3,0,0,0,1,0,0,0,1
16,NA,Ingeniería electrónica,1,4,No,18,9,sí,5,1,No,1,7,1,Comedor,2,0,0,0,0,1,0,0,1
21,Femenino,Bioingeniería,4,6,No,16.35,7.3,no,35,0,Sí,3,9,4,Piso 11;Piso 6;Salones vacíos,3,1,1,0,0,0,1,0,3
22,Masculino,Ingeniería mecatrónica,3,6,No,14.75,6,no,15,1,No,0,4,4,No hay,1,0,0,1,0,0,0,0,0
25,Masculino,Bioingeniería,9,5,No,16.7,7,no,60,0,Sí,5,16,3,No hay,1,0,0,1,0,0,0,0,0
18,Femenino,Ingeniería mecatrónica,2,6,Sí,13,4,no,10,0,Sí,5,5,3,No hay,1,0,0,1,0,0,0,0,0
20,Masculino,Ingeniería de la energía,2,5,No,13.5,7,sí,30,4,Sí,6,6,4,Piso 11;Piso 1,1,1,0,0,0,0,0,1,2
19,Masculino,Ingeniería mecatrónica,4,6,Sí,14,5.3,no,10,0,Sí,5,18,4,Piso 11;Piso 6;Comedor;Salones vacíos;Piso 1,4,1,1,0,0,1,1,1,5
18,Femenino,Ingeniería civil,2,6,No,14.5,5,sí,15,0,Sí,3,8,3,Piso 11;Salones vacíos;Piso 1,3,1,0,0,0,0,1,1,3
19,Femenino,Ingeniería civil,2,6,No,16,5,sí,10,0,Sí,6,25,4,Piso 11;Salones vacíos,3,1,0,0,0,0,1,0,2
17,Femenino,Ciencia de la computación,3,5,No,16.4,7.45,sí,20,0,No,1,7,3,Piso 11;Piso 6;Salones vacíos,2,1,1,0,0,0,1,0,3
21,Masculino,Ciencia de la computación,6,5,No,15.33,7,no,120,0,No,0,20,2,Piso 1,1,0,0,0,0,0,0,1,1
20,Masculino,Ingeniería civil,4,6,No,16.58,6,no,30,0,Sí,3,4,3,Piso 11;Piso 6;Piso 1,3,1,1,0,0,0,0,1,3
22,Masculino,Ingeniería Industrial,10,3,No,13.78,5,no,30,3,Sí,9,3,3,Piso 11;Piso 6,1,1,1,0,0,0,0,0,2
18,Femenino,Ingeniería ambiental,2,6,Sí,14.65,8,no,60,2,Sí,6,8,2,Piso 11,3,1,0,0,0,0,0,0,1
20,Masculino,Ingeniería mecatrónica,5,5,Sí,13,8,no,30,0,Sí,12,10,3,Piso 11;Piso 6;Salones vacíos,2,1,1,0,0,0,1,0,3
20,Femenino,Ingeniería civil,2,7,Sí,13.9,5,no,30,NA,Sí,10,10,3,Piso 11,4,1,0,0,0,0,0,0,1
20,Femenino,Ingeniería civil,4,5,No,15.62,7,sí,20,0,No,2,30,5,Piso 11,3,1,0,0,0,0,0,0,1
18,Femenino,Bioingeniería,5,5,Sí,13.6,6.3,no,20,3,Sí,2,10,4,Piso 11;Salones vacíos;Piso 1,2,1,0,0,0,0,1,1,3
19,Masculino,Ingeniería civil,2,7,No,13,7,no,1,1,Sí,2,6,3,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
20,Masculino,Bioingeniería,3,5,Sí,14.1,6.3,no,30,1,No,4,8,3,Piso 11;Piso 1,3,1,0,0,0,0,0,1,2
20,Masculino,Ingeniería civil,4,6,No,15.45,6.3,no,5,0,Sí,0,20,4,Piso 11,2,1,0,0,0,0,0,0,1
18,Femenino,Ingeniería civil,2,6,No,16.7,4.3,sí,10,0,Sí,2,6,3,Piso 11;Biblioteca,3,1,0,0,1,0,0,0,2
19,Femenino,Ingeniería civil,4,7,Sí,13.56,5.45,no,15,0,Sí,6,6,3,Salones vacíos,3,0,0,0,0,0,1,0,1
24,Masculino,Ciencia de la computación,3,6,No,15.7,5.3,no,25,0,Sí,2,10,2,Piso 6;Biblioteca;Salones vacíos;Piso 1,1,0,1,0,1,0,1,1,4
20,Femenino,Ingeniería civil,1,7,No,15,6,no,30,0,Sí,0,14,3,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
17,Masculino,Bioingeniería,1,3,No,11,7,no,50,2,No,0,4,2,Piso 11;Piso 6,4,1,1,0,0,0,0,0,2
20,Femenino,Bioingeniería,4,6,No,14,5,no,20,0,Sí,2,35,2,Piso 11;Piso 6,1,1,1,0,0,0,0,0,2
23,Femenino,Bioingeniería,5,8,Sí,13.2,4,no,0,2,Sí,NA,10,1,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
