"¿En qué ciclo te encuentras?","¿Cuál es su escala de pago a UTEC?","¿A cuántos cursos esta inscrito durante este ciclo? (Ejemplo: 6)","¿En qué zona vives?","Tiempo de viaje en minutos para ir y regresar a la UTEC (sume el tiempo de su tramo de ida más tramo de vuelta)(en caso de vivir en pronvicia rellenar con: NA) (Ejemplo: 98)","¿Cuánto es el costo de viaje?(sume el costo de su tramo de ida más tramo de vuelta)(en caso de no usar transporte público o privado colocar: 0)(En caso de tener movilidad privada poner el gasto en combustible)(Ejemplo: 10.00)","¿Cuánto es el costo de alimentos cuando vienes a la UTEC?(Ejemplo: 25.00)","Grupo de modalidad híbrida al que perteneces (""1"" - A hasta K )(""2"" - L hasta Z)","¿Cuántos días no asistió durante sus primeras dos semanas de modalidad presencial?(Grupo 1  - Semana 1 y 2; Grupo 2 - Semana 3 y 4)(Ejemplo: 5)","¿Qué días faltaste en la primera semana que a tu grupo le toca la modalidad presencial?","¿Qué días faltaste en la segunda semana que a tu grupo le toca la modalidad presencial?","¿Qué día(s) es (son) tu(s) clase(s) más temprana(s)?","¿Qué día(s) es (son) tu(s) clase(s) más tarde?","¿Cuál(es) es(son) el(los) día(s) con más horas de clases que tienes?","¿Cuál(es) es(son) el(los) día(s) con menos horas de clases que tienes?","¿En qué días tienes clases espaciadas?(considera clases espaciadas a partir de 3 horas entre clases)(Ejemplo : 1)"
"4","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","30","2.5","0","1","2","Miércoles","Asistió todos los días","Martes","Viernes","Martes, Jueves","Miércoles, Viernes","Miércoles, Viernes"
"4","E","9","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","120","10","20","2","1","Martes","Asistió todos los días","Jueves, Viernes","Lunes","Sábado","Martes","Jueves, Viernes, Sábado"
"4","D","8","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","180","6","15","2","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Viernes","Viernes","Lunes","Martes","Jueves"
"4","C","9","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","120","10","20","2","1","Martes","Asistió todos los días","Martes, Miércoles","Martes, Viernes","Sábado","Viernes","Jueves"
"4","C","7","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","120","10","25","2","4","Martes, Miércoles, Jueves","Miércoles","Lunes","Viernes","Lunes","Jueves","Martes"
"4","E","8","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","6","0","20","2","5","Lunes, Sábado","Lunes, Martes, Sábado","Martes","Miércoles","Lunes, Martes","Jueves, Viernes, Sábado","Miércoles"
"4","E","4","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","90","5","20","2","7","Lunes, Martes, Viernes, Sábado","Lunes, Martes, Viernes","Martes","Miércoles","Martes, Viernes","Miércoles, Jueves","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado"
"2","E","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","15","0","15","1","4","Lunes, Miércoles","Lunes, Miércoles","Martes, Viernes","Lunes, Martes","Lunes, Martes","Miércoles, Sábado","Miércoles"
"4","E","8","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","180","8","12","2","11","Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Viernes","Martes, Sábado","Martes, Viernes","Lunes, Miércoles, Jueves, Sábado","Martes, Viernes"
"1","A","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","30","3","12","1","2","Lunes","Lunes","Lunes, Miércoles, Viernes","Martes, Viernes","Lunes, Viernes","Martes, Jueves","Martes, Viernes"
"3","D","5","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","30","1","0","1","4","Lunes, Jueves","Lunes, Jueves","Martes, Sábado","Viernes","Martes, Miércoles, Viernes","Viernes","Miércoles, Viernes"
"3","C","5","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","70","0","15","2","4","Miércoles, Jueves","Miércoles, Jueves","Martes, Viernes, Sábado","Lunes, Jueves","Martes, Viernes","Lunes, Jueves","Martes, Jueves, Viernes"
"3","B","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","40","4","10","2","2","Martes, Sábado","Asistió todos los días","Jueves","Lunes","Lunes","Martes, Miércoles","Lunes, Viernes"
"3","D","5","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","10","0","0","1","2","Miércoles, Jueves","Asistió todos los días","Martes, Viernes","Miércoles, Jueves","Martes, Viernes","Jueves, Viernes","Lunes, Martes"
"3","D","5","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","60","4","15","1","1","Jueves","Asistió todos los días","Martes, Miércoles","Jueves","Miércoles","Jueves","Martes"
"2","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","100","10","0","2","7","Lunes, Martes, Miércoles, Jueves","Lunes, Miércoles, Jueves","Martes","Miércoles","Martes","Miércoles","Miércoles"
"3","D","4","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","60","5","10","2","2","Jueves, Sábado","Asistió todos los días","Martes, Viernes","Miércoles, Viernes","Martes, Viernes","Lunes, Miércoles","Martes, Viernes"
"2","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","80","10","20","1","6","Lunes, Jueves, Sábado","Lunes, Jueves, Sábado","Jueves","Lunes, Martes, Miércoles","Jueves, Viernes","Martes, Miércoles","Martes, Miércoles"
"2","D","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","75","3.5","12","1","2","Lunes, Sábado","Asistió todos los días","Lunes","Miércoles","Lunes, Jueves, Viernes","Martes, Sábado","Miércoles"
"2","E","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","120","10","25","1","8","Martes, Miércoles, Jueves, Viernes","Martes, Miércoles, Jueves, Viernes","Lunes, Viernes","Viernes","Viernes","Martes","Viernes"
"4","D","7","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","90","6","12","2","3","Miércoles, Viernes","Lunes","Martes, Jueves","Viernes","Martes, Jueves, Sábado","Lunes, Miércoles","Jueves"
"4","E","8","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","2","10","1","4","Miércoles, Viernes","Lunes, Miércoles","Jueves","Viernes","Martes, Sábado","Martes, Viernes","Martes"
"4","E","7","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","120","4","20","1","2","Miércoles","Miércoles","Martes","Jueves","Martes","Miércoles","Viernes"
"4","E","7","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","110","10","10","2","8","Martes, Miércoles, Jueves, Viernes","Martes, Miércoles, Jueves, Viernes","Viernes","Martes, Jueves","Martes, Jueves","Lunes, Viernes","Jueves, Viernes"
"1","E","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","60","7.5","10","1","4","Martes, Jueves","Martes, Jueves","Lunes, Miércoles, Viernes","Martes, Jueves","Lunes, Miércoles, Viernes","Jueves","Martes, Miércoles"
"4","E","8","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","50","2","12","1","5","Lunes, Miércoles, Viernes, Sábado","Lunes","Jueves","Miércoles","Jueves","Lunes","Miércoles"
"4","D","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","10","0","0","2","5","Lunes, Jueves, Viernes","Martes, Jueves","Martes, Miércoles, Jueves, Sábado","Jueves","Miércoles, Jueves, Viernes","Lunes, Sábado","Miércoles, Jueves"
"4","E","9","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","3","20","2","0","Asistió todos los días","Asistió todos los días","Jueves","Miércoles","Viernes","Jueves","Miércoles"
"3","E","6","Provincia","NA","0","0","2","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Martes, Miércoles","Martes, Jueves","Martes, Jueves","Miércoles","Miércoles"
"4","E","8","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","6","0","20","2","8","Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Viernes, Sábado","Lunes","Martes, Viernes","Martes","Miércoles","Sábado"
"2","E","7","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","360","9","10","2","0","Asistió todos los días","Asistió todos los días","Lunes, Viernes, Sábado","Martes, Miércoles, Jueves","Lunes, Viernes","Martes, Jueves","Martes, Miércoles, Jueves, Sábado"
"2","E","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","130","5","10","1","10","Lunes, Martes, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Martes, Viernes","Lunes, Martes, Jueves","Martes, Jueves","Martes","Lunes, Miércoles, Jueves, Viernes"
"3","E","6","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","30","5","20","2","2","Miércoles","Miércoles","Jueves","Miércoles","Jueves","Martes","Jueves"
"4","D","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","120","6","20","2","9","Lunes, Martes, Jueves, Viernes, Sábado","Martes, Miércoles, Jueves, Viernes","Lunes, Jueves","Viernes","Lunes, Martes, Sábado","Miércoles","Lunes, Martes, Jueves"
"1","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","90","6","10","2","3","Lunes, Jueves","Jueves","Martes, Sábado","Lunes, Miércoles, Viernes","Lunes, Martes, Viernes","Jueves, Sábado","Martes, Jueves"
"4","D","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","130","5","20","2","9","Lunes, Martes, Miércoles, Jueves, Sábado","Lunes, Martes, Jueves, Sábado","Lunes, Martes, Jueves","Lunes, Viernes","Lunes, Martes","Viernes","Martes, Miércoles"
"4","B","9","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","350","9","15","2","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Jueves, Viernes","Viernes","Sábado","Jueves","Jueves"
"4","E","8","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","1","20","1","2","Lunes, Miércoles","Asistió todos los días","Lunes, Martes, Miércoles, Viernes","Lunes","Martes, Sábado","Martes, Viernes","Miércoles, Sábado"
"1","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","100","8","10","1","6","Lunes, Miércoles, Sábado","Lunes, Miércoles, Sábado","Miércoles, Sábado","Lunes, Jueves","Lunes, Miércoles","Martes","Jueves"
"2","D","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","100","10","20","1","3","Lunes, Martes, Miércoles","Asistió todos los días","Miércoles, Sábado","Lunes","Lunes","Lunes","Martes, Miércoles"
"3","C","5","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","90","5","15","2","5","Lunes, Martes","Lunes, Martes, Sábado","Viernes","Jueves","Martes","Jueves","Martes"
"3","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","0","10","1","1","Lunes","Asistió todos los días","Martes, Miércoles, Jueves, Viernes, Sábado","Lunes","Martes, Miércoles, Viernes","Lunes, Jueves, Sábado","Lunes, Miércoles, Jueves, Sábado"
"4","E","7","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","80","8","13","1","4","Martes, Miércoles","Martes, Miércoles","Jueves","Jueves","Lunes, Jueves","Miércoles","Lunes, Jueves"
"3","D","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","90","5","25","1","7","Martes, Jueves, Viernes","Martes, Miércoles, Jueves, Viernes","Martes","Miércoles","Miércoles","Lunes","Lunes, Sábado"
"2","D","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","90","6","17","1","5","Lunes, Martes","Lunes, Martes, Jueves","Lunes","Viernes","Lunes, Miércoles, Viernes","Martes","Miércoles"
"4","E","8","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","0","18","1","10","Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes","Miércoles","Viernes","Martes, Miércoles","Viernes","Jueves, Viernes"
"2","D","7","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","100","8","20","2","6","Martes, Miércoles","Lunes, Miércoles, Viernes, Sábado","Lunes","Miércoles","Miércoles","Sábado","Martes, Viernes"
"7","B","5","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","10","20","1","6","Lunes, Miércoles, Viernes","Lunes, Miércoles, Viernes","Martes","Jueves","Lunes","Viernes","Jueves"
"6","C","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","160","8","25","2","6","Lunes, Miércoles, Jueves","Lunes, Miércoles, Jueves","Lunes","Martes, Viernes","Lunes, Sábado","Miércoles, Jueves","Miércoles, Jueves"
"1","C","8","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","25","5","15","2","2","Sábado","Miércoles","Lunes","Viernes","Martes","Sábado","Miércoles"
"4","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","60","6","15","1","3","Sábado","Viernes, Sábado","Jueves, Sábado","Martes, Miércoles","Martes, Miércoles","Jueves, Viernes","Jueves"
"6","B","6","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","60","3","17","2","4","Martes, Miércoles","Martes, Miércoles","Martes, Miércoles","Lunes, Jueves","Lunes, Viernes","Martes, Miércoles","Lunes, Jueves"
"6","A","4","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","10","0","25","2","3","Lunes, Jueves","Martes","Lunes","Jueves","Lunes","Sábado","Jueves"
"2","E","8","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","180","10","26","2","5","Martes, Miércoles, Viernes","Martes, Miércoles","Lunes, Miércoles, Viernes","Miércoles","Miércoles","Martes","Miércoles"
"2","D","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","50","6","20","1","5","Martes, Sábado","Miércoles, Viernes, Sábado","Martes, Sábado","Miércoles","Miércoles","Lunes","Jueves, Viernes"
"4","B","6","Provincia","NA","0","0","1","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Martes, Miércoles","Martes, Jueves","Martes, Jueves","Miércoles","Miércoles"
"4","E","7","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","160","8","20","2","7","Martes, Miércoles, Viernes, Sábado","Lunes, Viernes, Sábado","Martes, Miércoles","Martes, Viernes","Miércoles","Jueves","Jueves"
"2","E","7","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","76","7","14","1","6","Martes, Miércoles","Miércoles, Jueves, Viernes, Sábado","Lunes","Lunes","Lunes","Sábado","Miércoles"
"9","B","4","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","5","18","1","2","Lunes","Jueves","Lunes","Miércoles","Lunes","Jueves","Martes, Viernes"
"2","E","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","70","6","14","2","3","Miércoles, Sábado","Miércoles","Martes, Miércoles","Miércoles","Miércoles","Viernes","Jueves, Viernes"
"7","C","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","150","6","18","2","4","Lunes, Martes","Lunes, Martes","Lunes, Martes","Martes","Martes","Lunes","Martes"
"5","E","7","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","170","8","12","2","4","Miércoles, Jueves","Miércoles, Jueves","Lunes, Miércoles","Jueves, Viernes","Lunes, Jueves","Miércoles","Jueves"
"3","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","3","15","2","2","Lunes","Lunes","Lunes","Miércoles, Jueves","Viernes","Lunes","Miércoles, Jueves"
"5","D","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","60","5","15","1","2","Martes","Sábado","Lunes","Viernes","Viernes","Miércoles","Viernes"
"6","E","6","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","120","6","14","2","9","Lunes, Martes, Miércoles, Viernes","Lunes, Martes, Miércoles, Jueves, Viernes","Lunes","Miércoles, Jueves","Lunes, Miércoles","Martes","Miércoles, Jueves"
"3","E","7","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","110","10","18","1","2","Sábado","Sábado","Martes, Miércoles","Viernes","Miércoles","Sábado","Lunes, Martes"
"2","E","8","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","140","8","15","2","5","Lunes, Martes, Miércoles","Lunes, Martes","Lunes","Jueves, Viernes","Jueves","Lunes","Lunes, Jueves"
"5","E","5","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","140","6","16","1","3","Lunes, Jueves","Lunes, Jueves","Lunes, Miércoles","Martes","Martes, Jueves","Viernes","Lunes"
"3","E","5","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","110","5.00","10.00","1","2","Lunes","Lunes, Martes","Miércoles, Jueves, Viernes, Sábado","Martes, Jueves, Viernes","Martes, Jueves, Viernes","Lunes, Sábado","Martes, Miércoles, Jueves, Viernes"
"2","E","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","80","6","16","2","5","Miércoles, Sábado","Lunes, Miércoles, Sábado","Miércoles, Sábado","Miércoles","Miércoles","Sábado","Lunes, Jueves"
"3","D","8","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","40","4","10","1","6","Lunes, Martes, Miércoles","Lunes, Martes, Miércoles","Lunes, Miércoles","Jueves, Viernes","Lunes, Martes","Miércoles","Lunes, Martes"
"6","D","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","100","10","16","2","4","Lunes, Miércoles","Martes, Viernes","Jueves","Jueves","Jueves","Viernes","Lunes"
"4","E","9","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","0","15","2","2","Sábado","Sábado","Lunes, Martes","Martes, Viernes","Martes","Viernes","Lunes, Viernes"
"5","C","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","80","12.00","24.00","1","3","Martes, Miércoles, Viernes","Jueves, Viernes, Sábado","Jueves, Viernes","Martes, Miércoles","Jueves, Viernes","Lunes, Martes, Miércoles, Sábado","Lunes, Miércoles, Sábado"
"4","C","5","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","5","18","2","2","Viernes","Martes","Lunes","Jueves","Jueves","Martes","Martes"
"2","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","160","5","8.00","2","2","Lunes","Lunes","Lunes","Martes, Miércoles, Jueves, Viernes","Miércoles, Jueves","Lunes, Martes, Viernes","Lunes, Martes, Viernes"
"4","D","7","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","180","8","20","1","3","Miércoles","Viernes, Sábado","Lunes","Miércoles","Lunes","Miércoles","Miércoles, Viernes"
"4","E","5","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","100","6","15","2","7","Lunes, Miércoles, Jueves, Viernes","Lunes, Miércoles, Jueves","Lunes","Miércoles, Jueves","Lunes","Miércoles","Viernes"
"2","E","7","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","130","10","20","2","3","Martes","Martes, Sábado","Martes","Miércoles","Martes","Viernes","Jueves"
"8","C","5","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","45","8","14","1","3","Martes","Jueves, Viernes","Lunes","Miércoles","Martes","Jueves, Viernes","Jueves, Viernes"
"3","E","8","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","20","0","10","1","2","Sábado","Viernes","Viernes","Lunes","Lunes","Viernes, Sábado","Viernes"
"4","D","6","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","50","5","15","2","5","Lunes, Miércoles, Jueves","Lunes, Miércoles","Lunes","Miércoles","Miércoles","Lunes","Lunes, Miércoles"
"6","B","5","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","15","0","20","1","2","Viernes","Viernes","Lunes","Jueves","Miércoles","Viernes","Viernes"
"9","D","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","85","6","18.00","2","6","Lunes, Martes, Jueves","Lunes, Martes, Viernes","Lunes, Martes, Jueves","Miércoles, Viernes, Sábado","Jueves","Lunes, Martes","Lunes, Martes, Jueves"
"3","E","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","30","0","20","1","3","Martes","Lunes, Martes","Lunes, Martes","Martes","Martes, Jueves","Viernes","Jueves, Sábado"
"6","E","9","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","35","5","15","1","4","Martes, Sábado","Miércoles, Viernes","Lunes","Jueves","Jueves","Sábado","Viernes"
"6","D","8","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","90","10","15","1","2","Sábado","Sábado","Lunes","Miércoles","Lunes","Sábado","Viernes"
"8","B","5","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","10","0","10","1","2","Martes","Martes","Lunes","Jueves","Viernes","Martes","Martes"
"4","E","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","40","0","20","1","7","Jueves, Viernes, Sábado","Lunes, Jueves, Viernes, Sábado","Lunes, Jueves","Miércoles, Viernes","Viernes","Jueves","Martes, Jueves"
"1","D","7","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","45","8","14","1","2","Viernes","Viernes","Lunes, Martes","Miércoles","Lunes","Viernes","Viernes"
"3","E","5","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","180","10","30","1","5","Lunes, Martes, Miércoles, Jueves, Viernes","Asistió todos los días","Lunes, Martes, Viernes","Miércoles, Jueves","Lunes, Martes","Miércoles, Viernes","Martes"
"4","E","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","96","8","12","1","2","Miércoles","Miércoles","Jueves","Jueves","Lunes, Jueves","Martes, Miércoles","Miércoles"
"3","D","5","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","150","10","30","1","3","Lunes, Miércoles, Viernes","Lunes, Martes, Miércoles, Jueves, Viernes","Lunes","Martes, Miércoles, Jueves","Lunes","Jueves","Miércoles"
"3","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","120","12","10","2","3","Lunes","Lunes, Miércoles","Lunes, Martes, Viernes","Viernes","Martes","Miércoles","Lunes, Jueves"
"4","E","6","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","240","4.5","13","1","4","Lunes, Jueves","Lunes, Jueves","Lunes","Martes","Miércoles, Viernes","Jueves","Miércoles"
"3","E","5","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","80","2.5","10","2","3","Lunes, Martes, Miércoles, Sábado","Asistió todos los días","Martes, Jueves","Lunes, Miércoles, Viernes","Martes, Jueves","Miércoles, Viernes","Martes, Viernes"
"2","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","3","0","20","2","8","Lunes, Martes, Miércoles, Jueves","Lunes, Martes, Miércoles, Jueves","Lunes, Viernes","Martes, Miércoles, Jueves","Jueves","Viernes, Sábado","Lunes, Martes, Miércoles, Viernes"
