ID,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,¿Qué carrera estudias?,Actualmente ¿En qué ciclo te encuentras?,"En tu ciclo pasado, ¿Cuál fue tu promedio ponderado?",¿Cuántos años tienes?,¿Cuál es tu estatura? Digite en metros.,¿Cuál es tu peso? Digite en Kg.,¿A qué sexo perteneces?,¿Cuántas horas al día duermes?,¿En que esta basado mayormente tu alimentación diaria?,¿Consumes bebidas alcohólicas?,¿Qué cantidad de agua consumes al día?,¿Cuánto tiempo de distracción tienes diariamente? Considere el tiempo en horas.,Column,¿Practicas algún deporte?,"Si tu respuesta fue sí, ¿Qué deporte practicas con más frecuencia?",Semanalmente. ¿Cuánto tiempo dedicas en practicar este deporte?,¿Cuál fue tu promedio ponderado en el ultimo año de colegio?,¿Con que frecuencia consumes las bebidas alcohólicas?
128,,,anonymous,,Ingeniería Electrónica,2,13,17,1.47,45,Femenino,4,"Golosinas(Galletas, dulces, gaseosas, snacks, etc.",No,1/2 Lt,5,Estoy muy estresado(a),No,,,,
129,,,anonymous,,Ingeniería Industrial,2,16,23,1.6,63,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,1,Estoy muy estresado(a),No,,,,
130,,,anonymous,,Administración y Negocios Digitales,1,,19,1.67,60,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1/2 Lt,5,Poco estresado(a),No,,,16,
131,,,anonymous,,Ingeniería Civil,2,15.05,18,1.5,45,Femenino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,4,Estoy muy estresado(a),No,,,,
132,,,anonymous,,Ingeniería Civil,2,17.85,19,1.66,59,Prefiero no decirlo,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,2,Estoy estresado(a),Si,Fútbol,1 a 2 horas,,
133,,,anonymous,,Ingeniería Ambiental,2,13,18,1.62,71,Femenino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,2,Poco estresado(a),Si,Otros,1 a 2 horas,,
134,,,anonymous,,Ingeniería Mecánica,9,20,22,1.67,64,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1 Lt.,2,Poco estresado(a),Si,Ciclismo,1 a 2 horas,,Poco (Una vez al mes)
135,,,anonymous,,Ingeniería Industrial,2,13,18,1.72,68,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1/2 Lt,2,Poco estresado(a),No,,,,Muy poco ( Una vez en 2 meses)
136,,,anonymous,,Bioingeniería,2,15.42,18,1.54,60,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,1,Estoy estresado(a),No,,,,Reguladamente (Dos veces al mes)
137,,,anonymous,,Ingeniería Industrial,3,13,19,1.69,75,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,2 Lt.,4,Estoy estresado(a),No,,,,Muy poco ( Una vez en 2 meses)
138,,,anonymous,,Bioingeniería,9,19,20,1.67,56,Femenino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1 Lt.,3,Estoy muy estresado(a),Si,Natación,1 a 2 horas,,Muy poco ( Una vez en 2 meses)
139,,,anonymous,,Ingeniería Industrial,2,13,17,1.5,55,Femenino,9,"alimentos con alto contenido de grasa o azúcar(Hamburguesas, Pizzas, etc.)",No,1 Lt.,2,Estoy estresado(a),No,,,,
140,,,anonymous,,Ingeniería Mecatrónica,1,,17,1.58,64,Femenino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,4,Estoy estresado(a),No,,,16,
141,,,anonymous,,Bioingeniería,7,15.6,20,1.82,72,Masculino,5,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,5,Poco estresado(a),Si,Otros,Más de 3 horas,,
142,,,anonymous,,Ingeniería Civil,2,15,18,1.5,68,Femenino,6,leche y otros productos lácteos,No,1 Lt.,2,Estoy muy estresado(a),Si,Otros,1 a 2 horas,,
143,,,anonymous,,Ingeniería Industrial,8,16,23,1.57,56,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1/2 Lt,5,Estoy estresado(a),No,,,,Poco (Una vez al mes)
144,,,anonymous,,Bioingeniería,1,,17,1.64,57,Femenino,7,frutas y verduras,No,1 Lt.,3,Estoy estresado(a),No,,,18,
145,,,anonymous,,Ingeniería Química,1,,17,1.65,58,Femenino,7,frutas y verduras,No,2 Lt.,2,Estoy estresado(a),No,,,18,
146,,,anonymous,,Ingeniería Industrial,3,14.5,18,1.63,67,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,2 Lt.,5,Poco estresado(a),Si,Otros,Más de 3 horas,,Muy poco ( Una vez en 2 meses)
147,,,anonymous,,Ingeniería Industrial,2,14.9,17,1.61,55,Masculino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,2,Poco estresado(a),Si,Otros,Menos de una hora,,Muy poco ( Una vez en 2 meses)
148,,,anonymous,,Bioingeniería,3,13.4,18,1.52,56,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,2,Estoy estresado(a),No,,,,
149,,,anonymous,,Ciencia de la Computación,9,14,22,1.55,58,Femenino,8,"alimentos con alto contenido de grasa o azúcar(Hamburguesas, Pizzas, etc.)",No,1 Lt.,6,Poco estresado(a),No,,,,
150,,,anonymous,,Ingeniería Química,4,12,19,1.58,50,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1/2 Lt,3,Estoy estresado(a),No,,,,
151,,,anonymous,,Bioingeniería,3,15.88,18,1.62,68,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,4,Estoy estresado(a),No,,,,
152,,,anonymous,,Ingeniería Ambiental,5,15,20,1.71,67,Masculino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,5,Poco estresado(a),No,,,,
153,,,anonymous,,Bioingeniería,7,16.25,21,1.65,70,Femenino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,3 Lt.,3,Estoy estresado(a),Si,Voleibol,1 a 2 horas,,Reguladamente (Dos veces al mes)
154,,,anonymous,,Ciencia de la Computación,1,,19,1.7,60,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,3,Poco estresado(a),Si,Baloncesto,Menos de una hora,17,
155,,,anonymous,,Bioingeniería,3,15.5,18,1.7,65,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,2,Estoy estresado(a),No,,,,
156,,,anonymous,,Bioingeniería,2,15,18,1.77,72,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,2,Poco estresado(a),Si,Fútbol,1 a 2 horas,,
157,,,anonymous,,Bioingeniería,10,19,22,1.55,45,Femenino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,4,Estoy estresado(a),Si,Otros,Más de 3 horas,,
158,,,anonymous,,Ingeniería Industrial,9,13.47,22,1.8,85,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,2,Poco estresado(a),No,,,,
159,,,anonymous,,Ciencia de la Computación,3,11,20,1.65,65,Masculino,9,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,2 Lt.,4,Poco estresado(a),Si,Ciclismo,Más de 3 horas,,Reguladamente (Dos veces al mes)
160,,,anonymous,,Ingeniería Mecatrónica,1,,17,1.67,58,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,3 Lt.,3,Estoy estresado(a),Si,Fútbol,1 a 2 horas,16,
161,,,anonymous,,Ingeniería Mecatrónica,1,,19,1.83,86,Masculino,6,leche y otros productos lácteos,Si,1 Lt.,5,Poco estresado(a),No,,,14,Poco (Una vez al mes)
162,,,anonymous,,Bioingeniería,2,17,17,1.63,52.5,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,3,Estoy estresado(a),Si,Voleibol,1 a 2 horas,,
163,,,anonymous,,Ingeniería Electrónica,6,13,23,1.74,71,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,3,Estoy estresado(a),No,,,,
164,,,anonymous,,Ciencia de la Computación,1,,19,1.77,65,Masculino,4,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,2,Estoy estresado(a),No,,,16,
165,,,anonymous,,Ingeniería Civil,2,15,20,1.6,65,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,2,Poco estresado(a),Si,Otros,1 a 2 horas,,
166,,,anonymous,,Ingeniería Mecatrónica,1,,17,1.62,60,Masculino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,2,Poco estresado(a),Si,Otros,1 a 2 horas,18,
167,,,anonymous,,Ingeniería Civil,1,,17,1.58,49,Femenino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,3,Poco estresado(a),No,,,18,
168,,,anonymous,,Ingeniería Química,3,17.4,17,1.7,63,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,2 Lt.,2,Poco estresado(a),Si,Baloncesto,Menos de una hora,,Poco (Una vez al mes)
169,,,anonymous,,Ingeniería Ambiental,4,16.36,19,1.55,55.2,Femenino,7,frutas y verduras,Si,2 Lt.,6,Estoy estresado(a),No,,,,Reguladamente (Dos veces al mes)
170,,,anonymous,,Bioingeniería,1,,17,1.65,70,Prefiero no decirlo,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,2,Estoy muy estresado(a),No,,,17,
171,,,anonymous,,Ingeniería Civil,9,13.45,21,1.72,75,Masculino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,2,Estoy estresado(a),Si,Baloncesto,3 horas,,
172,,,anonymous,,Ingeniería Mecánica,6,14,24,1.8,86,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,2 Lt.,10,Estoy muy estresado(a),Si,Otros,Menos de una hora,,Muy poco ( Una vez en 2 meses)
173,,,anonymous,,Ingeniería Electrónica,8,14,20,1.71,85,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,4,Estoy estresado(a),Si,Fútbol,3 horas,,
174,,,anonymous,,Ingeniería Electrónica,8,14,20,1.71,85,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,4,Estoy estresado(a),Si,Fútbol,3 horas,,
175,,,anonymous,,Ingeniería Ambiental,2,13,17,1.85,68,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,2,Estoy estresado(a),Si,Fútbol,1 a 2 horas,,
176,,,anonymous,,Ingeniería Mecatrónica,5,15.07,19,1.83,94,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,3 Lt.,4,Estoy estresado(a),Si,Otros,3 horas,,Reguladamente (Dos veces al mes)
177,,,anonymous,,Ingeniería Electrónica,7,18.03,20,1.7,33,Masculino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,10,Poco estresado(a),No,,,,
178,,,anonymous,,Ingeniería Mecatrónica,6,13.5,22,1.71,81,Masculino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,2 Lt.,7,Poco estresado(a),Si,Fútbol,Más de 3 horas,,Muy poco ( Una vez en 2 meses)
179,,,anonymous,,Ingeniería Mecatrónica,1,,17,1.7,67.5,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,3,Poco estresado(a),Si,Otros,3 horas,14,
180,,,anonymous,,Ingeniería Industrial,2,17,21,1.52,59,Femenino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1 Lt.,2,Estoy estresado(a),No,,,,Poco (Una vez al mes)
181,,,anonymous,,Ingeniería Electrónica,10,14.32,23,1.78,98,Masculino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,3,Estoy estresado(a),No,,,,
182,,,anonymous,,Ingeniería Industrial,2,14.3,21,1.58,56,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,2,Estoy estresado(a),No,,,,
183,,,anonymous,,Ingeniería Mecatrónica,8,16.7,22,1.76,74,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,2, Nada estresado(a),Si,Otros,Menos de una hora,,
184,,,anonymous,,Ingeniería Industrial,10,18,26,1.6,50,Masculino,5,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,2,Estoy estresado(a),No,,,,
185,,,anonymous,,Ingeniería Mecatrónica,8,14.45,21,1.74,73,Masculino,10,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1 Lt.,4,Poco estresado(a),No,,,,Reguladamente (Dos veces al mes)
186,,,anonymous,,Ciencia de la Computación,5,15.3,19,1.72,61,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1/2 Lt,4,Estoy estresado(a),No,,,,Poco (Una vez al mes)
187,,,anonymous,,Ingeniería Mecatrónica,1,,21,1.68,70,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1 Lt.,2,Poco estresado(a),Si,Tenis,1 a 2 horas,12,Muy poco ( Una vez en 2 meses)
188,,,anonymous,,Ingeniería Mecánica,10,15.2,23,1.65,59,Masculino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,3,Estoy estresado(a),No,,,,
189,,,anonymous,,Ingeniería Industrial,6,18,19,1.57,63.5,Femenino,5,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,2,Estoy estresado(a),No,,,,
190,,,anonymous,,Ingeniería Mecatrónica,2,12,18,1.75,66,Masculino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,3,Poco estresado(a),No,,,,
191,,,anonymous,,Ingeniería Civil,5,18.11,18,1.85,88,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,4,Poco estresado(a),No,,,,
192,,,anonymous,,Ingeniería Mecatrónica,1,,17,1.7,71,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,3,Estoy muy estresado(a),No,,,18,
193,,,anonymous,,Ingeniería Mecatrónica,7,17.4,19,1.8,84,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,2,Poco estresado(a),No,,,,
194,,,anonymous,,Ingeniería Química,3,17.5,19,1.56,60,Femenino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1/2 Lt,2,Poco estresado(a),Si,Otros,3 horas,,
195,,,anonymous,,Ingeniería Mecánica,6,17.5,20,1.7,70,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,2,Estoy estresado(a),Si,Fútbol,1 a 2 horas,,
196,,,anonymous,,Ingeniería Electrónica,6,14,23,1.74,75,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,2,Estoy estresado(a),No,,,,Reguladamente (Dos veces al mes)
197,,,anonymous,,Ingeniería Industrial,1,,17,1.65,63,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,2,Estoy muy estresado(a),No,,,18,
198,,,anonymous,,Ingeniería Civil,4,15,21,1.73,62,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1/2 Lt,1,Poco estresado(a),Si,Fútbol,Menos de una hora,,Poco (Una vez al mes)
199,,,anonymous,,Ingeniería Industrial,5,14,18,1.61,66,Femenino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,5,Estoy estresado(a),Si,Tenis,1 a 2 horas,,
200,,,anonymous,,Ingeniería Electrónica,2,16,21,1.57,48,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,3,Poco estresado(a),No,,,,
201,,,anonymous,,Ingeniería Industrial,1,,17,1.68,74,Masculino,4,"Golosinas(Galletas, dulces, gaseosas, snacks, etc.",No,2 Lt.,3,Estoy muy estresado(a),Si,Fútbol,1 a 2 horas,16,
202,,,anonymous,,Ingeniería Mecatrónica,2,14,21,1.85,85,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,2 Lt.,2,Poco estresado(a),Si,Fútbol,1 a 2 horas,,Poco (Una vez al mes)
203,,,anonymous,,Ingeniería Mecatrónica,8,13.4,22,1.73,65,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,2 Lt.,3,Poco estresado(a),No,,,,Muy poco ( Una vez en 2 meses)
204,,,anonymous,,Ciencia de la Computación,1,,17,1.62,54,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,1,Poco estresado(a),Si,Ciclismo,1 a 2 horas,20,
205,,,anonymous,,Ciencia de Datos,1,,21,1.73,66,Masculino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,3,Poco estresado(a),No,,,14,Poco (Una vez al mes)
206,,,anonymous,,Ingeniería Ambiental,9,15,22,1.58,65,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,2,Estoy estresado(a),Si,Ciclismo,1 a 2 horas,,
207,,,anonymous,,Ingeniería Civil,2,15,18,1,57,Femenino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,4 Lt.,2,Poco estresado(a),No,,,,
208,,,anonymous,,Ingeniería Química,1,,17,1.8,75,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,3,Poco estresado(a),Si,Fútbol,3 horas,18,
209,,,anonymous,,Ingeniería Electrónica,7,18.32,19,1.6,60,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1/2 Lt,5,Estoy estresado(a),No,,,,
210,,,anonymous,,Ingeniería Mecánica,3,15,18,1.79,64,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,2 Lt.,5,Estoy estresado(a),No,,,,Bastante (Una vez a la semana)
211,,,anonymous,,Bioingeniería,3,15,18,1.6,62,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,3 Lt.,7,Estoy muy estresado(a),No,,,,
212,,,anonymous,,Ingeniería Mecatrónica,4,14,20,1.7,73,Masculino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,3,Estoy estresado(a),No,,,,
213,,,anonymous,,Ingeniería de la Energía,10,15,22,1.71,75,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,3 Lt.,3,Estoy estresado(a),Si,Otros,Más de 3 horas,,Reguladamente (Dos veces al mes)
214,,,anonymous,,Ingeniería Ambiental,3,16,19,1.47,50,Femenino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,2 Lt.,3,Poco estresado(a),No,,,,Muy poco ( Una vez en 2 meses)
215,,,anonymous,,Ingeniería Industrial,2,17,19,1.62,59,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,3 Lt.,3,Estoy muy estresado(a),No,,,,
216,,,anonymous,,Ingeniería Ambiental,6,14.76,20,1.63,55,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,5,Poco estresado(a),No,,,,
217,,,anonymous,,Ingeniería Industrial,2,17,20,1.5,49,Femenino,6,leche y otros productos lácteos,No,2 Lt.,2,Estoy muy estresado(a),No,,,,
218,,,anonymous,,Ingeniería Química,7,16.73,19,1.65,57.5,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,4,Estoy estresado(a),Si,Ciclismo,3 horas,,
219,,,anonymous,,Bioingeniería,5,14.2,20,1.58,49,Femenino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,5,Estoy muy estresado(a),No,,,,
220,,,anonymous,,Ingeniería Mecánica,3,16.5,18,1.85,70,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,3 Lt.,3,Poco estresado(a),Si,Otros,Más de 3 horas,,
221,,,anonymous,,Bioingeniería,2,18.35,20,1.55,56,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,3,Estoy muy estresado(a),No,,,,
222,,,anonymous,,Ingeniería de la Energía,8,16,21,1.56,44,Femenino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,2 Lt.,4,Poco estresado(a),Si,Otros,3 horas,,Poco (Una vez al mes)
223,,,anonymous,,Ingeniería Ambiental,2,14,19,1.57,54,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,4,Estoy muy estresado(a),No,,,,Muchísimo (Tres veces a la semana)
224,,,anonymous,,Ingeniería Industrial,10,19,22,1.57,67,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,2 Lt.,2,Estoy estresado(a),No,,,,Bastante (Una vez a la semana)
225,,,anonymous,,Ingeniería Civil,4,16.23,19,1.65,55,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,4 Lt.,4,Poco estresado(a),No,,,,
226,,,anonymous,,Bioingeniería,3,17.7,19,1.72,73,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,1,Estoy estresado(a),Si,Baloncesto,1 a 2 horas,,
227,,,anonymous,,Ingeniería Mecatrónica,4,13.64,19,1.6,63,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,2,Poco estresado(a),No,,,,
228,,,anonymous,,Bioingeniería,5,15.6,19,1.67,68,Femenino,6,frutas y verduras,Si,4 Lt.,4,Estoy estresado(a),Si,Baloncesto,3 horas,,Reguladamente (Dos veces al mes)
229,,,anonymous,,Administración y Negocios Digitales,3,15.26,19,1.71,65,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,5,Estoy estresado(a),No,,,,
230,,,anonymous,,Ingeniería Mecánica,7,14.34,20,1.75,84,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,2 Lt.,4,Estoy estresado(a),Si,Fútbol,1 a 2 horas,,Reguladamente (Dos veces al mes)
231,,,anonymous,,Ciencia de la Computación,1,,19,1.66,65,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,4,Poco estresado(a),No,,,15,
232,,,anonymous,,Ingeniería Industrial,3,12,18,1.84,74,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,2 Lt.,6,Poco estresado(a),Si,Fútbol,1 a 2 horas,,Bastante (Una vez a la semana)
233,,,anonymous,,Ciencia de la Computación,1,,17,1.85,77,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,3 Lt.,5,Poco estresado(a),Si,Baloncesto,3 horas,18.4,Reguladamente (Dos veces al mes)
234,,,anonymous,,Ciencia de la Computación,3,14.01,18,1.65,62,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,4,Estoy estresado(a),Si,Otros,Más de 3 horas,,Reguladamente (Dos veces al mes)
235,,,anonymous,,Ciencia de la Computación,3,15.6,18,1.71,70,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,1,Estoy muy estresado(a),No,,,,
236,,,anonymous,,Ingeniería Industrial,2,16.76,21,1.53,49,Femenino,5,frutas y verduras,No,2 Lt.,1,Poco estresado(a),No,,,,
237,,,anonymous,,Ingeniería Mecánica,1,,20,1.75,78,Masculino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1/2 Lt,4,Estoy estresado(a),No,,,15.4,Reguladamente (Dos veces al mes)
238,,,anonymous,,Ingeniería Mecatrónica,9,16.06,20,1.75,90,Masculino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1 Lt.,2,Poco estresado(a),No,,,,Bastante (Una vez a la semana)
239,,,anonymous,,Ingeniería Industrial,2,13,18,1.56,48,Femenino,6,leche y otros productos lácteos,No,1 Lt.,2,Estoy muy estresado(a),No,,,,
240,,,anonymous,,Ciencia de Datos,1,,18,1.71,64,Masculino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,3 Lt.,6, Nada estresado(a),Si,Fútbol,Más de 3 horas,17,Bastante (Una vez a la semana)
241,,,anonymous,,Ingeniería Mecatrónica,9,13.1,21,1.67,65,Masculino,7,"alimentos con alto contenido de grasa o azúcar(Hamburguesas, Pizzas, etc.)",No,1 Lt.,4,Poco estresado(a),Si,Otros,Menos de una hora,,
242,,,anonymous,,Ingeniería Mecatrónica,3,18.32,23,1.8,90,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,8,Poco estresado(a),No,,,,
243,,,anonymous,,Ingeniería Química,1,,17,1.65,52,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,4,Poco estresado(a),No,,,19,
244,,,anonymous,,Ingeniería Industrial,2,17.58,18,1.5,43.2,Femenino,5,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,2,Estoy muy estresado(a),No,,,,
245,,,anonymous,,Ingeniería Civil,3,15.83,18,1.67,60,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,6,Estoy estresado(a),No,,,,
246,,,anonymous,,Ingeniería Mecatrónica,5,13.94,19,1.6,60,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,3,Poco estresado(a),No,,,,
247,,,anonymous,,Ingeniería Mecatrónica,3,16,18,1.73,55,Masculino,5,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1/2 Lt,5,Estoy estresado(a),No,,,,Reguladamente (Dos veces al mes)
248,,,anonymous,,Ingeniería Industrial,5,0,21,1.7,70,Prefiero no decirlo,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,4,Estoy muy estresado(a),Si,Tenis,3 horas,,
249,,,anonymous,,Ciencia de Datos,4,16.8,19,1.63,68,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,1,Estoy estresado(a),No,,,,
250,,,anonymous,,Ingeniería Civil,5,18,18,1.85,89,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,5,Poco estresado(a),No,,,,
