Edad,Género,Lugar de residencia,Peso antes del confinamiento,Peso después del confinamiento,Convivencia durante el confinamiento,Sentimientos durante el confinamiento,Consumo de frutas y verduras durante el confinamiento,Consumo de carnes rojas durante el confinamiento,Consumo de carnes blancas durante el confinamiento,Consumo de huevos durante el confinamiento,Consumo de lácteos durante el confinamiento,Consumo de pan y cereales durante el confinamiento,Consumo de frutos secos durante el confinamiento,Consumo de suplementos de vitaminas durante el confinamiento,Consumo de bebidas alcohólicas durante el confinamiento,Consumo de bebidas azucarádas durante el confinamiento,Consumo de snacks y dulces durante el confinamiento,Percepción sobre el cambio de alimentación por el confinamiento,Causas del cambio de alimentación durante el confinamiento,Percepcion sobre su alimentación actual,Veces de consumo de alimentos por día,Omisión de comidas,Percepción sobre la mejora de sus habitos alimenticios,Frecuencia de práctica de actividad física antes del confinamiento,Frecuencia de práctica de actividad física después del confinamiento,Estatura antes del confinamiento,Estatura después del confinamiento
20,Masculino,Norte,72.1,73.8,Con familiares,Feliz,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,3,No,Sí,Una vez por semana,Una vez por semana,1.69,1.72
18,Femenino,Sur,59,62.5,Con familiares,Deprimido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,No,NA,Sí,3,No,"No, tengo hábitos alimenticios saludables",2 a 3 dias por semana,No hago ejercicios,1.58,1.6
18,Masculino,Norte,74,64,Con familiares,Tranquilo,Ha aumentado,Se ha mantenido,Se ha mantenido,No consumo,No consumo,No consumo,No consumo,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,4 a 5 dias por semana,2 a 3 dias por semana,1.7,1.73
20,Masculino,Central Sur,65,70,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,Se ha mantenido,No consumo,No consumo,Se ha mantenido,Ha aumentado,Se ha mantenido,No,NA,Sí,4,Sí,Sí,2 a 3 dias por semana,4 a 5 dias por semana,1.77,1.77
19,Masculino,Central Sur,58,65,Con familiares,En unión familiar,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,No consumo,Ha aumentado,No,NA,Sí,4,No,"No, tengo hábitos alimenticios saludables",2 a 3 dias por semana,4 a 5 dias por semana,1.71,1.75
18,Femenino,Central,47,49,Con familiares,Tranquilo,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,No consumo,Ha aumentado,Ha disminuido,Ha disminuido,Sí,Por el ejercicio que hacía antes de la pandemia.,No,2,Sí,Sí,4 a 5 dias por semana,Una vez por semana,1.56,1.56
18,Femenino,Este,56,59,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,No consumo,Ha aumentado,Ha aumentado,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,4 a 5 dias por semana,Una vez por mes,1.61,1.62
19,Femenino,Este,56,54,Con familiares,Estresado,Se ha mantenido,Ha aumentado,Ha disminuido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,No,Sí,No hacía ejercicios,Una vez por semana,1.5,1.52
18,Masculino,Central,74,69,Con familiares,Estresado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,5,No,Sí,4 a 5 dias por semana,Diario,1.75,1.8
22,Masculino,Este,55,57,Con familiares,Feliz,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Sí,Porque en las tiendas o supermercados no encontraba los productos que quería consumir.,Sí,5,No,Sí,Diario,Diario,1.66,1.65
20,Masculino,Central,85.5,71.2,Con familiares,Estresado,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,6,No,Sí,No hacía ejercicios,6 dias por semana,1.65,1.68
20,Masculino,Este,75.4,80.2,Con familiares,Relajado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,Ha disminuido,Ha aumentado,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,3,Sí,Sí,2 a 3 dias por semana,2 a 3 dias por semana,1.7,1.73
20,Masculino,Central Sur,62,67,Con familiares,Estresado,Ha disminuido,Ha disminuido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,No consumo,Ha aumentado,Ha aumentado,Sí,Por el alza de precio de los productos alimenticios.,No,3,No,Sí,2 a 3 dias por semana,2 a 3 dias por semana,1.65,1.7
20,Masculino,Sur,54,56,Con familiares,Tranquilo,Ha aumentado,Ha disminuido,Se ha mantenido,Se ha mantenido,No consumo,Se ha mantenido,No consumo,Se ha mantenido,Ha disminuido,Ha aumentado,Ha aumentado,No,Porque en las tiendas o supermercados no encontraba los productos que quería consumir.,Sí,3,Sí,Sí,2 a 3 dias por semana,Una vez por semana,1.7,1.7
20,Masculino,Central,75.6,89,Con familiares,Estresado,Se ha mantenido,Ha disminuido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Ha aumentado,Ha disminuido,No consumo,Ha aumentado,Sí,Porque estaba enfermo y tenía que evitar el consumo de ciertos productos.,Sí,4,Sí,Sí,4 a 5 dias por semana,Diario,1.78,1.8
19,Masculino,Provincia,55.5,58.5,Con familiares,Triste,No consumo,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,2,Sí,Sí,No hacía ejercicios,No hago ejercicios,1.72,1.75
20,Masculino,Norte,71,83,Con familiares,Estresado,Ha disminuido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,6,No,"No, me va a costar demasiado",Una vez por mes,No hago ejercicios,1.85,1.85
19,Femenino,Provincia,65.2,55.6,Con familiares,Tranquilo,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha disminuido,No consumo,No consumo,Ha aumentado,Ha disminuido,Ha disminuido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,2,Sí,Sí,No hacía ejercicios,4 a 5 dias por semana,1.55,1.55
18,Masculino,Sur,71,78,Con familiares,Deprimido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,Ha aumentado,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,6,No,Sí,Una vez por semana,2 a 3 dias por semana,1.73,1.75
18,Masculino,Sur,74.4,76.3,Con familiares,Tranquilo,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,No,NA,No,3,No,"No, me va a costar demasiado",2 a 3 dias por semana,2 a 3 dias por semana,1.72,1.76
18,Masculino,Central Sur,70,80,Con amigos,Estresado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Sí,Porque estaba enfermo y tenía que evitar el consumo de ciertos productos.,No,4,No,Sí,2 a 3 dias por semana,Una vez por semana,1.73,1.75
18,Masculino,Norte,102.6,89.2,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,No consumo,No consumo,Se ha mantenido,Ha disminuido,No,NA,Sí,4,Sí,Sí,4 a 5 dias por semana,Diario,1.75,1.78
18,Masculino,Sur,65,59,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Se ha mantenido,No consumo,No consumo,Ha aumentado,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",Sí,3,No,Sí,4 a 5 dias por semana,Diario,1.72,1.74
18,Masculino,Central Sur,72,68,Con familiares,Tranquilo,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No,NA,Sí,3,No,Sí,Una vez por mes,No hago ejercicios,1.65,1.65
18,Femenino,Este,49,50,Con familiares,Ansioso,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No,NA,No,3,Sí,Sí,Una vez por semana,No hago ejercicios,1.65,1.65
18,Femenino,Este,52.3,50.2,Con familiares,Estresado,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,Ha disminuido,Ha aumentado,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,2,Sí,Sí,4 a 5 dias por semana,Una vez por mes,1.48,1.52
18,Masculino,Este,64,64,Con familiares,En unión familiar,Ha aumentado,Ha disminuido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,Se ha mantenido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,Diario,2 a 3 dias por semana,1.74,1.76
18,Femenino,Este,50,52.3,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,Ha aumentado,Se ha mantenido,No consumo,Se ha mantenido,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",Sí,4,No,Sí,Una vez por semana,2 a 3 dias por semana,1.56,1.56
18,Femenino,Norte,60,80,Con familiares,Deprimido,Se ha mantenido,Ha disminuido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,5,Sí,"No, me va a costar demasiado",No hacía ejercicios,No hago ejercicios,1.56,1.6
19,Masculino,Este,68,69,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,No,3,Sí,Sí,2 a 3 dias por semana,4 a 5 dias por semana,1.78,1.8
18,Masculino,Este,57,73,Con familiares,Deprimido,Se ha mantenido,No consumo,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,Ha disminuido,No consumo,Ha disminuido,Se ha mantenido,Sí,Por el alza de precio de los productos alimenticios.,No,3,No,Sí,2 a 3 dias por semana,Una vez por semana,1.68,1.7
25,Masculino,Provincia,55.6,54.2,Con familiares,Estresado,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha aumentado,Ha aumentado,Ha disminuido,Se ha mantenido,No consumo,Ha disminuido,Se ha mantenido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,3,No,Sí,Una vez por semana,2 a 3 dias por semana,1.69,1.69
26,Masculino,Central Sur,78,72,Con familiares,Tranquilo,Se ha mantenido,Ha disminuido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,No,Sí,4 a 5 dias por semana,2 a 3 dias por semana,1.74,1.74
18,Masculino,Norte,68,78.4,Con familiares,Estresado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,Ha aumentado,Ha disminuido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,6,No,Sí,2 a 3 dias por semana,Una vez por mes,1.65,1.76
20,Masculino,Sur,75,100,Con familiares,Tranquilo,Ha disminuido,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,5,No,"No, tengo hábitos alimenticios saludables",Una vez por mes,Una vez por mes,1.75,1.76
22,Femenino,Central Sur,56,52,Con familiares,Relajado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,No consumo,No consumo,No consumo,No consumo,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,4,Sí,Sí,Una vez por mes,2 a 3 dias por semana,1.5,1.5
20,Femenino,Central Sur,54.2,54,Con familiares,Estresado,Ha aumentado,Ha disminuido,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,Ha disminuido,No consumo,No consumo,Ha disminuido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,Sí,Sí,Una vez por semana,Una vez por semana,1.55,1.58
18,Femenino,Central Sur,50.3,62.8,Solo,Deprimido,Ha disminuido,Ha disminuido,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque estaba enfermo y tenía que evitar el consumo de ciertos productos.,No,2,Sí,"No, me va a costar demasiado",Una vez por mes,No hago ejercicios,1.47,1.48
20,Femenino,Norte,58,53,Con familiares,En unión familiar,Se ha mantenido,Ha disminuido,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,Ha disminuido,Ha disminuido,Se ha mantenido,Ha aumentado,Se ha mantenido,Sí,Por el alza de precio de los productos alimenticios.,No,2,Sí,Sí,No hacía ejercicios,No hago ejercicios,1.56,1.56
18,Masculino,Norte,80,75,Con familiares,En unión familiar,Ha aumentado,Se ha mantenido,No consumo,Ha aumentado,Ha aumentado,No consumo,Ha aumentado,Ha aumentado,No consumo,No consumo,No consumo,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,Sí,Sí,Diario,4 a 5 dias por semana,1.65,1.72
18,Femenino,Central Sur,48,50,Con familiares,En unión familiar,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,No consumo,Se ha mantenido,Se ha mantenido,No,NA,No,3,Sí,Sí,2 a 3 dias por semana,Una vez por semana,1.53,1.55
19,Femenino,Central Sur,54,55.4,Con familiares,Deprimido,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,No,"No, me va a costar demasiado",No hacía ejercicios,Una vez por mes,1.62,1.62
21,Masculino,Central Sur,70,73.8,Con familiares,Ansioso,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,No,Sí,Una vez por semana,Una vez por mes,1.73,1.73
18,Femenino,Central,54,55,Con familiares,Deprimido,Se ha mantenido,Ha disminuido,Ha aumentado,Ha disminuido,Ha aumentado,Ha disminuido,Se ha mantenido,No consumo,No consumo,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,No,"No, me va a costar demasiado",No hacía ejercicios,No hago ejercicios,1.6,1.6
22,Masculino,Central Sur,75,80,Con familiares,Tranquilo,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,No consumo,Ha disminuido,Ha aumentado,Ha aumentado,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,4,No,Sí,No hacía ejercicios,2 a 3 dias por semana,1.75,1.75
21,Femenino,Central Sur,50.8,52.1,Con familiares,Estresado,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha aumentado,No consumo,Ha disminuido,Ha disminuido,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,Sí,Sí,Una vez por semana,2 a 3 dias por semana,1.53,1.53
18,Masculino,Central Sur,60,76,Con familiares,Estresado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Se ha mantenido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,5,No,Sí,Una vez por semana,Diario,1.7,1.82
18,Masculino,Central Sur,66,75,Con familiares,Solo,Se ha mantenido,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,No,Sí,4 a 5 dias por semana,2 a 3 dias por semana,1.74,1.76
21,Masculino,Provincia,59,61,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,4,Sí,Sí,Una vez por mes,2 a 3 dias por semana,1.58,1.59
20,Masculino,Provincia,62,63,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,5,Sí,Sí,Una vez por semana,2 a 3 dias por semana,1.58,1.6
20,Masculino,Central Sur,72.5,73.8,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,3,No,Sí,2 a 3 dias por semana,Diario,1.72,1.72
19,Femenino,Este,51,53,Con familiares,Estresado,Ha aumentado,Ha disminuido,Ha aumentado,Ha disminuido,Se ha mantenido,Se ha mantenido,No consumo,No consumo,No consumo,Ha aumentado,Ha aumentado,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,4,No,"No, me va a costar demasiado",Una vez por semana,No hago ejercicios,1.57,1.57
19,Femenino,Norte,57,59,Con familiares,Ansioso,Se ha mantenido,Ha disminuido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,No consumo,No consumo,No consumo,Se ha mantenido,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,3,Sí,"No, me va a costar demasiado",Una vez por semana,Una vez por mes,1.64,1.64
20,Femenino,Central Sur,50,53,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,No consumo,No consumo,Se ha mantenido,Ha aumentado,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,No,"No, me va a costar demasiado",Una vez por mes,No hago ejercicios,1.55,1.55
19,Femenino,Central Sur,52,48,Con familiares,Deprimido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,No consumo,Se ha mantenido,Se ha mantenido,No,NA,Sí,3,No,Sí,2 a 3 dias por semana,Una vez por mes,1.53,1.55
20,Femenino,Este,76,85,Con familiares,Estresado,Se ha mantenido,Ha disminuido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,Se ha mantenido,Ha disminuido,Ha aumentado,Ha aumentado,Sí,Por el alza de precio de los productos alimenticios.,No,3,Sí,Sí,Una vez por mes,Una vez por mes,1.58,1.58
21,Femenino,Central,54.4,55.3,Con familiares,Tranquilo,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,No,NA,No,3,No,Sí,Una vez por semana,Una vez por semana,1.6,1.63
20,Masculino,Este,82,84,Con familiares,Deprimido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,2,Sí,Sí,No hacía ejercicios,4 a 5 dias por semana,1.8,1.85
29,Femenino,Norte,60,63,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,4,Sí,"No, me va a costar demasiado",Diario,No hago ejercicios,1.6,1.6
18,Femenino,Norte,58,63,Con familiares,Ansioso,Ha disminuido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,No consumo,No consumo,Ha aumentado,No consumo,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,Sí,Sí,No hacía ejercicios,No hago ejercicios,1.59,1.6
19,Masculino,Este,65,65,Con amigos,Feliz,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,No consumo,No consumo,Ha aumentado,Sí,Por el alza de precio de los productos alimenticios.,No,7,No,"No, tengo hábitos alimenticios saludables",Una vez por semana,2 a 3 dias por semana,1.71,1.71
21,Masculino,Este,65,58,Solo,Feliz,Ha disminuido,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha aumentado,Ha disminuido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,9,Sí,"No, tengo hábitos alimenticios saludables",Una vez por semana,Una vez por mes,1.72,1.73
20,Masculino,Central,50,47,Con familiares,Estresado,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha aumentado,Ha disminuido,Sí,NA,Sí,4,No,Sí,No hacía ejercicios,2 a 3 dias por semana,1.68,1.7
18,Femenino,Central Sur,62,55.8,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,4,No,Sí,Una vez por mes,Una vez por semana,1.64,1.65
19,Femenino,Central Sur,52,54,Con familiares,Deprimido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,Ha aumentado,Ha aumentado,No consumo,No consumo,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",Sí,4,No,Sí,Diario,No hago ejercicios,1.55,1.57
19,Masculino,Central Sur,69,64,Solo,Estresado,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,No consumo,Se ha mantenido,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",Sí,2,Sí,"No, me va a costar demasiado",2 a 3 dias por semana,Una vez por semana,1.75,1.75
22,Masculino,Este,65.4,65.4,Con amigos,Ansioso,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Por el alza de precio de los productos alimenticios.,Sí,4,No,Sí,4 a 5 dias por semana,Una vez por mes,1.6,1.6
21,Masculino,Este,70,75,Con familiares,Feliz,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha aumentado,Ha disminuido,Ha disminuido,Ha aumentado,Ha aumentado,Ha disminuido,Se ha mantenido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,Una vez por semana,2 a 3 dias por semana,1.6,1.62
18,Femenino,Provincia,53.5,55,Con familiares,Deprimido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha aumentado,Ha disminuido,Ha disminuido,No consumo,No consumo,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,4 a 5 dias por semana,2 a 3 dias por semana,1.57,1.6
22,Masculino,Este,75,80,Con familiares,Ansioso,Ha disminuido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,No,5,Sí,Sí,Una vez por semana,4 a 5 dias por semana,1.62,1.62
20,Masculino,Este,65,67,Con familiares,Deprimido,No consumo,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,2,Sí,Sí,2 a 3 dias por semana,2 a 3 dias por semana,1.63,1.64
