CLIENTE,PROYECTO,PISOS,ETAPA DE LA EDIFICACIÓN,SÓTANOS,DIRECCION DE LA OBRA,TIPO DE EDIFICACIÓN,INGRESO,DISTRITO,APROBACION,ÁREA DEL EDIFICIO,CANTIDAD DE DETECTORES DE TEMPERATURA,DEPARTAMENTOS POR PISO,CANTIDAD DE DETECTORES DE HUMO
EDIFICA / PRODUKTIVA,"Artline (30 de Junio - 2024)


",12,ETAPA DE PLANOS,4,República de Colombia 791 of. 702 - San Isidro,Residencial,30000,San Isidro,SI,690,307,5,72
EDIFICA / PRODUKTIVA,"Sevilla(15 de Noviembre - 2023)


",12,ETAPA DE PLANOS,3,República de Colombia 791 of. 702 - San Isidro,Residencial,30000,San Isidro,SI,448,149,7,96
EDIFICA / PRODUKTIVA,Atelier (20 de Diciembre - 2023),18,ETAPA DE PLANOS,6,República de Colombia 791 of. 702 - San Isidro,Residencial,45000,San Isidro,SI,608,405,8,162
EDIFICA / PRODUKTIVA,The Sight (30 de Junio - 2025),31,ETAPA DE PLANOS,7,República de Colombia 791 of. 702 - San Isidro,Residencial,77500,San Isidro,SI,1536,1195,12,403
INICIATIVA INMOBILIARIA / GL CONSTRUCTORES,EDIFICIO EN CHABRIER  - San Isidro - dice iniciativa inmobiliaria en el letrero y GL Constructores,10,ETAPA DE CONSTRUCCIÓN,3,Calle El Rocio 363 - Urb Higuereta - Surco  448-3798 y 448-3799,Residencial,25000,Surco,SI,2400,800,15,160
Sembra Inmobiliaria,"Oficinas


",19,ETAPA DE PLANOS,5,Av. Caminos del Inca 228 - Santiago de Surco 15038,Oficina,47500,Surco,SI,1460,811,10,209
Sembra Inmobiliaria,"Piknik Park (30 de Abril - 2024)


",21,ETAPA DE PLANOS,7,Av. Paseo de la Republica 5613 - Miraflores,Residencial,52500,Miraflores,SI,840,653,7,168
Sembra Inmobiliaria,"Velero (30 de Enero - 2024)


",22,ETAPA DE PLANOS,7,Calle El Velero 150 - Surco,Residencial,55000,Surco,SI,700,544,7,176
Sembra Inmobiliaria,"Simón (30 de Abril - 2024)


",8,ETAPA DE PLANOS,3,Av. Simón Bolivar 1455 - Pueblo Libre,Residencial,20000,Pueblo Libre,SI,340,113,5,8
Sembra Inmobiliaria,INIZZIO (30 de Abril - 2024),32,ETAPA DE PLANOS,7,Av. Caminos del Inca 236 - Surco,Residencial,80000,Surco,SI,960,747,12,416
ENACORP,Tiene 3 proyectos entregados,27,ETAPA DE PLANOS,7,Av. Pardo 231 Of. 502 Miraflores.,Residencial,67500,Miraflores,SI,990,770,11,324
Evergran Grupo Inmobiliario,"Roof Garden Barrenechea (31 de Diciembre - 2024)


",20,ETAPA DE PLANOS,5,Primavera con Galvez Barrenechea,Residencial,50000,Miraflores,SI,1386,770,9,200
Evergran Grupo Inmobiliario,"Parque Pacasmayo (31 de Marzo - 2025)


",34,ETAPA DE PLANOS,7,"AV. JAVIER PRADO ESTE NRO. 419 INT. 101 URB. CLUB GOLF LOS INCAS





",Residencial,85000,San Isidro,SI,810,630,9,340
Evergran Grupo Inmobiliario,"SB NORTE 1189 (31 de Diciembre - 2023)


",16,ETAPA DE PLANOS,5,"AV. JAVIER PRADO ESTE NRO. 419 INT. 101 URB. CLUB GOLF LOS INCAS





",Residencial,40000,San Isidro,SI,476,264,7,128
Evergran Grupo Inmobiliario,BRASIL 3395 (30 de Noviembre - 2023),13,ETAPA DE PLANOS,4,"AV. JAVIER PRADO ESTE NRO. 419 INT. 101 URB. CLUB GOLF LOS INCAS





",Residencial,32500,San Isidro,SI,490,218,7,104
COSAPI,MUVIN,8,ETAPA DE PLANOS,3,Av República de Colombia  N° 791 - San Isidro 15046,Residencial,20000,San Isidro,SI,318,106,3,8
COSAPI,MOMEN (Lanzamiento) - Av Aguarico 1250 Breña -  Proyecto de Gerpal,14,ETAPA DE PLANOS,5,Av República de Colombia  N° 791 - San Isidro 15046,Residencial,35000,San Isidro,SI,658,366,7,112
COSAPI,ATIVA (Preventa) - Av. El Derby 160 -Surco - Proyecto de GERPAL,15,ETAPA DE PLANOS,5,Av República de Colombia  N° 791 - San Isidro 15046,Residencial,37500,San Isidro,SI,832,462,8,135
BRAZIL GRUPO INMOBILIARIO,"SIENA (30 de Noviembre - 2023)


",16,ETAPA DE PLANOS,5,C. Sinchi Roca 2680 - Lince 15073,Residencial,40000,Lince,SI,792,440,9,160
BRAZIL GRUPO INMOBILIARIO,FARAH (Lanzamiento),14,ETAPA DE PLANOS,4,C. Sinchi Roca 2680 - Lince 15073,Residencial,35000,Lince,SI,1092,485,7,112
ALBAMAR,"EDIFICIO SCALA (30 de Noviembre - 2024)


VIEW 411 (30 de Enero - 2025)


PARQUE HABICH JESÚS MARÍA (30 de Noviembre - 2024)


ALTUARS (30 de Noviembre - 2024)",7,ETAPA DE PLANOS,2,Enrique Palacios 335 ofic. 101,Residencial,17500,Lince,SI,376,84,4,7
QUATRO INMOBILIARIA,COR TOWER (31 de Diciembre - 2024),19,ETAPA DE PLANOS,5,CALLE ALCANFORES 142 OFICINA 401 - MIRAFLORES,Residencial,47500,Miraflores,SI,1280,711,10,209
ANTARES CONTRATISTAS S.A,EDIFICIO LAS DALIAS (30 de Abril - 2024),27,ETAPA DE CONSTRUCCIÓN,7,"Calle Monte Rosa 255 Of. 1003





Santiago de Surco",Residencial,67500,Miraflores,SI,1326,1031,13,378
CONFORTA,"The Met - Calle San Martín 885 Miraflores (31 enero 2024)


Etherna - Pedro Cordova 117 y 129  Vista Alegre - Santiago De Surco (Dic 2023)",7,ETAPA DE PLANOS,2,"Centro empresarial ""Nuevo - C. Los Antares 320 - Santiago de Surco


",Residencial,17500,Surco,SI,402,89,3,7
Ulix Internacional SAC,Edificio Ulix,15,ETAPA DE CONSTRUCCIÓN,4,El edificio queda en Av Del Ejercito con Toribio Pacheco,Residencial,37500,Surco,SI,780,347,5,90
Galeon,Jorge Chavez 300,16,ETAPA DE PLANOS,4,Jorge Chavez 300 - Miraflores,Residencial,40000,Miraflores,SI,1040,462,8,144
ARTECO,"Linkce (01 de Octubre - 2023)


",14,ETAPA DE PLANOS,5,Av. Manuel Olguín 501 - Santiago de Surco 15023,Residencial,35000,Surco,SI,630,350,7,112
ARTECO,"Astoria (01 de Diciembre - 2023)


",11,ETAPA DE PLANOS,4,Av. Manuel Olguín 501 - Santiago de Surco 15023,Residencial,27500,Surco,SI,640,284,8,99
ARTECO,Midtown (31 de Julio - 2024),22,ETAPA DE PLANOS,7,Av. Manuel Olguín 501 - Santiago de Surco 15023,Residencial,55000,Surco,SI,600,467,10,242
MADRID,ZOOM - Preventa,9,ETAPA DE CONSTRUCCIÓN,3,Calle La Habana 160 - San Isidro,Residencial,22500,San Isidro,SI,640,213,5,9
MADRID,"BALANCE - SURCO


",7,ETAPA DE CONSTRUCCIÓN,2,"Jirón Tinajones N° 181   Of. 101 - Santiago de Surco


",Residencial,17500,Surco,SI,318,71,3,7
CISSAC,Alameda las Gaviotas III (29 de Febrero - 2024),31,ETAPA DE PLANOS,7,Av. Encalada 1010 Of.803 - Santiago de Surco.,Residencial,77500,Surco,SI,1276,992,11,372
CISSAC,"Del Parque Centro II (31 de Diciembre - 2024)


",24,ETAPA DE PLANOS,7,Av. Encalada 1010 Of.803 - Santiago de Surco.,Residencial,60000,Surco,SI,384,299,6,168
CISSAC,CasaParq Monterrico II (31 de Diciembre - 2024),23,ETAPA DE PLANOS,7,Av. Encalada 1010 Of.803 - Santiago de Surco.,Residencial,57500,Surco,SI,1072,834,8,207
INVENT,Invent Tirado (29 de Febrero - 2024),13,ETAPA DE PLANOS,4,Av. Alejandro Tirado 629 Santa Beatriz,Residencial,32500,Jesús Maria,SI,544,242,8,117
INVENT,Invent Cuba (29 de Febrero - 2024),16,ETAPA DE PLANOS,4,Av Cuba 1142 Jesus Maria,Residencial,40000,Jesús Maria,SI,1540,684,10,176
INVENT,PATRIA (30 de Julio - 2024),34,ETAPA DE PLANOS,7,Carlos Arrieta 380 - Barranco,Residencial,85000,Barranco,SI,816,635,12,442
INVENT,INFLUENCER (30 de Mayo - 2025),13,ETAPA DE PLANOS,4,Inca Ripac 128 - Jesús María,Residencial,32500,Jesús Maria,SI,470,209,5,78
INVENT,Invent Jesús María (30 de Noviembre - 2023),15,ETAPA DE PLANOS,4,Av. Talara 765  Jesus María,Residencial,37500,Jesús Maria,SI,756,336,6,105
INVENT,Invent Juan de Aliaga (30 de Noviembre - 2023),17,ETAPA DE PLANOS,4,Av. Juan de Aliaga 435 Magdalena,Residencial,42500,Magdalena,SI,1248,555,8,153
INVENT,Invent Chorrillos (30 de Noviembre - 2023) - Calle José Olaya 225,15,ETAPA DE PLANOS,4,Av. José Olaya 225 Chorrillos,Residencial,37500,Chorrillos,SI,588,261,7,120
INVENT,LEGADO (31 de Julio - 2025),21,ETAPA DE PLANOS,5,Av San Felipe 787 Jesus Maria,Residencial,52500,Jesús Maria,SI,686,381,7,168
CAPAC ASOCIADOS,Independencia  Chorrillos,26,ETAPA DE PLANOS,6,Av. Camino Real 348 - San Isidro 15073,Residencial,65000,San Isidro,SI,1496,997,11,312
CAPAC ASOCIADOS,"Parque Escardó 


(30 de Septiembre - 2024)


",16,ETAPA DE PLANOS,5,Av. Camino Real 348 - San Isidro 15073,Residencial,40000,San Isidro,SI,616,342,7,128
CAPAC ASOCIADOS,"Hype 


(30 de Junio - 2026)


",31,ETAPA DE PLANOS,7,Av. Camino Real 348 - San Isidro 15073,Residencial,77500,San Isidro,SI,600,467,10,341
CAPAC ASOCIADOS,"Celeste 


(31 de Julio - 2024)",27,ETAPA DE PLANOS,7,Av. Camino Real 348 - San Isidro 15073,Residencial,67500,San Isidro,SI,726,565,11,324
CAPAC ASOCIADOS,"URBAN 


(31 de Diciembre - 2024)


",18,ETAPA DE PLANOS,4,Av. Camino Real 348 - San Isidro 15073,Residencial,45000,San Isidro,SI,936,416,6,126
CAPAC ASOCIADOS,"Lune 


(31 de Julio - 2024)


",9,ETAPA DE PLANOS,3,Av. Camino Real 348 - San Isidro 15073,Residencial,22500,San Isidro,SI,390,130,3,9
CAPAC ASOCIADOS,"MANTRA 


(30 de Marzo - 2024)


",15,ETAPA DE PLANOS,4,Av. Camino Real 348 - San Isidro 15073,Residencial,37500,San Isidro,SI,728,324,7,120
CAPAC ASOCIADOS,"Libertad 


(30 de Noviembre - 2024) 


",32,ETAPA DE PLANOS,7,Av. Camino Real 348 - San Isidro 15073,Residencial,80000,San Isidro,SI,1716,1335,11,384
CAPAC ASOCIADOS,"Inclan 383 


(31 de Diciembre - 2023)


",25,ETAPA DE PLANOS,7,Av. Camino Real 348 - San Isidro 15073,Residencial,62500,San Isidro,SI,1134,882,9,250
CAPAC ASOCIADOS,"Contisuyo 


(31 de Mayo - 2024)",8,ETAPA DE PLANOS,2,Av. Camino Real 348 - San Isidro 15073,Residencial,20000,San Isidro,SI,402,89,3,8
GRUPO CARAL,"Nerea (31 de Mayo - 2025)


",15,ETAPA DE PLANOS,4,"D Calle Choquehuanca 575 - Of. 301 - San Isidro


",Residencial,37500,San Isidro,SI,588,261,7,120
GRUPO CARAL,Villa Mar 131,15,ETAPA DE CONSTRUCCIÓN,4,Javier Prado Oeste 757 - Oficina 101 - San Felipe,Residencial,37500,Magdalena,SI,744,331,6,105
GRUPO CARAL,Villa Velarde (30 de Enero - 2025),15,ETAPA DE CONSTRUCCIÓN,4,Javier Prado Oeste 757 - Oficina 101 - San Felipe,Residencial,37500,Magdalena,SI,544,242,8,135
GRUPO CARAL,"Verah 2 (31 de Marzo - 2024)


",9,ETAPA DE CONSTRUCCIÓN,3,Javier Prado Oeste 757 - Oficina 101 - San Felipe,Residencial,22500,Magdalena,SI,306,102,3,9
GRUPO CARAL,"Verah 3 (31 de Marzo - 2024)


",9,ETAPA DE CONSTRUCCIÓN,2,Javier Prado Oeste 757 - Oficina 101 - San Felipe,Residencial,22500,Magdalena,SI,700,156,5,9
GRUPO CARAL,"Valente 2 (30 de Noviembre - 2023)


",18,ETAPA DE CONSTRUCCIÓN,6,Javier Prado Oeste 757 - Oficina 101 - San Felipe,Residencial,45000,Magdalena,SI,434,289,7,144
GRUPO CARAL,"Villa Convivium 2 (30 de Abril - 2024)


",14,ETAPA DE PLANOS,5,Javier Prado Oeste 757 - Oficina 101 - San Felipe,Residencial,35000,Magdalena,SI,420,233,6,98
GRUPO CARAL,PROYECTO REAL 6,8,ETAPA DE PLANOS,3,Javier Prado Oeste 757 - Oficina 101 - San Felipe,Residencial,20000,Magdalena,SI,360,120,4,8
Oficina,NIUS (31 de Julio - 2024),27,ETAPA DE CONSTRUCCIÓN,7,AV. JAVIER PRADO OESTE 769 - SAN ISIDRO - LIMA ,Residencial,67500,San Isidro,SI,1368,1064,12,351
Oficina,"Bertolotto - Etapa IV (31 de Diciembre - 2024)


",23,ETAPA DE PLANOS,7,AV. JAVIER PRADO OESTE 769 - SAN ISIDRO - LIMA ,Residencial,57500,San Isidro,SI,1200,933,10,253
Oficina,"Bertolotto - Etapa III (31 de Marzo - 2024)


",10,ETAPA DE PLANOS,3,AV. JAVIER PRADO OESTE 769 - SAN ISIDRO - LIMA ,Residencial,25000,San Isidro,SI,1290,430,15,160
Oficina,"MANDRA (31 de Julio - 2024)


",15,ETAPA DE PLANOS,5,AV. JAVIER PRADO OESTE 769 - SAN ISIDRO - LIMA ,Residencial,37500,San Isidro,SI,600,333,5,90
Oficina,"HAUZ (30 de Junio - 2024)


",14,ETAPA DE PLANOS,4,AV. JAVIER PRADO OESTE 769 - SAN ISIDRO - LIMA ,Residencial,35000,San Isidro,SI,816,363,6,98
Oficina,"IQ SURCO OFICINAS (30 de Junio - 2024)


",22,ETAPA DE PLANOS,6,AV. JAVIER PRADO OESTE 769 - SAN ISIDRO - LIMA ,Residencial,55000,San Isidro,SI,936,624,9,220
Oficina,"Tree San Isidro (31 de Diciembre - 2025)


",23,ETAPA DE PLANOS,6,AV. JAVIER PRADO OESTE 769 - SAN ISIDRO - LIMA ,Residencial,57500,San Isidro,SI,900,600,6,161
Oficina,"COSTANERA 29 (31 de Agosto - 2024)


",18,ETAPA DE PLANOS,6,AV. JAVIER PRADO OESTE 769 - SAN ISIDRO - LIMA ,Residencial,45000,San Isidro,SI,630,420,9,180
Oficina,"VALLEJO LIVING (31 de Marzo - 2025)


",11,ETAPA DE PLANOS,3,AV. JAVIER PRADO OESTE 769 - SAN ISIDRO - LIMA ,Residencial,27500,San Isidro,SI,888,296,6,77
HPC Inmobiliaria,"ON APARTMENTS - Etapa 2 (30 de Noviembre - 2023)





",27,ETAPA DE PLANOS,7,"Av. Angamos Este  N° 1555 - Tda. 02


Urb. Casa Huerta - Surquillo",Residencial,67500,Surquillo,SI,1008,784,12,351
HPC Inmobiliaria,"Zoe Urban Apartments - Etapa 2 (28 de Febrero - 2024)


",20,ETAPA DE PLANOS,5,"Av. Angamos Este  N° 1555 - Tda. 02


Urb. Casa Huerta - Surquillo",Residencial,50000,Surquillo,SI,1296,720,9,200
CANTABRIA,Duetto 846 (31 de Julio - 2024),10,ETAPA DE PLANOS,3,Av. Prol. Iquitos 2501 - Lince 15046,Residencial,25000,Lince,SI,1960,653,14,150
CANTABRIA,AMME (30 de Septiembre - 2024),20,ETAPA DE PLANOS,7,Av. Prol. Iquitos 2501 - Lince 15046,Residencial,50000,Lince,SI,900,700,9,200
CANTABRIA,"Etrea (30 de Noviembre - 2023)


",17,ETAPA DE PLANOS,6,Av. Prol. Iquitos 2501 - Lince 15046,Residencial,42500,Lince,SI,1264,843,8,153
CANTABRIA,Thu (31 de Marzo - 2024),28,ETAPA DE PLANOS,7,Av. Prol. Iquitos 2501 - Lince 15046,Residencial,70000,Lince,SI,832,647,8,252
CANTABRIA,DUETTO 846 - FASE 2 (30 de Abril - 2025),31,ETAPA DE PLANOS,7,Av. Prol. Iquitos 2501 - Lince 15046,Residencial,77500,Lince,SI,1230,957,15,496
GRUPO INMOBILIARIO S&M SAC,VERONA en LINCE (Lanzamiento),31,ETAPA DE PLANOS,7,Rokovich 136 Magdalena,Residencial,77500,Magdalena,SI,1694,1318,11,372
GRUPO INMOBILIARIO S&M SAC,GIARDINI (San Borja (pre venta),33,ETAPA DE PLANOS,7,Rokovich 136 Magdalena,Residencial,82500,Magdalena,SI,1274,991,13,462
GRUPO INMOBILIARIO S&M SAC,VENEZIA,31,ETAPA DE PLANOS,7,Rokovich 136 Magdalena,Residencial,77500,Magdalena,SI,1608,1251,12,403
GRUPO INMOBILIARIO S&M SAC,MILANO (Pueblo Libre) Construccion,27,ETAPA DE PLANOS,7,Rokovich 136 Magdalena,Residencial,67500,Magdalena,SI,702,546,9,270
Constructora Titan,CASIMIRO ULLOA 227 MIRAFLORES - EN CONSTRUCCION,30,ETAPA DE PLANOS,7,Av. Velasco Astete 2123 - Surco - Lima,Residencial,75000,Surco,SI,1430,1112,13,420
FUNDAMENTA,"ECO STYLE (30 de Abril - 2025)


",25,ETAPA DE PLANOS,7,Av. Javier Prado Oeste 2361 Magdalena,Residencial,62500,Magdalena,SI,910,708,7,200
FUNDAMENTA,"Basadre 1310 (31 de Octubre - 2024) 


",13,ETAPA DE PLANOS,4,Basadre 1310 San Isidro,Residencial,32500,San Isidro,SI,770,342,5,78
FUNDAMENTA,28 DE JULIO (Averiguar),12,ETAPA DE PLANOS,3,Av. 28 de Julio 639 Miraflores,Residencial,30000,Miraflores,SI,480,160,6,84
PROCITY,"MAR ADRIATICO


",24,ETAPA DE PLANOS,7,Los Tulipanes 147 - of. 1203 - El Polo - Surco,Residencial,60000,Surco,SI,1368,1064,9,240
PROCITY,"MAR D´AMALFI


",31,ETAPA DE PLANOS,7,Los Tulipanes 147 - of. 1203 - El Polo - Surco,Residencial,77500,Surco,SI,928,722,8,279
PROCITY,LIBERTY ONE,32,ETAPA DE PLANOS,7,Los Tulipanes 147 - of. 1203 - El Polo - Surco,Residencial,80000,Surco,SI,1464,1139,12,416
SENDA,"LIB (31 de Agosto - 2024)


",26,ETAPA DE PLANOS,7,Av. Circunvalación del Golf los Inkas 134 - Santiago de Surco 15023,Residencial,65000,Surco,SI,1456,1132,13,364
SENDA,"All San Isidro (30 de Noviembre - 2025)


",14,ETAPA DE PLANOS,5,Av. Circunvalación del Golf los Inkas 134 - Santiago de Surco 15023,Residencial,35000,Surco,SI,684,380,6,98
SENDA,CANAVAL,25,ETAPA DE PLANOS,7,Av. Circunvalación del Golf los Inkas 134 - Santiago de Surco 15023,Residencial,62500,Surco,SI,1100,856,10,275
URBANA PERÚ,"Oficinas


",31,ETAPA DE PLANOS,7,Av. Javier Prado Este N° 488 - Oficina 1102 - Piso 11 San Isidro - Lima   Perú.,Oficina,77500,San Isidro,SI,792,616,11,372
URBANA PERÚ,HIT (30 de Julio - 2025),25,ETAPA DE PLANOS,6,Av. Javier Prado Este 2901 San Borja,Residencial,62500,San Borja,SI,1064,709,7,200
URBANA PERÚ,Gracia (31 de Marzo - 2025),16,ETAPA DE PLANOS,5,Av. Benavides 2543 - Miraflores,Residencial,40000,Miraflores,SI,832,462,8,144
URBANA PERÚ,TEMPO 2 (31 de Diciembre - 2024),34,ETAPA DE PLANOS,7,Av. Paseo de la República 2099 - Santa Catalina,Residencial,85000,Surco,SI,2010,1563,15,544
URBANA PERÚ,"Hope (29 de Febrero - 2024)


",10,ETAPA DE PLANOS,2,Av. Canadá 1075 - Santa Catalina,Residencial,25000,Surco,SI,1422,316,9,100
URBANA PERÚ,S14 Apartments (31 de Octubre - 2024),13,ETAPA DE PLANOS,4,Av. Arequipa 1441 - Santa Beatriz,Residencial,32500,Surco,SI,992,441,8,117
PROCITY,"MAR ADRIATICO


",25,ETAPA DE PLANOS,6,Los Tulipanes 147 - of. 1203 - El Polo - Surco,Residencial,62500,Surco,SI,708,472,6,175
PROCITY,"MAR D´AMALFI


",21,ETAPA DE PLANOS,7,Los Tulipanes 147 - of. 1203 - El Polo - Surco,Residencial,52500,Surco,SI,1184,921,8,189
PROCITY,LIBERTY ONE,29,ETAPA DE PLANOS,7,Los Tulipanes 147 - of. 1203 - El Polo - Surco,Residencial,72500,Surco,SI,992,772,8,261
BESCO,Altos del Rímac - Etapa 5 (30 de Marzo - 2024),8,ETAPA DE PLANOS,2,AV. PASEO DE LA REPUBLICA NRO. 3245 INT. 1101 URB. SAN ISIDRO (EDIFICIO EL SENADOR),Residencial,20000,Surco,SI,640,142,4,8
VOLTERRA,Edificio Schell,11,ETAPA DE CONSTRUCCIÓN,3,Esquina de Schell con Grimaldo del solar,Residencial,27500,Surco,SI,1232,411,8,99
CASAIDEAL INMOBILIARIA,"PRINT (31 de Agosto - 2024)


",32,ETAPA DE PLANOS,7,Av. El Polo Nro. 670 Int. C401 - Santiago de Surco,Residencial,80000,Surco,SI,1020,793,10,352
CASAIDEAL INMOBILIARIA,MIDWAY (31 de Octubre - 2023),30,ETAPA DE PLANOS,7,Av. El Polo Nro. 670 Int. C401 - Santiago de Surco,Residencial,75000,Surco,SI,840,653,10,330
CASAIDEAL INMOBILIARIA,STAY (30 de Septiembre - 2024),33,ETAPA DE PLANOS,7,Av. El Polo Nro. 670 Int. C401 - Santiago de Surco,Residencial,82500,Surco,SI,1032,803,12,429
CASAIDEAL INMOBILIARIA,UNITY (30 de Noviembre - 2023),27,ETAPA DE PLANOS,7,Av. El Polo Nro. 670 Int. C401 - Santiago de Surco,Residencial,67500,Surco,SI,1404,1092,9,270
CIUDARIS,"ZENHAUS (30 de Noviembre - 2023)


Edificio Iconik (31 de Octubre - 2024)


QUARZO (31 de Diciembre - 2024)


",22,ETAPA DE PLANOS,7,Av. La Encalada Nro. 1171 Of. 501 Surco - Lima - Perú,Residencial,55000,Surco,SI,588,457,7,176
GRUPO MG,ALBORADA II (30 de Junio - 2024),11,ETAPA DE PLANOS,4,Av. Aviación 3334 - San Borja 15037,Residencial,27500,San Borja,SI,880,391,8,99
QUALIS INMOBILIA,"Parque Continental (31 de Diciembre - 2024)





",30,ETAPA DE PLANOS,7,Calle Recavarren 111 - Oficina 304 Miraflores,Residencial,75000,Miraflores,SI,1704,1325,12,390
QUALIS INMOBILIA,Parque Las Orquídeas (31 de Mayo - 2024),21,ETAPA DE PLANOS,5,Calle Recavarren 111 - Oficina 304 Miraflores,Residencial,52500,Miraflores,SI,784,436,8,189
QUALIS INMOBILIA,Alameda Jaime Herrera (30 de Diciembre - 2023),28,ETAPA DE PLANOS,7,Calle Recavarren 111 - Oficina 304 Miraflores,Residencial,70000,Miraflores,SI,1512,1176,12,364
INARCO,"HENKO (30 de Septiembre - 2024)


",14,ETAPA DE PLANOS,5,Av. La Molina 140 - Ate 15023,Residencial,35000,Ate,SI,576,320,6,98
INARCO,MAZ (31 de Julio - 2024),27,ETAPA DE PLANOS,7,Av. La Molina 140 - Ate 15023,Residencial,67500,Ate,SI,480,373,8,243
INARCO,SONHOS (30 de Diciembre - 2024),9,ETAPA DE PLANOS,2,Av. La Molina 140 - Ate 15023,Residencial,22500,Ate,SI,320,71,5,9
INHOUSE,"TOP 818 (31 de Julio - 2024)


",15,ETAPA DE PLANOS,5,Av. José Pardo 434 102 - Miraflores 15074,Residencial,37500,Miraflores,SI,576,320,8,135
INHOUSE,Montpellier (31 de Octubre - 2024),29,ETAPA DE PLANOS,7,Av. José Pardo 434 102 - Miraflores 15074,Residencial,72500,Miraflores,SI,1134,882,9,290
INHOUSE,Galicia (13 de Junio - 2024),26,ETAPA DE PLANOS,7,Av. José Pardo 434 102 - Miraflores 15074,Residencial,65000,Miraflores,SI,1452,1129,11,312
Imagina,"Alto Alborada (01 de Marzo - 2025)


Concepto Style (01 de Agosto - 2025)


Alto Bellavista (01 de Diciembre - 2024)


Concepto Urban Park - Etapa II (30 de Junio - 2024)


Concepto High Living (30 de Junio - 2024)",14,ETAPA DE PLANOS,5,Av. Óscar R Benavides 5082,Residencial,35000,Miraflores,SI,564,313,6,98
Recedico,NO TIENE PROYECTOS ACTIVOS,10,ETAPA DE PLANOS,2,Jirón Batalla De San Juan 158 - Santiago de Surco - Lima 33 Perú,Residencial,25000,Surco,SI,1568,348,14,150
GRUPO CYGNUS,Edificio Mariategui (31 de Octubre - 2023),10,ETAPA DE PLANOS,3,Jr. Cantuarias  N°152-160 Of. 503 - 504 - Miraflores,Residencial,25000,Miraflores,SI,1484,495,14,150
GRUPO SOL,Belisario 967 (30 de Septiembre - 2024),26,ETAPA DE PLANOS,7,Av. república de Panamá 3461 oficina 1201   San Isidro,Residencial,65000,San Isidro,SI,1248,971,13,364
EDIFICACIONES INMOBILIARIAS,"MORADIA (28 de Febrero - 2025)


VERDI (31 de Enero - 2024)


Ãƒâ€šVIDA - TORRE B (31 de Octubre - 2024)


MODENA (31 de Enero - 2024)",22,ETAPA DE PLANOS,6,Ca. Enrique Palacios 423 - Miraflores 15074,Residencial,55000,Miraflores,SI,994,663,7,176
MY HOME,SBS 1155 (31 de Diciembre - 2023),33,ETAPA DE PLANOS,7,Calle horacio cachay 125 - oficina 301 - la victoria,Residencial,82500,La Victoria,SI,1512,1176,12,429
HPC Inmobiliaria,"ON APARTMENTS - Etapa 2 (30 de Noviembre - 2023)





",18,ETAPA DE PLANOS,4,"Av. Angamos Este  N° 1555 - Tda. 02


Urb. Casa Huerta - Surquillo",Residencial,45000,Surquillo,SI,480,213,6,126
Urbalima,"TRIVENTO (03 de Junio - 2024)


VISUM (25 de Diciembre - 2025)


INSPIRIA (31 de Marzo - 2025)


SOLARIS (31 de Diciembre - 2023)",29,ETAPA DE PLANOS,7,Castilla 443 - Magdalena del Mar 15086,Residencial,72500,Magdalena,SI,1340,1042,10,319
TORATTO GRUPO INMOBILIARIO,LOMBARDIA (31 de Agosto - 2024),11,ETAPA DE PLANOS,4,Jr Jirón - Jr. Manuel Villavicencio 1452 - Lima 15072,Residencial,27500,Magdalena,SI,550,244,5,66
DANFRA INMOBILIARIA,"Vital (29 de Febrero - 2024)


FILIN (30 de Junio - 2024)",20,ETAPA DE PLANOS,5,Av. Javier Prado Este 4473 - Santiago de Surco 15023,Residencial,50000,Surco,SI,784,436,8,180
VALICO,NA,19,ETAPA DE PLANOS,5,Av Grau 161 - Miraflores 15074,Residencial,47500,Miraflores,SI,592,329,8,171
ACTIVA INMOBILIARIA,QABAL,24,ETAPA DE PLANOS,6,C. Enrique Palacios 360. Miraflores.,Residencial,60000,Miraflores,SI,476,317,7,192
GRUPO INMOBILIARIO S&M SAC,"VERONA en LINCE (Lanzamiento)


",15,ETAPA DE PLANOS,4,Rokovich 136 Magdalena,Residencial,37500,Magdalena,SI,888,395,6,105
GRUPO INMOBILIARIO S&M SAC,"GIARDINI (San Borja (pre venta)


",18,ETAPA DE PLANOS,6,Rokovich 136 Magdalena,Residencial,45000,Magdalena,SI,1232,821,8,162
GRUPO INMOBILIARIO S&M SAC,VENEZIA,12,ETAPA DE PLANOS,3,Rokovich 136 Magdalena,Residencial,30000,Magdalena,SI,960,320,6,84
GRUPO INMOBILIARIO S&M SAC,MILANO (Pueblo Libre) Construccion,29,ETAPA DE PLANOS,7,Rokovich 136 Magdalena,Residencial,72500,Magdalena,SI,1440,1120,10,319
Los Portales Departamentos,Gran Plaza Loreto,14,ETAPA DE PLANOS,5,Jr. Ugarte y Moscoso N° 991 Magdalena del Mar - Lima,Residencial,35000,Magdalena,SI,880,489,8,126
DYM GRUPO INMOBILIARIO,PALMER,29,ETAPA DE PLANOS,7,Oficina 307 C.C La Fontana Av. Javier Prado Este 5268 - La Molina,Residencial,72500,La Molina,SI,1590,1237,15,464
BARQUEROS INMOBILIARIA,"Residencial Brío


Residencial Valenti",8,ETAPA DE PLANOS,2,Calle América N260 Pueblo Libre,Residencial,20000,Pueblo Libre,SI,416,92,4,8
