Marca temporal,Sexo,Edad,Carrera,¿A qué distrito pertenece?,¿En qué ciclo estás?,¿Cuántas horas en promedio estás en la universidad semanalmente?,"De las horas que estás en la universidad, en promedio por semana, ¿Cuántas horas estás en una zona de estudio?
(zona de estudio: Biblioteca, Piso 1, Piso 6, aulas que no están siendo usadas)","¿Cuántas horas estudias semanalmente?
No cuentes tus horas de clase","¿Cuál es tu promedio ponderado? (Si no sabes cómo verlo, sólo anda a EDU/Currícula/Mi avance académico)",¿Cuál es el espacio de estudio que más usas habitualmente?,¿Crees que afecta negativa o positivamente el uso que le das a las zonas de estudio de la universidad?,"En base a la pregunta anterior, ¿Por qué?",¿Para qué usas más los espacios de estudio?,¿Cuántas horas semanales aproximadamente estás en la biblioteca?,"¿Cuántas horas semanales aproximadamente estás en el piso 6? (Nos referimos a las horas que estás estudiando, avanzando proyectos, tareas, etc.)","¿Cuántas horas semanales estás en el piso 1?  (Nos referimos a las horas que estás estudiando, avanzando proyectos, tareas, etc.)",¿Cuál es tu orden de preferencias sobre las áreas de estudio de la universidad? [Biblioteca],¿Cuál es tu orden de preferencias sobre las áreas de estudio de la universidad? [Piso 6],¿Cuál es tu orden de preferencias sobre las áreas de estudio de la universidad? [Piso 1],¿Cuál es tu orden de preferencias sobre las áreas de estudio de la universidad? [Otro]
29/09/2022 17:46:13,Mujer,21,Ingeniería Ambiental,Carabayllo,3º Ciclo,6,20,15,14,Aulas vacías,Positivamente,,Avanzar proyectos,0,0,0,1,2,1,4
29/09/2022 17:55:01,Hombre,18,Administración y Negocios Digitales,Comas,2º Ciclo,5,3,6,15,Piso 1,Positivamente,,Estudiar,2,-1,5,4,2,3,1
29/09/2022 17:58:30,Hombre,17,Administración y Negocios Digitales,San Martin de Porres,2º Ciclo,20,5,12,17.7,Aulas vacías,Positivamente,,Estudiar,1,1,3,2,3,1,4
29/09/2022 17:59:05,Mujer,21,Ingeniería Industrial,Ventanilla,3º Ciclo,32,12,5,16.01,Cubículo ,Positivamente,,Estudiar,0,4,0,1,3,2,4
29/09/2022 18:02:07,Hombre,19,Administración y Negocios Digitales,San Borja,2º Ciclo,30,17,2,15.6,Piso 1,Positivamente,,Estudiar y jugar videojuegos ,0,1,10,3,3,2,3
29/09/2022 18:05:27,Mujer,21,Bioingeniería,Chorrillos,3º Ciclo,32,10,20,15.63,Cubículo ,Positivamente,,Hacer tareas,0,3,0,1,2,1,4
29/09/2022 18:05:31,Prefiero no decirlo,19,Bioingeniería,Santiago de Surco,3º Ciclo,32,20,26,17.3,Piso 6,Positivamente,,Estudiar,0,6,1,1,1,1,4
29/09/2022 18:08:25,Hombre,19,Ingeniería Electrónica,Lima,4º Ciclo,40,10,6,15.8,Aulas vacías,Positivamente,,Hacer tareas,0,3,0,3,1,2,1
29/09/2022 18:18:53,Hombre,19,Ingeniería Civil,San Juan de MIraflores,3º Ciclo,15.1,4,5,14.5,Aulas vacías,Positivamente,,Estudiar,6,0,4,3,3,2,3
29/09/2022 18:40:01,Mujer,18,Ingeniería Electrónica,Lince,2º Ciclo,4,10,7,18.05,Aulas vacías,Positivamente,,Hacer tareas,5,10,4,4,4,1,4
29/09/2022 18:40:36,Hombre,17,Ingeniería Mecatrónica,Puente Piedra,2º Ciclo,40,10,2,17,Aulas vacías,Positivamente,,Hacer tareas,2,0,1,3,1,2,4
29/09/2022 18:40:52,Hombre,18,Ingeniería Civil,San Juan de Lurigancho,3º Ciclo,30,15,12,17.63,Piso 8,Positivamente,,Estudiar,7,2,0,4,1,1,4
29/09/2022 18:40:53,Hombre,19,Bioingeniería,Barranco,3º Ciclo,49,3,4,16.02,Piso 1,Positivamente,,Avanzar proyectos,0,3,4,1,2,4,3
29/09/2022 18:48:22,Hombre,18,Bioingeniería,Lima,4º Ciclo,20,4,8,14,Biblioteca,Positivamente,,Estudiar,2,2,0,4,2,3,4
29/09/2022 18:51:53,Hombre,18,Ingeniería Mecatrónica,San Martin de Porres,4º Ciclo,6,6,6,17,Piso 6,Positivamente,,Estudiar,3,3,3,2,1,1,2
29/09/2022 18:52:01,Hombre,19,Ingeniería Civil,Ate Vitarte,3º Ciclo,60,6,20,15.6,Aulas vacías,Positivamente,,Estudiar,10,1,1,2,2,2,3
29/09/2022 18:52:12,Hombre,19,Ingeniería Mecatrónica,San Luis,4º Ciclo,20,3,8,16,Aulas vacías,Negativamente,,Avanzar proyectos,0,4,5,2,3,4,1
29/09/2022 18:54:41,Hombre,22,Ingeniería Electrónica,Breña,4º Ciclo,30,10,70,14,Piso 1,Positivamente,,Estudiar,4,0,6,2,3,1,4
29/09/2022 18:54:44,Hombre,18,Ingeniería Civil,MIraflores,2º Ciclo,26,10,20,10,Biblioteca,Positivamente,,Hacer tareas,10,10,0,4,2,1,1
29/09/2022 18:55:31,Hombre,19,Ingeniería Civil,MIraflores,2º Ciclo,8,2,3,10,Piso 6,Positivamente,,Hacer tareas,Ninguna ,2,Ninguna ,2,4,2,4
29/09/2022 18:57:38,Hombre,19,Ingeniería Electrónica,San Juan de Lurigancho,3º Ciclo,70,2,8,14.2,Aulas vacías,Positivamente,,Estudiar,2,4,1,4,3,4,1
29/09/2022 19:01:20,Mujer,20,Bioingeniería,Santiago de Surco,7º Ciclo,18,5,32,16.3,Cubículo ,Positivamente,,Hacer tareas,2,0,0,4,1,1,4
29/09/2022 19:26:59,Hombre,22,Ingeniería Mecánica,San Juan de MIraflores,4º Ciclo,12,6,84,14,Biblioteca,Positivamente,,Hacer tareas,35,2,2,3,1,1,3
29/09/2022 19:27:03,Hombre,19,Ingeniería Industrial,Santiago de Surco,1º Ciclo,6,3,10,0,Biblioteca,Positivamente,,Estudiar,12,0,3,4,1,1,1
29/09/2022 19:29:33,Hombre,24,Ingeniería Civil,San Juan de Lurigancho,5º Ciclo,22,7,6,11,Biblioteca,Positivamente,,"hacer tareas , estudiar y leer",4-6,0,1-2,4,1,2,1
29/09/2022 21:06:18,Hombre,18,Ingeniería Civil,Lurigancho,3º Ciclo,31,13,30,14.61,Aulas vacías,Positivamente,,Estudiar,5,2,0,3,2,1,4
29/09/2022 21:15:09,Hombre,24,Ingeniería Mecatrónica,Ate Vitarte,6º Ciclo,17,0,10,14.67,Mi casa,Positivamente,,Avanzar proyectos,0,1,0,4,2,3,1
29/09/2022 21:18:08,Mujer,21,Ingeniería de la Energía,Lince,4º Ciclo,40,10,8,15.72,Aulas vacías,Positivamente,,Hacer tareas,6,1,5,1,4,2,3
29/09/2022 21:22:32,Hombre,22,Ciencia de la Computación,Ventanilla,6º Ciclo,70,12,20,15.68,Piso 6,Positivamente,,Leer,4,10,8,4,1,2,3
29/09/2022 21:23:13,Hombre,18,Ingeniería Mecatrónica,San Juan de Lurigancho,3º Ciclo,6,6,4,17.21,Biblioteca,Positivamente,,Estudiar,2,1,0,4,4,2,2
29/09/2022 21:24:06,Hombre,23,Ingeniería Mecatrónica,Ate Vitarte,8º Ciclo,24,3,7,13,Biblioteca,Positivamente,,Estudiar,3,0,2,1,3,2,4
29/09/2022 21:26:23,Hombre,20,Ingeniería Ambiental,Callao,5º Ciclo,50,14,5,16.89,Biblioteca,Positivamente,,Hacer tareas,23,12,12,3,1,2,3
29/09/2022 21:27:38,Mujer,18,Administración y Negocios Digitales,Puente Piedra,2º Ciclo,46,20,24,15.4,Aulas vacías,Positivamente,,Estudiar,5,3,10,4,3,2,1
29/09/2022 21:30:04,Mujer,19,Bioingeniería,Barranco,3º Ciclo,74,40,42,17.28,Piso 1,Positivamente,,Hacer tareas,6,6,20,4,3,1,2
29/09/2022 21:30:26,Mujer,17,Ingeniería Ambiental,Carabayllo,3º Ciclo,34,23,12,16.76,Piso 6,Positivamente,,Estudiar,23,12,28,1,2,2,1
29/09/2022 21:33:57,Mujer,17,Ingeniería Química,Lurigancho,2º Ciclo,48,28,30,16.87,Piso 6,Positivamente,,Hacer tareas,4,18,12,4,1,3,2
29/09/2022 21:34:43,Mujer,20,Bioingeniería,Breña,4º Ciclo,37,10,12,16.73,Piso 1,Positivamente,,Avanzar proyectos,2,1,4,3,4,1,2
29/09/2022 21:35:20,Mujer,22,Ciencia de la Computación,Chorrillos,10º Ciclo,20,6,6,14.76,Aulas vacías,Positivamente,,Leer,10,3,7,3,1,2,3
29/09/2022 21:37:02,Hombre,21,Ciencia de la Computación,Barranco,5º Ciclo,30,10,30,15.21,Aulas vacías,Positivamente,,Avanzar proyectos,0,6,4,4,4,3,1
29/09/2022 21:40:14,Mujer,18,Ingeniería Ambiental,Independencia,2º Ciclo,23,10,15,14.56,Piso 1,Positivamente,,Leer,1,1,10,4,4,1,2
29/09/2022 21:46:37,Mujer,19,Ingeniería Civil,Ancon,3º Ciclo,60,30,18,13.76,Piso 6,Positivamente,,Jugar ,24,12,23,1,2,3,4
29/09/2022 21:49:28,Mujer,20,Ingeniería Electrónica,Chorrillos,5º Ciclo,62,28,25,12.67,Aulas vacías,Positivamente,,Estudiar,17,15,16,1,2,1,3
29/09/2022 21:56:15,Hombre,19,Ingeniería Mecatrónica,San Miguel,4º Ciclo,4.5,6,16,14.39,Biblioteca,Positivamente,,Estudiar,12,1,0,4,3,1,1
29/09/2022 21:58:15,Mujer,21,Ingeniería Ambiental,Jesús María,5º Ciclo,62,30,50,15.88,Aulas vacías,Positivamente,,Avanzar proyectos,6,12,15,4,2,1,3
29/09/2022 22:00:05,Hombre,22,Ingeniería Mecatrónica,Ate Vitarte,7º Ciclo,60,30,40,14.57,Aulas vacías,Positivamente,,Estudiar,0,8,12,4,3,2,1
29/09/2022 22:02:38,Hombre,23,Ingeniería Industrial,Independencia,8º Ciclo,72,40,50,15.9,Aulas vacías,Positivamente,,Todos,8,17,19,4,2,2,1
29/09/2022 22:06:10,Hombre,18,Ingeniería Mecatrónica,Barranco,4º Ciclo,14,0,10,12.86,Casa,Negativamente,,Avanzar proyectos,0,0,1,1,2,3,4
29/09/2022 22:20:17,Hombre,11,Ingeniería de la Energía,Comas,5º Ciclo,36,20,21,14.3,Piso 1,Positivamente,,Estudiar,21,0,21,3,1,4,2
29/09/2022 22:52:48,Mujer,19,Ingeniería Ambiental,San Juan de Lurigancho,5º Ciclo,20,10,40,14,Biblioteca,Positivamente,,Hacer tareas,18,4,2,3,2,1,4
28/10/2022 10:19:05,Mujer,20,Ingeniería Química,San Juan de Lurigancho,6º Ciclo,8,4,4,13,Aulas vacías,Positivamente,,Estudiar,1,2,3,1,1,2,2
28/10/2022 10:19:07,Hombre,20,Ingeniería Química,Chorrillos,8º Ciclo,5,1,6,14.35,Piso 1,Negativamente,,Estudiar,0,2,1,1,2,4,3
28/10/2022 10:19:39,Hombre,20,Ingeniería Química,San Borja,4º Ciclo,20,0,10,13.15,"No lo uso, porque no encuentro una buena área de estudio ",Negativamente,,No los uso,0,0,0,1,2,3,1
28/10/2022 10:20:35,Mujer,18,Ingeniería Industrial,San Juan de MIraflores,2º Ciclo,22,4,12,15,Piso 6,Positivamente,,Estudiar,2,8,2,2,4,1,1
28/10/2022 10:22:17,Hombre,18,Ingeniería Química,San Borja,4º Ciclo,20,6,8,14.8,Aulas vacías,Positivamente,,Hacer tareas,0,0,4,4,2,4,4
28/10/2022 10:22:19,Hombre,17,Ingeniería Química,San Juan de Lurigancho,4º Ciclo,20,3,4,17,Aulas vacías,Positivamente,,Hacer tareas,0,0,3,2,1,3,4
28/10/2022 10:23:21,Hombre,18,Ingeniería Ambiental,San Juan de Lurigancho,2º Ciclo,5,2,1,12,Piso 6,Negativamente,,Leer,0,3,3,4,3,3,3
28/10/2022 10:25:12,Hombre,25,Ingeniería de la Energía,Callao,8º Ciclo,8,4,8,13.8,cubículo,Positivamente,,Avanzar proyectos,0,5,1,1,1,1,4
28/10/2022 10:25:14,Mujer,18,Ingeniería Mecatrónica,Carabayllo,3º Ciclo,14,10,8,12,Piso 1,Positivamente,,Estudiar,10,5,15,4,2,4,4
28/10/2022 10:30:32,Hombre,19,Ingeniería Mecánica,Los Olivos,3º Ciclo,8,4,1,13,Piso 6,Positivamente,,Hacer tareas,0,18,2,1,4,2,1
28/10/2022 10:31:38,Hombre,22,Ingeniería Química,Magdalena del Mar,6º Ciclo,40,20,45,12.7,cubículo,Positivamente,,Estudiar,10,2,2,2,4,3,1
28/10/2022 10:31:53,Hombre,20,Ingeniería Mecatrónica,Ate Vitarte,7º Ciclo,35,15,20,15,Aulas vacías,Positivamente,,Estudiar,0,10,5,1,4,1,4
28/10/2022 10:32:11,Mujer,20,Ingeniería Mecatrónica,MIraflores,4º Ciclo,24,6,13,13,Aulas vacías,Negativamente,,Estudiar,3,4,3,4,1,2,3
28/10/2022 10:32:37,Hombre,18,Ciencia de la Computación,San Borja,2º Ciclo,6,4,4,15,Aulas vacías,Positivamente,,Hacer tareas,0,10,20,2,3,4,4
28/10/2022 10:32:37,Mujer,18,Ingeniería Industrial,Barranco,3º Ciclo,6,4,5,15,Piso 6,Positivamente,,Estudiar,3,5,3,1,4,2,3
28/10/2022 10:33:00,Hombre,20,Ciencia de la Computación,Comas,6º Ciclo,55,15,15,17,cubículo,Positivamente,,Estudiar,1,6,0,2,1,3,4
28/10/2022 10:33:55,Mujer,23,Ciencia de la Computación,Independencia,4º Ciclo,48,25,25,13,Biblioteca,Positivamente,,Estudiar,20,3,2,4,1,2,2
28/10/2022 10:36:24,Mujer,21,Ingeniería Civil,Villa el Salvador,3º Ciclo,15,4,7,14,Piso 1,Positivamente,,Hacer tareas,4,3,9,2,3,3,3
28/10/2022 10:37:39,Mujer,19,Ingeniería Industrial,Chorrillos,6º Ciclo,10,3,3,15.07,Piso 5,Positivamente,,Estudiar,0,0,0,1,2,1,4
28/10/2022 10:37:46,Hombre,21,Ciencia de Datos,Magdalena del Mar,2º Ciclo,5,4,6,13.5,Aulas vacías,Negativamente,,Hacer tareas,2,5,1,3,4,2,3
28/10/2022 10:38:02,Hombre,19,Ingeniería Civil,Chorrillos,6º Ciclo,10,3,3,16.75,Piso 6,Positivamente,,Conversar ,1,10,4,4,1,2,3
28/10/2022 10:38:07,Hombre,17,Ciencia de la Computación,Lima,2º Ciclo,42,12,7,15,Piso 6,Positivamente,,Estudiar,6,4,2,3,3,2,3
28/10/2022 10:38:32,Mujer,18,Bioingeniería,Santiago de Surco,3º Ciclo,25,6,15,14,cubículo,Positivamente,,Hacer tareas,3,4,3,1,4,3,2
28/10/2022 10:39:10,Hombre,19,Ingeniería Civil,Ate Vitarte,6º Ciclo,8,4,12,16.63,Piso 6,Positivamente,,Avanzar proyectos,0,5,3,1,4,2,3
28/10/2022 10:39:16,Mujer,19,Bioingeniería,San Juan de MIraflores,3º Ciclo,13,5,15,14,cubículo,Positivamente,,Hacer tareas,3,4,2,3,2,2,4
28/10/2022 10:40:59,Hombre,18,Ciencia de la Computación,Santiago de Surco,3º Ciclo,28,2,12,12.5,Piso 6,Positivamente,,Hacer tareas,0,4,0,1,3,1,2
28/10/2022 10:41:52,Hombre,20,Ingeniería Mecatrónica,San Juan de Lurigancho,5º Ciclo,50,10,8,14.7,Biblioteca,Positivamente,,Estudiar,5,10,7,4,3,2,1
28/10/2022 10:42:18,Hombre,22,Ingeniería Civil,Los Olivos,3º Ciclo,6,4,10,14,Biblioteca,Negativamente,,Hacer tareas,4,3,1,1,2,3,4
28/10/2022 10:42:43,Hombre,19,Ingeniería Mecatrónica,Santiago de Surco,5º Ciclo,7,4,8,15.5,Aulas vacías,Positivamente,,Estudiar,2,1,1,4,3,2,1
28/10/2022 10:43:16,Hombre,22,Ingeniería Mecánica,San Borja,6º Ciclo,36,4,10,15,Piso 6,Positivamente,,Hacer tareas,0,2,0,4,1,3,2
28/10/2022 10:43:46,Hombre,20,Ingeniería Química,Punta Hermosa,6º Ciclo,4,2,4,16,Biblioteca,Positivamente,,Estudiar,4,1,1,3,3,3,3
28/10/2022 10:43:48,Prefiero no decirlo,17,Bioingeniería,Lima,2º Ciclo,18,12,5,11,Piso 6,Negativamente,,Estudiar,2,112,0,1,4,2,1
28/10/2022 10:43:48,Hombre,17,Bioingeniería,San Juan de MIraflores,2º Ciclo,35,15,5,17.1,Aulas vacías,Positivamente,,Estudiar,1,7,2,2,3,1,4
28/10/2022 10:44:30,Hombre,17,Ciencia de la Computación,Santiago de Surco,2º Ciclo,8,4,6,17.05,Biblioteca,Positivamente,,Estudiar,4,1,0,4,3,2,1
28/10/2022 10:44:40,Prefiero no decirlo,17,Ciencia de Datos,Puente Piedra,2º Ciclo,11,8,7,15,Piso 6,Positivamente,,Hacer tareas,0,5,0,1,4,2,3
28/10/2022 10:44:44,Hombre,17,Ciencia de la Computación,San Juan de Lurigancho,2º Ciclo,45,35,6,17,Biblioteca,Positivamente,,Hacer tareas,5,12,1,4,3,3,3
28/10/2022 10:44:46,Hombre,17,Ciencia de la Computación,Comas,2º Ciclo,45,35,8,15.5,Biblioteca,Positivamente,,Hacer tareas,20,10,0,1,2,4,3
28/10/2022 10:48:10,Mujer,18,Ingeniería Ambiental,San Juan de MIraflores,2º Ciclo,98,50,50,14,Aulas vacías,Positivamente,,Estudiar,10,10,5,1,1,1,4
28/10/2022 10:49:08,Mujer,19,Bioingeniería,San Miguel,4º Ciclo,36,14,10,14.72,cubículo,Positivamente,,Estudiar,0,5,0,4,1,3,2
28/10/2022 10:49:15,Hombre,17,Ciencia de la Computación,San Borja,2º Ciclo,30,6,2,17,Biblioteca,Positivamente,,Hacer tareas,4,1,0,4,3,1,2
28/10/2022 10:50:15,Hombre,20,Ingeniería Mecánica,Comas,7º Ciclo,50,20,10,17.3,Aulas vacías,Positivamente,,Estudiar,1,4,5,1,2,3,4
28/10/2022 10:50:39,Hombre,22,Ingeniería Mecánica,San Borja,7º Ciclo,50,30,15,14.6,Aulas vacías,Positivamente,,Avanzar proyectos,0,0,0,3,4,2,1
2/11/2022 10:17:42,Hombre,18,Ingeniería Industrial,Barranco,4º Ciclo,15,4,5,15,Biblioteca,Positivamente,,Estudiar,4,2,3,1,3,2,4
2/11/2022 10:31:23,Hombre,19,Ingeniería Industrial,San Juan de Lurigancho,4º Ciclo,51,29,29,15.8,Aulas vacías,Positivamente,,Estudiar,15,19,24,3,2,4,1
2/11/2022 10:34:32,Mujer,19,Bioingeniería,Comas,5º Ciclo,17,9,7,15.3,Biblioteca,Positivamente,,Estudiar,5,3,1,1,2,3,4
2/11/2022 10:34:43,Mujer,19,Ingeniería Ambiental,La Molina,3º Ciclo,48,13,15,17.8,Piso 6,Positivamente,,Estudiar,12,18,28,2,3,1,4
2/11/2022 10:37:41,Mujer,18,Ingeniería Mecatrónica,Los Olivos,2º Ciclo,59,23,23,14.78,Piso 1,Negativamente,,Jugar,21,14,27,3,2,1,4
2/11/2022 10:39:03,Hombre,20,Ciencia de la Computación,Lima,6º Ciclo,23,8,6,14.21,Piso 1,Positivamente,,Hacer tareas,3,4,6,4,2,1,3
2/11/2022 10:41:36,Mujer,22,Ciencia de la Computación,Independencia,9º Ciclo,48,24,12,15.8,Piso 6,Positivamente,,Avanzar proyectos,19,14,20,2,1,3,4
2/11/2022 10:43:40,Mujer,18,Ingeniería Civil,El agustino,3º Ciclo,60,19,23,18.9,Piso 1,Positivamente,,Estudiar,14,21,13,3,1,2,4
2/11/2022 10:44:40,Hombre,19,Ingeniería Civil,Magdalena del Mar,4º Ciclo,19,8,5,15.13,Aulas vacías,Negativamente,,Hacer tareas,3,2,5,4,3,2,1
2/11/2022 10:45:00,Mujer,20,Ciencia de Datos,Comas,3º Ciclo,39,12,6,11,Aulas vacías,Positivamente,,Avanzar proyectos,12,11,9,3,1,3,4
2/11/2022 10:51:03,Mujer,18,Ingeniería Ambiental,Barranco,2º Ciclo,30,12,12,12,Piso 1,Positivamente,,Estudiar,12,18,12,3,2,1,4
2/11/2022 10:52:12,Mujer,20,Bioingeniería,Chorrillos,7º Ciclo,48,10,19,16.9,Piso 1,Positivamente,,Estudiar,12,10,13,3,2,1,4
2/11/2022 10:52:22,Hombre,21,Ingeniería Electrónica,Comas,6º Ciclo,20,10,8,16.23,cubículo,Positivamente,,Estudiar,4,1,1,1,4,2,4
2/11/2022 13:05:14,Hombre,25,Ingeniería Industrial,San Martin de Porres,5º Ciclo,30,8,12,12.5,Biblioteca,Positivamente,,Estudiar,4,0,4,4,1,2,1
3/11/2022 20:27:49,Hombre,22,Ingeniería Mecánica,Barranco,5º Ciclo,28,15,15,13.4,Aulas vacías,Positivamente,,Hacer tareas,15,15,15,2,4,1,4
5/11/2022 16:40:34,Hombre,22,Ingeniería Electrónica,Cieneguilla,6º Ciclo,23,17,18,15.5,Piso 1,Positivamente,,Estudiar,0,8,15,1,2,4,4
5/11/2022 16:41:45,Hombre,19,Administración y Negocios Digitales,El agustino,8º Ciclo,24,13,15,17.1,Piso 1,Positivamente,,Hacer tareas,10,15,14,2,3,4,1
5/11/2022 18:35:29,Hombre,19,Ingeniería Ambiental,Independencia,3º Ciclo,16,21,24,12.3,Piso 1,Positivamente,,Estudiar,15,8,20,1,2,4,3
5/11/2022 18:37:45,Mujer,24,Ingeniería Industrial,Barranco,9º Ciclo,20,18,21,17.8,Biblioteca,Positivamente,,Estudiar,15,17,19,1,4,1,1
5/11/2022 18:39:02,Hombre,21,Ingeniería Ambiental,Callao,5º Ciclo,23,18,15,16.6,Piso 1,Positivamente,,Estudiar,15,10,20,1,2,3,1
5/11/2022 18:39:57,Hombre,23,Ingeniería de la Energía,Comas,5º Ciclo,24,19,17,13.2,Piso 1,Positivamente,,Estudiar,15,21,18,1,3,1,3
5/11/2022 18:43:36,Hombre,21,Ingeniería de la Energía,Comas,5º Ciclo,18,19,16,14.7,Piso 1,Positivamente,,Estudiar,9,17,10,3,2,2,3
5/11/2022 18:50:08,Mujer,20,Ingeniería Ambiental,Villa María del Triunfo,5º Ciclo,12,16,18,14.8,Biblioteca,Positivamente,,Avanzar proyectos,17,10,15,2,1,2,3
5/11/2022 18:52:26,Mujer,24,Ingeniería Ambiental,Comas,3º Ciclo,20,2,3,13,Aulas vacías,Positivamente,,Avanzar proyectos,2,1,6,3,1,2,4
5/11/2022 18:54:46,Hombre,19,Ingeniería Mecánica,Chaclacayo,2º Ciclo,15,10,14,11.3,Piso 1,Positivamente,,Leer,15,12,10,1,3,1,4
6/11/2022 9:06:30,Hombre,21,Ingeniería Industrial,Chorrillos,6º Ciclo,25,14,14,12.7,Piso 1,Positivamente,,Estudiar,16,14,10,1,2,3,1
6/11/2022 9:08:15,Mujer,19,Ingeniería Ambiental,Comas,7º Ciclo,28,16,13,14.6,Piso 1,Positivamente,,Estudiar,15,0,14,1,2,2,3
6/11/2022 9:10:35,Mujer,21,Ingeniería de la Energía,Barranco,7º Ciclo,29,10,17,16.4,Biblioteca,Positivamente,,Hacer tareas,10,16,8,1,2,3,1
6/11/2022 9:14:37,Hombre,24,Bioingeniería,La Molina,8º Ciclo,17,0,15,17.6,Piso 1,Positivamente,,Avanzar proyectos,10,0,12,4,1,3,4
6/11/2022 9:25:53,Mujer,22,Ingeniería Industrial,Cieneguilla,6º Ciclo,32,18,15,13.7,Piso 1,Positivamente,,Avanzar proyectos,10,8,24,2,1,4,2
6/11/2022 9:29:09,Hombre,21,Ingeniería de la Energía,Comas,5º Ciclo,32,10,13,14.3,Piso 1,Positivamente,,Hacer tareas,0,5,20,3,4,1,2
6/11/2022 9:44:10,Hombre,18,Ingeniería Industrial,Barranco,3º Ciclo,30,6,6,15.11,Piso 1,Positivamente,,Hacer tareas,3,1,4,2,4,1,3
6/11/2022 13:32:15,Hombre,19,Ingeniería Electrónica,Carabayllo,2º Ciclo,26,19,20,13.4,Biblioteca,Positivamente,,Estudiar,10,6,20,1,3,1,3
6/11/2022 19:44:05,Hombre,21,Ingeniería de la Energía,Callao,6º Ciclo,23,18,20,15.6,Piso 1,Positivamente,,Estudiar,20,0,20,2,2,2,2
6/11/2022 19:45:22,Mujer,22,Ingeniería Mecatrónica,Barranco,6º Ciclo,35,23,15,14.3,Piso 1,Positivamente,,Estudiar,12,0,20,1,2,1,2
6/11/2022 19:48:55,Hombre,19,Ingeniería Electrónica,San Miguel,4º Ciclo,34,15,20,13.6,Biblioteca,Positivamente,,Estudiar,20,3,20,2,3,3,1
6/11/2022 19:51:31,Hombre,20,Ingeniería Industrial,Cieneguilla,4º Ciclo,25,15,20,13.9,Biblioteca,Positivamente,,Estudiar,25,0,20,1,4,2,3
6/11/2022 19:51:34,Mujer,23,Ciencia de la Computación,Comas,8º Ciclo,28,18,17,14.8,Piso 1,Positivamente,,Avanzar proyectos,23,5,30,1,2,3,4
6/11/2022 19:53:40,Hombre,19,Ingeniería Civil,Ate Vitarte,4º Ciclo,40,25,20,14.6,Aulas vacías,Positivamente,,Avanzar proyectos,20,0,15,3,3,2,3
6/11/2022 19:53:49,Mujer,19,Bioingeniería,Los Olivos,3º Ciclo,36,25,15,15.7,Aulas vacías,Positivamente,,Hacer tareas,15,10,20,3,2,1,4
6/11/2022 19:55:08,Mujer,24,Ingeniería Industrial,Barranco,8º Ciclo,20,10,18,17.6,casa,Positivamente,,Avanzar proyectos,5,0,10,4,1,4,4
