año_de_ingreso,carrera,edad,c_retirados,c_jalados,c_pateados,riesgo_acd,num_cursos,num_creditos_matriculados,num_cursos_deacuerdo_malla,num_cursos_ciclo,max_cursos,min_cursos,verano,sabes_creditos_graduarte,beca,tras_int,tras_ext,tiempo,notas
2016,Electrónica,24,2,2,2,NO,4,16,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Adelantar cursos,SÍ,NO,NO,NO,3,13.63
2017,Civil,23,0,1,2,NO,5,21,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,3,Adelantar cursos,NO,NO,SÍ,NO,4,13.97
2019,CS,21,0,2,3,NO,6,20,6,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",6,6,Recuperar cursos desaprobados,NO,NO,NO,NO,5,13.23
2019,Industrial,19,0,0,2,NO,5,18,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Adelantar cursos,SÍ,NO,NO,NO,4,14.71
2019,CS,20,1,0,2,NO,4,14,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Nunca me he matriculado en un ciclo verano,NO,NO,NO,NO,3,14.22
2018,Ambiental,19,0,2,2,NO,5,18,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Nunca me he matriculado en un ciclo verano,NO,NO,NO,NO,4,14.27
2019,Industrial,21,2,3,5,NO,4,16,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,4,Nunca me he matriculado en un ciclo verano,NO,SÍ,NO,NO,6,12.04
2017,Mecatrónica,20,2,1,1,NO,4,15,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Nunca me he matriculado en un ciclo verano,NO,NO,NO,NO,3,12.75
2018,Bioingeniería,21,0,0,3,NO,5,18,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",8,5,"Nivelar cursos ""pateados""",NO,SÍ,NO,NO,6,13.23
2017,Energía,19,0,0,0,NO,6,22,6,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,6,Adelantar cursos,SÍ,SÍ,NO,NO,6,13.08
2018,Mecánica,21,1,2,1,NO,5,19,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,3,Nunca me he matriculado en un ciclo verano,NO,NO,NO,NO,4,12.85
2016,Electrónica,21,0,2,2,NO,6,18,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,5,Adelantar cursos,NO,NO,NO,NO,5,11.32
2020,CS,18,1,0,1,NO,5,19,7,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",8,5,Adelantar cursos,NO,SÍ,NO,NO,4,13.8
2017,Bioingeniería,22,2,1,3,NO,6,22,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Nunca me he matriculado en un ciclo verano,SÍ,NO,NO,NO,4,13.87
2019,Química,19,3,0,4,NO,4,12,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,6,Adelantar cursos,NO,NO,NO,NO,4,14.21
2016,Civil,25,3,2,1,NO,7,24,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",8,6,Adelantar cursos,SÍ,NO,NO,NO,6,11.43
2016,Electrónica,22,0,0,1,SÍ,6,20,6,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",8,6,Adelantar cursos,SÍ,NO,NO,NO,5,14.26
2017,Química,24,0,1,2,NO,4,12,3,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,6,Recuperar cursos desaprobados,SÍ,NO,NO,NO,4,14.01
2019,Energía,20,2,1,0,NO,6,19,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",8,4,Adelantar cursos,SÍ,SÍ,NO,NO,7,13.83
2018,Industrial,20,2,3,2,SÍ,7,25,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",8,6,Adelantar cursos,SÍ,NO,NO,NO,5,10.32
2017,Mecánica,22,2,1,3,NO,5,20,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,4,14.2
2019,Industrial,20,0,0,4,NO,6,19,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,4,15.37
