Seguidor,Genero,Edad,Seguimiento,GrupoFav,Genero_Grupo,FanClub,Campo de Marte,Fiestas ,Cines,Cafe,CentroComercial,Alameda28,No asiste,television,PaginasWeb,Redes,youtube,radio,circulo,paneles,Tiempo_dedicado,Peluches,Albumes,PhotoCards,CD,Ropa,Ligthstick,otro_produc,Presupuesto_prod,Tiendas_f,Tiendas_l,Importancia,Exclusion,Contenido_m,Personalidad_i,Atracción_i,Influencia_t,Tranquilidad,Alegría,Felicidad,Reconfortante,Comprensión,Tristeza,Asombro,otro_senti
Sí,Femenino,20,7,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,no,si,si,si,no,no,no,150,si,no,4,No,no,si,no,si,si,si,no,no,no,no,no,no
Sí,Masculino,19,2,BTS,Masculino,No,no,no,no,no,no,no,si,si,no,si,si,no,no,no,1,no,si,no,si,si,no,no,200,si,no,4,Sí,no,si,no,no,no,no,no,si,no,no,no,no
Sí,Femenino,20,5,BTS,Masculino,No,si,no,si,no,no,no,no,no,no,si,si,no,si,no,5,si,si,no,no,si,si,no,100,si,no,3,No,si,si,si,si,si,si,si,si,no,no,si,no
Sí,Femenino,20,2,EXO,Masculino,No,si,no,no,no,si,si,no,no,no,si,no,no,no,no,4,si,no,no,no,si,no,no,50,si,si,4,No,si,no,no,no,si,si,no,no,no,si,no,no
Sí,Masculino,16,1,BTS,Masculino,No,no,no,no,no,no,no,no,no,si,si,si,no,no,no,1,si,no,no,no,no,no,no,100,no,si,4,No,si,no,no,no,si,no,si,no,no,no,si,no
Sí,Femenino,19,8,GirlsGeneration,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,0,no,no,no,no,no,si,no,50,si,si,3,Sí,si,no,no,no,no,si,si,no,no,no,no,no
Sí,Femenino,20,4,BTS,Masculino,Si,no,si,si,si,no,no,no,no,no,si,si,no,si,no,2,si,si,no,no,si,no,no,120,si,si,5,No,si,si,no,no,si,si,no,si,si,no,no,no
Sí,Femenino,23,4,BTS,Masculino,Si,si,no,no,no,si,no,no,no,no,si,no,no,no,no,1,si,no,no,no,si,no,no,20,no,si,4,Sí,si,si,no,no,si,si,si,no,no,no,no,no
Sí,Femenino,21,6,BTS,Masculino,Si,si,no,no,si,no,si,no,no,no,si,si,no,no,no,2,si,si,si,si,no,si,no,400,no,si,4,No,si,no,no,no,si,si,si,si,no,no,no,si
Sí,Femenino,18,4,BTS,Masculino,No,si,no,no,no,no,no,no,no,si,si,si,no,no,no,5,si,si,si,si,si,si,no,15,si,no,5,Sí,si,si,si,no,si,si,si,si,si,si,si,no
Sí,Masculino,19,5,Shinee,Femenino,No,si,no,no,no,no,si,no,no,si,si,si,no,no,no,1,no,no,si,no,no,no,no,10,si,no,3,Sí,si,no,no,no,si,no,si,no,no,no,no,si
Sí,Femenino,18,2,BTS,Masculino,No,no,no,no,no,no,no,no,no,no,si,si,no,si,no,3,si,si,si,si,si,si,si,150,no,si,5,No,si,si,si,no,si,si,si,si,si,si,si,no
Sí,Femenino,18,2,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,si,si,no,no,no,si,no,200,no,si,4,Sí,si,no,no,no,si,si,si,no,no,no,no,no
Sí,Femenino,19,6,BTS,Masculino,Si,no,si,si,si,no,no,no,si,no,si,si,si,no,no,7,si,si,si,si,si,si,no,500,no,si,5,Sí,si,si,si,no,si,si,si,si,si,no,no,no
Sí,Femenino,15,6,BTS,Masculino,Si,si,no,no,no,no,no,no,no,si,si,no,no,no,no,6,si,no,si,no,si,no,no,200,si,no,5,Sí,si,si,no,no,si,si,si,si,no,no,no,no
Sí,Masculino,16,1,BTS,Masculino,No,no,si,no,si,si,no,no,no,si,si,si,no,no,no,3,si,si,si,no,si,no,no,200,si,no,5,Sí,si,si,si,no,si,si,si,no,no,no,no,no
Sí,Femenino,20,4,BTS,Masculino,Si,no,si,no,no,no,si,no,no,no,si,no,no,si,no,1,no,si,no,no,si,no,no,60,no,si,3,Sí,si,si,no,no,si,si,no,si,si,no,no,no
Sí,Femenino,18,17,BTS,Masculino,No,no,no,no,si,no,no,no,no,no,no,si,no,no,no,0,si,no,no,no,no,no,no,0,no,si,1,No,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Masculino,20,11,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,no,si,no,no,no,4,no,si,no,no,no,no,no,50,no,si,3,No,si,no,no,no,no,si,no,no,no,no,no,no
Sí,Femenino,19,8,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,no,no,no,si,no,no,no,50,no,si,3,No,si,no,no,no,no,no,si,no,no,no,si,no
Sí,Femenino,19,16,BlackPink,Femenino,No,no,no,no,no,no,no,si,si,si,si,no,no,no,no,1,si,no,no,no,no,si,no,40,no,si,4,No,si,si,no,no,si,si,no,no,si,no,no,no
Sí,Masculino,19,1,BlackPink,Femenino,No,si,no,si,no,no,no,no,no,si,si,no,no,no,no,1,si,si,no,no,no,no,no,30,no,si,4,No,si,no,no,no,si,si,no,no,no,no,no,no
Sí,Masculino,18,1,Twice,Femenino,No,no,no,si,no,no,no,no,no,no,no,no,no,si,no,1,no,no,no,no,no,no,no,50,si,no,1,No,no,no,no,no,no,no,no,no,no,no,no,no
Sí,Femenino,18,1,BTS,Masculino,Si,si,no,no,no,no,no,no,no,no,si,no,no,no,no,2,si,no,si,no,no,no,no,100,no,si,3,No,no,no,si,no,no,no,no,no,no,si,no,no
Sí,Femenino,16,14,BTS,Masculino,Si,si,no,no,no,no,si,no,no,si,si,si,no,no,si,6,si,no,si,si,no,si,no,100,si,no,5,No,si,si,si,no,si,si,si,si,no,no,no,no
Sí,Femenino,15,13,BTS,Masculino,Si,si,no,no,no,no,no,no,no,si,si,no,no,no,no,3,no,no,si,no,no,no,no,100,si,no,5,No,si,si,no,no,si,si,si,si,si,no,no,no
Sí,Masculino,18,5,Twice,Femenino,Si,si,no,no,no,si,no,no,no,no,si,si,no,no,no,2,si,si,si,si,si,si,no,100,no,si,3,Sí,si,si,si,no,si,si,si,si,si,si,si,no
Sí,Masculino,18,2,BTS,Masculino,Si,no,no,si,no,no,no,no,si,no,no,no,no,no,no,1,no,si,no,no,no,no,no,103,no,si,5,No,no,si,no,no,si,no,no,no,no,no,no,no
Sí,Masculino,21,2,StrayKids,Masculino,No,si,no,no,no,no,no,no,no,no,no,si,no,no,no,1,no,no,no,si,no,no,no,10,no,si,4,No,si,no,no,no,no,no,no,no,no,no,si,no
Sí,Femenino,22,6,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,si,no,2,no,no,no,no,si,no,no,30,si,si,3,No,si,si,si,no,si,si,si,no,no,no,no,no
Sí,Femenino,22,2,StrayKids,Masculino,No,no,si,no,no,no,no,no,no,no,si,no,no,no,no,1,no,si,no,no,no,no,no,30,no,si,4,No,no,si,no,no,si,no,no,no,no,no,no,no
Sí,Femenino,19,15,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,si,no,si,no,no,no,2,no,si,no,no,no,no,no,50,si,no,2,No,si,no,no,no,si,si,no,no,no,no,no,no
Sí,Masculino,19,2,BTS,Masculino,No,no,no,no,no,no,no,si,no,si,no,no,no,no,no,1,no,no,no,si,si,no,no,200,no,si,2,No,si,no,no,no,no,si,no,no,no,no,no,no
Sí,Masculino,23,3,NCT,Masculino,Si,si,no,no,no,no,si,no,no,no,si,no,no,no,no,1,no,no,si,si,no,no,no,75,no,si,3,No,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Masculino,17,17,Ateez,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,no,no,si,no,no,no,no,50,no,si,3,No,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Femenino,17,7,BTS,Masculino,Si,si,si,no,no,no,si,no,no,no,si,si,no,no,no,2,no,si,no,si,no,si,no,10,no,si,5,Sí,si,no,no,no,si,si,si,si,si,si,si,no
Sí,Masculino,18,1,BlackPink,Femenino,Si,si,no,no,si,si,si,no,no,no,si,si,no,si,no,2,si,si,no,si,si,si,no,200,si,si,5,Sí,si,si,no,no,si,si,si,si,si,no,no,no
Sí,Masculino,22,0,Twice,Femenino,No,si,no,no,no,no,no,no,no,no,si,no,no,no,no,1,no,no,si,si,no,no,no,50,no,si,3,No,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Femenino,18,2,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,4,si,no,no,no,no,no,no,100,si,si,5,Sí,si,no,no,no,si,si,si,no,no,no,no,no
Sí,Masculino,20,15,EXO,Masculino,No,si,no,no,no,no,si,no,no,no,si,no,no,si,no,1,no,si,no,no,no,no,no,75,no,si,4,Sí,si,no,no,no,si,no,si,no,no,no,no,no
Sí,Masculino,18,0,StrayKids,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,no,no,no,no,si,no,no,0,no,si,3,Sí,si,no,no,no,no,no,no,si,no,no,no,no
Sí,Masculino,22,12,BTS,Masculino,No,si,si,si,si,no,no,no,si,no,no,si,no,no,no,3,no,no,si,no,no,no,no,30,si,no,3,No,no,no,no,no,no,no,no,no,no,no,si,no
Sí,Femenino,18,2,RedVelvet,Femenino,Si,si,no,si,no,no,no,no,no,si,si,no,no,si,no,1,si,no,no,no,si,no,no,100,si,no,4,Sí,si,si,si,no,si,no,si,si,no,no,no,no
Sí,Femenino,19,2,BTS,Masculino,Si,si,si,no,si,no,si,no,no,si,si,si,no,si,no,1,si,si,si,si,si,no,no,300,si,si,4,No,si,si,no,no,si,si,si,si,si,no,no,no
Sí,Femenino,18,2,BTS,Masculino,No,si,no,no,no,no,no,no,no,si,si,si,no,no,no,1,no,si,no,no,si,no,no,50,no,si,4,No,no,si,no,no,no,no,no,si,no,no,no,no
Sí,Masculino,17,2,BTS,Masculino,No,no,si,si,no,no,no,no,no,si,si,si,no,si,no,1,no,si,si,no,si,no,no,200,si,si,4,No,si,no,no,no,si,no,no,si,no,no,si,no
Sí,Femenino,18,7,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,no,no,no,no,si,no,no,10,si,no,2,No,no,si,no,no,no,si,no,no,si,no,no,no
Sí,Femenino,17,12,BTS,Masculino,Si,si,no,no,no,no,no,no,no,no,no,si,no,no,no,1,si,si,no,no,no,si,no,300,si,no,3,No,si,no,no,no,si,no,si,si,no,no,no,no
Sí,Femenino,19,15,BTS,Masculino,No,no,no,no,no,no,no,si,no,si,si,si,no,no,no,2,si,no,si,no,no,no,no,50,no,si,3,Sí,si,no,no,no,si,no,si,no,no,no,no,no
Sí,Femenino,19,12,BTS,Masculino,Si,no,no,no,no,no,no,si,no,si,si,si,no,no,no,1,si,no,no,si,si,no,no,100,no,si,4,No,si,no,no,no,si,si,no,si,no,no,no,no
Sí,Masculino,18,2,StrayKids,Femenino,No,si,si,no,no,no,no,no,no,no,no,si,no,no,no,1,no,no,no,no,si,no,no,50,si,no,2,No,si,no,no,no,no,si,no,no,no,no,no,no
Sí,Femenino,20,3,Ateez,Masculino,No,si,si,no,no,no,no,no,no,si,si,no,no,si,no,2,si,si,no,no,no,no,no,80,no,si,4,No,si,si,no,no,no,si,si,no,no,si,no,no
Sí,Masculino,19,1,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,no,si,no,si,no,1,no,no,no,no,no,no,no,380,no,si,3,No,si,no,no,si,si,si,no,no,no,si,no,si
Sí,Femenino,20,5,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,no,si,no,no,si,no,no,340,no,si,5,Sí,si,si,si,no,no,si,si,no,no,si,no,no
Sí,Femenino,19,17,BTS,Masculino,No,si,no,no,no,no,no,no,no,no,si,no,no,no,no,1,si,si,no,no,no,no,no,0,si,si,4,Sí,si,no,no,no,si,si,no,no,no,no,no,no
Sí,Femenino,18,3,BTS,Masculino,No,no,no,si,no,si,no,no,no,si,si,si,no,no,no,1,si,si,si,si,si,no,no,50,si,no,4,Sí,si,si,no,no,si,no,no,si,no,no,no,no
Sí,Masculino,19,4,NCT,Masculino,Si,no,no,no,no,no,no,si,no,no,si,no,no,si,no,1,no,si,no,si,no,si,no,75,no,si,4,Sí,si,no,no,no,si,si,si,no,no,no,no,no
Sí,Masculino,19,2,BTS,Masculino,No,si,no,si,si,no,si,no,no,si,si,no,no,no,no,2,no,si,no,no,si,no,no,200,si,si,3,No,si,no,no,si,si,si,si,no,no,no,no,no
Sí,Masculino,18,4,StrayKids,Masculino,No,si,si,no,no,no,si,no,si,no,no,no,no,no,no,1,no,no,si,no,no,no,no,100,si,no,4,No,si,no,no,no,no,no,si,no,no,no,no,no
Sí,Femenino,17,15,BTS,Masculino,Si,no,no,no,no,no,no,si,no,no,si,no,no,no,no,10,no,si,no,no,no,no,no,78,si,no,4,No,no,si,no,no,no,si,no,no,no,no,no,no
Sí,Femenino,18,6,BTS,Masculino,No,no,no,no,no,no,no,no,no,no,si,si,no,no,no,3,si,si,si,si,si,si,no,350,si,si,4,No,si,si,si,no,si,si,si,si,si,si,si,no
Sí,Femenino,13,3,Twice,Femenino,Si,no,no,no,no,no,no,si,no,si,si,si,no,si,no,5,si,si,si,si,si,si,si,200,si,si,4,Sí,si,si,no,no,si,si,si,si,no,si,no,no
Sí,Femenino,15,3,BlackPink,Femenino,Si,si,si,no,no,no,no,no,no,no,si,no,no,no,no,1,no,si,no,no,si,si,no,200,si,si,4,No,si,no,no,no,si,no,si,si,no,no,no,no
Sí,Femenino,13,10,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,2,no,si,no,no,no,no,no,600,si,no,5,Sí,si,no,no,no,si,si,si,si,si,si,si,no
Sí,Femenino,13,2,BlackPink,Femenino,No,no,no,no,no,no,no,no,no,no,si,si,no,no,no,7,si,no,si,no,si,no,no,70,no,si,4,No,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Femenino,13,2,BTS,Masculino,Si,no,no,no,no,no,no,si,no,no,si,no,no,no,no,4,si,si,si,no,si,no,no,100,no,si,5,Sí,si,si,no,no,si,si,si,no,no,si,no,no
Sí,Femenino,15,2,BlackPink,Femenino,Si,no,no,no,no,no,no,si,no,no,si,si,no,no,no,2,si,no,si,no,no,no,no,50,si,no,3,No,no,si,no,no,no,si,no,si,no,no,no,no
Sí,Masculino,13,12,BlackPink,Femenino,No,no,no,no,no,no,no,si,si,no,si,si,si,si,no,1,no,si,si,si,si,no,no,30,si,no,3,Sí,si,no,no,no,no,si,si,si,no,no,si,no
Sí,Femenino,14,4,Twice,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,5,si,si,si,si,no,si,no,20,si,no,5,No,si,si,si,no,si,si,si,si,si,no,no,no
Sí,Femenino,17,6,Twice,Femenino,Si,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,si,si,si,si,si,si,no,1600,si,si,3,No,si,si,si,no,si,no,si,si,no,no,no,no
Sí,Femenino,14,4,Twice,Femenino,No,no,no,no,no,no,no,si,no,no,no,si,no,no,no,1,no,no,si,no,no,no,no,90,si,no,3,No,si,no,no,no,si,si,si,no,si,no,no,no
Sí,Femenino,13,5,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,si,no,2,si,si,no,no,si,no,no,50,si,no,3,No,si,si,no,no,si,si,si,no,no,no,no,no
Sí,Femenino,13,10,Twice,Femenino,No,no,no,no,no,no,no,si,no,si,si,si,no,no,no,1,no,no,si,no,no,no,no,100,no,si,3,No,si,no,no,no,no,si,no,no,no,no,no,no
Sí,Femenino,19,3,TXT,Masculino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,no,si,si,no,si,no,no,30,si,no,3,Sí,si,no,no,no,si,no,si,no,si,no,no,no
Sí,Femenino,18,2,StrayKids,Masculino,No,si,si,no,si,si,si,no,no,si,si,si,no,si,no,4,si,si,si,no,si,si,no,100,si,si,4,No,si,si,no,no,si,si,no,si,si,no,si,no
Sí,Femenino,15,4,BlackPink,Femenino,Si,no,no,no,no,si,no,no,no,si,si,si,no,no,no,2,no,si,no,no,si,no,si,10,si,no,4,Sí,si,si,no,no,si,si,si,no,no,no,no,no
Sí,Femenino,13,3,BTS,Masculino,No,no,no,no,no,no,no,si,no,si,si,si,no,no,no,11,si,si,si,si,si,si,no,100,si,si,5,No,si,no,no,no,si,no,no,si,si,no,no,no
Sí,Femenino,13,1,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,8,no,no,si,no,no,no,no,500,no,si,4,No,no,si,no,no,si,si,si,no,si,no,no,no
Sí,Femenino,13,10,BTS,Masculino,Si,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,no,no,si,no,no,no,no,20,si,no,2,No,no,si,no,no,,,,,,,,
Sí,Femenino,12,1,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,si,no,si,no,no,no,1,no,si,no,no,si,no,no,100,si,no,3,No,si,no,no,no,,,,,,,,
