Marca temporal,¿Con qué género te identificas?,¿Cuál es tu edad?  (Ejemplo: 19),¿Cuál es la carrera que estudias en UTEC?,"¿Qué número de ciclo estas cursando en el 2023-1?  (Ejemplo: 3, 4, 5)",¿Cuánto fue tu promedio ponderado en el ciclo 2022 - 1? (Ejemplo: 15.4),¿Cuánto fue tu promedio ponderado en el ciclo 2022 - 2? (Ejemplo: 16.5),¿Cuánto fue tu peso en kilogramos en el ciclo 2022-1? (Ejemplo: 52.5),¿Cuánto fue tu peso en kilogramos en el ciclo 2022-2?  (Ejemplo: 51.5),"¿Cuánto fue tu estatura en el ciclo 2022-1? (Colocar en metros, ejemplo: 1.62)",¿Cuánto fue tu tu estatura en el ciclo 2022-2? (Colocar en metros. Ejemplo: 1.62),¿Cómo consideras que fueron tus hábitos alimenticios en el ciclo 2022-1?,¿Cómo consideras que fueron tus hábitos alimenticios en el ciclo 2022-2? ,¿Cuántas veces al día comías en el ciclo 2022-1?,¿Cuántas veces al día comías en el ciclo 2022-2?,¿Cuántas porciones de frutas y/o verduras consumías al día en el ciclo 2022 - 1?,¿Cuántas porciones de frutas y/o verduras consumías al día en el ciclo 2022 - 2?,"¿Cuántas porciones de carbohidratos consumías al día en el ciclo 2022 - 1?  (arroz, pastas, legumbres, cereales, etc)","¿Cuántas porciones de carbohidratos consumías al día en el ciclo 2022 - 2?  (arroz, pastas, legumbres, cereales, etc)","¿Con qué frecuencia consumes bebidas alcohólicas? 
1. No consumo
2. Poco consumo
3. Consumo regular","¿Con qué frecuencia consumes energizantes y/o bebidas gasificadas? 
1. No consumo
2. Consumo muy poco (casi nada)
3. Consumo a veces
4. Consumo regularmente
5. Consumo casi siempre o siempre",¿Cuántas veces a la semana consumías comida rápida en el 2022 - 1?,¿Cuántas veces a la semana consumías comida rápida en el 2022 - 2?,"¿Cuántas horas en promedio a la semana realizabas alguna actividad física durante el ciclo 2022 - 1? (Ejemplo: 6.5 , 7.2 , 8.5)","¿Cuántas horas en promedio a la semana realizabas alguna actividad física durante el ciclo 2022 - 2? (Ejemplo: 6.5 , 7.2 , 8.5)","¿Cuántas horas en promedio aproximadamente dormías de lunes a sábado en el ciclo 2022 - 1? (Ejemplo: 6.5 , 7.2 , 8.5)","¿Cuántas horas en promedio aproximadamente dormías de lunes a sábado en el ciclo 2022 - 2?  (Ejemplo: 6.5 , 7.2 , 8.5)"
1/05/2023 11:05:49,Masculino,18,Ingeniería Química,4,12.3,13.5,68,70,1.65,1.65,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,3 veces al día,2 veces al día,2,4,1 - 2,1 - 2,0,0,8,7.5
1/05/2023 11:07:46,Masculino,19,Ingeniería de la Energía,3,15.4,14.7,75,72,1.68,1.68,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,2 veces al día,3 veces al día,1,3,1 - 2,No consumía,0,0,7.5,7
1/05/2023 11:09:11,Masculino,18,Ingeniería Mecatrónica,3,16.4,14.5,78,82,1.76,1.76,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,3,4,No consumía,No consumía,2.5,0,7,7
1/05/2023 11:11:08,Masculino,20,Ingeniería Industrial,5,16.3,15.8,89,78,1.71,1.71,Malo,Regular,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,2,4,3 - 4,No consumía,0,3.5,9,8
1/05/2023 11:12:29,Femenino,18,Bioingeniería,3,15.9,14.3,62,64,1.60,1.60,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,1,0,8,8
1/05/2023 11:14:20,Femenino,18,Bioingeniería,3,14.8,15.2,72,74,1.70,1.70,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,4,No consumía,No consumía,0,0,7,7
1/05/2023 11:16:38,Masculino,20,Ingeniería de la Energía,3,12.6,14.7,76,76,1.72,1.72,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,2,4,No consumía,No consumía,1.5,1.5,7,7
1/05/2023 11:18:58,Masculino,20,Ingeniería Industrial,4,12.4,14.8,75,71,1.67,1.67,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,2,7,7
1/05/2023 11:21:09,Masculino,18,Bioingeniería,4,13.7,15.8,64,62,1.70,1.70,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,2 veces al día,1 vez al día,2 veces al día,1,1,No consumía,No consumía,0,0,7.5,7
1/05/2023 11:23:33,Masculino,19,Ingeniería Industrial,3,16.7,16,77,74,1.68,1.68,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,3 veces al día,2 veces al día,1,4,1 - 2,No consumía,0,0,7,7
1/05/2023 11:25:16,Masculino,20,Ingeniería de la Energía,6,14,15.2,66,64,1.67,1.67,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,2 veces al día,1,2,No consumía,No consumía,0,0,6.5,6
1/05/2023 11:27:11,Masculino,18,Ingeniería Civil,3,14.8,13,74,72,1.70,1.70,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,4 veces al día,1 vez al día,3 veces al día,2,4,No consumía,No consumía,0,1.5,8,7.5
1/05/2023 11:28:46,Masculino,19,Ingeniería Ambiental,5,14.7,15.3,72,75,1.71,1.71,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,3 veces al día,2 veces al día,2,4,No consumía,No consumía,0,0,7.5,7
1/05/2023 11:30:36,Femenino,18,Ingeniería de la Energía,3,16.4,15.1,72,68,1.67,1.67,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,2 veces al día,3 veces al día,2,2,1 - 2,No consumía,0,2.5,8,7
1/05/2023 11:32:55,Masculino,19,Ingeniería de la Energía,4,13.7,14,76,71,1.73,1.73,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,1,No consumía,No consumía,0,2,7.5,7.5
1/05/2023 11:34:55,Masculino,22,Ingeniería Química,8,15.7,14.8,82,78,1.75,1.75,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,2,4,1 - 2,No consumía,0,1.5,6,6.5
1/05/2023 12:00:56,Femenino,19,Ingeniería Ambiental,4,13.5,14.6,58,59,1.62,1.62,Regular,Regular,3 veces al día,3 veces al día,2 veces al día,2 veces al día,3 veces al día,2 veces al día,1,2,1 - 2,1 - 2,0,0,6,6
1/05/2023 12:02:38,Masculino,18,Ingeniería Electrónica,3,13.5,14,60,62,1.65,1.66,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,2,2,3 - 4,1 - 2,0,1.5,5,5
1/05/2023 12:05:29,Masculino,19,Administración y Negocios Digitales,5,16.2,16,55,58,1.62,1.63,Regular,Regular,3 veces al día,4 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,2 veces al día,1,2,1 - 2,No consumía,0,1,5.5,6
1/05/2023 12:08:19,Masculino,18,Ingeniería Mecatrónica,3,14.6,16,64,64,1.63,1.64,Bueno,Bueno,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,1,3,No consumía,No consumía,2,2,5,7
1/05/2023 12:09:38,Femenino,19,Ingeniería Química,4,15,16.4,58,60,1.64,1.65,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,2 veces al día,1 vez al día,1,2,1 - 2,No consumía,0,0,6,6
1/05/2023 12:11:08,Masculino,18,Ingeniería Electrónica,3,15,14.3,65,66,1.60,1.60,Bueno,Regular,3 veces al día,2 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,3,No consumía,1 - 2,0,2,6,5
1/05/2023 12:13:10,Masculino,20,Ciencia de la computación,5,15.4,15,64,65,1.65,1.67,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,No consumía,2,2,6,5
1/05/2023 12:15:03,Masculino,18,Ingeniería Mecatrónica,3,12.5,14,64,60,1.62,1.63,Regular,Regular,3 veces al día,3 veces al día,4 veces al día,1 vez al día,1 vez al día,1 vez al día,1,3,1 - 2,No consumía,1,1,5,6
1/05/2023 12:16:49,Femenino,19,Ciencia de la computación,4,16,14.67,59,62,1.59,1.61,Bueno,Regular,3 veces al día,3 veces al día,2 veces al día,1 vez al día,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,0,6,7
1/05/2023 12:18:20,Masculino,18,Ciencia de Datos,3,14.6,15,67,65,1.67,1.67,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,0,5,5
1/05/2023 12:20:06,Femenino,20,Bioingeniería,4,16.5,14,60,60,1.59,1.60,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,2 veces al día,1 vez al día,1,1,1 - 2,No consumía,1,1,5.5,7
1/05/2023 12:22:10,Masculino,19,Ingeniería Electrónica,4,13.5,12.7,65,67,1.65,1.65,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,0,7,6
1/05/2023 12:26:47,Masculino,18,Ingeniería Mecatrónica,3,12.4,13.5,65,66,1.65,1.66,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,2 veces al día,1,3,1 - 2,No consumía,2,2,5,6
1/05/2023 12:29:16,Masculino,17,Ingeniería Electrónica,3,14.3,14.6,64,65,1.65,1.66,Regular,Regular,3 veces al día,4 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,2,2,No consumía,No consumía,0,0,7,5
1/05/2023 12:31:50,Masculino,19,Ingeniería de la Energía,4,16.4,14.5,64.5,66,1.67,1.69,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,1 - 2,2,1,5,6
1/05/2023 12:33:32,Femenino,18,Ingeniería Electrónica,3,15.4,13.7,58.5,60,1.64,1.65,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,2 veces al día,2,2,1 - 2,No consumía,0,0,4,5
1/05/2023 12:39:47,Masculino,20,Ciencia de la computación,5,14.5,15,64.5,66,1.64,1.66,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,3,No consumía,1 - 2,0,0,7,5
1/05/2023 12:41:42,Masculino,19,Ingeniería Industrial,4,14,15,64,65,1.65,1.66,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,2 veces al día,1 vez al día,1,2,1 - 2,No consumía,1,2,6,5
1/05/2023 12:43:37,Masculino,19,Ingeniería Civil,4,15.4,14.3,63,63,1.64,1.65,Bueno,Regular,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,1,2,No consumía,1 - 2,1,1,6,5
1/05/2023 12:47:07,Femenino,18,Ingeniería Mecánica,4,12.4,13.6,62.2,63,1.65,1.66,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,No consumía,1,1,5,6
1/05/2023 12:49:06,Masculino,18,Ingeniería Electrónica,3,16.3,14,57.6,58.2,1.60,1.61,Bueno,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,3,1 - 2,3 - 4,1,1,6,6
1/05/2023 12:51:30,Masculino,19,Ciencia de la computación,4,15,14.8,62,63,1.66,1.66,Regular,Regular,3 veces al día,2 veces al día,1 vez al día,1 vez al día,2 veces al día,1 vez al día,2,2,3 - 4,1 - 2,1,1,5,6
1/05/2023 12:54:07,Masculino,20,Bioingeniería,5,14.5,16,63,65,1.67,1.67,Bueno,Regular,3 veces al día,2 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,2,1,1 - 2,1 - 2,0,0,6,6
1/05/2023 12:56:31,Masculino,21,Ingeniería de la Energía,4,13.6,15.2,59,60,1.65,1.65,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,4,No consumía,No consumía,1,1,5,5
1/05/2023 12:58:27,Masculino,18,Administración y Negocios Digitales,3,16.2,15,61,59,1.55,1.56,Regular,Regular,4 veces al día,4 veces al día,2 veces al día,1 vez al día,2 veces al día,1 vez al día,2,2,No consumía,No consumía,0,1.5,6,6
1/05/2023 13:01:41,Femenino,19,Ciencia de Datos,3,16.5,15.8,61,60,1.63,1.63,Bueno,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,2,2,No consumía,No consumía,0,0,6,7
1/05/2023 13:13:50,Masculino,18,Ingeniería Civil,3,13.5,14.7,65,66,1.63,1.64,Regular,Regular,2 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,2,2,1 - 2,1 - 2,1,1,6,5
1/05/2023 18:37:18,Masculino,19,Ingeniería Mecánica,3,14.64,18.04,84.32,85.20,1.72,1.72,Bueno,Bueno,3 veces al día,3 veces al día,4 veces al día,4 veces al día,2 veces al día,2 veces al día,1,2,No consumía,No consumía,2.0,1.8,7.0,7.5
1/05/2023 22:04:18,Masculino,19,Ingeniería Electrónica,4,14.5,14,68,72,1.65,1.65,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,0,7,7
1/05/2023 22:26:02,Femenino,18,Ingeniería Civil,3,16.7,14.7,62,65,1.62,1.62,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,2 veces al día,3 veces al día,2 veces al día,2,2,No consumía,1 - 2,0,0,7.5,7.5
1/05/2023 22:28:04,Femenino,22,Bioingeniería,4,16.2,17.2,58,59,1.65,1.65,Regular,Regular,3 veces al día,3 veces al día,2 veces al día,2 veces al día,2 veces al día,2 veces al día,2,2,1 - 2,1 - 2,5,5,6,6
1/05/2023 22:28:15,Masculino,18,Ingeniería Mecánica,3,15.4,15,74,70,1.72,1.72,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,3,No consumía,No consumía,1.5,1.5,7.5,7
1/05/2023 22:33:33,Masculino,24,Ingeniería Mecatrónica,6,14.5,14.8,69,69,1.72,1.72,Bueno,Bueno,4 veces al día,4 veces al día,1 vez al día,2 veces al día,3 veces al día,3 veces al día,1,1,No consumía,1 - 2,2,2,5,5
1/05/2023 22:41:28,Masculino,18,Ingeniería Industrial,3,14.7,15.3,77,72,1.69,1.69,Regular,Bueno,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,3,3 - 4,No consumía,0,1.5,6.5,7
1/05/2023 22:43:51,Masculino,18,Ingeniería Industrial,3,14.7,16.2,68,75,1.65,1.65,Bueno,Regular,3 veces al día,4 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,1,2,No consumía,1 - 2,2,0,7.5,7
1/05/2023 22:46:31,Masculino,19,Ingeniería Química,3,14.7,15.2,65,75,1.67,1.67,Bueno,Regular,2 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,3 veces al día,4 veces al día,2,3,No consumía,1 - 2,0,0,7.5,7.5
1/05/2023 22:48:30,Masculino,19,Ingeniería Civil,4,12.7,13.8,78,75,1.72,1.72,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,2 veces al día,1,3,No consumía,No consumía,0,0,7.5,7
1/05/2023 22:55:07,Femenino,18,Ingeniería Electrónica,4,16.4,15.2,68,74,1.65,1.65,Bueno,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,3 veces al día,1 vez al día,1,2,No consumía,1 - 2,0,0,7.5,6.5
1/05/2023 22:58:34,Masculino,18,Ingeniería Ambiental,4,14.7,15.8,77,75,1.73,1.73,Bueno,Bueno,3 veces al día,2 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,2,3,1 - 2,No consumía,0,0,7.5,7
1/05/2023 22:59:57,Femenino,22,Ingeniería de la Energía,7,14.5,15.4,67,69,1.65,1.65,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,1 vez al día,3 veces al día,3 veces al día,1,3,No consumía,1 - 2,1.5,1.5,7,6.5
1/05/2023 23:03:49,Masculino,19,Ingeniería Ambiental,4,15.2,15,63,67,1.65,1.65,Bueno,Bueno,3 veces al día,2 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,2 veces al día,1,3,No consumía,1 - 2,1.5,2,7,7
1/05/2023 23:10:03,Masculino,18,Ingeniería Industrial,4,13.8,15.7,75,77,1.71,1.71,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,3 veces al día,2 veces al día,1,4,No consumía,No consumía,1.5,1.5,7,7
1/05/2023 23:11:53,Femenino,20,Ingeniería Mecánica,6,17.8,16.4,67,65,1.64,1.64,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,3 veces al día,2 veces al día,2,1,1 - 2,No consumía,1.5,1.5,7.5,7
1/05/2023 23:22:37,Masculino,20,Bioingeniería,3,14.8,15.7,62,64,1.60,1.60,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,1,2,No consumía,No consumía,1.5,1.5,7,7.5
1/05/2023 23:32:21,Masculino,18,Ingeniería Mecatrónica,4,17.5,16.4,68,64,1.65,1.65,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,2 veces al día,3 veces al día,1,1,No consumía,No consumía,1.5,1.5,6,7
1/05/2023 23:38:17,Masculino,18,Ingeniería Ambiental,4,14.7,13.8,64,67,1.64,1.64,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,2 veces al día,2 veces al día,1,3,No consumía,No consumía,0,0,8,8
1/05/2023 23:39:54,Masculino,18,Ingeniería Civil,4,16.5,14.3,79,78,1.75,1.75,Bueno,Bueno,3 veces al día,2 veces al día,2 veces al día,2 veces al día,1 vez al día,1 vez al día,2,3,No consumía,No consumía,1.5,1.5,7.5,7.5
1/05/2023 23:41:41,Femenino,21,Ingeniería Industrial,6,14.8,15.7,64,67,1.62,1.62,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,3 veces al día,2 veces al día,1,4,No consumía,No consumía,0,0,8,7.5
1/05/2023 23:44:14,Masculino,18,Ingeniería Ambiental,4,16.7,14.2,72,75,1.70,1.70,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,1,1,No consumía,No consumía,0,1.5,7.5,7
1/05/2023 23:46:07,Masculino,19,Ingeniería Ambiental,3,14.3,12.5,77,71,1.68,1.68,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,3 veces al día,1 vez al día,2 veces al día,2,1,No consumía,No consumía,1.5,0,8,7
2/05/2023 8:59:34,Femenino,20,Ingeniería de la Energía,5,13.5,14,55.5,57,1.55,1.55,Malo,Regular,5 veces al día,4 veces al día,2 veces al día,3 veces al día,4 veces al día,3 veces al día,1,1,3 - 4,3 - 4,3,6.5,6,6
2/05/2023 9:01:53,Femenino,22,Bioingeniería,6,15,16,60,58,1.6,1.6,Regular,Bueno,4 veces al día,4 veces al día,3 veces al día,3 veces al día,2 veces al día,2 veces al día,1,1,3 - 4,1 - 2,2,7,6,7
2/05/2023 16:52:47,Masculino,20,Ingeniería de la Energía,1,0.00,16.52,7452,75.68,177,1.79,Regular,Regular,3 veces al día,5 veces al día,5 veces al día,5 veces al día,2 veces al día,3 veces al día,1,5,5 o más,3 - 4,10.2,9.4,68,7.0
2/05/2023 16:56:46,Femenino,20,Bioingeniería,7,16.25,11.20,78.6,79.0,1.78,1.79,Malo,Malo,4 veces al día,3 veces al día,4 veces al día,4 veces al día,4 veces al día,3 veces al día,2,4,3 - 4,1 - 2,15.6,14.5,15.4,16.5
2/05/2023 16:59:42,Femenino,22,Ingeniería Química,7,17.2,16.8,65.8,66.4,1.68,1.68,Regular,Bueno,3 veces al día,4 veces al día,3 veces al día,4 veces al día,2 veces al día,3 veces al día,1,3,1 - 2,No consumía,140,8.0,340,35.2
2/05/2023 19:49:47,Masculino,18,Ciencia de la computación,3,13.7,14.5,62,63,1.63,1.63,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,1,1,No consumía,No consumía,0,0,5,5
2/05/2023 19:51:54,Femenino,19,Ingeniería Industrial,4,15,14,59.5,60,1.57,1.58,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,1 - 2,0,0,5,6
2/05/2023 19:54:50,Masculino,19,Ingeniería de la Energía,3,16.3,15.4,59,60,1.60,1.61,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,0,6,6
2/05/2023 19:57:58,Masculino,18,Ingeniería Industrial,3,16,13.5,64.6,66.3,1.65,1.65,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,1 - 2,0,0,5,5
2/05/2023 20:03:17,Masculino,18,Ingeniería Mecánica,4,14,17,65.7,66,1.67,1.67,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,1 - 2,0,0,5,5
2/05/2023 20:05:31,Femenino,18,Bioingeniería,3,15.67,15,62.5,63,1.62,1.63,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,1 - 2,0,0,5,5
2/05/2023 21:32:22,Masculino,18,Ingeniería Mecatrónica,3,15.4,13.7,62.5,64,1.64,1.65,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,1 - 2,0,0,6,6
2/05/2023 21:34:09,Femenino,18,Ciencia de Datos,3,16.4,14.5,58.8,60,1.59,1.60,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,1,3,1 - 2,No consumía,0,0,6,6
