"Edad","Sexo","Distrito","Ocupación","Conocimiento de la existencia de las billeteras digitales antes de la pandemia","Utilización de las billeteras digitales antes de la pandemia","Principal razón de la utilización de las billeteras digitales antes de la pandemia","Principal razón de la NO utilización de las billeteras digitales antes de la pandemia","Utilización de las billeteras digitales actualmente","Billetera digital más usada","Segunda billetera digital más usada","Tiempo de utilización de la billetera digital","Razones iniciales de uso","Razones actuales de uso","Billeteras digitales como principal método de pago","Intención de utilización de billeteras digitales","Método principal de pago","Factores de impedimento para la utilización de billeteras digitales","Gasto promedio diario pre-pandemia con método principal de pago","Gasto promedio diario actual con método principal de pago","Nivel de comodidad con el método principal de pago","Nivel de creencia de la rapidez de las billeteras digitales","Miembros de la familia que utilizan billeteras digitales"
57,"Femenino","Surquillo","Trabajo profesional","Sí","Sí","Accesibilidad (ej.: Realizar transferencias desde el teléfono)",NA,"Sí","Yape","Plin",5,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,30,80,"5","5",4
46,"Femenino","San Borja","Oficio","No",NA,NA,NA,"Sí","Yape","Plin",24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,300,50,"5","5",3
18,"Masculino","San Borja","Estudiante","No",NA,NA,NA,"Sí","Yape","Ninguno",3,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",50,50,"5","5",5
47,"Femenino","San Miguel","Trabajo profesional","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Tarjeta (de crédito o de débito)","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",50,50,"5","2",3
36,"Femenino","Santa Anita","Trabajo profesional","Sí","Sí","Seguridad (ej.: Menos riesgo de robo)",NA,"Sí","Yape","Yape",60,"Miedo al contagio por COVID-19, Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Sí",NA,NA,NA,50,30,"5","5",5
31,"Femenino","Ate","Trabajo profesional","No",NA,NA,NA,"Sí","Plin","Ninguno",6,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","No",NA,"Tarjeta (de crédito o de débito)","Ninguna de las anteriores",20,50,"5","4",1
29,"Femenino","Rímac","Trabajo profesional","Sí","No",NA,"Desconocimiento de la forma en cómo se usa este método de pago","No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",40,40,"4","3",0
50,"Masculino","Lima","Oficio","Sí","Sí","Necesidad (ej.: Este medio era muy usado en su entorno)",NA,"Sí","Yape","Plin",36,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Sí",NA,NA,NA,1000,500,"5","5",5
48,"Femenino","Santiago de Surco","Trabajo profesional","No",NA,NA,NA,"Sí","Plin","Yape",36,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Sí",NA,NA,NA,30,50,"4","4",2
40,"Femenino","Santiago de Surco","Trabajo profesional","No",NA,NA,NA,"Sí","Yape","Plin",48,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Sí",NA,NA,NA,400,400,"4","4",4
44,"Femenino","Rímac","Trabajo profesional","No",NA,NA,NA,"Sí","Yape","Yape",2,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Sí",NA,NA,NA,1,200,"3","3",2
28,"Masculino","Santa Anita","Oficio","Sí","No",NA,"Poca/nula necesidad","No",NA,NA,NA,NA,NA,NA,"No","Tarjeta (de crédito o de débito)","Falta de necesidad",35,50,"2","3",0
18,"Masculino","Barranco","Estudiante","Sí","No",NA,"Desconfianza (ej.: Sentimiento de vulnerabilidad)","No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Falta de necesidad",25,20,"5","2",2
57,"Masculino","Surquillo","Trabajo profesional","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Tarjeta (de crédito o de débito)","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",70,70,"5","5",3
35,"Masculino","Puente Piedra","Trabajo profesional","Sí","No",NA,"Desconocimiento de la forma en cómo se usa este método de pago","Sí","Plin","Ninguno",36,"Miedo al contagio por COVID-19","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Sí",NA,NA,NA,30,40,"3","3",5
49,"Femenino","La Molina","Trabajo profesional","Sí","No",NA,"Desconfianza (ej.: Sentimiento de vulnerabilidad)","Sí","Yape","Ninguno",1,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Transferencia bancaria","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",200,200,"4","5",5
21,"Femenino","El Agustino","Estudiante","Sí","No",NA,"Poca/nula necesidad","Sí","Yape","Ninguno",12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",50,10,"5","4",3
18,"Femenino","Callao *","Estudiante","Sí","No",NA,"Ninguna de las anteriores","Sí","Yape","Plin",7,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,15,15,"5","5",7
30,"Masculino","Chorrillos","Trabajo profesional","No",NA,NA,NA,"Sí","Yape","Ninguno",24,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,25,25,"5","5",2
36,"Masculino","Callao *","Trabajo profesional","No",NA,NA,NA,"Sí","Plin","Yape",18,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,1100,1500,"5","5",2
36,"Masculino","Callao *","Trabajo profesional","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",1500,1500,"4","5",0
59,"Masculino","La Molina","Trabajo profesional","Sí","Sí","Necesidad (ej.: Este medio era muy usado en su entorno)",NA,"Sí","Plin","Ninguno",48,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Sí",NA,NA,NA,150,70,"4","4",3
38,"Masculino","Callao *","Trabajo profesional","Sí","Sí","Accesibilidad (ej.: Realizar transferencias desde el teléfono)",NA,"Sí","Plin","Yape",3,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,2000,100,"5","5",2
38,"Masculino","Callao *","Trabajo profesional","Sí","Sí","Seguridad (ej.: Menos riesgo de robo)",NA,"Sí","Yape","Plin",60,"Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Sí",NA,NA,NA,150,150,"5","5",6
37,"Masculino","Puente Piedra","Trabajo profesional","No",NA,NA,NA,"Sí","Plin","Yape",24,"Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,20,40,"4","5",6
20,"Femenino","Chorrillos","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Falta de necesidad, Incomodidad, Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",15,10,"3","4",0
37,"Femenino","San Juan de Miraflores","Trabajo profesional","Sí","Sí","Accesibilidad (ej.: Realizar transferencias desde el teléfono)",NA,"Sí","Yape","Agora PAY",48,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,20,50,"5","5",3
36,"Masculino","Callao *","Trabajo profesional","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Yape","Plin",72,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",3000,3000,"5","3",3
40,"Masculino","Callao *","Trabajo profesional","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Plin","Yape",36,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,80,80,"5","5",4
36,"Femenino","San Martín de Porres","Oficio","No",NA,NA,NA,"Sí","Plin","Yape",30,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",30,40,"4","4",4
37,"Masculino","San Martín de Porres","Trabajo profesional","No",NA,NA,NA,"Sí","Yape","Plin",5,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",50,50,"1","4",5
18,"Masculino","Lima","Estudiante","No",NA,NA,NA,"Sí","Plin","Yape",6,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","No",NA,"Tarjeta (de crédito o de débito)","Falta de necesidad",5,20,"5","5",3
20,"Femenino","Pueblo Libre","Estudiante","No",NA,NA,NA,"Sí","Yape","Plin",6,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,80,100,"5","4",3
19,"Masculino","Comas","Estudiante","Sí","No",NA,"Ninguna de las anteriores","Sí","Yape","Agora PAY",14,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,15,15,"5","3",4
37,"Femenino","Callao *","Trabajo profesional","No",NA,NA,NA,"Sí","Yape","Plin",24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",50,50,"4","3",3
44,"Femenino","La Molina","Trabajo profesional","No",NA,NA,NA,"Sí","Plin","Yape",24,"Miedo al contagio por COVID-19, Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Costumbre","Sí",NA,NA,NA,20,30,"5","4",3
17,"Femenino","Carabayllo","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Falta de necesidad, Desconocimiento de cómo usar este tipo de método de pago",10,15,"3","4",3
17,"Femenino","Lurigancho","Estudiante","No",NA,NA,NA,"Sí","Yape","Plin",24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,20,30,"5","3",3
44,"Masculino","La Molina","Trabajo profesional","No",NA,NA,NA,"Sí","Plin","Yape",2,"Miedo al contagio por COVID-19, Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,250,550,"5","5",2
51,"Femenino","La Molina","Trabajo profesional","Sí","Sí","Accesibilidad (ej.: Realizar transferencias desde el teléfono)",NA,"Sí","Yape","Ninguno",40,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Costumbre","No",NA,"Tarjeta (de crédito o de débito)","Ninguna de las anteriores",70,100,"4","5",3
51,"Masculino","La Molina","Trabajo profesional","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Plin","Ninguno",12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Tarjeta (de crédito o de débito)","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",100,100,"3","4",0
46,"Femenino","La Molina","Trabajo profesional","No",NA,NA,NA,"Sí","Plin","Yape",4,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,80,100,"5","5",3
18,"Masculino","San Juan de Miraflores","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Falta de necesidad",1,1.5,"3","3",1
58,"Femenino","Pachacamac","Trabajo profesional","Sí","Sí","Accesibilidad (ej.: Realizar transferencias desde el teléfono)",NA,"Sí","Yape","Ninguno",40,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,100,200,"4","5",3
21,"Femenino","Puente Piedra","Estudiante","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Yape","Ninguno",3,"Miedo al contagio por COVID-19, Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,10,20,"4","5",8
18,"Femenino","Barranco","Estudiante","No",NA,NA,NA,"Sí","Yape","Plin",3,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,1,5,"5","5",3
19,"Masculino","Santiago de Surco","Estudiante","Sí","No",NA,"Ninguna de las anteriores","Sí","Yape","Plin",12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,5,15,"4","4",4
22,"Masculino","La Molina","Estudiante","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Yape","Plin",58,"Miedo al contagio por COVID-19, Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Sí",NA,NA,NA,15,8,"4","3",5
28,"Masculino","La Molina","Trabajo profesional","Sí","Sí","Accesibilidad (ej.: Realizar transferencias desde el teléfono)",NA,"Sí","Yape","Tunki",62,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,8,12,"4","3",2
35,"Femenino","San Borja","Trabajo profesional","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Plin","Yape",54,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","No",NA,"Tarjeta (de crédito o de débito)","Falta de necesidad",15,5,"5","3",3
17,"Masculino","San Juan de Lurigancho","Estudiante","Sí","No",NA,"Ninguna de las anteriores","No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Ninguna de las anteriores",30,30,"4","5",0
24,"Masculino","Santa Anita","Estudiante","Sí","Sí","Accesibilidad (ej.: Realizar transferencias desde el teléfono)",NA,"Sí","Yape","Plin",24,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,200,300,"4","4",2
22,"Masculino","San Juan de Lurigancho","Estudiante","No",NA,NA,NA,"Sí","Yape","Ninguno",12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,5,20,"4","3",4
23,"Masculino","San Juan de Lurigancho","Estudiante","Sí","Sí","Seguridad (ej.: Menos riesgo de robo)",NA,"Sí","Yape","Ninguno",24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Sí",NA,NA,NA,100,300,"4","4",5
22,"Masculino","San Juan de Lurigancho","Trabajo profesional","Sí","Sí","Seguridad (ej.: Menos riesgo de robo)",NA,"Sí","Apple Wallet","Yape",24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","Sí",NA,NA,NA,20,50,"5","4",5
17,"Femenino","Miraflores","Estudiante","No",NA,NA,NA,"Sí","Yape","Ninguno",14,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","No",NA,"Tarjeta (de crédito o de débito)","Ninguna de las anteriores",2,15,"5","5",3
18,"Femenino","Callao *","Estudiante","No",NA,NA,NA,"Sí","Yape","Ninguno",16,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","No",NA,"Efectivo","Falta de necesidad",25,30,"4","4",4
29,"Femenino","La Victoria","Trabajo profesional","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Tarjeta (de crédito o de débito)","Falta de necesidad, Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",400,1800,"1","3",0
42,"Masculino","El Agustino","Trabajo profesional","No",NA,NA,NA,"Sí","Yape","Ninguno",12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Costumbre","No",NA,"Tarjeta (de crédito o de débito)","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",50,60,"4","5",2
23,"Masculino","Santiago de Surco","Estudiante","Sí","No",NA,"Desconocimiento de la forma en cómo se usa este método de pago","No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",20,20,"4","4",2
19,"Masculino","Santiago de Surco","Estudiante","Sí","No",NA,"Poca/nula necesidad","No",NA,NA,NA,NA,NA,NA,"Sí","Tarjeta (de crédito o de débito)","Falta de necesidad",2,20,"5","4",0
20,"Femenino","Miraflores","Estudiante","Sí","No",NA,"Desconocimiento de la forma en cómo se usa este método de pago","Sí","Yape","Yape",6,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","Sí",NA,NA,NA,19,15,"5","5",3
19,"Masculino","Santiago de Surco","Estudiante","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Yape","Ninguno",2,"Ninguna de las anteriores","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",20,25,"4","5",2
21,"Masculino","Magdalena del Mar","Estudiante","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Yape","Plin",48,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Tarjeta (de crédito o de débito)","Ninguna de las anteriores",20,35,"5","4",4
19,"Masculino","Chorrillos","Estudiante","No",NA,NA,NA,"Sí","Yape","Plin",1,"Miedo al contagio por COVID-19, Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","Sí",NA,NA,NA,20,50,"4","5",2
20,"Masculino","Pachacamac","Estudiante","Sí","No",NA,"Desconocimiento de la forma en cómo se usa este método de pago","Sí","Yape","Plin",10,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",50,100,"3","3",2
21,"Masculino","Barranco","Estudiante","Sí","Sí","Seguridad (ej.: Menos riesgo de robo)",NA,"Sí","Agora PAY","Plin",5,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","No",NA,"Tarjeta (de crédito o de débito)","Ninguna de las anteriores",20,30,"5","4",4
17,"Masculino","Independencia","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Falta de necesidad",1,20,"3","4",2
19,"Masculino","Barranco","Estudiante","Sí","No",NA,"Poca/nula necesidad","Sí","Yape","Ninguno",8,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Efectivo","Falta de necesidad",1,25,"5","4",3
18,"Masculino","Lince","Estudiante","No",NA,NA,NA,"Sí","Yape","Ninguno",15,"Miedo al contagio por COVID-19, Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,50,50,"5","1",5
