Marca temporal,¿Cuál es su edad?,¿En qué periodo ingresó a UTEC?,¿A qué carrera perteneces?,¿A qué escala del sistema de pensiones de UTEC perteneces?,¿Has reprobado algún curso?,¿Cuántas veces has reprobado?,¿Qué curso(s) de CIENCIAS GENERALES has reprobado?,"¿Qué curso(s) de HUMANIDADES, ARTE Y CIENCIAS SOCIALES (HACS)has reprobado? ","¿Qué curso(s) de PROYECTOS INTERDISCIPLINARIOS, TESIS Y REAL LIFE EXPERIENCE has desaprobado?",¿Qué curso(s) de GESTIÓN has reprobado?,¿Has jalado algún curso de CARRERA?,"En general, ¿cuáles consideras que han sido los motivos por los que has desaprobado el/los curso(s)?",¿Actualmente te encuentras en riesgo académico?,¿Cuántas veces te has retirado de un curso?,¿Por qué te retiraste?,¿Cuántas horas estudias a la semana?,¿Cuántas horas duermes al día?,¿Cuántas horas a la semana practicas deporte?,¿Cuál es su promedio ponderado acumulado de la carrera? Ingrese solo el número con dos decimales separados por un punto decimal. (Ej: 14.27),¿Cuál fue su promedio ponderado en el primer ciclo?  Ingrese solo el número con dos decimales separados por un punto decimal. (Ej: 14.27),¿Cuál fue su promedio ponderado en el último ciclo (ciclo anterior)?  Ingrese solo el número con dos decimales separados por un punto decimal. (Ej: 14.27)
2/10/2021 17:50:04,19,2021-1,Bioingeniería,E,Si,1,Matematicas I - Calculo de una variable - Calculo Vectorial,Ninguno,Ninguno,Ninguno,No,"Porque me relaje demasiado., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,1,7,1,8.56,8.56,8.56
15/10/2021 14:26:14,17,2021-1,Ciencias de la Computación,A,No,,,,,,,,,0,No me he retirado de ningún curso.,5,7,0,15.95,15.95,15.95
19/10/2021 22:30:14,21,2017-1,Bioingeniería,C,Si,2,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica I - Introduccion a la Mecanica",Ninguno,Ninguno,Ninguno,No,Porque estaba llevando demasiados cursos.,No,1,Porque lo iba a desaprobar.,6,7,10,13.04,14.54,12.76
26/10/2021 13:36:37,27,2018-2,Ing. Mecatrónica,D,No,,,,,,,,,0,No me he retirado de ningún curso.,21,8,2,16.36,17.47,16.2
26/10/2021 14:52:38,20,2018-1,Ing. de la Energía,B,Si,2,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica I - Introduccion a la Mecanica",Ninguno,Ninguno,Ninguno,No,"Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,9,7,0,15.21 ,12.2,15.4
28/10/2021 9:55:35,19,2020-2,Ing. de la Energía,E,No,,,,,,,,,0,No me he retirado de ningún curso.,20,5,2,15.99,15.62,16.25
28/10/2021 10:07:20,18,2021-1,Ciencias de la Computación,D,No,,,,,,,,,0,No me he retirado de ningún curso.,9,8,3,17.5,17.5,17.5
28/10/2021 10:07:21,18,2020-1,Ciencias de la Computación,Becado por UTEC,No,,,,,,,,,0,No me he retirado de ningún curso.,4,7,1,15.61,16.24,15.52
28/10/2021 10:08:17,18,2020-2,Ing. Mecatrónica,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,5,7,0,14.85,14.62,15
28/10/2021 10:12:13,18,2020-2,Ing. Mecatrónica,Becado por Terceros,No,,,,,,,,,1,Porque lo iba a desaprobar.,4,8,1,14.22,13.12,14.21
28/10/2021 10:14:41,19,2020-1,Ing. Mecatrónica,B,No,,,,,,,,,0,No me he retirado de ningún curso.,5,7,0,14.81,15.95,15.82
28/10/2021 10:18:40,17,2021-1,Ciencias de la Computación,Becado por UTEC,No,,,,,,,,,0,No me he retirado de ningún curso.,10,6,4,17,17,17
28/10/2021 10:19:10,19,2020-1,Ing. Civil,E,Si,1,Fisica I - Introduccion a la Mecanica,Ninguno,Ninguno,Ninguno,No,Otro,No,0,No me he retirado de ningún curso.,6,6,5,14.4,13,15.80
28/10/2021 10:25:32,19,2021-1,Ciencias de la Computación,E,No,,,,,,,,,0,Otro,3,6,1,15,15.00,15.00
28/10/2021 10:25:34,18,2020-2,Ing. Mecatrónica,Becado por Terceros,Si,6,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General, Quimica Experimental - Laboratorio de Quimica General, Fisica I - Introduccion a la Mecanica",Laboratorio de Comunicacion II,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Porque no asistía a las clases., Porque me relaje demasiado., Por problemas emocionales.",Sí,0,No me he retirado de ningún curso.,2,8,2,14.81,7.62,8.78
28/10/2021 10:34:12,21,2017-1,Ing. Industrial,E,Si,3,"Fisica I - Introduccion a la Mecanica, Estadistica y Probabilidades - Estadística y Probabilidades I, Matematicas III - Metodos Numericos",Ninguno,Ninguno,Ninguno,Sí,"Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar.",No,2,Porque lo iba a desaprobar.,6,6,0,12.4,15,14
28/10/2021 10:39:00,18,2021-1,Ing. Civil,D,Si,1,Quimica General,Ninguno,Ninguno,Ninguno,No,"Por problemas personales/familiares., Porque no asistía a las clases.",No,0,No me he retirado de ningún curso.,8,8,4,14.10,14.10,15
28/10/2021 10:44:27,17,2021-1,Ciencias de la Computación,D,Si,1,Matematicas I - Calculo de una variable - Calculo Vectorial,Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar.",No,0,No me he retirado de ningún curso.,6,6,6,12,12,12
28/10/2021 11:11:46,17,2021-1,Ing. Industrial,E,Si,1,Quimica General,Ninguno,Ninguno,Ninguno,Sí,Porque me relaje demasiado.,No,0,No me he retirado de ningún curso.,1,7,1,14.52,14.52,14.52
28/10/2021 11:13:42,18,2020-1,Ing. Mecatrónica,D,Si,5,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica II - Fundamentos de Electricidad y Magnetismo, Ciencia de los Materiales","Laboratorio de Comunicacion II, Arte y Tecnologia",Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado., Por problemas emocionales.",Sí,1,"Porque lo iba a desaprobar., Porque estaba llevando demasiados cursos.",3,8,5,13.5,11,12.7
28/10/2021 11:17:48,21,2019-2,Ing. Industrial,Becado por Terceros,Si,2,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica I - Introduccion a la Mecanica",Ninguno,Ninguno,Ninguno,No,Porque no le dediqué suficiente tiempo a estudiar.,No,0,No me he retirado de ningún curso.,5,4,1,14.23,13.28,14.56
28/10/2021 11:42:43,21,2020-1,Ing. Civil,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,10,5,2,16.87,16.22,17.57
28/10/2021 12:01:46,18,2021-1,Ciencias de la Computación,B,No,,,,,,,,,0,No me he retirado de ningún curso.,5,6,0,15.95,15.95,15.95
28/10/2021 12:09:48,20,2018-1,Bioingeniería,E,Si,3,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica II - Fundamentos de Electricidad y Magnetismo, Estadistica y Probabilidades - Estadística y Probabilidades I",Ninguno,Ninguno,Ninguno,No,"Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar.",Sí,2,Porque lo iba a desaprobar.,5,5,0,11.74,14.67,11.05
28/10/2021 12:09:50,17,2021-1,Ing. Ambiental,Becado por UTEC,Si,2,"Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Ninguno,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,2,6,2,11.15,11.15,11.15
28/10/2021 12:19:41,17,2021-1,Ciencias de la Computación,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,5,7,0,16.25,16.25,16.25
28/10/2021 12:34:04,18,2021-1,Ing. Química,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,3,6,2,17.70,17.70,17.70
28/10/2021 12:48:35,20,2019-1,Ing. Ambiental,E,Si,4,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica I - Introduccion a la Mecanica, Ciencia de los Materiales, Programación orientada a objetos I - Programación II",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar.",No,1,Porque lo iba a desaprobar.,4,6,2,14.18,14.45,15.53
28/10/2021 14:19:09,18,2019-1,Bioingeniería,Becado por UTEC,No,,,,,,,,,1,"Porque estaba llevando demasiados cursos., Otro",4,7,1,17.5,16.36,17.39
28/10/2021 14:34:17,18,2021-1,Ing. Industrial,E,Si,3,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Ninguno,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,3,7,2,9.80,9.80,9.80
28/10/2021 14:36:16,18,2021-1,Ing. Química,B,Si,2,"Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar.",No,0,No me he retirado de ningún curso.,3,6,2,13,13,13
28/10/2021 15:22:34,17,2021-1,Ing. Industrial,E,Si,4,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Ninguno,Proyecto Interdisciplinario I,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,5,7,0,5.75,5.75,5.75
28/10/2021 15:33:39,17,2021-1,Ciencias de la Computación,E,No,,,,,,,,,0,No me he retirado de ningún curso.,6,7,5,16.3,16.3,16.3
28/10/2021 16:45:20,19,2019-2,Ing. Civil,E,Si,3,"Introduccion a la Ciencia de la Computacion - Programacion I, Programación orientada a objetos I - Programación II, Termodinamica",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque el profesor no enseñaba bien.",No,1,Porque estaba llevando demasiados cursos.,6,5,1,16.37,12.23,13.5
28/10/2021 17:08:29,19,2019-1,Ing. Mecatrónica,E,Si,4,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica II - Fundamentos de Electricidad y Magnetismo, Programación orientada a objetos I - Programación II",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado., Por problemas emocionales.",Sí,3,"Porque estaba llevando demasiados cursos., Por cruce con mi horario de trabajo.",6,5,1,14.81,12.14,14.8
28/10/2021 19:10:08,19,2019-2,Ing. Mecatrónica,Becado por Terceros,Si,1,Introduccion a la Ciencia de la Computacion - Programacion I,Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar.",No,1,Porque estaba llevando demasiados cursos.,5,7,1,16,16.5,15.4
28/10/2021 19:43:07,20,2018-1,Ciencias de la Computación,E,Si,2,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica I - Introduccion a la Mecanica",Ninguno,Ninguno,Ninguno,Sí,"Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar.",No,2,Porque lo iba a desaprobar.,20,7,10,14.30,15.90,16.70
28/10/2021 20:06:43,21,2019-2,Ing. Electrónica,D,Si,4,"Fisica II - Fundamentos de Electricidad y Magnetismo, Estadistica y Probabilidades - Estadística y Probabilidades I, Programación orientada a objetos I - Programación II",Ninguno,Desafios Globales,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,10,8,5,13.2,13.6,12.9
28/10/2021 21:14:17,19,2019-1,Ciencias de la Computación,E,Si,3,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica II - Fundamentos de Electricidad y Magnetismo, Matematicas III - Metodos Numericos",Ninguno,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Porque no asistía a las clases., Porque me relaje demasiado., Por problemas emocionales.",Sí,2,Porque lo iba a desaprobar.,4,6,0,14.85,15.91,14.25
29/10/2021 0:42:12,19,2020-1,Ing. Mecánica,D,No,,,,,,,,,0,No me he retirado de ningún curso.,3,7,1,15.67,14.65,16.67
29/10/2021 15:16:12,17,2021-1,Ing. Civil,Becado por Terceros,Si,1,Quimica General,Ninguno,Ninguno,Ninguno,No,Por problemas personales/familiares.,No,1,"Porque lo iba a desaprobar., Porque el profesor no enseñaba bien.",20,7,3,1,11.5,1
29/10/2021 19:38:26,18,2020-2,Ing. Ambiental,Becado por Terceros,Si,1,Fisica II - Fundamentos de Electricidad y Magnetismo,Ninguno,Ninguno,Ninguno,No,"Por problemas personales/familiares., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,4,8,0,14.18,14.82,13.57
30/10/2021 0:51:40,21,2018-1,Bioingeniería,E,Si,9,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General, Quimica Experimental - Laboratorio de Quimica General, Fisica I - Introduccion a la Mecanica, Ciencia de los Materiales, Programación orientada a objetos I - Programación II","Laboratorio de Comunicacion I, Laboratorio de Comunicacion II, Arte y Tecnologia",Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado.",Sí,3,Porque lo iba a desaprobar.,4,5,0,14.81,8.18,14
31/10/2021 22:44:48,20,2019-1,Ing. Civil,Becado por Terceros,Si,4,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica I - Introduccion a la Mecanica, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal, Estadistica y Probabilidades - Estadística y Probabilidades I",Ninguno,Ninguno,Ninguno,No,"Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,1,Porque lo iba a desaprobar.,30,8,2,13.59,12.59,14.78
1/11/2021 12:36:02,20,2020-1,Ing. Civil,C,Si,1,Termodinamica,Ninguno,Ninguno,Ninguno,No,"Porque el profesor no enseñaba bien., Porque me relaje demasiado.",No,1,"Porque estaba llevando demasiados cursos., Porque el profesor no enseñaba bien., Otro",4,6,2,14.5,14.2,15.1
1/11/2021 12:37:33,17,2021-1,Ing. Química,Becado por UTEC,No,,,,,,,,,0,No me he retirado de ningún curso.,20,6,3,18.5,18.5,18.5
1/11/2021 12:39:40,21,2017-1,Ing. Industrial,E,Si,5,"Quimica Experimental - Laboratorio de Quimica General, Fisica I - Introduccion a la Mecanica, Fisica II - Fundamentos de Electricidad y Magnetismo, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal, Matematicas III - Metodos Numericos",Ninguno,Ninguno,Ninguno,No,"Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado., Por problemas emocionales.",Sí,0,No me he retirado de ningún curso.,2,7,0,12.31,13.73,10.79
1/11/2021 12:54:01,20,2021-2,Bioingeniería,Becado por Terceros,Si,1,Fisica I - Introduccion a la Mecanica,Ninguno,Ninguno,Ninguno,No,Por problemas personales/familiares.,No,0,No me he retirado de ningún curso.,5,7,2,13.5,13.5,13.5
1/11/2021 12:56:24,19,2020-1,Ing. Mecatrónica,D,Si,3,"Introduccion a la Ciencia de la Computacion - Programacion I, Fisica I - Introduccion a la Mecanica, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal",Ninguno,Ninguno,Ninguno,No,Porque estaba llevando demasiados cursos.,No,2,Porque estaba llevando demasiados cursos.,5,8,1,13.07,13.29,12.3
1/11/2021 12:58:13,18,2020-2,Ing. Civil,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,3,7,2,17,17.1,16.33
1/11/2021 13:02:11,18,2020-1,Bioingeniería,C,Si,4,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica I - Introduccion a la Mecanica, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal",Ninguno,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",Sí,1,Porque lo iba a desaprobar.,12,8,7,13.11,12.29,13
1/11/2021 13:11:58,20,2019-1,Ing. Civil,E,Si,2,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica I - Introduccion a la Mecanica",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado., Por problemas emocionales., Otro",No,1,Porque lo iba a desaprobar.,3,6,0,14.3,11.95,14.18
1/11/2021 13:53:53,20,2019-1,Ing. Industrial,C,Si,7,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica I - Introduccion a la Mecanica, Fisica II - Fundamentos de Electricidad y Magnetismo, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal, Estadistica y Probabilidades - Estadística y Probabilidades I, Programación orientada a objetos I - Programación II, Termodinamica",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado.",No,3,Porque lo iba a desaprobar.,4,8,5,12.75,11.68,12.79
1/11/2021 14:05:49,20,2021-1,Ing. Industrial,Becado por Terceros,Si,3,"Fisica I - Introduccion a la Mecanica, Estadistica y Probabilidades - Estadística y Probabilidades I",Laboratorio de Comunicacion II,Ninguno,Ninguno,No,Por problemas emocionales.,Sí,0,No me he retirado de ningún curso.,28,6,2,14.25,14.25,14.25
1/11/2021 14:32:56,20,2020-1,Ing. Mecánica,B,No,,,,,,,,,1,Porque el profesor no enseñaba bien.,5,7,1,16.59,16.2,16.5
1/11/2021 14:43:22,22,2019-2,Ing. Industrial,D,Si,2,"Introduccion a la Ciencia de la Computacion - Programacion I, Quimica General",Ninguno,Ninguno,Ninguno,No,Porque no le dediqué suficiente tiempo a estudiar.,No,0,No me he retirado de ningún curso.,6,7,3,13.04,10.27,14.57
1/11/2021 15:42:35,19,2021-1,Ciencias de la Computación,A,Si,1,Matematicas I - Calculo de una variable - Calculo Vectorial,Ninguno,Ninguno,Ninguno,Sí,Por problemas emocionales.,No,0,No me he retirado de ningún curso.,6,7,5,15.40,15.40,15.40
1/11/2021 16:26:56,20,2019-2,Ing. Civil,D,Si,2,"Fisica I - Introduccion a la Mecanica, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales., Otro",Sí,0,No me he retirado de ningún curso.,3,7,0,13.09,14.73,11.2
1/11/2021 16:55:43,20,2019-1,Ing. Industrial,E,Si,2,"Fisica I - Introduccion a la Mecanica, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado.",No,1,Porque lo iba a desaprobar.,6,8,0,14.25,15.27,15.27
2/11/2021 8:57:28,19,2020-1,Bioingeniería,A,No,,,,,,,,,0,No me he retirado de ningún curso.,6,7,2,16.85,17.68,17.05
2/11/2021 19:51:38,17,2021-1,Ing. Mecatrónica,E,Si,2,"Matematicas I - Calculo de una variable - Calculo Vectorial, Programación orientada a objetos I - Programación II",Ninguno,Ninguno,Ninguno,Sí,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar., Otro",Sí,0,No me he retirado de ningún curso.,30,7,1,11.3,11.3,11.3
2/11/2021 20:18:58,19,2020-1,Ing. Mecatrónica,Becado por Terceros,Si,2,"Introduccion a la Ciencia de la Computacion - Programacion I, Fisica I - Introduccion a la Mecanica",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar.",No,3,"Porque lo iba a desaprobar., Porque estaba llevando demasiados cursos.",13,6,4,13.86,12.28,16.57
3/11/2021 10:14:50,17,2021-1,Ciencias de la Computación,Becado por UTEC,No,,,,,,,,,0,No me he retirado de ningún curso.,10,6,0,14,14,14
1/12/2021 12:46:25,18,2020-1,Ing. Mecatrónica,E,Si,2,"Fisica II - Fundamentos de Electricidad y Magnetismo, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal",Ninguno,Ninguno,Ninguno,No,Porque no le dediqué suficiente tiempo a estudiar.,No,2,Porque lo iba a desaprobar.,3,7,3,15,15.7,14.6
1/12/2021 12:50:16,22,2020-1,Ing. Electrónica,Becado por UTEC,Si,1,Matematicas II - Ecuaciones Diferenciales - Algebra Lineal,Ninguno,Ninguno,Ninguno,No,"Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar.",No,3,Porque lo iba a desaprobar.,6,8,0,15.6,15,16
1/12/2021 12:50:35,17,2021-1,Ciencias de la Computación,D,Si,1,Matematicas I - Calculo de una variable - Calculo Vectorial,Ninguno,Ninguno,Ninguno,No,"Por problemas personales/familiares., Porque el profesor no enseñaba bien.",No,0,No me he retirado de ningún curso.,5,7,0,13,13,13
1/12/2021 12:52:18,19,2020-1,Ing. Electrónica,D,Si,4,"Introduccion a la Ciencia de la Computacion - Programacion I, Quimica General, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal",Ninguno,Desafios Globales,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar., Porque no asistía a las clases., Porque me relaje demasiado., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,5,6,3,11.4,10,12.3
1/12/2021 12:57:13,20,2018-1,Ing. Industrial,E,Si,6,"Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General, Fisica I - Introduccion a la Mecanica, Fisica II - Fundamentos de Electricidad y Magnetismo, Estadistica y Probabilidades - Estadística y Probabilidades I, Estadisticas y Probabilidades II",Ninguno,Ninguno,Ninguno,No,"Por problemas personales/familiares., Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,2,Porque lo iba a desaprobar.,5,7,0,12.55,13.18,13.12
1/12/2021 12:57:55,18,2020-1,Bioingeniería,D,No,,,,,,,,,0,No me he retirado de ningún curso.,16,5,1,14.81,15.43,18.74
1/12/2021 12:58:02,20,2020-1,Ing. Mecatrónica,E,No,,,,,,,,,1,Otro,6,7,0,15.45,16.19,15.77
1/12/2021 12:58:57,21,2017-1,Bioingeniería,C,Si,4,"Fisica I - Introduccion a la Mecanica, Fisica II - Fundamentos de Electricidad y Magnetismo, Estadistica y Probabilidades - Estadística y Probabilidades I, Termodinamica",Ninguno,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado.",No,1,Porque lo iba a desaprobar.,2,8,2,14.4,14.36,16.68
1/12/2021 13:08:36,17,2021-1,Bioingeniería,D,Si,2,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado.",No,0,No me he retirado de ningún curso.,3,7,0,12.75,12.75,12.75
1/12/2021 13:09:49,21,2020-1,Ing. Mecánica,D,Si,3,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque el profesor no enseñaba bien.",No,5,"Porque lo iba a desaprobar., Porque estaba llevando demasiados cursos., Porque el profesor no enseñaba bien.",10,6,4,12.8,11.2,12.65
1/12/2021 13:14:23,18,2020-1,Ing. Electrónica,E,Si,2,"Fisica I - Introduccion a la Mecanica, Programación orientada a objetos I - Programación II",Ninguno,Ninguno,Ninguno,No,Porque el profesor no enseñaba bien.,No,1,Porque lo iba a desaprobar.,4,7,6,13.87,14.59,15.78
1/12/2021 13:29:40,18,2021-1,Bioingeniería,D,Si,2,"Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Ninguno,Ninguno,Ninguno,Sí,"Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado., Por problemas emocionales.",Sí,0,No me he retirado de ningún curso.,2,6,1,6.75,6.75,6.75
1/12/2021 13:32:12,17,2021-1,Bioingeniería,D,No,,,,,,,,,0,No me he retirado de ningún curso.,6,5,0,14.57,14.57,14.57
1/12/2021 13:38:34,20,2021-1,Bioingeniería,D,No,,,,,,,,,0,No me he retirado de ningún curso.,14,6,3,15.83,15.83,15.83
1/12/2021 13:38:43,19,2020-1,Bioingeniería,E,No,,,,,,,,,2,"Porque lo iba a desaprobar., Por problemas personales/familiares.",6,6,3,15.25,14.35,15.59
1/12/2021 13:40:19,20,2021-1,Ing. Mecatrónica,E,Si,3,"Introduccion a la Ciencia de la Computacion - Programacion I, Quimica General, Fisica I - Introduccion a la Mecanica",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar., Porque no asistía a las clases., Porque me relaje demasiado., Por problemas emocionales., Otro",No,2,Porque lo iba a desaprobar.,4,6,2,13.4,13.4,13.4
1/12/2021 13:41:57,17,2021-1,Ing. Mecatrónica,E,No,,,,,,,,,0,No me he retirado de ningún curso.,6,8,1,16.1,16.1,16.1
1/12/2021 13:46:47,19,2021-1,Ing. Química,D,No,,,,,,,,,0,No me he retirado de ningún curso.,24,8,3,14.81,17.55,17.55
1/12/2021 14:05:53,18,2020-1,Bioingeniería,E,No,,,,,,,,,1,"Porque el profesor no enseñaba bien., Por problemas con alumnos de la misma sección.",8,8,6,17.38,16.95,17.67
1/12/2021 14:54:50,18,2021-1,Ing. Química,E,Si,2,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial",Ninguno,Ninguno,Ninguno,Sí,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,4,6,0,9.9,9.9,9.9
1/12/2021 14:58:35,18,2020-1,Bioingeniería,D,No,,,,,,,,,0,No me he retirado de ningún curso.,6,7,6,18.97,19.05,19.21
1/12/2021 15:01:57,26,2018-2,Ing. de la Energía,E,Si,5,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica I - Introduccion a la Mecanica, Estadistica y Probabilidades - Estadística y Probabilidades I, Matematicas III - Metodos Numericos, Termodinamica",Ninguno,Ninguno,Ninguno,No,Porque no le dediqué suficiente tiempo a estudiar.,No,2,"Porque lo iba a desaprobar., Porque estaba llevando demasiados cursos.",6,8,1,13.95,12.82,16.52
1/12/2021 15:05:01,21,2018-1,Ing. Industrial,E,Si,3,"Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General, Fisica I - Introduccion a la Mecanica",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar.",No,1,Porque estaba llevando demasiados cursos.,5,6,6,13.4,10.73,15.65
1/12/2021 15:43:54,18,2020-2,Ing. Mecatrónica,Becado por UTEC,No,,,,,,,,,0,No me he retirado de ningún curso.,3,5,1,15.3,16.1,14.8
