Marca temporal,Género de sexo,Edad,Orientación Sexual [Opciones],Carrera ,¿Ciclo en el que te encuentras?,Zona de Residencia,Económicamente activo?(Si laboras),¿Has sido o has sentido acoso dentro de la universidad por algún miembro de la comunidad? ,¿A qué edad sucedió este hecho?,¿En qué año ocurrió este hecho?,¿En qué circunstancia ocurrió este hecho?,¿Cuántas veces han ocurrido estos hechos similares a tu persona en el campus?,¿Cómo fue la agresión a tu persona?,¿Cuál fue tu reacción cuando ocurrió este hecho?,¿Lo denunciaste o se lo comentaste a alguien?,¿Algún estudiante o miembro de la universidad te ha acosad@ fuera de la institución?,¿A qué edad sucedió este hecho?,¿En qué año ocurrió este hecho?,¿Dónde ocurrió este hecho?,¿Cuántas veces has sido acosad@ fuera del campus?,¿De qué manera te han acosado?,¿ Cuál fue tu reacción cuando ocurrió este hecho?,¿Has vuelto ha interactuar con tu agresor?,¿Consideras que este hecho fue aislado o previsto por el agresor?,¿Lo denunciaste o se lo comentaste a alguien?,¿Porque no denunciaste este hecho?,¿Crees que tu denuncia no tendría ningún valor?,¿A qué entorno social pertenece el acosador en tu vida?,¿Consideras que tu acosador tomaría represalia contra tu persona si lo denuncias?,¿Cómo esta situación te afectó en tu vida personal?,¿Te encuentras con la fortaleza o el apoyo de realizar la denuncia en la actualidad?,¿Con quien te apoyarías para enfrentar la situación?,¿A qué autoridades acudirías primero para denunciar los hechos?,¿En la actualidad si fueras acosad@ de nuevo te enfrentarías al acosador ?,¿Ayudarias a otras personas a denunciar este tipo de hechos?,¿Compartirías tu experiencia para que otras personas no tengan miedo y puedan exponer a sus acosadores?,¿Consideras que tu entorno no te apoyaria si denuncias este hecho fuera de tiempo?,¿Si existiera una línea de apoyo exclusiva de la universidad para denunciar de forma anónima el acoso lo realizarías?,¿Consideras exponer tu situación ante las autoridades correspondientes?,¿Consideras que se deben aplicar nuevas medidas de protección para denunciar los hechos de acoso dentro de la universidad?,¿Consideras que exponer de forma pública a los acosadores ayudaría a que estos frenen sus actos?,¿A quién lo denunciaste o comentaste?,¿Qué tan efectiva fue la respuesta por parte de esa persona o la universidad?,¿Crees que el reglamento de hostigamiento al estudiante te garantiza que este hecho no vuelva a ocurrir?,¿Qué tan perjudicial ha sido en tu rendimiento académico?,¿Sientes que las autoridades universitarias toman medidas preventivas necesarias para combatir esta problemática dentro del campus? ,¿Te has sentido culpable por la situación de acoso que experimentaste?,¿Aun mantienes contacto con tu agresor?,¿Has recurrido a autolesionarse por este tipo de hechos?,¿A quien lo denunciaste o comentastes? ,¿Qué tan efectiva fue la respuesta por parte de esa persona o la universidad?,¿Sientes que las autoridades universitarias toman medidas preventivas necesarias para combatir esta problemática fuera del campus?,¿Que autoridad externa tomó tu denuncia y te ayudó en el proceso?,¿Qué tan perjudicial ha sido en tu rendimiento académico?,¿Te has sentido culpable por la situación de acoso que experimentaste?,"¿Consideras que los hombres en general son potenciales acosadores sexuales, esto debido al estimulo indicado que podría despertar este?",¿Has recurrido a autolesionarse por este tipo de situación?,¿Has sido testig@ de algún tipo de acoso?,¿Consideras que estabas preparad@ para accionar correctamente en el momento en el que sucedió el hecho? ,¿En que año sucedió este hecho?,¿Qué modalidad fue el acoso que percibiste?,¿Cuántas veces has sido testigo de acoso?,¿Dónde ocurrió este hecho?,¿Cual fue tu reacción ante este hecho?,¿Lo denunciaste o comentaste a otros? ,¿A quién lo denunciaste o comentaste?,¿Qué tan efectiva fue la respuesta por parte de esa persona o la autoridad que tomó tu caso? ,¿Sientes que las autoridades toman medidas preventivas necesarias para combatir esta problemática?,¿Que tan complicado fue el trámite para denunciar la situación de acoso que fuiste testigo?,¿El agraviado tiene algún tipo de afiliación contigo?,¿Has vuelto a ver al agresor luego de la denuncia?,¿Por qué no denunciaste este hecho?,¿Sientes que las autoridades no tomarían cartas en el asunto?,¿Si fuera el agraviado conocid@ tuyo o familiar hubieras denunciado el hecho?,¿Te sentiste amenazad@ por el agresor?,¿Si pudieras denunciar el hecho en la actualidad lo harias?,¿Qué tan comod@ y segur@ te sientes al asistir a la universidad?,¿Qué tan cómod@ y segur@ te sientes al andar en la vía pública?,¿A quién crees que acudirías primero si sufres un caso de acoso dentro del campus?,¿Qué actitud tomarías ante una situación de acoso?,¿Te han advertido sobre los peligros del acoso sexual?,¿Consideras que el taller de acoso sexual brindado por la universidad ha reducido el acoso entre los estudiantes?,¿Consideras que las autoridades y el Estado velan por tu seguridad?,¿A cuántas personas conoces que han sido acosadas?,¿Cuánto crees que es el porcentaje de víctimas de acoso sexual dentro de la universidad?,¿Cuánto crees que es el porcentaje de víctimas de acoso sexual fuera de la universidad?,¿Consideras que es satisfactoria la justicia por mano propia?,¿Consideras que todos los hombres son acosadores en potencia? ,¿Consideras que todos las mujeres son acosadoras en potencia? ,¿Quién crees que es el principal acosador?,¿Consideras que la culpa de acoso es por parte del acosador o acosado?,Exposicion en Vivo,Exposicion en Virtual,Frecuencia,,,,
2022/09/25 10:07:23 a. m. GMT-5,Hombre,21,Heterosexual,Mecatrónica,4,Surco,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,5,Padres de familia,Confrontar,Sí,Si,2,1,15,60,Si,No,No,Adolescentes hombres,Es del acosador,70,58,3,,,,
2022/09/25 10:12:09 a. m. GMT-5,Hombre,21,Gay,Bioingenieria,8,Miraflores,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,3,Psicólog@,Confrontar,Sí,Si,1,1,5,35,Si,No,No,Hombres de mediana edad,Es del acosador,60,67,2,,,,
2022/09/25 11:22:28 a. m. GMT-5,Hombre,18,Heterosexual,Mecatrónica,3,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Padres de familia,Confrontar,Sí,Si,1,2,10,30,Si,No,No,Hombres de mediana edad,Es del acosador,80,66,3,,,,
2022/09/25 11:34:10 a. m. GMT-5,Hombre,18.64457658,Heterosexual,Civil,4,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,1,1,Psicólog@,Ignorar,No,No,0,0,0,0,No,No,No,Hombres de mediana edad,Es del acosado,80,56,2,,,,
2022/09/25 11:50:32 a. m. GMT-5,Hombre,18,Heterosexual,Industrial,4,Santa Anita,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,3,Profesor@,Comunicar a la autoridad competente,Sí,No,2,2,5,85,No,No,No,Adultos mayores,Es del acosador,72,84,1,,,,
2022/09/25 12:06:29 p. m. GMT-5,Hombre,19,Heterosexual,Mecatrónica,6,Comas,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Autoridad de la universidad,Actitud agresiva,Sí,No,0,0,0,60,Si,No,No,Hombres de mediana edad,Es del acosado,70,66,5,,,,
2022/09/25 1:12:56 p. m. GMT-5,Hombre,20,Heterosexual,Bioingenieria,8,Lince,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Autoridad de la universidad,Comunicar a la autoridad competente,No,Si,3,0,5,8,Si,No,No,Hombres de mediana edad,Es del acosador,72,39,3,,,,
2022/09/25 2:16:40 p. m. GMT-5,Hombre,19,Heterosexual,Civil,5,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,3,Padres de familia,Comunicar a la autoridad competente,Sí,Si,4,0,5,15,No,No,No,Adolescentes hombres,Es del acosador,65,48,4,,,,
2022/09/25 2:47:02 p. m. GMT-5,Hombre,18,Heterosexual,Industrial,3,Carabayllo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Autoridad de la universidad,Confrontar,Sí,Si,3,3,5,30,Si,No,No,Hombres de mediana edad,Es del acosador,57,82,0,,,,
2022/09/25 3:26:39 p. m. GMT-5,Hombre,20,Heterosexual,Ambiental,7,Chorrillos,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2019,Psicológico,1,Universidad,Me abstuve y mire la escena por temor,Sí,Amig@,2,2,2,No,No,,,,,,,,,,,,,,,,,,,,,63,60,4,,,,
2022/09/25 3:31:03 p. m. GMT-5,Hombre,22,Pansexual,Industrial,5,San Miguel,No,Si,20,2020,Transitando en la universidad,3,Psicologica,Pedí ayuda,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,Profesor,1,no,5,2,No,Lo evito todo el tiempo,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,79,4,,,,
2022/09/25 3:52:08 p. m. GMT-5,Hombre,21,Heterosexual,Bioingenieria,7,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Sí,2019,Verbal,1,Vía pública,Intervine en protección de la agraviado retirandolo,Sí,Amig@,5,3,2,No,No,,,,,,,,,,,,,,,,,,,,,71,54,4,,,,
2022/09/25 4:01:43 p. m. GMT-5,Hombre,18,Heterosexual,Bioingenieria,2,Santa Anita,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2019,Fisico,2,Colegio o academia,Intervine en protección de la agraviado retirandolo,No,,,,,,,La victima no pidió apoyo,Si,Depende del nivel de afiliacion,No,Si,,,,,,,,,,,,,,,,75,31,2,,,,
2022/09/25 4:05:46 p. m. GMT-5,Hombre,26,Heterosexual,Electronica,8,Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Profesor@,Confrontar,Sí,No,3,0,15,3,No,No,No,Adolescentes hombres,Es del acosador,74,54,1,,,,
2022/09/25 5:01:58 p. m. GMT-5,Hombre,18,Heterosexual,Mecatrónica,2,Surquillo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Amigo@,Confrontar,No,No,2,0,1,5,Si,No,No,Hombres de mediana edad,Es del acosador,57,73,4,,,,
2022/09/25 5:41:22 p. m. GMT-5,Hombre,18,Heterosexual,Civil,6,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Amigo@,Actitud agresiva,Sí,Si,1,1,10,20,Si,No,No,Hombres de mediana edad,Es del acosador,40,68,5,,,,
2022/09/25 8:49:22 p. m. GMT-5,Hombre,21,Heterosexual,Quimica,5,Viilla Maria del Triunfo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Amigo@,Confrontar,Sí,Si,4,1,0,3,No,No,No,Adultos mayores,Es del acosador,79,61,4,,,,
2022/09/25 9:06:35 p. m. GMT-5,Hombre,19,Heterosexual,Energia,6,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,4,Padres de familia,Confrontar,Sí,Si,3,5,15,35,No,No,No,Adolescentes hombres,Es del acosador,37,83,5,,,,
2022/09/25 9:53:26 p. m. GMT-5,Hombre,29,Heterosexual,Administración y Negocios Digitales,1,Comas,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Autoridad de la universidad,Actitud agresiva,Sí,Si,5,0,1,50,Si,No,Tal vez,Adultos mayores,Es del acosador,73,64,2,,,,
2022/09/25 10:20:37 p. m. GMT-5,Hombre,20,Heterosexual,Bioingenieria,8,Magdalena,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,3,Psicólog@,Confrontar,Sí,Si,1,2,5,30,No,No,No,Hombres de mediana edad,Es del acosador,60,50,5,,,,
2022/09/26 10:47:35 a. m. GMT-5,Hombre,19,Heterosexual,Mecatrónica,6,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,7,3,Amigo@,Confrontar,Sí,Si,4,0,20,60,No,No,No,Hombres de mediana edad,Es del acosador,75,88,1,,,,
2022/09/26 11:19:34 a. m. GMT-5,Hombre,20,Heterosexual,Mecánica,5,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,7,3,Amigo@,Ignorar,Sí,Si,3,1,30,60,Si,Tal vez,Tal vez,Adultos mayores,Es del acosado,60,74,1,,,,
2022/09/26 12:43:16 p. m. GMT-5,Hombre,17,Heterosexual,Mecatrónica,2,San Juan de Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Sí,2022,Verbal,4,Vía pública,Llame a la policía,Sí,Policia,4,1,2,No,No,,,,,,,,,,,,,,,,,,,,,50,87,3,,,,
2022/09/26 12:48:19 p. m. GMT-5,Hombre,20,Heterosexual,Industrial,4,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,4,Amigo@,Confrontar,Sí,Si,2,1,10,50,Si,No,No,Adultos mayores,Es del acosador,40,66,5,,,,
2022/09/26 12:52:38 p. m. GMT-5,Hombre,18,Heterosexual,Civil,4,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,3,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,No,3,0,5,10,Si,No,Si,Mujeres de diferentes edades,Es del acosador,60,85,1,,,,
2022/09/26 1:46:45 p. m. GMT-5,Hombre,17,Heterosexual,Civil,1,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,5,1,Psicólog@,Confrontar,Sí,Si,4,0,30,70,No,Tal vez,Tal vez,Adultos mayores,Es del acosador,50,48,4,,,,
2022/09/26 2:07:02 p. m. GMT-5,Hombre,20,Heterosexual,Ambiental,8,Viilla Maria del Triunfo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Padres de familia,Confrontar,Sí,No,3,2,20,40,No,No,No,Adultos mayores,Es del acosador,40,81,3,,,,
2022/09/26 2:07:33 p. m. GMT-5,Hombre,18,Heterosexual,Civil,8,Chorrillos,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2014,Verbal,4,Transporte público o privado,Pedí ayuda al público para que intervenga por seguridad propia,Sí,Familiares de confianza,2,2,1,No,Me busca para que me retracte como testigo,,,,,,,,,,,,,,,,,,,,,57,63,2,,,,
2022/09/26 2:41:33 p. m. GMT-5,Hombre,19,Heterosexual,Industrial,5,Ate,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Autoridad de la universidad,Confrontar,No,No,4,0,20,0,Si,No,Tal vez,Hombres de mediana edad,Es del acosador,62,91,6,,,,
2022/09/26 4:10:29 p. m. GMT-5,Hombre,19,Heterosexual,Mecatrónica,4,San Miguel,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Padres de familia,Comunicar a la autoridad competente,Sí,Si,5,0,5,20,No,No,No,Adultos mayores,Es del acosador,69,42,1,,,,
2022/09/26 4:35:49 p. m. GMT-5,Hombre,21,Heterosexual,Computer Science,7,Viilla Maria del Triunfo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Verbal,2,Vía pública,Me abstuve y mire la escena por temor,No,,,,,,,Temor a represaría,No,Si,SI,No,,,,,,,,,,,,,,,,37,52,3,,,,
2022/09/26 7:51:54 p. m. GMT-5,Hombre,19,Heterosexual,Quimica,4,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Padres de familia,Me alejo,Sí,Si,3,0,5,10,Si,No,No,Hombres de mediana edad,Es del acosador,70,47,3,,,,
2022/09/27 7:43:08 a. m. GMT-5,Hombre,19,Heterosexual,Quimica,10,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,5,0,15,999999,Si,Tal vez,Tal vez,Hombres de mediana edad,Es del acosador,55,73,2,,,,
2022/09/27 5:03:17 p. m. GMT-5,Hombre,19,Heterosexual,Industrial,4,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Amigo@,Ignorar,Sí,Si,3,0,5,15,Si,No,No,Adultos mayores,Es del acosador,68,70,2,,,,
2022/09/28 12:53:59 a. m. GMT-5,Hombre,20,Asexual,Mecatrónica,7,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,4,Psicólog@,Actitud agresiva,Sí,Si,3,1,5,20,Si,No,No,Mujeres de diferentes edades,Es del acosador,54,67,5,,,,
2022/09/28 8:25:06 p. m. GMT-5,Hombre,20,Heterosexual,Mecatrónica,5,San juan de Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Amigo@,Confrontar,Sí,Si,3,0,2,10,No,No,No,Adultos mayores,Es del acosador,43,90,3,,,,
2022/09/23 11:41:24 a. m. GMT-5,Mujer,17,Heterosexual,Industrial,2,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,7,1,Amigo@,Me alejo,Sí,No,1,4,10,50,Si,No,No,Adolescentes hombres,Es del acosador,81,77,1,,,,
2022/09/23 11:47:57 a. m. GMT-5,Mujer,18,Heterosexual,Industrial,2,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,6,2,Amigo@,Confrontar,Sí,Si,2,1,20,40,No,Tal vez,Tal vez,Adultos mayores,Es del acosador,79,80,3,,,,
2022/09/23 1:10:29 p. m. GMT-5,Mujer,20,Heterosexual,Ambiental,2,Ancon,No,Si,20,2021,En clase,4,Verbal,Me aleje de la situacion,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,Amigo,4,no,3,3,No,Existen clases comunes pero lo evitó,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,76,1,,,,
2022/09/23 1:11:57 p. m. GMT-5,Mujer,17,Heterosexual,Industrial,2,Chorrillos,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,2,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,0,0,20,80,No,Tal vez,Tal vez,Adultos mayores,Es del acosador,43,86,3,,,,
2022/09/23 1:40:26 p. m. GMT-5,Mujer,23,Heterosexual,Industrial,2,San Juan de Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,2,Amigo@,Comunicar a la autoridad competente,Sí,Si,5,1,10,70,No,Tal vez,No,Adultos mayores,Es del acosador,86,92,3,,,,
2022/09/23 1:53:31 p. m. GMT-5,Mujer,18,Heterosexual,Industrial,2,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Sí,2021,Fisico,5,Eventos sociales,Intervine en protección de la agraviado retirandolo,No,,,,,,,No conozco a la persona,No,Depende del nivel de afiliacion,No,No,,,,,,,,,,,,,,,,91,73,4,,,,
2022/09/23 2:12:24 p. m. GMT-5,Mujer,17,Heterosexual,Industrial,2,Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Sí,2021,Fisico,2,Transporte público o privado,Intervine en protección de la agraviado retirandolo,Sí,Familiares de confianza,3,2,3,No,No,,,,,,,,,,,,,,,,,,,,,100,95,2,,,,
2022/09/23 2:42:32 p. m. GMT-5,Mujer,17,Heterosexual,Ambiental,1,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Verbal,2,Transporte público o privado,Me abstuve y mire la escena por temor,No,,,,,,,Temor a represaría,No,Si,No,Si,,,,,,,,,,,,,,,,74,100,4,,,,
2022/09/23 2:51:38 p. m. GMT-5,Mujer,18,Heterosexual,Mecatrónica,4,San Martin Porres,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,3,Autoridad de la universidad,Actitud agresiva,Sí,Si,3,1,20,40,Si,No,No,Hombres de mediana edad,Es del acosador,84,69,2,,,,
2022/09/23 3:02:36 p. m. GMT-5,Mujer,21,Heterosexual,Industrial,3,San Martin Porres,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Fisico,1,Transporte público o privado,Me abstuve y mire la escena por temor,Sí,Amig@,3,2,5,Persona cercana (familia y amigos),No,,,,,,,,,,,,,,,,,,,,,59,65,2,,,,
2022/09/23 3:21:58 p. m. GMT-5,Mujer,18,Heterosexual,Industrial,3,San juan de Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2017,Verbal,3,Vía pública,Me abstuve y mire la escena por temor,No,,,,,,,No conozco a la persona,No,Si,No,Si,,,,,,,,,,,,,,,,62,55,2,,,,
2022/09/23 3:34:35 p. m. GMT-5,Mujer,19,Bisexual,Mecánica,8,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2021,Fisico,4,Vía pública,Pedí ayuda al público para que intervenga por seguridad propia,No,,,,,,,La victima no pidió apoyo,No,Si,SI,Si,,,,,,,,,,,,,,,,78,80,3,,,,
2022/09/23 3:37:43 p. m. GMT-5,Mujer,21,Heterosexual,Industrial,3,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,1,Amigo@,Comunicar a la autoridad competente,Sí,No,0,4,30,80,No,No,No,Adultos mayores,Es del acosador,64,89,2,,,,
2022/09/23 3:44:28 p. m. GMT-5,Mujer,20,Heterosexual,Quimica,3,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,4,Autoridad de la universidad,Comunicar a la autoridad competente,No,Si,4,0,10,40,No,No,No,Adultos mayores,Es del acosador,65,79,2,,,,
2022/09/23 3:54:35 p. m. GMT-5,Mujer,20,Heterosexual,Bioingenieria,3,Barranco,No,Si,20,2022,Transitando en la universidad,2,Verbal,Me quede mud@ y no supe como reaccionar,No,,,,,,,,,,,Inseguridad por tu integridad.,"Si, considero que tendria valor.",Amistades en comun.,No,Distracción en tu vida estudiantil,No,,,,,,Tal vez,Tal vez,Tal vez,Si,Reduciria de forma notable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,74,2,,,,
2022/09/23 4:29:50 p. m. GMT-5,Mujer,17,Bisexual,Bioingenieria,2,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2014,Fisico,2,Vía pública,Me abstuve y mire la escena por temor,No,,,,,,,Temor a represaría,Si,Si,SI,Si,,,,,,,,,,,,,,,,40,85,1,,,,
2022/09/23 4:30:50 p. m. GMT-5,Mujer,18,Lesbico,Bioingenieria,2,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Sí,2021,Verbal,5,Vía pública,Intervine en protección de la agraviado retirandolo,Sí,Padre de familia,4,2,5,No,No,,,,,,,,,,,,,,,,,,,,,62,79,5,,,,
2022/09/23 4:33:43 p. m. GMT-5,Mujer,22,Heterosexual,Electronica,3,San Juan de Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2020,Fisico,2,Transporte público o privado,Me abstuve y mire la escena por temor,Sí,Amig@,3,3,2,No,No,,,,,,,,,,,,,,,,,,,,,72,80,2,,,,
2022/09/23 4:36:20 p. m. GMT-5,Mujer,19,Heterosexual,Ambiental,4,Villa El Salvador,No,Si,18,2022,Areas comunes,2,Verbal,Me aleje de la situacion,No,,,,,,,,,,,Miedo al rechazo del entorno social.,"Si, considero que tendria valor.",Persona desconocida.,Si,Transtornos social,No,,,,,,Si,Si,No,Si,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,80,1,,,,
2022/09/23 4:47:54 p. m. GMT-5,Mujer,20,Heterosexual,Industrial,3,Barranco,No,No,,,,,,,,Si,20,2022,Otro lugares,3,Física,Lo ignore y continúe con mis actividades.,Si,No,Sí,,,,,,,,,,,,,,,,,,,,,,,,,Amig@,2,4,"Defensoría Municipal del Niño, Niña y Adolescente  (DEMUNA)",2,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,79,4,,,,
2022/09/23 4:53:00 p. m. GMT-5,Mujer,20,Heterosexual,Industrial,3,Villa El Salvador,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Fisico,4,Vía pública,Detuve al agresor y pedi ayuda al publico,Sí,Policia,4,0,3,No,No,,,,,,,,,,,,,,,,,,,,,64,89,2,,,,
