"Marca temporal","Edad","Género","¿A qué Universidad perteneces?","Ciclo relativo","¿Cúantas horas duermes al día (aproximadamente)?","¿Cuántas horas te dedicas a realizar actividades físicas a la semana (aproximadamente)?","¿Meditas?","¿Cuántas comidas consumes al día?","¿Con qué frecuencia consumes comida chatarra?","Horas de ocio en dispositivos electrónicos diarias (videojuegos, redes sociales, plataformas de streaming, etc)","¿Con qué frecuencia pasas tiempo al aire libre (amigos, familia, solo)?","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Dolores de cabeza]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Tensión muscular en cuello y espalda]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Fatiga]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Ansiedad, preocupación, fobias]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Dificultad para conciliar el sueño]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Irritabilidad]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Arranques de enojo/hostilidad]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Aburrimiento, depresión]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Comer demasiado o demasiado poco]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Diarrea, calambres, gases, constipación]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Inquietud, picazón, tics]","Del 1 al 5, ¿qué tan motivado te encuentras actualmente respecto a tus proyectos personales?","Del 1 al 5, ¿qué tan estresado te sientes últimamente? "
"2021/10/27 1:54:13 p. m. GMT-5","19","Femenino","UPC ","6","7","3","No","4","3","2","4","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","Una vez al mes","Una vez al mes","Una vez al mes","Una vez al mes","Una vez al mes","Una vez al mes","Nunca","Nunca","4","3"
"2021/10/27 2:59:10 p. m. GMT-5","17","Femenino","Universidad de Lima ","2","6","6","No","4","4","4","3","Casi todo el día, todos los días","Cada noche o día","2-3 veces por semana","Uno o dos veces al día","Una vez a la semana","Una vez al mes","Una vez a la semana","Nunca","Nunca","Nunca","Nunca","4","5"
"2021/10/27 3:03:44 p. m. GMT-5","18","Masculino","Upc","4","8","12","Sí","3","1","3","3","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Una vez al mes","Nunca","Nunca","Nunca","4","2"
"2021/10/27 3:42:02 p. m. GMT-5","17","Masculino","UPC","2","7","6 ","No","3","2","14","1","Cada noche o día","Casi todo el día, todos los días","Cada noche o día","Casi todo el día, todos los días","Cada noche o día","Cada noche o día","Casi todo el día, todos los días","Cada noche o día","Cada noche o día","Casi todo el día, todos los días","Uno o dos veces al día","2","4"
"2021/10/27 5:13:02 p. m. GMT-5","16","Femenino","UPC","1","7","5","Sí","4","2","5","5","Nunca","Una vez a la semana","Nunca","Una vez al mes","Cada noche o día","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","5","2"
"2021/10/28 11:04:25 p. m. GMT-5","19","Femenino","utec","6","7 ","1","No","3","2","4","2","Una vez a la semana","Cada noche o día","Una vez al mes","Uno o dos veces al día","Una vez a la semana","2-3 veces por semana","Una vez a la semana","Cada noche o día","Una vez a la semana","Una vez al mes","2-3 veces por semana","3","4"
"2021/10/29 9:56:05 a. m. GMT-5","20","Masculino","UTEC","5","5","1","No","3","2","1","2","2-3 veces por semana","Cada noche o día","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","2-3 veces por semana","4","4"
"2021/10/29 9:59:39 a. m. GMT-5","21","Masculino","UTEC","7","8","1","No","3","4","3","3","2-3 veces por semana","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Nunca","Cada noche o día","Una vez a la semana","Casi todo el día, todos los días","Uno o dos veces al día","Una vez a la semana","2-3 veces por semana","1","5"
"2021/10/29 10:07:23 a. m. GMT-5","20","Masculino","Centro de la Imagen","3","7","0 ","Sí","3","2","4 ","3","","Casi todo el día, todos los días","","","","","","","","","","3","2"
"2021/10/29 10:11:00 a. m. GMT-5","19","Femenino","UTEC","5","7","1","No","2","3","3","3","Una vez a la semana","2-3 veces por semana","Cada noche o día","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Nunca","Casi todo el día, todos los días","3","3"
"2021/10/29 10:31:07 a. m. GMT-5","19","Masculino","UPC","2","6","10","No","4","2","2","5","Una vez al mes","Una vez al mes","Una vez al mes","Nunca","Una vez a la semana","Una vez al mes","Nunca","Nunca","Una vez a la semana","2-3 veces por semana","Nunca","5","2"
"2021/10/29 11:51:43 a. m. GMT-5","19","Femenino","UAEMex","1","6","3","No","3","2","4","1","Una vez al mes","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","Una vez al mes","Una vez al mes","2-3 veces por semana","Nunca","Uno o dos veces al día","3","4"
"2021/10/29 12:53:51 p. m. GMT-5","18","Femenino","USIL","3","6","1","No","4","3","5","3","2-3 veces por semana","Uno o dos veces al día","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","Una vez al mes","Una vez al mes","Una vez a la semana","Una vez al mes","Nunca","Nunca","3","5"
"2021/10/29 2:24:24 p. m. GMT-5","19","Masculino","UPC","2","8","2","No","3","2","5","2","Una vez a la semana","Cada noche o día","Casi todo el día, todos los días","Casi todo el día, todos los días","Cada noche o día","Cada noche o día","Cada noche o día","Casi todo el día, todos los días","Cada noche o día","2-3 veces por semana","Nunca","2","2"
"2021/11/02 3:02:38 p. m. GMT-5","24","Masculino","Ucal","9","7","2","No","2","2","5","2","Una vez al mes","2-3 veces por semana","Una vez al mes","Nunca","2-3 veces por semana","Una vez al mes","Una vez al mes","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","4","3"
"2021/11/02 3:06:44 p. m. GMT-5","17","Femenino","UCV","2","6","1","No","2","1","2","2","2-3 veces por semana","Uno o dos veces al día","Una vez a la semana","2-3 veces por semana","Cada noche o día","Nunca","Nunca","Una vez a la semana","Nunca","Nunca","Nunca","4","5"
"2021/11/02 3:42:47 p. m. GMT-5","18","Masculino","Pontificá Universidad Católica del Peru","2","6","0","No","3","3","6","2","Una vez al mes","Una vez a la semana","Una vez a la semana","Nunca","2-3 veces por semana","Cada noche o día","Uno o dos veces al día","Una vez al mes","Una vez al mes","Nunca","Nunca","3","4"
"2021/11/02 3:44:58 p. m. GMT-5","22","Masculino","Universidad de Ingeniería y Tecnología","5","6","7","No","3","3","5","3","Una vez al mes","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","Nunca","2-3 veces por semana","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","Nunca","Nunca","4","3"
"2021/11/02 3:49:38 p. m. GMT-5","18","Masculino","Universidad San Martín de Porres","4","8","3","No","4","3","2","2","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Cada noche o día","Una vez a la semana","Una vez a la semana","4","3"
"2021/11/02 3:58:00 p. m. GMT-5","20","Masculino","Universidad de Lima","7","7","3","No","4","3","3","2","Una vez al mes","Una vez a la semana","Cada noche o día","Cada noche o día","2-3 veces por semana","Cada noche o día","Una vez a la semana","Cada noche o día","2-3 veces por semana","Una vez a la semana","Cada noche o día","3","3"
"2021/11/02 4:16:15 p. m. GMT-5","19","Femenino","Universidad de lima","6","8","7","No","3","3","4","4","Una vez al mes","Casi todo el día, todos los días","Una vez al mes","Una vez al mes","2-3 veces por semana","Una vez a la semana","Nunca","Una vez a la semana","Una vez a la semana","Una vez al mes","Una vez al mes","3","4"
"2021/11/02 4:23:05 p. m. GMT-5","20","Masculino","UPC","5","8","14","No","5  a más","2","2","2","Una vez al mes","Una vez al mes","Una vez a la semana","Una vez a la semana","Una vez al mes","Nunca","Una vez al mes","Una vez a la semana","Una vez al mes","Una vez a la semana","Nunca","3","4"
"2021/11/02 4:52:30 p. m. GMT-5","19","Masculino","UPC - Universidad Peruana de Ciencias Aplicadas","4","7 ","1","No","3","3","16","3","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","Cada noche o día","Uno o dos veces al día","Una vez a la semana","Una vez a la semana","Cada noche o día","Nunca","Una vez al mes","Una vez a la semana","2","4"
"2021/11/02 4:54:35 p. m. GMT-5","20","Masculino","UPC","3","6","7","No","4","3","5","3","Nunca","Una vez al mes","Una vez a la semana","2-3 veces por semana","Una vez al mes","Nunca","Una vez al mes","2-3 veces por semana","Una vez al mes","2-3 veces por semana","Una vez a la semana","3","5"
"2021/11/02 4:56:32 p. m. GMT-5","21","Femenino","IPP","3","5","6","No","4","3","6","4","Casi todo el día, todos los días","Cada noche o día","Casi todo el día, todos los días","Uno o dos veces al día","2-3 veces por semana","Una vez a la semana","2-3 veces por semana","Una vez a la semana","Uno o dos veces al día","Una vez al mes","Casi todo el día, todos los días","5","4"
"2021/11/02 5:06:19 p. m. GMT-5","21","Masculino","Universidad de Lima","5","5","0","Sí","3","3","1","2","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","2-3 veces por semana","Cada noche o día","Una vez a la semana","Casi todo el día, todos los días","4","4"
"2021/11/02 6:48:20 p. m. GMT-5","19","Femenino","Ucal","4","7","4","No","2","2","3","4","Una vez al mes","Una vez a la semana","Una vez al mes","Cada noche o día","Una vez al mes","Una vez al mes","Una vez al mes","Una vez al mes","Uno o dos veces al día","Una vez al mes","2-3 veces por semana","4","3"
"2021/11/02 7:16:33 p. m. GMT-5","22","Femenino","UNT","10 a más","4","1","No","3","2","3","2","Casi todo el día, todos los días","Uno o dos veces al día","2-3 veces por semana","Casi todo el día, todos los días","2-3 veces por semana","Cada noche o día","2-3 veces por semana","Cada noche o día","2-3 veces por semana","Una vez al mes","Casi todo el día, todos los días","4","5"
"2021/11/02 7:50:32 p. m. GMT-5","19","Masculino","UPC","5","4","0","No","5  a más","5","2","1","Uno o dos veces al día","Uno o dos veces al día","Cada noche o día","Uno o dos veces al día","Uno o dos veces al día","Una vez a la semana","Una vez al mes","Nunca","Casi todo el día, todos los días","Nunca","Uno o dos veces al día","4","5"
"2021/11/02 7:52:55 p. m. GMT-5","20","Femenino","UTEC","6","6","6","No","3","3","10","4","Nunca","Cada noche o día","2-3 veces por semana","Cada noche o día","Cada noche o día","Una vez a la semana","Una vez a la semana","2-3 veces por semana","Cada noche o día","Uno o dos veces al día","Uno o dos veces al día","3","5"
"2021/11/02 7:54:55 p. m. GMT-5","21","Masculino","UTEC","9","7","3","No","3","1","2","2","Nunca","Nunca","Nunca","Una vez al mes","Una vez al mes","Nunca","Nunca","Nunca","Una vez al mes","Nunca","Nunca","5","2"
"2021/11/02 8:03:30 p. m. GMT-5","18","Femenino","UTEC","2","8","5","No","4","4","2","3","Uno o dos veces al día","Uno o dos veces al día","2-3 veces por semana","Cada noche o día","Cada noche o día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","2-3 veces por semana","Uno o dos veces al día","Uno o dos veces al día","3","4"
"2021/11/02 8:07:41 p. m. GMT-5","19","Femenino","UTEC","5","5","2","No","3","3","2","1","2-3 veces por semana","Uno o dos veces al día","Uno o dos veces al día","Una vez a la semana","Nunca","Una vez al mes","Nunca","2-3 veces por semana","Nunca","Nunca","Nunca","4","5"
"2021/11/02 8:16:53 p. m. GMT-5","22","Masculino","Universidad de Ingenieria  y Tecnologia ","4","6 ","2 ","No","3","4","3 ","2","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","2-3 veces por semana","Cada noche o día","3","4"
"2021/11/02 8:21:20 p. m. GMT-5","19","Prefiero no decirlo","Universidad de Ingeniería y Tecnología","4","7","8","No","4","3","3","3","Nunca","Una vez al mes","Una vez al mes","Uno o dos veces al día","Nunca","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Nunca","Nunca","3","4"
"2021/11/02 8:31:35 p. m. GMT-5","20","Masculino","UTEC","3","6","5","No","3","3","4","3","Nunca","Una vez a la semana","Cada noche o día","Casi todo el día, todos los días","Una vez a la semana","Uno o dos veces al día","Cada noche o día","Casi todo el día, todos los días","Cada noche o día","Una vez al mes","Nunca","3","5"
"2021/11/02 8:41:56 p. m. GMT-5","24","Masculino","UTEC","8","8","4","No","3","2","3","2","Una vez al mes","Una vez al mes","Una vez al mes","2-3 veces por semana","Una vez al mes","Una vez al mes","Una vez al mes","Una vez a la semana","Una vez al mes","Una vez al mes","Una vez al mes","4","5"
"2021/11/02 8:42:18 p. m. GMT-5","21","Masculino","Zegel Ipae","4","8","0","No","3","3","5","2","Una vez al mes","2-3 veces por semana","Una vez al mes","2-3 veces por semana","Una vez al mes","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez al mes","Una vez a la semana","3","4"
"2021/11/02 8:43:51 p. m. GMT-5","21","Femenino","Universidad Peruana Cayetano Heredia","8","6","2","No","4","2","2","3","Una vez al mes","Una vez a la semana","2-3 veces por semana","Una vez al mes","Cada noche o día","Una vez al mes","Una vez al mes","2-3 veces por semana","Nunca","Una vez al mes","Una vez al mes","2","4"
"2021/11/02 8:44:24 p. m. GMT-5","21 ","Masculino","UPN","7","5 ","7","Sí","3","1","4","1","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","Cada noche o día","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Nunca","Nunca","5","4"
"2021/11/02 8:48:54 p. m. GMT-5","21","Femenino","Universidad Nacional Federico Villarreal ","1","5","1","No","5  a más","5","5","3","Cada noche o día","Cada noche o día","","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","3","5"
"2021/11/02 8:49:31 p. m. GMT-5","21","Femenino","Universidad Privada del Norte","10 a más","8","3","Sí","3","3","3","4","Una vez al mes","Una vez a la semana","Una vez a la semana","Una vez al mes","Una vez al mes","Nunca","Una vez al mes","Una vez al mes","Una vez a la semana","Una vez al mes","Nunca","5","3"
"2021/11/02 9:16:29 p. m. GMT-5","23","Helicóptero","Toulouse Lautrec","8","6","7","No","4","4","4","4","Nunca","Una vez a la semana","Una vez al mes","2-3 veces por semana","2-3 veces por semana","Cada noche o día","2-3 veces por semana","Una vez a la semana","Uno o dos veces al día","Una vez al mes","Una vez a la semana","5","5"
"2021/11/02 9:17:47 p. m. GMT-5","21","Masculino","UTEC","9","6","1","No","3","2","1","3","Una vez a la semana","2-3 veces por semana","Una vez a la semana","Una vez a la semana","Casi todo el día, todos los días","Una vez al mes","Nunca","Una vez al mes","Nunca","Una vez al mes","Nunca","5","4"
"2021/11/02 9:24:23 p. m. GMT-5","21","Masculino","UTEC","8","7","4","No","3","2","2","3","Una vez a la semana","2-3 veces por semana","Una vez a la semana","Una vez al mes","Una vez al mes","Nunca","Nunca","Nunca","Una vez al mes","Nunca","Una vez al mes","4","3"
"2021/11/02 9:25:13 p. m. GMT-5","24","Masculino","Utec","8","7","1","No","4","3","2","1","2-3 veces por semana","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Una vez a la semana","Una vez a la semana","Uno o dos veces al día","2-3 veces por semana","2-3 veces por semana","Uno o dos veces al día","3","3"
"2021/11/02 9:25:25 p. m. GMT-5","21","Masculino","UTEC","10 a más","6","2","No","3","3","2","2","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","4","2"
"2021/11/02 9:25:34 p. m. GMT-5","21","Masculino","PUCP","6","8","16","No","3","1","3","4","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","5","1"
"2021/11/02 9:29:25 p. m. GMT-5","20","Masculino","UNS","8","6","14","Sí","3","3","9","2","2-3 veces por semana","Una vez a la semana","2-3 veces por semana","Casi todo el día, todos los días","Casi todo el día, todos los días","2-3 veces por semana","2-3 veces por semana","Cada noche o día","2-3 veces por semana","Una vez al mes","Casi todo el día, todos los días","4","5"
"2021/11/02 9:29:46 p. m. GMT-5","20","Masculino","UTEC","8","6","1","No","4","4","3","4","2-3 veces por semana","Una vez a la semana","2-3 veces por semana","Una vez al mes","Nunca","Nunca","Nunca","Una vez al mes","Nunca","Una vez al mes","Una vez al mes","4","2"
"2021/11/02 9:40:39 p. m. GMT-5","21","Femenino","Upn","6","7","8","No","4","3","3","4","Una vez a la semana","","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","","Una vez a la semana","Una vez a la semana","5","3"
"2021/11/02 9:42:19 p. m. GMT-5","21","Femenino","PUCP","7","6","0","No","4","3","3","2","Nunca","Uno o dos veces al día","Cada noche o día","Uno o dos veces al día","Cada noche o día","Uno o dos veces al día","Cada noche o día","Uno o dos veces al día","Uno o dos veces al día","2-3 veces por semana","2-3 veces por semana","3","4"
"2021/11/02 9:43:09 p. m. GMT-5","21","Masculino","UTEC","8","7","3","No","3","3","7","1","Nunca","Nunca","2-3 veces por semana","Una vez al mes","Una vez al mes","Una vez a la semana","Nunca","2-3 veces por semana","Nunca","Nunca","Nunca","2","2"
"2021/11/02 9:46:02 p. m. GMT-5","21","Masculino","ucv","8","9","2","No","3","4","3","2","Nunca","Una vez a la semana","2-3 veces por semana","Nunca","Nunca","2-3 veces por semana","Una vez al mes","Nunca","Nunca","Una vez al mes","Una vez al mes","3","4"
"2021/11/02 9:46:50 p. m. GMT-5","21","Masculino","instituto ICAM","1","7","3","No","3","2","2","3","Una vez al mes","Una vez a la semana","Una vez al mes","Cada noche o día","2-3 veces por semana","Una vez al mes","Nunca","Cada noche o día","Una vez a la semana","Una vez al mes","Una vez a la semana","4","3"
"2021/11/02 10:39:25 p. m. GMT-5","19","Masculino","Utec","6","8","2","No","3","2","3","3","Una vez a la semana","Una vez a la semana","2-3 veces por semana","Una vez a la semana","Una vez a la semana","2-3 veces por semana","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","Una vez al mes","Nunca","3","5"
"2021/11/02 10:47:10 p. m. GMT-5","18","Femenino","ESAN","3","7","1","No","3","5","3","3","Una vez a la semana","Uno o dos veces al día","2-3 veces por semana","Uno o dos veces al día","Cada noche o día","Cada noche o día","Una vez a la semana","Una vez a la semana","2-3 veces por semana","Nunca","Uno o dos veces al día","1","4"
"2021/11/02 10:47:35 p. m. GMT-5","18","Masculino","Upn ","2","8","16","No","3","2","6","3","Cada noche o día","Cada noche o día","Cada noche o día","Uno o dos veces al día","Uno o dos veces al día","Cada noche o día","Cada noche o día","Uno o dos veces al día","Cada noche o día","Cada noche o día","Uno o dos veces al día","4","4"
"2021/11/02 10:51:03 p. m. GMT-5","18","Femenino","Instituto IDC diseño y comunicación","2","7","3 ","No","3","3","4 ","4","Una vez al mes","Casi todo el día, todos los días","Una vez a la semana","2-3 veces por semana","Uno o dos veces al día","2-3 veces por semana","2-3 veces por semana","Cada noche o día","Cada noche o día","2-3 veces por semana","2-3 veces por semana","3","5"
"2021/11/02 10:53:28 p. m. GMT-5","17","Femenino","Upc","2","9","1","No","4","3","2","4","Nunca","Nunca","Nunca","Una vez al mes","Una vez al mes","Nunca","Una vez al mes","Una vez al mes","Una vez a la semana","Nunca","Nunca","3","3"
"2021/11/02 10:55:56 p. m. GMT-5","18","Femenino","Universidad Esan","3","5","3","No","4","4","4","2","2-3 veces por semana","Cada noche o día","Cada noche o día","Uno o dos veces al día","Cada noche o día","Cada noche o día","Uno o dos veces al día","Uno o dos veces al día","Casi todo el día, todos los días","Uno o dos veces al día","Uno o dos veces al día","2","4"
"2021/11/02 10:56:04 p. m. GMT-5","18","Femenino","Esan","3","6","0","Sí","3","3","5","4","2-3 veces por semana","Casi todo el día, todos los días","2-3 veces por semana","Casi todo el día, todos los días","Casi todo el día, todos los días","Uno o dos veces al día","2-3 veces por semana","Casi todo el día, todos los días","2-3 veces por semana","Una vez a la semana","Uno o dos veces al día","3","5"
"2021/11/02 10:56:45 p. m. GMT-5","21","Masculino","UTEC","9","2","3","Sí","2","4","4","5","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","4","5"
"2021/11/02 11:00:12 p. m. GMT-5","21","Masculino","UTEC","8","5","1","No","3","3","1","1","2-3 veces por semana","2-3 veces por semana","Cada noche o día","2-3 veces por semana","Cada noche o día","2-3 veces por semana","Una vez a la semana","2-3 veces por semana","Cada noche o día","Una vez al mes","2-3 veces por semana","2","4"
"2021/11/02 11:02:50 p. m. GMT-5","20","Masculino","UTEC","6","5","8","No","5  a más","2","5","3","Una vez a la semana","Cada noche o día","Uno o dos veces al día","2-3 veces por semana","Casi todo el día, todos los días","Cada noche o día","Cada noche o día","Uno o dos veces al día","Casi todo el día, todos los días","Nunca","Una vez al mes","2","5"
"2021/11/02 11:11:36 p. m. GMT-5","21","Masculino","UTEC","4","7","4","No","3","2","4","2","Una vez a la semana","2-3 veces por semana","Cada noche o día","Una vez a la semana","Casi todo el día, todos los días","Una vez al mes","Uno o dos veces al día","2-3 veces por semana","Cada noche o día","Una vez a la semana","Cada noche o día","1","4"
"2021/11/02 11:16:35 p. m. GMT-5","18","Masculino","UTEC","6","5","12","No","3","3","3","3","Cada noche o día","Uno o dos veces al día","Casi todo el día, todos los días","Casi todo el día, todos los días","Cada noche o día","Una vez al mes","Nunca","Uno o dos veces al día","Casi todo el día, todos los días","Nunca","2-3 veces por semana","1","4"
"2021/11/02 11:24:17 p. m. GMT-5","20","Masculino","César Vallejo","2","9","3","No","3","3","3","2","Casi todo el día, todos los días","Uno o dos veces al día","Uno o dos veces al día","2-3 veces por semana","Una vez al mes","2-3 veces por semana","2-3 veces por semana","Cada noche o día","Cada noche o día","Nunca","Una vez a la semana","2","4"
"2021/11/02 11:25:48 p. m. GMT-5","19","Masculino","UTEC","5","6","6","No","3","2","2","3","Una vez a la semana","2-3 veces por semana","Nunca","Cada noche o día","Nunca","Una vez al mes","Una vez al mes","Una vez a la semana","Una vez al mes","Una vez al mes","Nunca","3","4"
"2021/11/02 11:31:34 p. m. GMT-5","19","Masculino","PUCP","6","7","8","No","4","2","3","1","2-3 veces por semana","2-3 veces por semana","Cada noche o día","Cada noche o día","2-3 veces por semana","Uno o dos veces al día","Cada noche o día","2-3 veces por semana","Una vez a la semana","Nunca","2-3 veces por semana","1","2"
"2021/11/02 11:37:17 p. m. GMT-5","18","Femenino","UPC","2","6","2","No","4","3","6","3","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","Cada noche o día","Casi todo el día, todos los días","Cada noche o día","2-3 veces por semana","Cada noche o día","2-3 veces por semana","Una vez al mes","Una vez a la semana","3",""
"2021/11/02 11:40:48 p. m. GMT-5","20","Masculino","UTEC","3","6","2","No","2","2","2","2","Nunca","Una vez al mes","Una vez a la semana","2-3 veces por semana","Una vez al mes","Nunca","Nunca","","Nunca","Nunca","Nunca","4","3"
"2021/11/03 12:09:33 a. m. GMT-5","19","Femenino","UTEC","6","5","0","No","3","2","6","1","Nunca","2-3 veces por semana","2-3 veces por semana","Uno o dos veces al día","Uno o dos veces al día","Una vez al mes","Nunca","Uno o dos veces al día","Casi todo el día, todos los días","2-3 veces por semana","Casi todo el día, todos los días","1","5"
"2021/11/03 2:39:12 a. m. GMT-5","20","Masculino","UARM","2","7","10","No","2","2","3","3","Una vez al mes","","Una vez al mes","","Una vez al mes","Una vez al mes","","Una vez al mes","","Una vez al mes","","3","3"
"2021/11/03 5:37:25 a. m. GMT-5","20","Masculino","UTEC","8","7","16","No","4","2","2","4","Nunca","2-3 veces por semana","2-3 veces por semana","Uno o dos veces al día","Una vez al mes","Una vez a la semana","Una vez a la semana","2-3 veces por semana","Una vez a la semana","Una vez al mes","Nunca","3","2"
"2021/11/03 9:13:36 a. m. GMT-5","22","Masculino","UTEC","6","7","10","Sí","2","3","5","3","Una vez a la semana","Una vez a la semana","Una vez al mes","Cada noche o día","Una vez al mes","2-3 veces por semana","Una vez a la semana","Una vez a la semana","Una vez al mes","Una vez al mes","Una vez a la semana","2","4"
"2021/11/03 12:16:47 p. m. GMT-5","19","Femenino","Utec","5","6","5","No","4","2","10","2","2-3 veces por semana","Uno o dos veces al día","2-3 veces por semana","Casi todo el día, todos los días","2-3 veces por semana","Una vez a la semana","Una vez a la semana","Casi todo el día, todos los días","Cada noche o día","Una vez al mes","Una vez a la semana","1","4"
"2021/11/03 3:09:32 p. m. GMT-5","19","Masculino","USIL","6","5","10","No","4","3","24","5","2-3 veces por semana","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Casi todo el día, todos los días","Casi todo el día, todos los días","Cada noche o día","Casi todo el día, todos los días","1","5"
"2021/11/03 4:31:39 p. m. GMT-5","18","Masculino","UTEC","3","6","2","No","3","1","1","1","Una vez al mes","Una vez al mes","Cada noche o día","Una vez al mes","Cada noche o día","Una vez a la semana","Nunca","2-3 veces por semana","Cada noche o día","Nunca","Nunca","1","2"
"2021/11/03 6:06:31 p. m. GMT-5","19","Masculino","UPC","3","10","7","No","5  a más","4","8","3","Una vez al mes","2-3 veces por semana","2-3 veces por semana","Cada noche o día","Cada noche o día","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","Una vez al mes","Nunca","Nunca","4","3"
