"","Edad","Género","Ocupación","Plataforma","Escala","Dispositivo","Comparte","Inversión","Finalidad","Desventaja","Tiempo","Cantidad_Plataformas","Satisfacción","Suscribirse","Accion","Drama","Comedia","Terror","Documentales","Otros"
"119",22,"Masculino","Estudiante","Netflix",8,"Laptop","No",10,"Entretenimiento","Distracción",8,2,"Bueno","Sí","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta","A veces / Rara vez"
"120",36,"Masculino","Trabajador independiente","HBO Max",10,"Smart TV","Sí",40,"Entretenimiento","Distracción",20,1,"Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente"
"121",19,"Femenino","Estudiante","Netflix",8,"Laptop","Sí",60,"Entretenimiento","Adicción",10,1,"Bueno","No","A veces / Rara vez","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"122",19,"Masculino","Estudiante","Netflix",7,"PC","Sí",44,"Entretenimiento","Distracción",8,6,"Bueno","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta"
"123",28,"Femenino","Estudiante","Otra",6,"Celular","No",15,"Entretenimiento","Distracción",2,1,"Regular","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","No me gusta","A veces / Rara vez","Frecuentemente"
"124",19,"Femenino","Estudiante","Otra",8,"Celular","No",0,"Ninguna","Ninguna",0,1,"Deficiente","No","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"125",27,"Femenino","Trabajador dependiente","Netflix",6,"Smart TV","Sí",45,"Entretenimiento","Ninguna",28,1,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta"
"126",38,"Femenino","Trabajador independiente","Netflix",10,"Smart TV","Sí",80,"Entretenimiento","Distracción",20,1,"Bueno","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"127",18,"Masculino","Estudiante","Otra",4,"Celular","Sí",20,"Entretenimiento","Ninguna",24,6,"Bueno","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"128",19,"Masculino","Estudiante","Otra",6,"Smart TV","No",0,"Ninguna","Distracción",4,1,"Insuficiente","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente"
"129",18,"Masculino","Estudiante","Netflix",10,"Smart TV","No",20,"Entretenimiento","Distracción",20,3,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"130",18,"Femenino","Estudiante","HBO Max",7,"Smart TV","No",100,"Entretenimiento","Distracción",3,4,"Bueno","Sí","A veces / Rara vez","A veces / Rara vez","Frecuentemente","No me gusta","No me gusta","No me gusta"
"131",19,"Femenino","Estudiante","Netflix",8,"Laptop","No",10,"Entretenimiento","Problema de plataforma",3,1,"Bueno","Sí","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"132",20,"Femenino","Estudiante","Netflix",8,"Laptop","No",75,"Ninguna","Sobre pagos",3,1,"Regular","Sí","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"133",23,"Femenino","Estudiante","Netflix",7,"Laptop","No",10,"Entretenimiento","Adicción",3,1,"Regular","No","No me gusta","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"134",18,"Masculino","Estudiante","Otra",1,"Celular","No",0,"Ninguna","Distracción",25,3,"Regular","No","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"135",21,"Femenino","Trabaja y estudia","Netflix",8,"Laptop","Sí",0,"Entretenimiento","Consumo de tiempo",15,2,"Bueno","Sí","No me gusta","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"136",18,"Masculino","Estudiante","Netflix",8,"Smart TV","Sí",30,"Entretenimiento","Consumo de tiempo",4,1,"Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta"
"137",18,"Femenino","Estudiante","Otra",6,"Laptop","No",30,"Entretenimiento","Consumo de tiempo",3,1,"Bueno","Sí","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta","A veces / Rara vez","No me gusta"
"138",33,"Masculino","Trabajador dependiente","Disney+",8,"Smart TV","No",40,"Entretenimiento","Distracción",30,3,"Bueno","Sí","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez","A veces / Rara vez","No me gusta"
"139",40,"Femenino","Ninguna de las anteriores","Netflix",5,"Celular","No",60,"Entretenimiento","Ninguna",5,2,"Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","Frecuentemente"
"140",42,"Masculino","Trabajador dependiente","Netflix",8,"Smart TV","Sí",20,"Entretenimiento","Distracción",10,1,"Regular","No","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","Frecuentemente","No me gusta"
"141",38,"Femenino","Desempleado","Netflix",9,"Smart TV","No",50,"Entretenimiento","Distracción",10,1,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta"
"142",29,"Masculino","Trabajador dependiente","Netflix",6,"PC","Sí",30,"Entretenimiento","Problema de plataforma",8,2,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","No me gusta","Frecuentemente"
"143",26,"Masculino","Trabaja y estudia","Netflix",5,"Tablet","No",10,"Entretenimiento","Ninguna",6,2,"Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","A veces / Rara vez"
"144",28,"Femenino","Trabajador independiente","HBO Max",10,"Laptop","Sí",40,"Ninguna","Problema de plataforma",5,1,"Bueno","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta","No me gusta","A veces / Rara vez"
"145",38,"Femenino","Trabajador independiente","Netflix",9,"Celular","No",35,"Entretenimiento","Distracción",10,1,"Bueno","No","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente"
"146",40,"Femenino","Trabajador independiente","Otra",10,"Celular","No",0,"Ninguna","Ninguna",0,1,"Bueno","No","No me gusta","No me gusta","No me gusta","No me gusta","A veces / Rara vez","Frecuentemente"
"147",40,"Femenino","Trabajador independiente","Netflix",8,"Celular","No",120,"Entretenimiento","Distracción",20,4,"Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"148",38,"Femenino","Trabajador independiente","Otra",5,"Smart TV","No",0,"Ninguna","Ninguna",0,1,"Insuficiente","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"149",26,"Femenino","Trabajador dependiente","HBO Max",8,"Smart TV","Sí",20,"Entretenimiento","Sobre pagos",5,4,"Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","Frecuentemente"
"150",29,"Masculino","Trabajador independiente","Netflix",5,"Smart TV","Sí",13,"Entretenimiento","Problema de plataforma",2,1,"Regular","No","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"151",29,"Femenino","Trabajador independiente","Netflix",5,"Smart TV","Sí",13,"Entretenimiento","Problema de plataforma",2,1,"Regular","No","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"152",20,"Femenino","Estudiante","Netflix",9,"Laptop","Sí",10,"Entretenimiento","Distracción",8,1,"Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","A veces / Rara vez","Frecuentemente"
"153",39,"Femenino","Trabajador dependiente","Netflix",8,"Smart TV","Sí",20,"Entretenimiento","Ninguna",4,1,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"154",18,"Masculino","Estudiante","Netflix",6,"Laptop","No",50,"Entretenimiento","Distracción",6,2,"Regular","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"155",40,"Femenino","Trabaja y estudia","Netflix",10,"Smart TV","No",50,"Entretenimiento","Distracción",7,1,"Excelente","Sí","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"156",18,"Masculino","Estudiante","Netflix",10,"Celular","No",30,"Entretenimiento","Distracción",5,4,"Excelente","Sí","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","No me gusta","No me gusta"
"157",38,"Femenino","Ninguna de las anteriores","Amazon",9,"Smart TV","Sí",50,"Relajarme","Adicción",20,3,"Bueno","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"158",38,"Masculino","Trabajador dependiente","Otra",8,"Smart TV","No",40,"Entretenimiento","Distracción",30,2,"Bueno","No","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"159",22,"Masculino","Estudiante","Netflix",9,"Celular","No",45,"Entretenimiento","Distracción",3,2,"Excelente","Sí","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"160",21,"Masculino","Estudiante","Otra",5,"Celular","No",10,"Entretenimiento","Distracción",8,1,"Bueno","Sí","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"161",32,"Masculino","Trabajador independiente","Netflix",7,"Celular","Sí",45,"Entretenimiento","Ninguna",15,1,"Regular","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"162",19,"Femenino","Estudiante","Netflix",8,"Smart TV","Sí",50,"Entretenimiento","Distracción",3,5,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez"
"163",18,"Femenino","Estudiante","HBO Max",10,"Laptop","No",30,"Entretenimiento","Ninguna",6,4,"Excelente","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"164",18,"Femenino","Estudiante","Netflix",9,"Tablet","Sí",30,"Entretenimiento","Sobre pagos",6,1,"Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","No me gusta","No me gusta"
"165",18,"Masculino","Estudiante","Otra",6,"Laptop","No",20,"Entretenimiento","Distracción",20,1,"Regular","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"166",20,"Masculino","Estudiante","Netflix",8,"Smart TV","No",50,"Entretenimiento","Adicción",24,3,"Bueno","No","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"167",18,"Femenino","Trabaja y estudia","Amazon",7,"Laptop","No",200,"Entretenimiento","Ninguna",25,2,"Bueno","Sí","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"168",18,"Masculino","Estudiante","Otra",10,"Celular","No",0,"Entretenimiento","Distracción",1,2,"Bueno","No","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente"
"169",19,"Femenino","Trabaja y estudia","HBO Max",9,"Smart TV","Sí",50,"Entretenimiento","Distracción",10,5,"Bueno","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente"
"170",23,"Masculino","Trabajador independiente","Otra",5,"Celular","No",0,"Ninguna","Distracción",1,1,"Bueno","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"171",18,"Femenino","Trabaja y estudia","Otra",3,"Celular","No",10,"Entretenimiento","Distracción",5,1,"Excelente","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","A veces / Rara vez","No me gusta"
"172",21,"Femenino","Trabajador dependiente","HBO Max",8,"Celular","Sí",20,"Entretenimiento","Problema al dormir",20,1,"Bueno","Sí","A veces / Rara vez","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"173",21,"Femenino","Estudiante","HBO Max",7,"Laptop","No",30,"Entretenimiento","Distracción",2,1,"Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"174",18,"Masculino","Estudiante","HBO Max",10,"PC","Sí",100,"Entretenimiento","Distracción",12,4,"Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta","No me gusta"
"175",20,"Masculino","Estudiante","Otra",6,"Celular","Sí",29,"Entretenimiento","Distracción",35,1,"Excelente","No","No me gusta","No me gusta","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta"
"176",19,"Masculino","Estudiante","Netflix",10,"Laptop","Sí",45,"Entretenimiento","Distracción",0,1,"Regular","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","No me gusta"
"177",18,"Femenino","Estudiante","Netflix",10,"Celular","Sí",50,"Entretenimiento","Distracción",4,3,"Excelente","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"178",20,"Femenino","Estudiante","Otra",3,"Smart TV","No",40,"Entretenimiento","Distracción",12,1,"Regular","No","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"179",18,"Femenino","Estudiante","Netflix",10,"Smart TV","No",120,"Entretenimiento","Sobre pagos",20,4,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"180",18,"Femenino","Estudiante","Otra",5,"Celular","No",0,"Ninguna","Ninguna",10,1,"Insuficiente","No","A veces / Rara vez","No me gusta","No me gusta","No me gusta","Frecuentemente","No me gusta"
"181",20,"Masculino","Estudiante","Disney+",8,"Tablet","Sí",25,"Entretenimiento","Distracción",8,2,"Bueno","No","Frecuentemente","No me gusta","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"182",19,"Masculino","Estudiante","Otra",5,"Laptop","No",0,"Entretenimiento","Distracción",10,1,"Deficiente","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"183",18,"Femenino","Estudiante","Netflix",7,"Laptop","No",50,"Entretenimiento","Distracción",20,1,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez"
"184",21,"Masculino","Estudiante","HBO Max",8,"Laptop","Sí",200,"Entretenimiento","Problema de plataforma",10,4,"Excelente","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta"
"185",20,"Masculino","Trabaja y estudia","Netflix",8,"Celular","Sí",95,"Entretenimiento","Sobre pagos",20,4,"Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez"
"186",21,"Masculino","Estudiante","Netflix",9,"Celular","Sí",50,"Entretenimiento","Sobre pagos",8,4,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente"
"187",18,"Masculino","Estudiante","Disney+",8,"Smart TV","Sí",15,"Entretenimiento","Distracción",4,2,"Excelente","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","No me gusta","A veces / Rara vez"
"188",18,"Masculino","Estudiante","Disney+",10,"Smart TV","Sí",52,"Entretenimiento","Consumo de tiempo",6,3,"Excelente","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez"
"189",18,"Femenino","Estudiante","Disney+",8,"Smart TV","Sí",20,"Entretenimiento","Distracción",20,2,"Excelente","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"190",19,"Masculino","Estudiante","Netflix",5,"Celular","No",0,"Ninguna","Ninguna",0,1,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"191",19,"Masculino","Estudiante","Netflix",7,"Smart TV","No",30,"Entretenimiento","Adicción",4,2,"Regular","No","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"192",18,"Masculino","Estudiante","Otra",4,"Laptop","No",0,"Entretenimiento","Distracción",1,1,"Regular","No","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"193",18,"Masculino","Estudiante","Netflix",7,"Celular","Sí",40,"Entretenimiento","Distracción",5,3,"Bueno","Sí","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","No me gusta"
"194",18,"Masculino","Estudiante","Disney+",9,"PC","Sí",30,"Entretenimiento","Distracción",4,3,"Bueno","Sí","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","No me gusta"
"195",18,"Masculino","Estudiante","Amazon",7,"Smart TV","No",25,"Entretenimiento","Consumo de tiempo",6,2,"Excelente","Sí","No me gusta","No me gusta","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"196",50,"Femenino","Trabajador independiente","Otra",6,"Celular","No",18,"Entretenimiento","Adicción",7,1,"Regular","No","No me gusta","No me gusta","No me gusta","Frecuentemente","Frecuentemente","A veces / Rara vez"
"197",20,"Masculino","Trabajador dependiente","Netflix",10,"Smart TV","Sí",44,"Entretenimiento","Consumo de tiempo",3,1,"Bueno","No","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente","No me gusta","No me gusta"
"198",18,"Masculino","Estudiante","Disney+",9,"Celular","Sí",35,"Entretenimiento","Sobre pagos",7,1,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"199",25,"Femenino","Trabaja y estudia","Amazon",5,"Laptop","No",18,"Entretenimiento","Adicción",4,1,"Regular","No","No me gusta","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"200",20,"Masculino","Estudiante","Netflix",9,"Laptop","No",20,"Entretenimiento","Distracción",3,1,"Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta"
"201",19,"Femenino","Estudiante","Otra",9,"Laptop","No",0,"Entretenimiento","Distracción",15,1,"Regular","Sí","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"202",18,"Masculino","Estudiante","Netflix",4,"Smart TV","Sí",60,"Entretenimiento","Distracción",1,2,"Excelente","No","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"203",18,"Femenino","Estudiante","Disney+",8,"Smart TV","No",26,"Entretenimiento","Adicción",6,1,"Bueno","No","No me gusta","A veces / Rara vez","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez"
"204",20,"Femenino","Estudiante","Netflix",8,"Celular","No",20,"Entretenimiento","Distracción",8,1,"Bueno","Sí","A veces / Rara vez","A veces / Rara vez","No me gusta","No me gusta","Frecuentemente","Frecuentemente"
