"Marca temporal","Edad
","Género","Ocupación","¿Cuál de estás plataformas utilizas con mayor frecuencia?
","¿Del 1 al 10 cuánto recomiendas las plataformas que utilizas ?","¿Qué dispositivo utilizas usualmente para usar estas plataformas? ","¿Compartes cuentas de Streaming con otras personas","¿Cuánto inviertes mensualmente en servicios de Streaming ?","¿Con qué finalidad hace uso de las plataformas de Streaming?","¿Alguna desventaja significativa que consideres sobre plataformas de Streaming?","¿Cuántas horas consideras que dedicas semanalmente a estos servicios?","¿Cuántas plataformas de Streaming tienes contratadas actualmente?","¿Cómo calificaría los servicios de Streaming con los que cuenta?","De acuerdo con la pregunta anterior ¿Consideraría suscribirse a más servicios de Streaming?","¿Qué tipo de series / películas te gustan más ? [Acción]","¿Qué tipo de series / películas te gustan más ? [Drama]","¿Qué tipo de series / películas te gustan más ? [Comedia]","¿Qué tipo de series / películas te gustan más ? [Terror]","¿Qué tipo de series / películas te gustan más ? [Documentales]","¿Qué tipo de series / películas te gustan más ? [Otros]"
"2022/09/22 1:50:26 p. m. GMT-5","24","Masculino","Trabajador dependiente","Netflix","7","Celular","No","20","Entretenimiento ","Costumbre","24","1","Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 1:52:12 p. m. GMT-5","27","Masculino","Trabajador dependiente","Netflix","9","Laptop","Sí","55","Entretenimiento","Pérdida de tiempo","20","4","Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta"
"2022/09/22 2:26:29 p. m. GMT-5","32","Masculino","Trabajador dependiente","Netflix","6","Smart TV","Sí","20","Entretenimiento","Adicción","3","1","Bueno","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"2022/09/22 2:43:17 p. m. GMT-5","34","Masculino","Trabajador dependiente","Netflix","7","PC","No","50","Entretenimiento ","Distracción ","20","1","Bueno","No","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez","No me gusta"
"2022/09/22 2:50:33 p. m. GMT-5","27","Femenino","Trabajador dependiente","Netflix","7","Smart TV","Sí","25","entretenimiento","no","10","3","Regular","No","A veces / Rara vez","No me gusta","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 3:05:11 p. m. GMT-5","19","Femenino","Estudiante","Netflix","5","Laptop","Sí","40","Distracción ","Distracción ","0","1","Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","No me gusta","Frecuentemente"
"2022/09/22 3:57:05 p. m. GMT-5","35","Femenino","Trabajador dependiente","Netflix","7","Celular","No","0","entretenimiento","distracción","20","1","Bueno","No","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez"
"2022/09/22 4:26:46 p. m. GMT-5","30","Masculino","Trabaja y estudia","Netflix","7","Celular","No","0","Entretenimiento","Tiempo","60","1","Bueno","No","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente"
"2022/09/22 4:29:04 p. m. GMT-5","30","Masculino","Trabajador independiente","Netflix","8","Smart TV","Sí","15","Entretenimiento ","Adicción de series","15","1","Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"2022/09/22 5:03:28 p. m. GMT-5","29","Masculino","Trabajador dependiente","HBO Max","8","Celular","Sí","60","entretenimiento","distracción","6","4","Bueno","Sí","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez"
"2022/09/22 5:31:52 p. m. GMT-5","22","Masculino","Estudiante","Netflix","9","Smart TV","Sí","30","Entretenimiento","Distracción ","8","3","Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez"
"2022/09/22 5:45:32 p. m. GMT-5","18","Masculino","Estudiante","Otra","10","PC","No","0","entretenimiento","optimización ","6","1","Bueno","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 6:10:15 p. m. GMT-5","23","Masculino","Estudiante","Otra","8","PC","No","10","Entretenimiento ","Distraccion","5","1","Regular","No","Frecuentemente","No me gusta","No me gusta","Frecuentemente","Frecuentemente","No me gusta"
"2022/09/22 6:11:36 p. m. GMT-5","19","Masculino","Estudiante","HBO Max","9","Laptop","No","20","Entretenimiento ","Más contenido","20","1","Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","No me gusta"
"2022/09/22 6:41:10 p. m. GMT-5","18","Femenino","Trabaja y estudia","Netflix","9","Smart TV","No","50","Entretenimiento ","Dependencia","5","2","Bueno","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 7:30:12 p. m. GMT-5","18","Masculino","Estudiante","Netflix","8","PC","No","60","Diversión","Distracción","6","1","Bueno","Sí","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta"
"2022/09/22 7:43:19 p. m. GMT-5","18","Masculino","Estudiante","HBO Max","10","Celular","No","30","Entretenimiento","Ninguna","6","5","Excelente","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"2022/09/22 7:54:13 p. m. GMT-5","28","Masculino","Trabajador independiente","Netflix","8","Smart TV","Sí","45","Entretenimiento ","Distracción ","6","1","Excelente","No","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 7:56:15 p. m. GMT-5","47","Femenino","Trabajador dependiente","Netflix","5","Celular","No","30","Entretenimiento ","Distraccion","5","1","Bueno","No","No me gusta","No me gusta","No me gusta","No me gusta","No me gusta","No me gusta"
"2022/09/22 8:01:56 p. m. GMT-5","20","Femenino","Estudiante","Netflix","8","Smart TV","Sí","15","Entretenimiento ","Procrastinar ","15","1","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez"
"2022/09/22 8:08:02 p. m. GMT-5","42","Femenino","Trabajador dependiente","Netflix","7","Celular","Sí","35","Entretenimiento ","Distracción ","30","3","Bueno","No","No me gusta","A veces / Rara vez","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 8:15:46 p. m. GMT-5","36","Femenino","Trabajador dependiente","Netflix","6","Celular","Sí","45","Entretenimiento "," Distracción ","4","2","Bueno","No","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 8:17:37 p. m. GMT-5","22","Masculino","Estudiante","Netflix","8","Laptop","No","10","Entretenimiento","Distracción ","8","2","Bueno","Sí","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta","A veces / Rara vez"
"2022/09/22 8:25:57 p. m. GMT-5","36","Masculino","Trabajador independiente","HBO Max","10","Smart TV","Sí","40","Entretenimiento ","Distraerse ","20","1","Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente"
"2022/09/22 8:30:32 p. m. GMT-5","19 ","Femenino","Estudiante","Netflix","8","Laptop","Sí","60","Diversión ","Devaneo ","10","1","Bueno","No","A veces / Rara vez","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 10:46:21 p. m. GMT-5","19","Masculino","Estudiante","Netflix","7","PC","Sí","44","Entretenimiento ","Distracción ","8","6","Bueno","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta"
"2022/09/23 12:09:09 a. m. GMT-5","28","Femenino","Estudiante","Otra","6","Celular","No","15","Entretenimiento ","Distracción ","2","1","Regular","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","No me gusta","A veces / Rara vez","Frecuentemente"
"2022/09/23 1:36:30 a. m. GMT-5","19 ","Femenino","Estudiante","Otra","8","Celular","No","0","No uso ","No uso ","0","1","Deficiente","No","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/23 7:05:14 a. m. GMT-5","27","Femenino","Trabajador dependiente","Netflix","6","Smart TV","Sí","45","Entretenimiento ","Ninguna","28","1","Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta"
"2022/09/23 7:30:50 a. m. GMT-5","38","Femenino","Trabajador independiente","Netflix","10","Smart TV","Sí","80","Entretenimiento ","distracción ","20","1","Bueno","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/23 8:46:35 a. m. GMT-5","18","Masculino","Estudiante","Otra","4","Celular","Sí","20","Entretenimiento","Ninguna","24","6","Bueno","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"2022/09/23 10:07:45 a. m. GMT-5","19","Masculino","Estudiante","Otra","6","Smart TV","No","0","Nada","Distracciones","4","1","Insuficiente","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente"
"2022/09/23 10:12:24 a. m. GMT-5","18","Masculino","Estudiante","Netflix","10","Smart TV","No","20","Entretenimiento","Distracción ","20","3","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/23 10:38:47 a. m. GMT-5","18","Femenino","Estudiante","HBO Max","7","Smart TV","No","100","Pasar el tiempo ","Distracción ","3","4","Bueno","Sí","A veces / Rara vez","A veces / Rara vez","Frecuentemente","No me gusta","No me gusta","No me gusta"
"2022/09/23 2:58:43 p. m. GMT-5","19","Femenino","Estudiante","Netflix","8","Laptop","No","10","Entretenimiento","No comparte pantalla","3","1","Bueno","Sí","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/23 9:19:02 p. m. GMT-5","20","Femenino","Estudiante","Netflix","8","Laptop","No","75","50","Precio ","3","1","Regular","Sí","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/23 9:31:56 p. m. GMT-5","23","Femenino","Estudiante","Netflix","7","Laptop","No","10.00","Entretenimiento","Adicción ","3","1","Regular","No","No me gusta","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/23 11:20:57 p. m. GMT-5","18","Masculino","Estudiante","Otra","1","Celular","No","0","no uso ;-;","estres acumulado","25","3","Regular","No","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/24 8:23:43 a. m. GMT-5","21","Femenino","Trabaja y estudia","Netflix","8","Laptop","Sí","0","Entretenimiento","Quitan mucho tiempo","15","2","Bueno","Sí","No me gusta","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/24 9:43:28 a. m. GMT-5","18","Masculino","Estudiante","Netflix","8","Smart TV","Sí","30","Entretenimiento ","Consume tiempo ","4","1","Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta"
"2022/09/24 3:43:03 p. m. GMT-5","18","Femenino","Estudiante","Otra","6","Laptop","No","30","Relajamiento ","Pérdida de tiempo.","3","1","Bueno","Sí","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta","A veces / Rara vez","No me gusta"
"2022/09/24 3:52:26 p. m. GMT-5","33","Masculino","Trabajador dependiente","Disney+","8","Smart TV","No","40","Entrenimiento","Distraccion","30","3","Bueno","Sí","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez","A veces / Rara vez","No me gusta"
"2022/09/24 4:16:34 p. m. GMT-5","40","Femenino","Ninguna de las anteriores","Netflix","5","Celular","No","60","Entretenimiemnto","Ninguna","5 ","2","Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","Frecuentemente"
"2022/09/24 4:28:16 p. m. GMT-5","42","Masculino","Trabajador dependiente","Netflix","8","Smart TV","Sí","20","Entrenamiento ","Distracción ","10","1","Regular","No","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","Frecuentemente","No me gusta"
"2022/09/24 4:29:37 p. m. GMT-5","38","Femenino","Desempleado","Netflix","9","Smart TV","No","50","Entretenimiento ","Distracción ","10","1","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta"
"2022/09/24 4:46:20 p. m. GMT-5","29","Masculino","Trabajador dependiente","Netflix","6","PC","Sí","30","Entretenimiento ","Poca variedad.","8","2","Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","No me gusta","Frecuentemente"
"2022/09/24 4:50:03 p. m. GMT-5","26","Masculino","Trabaja y estudia","Netflix","5","Tablet","No","10","Entretenimiento","No","6","2","Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","A veces / Rara vez"
"2022/09/24 4:53:00 p. m. GMT-5","28","Femenino","Trabajador independiente","HBO Max","10","Laptop","Sí","40.00","Diariamente","Poco catálogo","5","1","Bueno","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta","No me gusta","A veces / Rara vez"
"2022/09/24 5:08:31 p. m. GMT-5","38","Femenino","Trabajador independiente","Netflix","9","Celular","No","35","Entretenimiento ","Distraccion","10","1","Bueno","No","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/24 5:12:52 p. m. GMT-5","40","Femenino","Trabajador independiente","Otra","10","Celular","No","0","X","Xx","0","1","Bueno","No","No me gusta","No me gusta","No me gusta","No me gusta","A veces / Rara vez","Frecuentemente"
"2022/09/24 5:28:21 p. m. GMT-5","40","Femenino","Trabajador independiente","Netflix","8","Celular","No","120","Entretenimiento ","Distracción","20","4","Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"2022/09/24 5:32:00 p. m. GMT-5","38","Femenino","Trabajador independiente","Otra","5","Smart TV","No","0","Ninguna","Ninguna","0","1","Insuficiente","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/24 5:57:41 p. m. GMT-5","26","Femenino","Trabajador dependiente","HBO Max","8","Smart TV","Sí","20","Entretenimiento","Dinero","5","4","Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","Frecuentemente"
"2022/09/24 6:45:43 p. m. GMT-5","29","Masculino","Trabajador independiente","Netflix","5","Smart TV","Sí","13","Entretenimiento ","No tiene cartelera","2","1","Regular","No","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/24 6:46:40 p. m. GMT-5","29","Femenino","Trabajador independiente","Netflix","5","Smart TV","Sí","13","Películas ","No tiene cartelera ","2 ","1","Regular","No","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/24 7:39:33 p. m. GMT-5","20","Femenino","Estudiante","Netflix","9","Laptop","Sí","10","Entretenimiento","Distracción","8","1","Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","A veces / Rara vez","Frecuentemente"
"2022/09/24 8:01:28 p. m. GMT-5","39","Femenino","Trabajador dependiente","Netflix","8","Smart TV","Sí","20","Diversión","Ninguna","4","1","Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"2022/09/24 9:42:35 p. m. GMT-5","18","Masculino","Estudiante","Netflix","6","Laptop","No","50","Entretenimiento","Distracción","6","2","Regular","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"2022/09/25 6:33:36 a. m. GMT-5","40","Femenino","Trabaja y estudia","Netflix","10","Smart TV","No","50","Distraccion","Distraccion","7","1","Excelente","Sí","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/25 2:32:26 p. m. GMT-5","18","Masculino","Estudiante","Netflix","10","Celular","No","30","Entretenimiento","Me distraigo mucho","5","4","Excelente","Sí","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","No me gusta","No me gusta"
"2022/09/25 8:40:19 p. m. GMT-5","38","Femenino","Ninguna de las anteriores","Amazon Prime Video","9","Smart TV","Sí","50","Relajarme","Vicio","20","3","Bueno","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"2022/09/25 11:02:51 p. m. GMT-5","38","Masculino","Trabajador dependiente","Otra","8","Smart TV","No","40","Entretenimiento","Distracción","30","2","Bueno","No","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 10:11:16 a. m. GMT-5","22","Masculino","Estudiante","Netflix","9","Celular","No","45","Entretenimiento","Distracción ","3","2","Excelente","Sí","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"2022/09/26 10:14:03 a. m. GMT-5","21","Masculino","Estudiante","Otra","5","Celular","No","10","Entretenimiento ","Distracción ","8","1","Bueno","Sí","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 10:22:52 a. m. GMT-5","32","Masculino","Trabajador independiente","Netflix","7","Celular","Sí","45","Entretenimiento ","No se","15","1","Regular","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 10:42:30 a. m. GMT-5","19","Femenino","Estudiante","Netflix","8","Smart TV","Sí","50","Entretenimiento ","Distracción ","3","5","Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez"
"2022/09/26 10:45:06 a. m. GMT-5","18","Femenino","Estudiante","HBO Max","10","Laptop","No","30","entretenimiento","-","6","4","Excelente","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 10:49:11 a. m. GMT-5","18","Femenino","Estudiante","Netflix","9","Tablet","Sí","30","Entretenimiento","Pago","6","1","Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","No me gusta","No me gusta"
"2022/09/26 11:14:56 a. m. GMT-5","18","Masculino","Estudiante","Otra","6","Laptop","No","20","Entretenimiento","Distracción","20","1","Regular","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 12:04:11 p. m. GMT-5","20","Masculino","Estudiante","Netflix","8","Smart TV","No","50","Distracción","Sedentarismo ","24","3","Bueno","No","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"2022/09/26 12:05:28 p. m. GMT-5","18","Femenino","Trabaja y estudia","Amazon Prime Video","7","Laptop","No","200","Diversion","Ninguna ","25","2","Bueno","Sí","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 12:17:44 p. m. GMT-5","18","Masculino","Estudiante","Otra","10","Celular","No","0","entretenimiento ","distracción ","1","2","Bueno","No","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente"
"2022/09/26 1:03:22 p. m. GMT-5","19","Femenino","Trabaja y estudia","HBO Max","9","Smart TV","Sí","50","Distracción ","Desestres ","10","5","Bueno","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente"
"2022/09/26 1:55:42 p. m. GMT-5","23","Masculino","Trabajador independiente","Otra","5","Celular","No","0","0","Entretenimiento ","1","1","Bueno","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 1:56:25 p. m. GMT-5","18","Femenino","Trabaja y estudia","Otra","3","Celular","No","10","Entranamuento ","Distraccion ","5","1","Excelente","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","A veces / Rara vez","No me gusta"
"2022/09/26 2:01:30 p. m. GMT-5","21","Femenino","Trabajador dependiente","HBO Max","8","Celular","Sí","20","Entretenimiento ","No duermo mucho ","20","1","Bueno","Sí","A veces / Rara vez","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 2:21:36 p. m. GMT-5","21","Femenino","Estudiante","HBO Max","7","Laptop","No","30","Entretenimiento ","Distracción ","2","1","Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 3:57:13 p. m. GMT-5","18","Masculino","Estudiante","HBO Max","10","PC","Sí","100","Entretenimiento ","Distracción ","12","4","Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta","No me gusta"
"2022/09/26 4:01:03 p. m. GMT-5","20","Masculino","Estudiante","Otra","6","Celular","Sí","29","Entretenimiento ","Distracción ","35","1","Excelente","No","No me gusta","No me gusta","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta"
"2022/09/26 4:18:08 p. m. GMT-5","19","Masculino","Estudiante","Netflix","10","Laptop","Sí","45","Diversion","Distraccion","0","1","Regular","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","No me gusta"
"2022/09/26 4:26:57 p. m. GMT-5","18","Femenino","Estudiante","Netflix","10","Celular","Sí","50","Entretenimiento ","Distracción ","4","3","Excelente","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 4:29:11 p. m. GMT-5","20","Femenino","Estudiante","Otra","3","Smart TV","No","40","Escuchar música","Distracción ","12","1","Regular","No","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 5:05:02 p. m. GMT-5","18","Femenino","Estudiante","Netflix","10","Smart TV","No","120","para entretenerme","se gasta y distrae","20","4","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 5:55:30 p. m. GMT-5","18","Femenino","Estudiante","Otra","5","Celular","No","0","Casi nunca ","Ninguno ","10","1","Insuficiente","No","A veces / Rara vez","No me gusta","No me gusta","No me gusta","Frecuentemente","No me gusta"
"2022/09/26 6:22:12 p. m. GMT-5","20","Masculino","Estudiante","Disney+","8","Tablet","Sí","25","Entretenimiento","Distracción","8","2","Bueno","No","Frecuentemente","No me gusta","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"2022/09/26 7:48:50 p. m. GMT-5","19","Masculino","Estudiante","Otra","5","Laptop","No","0","Para informarme","Distracción ","10","1","Deficiente","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"2022/09/26 8:09:04 p. m. GMT-5","18","Femenino","Estudiante","Netflix","7","Laptop","No","50","Entretenimiento ","Olvidar tareas","20","1","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez"
"2022/09/26 8:19:14 p. m. GMT-5","21","Masculino","Estudiante","HBO Max","8","Laptop","Sí","200","Entretenimiento ","Variedad límitada ","10","4","Excelente","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta"
"2022/09/26 8:38:49 p. m. GMT-5","20","Masculino","Trabaja y estudia","Netflix","8","Celular","Sí","95 ","Entretenimiento ","Su precio","20","4","Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez"
"2022/09/26 8:55:19 p. m. GMT-5","21","Masculino","Estudiante","Netflix","9","Celular","Sí","50","entrenamiento ","costo","8","4","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente"
"2022/09/26 9:41:20 p. m. GMT-5","18","Masculino","Estudiante","Disney+","8","Smart TV","Sí","15","Entretenimiento","Ocio","4","2","Excelente","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","No me gusta","A veces / Rara vez"
"2022/09/26 9:43:15 p. m. GMT-5","18","Masculino","Estudiante","Disney+","10","Smart TV","Sí","52","Pasatiempo","Desgastar el tiempo","6","3","Excelente","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez"
"2022/09/26 9:53:02 p. m. GMT-5","18","Femenino","Estudiante","Disney+","8","Smart TV","Sí","20","Entretenimiento","Distraccion","20","2","Excelente","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 10:00:43 p. m. GMT-5","19","Masculino","Estudiante","Netflix","5","Celular","No","0","No utilizo.","Ninguno ","0","1","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/26 10:04:32 p. m. GMT-5","19","Masculino","Estudiante","Netflix","7","Smart TV","No","30 ","Entretenimiento","Sedentarismo ","4","2","Regular","No","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"2022/09/26 10:04:39 p. m. GMT-5","18","Masculino","Estudiante","Otra","4","Laptop","No","0","Entrenamiento ","Distracciones ","1","1","Regular","No","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 10:04:51 p. m. GMT-5","18","Masculino","Estudiante","Netflix","7","Celular","Sí","40","Entretenimiento","Distracción","5","3","Bueno","Sí","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","No me gusta"
"2022/09/26 10:07:02 p. m. GMT-5","18","Masculino","Estudiante","Disney+","9","PC","Sí","30","Entretenimiento","Distracción","4","3","Bueno","Sí","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","No me gusta"
"2022/09/26 10:09:02 p. m. GMT-5","18","Masculino","Estudiante","Amazon Prime Video","7","Smart TV","No","25","Pasar el tiempo","Perder tiempo","6","2","Excelente","Sí","No me gusta","No me gusta","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/26 10:10:38 p. m. GMT-5","50","Femenino","Trabajador independiente","Otra","6","Celular","No","18","Entretenimiento","Poco control","7","1","Regular","No","No me gusta","No me gusta","No me gusta","Frecuentemente","Frecuentemente","A veces / Rara vez"
"2022/09/26 10:13:43 p. m. GMT-5","20","Masculino","Trabajador dependiente","Netflix","10","Smart TV","Sí","44","Entretenimiento","Pérdida de tiempo","3","1","Bueno","No","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente","No me gusta","No me gusta"
