Edad,Gènero,Carrera,Ciclo,Peso,Estatura,Actividad_Física,Comidas_Rápidas,Hora_Almuerzo,Tiempo_Almuerzo,Tipo_Alimentación,Preferencia,Mayor_Consumo,Agua,Alimento_Universitario,Gastos_comidas_nosaludables,Promedio,Rendimiento_Academico,Alimentación_Rendimiento,IMC
22,Masculino,Ing. de la Energía,4,78.5,169,0,2,14 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Grasas,2.5,No,42.6,14.3,Poco satisfecho,Sí,27.49
20,Femenino,Ing. Industrial,7,55,170,8,1,14 horas,50,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,35,18.2,Satisfecho,Sí,19.03
17,Masculino,Ciencia de datos,2,75,189,8,1,13 horas,50,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,15,17.6,Satisfecho,Sí,21
21,Femenino,Ing. de la Energía,6,60.5,170,10,4,14 horas,50,Comida rápida/chatarra,Preferencias a ese tipo de comida,Grasas,1.5,Sí,100,13,Neutral,Sí,20.93
21,Masculino,Ing. Mecatrónica,3,81.7,169,1.5,3,15 horas,55,Comida de restaurante,Tiempo empleado,Grasas,2,Sí,53.5,13.5,Poco satisfecho,Sí,28.61
18,Femenino,Administración y negocios digitales,2,50,165,15,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,2,Sí,20,18.8,Muy satisfecho,Sí,18.37
24,Masculino,Ing. Mecatrónica,8,78.4,171,0,2,15 horas,58,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1.5,No,38.4,15.7,Neutral,Sí,26.81
19,Masculino,Administración y negocios digitales,4,56.3,162.4,3,1,13 horas,35,Comida rápida/chatarra,Preferencias a ese tipo de comida,Proteínas,2,No,43,17.6,Neutral,No,21.35
17,Femenino,Ing. Mecánica,2,60,170,10,1,14 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,20,16,Satisfecho,Sí,20.76
20,Masculino,Ing. Civil,3,73.6,168,2.5,2,13 horas,60,Comida de restaurante,Tiempo empleado,Proteínas,1.5,No,35.8,16.7,Satisfecho,Sí,26.08
20,Femenino,Bioingenería,5,60,160,2,3,14 horas,30,Comida preparada en casa,Situación económica,Frutas y Verduras,2,Sí,10,15,Satisfecho,Sí,23.44
22,Femenino,Bioingenería,5,58,165,2,2,13 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1.5,No,25.5,16.7,Satisfecho,Sí,21.3
20,Femenino,Administración y negocios digitales,4,48.5,158,3,1,13 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,2,No,20,15,Satisfecho,No,19.43
20,Femenino,Ing. Industrial,4,54,166,5,2,14 horas,45,Comida de restaurante,Preferencias a ese tipo de comida,Proteínas,3,No,30,14,Neutral,Sí,19.6
