Marca temporal,¿Juegas videojuegos?,Género,Edad,Carrera,¿Qué manera de jugar te gusta más?,¿Prefieres juegos multiplayer o singleplayer?,¿Qué valoras más en un videojuego?,Plataforma en la que juega:,"Tiempo que dedica a jugar videojuegos
Ejem: 1 hora a la semana",¿Qué género de videojuego prefieres?,¿Qué compania crees que tiene mejores juegos?,Cantidad de dinero que gastas en video juegos en un año,¿Cuántos cursos estas llevando en el ciclo?,"¿Cual es tu promedio ponderado?
Valor comprendido entre 1 a 20. 
Ejm: 14.67","¿Cuantas horas al dia duermes?
Ejm: 4",¿Cuantos cursos desaprobados tienes?,Sigues los cursos que corresponden a tu ciclo actual. ¿Si o no?,¿Por qué no te gustan los videojuegos?
10/13/2022 18:47:59,Sí,Masculino,19,Ingeniería de la Energía,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Banda Sonora,PC (Computadora),9,MOBAs,"Valve (Dota, Half Life, Portal, etc)",100,5,11.00,7,Ninguno,Sí,Jugabilidad complicada
10/13/2022 18:49:27,Sí,Masculino,20,Ingeniería Mecánica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),9,MOBAs,"Valve (Dota, Half Life, Portal, etc)",70,6,12.00,7,Ninguno,Sí,Jugabilidad complicada
10/13/2022 18:53:10,Sí,Masculino,22,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),4,MOBAs,"Valve (Dota, Half Life, Portal, etc)",50,6,12.00,8,Ninguno,Sí,Jugabilidad complicada
10/13/2022 18:54:34,Sí,Femenino,18,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,Celular,3,De Plataformas,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",40,7,18.00,8,Ninguno,Sí,"Jugabilidad complicada, No me llama la atención"
10/13/2022 18:56:01,Sí,Masculino,20,Ciencia de la Computación,PvP (Jugador VS Jugador),Singleplayer (Un solo jugador),Gráficos,Celular,1,De Plataformas,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",10,7,18.00,8,Ninguno,Sí,No me llama la atención
10/13/2022 18:59:28,Sí,Femenino,18,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Banda Sonora,PC (Computadora),2,MOBAs,"Valve (Dota, Half Life, Portal, etc)",12,7,14.32,8,Ninguno,Sí,Jugabilidad complicada
10/13/2022 19:02:56,Sí,Masculino,20,Ingeniería Electrónica,Co-Op (Coperativo),Multiplayer (Multijugador),Gráficos,PC (Computadora),6,MOBAs,"Valve (Dota, Half Life, Portal, etc)",10,5,12.34,8,Ninguno,Sí,Prefiero realizar otras actividades
10/13/2022 19:04:24,Sí,Femenino,18,Ingeniería Ambiental,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,Celular,2,De Plataformas,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",30,7,15.40,8,Ninguno,Sí,No me llama la atención
10/13/2022 19:09:58,Sí,Femenino,18,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,Celular,6,MOBAs,"Valve (Dota, Half Life, Portal, etc)",60,7,18.00,8,Ninguno,Sí,Jugabilidad complicada
10/13/2022 19:10:29,Sí,Femenino,23,Ingeniería Ambiental,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Banda Sonora,"XBox (360, One, Series S, Series X)",2,Shooters,"Valve (Dota, Half Life, Portal, etc)",34,6,13.23,6,Ninguno,Sí,"No me llama la atención, El precio de las plataformas y/o juegos son caros"
10/13/2022 19:12:45,Sí,Masculino,18,Ingeniería Mecánica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),15,MOBAs,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",300,5,10.00,4,3,No,No tengo tiempo
10/13/2022 19:14:07,Sí,Masculino,28,Ingeniería de la Energía,Co-Op (Coperativo),Multiplayer (Multijugador),Banda Sonora,"XBox (360, One, Series S, Series X)",2,Deportivo,"Valve (Dota, Half Life, Portal, etc)",40,6,14.32,9,2,Sí,No me llama la atención
10/13/2022 19:35:39,No,,,,,,,,,,,,,,,,,No tengo tiempo
10/13/2022 20:51:13,Sí,Femenino,23,Ingeniería Civil,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Dificultad,"XBox (360, One, Series S, Series X)",12,MOBAs,"CD Projekt Red (The Witcher, Cyberpunk 2077)",300,4,13.00,8,1,No,Prefiero realizar otras actividades
10/13/2022 20:52:38,Sí,Femenino,23,Ingeniería Civil,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),13,MMO,"Square Enix (Finall Fantasy, Kindom Heards, Life is Strange, etc)",200,4,11.00,8,1,No,Jugabilidad complicada
10/13/2022 20:53:16,No,,,,,,,,,,,,,,,,,No me llama la atención
10/13/2022 20:53:48,Sí,Masculino,23,Ingeniería Mecatrónica,Co-Op (Coperativo),Multiplayer (Multijugador),Historia,PC (Computadora),11,Shooters,"Warner Bros (MultiVersus, Batman, Juegos de Lego, Back for Blood, etc)",160,7,11.68,8,Ninguno,Sí,Prefiero realizar otras actividades
10/13/2022 20:56:34,Sí,Femenino,19,Ingeniería Industrial,PvP (Jugador VS Jugador),Singleplayer (Un solo jugador),Jugabilidad,PC (Computadora),6,MOBAs,"Play Station (The Last of Us, God of War, Horizon Forbiden West, etc)",100,4,14.65,10,1,Sí,No tengo tiempo
10/13/2022 21:09:12,Sí,Femenino,23,Ingeniería Química,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",11,Deportivo,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",178,5,10.34,8,2,Sí,Prefiero realizar otras actividades
10/13/2022 21:11:28,No,,,,,,,,,,,,,,,,,No me llama la atención
10/13/2022 21:14:09,Sí,Femenino,22,Ingeniería Industrial,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Jugabilidad,Switch,13,De Plataformas,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",190,5,13.34,8,Ninguno,No,No me llama la atención
10/13/2022 21:17:28,Sí,Femenino,25,Ingeniería Industrial,PvP (Jugador VS Jugador),Singleplayer (Un solo jugador),Historia,PC (Computadora),19,MOBAs,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",300,7,11.48,5,4,No,No tengo tiempo
10/13/2022 21:20:58,Sí,Femenino,33,Ingeniería Electrónica,Co-Op (Coperativo),Multiplayer (Multijugador),Banda Sonora,Switch,17,De Plataformas,"Valve (Dota, Half Life, Portal, etc)",490,5,10.24,6,3,No,El precio de las plataformas y/o juegos son caros
10/14/2022 15:13:31,Sí,Femenino,18,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,Celular,2,De Plataformas,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",30,7,14.30,8,Ninguno,Sí,"Jugabilidad complicada, No me llama la atención"
10/14/2022 15:36:57,No,,,,,,,,,,,,,,,,,No me llama la atención
10/14/2022 15:47:10,Sí,Masculino,23,Ingeniería Química,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Gráficos,PC (Computadora),13,MOBAs,"Play Station (The Last of Us, God of War, Horizon Forbiden West, etc)",300,6,11.00,5,1,No,El precio de las plataformas y/o juegos son caros
10/14/2022 19:57:18,Sí,Masculino,21,Ingeniería de la Energía,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,Celular,12,Deportivo,"Valve (Dota, Half Life, Portal, etc)",300,5,12.23,6,1,No,"No me llama la atención, No tengo tiempo"
10/14/2022 19:59:49,Sí,Masculino,19,Ingeniería Civil,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Precio,"Play Station (PS1, PS2, PS3, PS4, PS5)",7,Shooters,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",120,4,13.98,5,Ninguno,Sí,"Jugabilidad complicada, No me llama la atención, El precio de las plataformas y/o juegos son caros, Prefiero realizar otras actividades"
10/14/2022 20:03:34,Sí,Femenino,20,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Gráficos,"XBox (360, One, Series S, Series X)",8,MMO,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",200,5,12.98,6,Ninguno,Sí,"Jugabilidad complicada, El precio de las plataformas y/o juegos son caros"
10/14/2022 20:05:08,Sí,Masculino,19,Ciencia de la Computación,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",7,Shooters,"Square Enix (Finall Fantasy, Kindom Heards, Life is Strange, etc)",120,5,11.34,9,1,Sí,"Jugabilidad complicada, No tengo tiempo, Prefiero realizar otras actividades"
10/14/2022 20:07:11,Sí,Femenino,19,Ingeniería Mecánica,Co-Op (Coperativo),Singleplayer (Un solo jugador),Historia,PC (Computadora),14,MOBAs,"Valve (Dota, Half Life, Portal, etc)",230,4,11.45,6,Ninguno,No,"Jugabilidad complicada, No me llama la atención, El precio de las plataformas y/o juegos son caros"
10/14/2022 20:08:25,Sí,Masculino,20,Bioingeniería,Co-Op (Coperativo),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",3,RPGs,"Warner Bros (MultiVersus, Batman, Juegos de Lego, Back for Blood, etc)",10,6,13.32,7,Ninguno,Sí,"Jugabilidad complicada, No tengo tiempo"
10/14/2022 20:10:10,Sí,Masculino,22,Ingeniería Mecánica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",6,Deportivo,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",150,7,14.43,9,Ninguno,Sí,Prefiero realizar otras actividades
10/14/2022 20:11:30,Sí,Femenino,20,Ingeniería de la Energía,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",7,MOBAs,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",140,6,14.23,6,Ninguno,No,"El precio de las plataformas y/o juegos son caros, Prefiero realizar otras actividades"
10/14/2022 21:03:21,Sí,Masculino,20,Ingeniería Civil,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Banda Sonora,PC (Computadora),13,Shooters,"CD Projekt Red (The Witcher, Cyberpunk 2077)",200,5,12.78,6,Ninguno,No,"Jugabilidad complicada, El precio de las plataformas y/o juegos son caros, Prefiero realizar otras actividades"
10/14/2022 21:04:21,Sí,Masculino,21,Ingeniería Mecánica,Co-Op (Coperativo),Multiplayer (Multijugador),Historia,"XBox (360, One, Series S, Series X)",5,RPGs,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",100,6,14.42,8,Ninguno,Sí,"Jugabilidad complicada, El precio de las plataformas y/o juegos son caros"
10/14/2022 21:05:30,Sí,Masculino,20,Bioingeniería,Co-Op (Coperativo),Multiplayer (Multijugador),Historia,"XBox (360, One, Series S, Series X)",11,Deportivo,"EA (FIFA, Mass Efect, )",220,7,12.76,6,1,No,"No me llama la atención, No tengo tiempo, Prefiero realizar otras actividades"
10/14/2022 21:09:12,Sí,Masculino,19,Bioingeniería,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",5,RPGs,"Warner Bros (MultiVersus, Batman, Juegos de Lego, Back for Blood, etc)",25,4,15.21,7,Ninguno,No,No me llama la atención
10/16/2022 10:06:54,Sí,Masculino,20,Bioingeniería,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,PC (Computadora),13,De Peleas,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",150,6,11.45,6,1,No,El precio de las plataformas y/o juegos son caros
10/16/2022 10:08:13,Sí,Masculino,19,Ingeniería Civil,Co-Op (Coperativo),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",10,RPGs,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",170,4,11.34,9,1,No,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/16/2022 10:09:23,Sí,Masculino,19,Ciencia de la Computación,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,"XBox (360, One, Series S, Series X)",6,Simulación,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",80,5,16.52,7,2,No,"Jugabilidad complicada, El precio de las plataformas y/o juegos son caros, Prefiero realizar otras actividades"
10/16/2022 10:10:40,Sí,Masculino,20,Ciencia de Datos,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",4,Shooters,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",36,5,14.65,7,Ninguno,No,"No me llama la atención, Prefiero realizar otras actividades"
10/16/2022 10:12:31,Sí,Femenino,22,Administración de Negocios Digitales,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,"Play Station (PS1, PS2, PS3, PS4, PS5)",10,Shooters,"Play Station (The Last of Us, God of War, Horizon Forbiden West, etc)",80,5,11.00,6,1,No,No me llama la atención
10/16/2022 10:13:37,Sí,Masculino,21,Ciencia de Datos,Co-Op (Coperativo),Singleplayer (Un solo jugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",5,MMO,"Valve (Dota, Half Life, Portal, etc)",120,5,12.45,6,1,No,"No me llama la atención, El precio de las plataformas y/o juegos son caros"
10/16/2022 10:15:01,Sí,Femenino,19,Bioingeniería,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,Switch,5,Shooters,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",150,5,12.78,8,Ninguno,No,"No me llama la atención, Prefiero realizar otras actividades"
10/16/2022 10:16:36,Sí,Femenino,20,Ingeniería Mecánica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Jugabilidad,"Play Station (PS1, PS2, PS3, PS4, PS5)",10,Shooters,"CD Projekt Red (The Witcher, Cyberpunk 2077)",200,5,11.23,7,1,No,"Jugabilidad complicada, El precio de las plataformas y/o juegos son caros"
10/16/2022 10:18:15,Sí,Masculino,20,Bioingeniería,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,Switch,10,MMO,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",200,4,12.32,8,1,Sí,Prefiero realizar otras actividades
10/16/2022 10:20:03,Sí,Masculino,19,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Gráficos,"Play Station (PS1, PS2, PS3, PS4, PS5)",11,De Plataformas,"Warner Bros (MultiVersus, Batman, Juegos de Lego, Back for Blood, etc)",120,6,15.33,8,2,No,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/16/2022 10:21:18,Sí,Masculino,19,Ingeniería Mecatrónica,Co-Op (Coperativo),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",5,De Plataformas,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",100,5,12.42,8,Ninguno,Sí,Jugabilidad complicada
10/16/2022 10:22:27,Sí,Femenino,20,Ingeniería Electrónica,Co-Op (Coperativo),Multiplayer (Multijugador),Dificultad,"Play Station (PS1, PS2, PS3, PS4, PS5)",7,RPGs,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",20,4,14.78,8,Ninguno,No,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/16/2022 10:29:29,Sí,Femenino,19,Ingeniería Mecánica,Co-Op (Coperativo),Multiplayer (Multijugador),Jugabilidad,"Play Station (PS1, PS2, PS3, PS4, PS5)",14,RPGs,"Play Station (The Last of Us, God of War, Horizon Forbiden West, etc)",280,7,12.78,8,2,No,No me llama la atención
10/16/2022 10:30:28,Sí,Masculino,20,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Jugabilidad,"Play Station (PS1, PS2, PS3, PS4, PS5)",13,Shooters,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",200,5,13.65,7,3,No,Jugabilidad complicada
10/16/2022 10:34:11,Sí,Femenino,26,Ingeniería de la Energía,Co-Op (Coperativo),Singleplayer (Un solo jugador),Precio,"Play Station (PS1, PS2, PS3, PS4, PS5)",11,MMO,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",290,5,12.34,7,1,No,No me llama la atención
10/16/2022 10:35:22,Sí,Femenino,20,Ingeniería Electrónica,Co-Op (Coperativo),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",10,MMO,"Square Enix (Finall Fantasy, Kindom Heards, Life is Strange, etc)",100,6,12.56,8,Ninguno,No,"Jugabilidad complicada, No tengo tiempo"
10/16/2022 10:37:37,Sí,Masculino,20,Bioingeniería,PvP (Jugador VS Jugador),Singleplayer (Un solo jugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",9,RPGs,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",200,4,14.23,8,2,No,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/16/2022 10:45:42,Sí,Femenino,20,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",12,Shooters,"CD Projekt Red (The Witcher, Cyberpunk 2077)",170,7,12.67,8,Ninguno,No,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/16/2022 10:47:22,Sí,Masculino,20,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Gráficos,"Play Station (PS1, PS2, PS3, PS4, PS5)",11,RPGs,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",200,4,11.62,5,1,No,Prefiero realizar otras actividades
10/16/2022 10:49:09,Sí,Masculino,20,Ingeniería Mecánica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Dificultad,"Play Station (PS1, PS2, PS3, PS4, PS5)",6,RPGs,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",100,6,14.23,7,6,No,"Jugabilidad complicada, No me llama la atención, Prefiero realizar otras actividades"
10/16/2022 10:50:39,Sí,Femenino,20,Ingeniería Mecánica,Co-Op (Coperativo),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",15,RPGs,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",170,4,12.34,6,2,No,"No me llama la atención, Prefiero realizar otras actividades"
10/16/2022 10:52:15,Sí,Masculino,21,Ingeniería Electrónica,PvP (Jugador VS Jugador),Singleplayer (Un solo jugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",11,Deportivo,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",180,6,17.45,7,Ninguno,Sí,No me llama la atención
10/16/2022 10:54:01,Sí,Masculino,19,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Jugabilidad,"Play Station (PS1, PS2, PS3, PS4, PS5)",6,RPGs,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",70,7,14.61,8,Ninguno,No,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/16/2022 10:54:59,Sí,Femenino,21,Ingeniería Mecánica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",8,RPGs,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",100,7,14.23,7,Ninguno,No,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/16/2022 11:00:21,Sí,Masculino,20,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Precio,"Play Station (PS1, PS2, PS3, PS4, PS5)",8,Shooters,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",200,7,14.23,8,Ninguno,Sí,"Jugabilidad complicada, No tengo tiempo, Prefiero realizar otras actividades"
10/16/2022 11:01:33,Sí,Masculino,21,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Gráficos,"Play Station (PS1, PS2, PS3, PS4, PS5)",6,Shooters,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",86,6,15.87,7,Ninguno,No,"Jugabilidad complicada, El precio de las plataformas y/o juegos son caros"
10/16/2022 11:02:40,Sí,Masculino,21,Ingeniería Mecánica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",8,Deportivo,"EA (FIFA, Mass Efect, )",100,6,11.34,8,Ninguno,Sí,"No me llama la atención, Prefiero realizar otras actividades"
10/16/2022 11:03:43,Sí,Masculino,20,Ciencia de la Computación,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",8,Simulación,"Valve (Dota, Half Life, Portal, etc)",140,6,13.54,8,Ninguno,No,Jugabilidad complicada
10/16/2022 11:05:00,Sí,Femenino,20,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Gráficos,"Play Station (PS1, PS2, PS3, PS4, PS5)",12,RPGs,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",240,5,11.45,5,3,No,Prefiero realizar otras actividades
10/16/2022 11:13:39,Sí,Masculino,19,Ingeniería Mecánica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,"Play Station (PS1, PS2, PS3, PS4, PS5)",9,MMO,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",200,5,14.24,7,1,No,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/16/2022 11:15:21,Sí,Masculino,20,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",6,MMO,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",120,5,17.32,5,Ninguno,Sí,"Jugabilidad complicada, El precio de las plataformas y/o juegos son caros"
10/16/2022 11:30:56,Sí,Masculino,21,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",7,RPGs,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",200,7,14.23,6,Ninguno,Sí,No me llama la atención
10/16/2022 11:37:15,Sí,Masculino,21,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,PC (Computadora),7,Shooters,"EA (FIFA, Mass Efect, )",120,6,13.23,7,1,Sí,No tengo tiempo
10/16/2022 11:40:48,Sí,Masculino,19,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,"Play Station (PS1, PS2, PS3, PS4, PS5)",9,RPGs,"CD Projekt Red (The Witcher, Cyberpunk 2077)",290,6,12.43,6,1,Sí,"No me llama la atención, Prefiero realizar otras actividades"
10/16/2022 11:47:09,Sí,Masculino,19,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",6,RPGs,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",100,6,13.23,7,Ninguno,Sí,No me llama la atención
10/16/2022 11:48:24,Sí,Masculino,19,Ingeniería Mecánica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Gráficos,"Play Station (PS1, PS2, PS3, PS4, PS5)",5,De Plataformas,"Play Station (The Last of Us, God of War, Horizon Forbiden West, etc)",45,6,13.43,7,1,Sí,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/16/2022 11:49:31,Sí,Femenino,19,Bioingeniería,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Jugabilidad,Celular,7,De Plataformas,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",130,5,15.32,7,Ninguno,Sí,"Jugabilidad complicada, El precio de las plataformas y/o juegos son caros"
10/16/2022 11:51:00,Sí,Masculino,19,Ingeniería Electrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Jugabilidad,"XBox (360, One, Series S, Series X)",7,Simulación,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",200,5,15.43,7,Ninguno,No,Jugabilidad complicada
10/16/2022 11:52:28,Sí,Masculino,23,Ingeniería Electrónica,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Gráficos,"XBox (360, One, Series S, Series X)",5,Simulación,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",60,5,14.32,7,Ninguno,Sí,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/16/2022 11:54:16,Sí,Masculino,19,Ingeniería Mecánica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",7,MMO,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",130,7,15.32,7,Ninguno,No,No tengo tiempo
10/16/2022 11:55:25,Sí,Masculino,19,Ingeniería Química,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,"XBox (360, One, Series S, Series X)",6,RPGs,"Square Enix (Finall Fantasy, Kindom Heards, Life is Strange, etc)",140,6,12.31,7,Ninguno,No,El precio de las plataformas y/o juegos son caros
10/16/2022 11:56:45,Sí,Masculino,19,Ingeniería Mecánica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Precio,"XBox (360, One, Series S, Series X)",8,De Plataformas,"Play Station (The Last of Us, God of War, Horizon Forbiden West, etc)",100,6,15.43,7,Ninguno,No,"No me llama la atención, Prefiero realizar otras actividades"
10/16/2022 11:58:04,Sí,Masculino,19,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Precio,"XBox (360, One, Series S, Series X)",6,MOBAs,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",100,5,13.29,7,8,Sí,"No me llama la atención, El precio de las plataformas y/o juegos son caros"
10/16/2022 11:59:06,Sí,Masculino,19,Ingeniería Electrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",4,De Peleas,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",120,6,15.21,8,1,Sí,"Jugabilidad complicada, No tengo tiempo"
10/16/2022 12:07:31,Sí,Masculino,19,Ingeniería de la Energía,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Banda Sonora,"XBox (360, One, Series S, Series X)",5,Shooters,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",120,6,14.32,7,1,No,Jugabilidad complicada
10/16/2022 12:09:03,Sí,Masculino,19,Ingeniería Mecánica,Co-Op (Coperativo),Singleplayer (Un solo jugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",2,RPGs,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",32,6,15.21,7,1,Sí,No me llama la atención
10/16/2022 12:10:44,Sí,Masculino,19,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,"Play Station (PS1, PS2, PS3, PS4, PS5)",4,Deportivo,"EA (FIFA, Mass Efect, )",42,6,13.23,7,2,No,"Jugabilidad complicada, El precio de las plataformas y/o juegos son caros"
10/16/2022 12:12:23,Sí,Masculino,19,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",6,RPGs,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",130,6,14.96,7,Ninguno,No,No me llama la atención
